ROSANDRE, Amoureux de Liſimene.	ROSANDRE, Amoureux de Lisimène.
Aprés?	Après?
ROSANDRE.	ROSANDRE.
Advocatus.	Advocatus.
BAGOLIN.	BAGOLIN.
Je m’en vais l’aborder, & de la bonne ſorte.	Je m'en vais l'aborder, et de la bonne sorte.
Je ſuis Advocatus, ou le diable m’en porte.	Je suis Advocatus, ou le diable m'en porte.
PANCRACE.	PANCRACE.
Il m’oſte mon chapeau, Monſieur eſt-ce qu’il rit.	Il m'ôte mon chapeau, Monsieur est-ce qu'il rit.
ROSANDRE.	ROSANDRE.
C’eſt la mode à preſent entre les gens d’eſprit.	C'est la mode à présent entre les gens d'esprit.
PANCRACE.	PANCRACE.
Cette mode à mon ſens, me ſemble ridicule;	Cette mode à mon sens, me semble ridicule;
Mais n’importe, Eſcoutons ſon Docte preambule.	Mais n'importe, Escoutons son Docte préambule.
ROSANDRE.	ROSANDRE.
Veux tu me faire icy recevoir un affront, Songe à ce que tu fais, Car.	Veux tu me faire ici recevoir un affront, Songe à ce que tu fais, Car.
BAGOLIN.	BAGOLIN.
Advocatus ſm.	Advocatus sm.
Non pas Advocatus des quinze à la douzaine, Puiſque des plus ſçavant, je ſuis le Capitaine;	Non pas Advocatus des quinze à la douzaine, Puisque des plus savant, je suis le Capitaine;
Mais des Advocatus, venerable patron, Dont-on ne voit jamais que dix au Carteron.	Mais des Advocatus, vénérable patron, Dont-on ne voit jamais que dix au Cartéron.
Connoiſſez vous Platon, ce grand homme de Geneve?	Connaissez vous Platon, ce grand homme de Génève?
Non.	Non.
PANCRACE.	PANCRACE.
BAGOLIN.	BAGOLIN.
Et-Sencque?	Et-Sencque?
P’ANCRACE.	P'ANCRACE.
Encore moins.	Encore moins.
BAGOLIN.	BAGOLIN.
S'ils eſtoient ſur la terre Avant qu’il ſut deux jour, au ſeul bruit de mon nom, On ne trouveroit plus Seneque, ny Caton, Car ils s’iroiſent cacher dans le pot au vinaigre.	S'ils étaient sur la terre Avant qu'il sut deux jour, au seul bruit de mon nom, On ne trouverait plus Sénèque, notre Caton, Car ils s'iraisent cacher dans le pot au vinaigre.
PANCRACE.	PANCRACE.
Que Monſieur voſtre frere eſt un Docteur alegre, Il parle comme un Livre, & rit inceſſamment.	Que Mons votre frère est un Docteur alégre, Il parle comme un Livre, et rit incessamment.
ROSANDRE.	ROSANDRE.
Ne vous ay-je pas dit, qu’il railloit doctement.	Ne vous ai-je pas dit, qu'il raillait doctement.
PANCRACE.	PANCRACE.
Vous avez fait, Monſieur, tous vos dégrée?	Vous avez fait, Monsieur, tous vos dégrée?
BAGOLIN.	BAGOLIN.
Sans doute, Je ſautray l’autre jour, noſtre montée toute, Sans un degré de manque, eſtant ſouls de muſquat.	Sans doute, Je sautrai l'autre jour, notre montée toute, Sans un degré de manque, étant souls de musquât.
PANCRACE.	PANCRACE.
Et depuis quand Monſieur eſtes vous Advocat?	Et depuis quand Monsieur êtes -vous Avocat?
