LE BOURGEOIS GENTILHOMME COMEDIE-BALET.	LE BOURGEOIS GENTILHOMME COMÉDIE-BALET.
ENEZ, entrez dans cette Salle, & vous repoſez-là, en attendant qu’il vienne.	ENEZ, entrez dans cette Salle, et vous reposez-là, en attendant qu'il vienne.
MAISTREA DANCER perlant aux Danceurs.	MAISTREA DANCER perlant aux Danceurs.
Et vous auſſi, de ce coſté.	Et vous aussi, de ce côté.
MAISTRE DE'MUSIQUE Eſt-ce fait?	MAÎTRE DÉMUSIQUE Est-ce fait?
à l'Eléve.	à l'Élève.
L’ELE’VE.	L'ELEUE.
Oüy, MAISTRE DE MUSIQUE Voyons.	Oui, MAÎTRE DE MUSIQUE Voyons.
Voila qui eſt bien.	Voilà qui est bien.
MAISTRE A DANCER.	MAÎTRE A DANCER.
Eſt-ce quelque choſe de nouveau ?	Est-ce quelque chose de nouveau ?
MAISTRE DE MUSIQUE.	MAÎTRE DE MUSIQUE.
Oüy, c’eſt un Air pour une Serenade, que je luy ay fait compoſer icy, en attendant que noſtre Homme fût éveillé.	Oui, c'est un Air pour une Sérenade, que je luiois fait composer ici, en attendant que notre Homme fût éveillé.
MAISTREADANCER.	MAISTREADANCER.
Peut-on voir ce que c’eſt ?	Peut-on voir ce que c'est ?
MAISTRE DE MUSIQUE.	MAÎTRE DE MUSIQUE.
Vous l’allez entendre, avec le Dialogue, quand il viendra.	Vous l'allez entendre, avec le Dialogue, quand il viendra.
Il ne tardera guére.	Il ne tardera guère.
MAISTREADANCER.	MAISTREADANCER.
Nos occupations, à vous, & à moy, ne ſont pas petites maintenant.	Nos occupations, à vous, et à moi, ne sont pas petites maintenant.
MAISTRE DE MUSIQUE.	MAÎTRE DE MUSIQUE.
Il eſt vray.	Il est vrai.
Nous avons trouvé icy un Homme comme il nous le faut à tous deux.	Nous avons trouvé ici un Homme comme il nous le faut à tous deux.
Ce nous eſt une douce rente que ce Monſieur Jourdain, avec les viſions de Nobleſſe & de Galanterie qu’il eſt allé ſe mettre en teſte.	Ce nous est une douce rente que ce Monsieur Jourdain, avec les visions de Noblesse et de Galanterie qu'il est allé se mettre en tête.
Et voſtre Dance, & ma Muſique, auroient à ſouhaiter que tout le Monde luy reſſemblaſt.	Et votre Dance, et ma Musique, auraient à souhaiter que tout le Monde femme ressemblât.
MAISTREA DANCER.	MAISTREA DANCER.
Non pas entierement;	Non pas entièrement;
& je voudrois pour luy, qu’il ſe counuſt mieux qu’il ne fait aux choſes que nous luy donnons.	et je voudrais pour vain, qu'il se counût mieux qu'il ne fait aux choses que nous nous donnons.
MAISTREDEMUSIQUE.	MAISTREDEMUSIQUE.
Il eſt vray qu’il les connoiſt mal, mais il les paye bien;	Il est vrai qu'il les connaît mal, mais il les paie bien;
& c’eſt de quoy maintenant nos Arts ont plus beſoin, que de toute autre choſe.	et c'est de quoi maintenant nos Arts ont plus besoin, que de toute autre chose.
MAISTE A DANCER.	MAISTE À DANCER.
Pour moy, je vous l’avouë, je me repais uu peu de gloire.	Pour moi, je vous l'avoue, je me repais u peu de gloire.
Les aplaudiſſemens me touchent;	Les applaudissements me touchent;
& je tiens que dans tous les beaux Arts, c’eſt un ſuplice aſſez faſcheux, que de ſe produire à des Sots;	et je tiens que dans tous les beaux Arts, c'est un supplice assez fâcheux, que de se produire à des Sots;
que d’eſſuyer ſur des Compoſitions, la barbarie d’un Stupide.	que d'essuyer sur des Compositions, la barbarie d'un Stupide.
Il y a plaiſir, ne m’en parlez point, à travailler pour des Perſonnes qui ſoient capables de ſentir les délicateſſes d’un Art;	Il y a plaisir, ne m'en parlez point, à travailler pour des Personnes qui soient capables de sentir les délicatesses d'un Art;
qui ſçachent faire un doux accueil aux beautez d’un Ouvrage;	qui sachent faire un doux accueil aux beautés d'un Ouvrage;
& par de chatoüillantes aprobations, vous régaler de voſtre travail.	et par de chatoüillantes aprobations, vous régaler de votre travail.
Oüy, la récompenſe la plus agreable qu’on puiſſe recevoir des choſes que l’on fait, c’eſt de les voir connuës;	Oui, la récompense la plus agréable qu'on puisse recevoir des choses que l'on fait, c'est de les voir connues;
de les voir careſſées d’un aplaudiſſement qui vous honore.	de les voir caressées d'un applaudissement qui vous honore.
Il n’y a rien, à mon avis, qui nous paye mieux que cela de toutes nos fatigues;	Il n'y a rien, à mon avis, qui nous paie mieux que cela de toutes nos fatigues;
& ce ſont des douceurs exquiſes, que des loüanges éclairées.	et ce sont des douceurs exquises, que des louanges éclairées.
MAISTRE DE MUSIQUE.	MAÎTRE DE MUSIQUE.
J’en demeure d’accord, & je les goûte comme vous.	J'en demeure d'accord, et je les goûte comme vous.
Il n’y a rien aſſurément qui chatoûille davantage que les aplaudiſſemens que vous dites;	Il n'y a rien assurément qui chatouille davantage que les applaudissements que vous dites;
mais cet Encens ne fait pas vivre.	mais cet Encens ne fait pas vivre.
Des loüanges toutes pures, ne mettent point un Homme à ſon aiſe :	Des louanges toutes pures, ne mettent point un Homme à son aise :
Il y faut meſler du ſolide;	Il y faut mêler du solide;
& la meilleure façon de louër, c’eſt de loücr avec les maïns.	et la meilleure façon de louer, c'est de loucr avec les maîns.
C’eſt un Homine, à la verité, dont les lumieres ſonr petites, qui parle à tort & à travers de toutes choſes, & n’aplaudit qu’à contre-ſens;	C'est un Homine, à la vérité, dont les lumières son petites, qui parle à tort et à travers de toutes choses, et n'applaudit qu'à contre-dits;
mais ſon argent redreſſe les jugemens de ſon Eſprit.	mais son argent redresse les jugements de son Esprit.
Il a du diſcernement dans ſa bourſe.	Il a du discernement dans sa bourse.
Ses loïanges ſont monnoyées;	Ses loïanges sont monnoyées;
& ce Bourgeois ignorant, nous vaut mieux, comme vous voyez, que le grand Seigneur éclairé qui nous a imiodunta ſcy.	et ce Bourgeois ignorant, nous vaut mieux, comme vous voyez, que le grand Seigneur éclairé qui nous a imiodunta sci.
MAISTREA DANCER.	MAISTREA DANCER.
Il y a quelque choſe de vray dans ce que vous dites;	Il y a quelque chose de vrai dans ce que vous dites;
mais je trouve que vous apuyez un peu trop ſur l’argent;	mais je trouve que vous appuyez un peu trop sur l'argent;
& l’intereſt eſt quelque choſe de ſi bas, qu’il ne faut jamais qu’un honneſte Homme montre pour luy de l’attachement.	et l'intérêt est quelque chose de si bas, qu'il ne faut jamais qu'un honnête Homme montre pour lui de 'attachement.
MAISTRE DE MUSIQUE.	MAÎTRE DE MUSIQUE.
Vous recevez fort bien pourtant l’argent que noſtre Homme vous donne.	Vous recevez fort bien pourtant l'argent que notre Homme vous donne.
MAISTREADANCER.	MAISTREADANCER.
Aſſurément;	Assurément;
mais je n’en fais pas tout mon bonheur, & je voudrois qu’avec ſon bien, il euſt encore quelque bon gouſt des choſes.	mais je n'en fais pas tout mon bonheur, et je voudrais qu'avec son bien, il eût encore quelque bon goût des choses.
MAISTRE DE MUSIQUE.	MAÎTRE DE MUSIQUE.
Je le voudrois auſſi, & c’eſt à quoy nous travaillons tous deux autant que nous pouvons.	Je le voudrais aussi, et c'est à quoi nous travaillons tous deux autant que nous pouvons.
Mais en tout cas il nous donne moyen de nous faire connoiſtre dans le Monde;	Mais en tout cas il nous donne moyen de nous faire connaître dans le Monde;
& il payera pour les autres, ce que les autres loüeront pour luy.	et il payera pour les autres, ce que les autres loueront pour lui.
MAISTRE A DANCER.	MAÎTRE A DANCER.
Le voila qui vient.	Le voilà qui vient.
A iij	À jijà
SCENE II.	SCÈNE II.
MONSIEUR JOURDAIN, DEUX LAQUAIS, MAISTRE DE MUSIQUE, MAISTRE A DANCER, VIOLONS, MUSIC.	MONSIEUR JOURDAIN, DEUX LAQUAIS, MAÎTRE DE MUSIQUE, MAÎTRE À DANCER, VIOLONS, MUSIC.
& DANCEURS.	et DANCEURS.
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
E' bien, Meſſieurs?	E' bien, Messieurs?
Qu’eſt-ce?	Qu'est-ce?
Me ferezLI vous voir voſtre petite drôlerie?	Me ferezLI vous voir votre petite drôlerie?
MAISTRE A DANCER.	MAÎTRE A DANCER.
Comment?	Comment?
Quelle petite drôlerie?	Quelle petite drôlerie?
MONSTEUR JOURDAIN.	MONSTEUR JOURDAIN.
En la.	En la.
comment appellez-vous cela?	comment appelez-vous cela?
Vô1re Prologue, ou Dialogue de Chanſons & de Dance.	Vô1re Prologue, ou Dialogue de Chansons et de Dance.
MAISTREA DANCER.	MAISTREA DANCER.
Ah, ah.	Ah, ah.
MAISTREDE MUSIQUE.	MAISTREDE MUSIQUE.
Vous nous y voyez préparez.	Vous nous y voyez préparés.
MONSTEUR JOURDAIN.	MONSTEUR JOURDAIN.
Je vous ay fait un peu attendre, mais c’eſt que je me fais habiller aujourd’huy comme les Gens de Qualité;	Je vous ai fait un peu attendre, mais c'est que je me fais habiller aujourd'hui comme les Gens de Qualité;
& mon Tailleur m’a envoyé des bas de ſoye que j’ay penſé ne mettre jamais.	et mon Tailleur m'a envoyé des bas de soie que j'ai pensé ne mettre jamais.
MAISTRE DE MUSIQUE.	MAÎTRE DE MUSIQUE.
Nous ne ſommes icy que pour attendre voſtre toiſir.	Nous ne sommes ici que pour attendre votre toisir.
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
Je vous prie tous deux de ne vous point en aller, qu’on ne m’ait apporté mon Habit, afin que vous me puiſſiez voir.	Je vous prie tous deux de ne vous point en aller, qu'on ne m'ait apporté mon Habit, afin que vous me puissiez voir.
MAISTRE A DANCER.	MAÎTRE A DANCER.
Tout ce qu’il vous plaira.	Tout ce qu'il vous plaira.
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
Vous me verrez équipé comme il faut, depuis les pruus jurejd une teſte.	Vous me verrez équipé comme il faut, depuis les prévus jurejà une tête.
MAISTRE DE MUSIQUE.	MAÎTRE DE MUSIQUE.
Nons n’en dontons point.	Nons n'en dontons point.
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
Je me ſuis fait faire cette Indienne-cy.	Je me suis fait faire cette Indienne-cy.
MAISTRE A DANCER.	MAÎTRE A DANCER.
Elle eſt fort belle.	Elle est fort belle.
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
Mon Tailleur m’a dit que les Gens de Qualité eſtoient comme cela le matin.	Mon Tailleur m'a dit que les Gens de Qualité étaient comme cela le matin.
MAISTRE DE MUSIQUE.	MAÎTRE DE MUSIQUE.
Cela vous ſied à merveille.	Cela vous sied à merveille.
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
Laquais, hola, mes deux Laquais.	Laquais, holà, mes deux Laquais.
I.	I.
LAQUAIS.	LAQUAIS.
Que voulez-vous, Monſieur?	Que voulez-vous, Monsieur?
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
Rien.	Rien.
C’eſt pour voir ſi vous m’entendez bien.	C'est pour voir si vous m'entendez bien.
Aux deux Maiſtres.	Aux deux Maîtres.
Que dites-vous de mes Livrées?	Que dites-vous de mes Livrées?
MAISTRE A DANCER.	MAÎTRE A DANCER.
Elles ſont magnifiques.	Elles sont magnifiques.
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
Il entr’ouvre ſa Robe, & fait voir un Haut-de-chauſA iiij ſe étroit de velours rouge, & une Camiſole de velours vert, dont il eſt veſtu.	Il entr'ouvre sa Robe, et fait voir un Haut-dechausA iiij se étroit de velours rouge, et une Camisole de velours vert, dont il est vêtu.
Voicy encore un petit Deſ-habill!	Voici encore un petit Dés-habill!
pour faire le matin mes Exercices.	pour faire le matin mes Exercices.
MAISTRE DE MUSIQUE.	MAÎTRE DE MUSIQUE.
Il eſt galant.	Il est galant.
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
Laquais.	Laquais.
Monſieur.	Monsieur.
1.	1.
LAQUAIS.	LAQUAIS.
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
L’autre Laquais.	L'autre Laquais.
Monſieur.	Monsieur.
2.	2.
LAQUAIS.	LAQUAIS.
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
Tenez ma Robe.	Tenez ma Robe.
Me trouvez-vous bien comme cela ?	Me trouvez-vous bien comme cela ?
MAISTREA DANCER.	MAISTREA DANCER.
Fort bien.	Fort bien.
On ne peut pas mieux.	On ne peut pas mieux.
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
Voyons un peu voſtre affaire.	Voyons un peu votre affaire.
MAISTREDEMUSIQUE.	MAISTREDEMUSIQUE.
JE voudrois bien auparayant vous faire entendre un Air qu’il vient de compoſer pour la Serenade que vous m’avez demandée.	JE voudrais bien auparayant vous faire entendre un Air qu'il vient de composer pour la Serenade que vous m'avez demandée.
C’eſt un de mes Ecoliers, qui a pour ces ſortes de choſes un talent admirable.	C'est un de mes Écoliers, qui a pour ces sortes de choses un talent admirable.
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
Oüy;	Oui;
mais il ne falloit pas faire faire cela par un Ecolier;	mais il ne fallait pas faire faire cela par un Écolier;
& vous n’eſtiez pas trop bon vousmeſme pour cette beſongne-là.	et vous n'étiez pas trop bon vousmesme pour cette besongne-là.
MAISTRE DE MUSIQUE.	MAÎTRE DE MUSIQUE.
Il ne faut pas, Monſieur, que le nom d’Ecolier vous abuſe.	Il ne faut pas, Monsieur, que le nom d'Écolier vous abuse.
Ces ſortes d’Ecoliers en ſçavent autant que les plus grands Maiſtres, & l’Air eſt auſſi beau qu’il s’en puiſſe faire.	Ces sortes d'Écoliers en savent autant que les plus grands Maîtres, et l'Air est aussi beau qu'il s'en puisse faire.
Ecoutez ſeulement.	Écoutez seulement.
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
Donnez-moy ma Robe pour mieux entendre.	Donnez-moi ma Robe pour mieux entendre.
, Attendez, je croy que je ſeray mieux ſaus Robe.	, Attendez, je crois que je serai mieux saus Robe.
Non, redonnez-la-moy, cela ira mieux.	Non, redonnez-la-moi, cela ira mieux.
MUSICIEN chantant.	MUSICIEN chant.
E languis nuit & jour, & mon mal eſt extréme, J Depuis qu’à vos rigueurs vos beaux yeux m’ont ſoumis:	E languis nuit et jour, et mon mal est extrême, J Depuis qu'à vos rigueurs vos beaux yeux m'ont soumis:
Si vous traitez ainſi, belle Iris, qui vous aime, Helas!	Si vous traitez ainsi, belle Iris, qui vous aime, Hélas!
que pourriez-vous faire à vos ennemis?	que pourriez-vous faire à vos ennemis?
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
Cette Chanſon me ſemble un peu lugubre, elle endort, & je voudrois que vous la puſſiez un peu ragaillardir par-cy, par-là.	Cette Chanson me semble un peu lugubre, elle endort, et je voudrais que vous la pussiez un peu ragaillardir par-cy, par-là.
MAISTRE DE MUSIQUE.	MAÎTRE DE MUSIQUE.
Il faut, Monſieur, que l’Air ſoit accommodé aux Paroles.	Il faut, Monsieur, que l'Air soit accommodé aux Paroles.
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
On m’en aprit un tout-à fait joly il y a quelque temps.	On m'en aprit un tout-à fait joli il y a quelque temps.
Attendez.	Attendez.
La.	La.
Comment eſt-ce qu’il dit?	Comment est-ce qu'il dit?
MAISTE A DANCER.	MAISTE À DANCER.
Par ma foy, je ne ſçay.	Par ma foi, je ne sais.
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
Il y a du Mouton dedans.	Il y a du Mouton dedans.
MAISTRE A DANCER, Du Mouton?	MAÎTRE A DANCER, Du Mouton?
MONSIEUR JOURDAIN, Ouj Mhe M.	MONSIEUR JOURDAIN, Ouj Hé MON,
Jourdain chante.	Jourdain chante.
E croyois Janneton Auſſi douce que belle;	E croyais Janneton Aussi douce que belle;
fe croyois Janneton Plus douce qu’un Mouton:	se croyais Janneton Plus douce qu'un Mouton:
Helas!	Hélas!
helas!	hélas!
Ele eſt cent fois, mille fois plus cruelle, Que n’eſt le Tygre aux Bois.	Éle est cent fois, mille fois plus cruelle, Que n'est le Tibre aux Bois.
2 ont ln pus joly?	2 ont lu pus joli?
MAISTRE DE MUSIQUE.	MAÎTRE DE MUSIQUE.
Le plus joly du monde.	Le plus joli du monde.
MAISTRE A DANCER.	MAÎTRE A DANCER.
Et vous le chantez bien.	Et vous le chantez bien.
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
C’eſt ſans avoir apris la Muſique.	C'est sans avoir appris la Musique.
MAISTRE DE MUSIQUE.	MAÎTRE DE MUSIQUE.
Vous devriez l’aprendre, Monſieur, comme vous faites la Dance.	Vous devriez l'apprendre, Monsieur, comme vous faites la Dance.
Ce ſont deux Arts qui ent une étroite liaiſon enſemble.	Ce sont deux Arts qui ent une étroite liaison ensemble.
MAISTRE A DANCER.	MAÎTRE A DANCER.
Et qui ouvrent l’eſprit d’un Homme aux belles choſes.	Et qui ouvrent l'esprit d'un Homme aux belles choses.
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
Eſt-ce que les Gens de Qualité aprennent auſſi la Muſique?	Est-ce que les Gens de Qualité apprennent aussi la Musique?
MAISTRE DE MUSIQUE.	MAÎTRE DE MUSIQUE.
Oüy, Monſieur.	Oui, Monsieur.
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
Je l’ap rendray donc.	Je l'ap rendrai donc.
Mais je ne ſçay quel semps je pouray prendre;	Mais je ne sais quel semps je pourrai prendre;
car outre le Maître d’Armes qui me montre, j’ay arreſté encore un Maiſtre de Philoſophie qui doit commenCerLe MaLiIl.	car outre le Maître d'Armes qui me montre, j'ai arrêté encore un Maître de Philosophie qui doit commenCerLe MaLiIl.
MAISTRE DE MUSIQUE.	MAÎTRE DE MUSIQUE.
La Philoſophie eſt quelque choſe;	La Philosophie est quelque chose;
mais la Muſique, Monſieur, la Muſique.	mais la Musique, Monsieur, la Musique.
MAISTRE A DANCER.	MAÎTRE A DANCER.
La Muſique & la Dance.	La Musique et la Dance.
La Muſique & la Danće;	La Musique et la Dane;
e ent la tout ce qu’il faut.	eu ent la tout ce qu'il faut.
MAISTRE DE MUSIQUE.	MAÎTRE DE MUSIQUE.
Il n’y a rien qui ſoit ſi utile dans un Etat, que la Muſique.	Il n'y a rien qui soit si utile dans un État, que la Musique.
MAISTRE A DANCER.	MAÎTRE A DANCER.
Il n’y a rien qui ſoit ſi neceſſaire aux Hommes, que la Dance.	Il n'y a rien qui soit si nécessaire aux Hommes, que la Dance.
MAISTRE DE MUSIQUE.	MAÎTRE DE MUSIQUE.
Sans la Muſique, un Etat ne peut ſubſiſter.	Sans la Musique, un État ne peut subsister.
MAISTRE A DANCER.	MAÎTRE A DANCER.
Sans la Dãce, un Hõme ne ſçauroit rien faire.	Sans la Déce, un Homme ne saurait rien faire.
MAISTRE DE MUSIQUE.	MAÎTRE DE MUSIQUE.
Tous les deſordres, toutes les guerres qu’on voit dans le Monde, n’arrivent que pour n’aprendre pas la Muſique.	Tous les désordres, toutes les guerres qu'on voit dans le Monde, n'arrivent que pour n'apprendre pas la Musique.
MAISTRE A DANCER.	MAÎTRE A DANCER.
Tous les malheurs des Hommes, tous les revers fnneſtes, dont les Hiſtoires ſont remplies, les béveuës des Politiques, & les manquemens des grands Capitaines, tout cela n’eſt venu que faute de ſçavoir dancer.	Tous les malheurs des Hommes, tous les revers funestes, dont les Histoires sont remplies, les bévues des Politiques, et les manquements des grands Capitaines, tout cela n'est venu que faute de savoir dancer.
MONSTEUR JOURDAIN.	MONSTEUR JOURDAIN.
Comment cela?	Comment cela?
MAISTRE DE MUSIQUE.	MAÎTRE DE MUSIQUE.
La Guerre ne vient-elle pas d’un manque d’uAV.	La Guerre ne vient-elle pas d'un manque d'AU.
nion entre les Hommes?	nion entre les Hommes?
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
Cela eſt vray.	Cela est vrai.
MAISTRE DE MUSIQUE.	MAÎTRE DE MUSIQUE.
Et ſi tous les Hommes aprenoient la Muſique, ne ſeroit-ce pas le moyen de s’accorder enſemble, & de voir dans le Monde la Paix univerſelle?	Et si tous les Hommes apprenaient la Musique, ne serait-ce pas le moyen de s'accorder ensemble, et de voir dans le Monde la Paix universelle?
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
Vous avez raiſon.	Vous avez raison.
MAISTRE A DANCER.	MAÎTRE A DANCER.
Lors qu’un Homme a commis un Mangue ment dans ſa conduite, ſoit aux Affaires de ſa Famille, ou au Gouvernement d’un Etat, ou au Commandement d’une Armée, ne dit on pas toujours, un Tel a fait un mauvais pas dans une telle Affaire?	Lors qu'un Homme a commis un Mangue ment dans sa conduite, soit aux Affaires de sa Famille, ou au Gouvernement d'un État, ou au Commandement d'une Armée, ne dit on pas toujours, un Tel a fait un mauvais pas dans une telle Affaire?
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
Oüy, on dit cela.	Oui, on dit cela.
MAISTRE A DANCER.	MAÎTRE A DANCER.
Et faire un mauvais pas, peut-il proceder d’autre choſe que de ne ſçavoir pas dancer?	Et faire un mauvais pas, peut-il procéder d'autre chose que de ne savoir pas dancer?
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
Cela eſt vray, vous avez raiſon tous deux.	Cela est vrai, vous avez raison tous deux.
MAISTRE A DANCER.	MAÎTRE A DANCER.
C’eſt pour vous faire voir l’excellence & l’utilité de la Dance & de la Muſique.	C'est pour vous faire voir l'excellence et l'utilité de la Dance et de la Musique.
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
Je comprens cela à cette heure.	Je comprends cela à cette heure.
MAISTRE DE MUSIQUE.	MAÎTRE DE MUSIQUE.
Voulez-vous voir nos deux Affaires?	Voulez-vous voir nos deux Affaires?
Oüy.	Oui.
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
MAISTRE DE MUSIQUE.	MAÎTRE DE MUSIQUE.
Je vous l’ay déja dit, c’eſt un petit eſſay que j’ayfait autrefois des diverſes paſſions que peut exprimer la Muſique.	Je vous l'ai déjà dit, c'est un petit essai que j'aifait autrefois des diverses passions que peut exprimer la Musique.
