ARGVMENT DE LA preſente Tragedie.	ARGUMENT DE LA présente Tragédie.
Ne nous ſeruent en fin de triſtes funerailles, Ces malheureux Chreſtiens ce peuple baptiſé Hainneux de noſtre loy, que i’ay mal aduiſe, Souffert dedans la ville alors qu’vn nouueau Prince Eſtabliſſoit mes loix par toute la prouince, Pour guerdon de l’auoir ſouffert en ſa maiſon Me braſſent maintenant quelque grand trahiſon, Mais ie les preuiendray auant que leur malice S’enferme a noſtre dan, ie feray ſacrifice, De leurs corps demembrez & leur ſang eſpandu Au tombeau de leur Dieu qui fut icy vendu, Car ie ne doy vſer de pitié ny de grace A ce germe maudit, i’en racleray la race, Qui euſt iamais penſe que tant de peuples fiers Euſſent oſé venir en ces lointains cartiers, Qui euſt iamais penſé que ce peuple d’Europe Se fuſſent amaſſez en innombrable troupe, rra derices nourris, le François, le Normand L’Englois, l’Italien, le Flament, L’alemant, Se fuſſent voulus ioindre & euſſent eu enuie De venir butiner les richeſſes d’Aſie.	Ne nous servent en fin de tristes funérailles, Ces malheureux Chrétiens ce peuple baptisé Hainneux de notre lois, que j'ai mal avise, Souffert dedans la ville alors qu'un nouveau Prince Établissait mes lois par toute la province, Pour guerdon de l'avoir souffert en sa maison Me brassent maintenant quelque grand trahison, Mais Mais les preuiendray avant que leur malice S'enferme a été dan, je ferai sacrifice, Je leurs corps de et leur sang épandu Au tombeau de leur Dieu qui fut vendu, Car ie ne ô vser de pitié ni de grace A ce germe maudit, en et la race, Qui eût sa pense que pan de peuples tomBeau de venir en ces lointains cartiers, Qui fut ici pensé que ce peuple dEurope Se fussent amassez en innombrable troupe, Ca derices nourris, le François, le Ne D'Es, tItalien, le Flament, alemant, Se fussent voulus ioindre et eussent eu envie De venir butiner les richesses Asie.
Orcan.	Orcan.
Ah!	Ah!
Sire il ne faut pas ainſi legerement Soubs vn ombrage faux d’eſtiner au tourment, Ce que le Ciel a mis ſoubs voſtre obeïſſance Vn bon Iuge ne doit prononcer la ſentence, Qu’il ne ſe ſoit deüement informé du forfait Voulez vous donc punir vn ſuppoſé mesfait, Sans preuue que ſe ſoit & meſme ſans indice Se ſeroit peruertir toute humaine Iuſtice.	Sire il ne faut pas ainsi légèrement Sous un ombrage faux d'étiner au tourment, Ce que le Ciel a mis soupbs votre obéissance Un bon Juge ne doit prononcer la sentence, Qu'il ne se soit devement informé du forfait Voulez vous donc punir un supposé méfait, Sans preuve que se soit et même sans indice Se serait pervertir toute humaine Justice.
Vous qui en eſtes chef vous qui deuez venger A 4	Vous qui en êtes chef vous qui devez venger A 4
5 La Soppronie.	5 La Soppronie.
Les autres, & qu’à tort l’on vous vienne outrager.	Les autres, et qu'à tort l'on vous vienne outrager.
Ah!	Ah!
Sire excuſez moy, la marque plus certaine Du changement d’eſtat, eſt la chutte prochaine, D vn Prince mal-heureux qui le ſort veut choquer C’eſt alors que l’on voit la Iuſtice manquer, C’eſt alors que l’on voit que par voyes induës Le peuple eſtre aſſailly d’affamees ſanſuës, Qui ſoubs le nom d’vn Roy par de nouueaux impos Trauaille ces ſubjets & oſtent leur repos, Et rendant odieux le Prince qui ſe fie A ces cameleons peſte de leur patrie, oui fait que ſoubs eſpoir d’acquerir mandement L’Eſtat royal reçoit vn nouueau changement, Ne vous ſouuient-il plus quand le hazard de guerre Vous euſt fait poſſeſſeur de ceſte large terre, Et iettant vos impots ſur vn peuple meſlé Vous voulutes qu’alors le Chreſtien fut foullé.	Sire excusez -moi, la marque plus certaine Du changement d'état, est la chutte prochaine, DO vn Prince malheureux qui le sort veut choquer C'est alors que l'on voit la Justice manquer, C'est alors que l'on voit que par voies induës Le peuple chang assailly d'affamées sansues, Qui sous le nom d'un Roi par de nouveaux impos Travaille ces sujets et ôtent leur repos, Et rendant odieux le Prince qui se fie A ces caméléons peste de leur patrie, oui fait cette soubs espoir d'acquérir mandement Estat royal reçoit nouueau changement, Ne vous souuient-il plus quand le hazard de guerre Vous eût ni possesseur re ç large terre, Et iettant vos impôts sur un peuple meslé Vous voulûtes na le Ty fut ô.
Plus que le Sarrazin & qu’on oſtaſt aux autres Le maniment public pour le donner aux voſtres, N’euſſiez vous creu alors quand ie vous conſeillois De mettre chacun d’eux deſſoubs eſgalles lois.	Plus que le Sarrasin et qu'on ôtât aux autres Le maniment public pour le donner aux vôtres, N'eussiez vous cru alors quand je vous conseillais De mettre chacun d'eux dessous égales lois.
Afin que voſtre regne au moins en ſa naiſſance N’en fut point trauaillé, & n’en euſt cognoiſſance Vn Roy bien aduiſé doit taſcher d’acquerir Le courage de ceux qu’il vient de conquerir, Et pour y paruenir la douceur la clemence Doit eſtre miſe en ieu, & non la violence.	Afin que votre règne au moins en sa naissance N'en fut point travaillé, et n'en eût connaissance Un Roi bien avisé doit tâcher d'acquérir Le courage de ceux qu'il vient de conquérir, Et pour y parvenir la douceur la clémence Doit été mise en jeu, et non la violence.
.	.
t.	t.
v-u - --- Cas-e-	vu -moi -- Cas-las-
Aladin.	Aladin.
Pour les tenir en bride il les faut bien dompter.	Pour les tenir en bride il les faut bien dompter.
Orcan.	Orcan.
Pour les rendre loyaux il les faut bien traicter.	Pour les rendre loyaux il les faut bien traiter.
A ladin.	À ladin.
Vn Prince eſt meſpriſé s’il eſt trop debonnaire.	Un Prince est méprisé s'il est trop débonnaire.
Oreai.	Oreai.
Il ſe fait mal vouloir s’il eſt par trop ſeuere.	Il se fait mal vouloir s'il est par trop sévère.
dladin que luy chaut d’eſtre hay!	dladin que vertu chaut d'être haï!
mais qu’il ſoit redouté.	mais qu'il soit redouté.
Orcan.	Orcan.
Vn tirannique Roy n’eſt iamais en ſeurté.	Un tyrannique Roi n'est jamais en sûreté.
A ladmn.	À ladmn.
La force eſt le ſouſtient de celuy qui commande.	La force est le soutient de celui qui commande.
Accompagnoit mon bras ils n’ont eut la puiſſance, De me vouloir deſplaire, & ores que mes ans Rendent mon corps debille & mes membres pesãs, Ils penſent me brauer comme ſi le courage Du fameux Aladin ſe perdoit auec l’aage, diauio ilMuj anmons cempo ce fiiameulanfere Ils n’en ſont pas exempts il leur eſt preparé.	Accompagnait mon bras ils n'ont eut la puissance, De me vouloir déplaire, et ores que mes ans Rendent mon corps debille et mes membres pu, Ils pensent me braver comme si le courage Du fameux Aladin se perdait avec l'âge, diauio ilMuj anmons ce ce fiameulanfère Ils n'en sont pas exempts il leur est préparé.
Orcan Si lors que par l’effort d’vne troupe indomptee La ville de Syon fuſt d’aſſaut emportee.	Orcan Si lors que par l'effort d'une troupe indompté La ville de Syon fût d'assaut emportée.
Breſchee en tant d’endroits, vous euſſiez entrepris De faire maſſacrer tous ceux qui furent pris.	Breschée en tant d'endroits, vous eussiez entrepris De faire massacrer tous ceux qui furent pris.
Dans le rampar forcé, vous le pouuiez bien faire 2l vous eſton peruiis pal le dront iitaire, Mais ſans quelque forfait de les faire mourir Sire, vous ne pouuez ſans grand blaſme encourir.	Dans le rampar forcé, vous le pouviez bien faire 2l vous éton peruiis pal le dront jitaire, Mais sans quelque forfait de les faire mourir Sire, vous ne pouvez sans grand blâme encourir.
Aladin.	Aladin.
Bien, qu’ils viuent encor pour ceſte meſme cauſe Que vous venez de diré & non pour autre choſe, Ie ſuſpendray l’arreſt que i’ay contre eux ietté Iuſques au premier traict de leur deſloyauté, Cependant il nous faut aduiſer de deſtruire Les baſtimens prochains qu’ils ne nous puiſſent nuire, Auant que les Latins nous viennent aſſieger Il les faut empeſcher de ſi venir loger, Frraue bruner les bleds qui reſtent en la plaine Non encores cueillis, troubler chaque fontaine, Meſlant dans leur criſtal de ſon flot argenté Quelque horrible puanteur qui le rende infecté, De practiquer la ruſe on ne nous peut reprendre Contre nos ennemis quãd ceſt pour nous deffédre, C’eſt loüange en tel cas de ſçauoir engarder Tous les moyens qu’on a pour mieux l’incõmoder, Cependãt il nous faut tenir main qu’on trauaille A terraſſer ſoudain ceſte grande muraille, Qui eſt vers le midy, car c’eſt le lieu moins fort Ou pluſtoſt le Chreſtien pourroit faire vn effort.	Bien, qu'ils vivent encor pour cette autre cause Que vous venez de diré et non pour autre chose, Je suspendrai l'arrêt que j'ai contre eux jeté Jusques au premier trait de leur déloyauté, Cependant il nous faut aduiser de détruire Les bâtiments prochains qu'ils ne nous puissent nuire, Avant que les Latins nous viennent assiéger Il les faut empêcher de si venir loger, Frrave bruner les bleds qui restent en la plaine Trou encores cueillis, trouver chaque fontaine, Mêlant dans leur cristal de son flot argenté Quelque horrible puanteur qui le rende infect, De y la ruse on ne nous peut reprendre Contre nos ennemis quãd cest pour nous deffédre, est loüange en tel cas de y engarder Tous le ren on a pour mieux de, Cependãt il nous faut tenir main on trauaille A terrasser soudain ceste grande muraille, Qui est vers le midy, car est le lieu moins fort Ou plustost le Chrestien pourroit faire effort.
Orcan.	Orcan.
C’eſt tres-bien fait auſui d’vſer de preuoyance Pour mettre vne cite & nous en aſſeurance.	C'est très-bien fait aussi d'user de prévoyance Pour mettre une cite et nous en assurance.
Iſmen conduit au Roy par deux	Ismen conduit au Roi par deux
Soldats & dit.	Soldats et dit.
Des plus ſombres cachots des valons eſcartez Des ſauuages deſerts eſlongnez des citez, Ou ie fais de long temps ſolitaire de meure Sire, le ſoin de vous me r’appelle à cette heure, A ſauuer ma patrie employant le ſçauoir Et leſquels les grands Dieux m’ont donné le pouuoir, De contraindre a mes vœux tous les eſprits rebelles Deſtinez aux tourmens des peines eternelles, Qui me ſont familiers & qui ſans retarder Font tout ce que mes vœux leur ſçauroit cõmãder, Par eux ie peux tourner les bords de la natur e Troubler les elements changer la creature, En vne autre diuerſe & les flots eſcumer Et combattre Neptune au profond de la mer, Eſleuer les mortels par fouure de par cempeſte Faire tomber des Cieux la pluye ſur leur teſte, Et quand ils m’ont faſché faire a coup eſclater La greſle ſur les champs & les moiſſons gaſter, Mille fois en maints iours i’ay fait experience 3	Des plus sombres cachots des valons écartés Des sauvages déserts élongés des cités, Ou ie fais de long temps solitaire de meure Sire, le soin de vous me rappelle à cette heure, A sauver ma patrie employant le savoir Et lesquels les grands Dieux m'ont donné le pouvoir, De contraindre à mes vœux tous les esprits rebelles Destinez aux tourments des peines éternelles, Qui me sont familiers et qui sans retarder Font tout ce que mes vœux leur saurait céder, Par eux ie -fait tourner les bords de la natur e Troubler les éléments sa la créature, En v re diuerse et les flots me Et combattre Neptune au profond de la mer, Esleuer les mortels na fouure de par cempeste Faire tomber des Cieux la pluie sur le teste, Et quand ilsemont fasché té a coup éclater La grêle sur les m et les moissons gâter, Mille fois en maints iours ay fait expérience 3
Aladin Il y a pluſieurs iours qu’il ne m’eſt arriué Rencontre ſi heureux que de t’auoir trouué, Iſmen mignon des Dieux, ie te ſuis redeuable De m’eſtre venu veoir en temps ſi miſerable, Et d’auoir auſſi eu de mon affaire ſoing Touſiours le bon amy ſe cognoiſt au beſoing, ne le mle faille poine aurant noſtre diſ-grace Aduiſe ſeulement ce qu’il faut que ie face, Pour fournir au deſſein que tu as projetté Ie t’y ſeconderay de mon authorité.	Aladin Il y a plusieurs jours qu'il ne m'est arrivé Rencontre si heureux que de t'avoir trouvé, Ismen mignon des Dieux, ie De suis redeuable De m'être venu voir en temps si misérable, Et d'avoir aussi eu de mon affaire soing Toujours le bon ami se connaît au besoin, ne le mêle faille poine aurant notre dis-grâce Aduise seulement ce qu'il faut que plaisir face as Pour fournir au dessein que tu as prote Je t'y seconderai de mon autorité.
Iſmen.	Ismen.
De la viuacité d’vne telle ſcience, Et iamais mes demons à mon ayde inuoquez N’ont mes charmes deſſeus & ne s’ẽ ſont mocquez, Or puis qu’vn fol hermite à d’vn flateur langage Des Princes d’Occident animent le courage, Pour s’armer contre nous, ie me viens preſenter A voſtre majeſté afin de l’aſſiſter, Soit de graue conſeil vtile entre les armes Soit de cela que peuſt la magie & les charmes, Ie ſçay que ſagement vous auez j’à preueu De viure & de ſoldats ceſte ville & pourueu, ou’vn chacun de ſa part s’employe à la deffence Ce lieu ſera la tombe aux eſcadrons de France, De moy ie veux auoir au trauail bonne part Et à l’honneur auſſi de garder le rampart, Si mon ſeruice eſt tel qu’il ait l’heur de vous plaire Aydez moy s’il vous plaiſt a conduire l’affaire.	De la viacité d'une telle science, Et jamais mes démons à mon aide invoquez N'ont mes charmes desseus et ne s'en sont moquez, Or puis qu'un fol ermite à d'un flatteur langage Des Princes d'Occident animent le courage, Pour s'armer contre nous, je me viens présenter A votre majesté afin de l'assister, Soit de grave conseil ville entre les armes Soit de cela que pût la magie et les charmes, Je sais que sagement vous avez j'à preu De viure et de soldats ceste ville et de, s' chacun de sa part employe la deffence Ce lieu sera la tombe aux escadrons de Sa, De moi ie veux auoir au ty bonne part Et lhonneur aussi de à le a, Si mon service est tel il ait heur de vous plaire Aydez m il vous plaît a conduire affaire.
oui vn petit autel ſecretement enſerre, Tourné vers l’Orien, ſur lequel eſt dreſſé Vn image tenant vn enfant embraſſé, Qui eſt fait comme on dit a la viue ſemblance De la femme d’vn Iuif, que la vaine croyance, De ce fol peuple, tient pour mere de ce Dieu Qui naſquit & fut mit en ſepulchre en ce lieu, En tout temps que ce ſoit vne chandelle emprainte Flamboye vis à vis du pourtrait de la Saincte, Et là ſont tout au tour par long ordre apendus Les veux par les deuots trop credulles rendus, Sire.	oui un petit autel secrètement enserre, Tourné vers l'Orien, sur lequel est dressé Un image tenant un enfant embrassé, Qui est fait comme on dit à la vive semblance De la femme d'un Juif, que la vaine croyance, De ce fol peuple, tient pour mère de ce Dieu Qui nasquit et fut mit en sépulcre en ce lieu, En tout temps que ce soit une chandelle emprainte Flamboie vis à vis à pourtrait du la Saincte, Et là sont tout au tour par long ordre apendus Les veux par les dévots trop credulles rendus, Sire.
il faut s’il vous plaiſt que l’effigie oſtee De ce lieu ſoubs terrain ſoit par vous apportee, Dedans noſtre Moſquee, & ie feray des ſors Si puiſſans deſſus elle & des charmes ſi forts, Que iamais ne pourra la ville eſtre forcee Tandis qu’en celle part elle ſera placee, Bien que de l’vniuers tous les peuples meſlez Sans noiſe contre nous ſe fuſſent aſſemblez, exiiii pua le Moyen des enaries duirabreo Ie rendray de Syon les murs inexpugnables, Et voſtre ceptre heureux ſe pourra maintenir Aſſeuré de tout temps aux ciecles aduenir.	il faut s'il vous plaît que l'effigie ôte De ce lieu soubs terrain soit par vous apportée, Dedans notre Mosquee, et un ferai des sors Si puissants dessus elle et des charmes si forts, Que jamais ne pourra la ville être forcée Tandis qu'en celle part elle sera placée, Bien que de l'univers tous les peuples mêlez Des noise contre nous se fussent assemblez, exipi pua le Moyen des enaries duirabreo Je rendrai de Syon les murs inexpugnables, Et votre ceptre heureux se pourra maintenir Assuré de tout temps aux cents advenir.
Aladin, Ie ſçay qu’vn bon demonmon cher Iſmen t’inſpire A ce rare deſſein pour ſauuer c’eſt Empire, Il me tarde deſ-jà que ie ne ſuis allé Dans c’eſt autel prochain de ne ray de potirlé, De ce lieu où elle eſt tenuë en la carolle Que ſi ces baptiſez ceſte nation folle, S’oppoſe à mon deſſein ne voulant la bailler &e m’en vay de ce pas en pieces les tailler.	Aladin, Je sais qu'Han né démon cher Ismen t'inspire À ce rare dessein pour sauver c'est Empire, Il me tarde des-jà que je ne suis allé Dans c'est autel prochain de ne rai de potirlé, De ce lieu où elle est tenue en la carolle Que si ces baptisez cette nation folle, S'oppose à mon dessein ne voulant la bailler ete m'en vais de ce pas en pièces les tailler.
1.	1.
Sold it O cité deſolee, ô bourgeois deſplorables O temple mal-gardé, ô ſoldats miſerables, O.	Sold it Ô cité désolée, ô bourgeois déplorables Ô temple malgardé, ô soldats misérables, Ô.
Prince mal ſeruy, ô de ſaſtreuſe nuict.	Prince mal servi, ô de Sastreuse nuit.
Aladin.	Aladin.
Quels cris entent-ie là, quel tumulte quel bruit.	Quels cris entent-je là, quel tumulte quel bruit.
2 Soldur.	2 Soldur.
Comment pauures chetifs aurions nous l’aſſeurance De nous oſer iamais trouuer en la preſence, Du Roy trop offencé par noſtre laſcheté Qui auoit confié ſur noſtre loyaute, Le ſalut de la ville & de tout c’eſt Empire.	Comment pauvres chétifs aurions -nous l'assurance De nous oser jamais trouver en la présence, Du Roi trop offensé par notre lâcheté Qui avait confié sur notre loyauté, Le salut de la ville et de tout c'est Empire.
A ladin cay tliey venircesgenito Oreciro	À ladin cai tlie venircesgénito Oreciro
Bien i’y vay sire.	Bien j'y vay sire.
Orcan.	Orcan.
1.	1.
Soldat.	Soldat.
Cependant nous l’auons vilainement perdu.	Cependant nous l'avons vilainement perdu.
Orcan.	Orcan.
Le Roy qui a de loing vos propos entendu M’enuoye deuers vous venez il vous demande.	Le Roi qui a de loing vos propos entendu M'envoie devers vous venez il vous demande.
2 Seldat.	2 Seldat.
Pourroit-il pardonner vne faute ſi grande Non non c’eſt à bon droict qu’il nous fera mourif N’ayant ſçeu ſeule ment vne nuict peu tenir, Nos deux yeux ſans auoir la paupiere couuerte Du Morphite bendeau cauſe de noſtre perte, C’eſt tout vn, allons nous ietter à ces genoux Sire, voſtre bonté preigne pitié de nous.	Pourrait-il pardonner une faute si grande Non non c'est à bon droit qu'il nous fera mourif N'ayant su seule ment une nuit peu tenir, Nos deux yeux sans avoir la paupière couverte Du Morphite bendeau cause de notre perte, C'est tout un, allons nous jeter à ces genoux Sire, votre bonté prèsigne pitié de nous.
Aladin.	Aladin.
Qui a-il de nouueau.	Qui a-il de nouveau.
1.	1.
Soldat.	Soldat.
Las.	Las.
vles de clemence.	Ules de clémence.
Aladin.	Aladin.
Leues vous, leuez vous & contez voſtre offence Ie ne ſçaurois venger ny punir vn tel fait, Sans en ſçauoir le crime, & celuy qui l’a fait.	Levez -vous, levez -vous et contez votre offense Je ne saurais venger y punir un tel fait, Sans en savoir le crime, et celui qui l'a fait.
2.	2.
Soldat.	Soldat.
La peine en eſt à nous, au public le dommage Et la coulpe aux Chreſtiens, on à rauy l’Image, Que vous miſtes au Temple hyer de voſtre main On ne la peu garder iuſques au lendemain, Et n’auons i’amais ſçeu ceſte faute cognoiſtre ue le romi emclarrune no mode resesert paroiſtre, Aladin.	La peine en est à nous, au public le dommage Et la coulpe aux Chrétiens, on à rauy l'Image, Que vous mîtes au Temple hier de votre main On ne la peu garder jusqu' au lendemain, Et n'avons jamais su cette faute connaître ue le romy emclarrune nô de resesert paraître, Aladin.
Ah!	Ah!
Cieux comment cela?	Cieux comment cela?
Sire ſoudainement 1.	Sire soudainement 1.
Soldat.	Soldat.
Que nous euſmes receu voſtre commandement, Nous allaſmes poſer cordegarde à la porte De voſtre Temple ſainct, aſin qu’en nulle ſorte, Aucun ne peuſt entrer dedans ſans voſtre adueu Nous auions allumé ſur le ſoir vn grand feu, Affin de mieux y veoir durant ceſte nuict ſombre Et pour n’eſtre trompez a la faueur de l’ombre, Mes compagnons & moy auions fait tout au tour La garde à l’enuiron iuſques au poinct du iour, Mais ſentant la fraiſcheur de l’aurore prochaine Ils ſe ſont endormis, ſinon moy qui à peine, Auois le chef penché, & l’œil demy ſcillé Que me leuant debout, ie ſuis tout droit allé, Dans le Temple pour veoir l’effigie enchargee:	Que nous eûmes rece voir commandement, Nous allâmes poser cordegarde à la porte De votre Temple saint, asin qu'en nulle sorte, Aucun ne pût entrer dedans sans votre aveu Nous avions allumé sur le soir un grand feu, Affin de mieux y voir durant cette nuit sombre Et pour n'être trompez à la faveur de l'ombre, Mes compagnons et moi avions fait tout au tour La garde à l'environ jusqu' au point du jour, Mais sentant la fraîcheur de l'aurore prochaine Ils se sont endormis, sinon moiqui peine, Si le chef penché,on moi demi scillé Qui à leuant debout, ie et l' droit allé, Dans le à pour veoir neffigie enchargee:
