A MADAMOISELLE DE ROHAN.	À MADAMOISELLE DE ROHAN.
que s’il y en auoit de ſi ignorans & de ſi barbares qui n’euſſent pas cette cognoiſſance, il eſt impoßible qu’il y en ait qui, au ſeul nom de Monſeigneur le Duc vostre pere, & de Madame voſtre mere, ne confeſſent que de ſi grands perſonnages, les merueilles de l’vn & de lautre ſe:	que s'il y en avait de si ignorants et de si barbares qui n'eussent pas cette connaissance, il est impossible qu'il y en ait qui, au seul nom de Monseigneur le Duc votre père, et de Madame vôtre mère, ne confessent que de si grands personnages, les merveilles de l'un et de lautre se:
Mil Sueme .	Mil Sume .
& l’honneur de noſtre ſiecle ne peuuent vous auoir donné l'eſtre, & vous auoir eſleuée ſans que vous ayez toutes les perfections que l’on deſire aux plus grandes Princeſſes, ie me contenteray donc d’admirer en vous tous ces grands aduanrages que les anciens & les modernes n’ont iamais trouué que ſeparez en pluſieurs, & ie vous ſupplievay cependant de prendre en voſtre protection cette genereuſe Amante, & d’excuſer les ſaillies & les deſguiſemens de Cintille, puis que l’amour les a fait naiſtre, & que toutes les Dames n’ont pas comme vous, l’eſprit aſſez fort pour s’en defendre, & ie vous aſſeureray que ſi vous trouuez quelque tutrijjememenla lecture de leurs trauerſes, ie jeray plus neureux que te reſte des hommes:	et l'honneur de notre siècle ne peuvent vous avoir donné l'être, et vous avoir élevée sans que vous ayez toutes les perfections que l'on désire aux plus grandes Princesses, Seigneur me contenterai donc d'admirer en vous tous ces grands avanrages que les anciens et les modernes n'ont jamais trouvé que séparez en plusieurs, et je vous supplievai cependant de prendre en votre protection cette généreuse Amante, et d'excuser les saillies et les déguisements de Cintille, puis que l'amour les a fait naître, et que toutes les Dames n'ont pas comme vous, eesprit que tout es les homme, et ie fort asseureray que si pou trouuez s' en lecture dé leurs trauerses, ie jeray plus neureux que te reste des hommes:
außi ſuis-ie	aussi suis-je
MADAMOISELLE,	MADAMOISELLE,
Le plus humble, le plus affectionné, & le plus obeïſfant de tous vos ſeruiteurs DE RAYSSIGVIER.	Le plus humble, le plus affectionné, et le plus obéissant de tous vos serviteurs DE RAYSIGUIER.
ARGVMENT.	ARGUMENT.
2V2 & Ronte aimoit Calirie dés le berceau, eſgalement aimé d’elle, du'rant la force de leur affection Alidor ſon nepueu reuient d’Angleterre, où il auoit eſté long temps, & d’abord qu’il voit Calirie en deuient amouteux, ſans ſe ſouuenir, ny de l’amitié que ſon oncle luy portoit, ny des obligations qu’il luy auoit, ſa paſſion vint à tel poinct, que ne l’oſant deſcouurir, de peur d’offenſer ſon oncle, ſon mal caché ſe rendant plus violent, il tombe malade, O ronte qui aimoit ce nepueu, comme ſi c’euſt eſté ſon fils, employe toute la medecine pour ſa guariſon, & voyant que c’eſtoit inutilement, il en parle à vn Medecin de ſes amis, auec de ſi grandes marques de ſon deſplaiſir, que l’autre s’oblige à deſcouurir le ſujet du mal d’Alidor à cét effet, il ſe tient deux ou trois iours auprés du malade, & faiſant des obſeruations particulieres de l’extraordinaire mouuement dupouls, & des changemens dũ vſſage d’Alidor, lors que Calirie entroit dans ſa chambre, il creut que l’amour de Calirie le rendoit malade, cette croyance l’oblige de dire à Oronte, que s’il vouloit conſeruer ſon nepueu, il luy falloit donner Calirie, ce diſcours eſtonne Oronte, & toutesfois l’amitié qu’il auoit pour ſon nepueu le fait paſſer pardeſſus toutes les conſiderations de l’amour de Calirie, & ſe reſout de luy ſauuer la vie, en ſe priuant de ce qu’il auoit de plus cher, & pour n’y perdre point de temps, il voit Calirie, la prie de viſiter ſouuent ſon nepueu, & de le careſſer, & cependant il va chez Larinthe, luy propoſe les aduantages du mariage deſon nepueu & de ſa fille, & – paſſe iuſqu’à la concluſion, il porte ces nouuelles à Alidor, qui viſité ſouuent de Calirie, commençoit à ſe remettre, ce qui le remit tout à fait ſur pied:	 et Ronte aimoit Calirie dés le berceau, également aimé elle, rant la force de leur affection Alidor son nepueu reuient Angleterre, il auoit esté long temps, et abord il voit Calirie en dévient amouteux, sans se souuenir, ni de amitié que son oncle lui portoit, ni des obligations il lui auoit, sa passion vint tel poinct, que ne osant descouurir, de peur offenser son oncle, son mal caché se rendant plus violent, il tombe malade, Ô ronte qui aimoit ce nepueu, comme si eût esté son fils, employe toute la médecine pour sa guarison, et voyant que estoit inutilement, il en parle Medecin de ses amis, auec de si grandes marques de son déplaisir, que autre oblige descouurir le sujet du mal Alidor cét effet, il se tient deux ou trois iours auprés du malade, et faisant des aimait particulières dès lextraordinaire berce au, et des changemens t aimé d'Elle, lors du Calirie entroit la sa for, il ce de leur de Calirie on rendoit malade, cette son noblige de vie ntIon, à l' Anglet err son nepueu, il où il a Vay, ce discours été Longtemps, et toutesfois d'abord qu'il voit pour son en de vi passer pardessus toutes les ors de quamour de Calirie, et se ans se lui sauuer la nir, ni de l' ami ce quil son de plus était, et pour ny des point de temps' il lui Avait, sa prie de visiter on vin nepueu, à te le caresser, que ne l' va chezOuvrir, et de les ur d' mariage deson nepueu et on sa fille, eton ma iusqu’ la conclusion, il hé se ren à Alidor, us vi souuent de Calirie, il e se remettre, vis qui ce ne m a la sur de,
durant que cela ſe paſſe, Cintille qui aimoit Alidor, & qui en auoit eſté aimée en Angleterre, preſſee de ſa paſſion, & aydee de la reſſemblance qu’elle auoit à ſon frere Alcandre, auoit pris des habits d’homme, & eſtoit venuë en France, où ne pouuant voir Alidor, à cauſe de ſon mal, elle fit cognoiſſance auec vn ieune Gentilhomme François nommé Florintor, amoureux de Meliſſee, & qui pour diuertir, le feint Alcandre l’auoit ſouuent conduit chez ſa Maiſtreſſe Meliſſee, qui n’ayant peu reſiſter à la force des yeux de cette fille deſguiſee en deuient amoureuſe, la croyant Alcandre, & pour l’obliger, parce qu’elle l’en auoit priee, fait bonne mine à Florintor, non pas ſans donner des teſmoignages à Cintille de ſa paſſion, mais cette fille qui n’auoit que l’amour d’Alidor dans l’eſprit ſe feint, attendant l’occaſion de voir ſon Amant, elle le voit en fin, mais en eſt receuë, comme ſi veritablement elle euſt eſté ſon frere Alcandre, ſans que parmy leurs diſcours Alidor nommaſt iamais Cintille, ce qui la picqua ſi fort, qu’elle le quitte tout en cholere, & prend reſolution de retourner dans vne ſollitude où elle auoit eſté quelque temps:	durant que cela se passe, Cintille qui aimait Alidor, et qui en avait été aimée en Angleterre, pressée de sa passion, et aidée de la ressemblance qu'elle avait à son frère Alcandre, avait pris des habits d'homme, et était venue en France, où ne pouvant voir Alidor, à cause de son mal, elle fit cognoissance auec vn Ameune Gentilhomme François nommé Florintor, amoureux de Melisse, et qui pour divertir, le feint Alcandre l'avait souuent conduit chez sa Maîtresse Melisse, qui n'a peu y la force des yeux de cette fille desguisee en dévient amoureuse, la et Alcandre, et pour obliger, parce quelle en y priee, fait bonne mine Florintor, non pas sans donner des témoignages ' Elle de sa passion, mais cette fille qui auoit que amour Alidor dans esprit se feint, attendant occasion de voir son Amant, elle le voit en fin, mais en est receuë, comme si table elle eût esté son frère a, sans que parmi leurs discours Alidor nommât iamais Cintille, ce qui la picqua si fort, elle le quitte tout en re, et prend résolution de retourner dans sollitude elle auoit esté quelque temps:
Auparauant que de partir elle donne chargea Orcan vieux Gentil-homme qu’elle auoit emmené, de ſçauoir ce qui pouuoit obliger Alidor à la traicter de la ſorte, Orcan prend ce ſoin auec affection, & faict ſi bien qu’il apprend que Calirie eſtoit l’object des paſſions d’Alidor, que ſon oncle auoit traicté leur mariage auec la mere de la fille, & que toutesfois Oronte ayant veu que ſon nepueu ſans mourit auoit ſouffert le refus de Calirie, faiſoit ſon poſſible pour ſe remettre bien auec elle, & que lors qu’il eſtoit ſur le poinct d’obtenir le pardon de ſa faute, Alidor eſtoit ſuruenu, qui ſe voyant mal traicté de ſa Maiſtreſſe, & trompé par ſon oncle, fit quelques reproches à tous les deux, & fait effort de ſe tuer, Calirie l’en empeſche, & promet à l’vn & à l’autre de les contenter le lendemain, ce qu’Orcan ayant rapporté à Cintille, elle ſe reſout de quitter ſa ſolitude, reuient à la Cour, croit Meliſſee, qui luy deſcouure ouuertement ſon amour, qu’elle rejette le plus honneſtement qu’elle peut, s’excuſant ſur l’affection qu’elle auoit pour Doris, & luy parle pour Florintor, Meliſſee faſchec la quitte, rencontre Florintor, & le traicte plus mal qu’elle n’auoit iamais faict, luy diſant qu’elle ne l’auoit ſoüffert que pour obliger Alcandre, & non luy, Florintor tout eſtonné ſe retire, & va faire ce diſcours à Cintille, qui luy confeſſe qu’il eſtoit vray que Meliſſee luy auoit teſmoigné de amour, mais que cela ne le deuoit pas troubler, puis qu’il eſtoit impoſſible qu’elle la contentaſt, Florintor aucunement ſatisfait, laiſſe Cintille, qui le prie pourtant de la ſuiure bien toſt chez Meliſſee où elle alloit, & que de là tous trois enſemble ſe rendroient chez Calirie, où ſe deuoit vuider ce iour-là la querelle de l’oncle & du nepueu, Calirie cependant qui n’auoit point repoſé, ſongeant aux moyens de contenter Oronte ſans faſcher Alidor, prend vne eſtrange reſolution, & d’vne poincte de diamant gaſte tous les beaux traits de ſon viſage, ſa mere arriua ſur cepoinct, qui la voyant toute en ſang s’eſcrie, Cintille, Meliſſee, & Florintor ſuruiennent, qui eſtonnez d’vn accident ſi cruel s’informent du nom du barbare qui auoit oſe ruiner tant de beautez, Calirie ſans s’eſmouuoir leur dit, que ç’auoit eſté Oronte & Alidot, Oronte arriue là deſſus, & faiſant la meme demande que les autres, apprend par la bouche de Calirie, que c’eſtoit luy & ſon nepueu qui l’auoit miſe en ſi mauuais eſtat, Alidor qui auoit eu la nouuelle de l’accidẽt de Calirie, vient tout en fureur, prot eſtant d’oſter la vie à celuy qui auoit oſé mettre la main ſur ſa Maiſtreſſe, mais il n’euſt pas plus toſt veu ce viſage tout en fang, qu’il détourne ailleurs ſa veuë, ce que Calirie ayant apperceu, prend occaſion de luy dire qu’elle auoit touſiours creu qu’il n’auoit aimé que ſa beauté exterieure, que pour cette raiſon elle l’auoit voulu perdre, & que ſans doute Oronte l’en aimeroit dauantage, puis qu’ellene l’auoit perduë que pour ſe conſeruer à luy ſeul, toute l’aſſiſtãce admire cette action genereuſe, & lors qu’Alidor ſe veut ietter à genoux pour leur demander pardon, il eſt interrõpu par Cintille, qu’il croit touſiours eſtre Alcandre, ce qui le fait reſſouuenir du tort qu’elle auoit fait à Cintille, c’eſt pourquoy il la prie de le vouloir remettre en graceauprés de ſaſœur, Cintille qui le voit re1 pentant, luy fait perdre cet te croyance, & ſe fait cognoiſtre pour ce qu’elle eſtoit, ce nouuel accident donne autant d’eſtonnemnent à toute la compagnie, que l’action de Calirie leur auoit donné de l’admiration, & principalement à Meliſſee, qui hõteuſe d’auoir aimé vne fille, & preſſce par elle-meſme de recognoiſtre l’amour de Florintor, promet de l’aimer, Cintille pardonne à Alidor, Calirje eſt extrémement contente d’eſtre auſeul Oronte, & de voir Alidor ſatisfait, la mere qui craignoit que le mal de ſa fille ne s’enuenimaſt, les oblige de ſe retirer, & prie Cintille & Meliſſee de prendre ſa maiſon, en attendant que la gueriſon de ſa fille leur permit de receuoir les plaiſirs qu’elles attendoient de leur amour, par le mariage de toutes trois, auec les perſonnes ay	Auparauant que de partir elle donne chargea Orcan vieux Gentil-homme elle auoit emmené, de sçauoir ce qui pouuoit obliger Alidor la traicter de la sorte, Orcan prend ce soin auec affection, et faict si bien il apprend que Calirie estoit object des passions Alidor, que son oncle auoit traicté leur mariage auec la mere de la fille, et que toutesfois Oronte ayant que son nepueu sans mourit auoit souffert le refus de Calirie, faisoit son possible pour se remettre bien auec elle, et que lors il estoit sur le poinct obtenir le pardon de sa faute, Alidor estoit survenu, qui se voyant mal traicté de sa Maistresse, et trompé par son oncle, fit quelques reproches tous les deux, et fait effort de se tuer, Calirie en empêche, et promet et autre de les contenter le lendemain, ce Orcan ayant rapporté Cintille, elle se résout de quitter sa solitude, reuient la Cour, croit Melissee, qui lui descouure ouuertement son amour, elle rejette le plus honnêtement elle peut, excusant sur affection elle auoit pour Doris, et lui parle pour Florintor, Melissee faschec la quitte, rencontre Florintor, et le traicte plus mal elle auoit iamais faict, lui disant elle ne auoit soüffert que pour obliger Alcandre, et non lui, Florintor tout estonné se retire, et va faire ce discours Cintille, qui lui confesse il estoit vrai que Melissee lui auoit tesmoigné de amour, mais que cela ne le deuoit pas troubler, puis il estoit impossible elle la contentât, Florintor aucunement satisfait, laisse Cintille, qui le prie pourtant de la suiure bien tôt chez Melissee elle alloit, et que de tous trois ensemble se rendroient chez Calirie, se deuoit vider ce iour-là la querelle de oncle et du nepueu, Calirie cependant qui auoit point reposé, songeant aux moyens de contenter Oronte sans fâcher Alidor, prend étrange résolution, et poincte de diamant gâte tous les beaux traits de son visage, sa mere arriua sur cepoinct, qui la voyant toute en sang écrie, Cintille, Melissee, et Florintor surviennent, qui étonnez accident si cruel informent du nom du barbare qui auoit ose ruiner tant de beauté, Calirie sans esmouuoir leur dit, que auoit esté Oronte et Alidot, Oronte arriue dessus, et faisant la meme demande que les autres, apprend par la bouche de Calirie, que estoit lui et son nepueu qui auoit mise en si mauuais estat, Alidor qui auoit eu la nouuelle de accidẽt de Calirie, vient tout en fureur, prot estant ôter la vie celui qui auoit osé mettre la main sur sa Maistresse, mais il eût pas plus tôt ce visage tout en sang, il détourne ailleurs sa veuë, ce que Calirie ayant apperceu, prend occasion de lui dire elle auoit tousiours creu il auoit aimé que sa beauté extérieure, que pour cette raison elle auoit voulu perdre, et que sans doute Oronte en aimeroit dauantage, puis ellene auoit perduë que pour se conserver lui seul, toute assistãce admire cette action généreuse, et lors Alidor se veut ietter genoux pour leur demander pardon, il est interrõpu par Cintille, il croit tousiours être Alcandre, ce qui le fait ressouuenir du tort elle auoit fait Cintille, est pourquoi il la prie de le vouloir remettre en graceauprés de sasœur, Cintille qui le voit pentant, lui fait perdre cet te croyance, et se fait cognoistre pour ce elle estoit, ce nouuel accident donne autant estonnemnent toute la compagnie, que action de Calirie leur auoit donné de admiration, et Auparavant Melissee, qui hõteuse pauoir sa v ie, et de sang elle-même la rés amour de Florintor, et de u'elle, Ne pardonnera Blé, Et qu' extrémement contente dêtre SaVoir, et ce qui Se laissait, la mere Ali vit ter de la de ra fille me envenimât, de oblige la se retirer, Oran prend Ce et Soin avec prendre sa maison, et fait que si bien qu' il fille leur permit de receuoir des pass elles ions de ' A, par le mariage de toutes trois, que les son ay
AV SIEVR DE RAYSSIGVIER.	AU SIEUR DE RAYSIGUIER.
TANCES.	TANCES.
Her amy tu n'esperes pas, Que par les vers que ie te donne Ie vueille ſur ta teſte affermir la Couronne, Qui ſauue les nomis du trespas, Quelque amitié que ie te porte, Ie n'ay pas la voix aſſez forte Pour parler dignement de toy, Außin eſt-ce pas ma penſee, Ie ne veux parler que de moy, Et des traicts amoureux dont mon ame eſt bleſſee	Her ami tu n'espères pas, Que par les vers que je te donne Ie veille sur ta tête affermir la Couronne, Qui sauve les nomis du trépas, Quelque amitié que sans te porte, Je n'ai pas la voix assez forte Pour parler dignement de toi, Aussin est-ce pas ma pensée, Je ne veux parler que de moi, Et des traits amoureux dont mon âme est blessée
Tu ſçais deſia que mes douleurs Ne me donnent point de relaſche, Que tout autre que moy ſeroit deuenu laſche Au milieu de tant de malheurs, Mon ame toutesfois s’obstine A la paßion qui la mine, Et malgré tous les accidens Qui depuis quatre ans me pourſuiuent, Mes deſirs ſont encor ardens, Ie bruſle pour Aminte, & mes feux touſiours viutent.	Tu sais déjà que mes douleurs Ne me donnent point de relâche, Que tout autre que moi serait devenu lâche Au milieu de tant de malheurs, Mon âme toutefois s'obstine À la passion qui la mine, Et malgré tous les accidents Qui depuis quatre ans me poursuivent, Mes désirs sont encor ardents, Je brûle pour Aminte, et mes feux toujours viutent.
L’on a trauersé noſtre ardeur Par de ſi damnables malices, Que ie ne ſçay comment leurs traiſtres artifices Ne m’ont donné de la froideur, Tout le monde m’a voulu nuire, Et ſes parens pour me deſtruire Ont recherché tous les moyens Qu'en ſçauroit trouuer la puiſſa nce ui n'espargne credit, ny biens	L'on a traversé notre ardeur Par de si damnables malices, Que ie ne sais comment leurs traîtres artifices Ne m'ont donné de la froideur, Tout le monde m'a voulu nuire, Et ses parents pour me détruire Ont recherché tous les moyens Qu'en saurait trouver la puissa née 'épargne crédit, ni biens
A rendi A rendre criminelle vne foible innocence.	A rendi A rendre criminelle une faible innocence.
Mon ame incapable de peur, Se mocquoit de leur ſourde guerre, Et i’esperois de voir reduire leur tonnerre En vne legere vapeur, Quand mon Aminte toute en larmes Me vint conjurer par ſes charmes De m'abſenter de ſes yeux, Et par vn exil volontaire, De fuyr les conſeils vicieux, Le tes m'auuan deſſeins a vne femme encholere?	Mon âme incapable de peur, Se moquait de leur sourde guerre, Et j'espérais de voir réduire leur tonnerre Enfin légère vapeur, Quand mon Aminte toute en larmes Me vint conjurer par ses charmes De m'absenter de ses yeux, Et par un exil volontaire, De fuir les conseils vicieux, Le tes m'avan desseins a une femme encholère?
Iele fis de peur de faillir Aux commandemens de ma belle, Mais helas!	Jele fis de peur de faillir Aux commandements de ma belle, Mais hélas!
außsi toſt que ie m'eſloigne d’elle Mille ennuis vindrent m’aſſaillir:	aussi tôt que beau m'éloigne d'elle Mille ennuis vindrent m'assaillir:
Ie recognois à mon dommage Que de quitter vn beau viſage 12 C - A Qui nous aime parfaitement Eſt vn mal plus inſupportable A la conſtance d’vn Amant, Que tout ce que la mort a de plus effroyable.	Je reconnais à mon dommage Que de quitter un beau visage 12 Ç - A À nous aime parfaitement Est un mal plus insupportable À la constance d'un Amant, Que tout ce que la mort a de plus effroyable.
I’ay couru de diuers coſtez Dans le Piedmont, dans la Lorraine, Et dans ces lieux pourtant i’ay reſſenty la peine, D’auoir eſloigné ſes beautez, Par tout mon ame eſt tourmentée Du regret de l’auoir quittée, Pour contenter mes ennemis, I’ay pesté contre ceſte abſence, Et comme d’vncrime commis, Ie me ſuis repenty de monobeyſſance.	J'ai couru de divers côtés Dans le Piedmont, dans la Lorraine, Et dans ces lieux pourtant j'ai ressenti la peine, D'avoir éloigné ses beautés, Par tout mon âme est tourmentée Du regret de l'avoir quittée, Pour contenter mes ennemis, J'ai pesté contre cette absence, Et comme d'uncrime commis, Je me suis repenti de monobéissance.
Mais l'ab ſence ne ſeroit rien, Si par vn malheur plus eſtrange On ne m’empeſchoit pas d’eſcrire à mon bel Ange,  - C- Pour charmer ſon mal & le mien, Elle eſt touſiours enuironnée De cette race deſtinée, A trauerſer nos paßions, Mill' Argus veillent autour d’elle Qui cenſurent ſes actions, Et taxent ſon esprit de m'eſtre trop fidelle.	Mais l'ab sence ne serait rien, Si par un malheur plus étrange On ne m'empêchait pas d'écrire à mon bel Ange, - Ç- Pour charmer son mal et le mien, Elle est tousiours enuironnée De cette race destinée, A trauerser nos passions, Mill' Argus veillent autour elle Qui censurent ses actions, Et taxent son esprit de m'être trop fidelle.
Iuge de l’eſtat où ie ſuis, Et ſi ie dois hayr ma vie, Voyant qu'à mon ſujet Aminte eſt pourſuiuie:	Juge de l'état où tu suis, Et si ici dois haïr ma vie, Voyant qu'à mon sujet Aminte est poursuivie:
A toute heure de tant d’ennuis N’aurois-ie pas raiſon de craindre, Qu'enfin on l’aura peu contraindre De ſe porter au changement, Et qu’oubliant ſon cher Alcide, Elle aura fait vn autre Amant, Et ſera dans ſa flâme ou trop laſche, ou perfide.	À toute heure de tant d'ennuis N'aurais-je pas raison de craindre, Qu'enfin on l'aura peu contraindre De se porter au changement, Et qu'oubliant son cher Alcide, Elle aura fait un autre Amant, Et sera dans sa flamme ou trop lâche, ou perfide.
Non, non, cher amy, i'aurois tort Si i’auois cette folle crainte:	Non, non, cher ami, j'aurais tort Si j'avais cette folle crainte:
Le traict dont mon Aminte a ſa belle ame atteinte *01b La doit bleſſer iuſqu'à la moi 2- Et moy quelque choſe qu'agiſſent.	Le trait dont mon Aminte a sa belle âme atteinte *00b La doit blesser jusqu'à la moi 2- Et moi quelque chose qu'agissent.
Ceux dont les plailirs ſe nourriſſent De nos ſouſpirs, & de nos pleurs, Ie veux conſeruer dans mon ame, Malgré l’effort de mes douleurs, luſques au monument vne ſi belle flame.	Ceux dont les plailirs se nourrissent De nos soupirs, et de nos pleurs, Je veux conserver dans mon âme, Malgré l'effort de mes douleurs, lusques au monument une si belle flamme.
Et i’espere que quelque iourLe Ciel laße de nous pourſuiure, 2 * Changeant nos ennemis, nous pẽrmettra de viur Et de iouyr de noſtre amour.	Et j'espère que quelque jourLe Ciel lasse de nous poursuivre, 2 * Changeant nos ennemis, nous pẽrmettra de vivr Et de jouir de notre amour.
Vne nauire vagabonde  N'eſprougo ſã touſiours ſur P'onde, Neptune, & les vents courroucez, Elle y trouue quelque bonace, Bh V	Une navire vagabonde N'éprougo sou toujours sur P'onde, Neptune, et les vents courroucés, Elle y trouve quelque bonace, Bh V
Ton Oronte, & ton Alidor, Ta Cintille, & ta Calirie, Ont reſſenty d’amour la mortelle furie, Et la reſſentiroit encor, Si le Ciel pour eux pitoyable, Lors qu’il ſembloit plus incroyable, N’euſt ſecouru tous ces Amans, Et changé leurs peines cruelles Aux extrémes contentemens, Que l'on gouſte parmy des flâmes nutuelles.	Ton Oronte, et ton Alidor, Ta Cintille, et ta Calirie, Ont ressenti d'amour la mortelle furie, Et la ressentirait encor, Si le Ciel pour eux pitoyable, Lors qu'il semblait plus incroyable, N'eût secouru tous ces Amants, Et changé leurs peines cruelles Aux extrêmes contentements, Que l'on goûte parmi des flammes nuelles.
I Par A.	I Par A.
I.	I.
D.	D.
M.	M.
14 I quelques-vns trouuent mauuais que i’aye meſlé quelques autres amours dãs l’hiſtoire de Celidee, de Tamire, & de Celidon, & que ie ne l’aye pas traittee de meſme qu’elle eſt dans Monſieur d’Vrfé, ie les prie auparauant que de me blaſmer de conſiderer qu’elle eſtoit de ſoy trop nuë pour le theatre, que l’embelliſſement que ie luy donne n’eſt point deſagreable, & ne rend pas le ſubjet moins intelligible, que la conduite en eſt ſi iudicieuſe, que les honneſtes gens qui l’ont veuë repreſenter l’ont eſtimee, que c’eſt la ſeule ſatisfaction que i'en attendois, & que i’attens de ceux qui prendront la peine dela lire.	14 I quelques-je trouvent mauvais que j'aie mêlé quelques autres amours dans l'histoire de Célide, de Tamire, et de Célidon, et que sans ne l'aie pas traie de même qu'elle est dans Monsieur d'Vrfé, Seigneur les prie auparavant que de me blâmer de considérer qu'elle était de soi trop nue pour le théâtre, que l'embellissement que je lui donne n'est point désagréable, et ne rend pas le sujet moins intelligible, que la conduite en est si judicieuse, que les honnêtes gens qui l'ont vue représenter gen estimée, que est la ' satisfaction ts l'en attendois, et que çattens de ceux qui prendrontla peine dela lire.
Adieu.	Adieu.
	
AACTEVRS.	ÀACTERS.
RONTE, oncle d’Alidor, amoureux on de Calirie.	RONTE, oncle d'Alidor, amoureux on de Calirie.
LE MREbsorrr	LE MREsorr
CALIRIE aſſoureule dGronte.	CALIRIE assoureule dGronte.
CINTILLE touſiours ſous le nom & l’habit d’Alcandre ſon frere, amoureuſe d’AERelere.	CINTILE toujours sous le nom et l'habit d'Alcandre son frère, amoureuse d'AERelere.
ORCAN Gentilhomme de Cintille.	ORCAN Gentilhomme de Cintille.
FLORINTOR amoureux de Meliſſee.	FLORINTOR amoureux de Mélissee.
MELISSEE aflioureuie de Cintille, la croyant Alcandre.	MELISE afflioureuie de Cintille, la croyant Alcandre.
4	4
PAGE de Meliſſee.	PAGE de Mélissee.
