MONSEIGNEVR,	MONSEIGNEUR,
191 dlia liosnar Le Ciel ne laiſſera pas ſes crimes impunis.	191 dlia liônar Le Ciel ne laissera pas ses crimes impunis.
LA REINE.	LA REINE.
TTC Tu m’affliges au lieu de me conſoler, chere Couſine, en me tenant ce diſcours:	TTC Tu m'affliges au lieu de me consoler, chère Cousine, en me tenant ce discours:
ne ſçais-tu pas que dans la condition où ie ſuis, ie dois par tagerauec luy toutes ſes peines?	ne sais-tu pas que dans la condition où tu suis, Elle dois par tageraveci luy toutes ses peines?
T	T
LEOIRCE.	LEOICE.
l'il vidior neid noir son HoM Ie ſçay bien, Madame, que V.	l'il vitor ne nid son HoM Je sais bien, Madame, que V.
M.	M.
Faime vniquement, & par deuoir & par inclination;	Faime uniquement, et par devoir et par inclination;
mais la preuoyanee que i’ay de ſon mal-heur, me fait pailer de la ſorte.	mais la preuoyane que j'ai de son malheur, me fait pailer de la sorte.
mil oy xus donſlebnφulo	mil ois x donslebnφulo
LA REINE.	LA REINE.
Il a beau eſtre coupable deuant Dieu;	Il a beau être coupable devant Dieu;
il ne le ſçauroit eſtre dans mon Alle, puis qu’il poſſede mon cœur.	il ne le saurait être dans mon Alle, puis qu'il possède mon cœur.
CLEONICE.	CLÉONICE.
Que cette paſſion eſt loüable, Madame, en V.	Que cette passion est louable, Madame, en V.
M.	M.
Ie ſouhaiterois que le Roy en connuſt & la verité, & le merite.	Je souhaiterais que le Roi en connût et la vérité, et le mérite.
LA REINE.	LA REINE.
Cette connoifſance me ſeroit inutile dans l’aueuglement où il eſt.	Cette connaissance me serait inutile dans l'aveuglement où il est.
Arthenice le tient enchainé auec des liens ſi forts, que la Mort ſeule les peut lelpres	Arthénice le tient enchaîné avec des liens si forts, que la Mort seule les peut lelpres
CLEONICE.	CLÉONICE.
Veritablement, Madame, voſtre Maieſté a beſoin de toute ſa conſtance, pour ſouffrir ſans murmurer vn ſi ſenſible deſplaiſir.	Véritablement, Madame, votre Majesté a besoin de toute sa constance, pour souffrir sans murmurer un si sensible déplaisir.
ACIRO	ACIRO
LA REINE.	LA REINE.
Ma conſtance ſeroit bieli foibie, ir ie Ciel ne l’appuyoit:	Ma constance serait bieli faibie, ir ie Ciel ne l'appuyait:
nous ne pouuons de nous-meſmes que ſoupirer, & que nous plaindre;	nous ne pouvons de nous-mêmes que soupirer, et que nous plaindre;
c’eſt à luy ſeul à nous conſoler.	c'est à cause seul à nous consoler.
Mais, Seigneur, ſi tes Decrets eternels m’ont deſtinée aux tourmens dont mes pechez & ta Iuſtice me menacent, apprens, apprens moy à t’aimer, afin que cette amour m’apprenne à ſouffrir;	Mais, Seigneur, si tes Décrets éternels m'ont destinée aux tourments dont mes péchés et ta Justice me menacent, apprends, apprends moi à t'aimer, afin que cette amour m'apprenne à souffrir;
en me faiſant Reine de cét Empire tu m’as donné les Roſes en partage:	en me faisant Reine de cet Empire tu m'as donné les Roses en partage:
mais ie ſuis fort aiſe que mes mal-heurs, les ayant fait fleſtrir ſur ma teſte, & que les eſpines m’en demeurent;	mais ie suis fort aise que mes malheurs, les ayant fait flétrir sur ma tête, et que les épines m'en demeurent;
puiſque tu en as eſté couronné, ton exemple me leruira de conlolation, AIbMIMS HUUI	puisque tu en as été couronné, ton exemple me lervira de conlolation, AIbIMS HUI
011 SCLNVE III LE ROY, ſeul.	011 SCLNVE III LE ROY, seul.
1d0111990	1d011990
VE ie ſuis inquieté dans mes grandeurs!	VE esprit suis inquiété dans mes grandeurs!
que ie ſuis mal-heureux parmy les felicia tez de ma condition ſouueraine!	que ici suis malheureux parmi les felicia tés de ma condition souveraine!
Ie veux que l’éclat de ma Couronne me faſſe aimer de mes ſubiets, craindre de mes Ennemis, & enuier de tous les autres Rois de la Terre;	Je veux que l'éclat de ma Couronne me fasse aimer de mes sujets, craindre de mes Ennemis, et envier de tous les autres Rois de la Terre;
toutes ces marques de pouuoir me reprochent honteuſement ma foibleſſe, puis qu’vn Enfant me fait la loy.	toutes ces marques de pouvoir me reprochent honteusement ma faiblesse, puis qu'un Enfant me fait la loi.
O Deſtins trop abſolus pour ma ruine!	Ô Destins trop absolus pour ma ruine!
pourquoy permettez vous qu’Amour allume dans mon ame vn feu qui ne ſe peut eſteindre qu’auec la derniere goutte de mon ſang?	pourquoi permettez -vous qu'Amour allume dans mon âme un feu qui ne se peut éteindre qu'avec la dernière goutte de mon sang?
Ie ſçay bien qu’Arthenice eſt née ma ſubiette;	Je sais bien qu'Arthénice est née ma sujet;
mais vous luy auez donné en naiſſant de certains charmes qui m’ont aſſubietty moy meſme;	mais vous lui avez donné en naissant de certains charmes qui m'ont assubietty mo même;
de ſorte qu’au lieu d’attendre vn hommage de ſon deuoir, ie ſuis contraint de luy rendre celuy de mon obeïſſance.	de sorte qu'au lieu d'attendre un hommage de son devoir, tu suis contraint de m rendre celui de mon obéissance.
Elle veut porter auec mon Eſpouſe la qualité de Reine, comme ſi les Sceptres & les Couronnes ſe pouuoient partager:	Elle veut porter avec mon Êpouse la qualité de Reine, comme si les Sceptres et les Couronnes se pouvaient partager:
leur authorité eſt vn ſujet de jalouſie, dont la foibleſſe ſe communique aux Eſprits les plus forts.	leur autorité est un sujet de jalousie, dont la faiblesse se communique aux Esprits les plus forts.
Elle peut bien regner dans mon cœur, mais non pas dans mes Eſtats:	Elle peut bien régner dans mon cœur, mais non pas dans mes États:
le Ciel me tient enchainé auec des liens que luy meſme ne ſçauroit rompre.	le Ciel me tient enchainé avec des liens que lui -même ne saurait rompre.
Si veux-ie pourtant employer les derniers efforts de mon fnduſtrie, pour ſoulager mon mal, ſi ie ne puis le guerir.	Si veux-je pourtant employer les derniers efforts de mon fondustrie, pour soulager mon mal, si belle ne puis le guérir.
Damon, Cleante, qu’on faſſé venir Arthenice.	Damon, Cléante, qu'on sassé venir Arthénice.
bCeoIl continuë à parler.	bECoIl continue à parler.
ioilol lveq iod-Iegt2iul 910u0 Ha!	ioilol lèq yod-Iégt2iul 910 Ha!
que le Sceptre me ſied mal en preſence de J3 ELIXDIOLI cette Souuerame!	que le Sceptre me sied mal en présence de J3 ÉLIXDIOLI cette Souverme!
Arthenice, ces ſoupirs vous appellent à mon ſecours;	Arthénice, ces soupirs vous appellent à mon secours;
ie meurs de voſtre amour:	Elle meurs de votre amour:
conſolez moy d’vne parole.	consolez moi d'une parole.
.	.
Anas mereh is lo	Anas mèreh is lo
C2IC 2I Ja4	C2IC 2I Ja4
ARTHENICE.	ARTHENICE.
mondontonpolMloo IRE, ie ne puis donner que des larmes à ces Dl ſoupirs, dans la condition où ie me treuue.	mondontonpolMlo IRE, je ne puis donner que des larmes à ces Dl soupirs, dans la condition où belle me trouve.
LE ROY.	LE ROY.
DV HOM Vos larmes me brûlent auſſi bien que vos regards, comme procedans d’vne meſme ſource de flamme.	DU HOM Vos larmes me brûlent aussi bien que vos regards, comme procédants d'une seule source de flamme.
sleijel flos	slejel flot
ARTHENICE.	ARTHENICE.
Si mon abſence peut ſoulager V.	Si mon absence peut soulager V.
M.	M.
ie me priueray de l’honneur de la voir, hoeino on oi noitm	Ne me priverai de l'honneur de la voir, hoeino on oi noitm
Y b yuloncioleion A quoy me ſeruiroit voſtre abſence, apres vous auoir veuë?	Y b yuloncioleion À quoi me servirait votre absence, après vous avoir vue?
la main qui m’a bleſſé s’éloigneroit de moy;	la main qui m'a blessé s'éloignerait de moi;
& le trait qu’elle m’a lancé demeureroit dans mon cœur.	et le trait qu'elle m'a lancé demeurerait dans mon cœur.
Iugez ſi mon ame en ſeroit ſoulagée.	Jugez si mon âme en serait soulagée.
ARTHENICE.	ARTHENICE.
Le Temps ou la Raiſongueriront V.	Le Temps ou la Raisonguériront V.
M.	M.
4- B iij	4- B jijà
LE ROY.	LE ROY.
Le Temps ne peut qu’empirer mon mal, & la Raiſon le doit rendre incurable.	Le Temps ne peut qu'empirer mon mal, et la Raison le doit rendre incurable.
AR IHENTCE, Il faut donc que V.	AR JHÉNTCE, Il faut donc que V.
M.	M.
ſe gueriſſe elle meſme.	se guérisse elle -même.
LE ROI.	LE ROI.
Comment puis-ie me guerir, ſi vous eſtes tiibir ii que remede?	Comment puis-je me guérir, si vous êtes tiibir ji que remède?
ARTHENICE.	ARTHENICE.
Si ma mort peut ſoulager V.	Si ma mort peut soulager V.
M.	M.
elle ſera bien tort latisfaite.	elle sera bien tort latisfaite.
LE ROY.	LE ROY.
Ie ne ſçaurois vous perdre, & me conſeruer;	Je ne saurais vous perdre, et me conserver;
mais ſi ie ne puis eſtre l’objet de voſtre amour, que ie ſois celuy de voſtre compaſſion,	mais si ici ne puis être l'objet de votre amour, que sans sois celui de votre compassion,
ARTHENICE.	ARTHENICE.
Si i’ay de la compaſſion, ce ne ſera que pour moy meſme.	Si j'ai de la compassion, ce ne sera que pour moi -même.
1 H101 110	1 H101 110
LE ROY.	LE ROY.
I’adore voſtre vertu.	J'adore votre vertu.
Mais pourroit-elle ſouffrir que ie fuſſe ſa Victime?	Mais pourrait-elle souffrir que sans fusse sa Victime?
ARTHENICE.	ARTHENICE.
I’admire voſtre bonté:	J'admire votre bonté:
mais voudroit-elle conſentir au Sacrifice de mon Honneur?	mais voudrait-elle consentir au Sacrifice de mon Honneur?
LE ROY.	LE ROY.
Que pouuez vous craindre?	Que pouvez vous craindre?
ARTHENICE.	ARTHENICE.
Que dois le elperel?	Que dois le élpèrel?
LE ROY.	LE ROY.
mouver loicee doreneieon ou me poſſedant,	mouver loicee doreneieon ou me possédant,
ARTHENICE.	ARTHENICE.
Et puis-ie poneder v.	Et puis-je ponéder v.
Ivi, iene s’eſt donnée à vne autre?	Juvi, iene s'est donnée à une autre?
LE ROY.	LE ROY.
N’eſtes vous pas contente de Regner abſolument?	N'êtes -vous pas contente de Regner absolument?
ARTHENICE.	ARTHENICE.
Ce Regne ne peut eſtte abioid, iruy alle ny Sceptre, ny Couronne.	Ce Reine ne peut estte abioid, irui allé ni Sceptre, Seigneur Couronne.
LE ROY.	LE ROY.
Ie vous offre tous les deux.	Je vous offre tous les deux.
ARTHENICE.	ARTHENICE.
Qu'en ferois-ie, ſans la qualité de Reine?	Qu'en ferais-je, sans la qualité de Reine?
Ha lee la Vous la ſerez touſiours de mes volontez.	Ha lee la Vous la serez toujours de mes volontés.
ARTHENICE.	ARTHENICE.
Ie ne deſire point vn bien qui ſoit ſujet au change.	Je ne désire point un bien qui soit sujet au change.
LE ROY.	LE ROY.
Doutez vous de ma fidelité?	Doutez -vous de ma fidélité?
ARTHENICE.	ARTHENICE.
Iraut bien que i’en doute, n’ie ſuis l’objet de voſtre inconſtance.	Jraut bien que j'en doute, n'ie suis l'objet de votre inconstance.
LE ROY.	LE ROY.
2 Mon Deſtin me donne à vous pour vne Eternité.	2 Mon Destin me donne à vous pour une Éternité.
OIdL I1I ARTHENICE.	ÔIdL I1I ARTHÉNICE.
LV 2BIIIII 4 Et le mien ne me permet pas d’agréer l’honneur de ce don, ſi le Ciel ne l’authoriſe.	LV 2BIIII 4 Et le mien ne me permet pas d'agréer l'honneur de ce don, si le Ciel ne l'autorise.
JHRVET Ll LE OI.	JHRVET LlE LE OI.
Peut-il détruire ce qu’il a fait.	Peut-il détruire ce qu'il a fait.
ARTHENICE.	ARTHENICE.
Dois-ie courre aueuglément à ma perte?	Dois-je courre aveuglément à ma perte?
LE ROY.	LE ROY.
momdopouspaure que de vous iotter entre mes bras?	momdopouspaure que de vous jotter entre mes bras?
ARTHENICE.	ARTHENICE.
Ouy, puiſque ma reputation y trouueroit cenelsaelo	Oui, puisque ma réputation y trouverait cénelsaelsa
LE ROY.	LE ROY.
Ie ne ſçaurois repudier mon Eſpouſe.	Je ne saurais répudier mon Épouse.
ARTHENICE.	ARTHENICE.
Ie ne veux pas me couurir d’infamie.	Je ne veux pas me couvrir d'infamie.
LE ROY.	LE ROY.
Il n’y a point de honte d’eſtre Maiſtreſſe d’vn Roy.	Il n'y a point de honte d'être Maîtresse d'un Roi.
ARTHENICE.	ARTHENICE.
le mlecontente deitre la Iublette.	le mlecontente déitre la Jublette.
LE ROY.	LE ROY.
Si vous l’eſtes, que neluy obeîſſez vous?	Si vous l'êtes, que nelui obéissez -vous?
ARTHENICE.	ARTHENICE.
Mon honneur ne releue pas de ſon Empire.	Mon honneur ne relève pas de son Empire.
LE ROY.	LE ROY.
Ie vous demande Grace auſſi, pluſtoſt que Iuſtice.	Je vous demande Grâce aussi, plutôt que Justice.
ARTHENICE.	ARTHENICE.
Ie n’ay point de faueur à donner de ce prix là.	Je n'ai point de faveur à donner de ce prix là.
LE ROY.	LE ROY.
Eſteignez donc le feu dont vos yeux ont embraſé mon ame.	Éteignez donc le feu dont vos yeux ont embrasé mon âme.
ARTHENICE.	ARTHENICE.
Si ie croyois que mes yeux fuſſent coupables de ce crime, ie les condamnerois à pleurer eter	Si ici croyais que mes yeux fussent coupables de ce crime, où les condamnerais à pleurer éter
LE ROY.	LE ROY.
Vous eites trop lurte, pour punir leur innocence:	Vous évites trop lurte, pour punir leur innocence:
la Nature leur a appris tout le mal qu’ils ont fait.	la Nature leur a appris tout le mal qu'ils ont fait.
ARTHENICE.	ARTHENICE.
Ils ſont aſſez coupables, ſi V.	Ils sont assez coupables, si V.
M.	M.
s’en plaint.	s'en plaint.
LE ROY.	LE ROY.
Ie ne me plains que de voſtre rigueur.	Je ne me plains que de votre rigueur.
ARTHENICE.	ARTHENICE.
Vos plaintes ſeront donc eternelles.	Vos plaintes seront donc éternelles.
LE ROY.	LE ROY.
Il faut auoüer que voſtre Beauté & voſtre Vertu ſont également admirables:	Il faut auoüer que votre Beauté et votre Vertu sont également admirables:
mais ſi l’vne me commande de vous aimer, l’autre me le défend:	mais si l'une me commande de vous aimer, l'autre me le défend:
à qui dois-ie obeïr?	à qui dois-je obéir?
ARTHENICE.	ARTHENICE.
lu toraiſon.	lu toraison.
LE ROY.	LE ROY.
Ie ne la connoy plus.	Je ne la connais plus.
ARTHENICE.	ARTHENICE.
Quittez voſtre bandeau.	Quittez votre bandeau.
LE ROY.	LE ROY.
Oſtez-le moy vous meſme.	Ostez-le moi vous même.
ARTHENICE.	ARTHENICE.
I’y fay ce que ie puis.	J'y fais ce que ici puis.
LE ROY.	LE ROY.
Voſtre foibleſſe me plaiſt, & là mienne me conſole.	Votre faiblesse me plaît, et là mienne me console.
ARTHENICE.	ARTHENICE.
Quelle conſolation peut crouuer v.	Quelle consolation peut crouver v.
M.	M.
dans vn mal qui n’a point de remede?	dans un mal qui n'a point de remède?
LE D Y.	LE D Y.
Pourquoy m’oſtez vous l’eſperance?	Pourquoi m'ôtez -vous l'espérance?
2 1	2 1
ARTHENICE.	ARTHENICE.
Comient puis le vous roſter, ſi ie ne vous l’ay iamais donnée?	Comient puis le vous rôter, si je ne vous l'ai jamais donnée?
LE ROY.	LE ROY.
Vous auez trop deraiſons contre vn Amant.	Vous avez trop déraisons contre un Amant.
ARTHENICE.	ARTHENICE.
Et voſtre Maieſté me pardonnera, ſi ie luy dis qu’elle a trop d’artifices contre vne Fille.	Et votre Majesté me pardonnera, si ie cy dis qu'elle a trop d'artifices contre une Fille.
de Frlee LE ROY.	de Frèle LE ROY.
Ie refuſe.	Je refuse.
ARTHENICE.	ARTHENICE.
LE ROY.	LE ROY.
C’eſt mon inquietude.	C'est mon inquiétude.
ARTHENICE.	ARTHENICE.
C’eſt mon repos.	C'est mon repos.
LE ROY.	LE ROY.
Vous reſioüiſſez vous de ma douleur?	Vous réjouissez -vous de ma douleur?
ARTHENICE.	ARTHENICE.
Cherchez vous voſtre ſatisfaction dans ma perte?	Cherchez vous votre satisfaction dans ma perte?
LE ROY.	LE ROY.
dhonoinuuy pourquoy me reſiſtez vous auec tant d’effort?	dhonoinivi pourquoi me résistez -vous avec tant d'effort?
ARTHENICE.	ARTHENICE.
Ha?	Ha?
Sire, pourquoy m’attaquez vous auec tant de violence?	Sire, pourquoi m'attaquez vous avec tant de violence?
LE ROY.	LE ROY.
e ciemonmou qui vous pourſuit.	E ciemonmou qui vous poursuit.
ARTHENICE.	ARTHENICE.
