A MADAME DE BONNELLE.	À MADAME DE BONELLE.
Que peut-on dire de leur generoſité, ſi l’on la compare auec celle que vous exercez tous les iours à la veuë de toute la France?	Que peut-on dire de leur générosité, si l'on la compare avec celle que vous exercez tous les jours à la vue de toute la France?
Et qu’at’on tû marquer de ſi illuſtre das toutes leurs actions qui puiſſe aller du pair auec la protection & la vie que vous donnez à plus de vingt mille Ames dans noſtre ſeule Prouince?	Et qu'at’on tu marquer de si illustre das toutes leurs actions qui puisse aller du pair avec la protection et la vie que vous donnez à plus de vingt mille Âmes dans notre seule Province?
Mais, MADAME, le nombre & la quantité des belles choſes que i’aurois à loüer ex voſtre incomparable Perſonne, me ferment la bouche, & ie n’oſe pas meſme parler de ces qualitez éclatantes qui regnent ſur les Hommes ſans Sceptre & ſans Diadéme, & que vous poſſedez plus auantageuſement qu’aucune autre de voſtre Sexe.	Mais, MADAME, le nombre et la quantité des belles choses que j'aurais à louer ex rendre incomparable Personne, me ferment la bouche, et Seigneur n'ose pas même parler de ces qualités éclatantes qui règnent sur les Hommes sans Sceptre et sans Diadème, et que vous possédez plus avantageusement qu'aucune autre de votre Sexe.
S’il eſtoit permis de les exagerer, pourroit-on pas dire auec juſtice que la Nature n’a iamais trauaillé auec tant de proportion & de juſteſſe qu’en cette ad mirable taille qui vous eſi particuliere, & que l’Idolatrie ne donnoit qu’à ſes Déeſſes?	S'il était permis de les exagérer, pourrait-on pas dire avec justice que la Nature n'a jamais travaillé avec tant de proportion et de justesse qu'en cette ad mirable taille qui vous esi particulière, et que l'Idolâtrie ne donnait qu'à ses Déesses?
Pourroit-on pas dire, ſans vous ſlater, qu’elle n’a iamais aſſemblé en vn ſeul compas tant de treſors de grace & d’intelligence, & qu’elle a fait plus d’vn miracle en vous donnant à Vous ſeule, ce qu’elle ménage pour vn milliou de teiles à qui elle MADAME,	Pourrait-on pas dire, sans vous slater, qu'elle n'a jamais assemblé en un seul compas tant de trésors de grâce et d'intelligence, et qu'elle a fait plus d'un miracle en vous donnant à Vous seule, ce qu'elle ménage pour un milliou de teiles à qui elle MADAME,
ſait ſes plus pretieuſes liberalitez?	sait ses plus prétieuses libéralités?
Ie ne parle point, MADAME, de la grandeur de voſtre Maiſon, ny de celle de voſtre alliance, il me ſuffit de dire que l’vne & l’autre ſont des ſources ſecondes en Cordons bleus, en Hermines, & en Couronnes, & qu’il ne leur manque que la Souueraine.	Je ne parle point, MADAME, de la grandeur de votre Maison, ni de celle de votre alliance, il me suffit de dire que l'une et l'autre sont des sources secondes en Cordons bleus, en Hermines, et en Couronnes, et qu'il ne leur manque que la Souveraine.
Apres cela, MADAME, il ſeroit ridicule à vne plume groſſiere comme eſt la mienne d’en entreprendre les Eloges:	Après cela, MADAME, il serait ridicule à une plume grossière comme est la mienne d'en entreprendre les Éloges:
Il y a de certaines choſes ſi releuées, qu’elles laiſſent bien loin la plus elegante expreſſion;	Il y a de certaines choses si relevées, qu'elles laissent bien loin la plus élégante expression;
celles qui vous regardent ſont de cette nature, & leurs brillans ne trouuent point dans l’Eloquence ny de termes ny de pensées pour en faire les Panegiriques.	celles qui vous regardent sont de cette nature, et leurs brillants ne trouvent point dans l'Éloquence était de termes ici de pensées pour en faire les Panégiriques.
Cela eſtant abſolument vray, de quelles raiſons vn malbeureux Prouincial comme moy auiboriſera-t’il l’indigne preſent qu’il vous fait?	Cela étant absolument vrai, de quelles raisons un malbeureux Provincial comme moi aviborisera-t-il l'indigne présent qu'il vous fait?
& par quelles paroles touchantes vous peut-il obliger à le receuoir benignement, ſi ce n’eſt qu’eſtant infiniment au deſſous du merite de vous eſtre offert, au moins eſt-il proportionné à celuy qui vous le preſente, & qu’il ne peut en autre maniere vous rendre des marques plus ſenſibles de ſa gratitude & de ſa trer-humble reconnoiſſance.	et par quelles paroles touchantes vous peut-il obliger à le recevoir bénignement, si ce n'est qu'étant infiniment au dessous du mérite de vous être offert, au moins est-il proportionné à celui qui vous le présente, et qu'il ne peut en autre manière vous rendre des marques plus sensibles de sa gratitude et de sa très-humble reconnaissance.
Enſin, MADAME, il eſt bien eſtrange que pour les témoigner pabliquement, ie vous donne vne Comedie;	Ensin, MADAME, il est bien étrange que pour les témoigner pabliquement, je vous donne un Comédie;
& neantmoins ie ne deſeſpere pas que vous n’ayez la bonté de la receuoir auec voſtre generoſité ordinaire, qui n’ajant point de bornes ny de limites, s’eſtendra entore juſques à me permettre de vous demander auec vn tres-profond reſpect la qualité de,	et néanmoins vertu ne désespère pas que vous n'ayez la bonté de la recevoir auec jours générosité ordinaire, qui n'ajant point de bornes esprit de limites, s'étendra entore jusques à me permettre de vous demander avec un très-profond respect la qualité de,
Voſtre tres-humble, tres-obligé.	Votre très-humble, très-obligé.
& tres-obeiſſant ſeruiteur, NICQLE,	et très-obéissant serviteur, NICQLE,
Au cher Amy Lecteur.	Au cher Ami Lecteur.
Voy qu’il y ait quelque temps que cet ouQurage ſoit ſorty de ma plume, ce n’eſtoit en nulle maniere mon deſſein de le donner à l’impreſſion, auant qu’il eut paſſé par le Theatre.	Vois qu'il y ait quelque temps que cet ouQurage soit sorti de ma plume, ce n'était en nulle manière mon dessein de le donner à l'impression, avant qu'il eut passé par le Théâtre.
Il eſt de la nature de ceux qui y ſont bien receus, & qui ont l’art de plaire par la viuacité de l’action animée par celuy qui le fait valloir, & qui le repreſente.	Il est de la nature de ceux qui y sont bien reçus, et qui ont l'art de plaire par la vivacité de l'action animée par celui qui le fait valoir, et qui le représente.
Plaute nous l’a donné eu Latin ſous le titre de Moſtellaria, & cet ingenieux Autheur, qui à mon gré a mieux reuſſy dans la leçon que Terence meſme, l’a eſtimée comme vne des plus acheuées de vingt pieces qu’il a compoſées pour le Theatre.	Plaute nous l'a donné eu Latin sous le titre de Mostellaria, et cet ingénieux Auteur, qui à mon gré a mieux réussi dans la leçon que Terence même, l'a estimée comme une des plus achevées de vingt pièces qu'il a composées pour le Théâtre.
Il eſt bien ſéant à vn Copiſts de faire quelque eloge de ſon original, mais ie ne me ſens pas aſſez fort pour entreprendre celuy-cy, & ie craindrois que la bonne opinion & l’eſtime que i’ay pour luy, ne me fit paſſer pour extrauagant, ou pour pis encore, ſi i'auançois ce que i’ay ſur le cœur en ſa faueur, au preiudice des beaux ouurages de Lælius & de Scipion.	Il est bien séant à un Copits de faire quelque éloge de son original, mais je ne me sens pas assez fort pour entreprendre celui-cy, et un craindrais que la bonne opinion et l'estime que j'ai pour lu, ne me fit passer pour extravagant, ou pour pis encore, si j'avançais ce que j'ai sur le cœur en sa faveur, au priudice des beaux ouvrages de Lælius et de Scipion.
Pour ce qui eſt du Sel & de l’Vrbanité Attique, ie ne ſuis pas aſſez verſé ny aſſez délicar dans la connoiſſance des beautez de la langue Latine pour en décider, & ie m’en tiens au ſentiment de Varron, ſans y auancer le mien.	Pour ce qui est du Sel et de l'Vrbanité Attique, je ne suis pas assez versé quelque assez délicar dans la connaissance des beautés de la langue Latine pour en décider, et Seigneur m'en tiens au sentiment de Varron, sans y avancer le mien.
Il y a eu quantité d’autres ſçauans, celebres, & bien marquez dans les Lettres, qui luy ont donné de grands auantages, & il me ſuffit d’auoir ces grands Genies de mon coſté, ſan ſoüiller la pureté de leurs opinions par le meſlang de la mienne.	Il y a eu quantité d'autres sçauans, célèbres, et bien marquez dans les Lettres, qui lui ont donné de grands avantages, et il me suffit d'avoir ces grands Génies de mon côté, san souiller la pureté de leurs opinions par le mêlang de la mienne.
Ie viens à l’inuention, qui eſt à mon gré l’ame de la Comedie, & que ie trouue ſi admirable dans tous ſes ouurages, que ie ne croy pas qu’aucun des Grecs & des Latins y ayent plus heureuſement reuſſy;	Je viens à l'invention, qui est à mon gré l'âme de la Comédie, et que ie trouue si admirable dans tous ses ouvrages, que je ne crois pas qu'aucun des Grecs et des Latins y aient plus heureusement réussi;
& i’oſe dire que s’il auoit traitté l’amour auec, vn peu plus de galanterie qu’il n’a fait, & vn peu plus d’eſtenduë, il ne luy manqueroit rien des graces du Theatre.	et j'ose dire que s'il avait traité l'amour avec, un peu plus de galanterie qu'il n'a fait, et un peu plus d'étendue, il ne lui manquerait rien des grâces du Théâtre.
Mais il me ſemble, Amy Lecteur, que tu m’accuſe deſia de faire tropl'entendu, de vouloir reſoudre & décider des diſerends où de grands perſonnages ont eſté parties contraires & oppoſées;	Mais il me semble, Ami Lecteur, que tu m'accuse déjà de faire tropl'entendu, de vouloir résoudre et décider des diserends où de grands personnages ont été parties contraires et opposées;
ie reçoy ton aduertiſſement en gré, & ie conſens que le procez demeure, encore partagé, ſans me faire trop de feſte.	ie reçois ton avertissement en gré, et votre consens que le procès demeure, encore partagé, sans me faire trop de fête.
Ie reuiens à la Traducuon que ie te donne;	Je reviens à la Traducuon que Seigneur te donne;
& pour parler premierement du titre qu’elle porte, i’ay crû que ie ne pouuois luy en donner vn plus intelligible, ſans pretendre pourtant à le confondre.	et pour parler premièrement du titre qu'elle porte, j'ai cru que je ne pouvais toujours en donner un plus intelligible, sans prétendre pourtant à le confondre.
auec celuy d’vne merueilleuſe riece que i’ay veu, auec plaiſir repreſenter ces derniers iours, qui eſt bien au deſſus de la mienne, & qui eſt du celebre Autheur des Riuales.	avec celui d'une merveilleuse rièce que j'ai vu, avec plaisir représenter ces derniers jours, qui est bien au dessus de la mienne, et qui est du célèbre Auteur des Rivales.
Il y a quelques epiſſodes & quelques mediocres ornemens que i’y ay apporté;	Il y a quelques épissodes et quelques médiocres ornements que j'y ai apporté;
mais c’eſt ſi peu de choſe, que ie les ay crû indiferents pour diminuer ou pour enrichir l'original de Plaute.	mais c'est si peu de chose, que je les ai cru indifèrents pour diminuer ou pour enrichir l'original de Plaute.
Voila, noſtre Amy, ce que i’auois à te dire, ſur ce ſujet;	Voilà, notre Ami, ce que j'avais à te dire, sur ce sujet;
ie te laiſſe la liberté pleniere d’en iuger cõme il te plaira, apres t’auoir aduerty à la loüange & l’honneur de ma Comedie, qu’elle eſt aſſez extraordinaire, puis qu’elle ne finit pas par vn Marage, qui eſt aſſez ſouuent fait a la haſte,	Les te laisse la liberté plénière d'en juger comme il te plaira, après t'avoir averti à la louange et l'honneur de ma Comédie, qu'elle est assez extraordinaire, puis qu'elle ne finit pas par un Marage, qui est assez souvent fait à la hâte,
ACTEVR STREPHON, Vallet de Liſtan.	ACTEUR STREPHON, Vallet de Listan.
CERASTE, Eſclaue.	CÉRASTE, Esclave.
LISTAN, fils de Periandre.	LISTAN, fils de Périandre.
PHILISE, Maiſtreſſe de Liſtan.	PHILISE, Maîtresse de Listan.
IVSTINE, Suiuante.	IUSTINE, Suivante.
FLORIS, Maiſtreſſe de Calliante.	FLORIS, Maîtresse de Caliante.
CALLIANTE.	CALIANTE.
PERIANDRE.	PERIANDRE.
CLEANDRE, Banquier.	CLEANDRE, Banquier.
CRISAVRE.	CRISAURE.
PHANIS QVE, Vallet de Calliante.	PHANIS QUE, Vallet de Caliante.
Autre Vallet de Calliante.	Autre Vallet de Caliante.
Autres Vallets.	Autre Vallets.
La Scene eſt à Nicoſie en Cypre.	La Scène est à Nicosie en Cypre.
PHA COME LE SME, DE PLAVTE.	PHA COME LE SME, DE PLAUTE.
SCENE E PREMIERE.	SCÈNE E PREMIÈRE.
STREPHON, CERASTE, Eſclaues.	STREPHON, CÉRASTE, Esclaves.
STREPHON.	STREPHON.
S veux-tu pas quitter l’odeur de la marmite!	S veux-tu pas quitter l'odeur de la marmite!
NSors, reſte de gibet, infame Paraſite.	NSors, reste de gibet, infâme Parasite.
Eſclaue malheureux, digne de mille coups, ii nous viens reprocher des paſſe-temps ſi doux.	Esclaue malheureux, digne de mille coups, ji nous viens reprocher des passetemps si doux.
CERASTE.	CÉRASTE.
O l'infolent coquin!	Ô l'insolent coquin!
STREPHON.	STREPHON.
Il faut que tu ſois yure, Toy qui viens cenſurer noſtre façon de viure, Vraymẽt ie ſuis d’auis que mõ cher Maiſtre & moy Suiuions tes ſentimens & releuions de toy!	Il faut que tu sois ivre, Toi qui viens censurer notre façon de vivre, Vraymẽt tu suis d'avis que mon cher Maître et moi Suions tes sentiments et relevions de toi!
Penſe à ſortir d’icy, ſoigne a la Meſtairie, Va paiſtre tes troupeaux le long de la prairie, Et nous permets d’vſer en plaiſirs innocens Le Printemps de noſtre âge, & la fleur de nos ans:	Pense à sortir d'ici, soigne à la Métairie, Va paître tes troupeaux le long de la prairie, Et nous permets d'user en plaisirs innocents Le Printemps de notre âge, et la fleur de nos ans:
Sors, maraut, où mes poings võt faire la vengeance De tes brutalitez, & de ton inſolence.	Sors, maraut, où mes poings vient faire la vengeance De tes brutalités, et de ton insolence.
CERASTE.	CÉRASTE.
Pourquoy me frappes-tu, traiſtre?	Pourquoi me frappes-tu, traître?
STREPHON.	STREPHON.
Tes ſots propos Meritent qu’on te briſe & les nerfs & les os.	Tes sots propos Méritent qu'on te brise et les nerfs et les os.
CERASTE.	CÉRASTE.
Tu l'as mieux merité, mais ie ſouſfre l’injure, Ame laſche & ſans foy, perfide creature, Méconnoiſlant vallet du meilleur des humains, Ton inſolence enfin paſſera par mes mains.	Tu l'as mieux mérité, mais ainsi sousfrère l'injure, Âme lâche et sans foi, perfide créature, Méconnoislant valet du meilleur des humains, Ton insolence enfin passera par mes mains.
Periandre arriué d’vn penible voyage Sçaura que tu cotromps ſon fils en ſon ieune âge Toy laſche coufident d’vne impudique amour, Et nous ioûrons alors à beau jeu beau retour.	Périandre arrivé d'autre pénible voyage Saura que tu cotromps son fils en son jeune âge Toi lâche couffident d'une impudique amour, Et nous jourons alors à beau jeu beau retour.
COMEDIE.	COMÉDIE.
Laiſſe le reuenir, luy qu’abſent tu conſommes	Laisse le revenir, lui qu'absent tu consommes
STREPHON.	STREPHON.
O le brutal eſprit!	Ô le brutal esprit!
ô le derniet des hommes!	ô le derniét des hommes!
Qui iamais a conceu que l’on pût conſommez Vn fujet éloigné de cent mille de mer?	Qui jamais a conçu que l'on pût consommés Un sujet éloigné de cent mille de mer?
CERASTE.	CÉRASTE.
Ie ſuis mauuais bouffon, il faut que ie l’aduduë Toy tu l’es excellent, tout le monde te louë, Tour le monde applaudit à tes diſcours hardis, Et l’on fait le recueil des bons mots que tu di:	Je suis mauvais bouffon, il faut que jusqu'avudue Toi tu l'es excellent, tout le monde te loue, Tour le monde applaudit à tes discours hardis, Et l'on fait le recueil des bons mots que tu di:
Mais il faudie bientoit changer de batterie;	Mais il faudie bientait changer de batterie;
Ie te veux dans deux iours voir à la Meſtairie Tout accablé de fers, deteſtable coquin, Tourner, comme vn cheual, la meule du Moulin.	Je te veux dans deux jours voir à la Métairie Tout accablé de fers, détestable coquin, Tourner, comme un cheval, la meule du Moulin.
Ie te veux voir courbé ſous le poids de tes chaines.	Je te veux voir courbé sous le poids de tes chaines.
Non, non, ne les crains pas, donne-toy du bon temps, Noye dans les plaiſirs tous les eſprits contens, Ruine la maiſon de noſtre commun Maiſtre, Débauche luy ſon fils, ſois ingrat, laſche, traiſtre.	Non, non, ne les crains pas, donne-toi du bon temps, Noie dans les plaisirs tous les esprits contents, Ruine la maison de notre commun Maître, Débauche lui son fils, sois ingrat, lâche, traître.
Donne luy des conſeils & des impreſſions, Et luy fais aſſouuir toutes tes paſſions:	Donne grande des conseils et des impressions, Et ton fais assouvir toutes tes passions:
Luy qui fut autrefois l’honneur de la jeuneſſe, Et qui depuis ſix mois que tu l’as approché, N’eſt plus que le crayon d’vn ieune débauché.	Lui qui fut autrefois l'honneur de la jeunesse, Et qui depuis six mois que tu l'as approché, N'est plus que le crayon d'un jeune débauché.
C’eſt l’obligation dont il t’eſt redeuable, 'oy qui d'vn fils bien né fais vn enfant coupable.	C'est l'obligation dont il t'est redevable, ' oi qui d'un fils bien né fais un enfant coupable.
STREPHON.	STREPHON.
O le graue Cenſeur!	Ô le grave Censeur!
ô la belle lecon!	ô la belle leçon!
En venté, Ceraſte, eſt-ce de ta façon?	En venté, Cerâte, est-ce de ta façon?
Certes, ie ſuis d’auis d’apprendre d’vn infame Aurc quelles vertus l’on forme vne belle ame.	Certes, Madame suis d'avis d'apprendre d'un infâme Aurc quelles vertus l'on forme une belle âme.
Oüy, ie me ſeruiray de tes inſtruclions, Eſt-ce point la le but de tes intentions?	Oui, Seigneur me servirai de tes instruclions, Est-ce point la le but de tes intentions?
Va, maraut, va veiller aux fonctions ruſtiques, Et me laiſſe le ſoin des emplois heroiques;	Va, maraud, va veiller aux fonctions rustiques, Et me laisse le soin des emplois héroïques;
Va labourer la terre, & fendre les guerets, Fay gemir ſous le ſoc les ſillons de Cerés, Va paiſtre tes troupeaux.	Va labourer la terre, et fendre les guérets, Fais gémir sous le soc les sillons de Cerrez, Va paître tes troupeaux.
Pour moy toutes me Muite.	Pour moi toutes me Muite.
S’employront deſormais à remplir les bouteilles, Ie veux eſtre galand, ie me veux adjuſter, Ie veux donner le Bal, afin de t’inſulter, Au peril de mon dos ie me veux mettre au monde	S'emploieront désormais à remplir les bouteilles, Je veux être galant, sans me veux ajuster, Je veux donner le Bal, afin de t'insulter, Au péril de mon dos ainsi me veux mettre au monde
CERASTE.	CÉRASTE.
Tonaudace, coquin, n’eut iamais deſeconde.	Tonaudace, coquin, n'eût jamais déséconde.
STREPHON.	STREPHON.
Tu replique, pendart?	Tu réplique, pendard?
ô le Bouc imparſait!	ô le Bouc imparsait!
Il m’a preſque tué de ce ſoûpir infect:	Il m'a presque tué de ce soupir infect:
Peſte de l’odorat;	Peste de l'odorat;
l’ail, & la pourriture, T’ont corrompu le foye, & gaſté la freſſure:	l'ail, et la pourriture, T'ont corrompu le foie, et gâté la fressure:
Tu m’en viens d’exhaler vne ſi ſale odeur, Qu’elle m oſte l’halcine, & m’empeſte le cœur.	Tu m'en viens d'exhaler une si sale odeur, Qu'elle m' ôte l'halcine, et m'empeste le cœur.
CERASTE.	CÉRASTE.
Ole nez delicat!	Ole nez délicat!
ô l’homme d’importance!	ô l'homme d'importance!
Nous ne pouuõs pas tous nous parſumer d’eſſence Nous ne pouuons pas tous manger de bons morceaux.	Nous ne pouvons pas tous nous parsumer d'essence Nous ne pouvons pas tous manger de bons morceaux.
Pour moy qui me pais d’ail, ie doy ſentir les aux.	Pour moi qui me pais d'ail, Seigneur dois sentir les aux.
Toy qui vis à la table, égal auec ton Maiſtre, Toy que la vanité fait déja méconnaiſtre, Qui te mets au haut bout, toy qui vis d’Ortolans, Qui ne t’yvres iamais que de vins excellens, Ceſſe de te railler du ſort d’vn miſerable;	Toi qui vis à la table, égal avec ton Maître, Toi que la vanité fait déjà méconnaître, Qui te mets au haut bout, toi qui vis d'Ortolans, Qui ne t'ivres jamais que de vins excellents, Cesse de te railler du sort d'un misérable;
Vn bonheur mal fondé n’eſt pas ſouuent durable Ie viuray bienheurcunj rluant innocemment.	Un bonheur mal fondé n'est pas souvent durable Je vivrai bienheurcunj rluant innocemment.
STREPHON.	STREPHON.
Ce pendart eſt pourueu d'vn beau raiſonnement!	Ce pendard est pourvu d'un beau raisonnement!
Tu veux rraitter d’égal, ou ce diſcours m’abuſe, Mais ta préſomption te condamne & t’accuſe:	Tu veux raiter d'égal, ou ce discours m'abuse, Mais ta présomption te condamne et t'accuse:
Tu n’as receu le iour qu’afin de me ſeruir, Tu dois mourir de faim;	Tu n'as reçu le jour qu'afin de me servir, Tu dois mourir de faim;
moy ie dois m’aſſouuir.	moi esprit dois m'assouvir.
Et donner a mes ſens, au gré de mon enuie, Les plus cheres douceurs que reſpire la vie.	Et donner a mes sens, au gré de mon envie, Les plus chères douceurs que respire la vie.
CERASTE.	CÉRASTE.
Pendant qu’il t’eſt permis, ne les épargne pas.	Pendant qu'il t'est permis, ne les épargne pas.
Saoule-toy des plaiſirs que donne vn bon fepas:	Saoule-toi des plaisirs que donne un bon fépas:
Mon Maiſtre de retour fera tourner la chance, Et ie te voy danſer au bout d’vne potence.	Mon Maître de retour fera tourner la chance, Et Elle te vois danser au bout d'une potence.
A iij	À jijà
STREPHON.	STREPHON.
Ce bien i’aniuera, traiſtre, non pas à moy.	Ce bien j'anivera, traître, non pas à moi.
CERASTE.	CÉRASTE.
Tu l’as mieux merité, reſerue la pour toy.	Tu l'as mieux mérité, réserve la pour toi.
STREPHON.	STREPHON.
Ton caquet importun commence à me déplaire:	Ton caquet importun commence à me déplaire:
Maraut, pour éuiter de me mettre en colere, Dis-mey ce qui t’ameine:	Maraut, pour éviter de me mettre en colère, Dis-mey ce qui t'amène:
as tu quelque beſoin De choſe qui regarde ou ta charge, ou ton ſoin?	as tu quelque besoin De chose qui regarde ou ta charge, ou ton soin?
Parle, mais promptement, ie ſuis las de t’entendre.	Parle, mais promptement, je suis las de t'entendre.
CERASTE.	CÉRASTE.
Ne te l’ay-je pas dit?	Ne te l'ai-je pas dit?
ie ne puis plus attendre, Baille-moy de l’argent, ou me fournis de grin, Ou bien toſt les trouppeaux s’en vont penir de fain.	On ne puis plus attendre, Baille-moi de l'argent, ou me fournis de grin, Ou bien tôt les troupeaux s'en vont enir de sain.
STREPHON.	STREPHON.
Et bien i’ypenſeray, va retourne au village, Va, malheureux oy.	Et bien j'ypenserai, va retourne au village, Va, malheureux oi.
cau de ſuneſte preſage, De plus illuſtres ſoins occupent mes eſprits:	cau de suneste présage, De plus illustres soins occupent mes esprits:
Ie m’en vais a la Place acheter des Perdrix, *14 Des Levraux, des Phaiſans, & tout ce que la table A de plus délicat & de plus delectable:	Je m'en vais a la Place acheter des Perdrix, *14 Des Levraux, des Phaisants, et tout ce que la table A de plus délicat et de plus délectable:
Ie dois faire l’appreſt d’vn ſuperbe feſtin, Et ie vais m'informer où ſe boit le bon vin.	Je dois faire l'apprêt d'un superbe festin, Et a pais m'informer où se boit le bon vin.
Cette occupation te plairoit fort ſans doute.	Cette occupation te plaierait fort sans doute.
Tu repliques, pendart?	Tu répliques, pendard?
CERASTE.	CÉRASTE.
Il faut que ie t’écoute, Mais auant peu de iours ie me verray venge.	Il faut que ici t'écoute, Mais avant peu de jours tu me verrai venge.
Lors ne m’épargne pas, ſi ie puis t’obliger,	Lors ne m'épargne pas, si tu puis t'obliger,
STREPHON.	STREPHON.
Fay ce que tu pourras, ſi la bonnefortune Releue quelque iour ta baſſeſſe importune.	Fais ce que tu pourras, si la bonnefortune Revue quelque jour ta bassesse importune.
Pour moy qui la reſſens, ne trouue pas mauuais Sr ie vis bienheureux & content deſormais.	Pour moi qui la ressens, ne trouve pas mauvais Sr ici vis bienheureux et content désormais.
Pour tes prédteuom,ien en ſuis guere en peine.	Pour tes prédteuom, en suis guère en peine.
CERASTE.	CÉRASTE.
Si tu ne me crois pas, au moins qu’il te ſouuienne Qu’vn mal ineſperé nous arriue ſouuent, Et qu’vn bien qui nous plaiſt s’enfuit cõme le vent.	Si tu ne me crois pas, au moins qu'il te souvienne Qu'un mal inespéré nous arrive souvent, Et qu'H bien qui nous plaît s'enfuit comme le vent.
Profite d’vn conſeil qu’auiourd’huy ie te donne, Et préuoy le malheur qui pend ſur ta perſonne.	Profite d'un conseil qu'aujourd'hui tu te donne, Et prévois le malheur qui pend sur ta personne.
STREPHON.	STREPHON.
Va, va, i’y penſeray lors qu’il en ſera temps, Mais i’avpour ce iourd’hui des foins plus importãs.	Va, va, j'y penserai lors qu'il en sera temps, Mais j'aupour ce iourd’hui des foins plus importants.
Ie te laiſſe, maraut.	Je te laisse, maraud.
CERASTE 10 1 O qu’il fait peu d’eſtime D’vn ſalutaire auis qui luy fait voir ſon erime!	CÉRASTE 10 1 Ô qu'il fait peu d'estime D'un salutaire avis qui avait fait voir son erime!
Vous qui tenez les yeux inceſſamment ouuers, Qui ne les fermez point au bien de l'Vniuers, Dieux de l’Onde & du Ciel, Puiſſances eternelles, Ramenez Periandre, & luy donnez des aiſles, Détournez vn malheur que i’auois preſſenty;	Vous qui tenez les yeux incessamment ouvert, Qui ne les fermés point au bien de l'Univers, Dieux de l'Onde et du Ciel, Puissances éternelles, Ramenez Périandre, et avait donnez des ailes, Détournez un malheur que j'avais pressenti;
Deux ans ſont écoulez depuis qu’il eſt party, Et qu’il s’eſt embarqué pour l’Iſle de Candie.	Deux ans sont écoulés depuis qu'il est parti, Et qu'il s'est embarqué pour l'Île de Candie.
