A MONSIEVR ANGLVRE ONSIEVR	À MONSIEUR ANGLURE ONSIEUR
I'aime l’indépendance.	J'aime l'indépendance.
LE DOCTEVR.	LE DOCTEUR.
Et de nos Libertins Veux-tu ſuiure touſiours les ſentimens mutins;	Et de nos Libertins Veux-tu suivre toujours les sentiments mutins;
Veux-tû tromper Philis, Amarante, Iſabelle.	Veux-tu tromper Philis, Amarante, Isabelle.
De leur honneur perdu faire vne bagatelle.	De leur honneur perdu faire une bagatelle.
LEANDRE.	LÉANDRE.
Ie veux ce que ie veux.	Je veux ce que Seigneur veux.
LE DOCTEVR.	LE DOCTEUR.
Et ſuiure vne Cloris, Conſommer ta ieuneſſe aupres ſon teint de lys, Luy dire tous les iours, Madame, ie vous aime, Admirez ma langueur, & mon amour extreme, Et puis dire du ton de tous nos Courtiſans.	Et suivre une Cloris, Consommer ta jeunesse auprès son teint de lys, Lui dire tous les jours, Madame, je vous aime, Admirez ma langueur, et mon amour extrême, Et puis dire du ton de tous nos Courtisans.
Ah!	Ah!
qu’elle eſt adorable, ah les beaux yeux mourans,	qu'elle est adorable, ah les beaux yeux mourants,
B ij L’inſenſibilité d’vne ame independante, De perir à ſes yeux ne ſe croit pas exempte, Dieu me damne beaux yeux, ie perds la liberté, Faire la reuerence, & le corps demonté, Mettre la teſte à bas, hauſſer les deux eſpaules, Du pied broder la chãbre, & perdre cent paroles;	 ij L'insensibilité d'une âme indépendante, De périr à ses yeux ne se croit pas exempte, Dieu me damne beaux yeux, ie perds la liberté, Faire la révérence, et le corps demonté, Mettre la tête à bas, hausser les deux épaules, Du pieds broder la chambre, et perdre cent paroles;
Faire le fat, enfin eſtre au rang des oyſons, Et ſecoüer le jouc de toutes mes leçons.	Faire le fat, enfin être au rang des oisons, Et secouer le jouc de toutes mes leçons.
LEANDRE.	LÉANDRE.
Docteur, n’eſt-il pas temps que ie quitte l’eſcole, En paſſant ie verray Cujas auec Bartolle, Mais auſſi i’iray voir & fort aſſidument, Les Dames, compagnie, & ie ſeray l’amant.	Docteur, n'est-il pas temps que sans quitte l'école, En passant ie verrai Cujas avec Bartolle, Mais aussi j'irai voir et fort assidûment, Les Dames, compagnie, et un serai l'amant.
LE DOCTEVR.	LE DOCTEUR.
Et bien ie te propoſe vne ſille admirable.	Et bien ici te propose une sille admirable.
LEANDRE.	LÉANDRE.
De quelle qualité?	De quelle qualité?
LE DOCTEVR.	LE DOCTEUR.
De femme?	De femme?
LEANDRE.	LÉANDRE.
Ah!	Ah!
miſerable, Vouloir couper la gorge au printemps de mes iours;	misérable, Vouloir couper la gorge au printemps de mes jours;
Vouloir m’aſſaſſiner, r’engueſnez vos diſcours, Ie vous ay fait ſans doute vne mortelle offence;	Vouloir m'assassiner, renguesnez vos discours, Je vous ai fait sans doute une mortelle offense;
Comment me marier, ie meure ſi i’y penſe, Ie veux me diuertir, Adieu Docteur, Adieu.	Comment me marier, ie meure si j'y pense, Je veux me divertir, Adieu Docteur, Adieu.
LE DOCTEVR.	LE DOCTEUR.
Cupido te conduiſe en vn honneſte lieuVoila comme il me traite, apres que ſon eſtude M’a couſté mille ſoins, il n’a qu’ingratitude.	Cupido te conduise en un honnête lieuUoilà comme il me traite, après que son étude M'a coûté mille soins, il n'a qu'ingratitude.
SCENE V.	SCÈNE V.
ISABELLE, TRAPOLIN armé.	ISABELLE, TRAPOLIN armé.
ISABELLE.	ISABELLE.
r Ous faites, Trapolin, fort mal voſtre deuoir, V Deuez-vous endurer que l’on me puiſſe voir?	Ô Rus faites, Trapolin, fort mal votre devoir, V Evez-vous endurer que l'on me puisse voir?
TRAPOLIN.	TRAPOLIN.
Ventre, qui vous a veuë.	Ventre, qui vous a vue.
ISABELLE.	ISABELLE.
Vn papillon qui m’aime, Qui volle autour de moy;	Un papillon qui m'aime, Qui volle autour de moi;
mais ie garde moymeſme Ce que toute la terre auroit peine à garder, Vn atoſme deuroit ne me pas regarder;	mais ainsi garde moymesme Ce que toute la terre aurait peine à garder, Un atôme devrait ne me pas regarder;
Si ie pouuois i’irois iuſques au fonds de l’ame Corriger les deſirs.	Si grande pouvais j'irais jusques au fond de l'âme Corriger les désirs.
TRAPOLIN.	TRAPOLIN.
Ah!	Ah!
la pudique ſemme.	la pudique semme.
ISABELLE.	ISABELLE.
Eſcoute, ie connois vn ſçauant, vn Docteur Amy des bonnes mœurs, amoureux de l’honneûr Il loge prés d’icy, le voilà, va luy dire Que ie luy veux parler, & que ie le deſire.	Écoute, ie connais un sçauant, un Docteur Ami des bonnes mœurs, amoureux de l'honneur Il loge prés d'ici, le voilà, va lui dire Que ie tu était parler, et que tu le désire.
TRAPOLIN.	TRAPOLIN.
Morbleu que cette femme a de ſincerité Pour ſon bijou, ie croy qu’il eſt en ſeureté.	Morbleu que cette femme a de sincérité Pour son bijou, tu crois qu'il est en sûreté.
Il i'adreſſe au Docteur.	Il j'adresse au Docteur.
Mon reuerend Docteur, vne Dame fort belle, (A ce qu’elle m’a dit, fort ſage, & tres-fidelle!	Mon révérend Docteur, une Dame fort belle, (A ce qu'elle m'a dit, fort sage, et très-fidelle!
Voudroit bien vous parler ſur vn cas reſerué;	Voudrait bien vous parler sur un cas réservé;
Cas pour lequel ie veille, & que i’ay conſerué.	Cas pour lequel ie veille, et que j'ai conservé.
LE DOCTEVR.	LE DOCTEUR.
Vn cas?	Un cas?
Il eſt des cas de diuerſes manieres, Meſme il eſt des catus, & des cas fortuis, Selon les cas, les cas ſont bien ou mal conduis.	Il est des cas de diverses manières, Même il est des catus, et des cas fortuis, Selon les cas, les cas sont bien ou mal conduis.
TRAPOLIN.	TRAPOLIN.
C’eſt vne queſtion.	C'est assez question.
LE DOCTEVR.	LE DOCTEUR.
Queſtion?	Question?
Pour les ſages Il eſt des queſtions barbares & ſauuages;	Pour les sages Il est des questions barbares et sauvages;
Il eſt des queſtions, & des queſtionneurs, Qui ſont tres-importuns à tous leurs auditeurs.	Il est des questions, et des questionneurs, Qui sont très-importuns à tous leurs auditeurs.
TRAPOLIN.	TRAPOLIN.
C’eſt vn doute fondé.	C'est un doute fondé.
LE DOCTEVR.	LE DOCTEUR.
Deſbroüille ton langage, Vn doute mal fondé cauſe bien du rauage.	Desbrouille ton langage, Un doute mal fondé cause bien du ravage.
TRAPOLIN.	TRAPOLIN.
C’eſt vn amour malin.	C'est un amour malin.
LE DOCTEVR.	LE DOCTEUR.
L’amour ne l’eſt iamais, Mais pour les amoureux, ils ſont bons ou mauuais.	L'amour ne l'est jamais, Mais pour les amoureux, ils sont bons ou mauvais.
Pour parler des amours, des Amants, des Amantes, Les hommes ſont cõſtans, les femmes incõſtantes,	Pour parler des amours, des Amants, des Amantes, Les hommes sont cõstans, les femmes incontantes,
TRAPOLIN.	TRAPOLIN.
Ah!	Ah!
laiſſez-moy parler.	laissez-moi parler.
LE DOCTEVR.	LE DOCTEUR.
Parler?	Parler?
Auparauant Voy ſi tu peux paſſer pour animal parlant, Quand on parle auec moy, liamy touſiours i’aſfeſte, De ſçauoir ſi l'on eſt beſte, homme, ou biẽ inſecte, Alors que ie le ſçay, ie meſure mon ſens, Et le proportionne au fort de leurs accens, Peut-eſtre en te parlant i’offencerois mon eſtre;	Auparavant Vois si tu peux passer pour animal parlant, Quand on parle avec moi, liami toujours j'asfeste, De Savoir si l'on est bête, homme, ou bye insecte, Alors que avec le savoir, avec mesure mon sens, Et le proportionne au fort de leurs accents, Peut-être en te parlant j'offenserais mon être;
Parler te conuient moins que heurler, & que peſtre.	Parler te convient moins que heurler, et que pêtre.
Ie parleray.	Je parlerai.
TRAPOLIN.	TRAPOLIN.
LE DOCTEVR.	LE DOCTEUR.
Tay-toy, ne hauſſe point la voix, Tu mettrois la raiſon dans les derniers abois:	Tais-toi, ne hausse point la voix, Tu mettrais la raison dans les derniers abois:
Le bon ſens eſt choqué, quãd tu forme vn langage;	Le bon sens est choqué, quand tu forme un langage;
Articuler la voix n’eſt pas de ton vſage.	Articuler la voix n'est pas de ton usage.
TRAPOLIN l'emportant.	TRAPOLIN l'emportant.
Que le Diable t’emporte auecque ton Latin, Mã Maiſtreſſe t’attend, il faut venir ſoudain.	Que le Diable t'emporte auecque ton Latin, Ma Maistresse t'attend, il faut venir soudain.
Voila (rrarrautnncily du profanc:	Voilà (rrarrautnncily du profanc:
Qu’vn Docteur eſt facheux, i’aymerois mieux vn aſne;	Qu'un Docteur est fâcheux, j'aimerais mieux un âne;
Ie vous laiſſe auec luy, ce maudit harangueut, Tout auiourd’huy, ie croy, me portera mal-heur.	Je vous laisse auec lui, ce maudit harangueut, Tout aujourd'hui, toujours crois, me portera malheur.
SCENE VI.	SCÈNE VI.
LE DOCTEVR, ISABELLE,	LE DOCTEUR, ISABELLE,
LE DOCTEVR.	LE DOCTEUR.
Rillant Aſtre viuant, belle Reyne des fieres, QQue deſire de moy vos beautez meurtrieres?	Rillant Astre vivant, belle Reine des fières, QQue désire de moi vos beautés meurtrières?
Vos printanieres appas, vos attraits ſans quartier, Qui font brûler les gens dans le mois de Ianuier.	Vos printanières appas, vos attraits sans quartier, Qui font brûler les gens dans le mois de Janvier.
ISABELLE.	ISABELLE.
Monſieur, le bruit commun qui court de voſtie eſtime, Me fait auoir recours à voſtte eſprit ſublime:	Monsieur, le bruit commun qui court de vostie estime, Me fait avoir recours à vostte esprit sublime:
Vous eſtes Precepteur d’vn ieune hõme bien fait, Mais qui ſçait mal ſon monde, & ſçay peu ce qu’il fait.	Vous êtes Précepteur d'un jeune homme bien fait, Mais qui sait mal son monde, et sais peu ce qu'il fait.
Ie ſuis femme d’honneur, ardente comme braiſe, Au combat des Vertus.	Je suis femme d'honneur, ardente comme braise, Au combat des Vertus.
LE DOCTEVR.	LE DOCTEUR.
Hé bien, i’en fuis bien-aiſe,	Hé bien, j'en fuis bienaise,
ISABELLE.	ISABELLE.
Ce ieune homme en vn mot à la temerité De venir tous les iours inſulter ma beauté, Auecque des regards, dont le trop de liſſance.	Ce jeune homme en un mot à la témérité De venir tous les jours insulter ma beauté, Avec des regards, dont le trop de lissance.
Fait trembler ma pudeur, & craindre ma prudence.	Fait trembler ma pudeur, et craindre ma prudence.
