A ROVEN, Chez THEODORE REINSART, pres le Palais, à l’Homme Aimé.	A ROUEN, Chez THEODORE REINSART, pres le Palais, à l'Homme Aimé.
huie & au 28 du 2.	huie et au 28 du 2.
liure de l’hiſtoire des Lombards de Paul Diacre au 1.	livre de l'histoire des Lombards de Paul Diacre au 1.
liure de l’Hiſtoire de Horence deMachiauel, & en pluſieurs endtoits de la Coſmograrhie de Manſes.	livre de l'Histoire de Horence deMachiauel, et en plusieurs endtaits de la Cosmograrhie de Manses.
ACTEPRS.	ACTEPRS.
L’ombre de Comonde.	L'ombre de Comonde.
Tyſiphone.	Tysiphone.
Narcez.	Narcès.
Alboüin.	Alboullin.
Peredée, Prince Lombard.	Peredée, Prince Lombard.
Guerbin, Conſeiller d’Eſtat.	Gubin, Conseiller d'État.
Almachilde, Eſcuier d’Alboüin.	Almachille, Escuyer d'Albouin.
Roſemonde, Reine, femme d'Alboüin.	Rosemonde, Reine, femme d'Alboüin.
Polycrite, Gouuernante de Roſemonde.	Polycrite, Gouvernante de Rosemonde.
Barcée, Soudame de Roſemonde.	Barcée, Soudame de Rosemonde.
Albiſinde, Fille du premier lict d’Albeüin.	Albisinde, Fille du premier lit d'Albuein.
Longin, Exarcat à Rauenne.	Longin, Exarcat à Ravenne.
Alphonſe, Amy de Longin.	Alphonse, Ami de Longin.
Meffager Chœur de Soldats Narceſiens.	Meffager Chœur de Soldats Narcesiens.
Chœur de Lombards.	Chœur de Lombards.
II LA VENGEANCE.	II LA VENGEANCE.
TRAGEDIE.	TRAGÉDIE.
ACII.	ÀCI.
L’ombre de Comonde Tyſiphone.	L'ombre de Comonde Tysiphone.
L’ombre.	L'ombre.
Mmenm puus le trſte jour que la Parque cruelle, de plongea daus l’obſeur d’vne nuict eternelle, que le voy Lombard Alboüin ſariuux Pres du Danube fut de moy victorieux, Qu’il domt a trop cruel mes plus ſieres Cohortes, Et rendit tout d’vn coup mes eſperances mortes:	Mmency puus le triste jour que la Parque cruelle, de plongea daus l'obseur d'une nuit éternelle, que le vois Lombard Albouvin sariuux Pres du Danube fut de moi victorieux, Qu'il dompt à trop cruel mes plus sières Cohortes, Et rendit tout d'un coup mes espérances mortes:
Ombre, ie n’ay paße le bourbeux Acheron Dans le courbe batoau du Nautonnier Charon, Ains i'erre vagabonde, és lieux plus ſolitaires Ou triſtement ie pleins mes funebres miſeres, Et lieux tous pleins d’horreur, pres de ces triſtes bordi Ou peſle meſle ſont les Eſprits nuds de corps:	Ombre, je n'ai passée le bourbeux Acheron Dans le courbe batoau du Nautonnier Charon, Ains j'erre vagabonde, ès lieux plus solitaires Ou tristement ie pleins mes funèbres misères, Et lieux tous pleins d'horreur, pres de ces tristes bordi Ou pèle mêle sont les Esprits nus de corps:
Et ne franchiray point l’Acherentide fleuue Que ma fille ne ſot de ſon Albouin veuue:	Et ne franchirai point l'Achèrentide fleuve Que ma fille ne sot de son Albouin veue:
De ce cruel bourrean qui ſainfait n’eſt pas De m'auoir fait ſentir vn violent trépas Et rauy pour butm ma Fille Roſemonde.	De ce cruel bourrean qui sainfait n'est pas De m'avoir fait sentir un violent trépas Et ravi pour butm ma Fille Rosemonde.
Mais choſe abominable!	Mais chose abominable!
& cruelle, & immande!	et cruelle, et immande!
Rubare il a ſait faire vne Coupe de los De ma teste pour boire & troubler mon repos.	Rubare il a sait faire un Coupe de los De ma tête pour boire et troubler mon repos.
Canibelle inhnmain qui veut ſa nourriture Prendre dans ce qui eſt des Serpens la paſture.	Canibelle inhannain qui veut sa nourriture Prendre dans ce qui est des Serpens la pâture.
O dicux du noir ſerour!	Ô dicux du noir servour!
ô Filles de la nuict De qui la vengeance eſt l’agreable deduit, Vengez moyde ce Monstre abominable peste, Execrable Arcenal des furies d’oreste.	ô Filles de la nuit De qui la vengeance est l'agréable déduit, Vengez moide ce Monstre abominable peste, Exécrable Arcenal des furies d'oreste.
M us voici Tyſiphenelil ſuſſi a de toy Qui pertes la vengeance, & l’horteur, & l’effroy:	M Mus voici Tysiphenelil sus a de toi Qui pertes la vengeance, et l'horteur, et l'effroi:
Vien ple ne de raucueur, aime neiſe, aime guerre, Seme ennuy, pleine d’Ire, & la peur de la terre.	Viens ple ne de ravcueur, aime nise, aime guerre, Sme ennui, pleine d'Ire, et la peur de la terre.
Acourez, venez tost Eſpeits malencontreux Faire ehoir ce cruel dans ves champs tenebreua:	Acourez, venez tôt Épeits malencontreux Faire ehoir ce cruel dans vez champs ténébreua:
venez, venez à moy fieres ſœurs Eumenides De ſaug de cruautez & de meurtres auides:	venez, venez à moi fières sœurs Eumenides De saug de cruautés et de meurtres avides:
Sortez peur quelque temps de vos couches de ſer, Dires au ſier regard, l’epouuentail d’Enfer, Pour venir toules traus horril les, furibondes, Faire dhoir Alboü̃ in dans vos caues profondes.	Sortez peur quelque temps de vos couches de ser, Dires au sier regard, l'epouuentail d'Enfer, Pour venir toules traus horril les, furibondes, Faire dhoir Albouges in dans vos caves profondes.
Tyſiphone.	Tysiphone.
Du profond des Enferrou mes deux autres Sœur;	Du profond des Enferrou mes deux autres Sœur;
Auiuent de cheleur leurs ſlunbeaux puniſſeurs, I’ay peu les eris entendre, ồ legere oubire veme, Et viens comble d’horreur peur aleger ta peine.	Avient de cheleur leurs slunbeaux punisseurs, J'ai peu les eris entendre, ô légère oubire veme, Et viens comble d'horreur peur aleger ta peine.
Autrefois échaufa ta ſuperbe valeur, Encor me ſeruira pour reuenger l’iniure Qu'Albeuin fait priuant tes os de ſepulture.	Autrefois échauffa ta superbe valeur, Encor me servira pour revenger l'injure Qu'Alevin fait privant tes os de sépulture.
Tu ſp̧ais comne la rage, & l'horrible fureur I’elance en toutes parts, que l'effroy, la terreur, Les cuautez, le meurtre, & le ſanglant carnaze.	Tu spais comne la rage, et l'horrible fureur J'élance en toutes parts, que l'effroi, la terreur, Les cuautés, le meurtre, et le sanglant carnaze.
La diſcorde, l’enuie, & la haine, & larage Sont mes plaiſans ébats:	La discorde, l'envie, et la haine, et larage Sont mes plaisants ébats:
que ie me paiſts de dueil, Ef de voir les bumains enſermez au Cercueil, Que ie ne m’aſſouuy de ſang, ni de turies, Cer ſont les friands mets de nous autres Furies.	que je me paits de deuil, Ef de voir les bumains ensermés au Cercueil, Que ils ne m'assoui de sang, ni de turies, Cer sont les friands mets de nous autres Furies.
I’ennonimay d’orgueil les terrenez Geants Qe Iupin foudroia dans les champs phlegreaus:	J'ennonimai d'orgueil les terrenez Geants Qe Iupin foudroya dans les champs phlégreaus:
I ay fait te fetre armer conire jon propre frere, Qui couduiſit à Thebe vne atuee eſtrangere vous Adraſte le Ryy ie terminay leurs iours Et de tous l’oſt Gregeois pres des Thebames touxe.	I ai fait te fère armer conire jon propre frère, Qui couduisit à Thebe vne atvée étrangère vous Andraste le Ri aux terminai leurs jours Et de tous l'ost Grègeais pres des Thebames touxe.
Ay-ie pes encor fait que les Enfans d’Atrée, Ont guerroié dix aus l’Aſienne contrée?	Ai-je pes encor fait que les Enfants d'Atrée, Ont guerroyé dix aux l'Asienne contrée?
Eref touſiours la fureur, la haine, & le debat Sont de mes Sœurs, & moy le repas & l’ébat.	Eref toujours la fureur, la haine, et le débat Sont de mes Sœurs, et moi le repas et l'ébat.
Combien ay-ie excité de guerres inteſtines, ſux regions d’Afrique, & aux terres Latines?	Combien ai-je excité de guerres intestines, sux régions d'Afrique, et aux terres Latines?
l n’y a coin au Monde ou en ville façons e n’aye répandu mes horribles tançons.	 l'y a coin au Monde ou en ville façons eu n'aie répandu mes horribles tançons.
La Romaine grandeur on a veu mi abure, e luy ay fait apres tout l’vniuers combatre uſant l’Aigle voller des In liens perleux eſqu’ou Phœbuς le ſoir cache ſon œil brilleux.	La Romaine grandeur on a vu mi abure, e eux ai fait après tout l'Univers combattre usant l'Aigle voller des In liens perleux équ'ou Phœbu le soir cache son œil brilleux.
I'ay bouſfy de courroux, de rancueus, de vengeance et Africain domtant ſa haut aine arrogance.	J'ai boussy de courroux, de rancueus, de vengeance et Africain domptant sa haut aine arrogance.
res tepides auſni braues, & furieux	rés tepides ausni braves, et furieux
Que tu minuiou ben rendre victorieux Des Iombards aguerriz, ont éprouué n'aguere Cenme toy qu'vn bou-heur ie ſray bien toſt defaire Car lous que tu voulois les Iuiures venger Des Rous tes deuancier, ſur ce peuple étranger qui boit les eaux d’Albis, & qui Scandinauie Quitta pour rechercher plus fertile patrie, Sor ce peaple qui a pour ſon chef Alboüin, Par luy ic ſeu de toy milheureuſe la ſin, Braue te ſabiu çaut, & tes crucli Lepides, Enuojez par ſon fer aux Sepulchres humides.	Que tu minuiou ben rendre victorieux Des Jombards aguerris, ont éprouvé n'aguère Cenme toi qu'un bou-heur et qui saurai bientôt défaire Car lous que tu voulais les Juivres venger Es Rous tes devancier, sur ce peuple étranger qui boit les eaux d'Alebis, et qui Scandinavie Quitta pour rechercher plus fertile patrie, Sor ce paple qui a pour son chef Alboüin, Par lui Pa seu de toi milheureuse la sin, Brave te sa çaut, et tes crucli Ères, Et tes sonfer aux Sepulchres Envi.
Voila counue eſt vens ce deſaſtreux mechef Encombrer triſtement ton muſerable chef.	Voilà counue est vents ce désastreux mechef Encombrer tristement ton musérable chef.
Mais je t’en vengeray, car mes Sœurs Tartarées Qui de ſang.	Mais je t'en vengerai, car mes Sœurs Tartarées Qui de sang.
& de pleurs ſont touſiours alterées, Auec moy Cyſiphone aruie de ces feux, Trempez dans le proſond du Phlegeton afreux, Feront dans la maiſon du Zoy Iombærd ton gendrs, Vn de aſtre ſanglant en pen de tems deſcendre.	et de pleurs sont toujours altérées, Avec moi Cysiphone aruie de ces feux, Trempez dans le prosond du Phlégeton afreux, Feront dans la maison du Zoi Jombærd ton gendrs, Vode astre sanglant en pen de temps descendre.
Ta Fille Roſemonde à ce nous ſeruira, Mus vn par eil malheur apres la ſuiuira.	Ta Fille Rosemonde à ce nous servira, Mus un par eil malheur après la suivira.
L’ombre.	L'ombre.
Il ne pert donc helas perir ſans Roſimonde?	Il ne pert donc hélas périr sans Rosimonde?
Ie te pui Tyſiphoue ou la vengeance abonde, De ſon Chef innocent détourner ta ſureur, Et ne la point frarer de ce triste malheur.	Je te puy Tysiphoue ou la vengeance abonde, De son Chef innocent détourner ta fureur, Et ne la point frarer de ce triste malheur.
