A MONSEIGNEVR 10 20 LE PRINCE.	À MONSEIGNEUR 10 20 LE PRINCE.
cela n’empeſche que beaucoup de paſſeuolants ne ſe rencontrent parmy leurs vieilles bandes:	cela n'empêche que beaucoup de passeuvolants ne se rencontrent parmi leurs vieilles bandes:
Et de ma part i’aime mieux que mon liure ſans autre circonſpection, ſoit bien imprimé à Rouën, que mal à Paris:	Et de ma part j'aime mieux que mon livre sans autre circonspection, soit bien imprimé à Rouen, que mal à Paris:
certain que l’experienſe heureuſe à quiconque honorera celui cy d’vne lecture ſerieuſe, le range à mon party, veu que nulle tranſpoſition notable, nul ſens peruerty, & nulles obmiſſions d’importance, ne démembreront le corps de l’ouurage, me faiſant ſouffrir la peine de la coulpe d’autruy.	certain que l'expériense heureuse à quiconque honorera celui cy d'une lecture sérieuse, le range à mon parti, vu que nulle transposition notable, nul sens perverti, et nulles obmissons d'importance, ne démembreront le corps de l'ouvrage, me faisant souffrir la peine de la coulpe d'autrui.
S’eſtendre au ſurplus daudttage, ſur ce qui concerne les particularitez du plus graue & laborieux poëme de tous, ne ſentiroit qu’vne repetition autant ennuieuſe que ſuperfluë, à ceux qui en ont deſia veu mon ſentiment ailleurs:	S'étendre au surplus daudthage, sur ce qui concerne les particularités du plus grave et laborieux poème de tous, ne sentirait qu'une répétition autant ennuyeuse que superflue, à ceux qui en ont déjà vue mon sentiment ailleurs:
outre qu’il vaut preſque mieux taire les loüanges de ſa profeßion, que donnant trop de carriere à la vanité, s’vſurper vne tyrannie ſur la liberté du iugement public, duquel tout homme bien ſenſé doit attendre fa reputation.	outre qu'il vaut presque mieux taire les louanges de sa profession, que donnant trop de carrière à la vanité, s'usurper une tyrannie sur la liberté du jugement public, duquel tout homme bien sensé doit attendre fa réputation.
VR LES TRAGEDIES DE DAIRE ET D’ALEXANDRE.	VR LES TRAGÉDIES DE DÁIRE ET D'ALEXANDRE.
A MONSIEVR HARDY.	À MONSIEUR HARDY.
La trame d’Alexandre, en vain fut deſourdie, Daire vela pour neun jes eſtats à Tenuers, Puis qu’on ſçait l’vn & l’autre immortel dãs lesvers Que ta plume pour eux à la France dedie.	La trame d'Alexandre, en vain fut déourdie, Daire vêla pour neun jes états à Tenvers, Puis qu'on sait l'un et l'autre immortel dans lesvers Que ta plume pour eux à la France dedie.
Euridice & Theſée eurent vn pire ſort.	Eurydice et Thesée eurent un pire sort.
Que ces Rcys qu’il t’a pleu retirer de la mort, Leur lumiere en peu d’heure apres fut eſtouffée.	Que ces Rois qu'il t'a plu retirer de la mort, Leur lumière en peu d'heure après fut étouffée.
Mais l’immortalité que leur fait receuoir Le Tragique François, monſtre que ſon pouuoir Paſſe le bras d’Hercul, & la lyre d’Orphée.	Mais l'immortalité que leur fait recevoir Le Tragique Français, montre que son pouvoir Passe le bras d'Hercul, et la lyre d'Orphée.
DE L’ATRE.	DE L'ÂTRE.
A MONSIEVR HARDY, Qvac oub nildde la.	À MONSIEUR HARDY, Qvac oub nildde la.
Graue & docte HARDY quand ie ly tes beaux vers, Qui comme autant de traits ont la fortune en butte, Pour l’iniuſte pouuoir qu’elle a ſur l’vniuers, Ie ne m’eſtonne point qu’elle te perſecute.	Grave et docte HARDY quand tu liive beaux vers, Qui comme autant de traits ont la fortune en butte, Pour l'injuste pouvoir qu'elle a sur l'Univers, Je ne m'étonne point qu'elle te persécute.
Genereux cependant, & de nom & d’effet Tu dreſſes tes deſirs à ce bien plus parfait, Qui ſeul peut contenter l’eſprit des braues hommes.	Généreux cependant, et de nom et d'effet Tu dresses tes désirs à ce bien plus parfait, Qui seul peut contenter l'esprit des braves hommes.
Si tes labeurs n’ont pas ce qu’ils ont merité, Tu laiſſes à iuger à la poſterité, uelles gens on eſtime en ce ſiecle où nous ſommes.	Si tes labeurs n'ont pas ce qu'ils ont mérité, Tu laisses à juger à la postérité, elles gens on estime en ce siècle où nous sommes.
GVILLEBERT.	GUILEBERT.
ARGVMENT.	ARGUMENT.
yAIRE apres la bataille du Granique, où ſes Lieutenants furent vaincus par Alexandre le grand, amace vne armée de ſix cents mille combatants, pour s’oppoſer aux progrez du victorieux:	yAIRE après la bataille du Granique, où ses Lieutenants furent vaincus par Alexandre le grand, amace une armée de six cents mille combattants, pour s'opposer aux progrès du victorieux:
Mais ayant eſté deffait en deux memorables iournées, ce pauure Prince reſolut de ſe ſauuer en la Bactriane, prouince frontiere des Indes.	Mais ayant été défait en deux mémorables journées, ce pauvre Prince résolut de se sauver en la Bactriane, province frontière des Indes.
Parmy ce deſeſpoir d’affaires, Beſſe chef des Bactriens & Nabarzane conſpirent contre luy:	Parmi ce désespoir d'affaires, Besse chef des Bactriens et Nabarzane conspirent contre lui:
ce que Patron Capitaine des Grecs qui eſtoient à la ſolde de Daire luy découure, le priant de ſe tirer à ſauueté dans ſon bataillon.	ce que Patron Capitaine des Grecs qui étaient à la solde de Daire lui découvre, le priant de se tirer à sauveté dans son bataillon.
Daire craignant d’augmenter la mauuaiſe volonté des ſiens s’il monſtre quelque défiance, neglige l’offre, & l’aduis de ce fidelle Grec.	Daire craignant d'augmenter la mauvaise volonté des siens s'il montre quelque défiance, néglige l'offre, et l'avis de ce fidèle Grec.
Là deſſus Beſſe qui ſçayt ſa cõſpiration découuerte, en preſſant l’execution, ſe ſaiſit de la persõne du Prince, & le laiſſe nauré à mort dans vn chariot de bagage, tandis que luy ſe ſauue à la fuite, d’autant qu’Alexandre les pourſuiuoit de pres.	Là -dessus Besse qui sçayt sa cõspiration découverte, en pressant l'exécution, se saisit de la personne du Prince, et le laisse nauré à mort dans un chariot de bagage, tandis que lui se auve à la fuite, d'autant qu'Alexandre les poursuivait de pres.
Polyſtrate vieil Soldat Macedonien, trouue d’auanture Daire, tirant aux abbois, renuerſé de ſon chariot:	Polistrate vieil Soldat Macédonien, trouve d'aventure Daire, tirant aux abois, renversé de son chariot:
& apres auoir appris ſon deſaſtre de ſa propre bouche, le court annoncer à Alexandre, qui ſe porte à l’inſtant ſur les lieux, trouue Daire mort, qu’il couure de ſa cotte d’armes, déplorant la cruauté de ſon deſtin.	et après avoir appris son désastre de sa propre bouche, le court annoncer à Alexandre, qui se porte à l'instant sur les lieux, trouve Daire mort, qu'il couvre de sa cotte d'armes, déplorant la cruauté de son destin.
Il commande qu’on luy donne vne ſepulture Royale, & continuë à pourſuiure Beſſe, qu’ayant rateint, il feit demembrer par deux arbres pliez enſemble de force, pour ſupplice digne de ſon parricide.	Il commande qu'on lui donne une sépulture Royale, et continue à poursuivre Besse, qu'ayant rateint, il fit démembrer par deux arbres pliez ensemble de force, pour supplice digne de son parricide.
Daire.	Daire.
4 2 Artabaze.	4 2 Artabase.
Maſæe.	Masæe.
Cuuuccs Alexandre.	Culuccs Alexandre.
Hepheſtion.	Héphestion.
Perdice.	Perdice.
Menide.	Ménide.
Troupe de ſoldats Perſans.	Troupe de soldats Persans.
Chœur d’Argyraſpides.	Chœur d'Argyraspides.
Bion.	Bion.
Beſſe.	Besse.
Nabarzane.	Nabarzane.
Patron.	Patron.
Polyſtrate.	Polistrate.
Cratere.	Crastère.
Syzigambe.	Syzigambe.
Chœur des filles.	Chœur des filles.
Bagyſtane.	Bagystane.
LA MORT DE DAIRE, TRAGEDIE,	LA MORT DE DÁIRE, TRAGÉDIE,
ACTE PREMIER.	ACTE PREMIER.
.	.
DAIRE,ARTABASE, MASÆE, BVBACE, ALEXANDRE, HEPHESTION, TARMENTON, PERDICE, MENIDE.	DÁIRE,ARTABASE, MASÆE, BUBACE, ALEXANDRE, HEPHESTION, TARMENTON, PERDICE, MENIDE.
SCENE PREMIERE.	SCÈNE PREMIÈRE.
DAIRE, ARTABASE, MASÆE, BVBACE.	DÁIRE, ARTABASE, MASÆE, BUBACE.
DAIRE.	DÁIRE.
Lambeau de l’Vniuers qui deſſous ta tutelle, Comme plus reueré de la troupe immortelle, Maintins ſi longuement les Perſes valeureux:	Lambeau de l'Univers qui dessous ta tutelle, Comme plus révéré de la troupe immortelle, Maintins si longuement les Perses valeureux:
Las peux-tu ſans remors nous voir ſi mal-heureux?	Las peux-tu sans remors nous voir si malheureux?
Peux-tu voir vn Empire où ta grandeur s’adore Qui s’étendoit jadis du couchant à l’aurore, Perdre l’antique gloire, & courre le danger De l’opprobre honteux d’vn ſeruage étranger?	Peux-tu voir un Empire où ta grandeur s'adore Qui s'étendait jadis du couchant à l'aurore, Perdre l'unique gloire, et courre le danger De l'opprobre honteux d'un servage étranger?
Dißipe, alme Soleil, dißipe l’entrepriſe De ce ieune inſensé qui nos forçes mépriſe, Qui ſemble diſpoſer des armes & du ſort, Ineuitable foudre où tombe ſon effort.	Dissipe, âme Soleil, dissipe l'entreprise De ce jeune insensé qui nos forçes méprise, Qui semble disposer des armes et du sort, Inévitable foudre où tombe son effort.
I'atteſte, Delien, ta flame vagabonde, Qu'vn deſir de regner ou de plus viure au monde Qui n’a plus rien pour moy d’agreable & de beau Ma compagne moitié hôteſſe d’vn tombeau, Ne t’adreſſe ces vœux, rien que la ſeule enuie De rendre aux miens, premier, la liberté rauie, De remettre l’Empire és mains d’vn ſucceſſeur, Telque ie le receus, außi ample, außi ſeur:	J'atteste, Délien, ta flamme vagabonde, Qu'un désir de régner ou de plus vivre au monde Qui n'a plus rien pour moi d'agréable et de beau Ma compagne moitié hôtesse d'un tombeau, Ne t'adresse ces vœux, rien que la seule envie De rendre aux miens, premier, la liberté ravie, De remettre l'Empire ès mains d'un successeur, Telque je le reçus, aussi ample, aussi seur:
Nulle autre occaſion (tu le ſçais) ne m’anime A ce vœu raiſonnable autant que magnanime;	Nulle autre occasion (tu le sçais) ne m'anime À ce vœu raisonnable autant que magnanime;
Choir apres, ombre vaine, au nocturne ſejour Me contente, rejoint à l’aube de mon iour.	Choir après, ombre vaine, au nocturne séjour Me contente, rejoint à l'aube de mon jour.
Artabaſe.	Artabase.
Que voſtre Majeſté rallume ſon courage En la gloire future apres ce long orage, Gloire d’auoir vaincu, tous les dars émouſſez De l’aduerſe fortune & des cieux courroucez;	Que votre Majesté rallume son courage En la gloire future après ce long orage, Gloire d'avoir vaincu, tous les dars émous De l'averse fortune et des cieux courroucez;
Plus le Pilot expert eut la tempête forte, Plus, franchie, ſon art de loüange rapporte.	Plus le Pilot expert eut la tempête forte, Plus, franchie, son art de louange rapporte.
Moindres malheurs ne ſont ſoûtenus ſans effroy Capables d’illuſtrer la conſtance d’vn Roy Qui reprime dans peu l’audace forçenée Du Corſaire étranger touchant ſa deſtinée, En qui la violence eſpere le deſtin De ces torrents qu’auorte & que perd vn matin, Où fortune dément ſa nature infidelle, Où l’Icare n’a plus que pretendre cheZ elle, Qui dunnera à exempienornivie al y ners La cheute que ne peut éuiter ce peruers.	Moindres malheurs ne sont soutenus sans effroi Capables d'illustrer la constance d'un Roi Qui reprime dans peu l'audace forçenée Du Corsaire étranger touchant sa destinée, En qui la violence espère le destin De ces torrents qu'avorte et que perd un matin, Où fortune dément sa nature infidèle, Où l'Icare n'a plus que prétendre chez elle, Qui dunnera à exempiennivie al y ners La chute que ne peut élever ce pervers.
Daire.	Daire.
Si quelque deïté dans le Ciel équitable, Vne preſomption châtie inſuportable, Quel deſaſtre n’a point l’orgueilleux merité, Iuſques-là paruenu de ſa temerité, Que mon Empire offert à diuiſer enſemble, Et le plus ſainct lien qui les hommes aſſemble En ma fille ſoumiſe à ce Corſaire époux, Ont ſouffert ſon refus qui s’en preuaut ſur nous.	Si quelque déserté dans le Ciel équitable, Une présomption châtie insuportable, Quel désastre n'a point l'orgueilleux mérité, Jusque-là parvenu de sa témérité, Que mon Empire offert à diviser ensemble, Et le plus saint lien qui les hommes assemble En ma fille soumise à ce Corsaire époux, Ont souffert son refus qui s'en prévaut sur nous.
Mais helas où le ſort me comble d’infamie, Où il verſe le plus de ſa haine ennemie, Où i’éprouue, abbatu, ſon inique rancœur, Nagueres ma moitié captiue du vaincœur, Libre n’a peu deſcendre en la tombe poudreuſe, Receuoir à mes yeux ſa pompe funereuſe, Celle qui poſſeda mon courage, n’a pas Ses lugubres honneurs, autres qu’vn peuple bas, Celle que d’adorer tout vn mondefit gloire, Paſſe comme inconnuë en la region noire.	Mais hélas où le sort me comble d'infamie, Où il verse le plus de sa haine ennemie, Où j'éprouve, abattu, son inique rancœur, Nagues ma moitié captive du vaincœur, Libre n'a peu descendre en la tombe poudreuse, Recvoir à mes yeux sa pompe funereuse, Celle qui posséda mon courage, n'a pas Ses lugubres honneurs, autres qu'un peuple bas, Celle que d'adorer tout un mondefit gloire, Passe comme inconnue en la région noire.
A 3	A 3
Bubace.	Bubace.
Sire, que tel regret n’afflige vos eſprits, Alexandre a le ſoin de ſes obſeques pris, Auec mêmes honneurs, même pompe royale Que luy-même priué d’vne épouſe loyale, Que luy même reduit à ce piteux deuoir, La Reine entre les ſiens ne pouuoit plus auoir, La Reine entre les ſiens ne pouuoit, expirée, D’vn conuoy plus celebre être plus honorée, Son heur en ce ſeul point deffectueux alors, Qu’auãt que de paſſer vaine ombre cheZ les morts, Vostre gloire demeure interdite à ju cene, D’autres honneurs en tout ſuffiſamment pourueuë.	Sire, que tel regret n'afflige vos esprits, Alexandre à le soin de ses obsèques pris, Avec mêmes honneurs, même pompe royale Que lui-même privé d'une épouse loyale, Que lui même réduit à ce piteux devoir, La Reine entre les siens ne pouvait plus avoir, La Reine entre les siens ne pouvait, expirée, D'un convoyait plus célèbre être plus honorée, Son heur en ce seul point défectueux alors, Qu'avantage que de passer vaine ombre cheZ les morts, Votre gloire demeure interdite à ju cène, NE autres honneurs en tout suffisamment pourueuë.
Daire.	Daire.
reux,	reux,
Courage au moins i’éprouue vn ſoulas malheuEn la douce pitié du vaincœur genereux.	Courage au moins j'éprouve un soûlas malheun la douce pitié du vaincœur généreux.
Mais vien, que ſeuls à part mon eſprit s’éclairciſſe Du ſcrupule conçeu ſur vn puiſſant indice:	Mais viens, que seuls à part mon esprit s'éclaircisse Du scrupule conçu sur un puissant indice:
Si tu n’es partiſan de la proſperité, Si flateur tu ne veux taire la verité, Si ta premiere foy ne s’eſt point corrompuë, D’eſperances en l’air par l’ennemy repuë, Si tu vis perſiſtant ſoubs le joug de nos loix, I’adiure ce deuoir que rendre tu ſoulois, I’adiure la candeur de cet antique Zele, Que tu m’ôtes vn ver qui jaloux me martelle;	Si tu n'es partisan de la prospérité, Si flatteur tu ne veux taire la vérité, Si ta première foi ne s'est point corrompue, D'espérances en l'air par l'ennemi repue, Si tu vis persistant soubs le joug de nos lois, J'adiure ce devoir que rendre tu soûlais, J'ajure la candeur de cet antique Zèle, Que tu m'ôtes un ver qui jaloux me martelle;
Ne mens point, eſt-ce pas, voire le moindre deüil Et plus à tollerer qu'vne femme au iennen, Mon honneur entamé, dont la playe me donne Plus d’apprehenſion que ma propre couronne:	Ne mens point, est-ce pas, voire le moindre deuil Et plus à tollerer qu'une femme au iennen, Mon honneur entamé, dont la plaie me donne Plus d'appréhension que ma propre couronne:
Car quelle bien-veillance auroit la poſſedant Vers ſa belle captiue vn ieune Prince ardent?	Car quelle bienveillance aurait la possédant Vers sa belle captive un jeune Prince ardent?
Ah certes la luxure à mon renom funeſte, Des honneurs conferez la cauſe manifeſte, L’adultere vne vſure execrable en a pris, Fraude plus qu’apparente aux plus louches eſprits.	Ah certes la luxure à mon renom funeste, Des honneurs conférez la cause manifeste, L'avultère une usure exécrable en a pris, Fraude plus qu'apparente aux plus louches esprits.
Bubace.	Bubace.
Sire, au nom de ces dieux qui vengent l’innocẽce, Et qui de mon courage ont ſeuls la cognoiſſance, Ne vueillez la vertu d’Alexandre offenſer, Plus grande que mortel ne l’oſeroit penſer, Sa proüeſſe vainquit à viue force d’armes Nos ſoldats, ſouuenir qui prouoque mes larmes, Mais moins vaillant que chaſte onc regard diſſolu Qui ſortit de ſes yeux, nos Reines n’a pollu;	Sire, au nom de ces dieux qui vengent l'innocience, Et qui de mon courage ont seuls la connaissance, Ne veuillez la vertu d'Alexandre offenser, Plus grande que mortel ne l'oserait penser, Sa prouneuse vainquit à vive force d'armes Nos soldats, souvenir qui provoque mes larmes, Mais moins vaillant que chaste onc regard dissolu Qui sortit de ses yeux, nos Reines n'a pollu;
Son armée leur fut la franchiſe d’vn temple, Où rien que de modeſte & que de bon exemple Paiſibles, n’entretint leur pudique repos, Et en cas qu’impoſteur i’auance le propos, Qu'à vos genoüils icy le Tonnant me foudroye, Que des rages d’Enfer mon eſprit ſoit la proye.	Son armée leur fut la franchise d'un temple, Où rien que de modeste et que de bon exemple Paisibles, n'entretint leur pudique repos, Et en cas qu'imposteur j'avance le propos, Qu'à vos genoüils ici le Tonnant me foudroie, Que des rages d'Enfer mon esprit soit la proie.
S’il ſe trouue autrement, qu’on tenaille ce corps, Qu’on luy face ſouffrir, pour vne, mille morts, Sire, ne donnez plus à telle frenaiſie Vn accez ſans ſujet en voſtre fantaiſie, Et puiſſe à cela preZ la Perſane grandeur ntoonurti fouvs fon Royia premiere ſplendeur	S'il se trouve autrement, qu'on tenaille ce corps, Qu'on reste face souffrir, pour venir, mille morts, Sire, ne donnez plus à telle frénaisie Un accès sans sujet en votre fantaisie, Et puisse à cela assez la Persane grandeur noonurti fouvs son Roiia première splendeur
Daire.	Daire.
Dieux qui tenez le frein des affaires du monde.	Dieux qui tenez le frein des affaires du monde.
Deſſus qui l’homme droit ſes eſperances fonde, Souuerains de qui ſont nos Empires bornez, Qui les pouueZ ôter comme vous les donnez, Faites, où que flechis, ma guerriere conduite Mette les ennemis & les malheurs en fuite, Qu'elle rende la Perſe à ſa proſperité;	Dessus qui l'homme droit ses espérances fonde, Souverains de qui sont nos Empires bornés, Qui les pouvez ôter comme vous les donnez, Faites, où que fléchis, ma guerrière conduite Mette les ennemis et les malheurs en fuite, Qu'elle rende la Perse à sa prospérité;
Où ſi telle faueur ie n’ay pas merité, Si de vous ma priere au beſoin ſe mépriſe, Si la force ſuccombe au faix de l’entrepriſe, Qu'à l’inſigne vertu de ce preux Macedon Mon trône deſormais demeure de guerdon, u'il y ſoit ſeul aßis ſucceſſeur en ma place.	Où si telle faveur ie n'ai pas mérité, Si de vous ma prière au besoin se méprise, Si la force succombe au faix de l'entreprise, Qu'à l'insigne vertu de ce preux Macédon Mon trône désormais demeure de guerdon, u'il y soit seul assis successeur en ma place.
Toy, fay que ce ſecret à nul autre ne paſſe;	Toi, fais que ce secret à nul autre ne passe;
Sus, allons mes amis enſemblément pouruoir Que ce monde guerrier ſe range à ſon deuoir, Le nombre nuit alors que l’ordrent prettue, Où tout à leur mélange inſurmontable cede, S’entend chez vos pareils qu’anime la valeur, Aiguiſez de courage au precedent malheur.	Sus, allons mes amis ensemblément pourvoir Que ce monde guerrier se range à son devoir, Le nombre nuit alors que l'ordrent prétue, Où tout à leur mélange insurmontable cède, S'entend chez vos pareils qu'anime la valeur, Aiguisez de courage au précédent malheur.
Artabaſe.	Artabase.
Ces paroles nous ſont vn augurt noivire, Vnéclair qui reluit de la proche victoire, L’aſſeurance que porte vn Empereur au front, Rend le ſoldãt à vaincre & plus propre & plus 1.	Ces paroles nous sont un augurt noivire, Vnéclair qui reluit de la proche victoire, L'assurance que porte un Empereur au front, Rend le soldant à vaincre et plus propre et plus 1.
2 pront.	2 prompt.
SCENE II.	SCÈNE II.
ALEXANDRE, HEPHESTION, PARMENION, PERDICE.	ALEXANDRE, HEPHESTION, PARMENION, PERDICE.
MIENIDE.	MIENIDE.
Alexandre.	Alexandre.
Nuincibles guerriers à qui veut ma fortune T Rendre ſur l’Vniuers ſa puiſſance commune, Aſtres de qui ma gloire emprunte ſa clarté, (Vn principal nuage à cette beure écarté) Peu de labeur nous met à même la lumiere, Peu de labeur nous cueille vne couronne entiere.	Nuincibles guerriers à qui veut ma fortune T Endre sur l'Univers sa puissance commune, Astres de qui ma gloire emprunte sa clarté, (Vn principal nuage à cette beure écarté) Peu de labeur nous met à même la lumière, Peu de labeur nous cueille une couronne entière.
Daire déja vaincu que le nombre ſeduit, Ains que le deſeſpoir à ce deſtin reduit, Retente le combat & oſe, temeraire, Negliger vn moyen de fuite falutaire:	Daire déjà vaincu que le nombre séduit, Ains que le désespoir à ce destin réduit, Retente le combat et ose, téméraire, Négliger un moyen de fuite salutaire:
Doncques fauoriſeZ de telle occaſion, Ie n’vſe à vos valeurs de perſuaſion, Trop certain que chacun reſpire la bataille, Le doute qui ſans plus important me trauaille, Conſiſte de pouuoir, vos aduis conſultez, Reſoudre entierement ſur les difficultez Des lieux, du temps, de l’ordre à vaincre neceſſaires, Sãs que la moindre priſe on dõne aux aduerſaires;	Donc favorise de telle occasion, Je n'euse à vos valeurs de persuasion, Trop certain que chacun respire la bataille, Le doute qui sans plus important me travaille, Consiste de pouvoir, vos avis consultés, Résoudre entièrement sur les difficultés Des lieux, du temps, de l'ordre à vaincre nécessaires, Sangs que la moindre prise on dõne aux adversaires;
A 4 Chacun donc là deſſus opine librement, Att tapiuu ne ſe peut faire trop ſeurement.	A 4 Chacun donc là dessus opine librement, Att tapiv ne se peut faire trop sûrement.
Hepheſtion.	Héphestion.
