Auec Priuilege du Roy.	Avec Privilège du Roi.
Ie les penſe tenir iouet de mes vengeances, C’eſt lors qu’il leur pardonne, & les fait vicieux Eſpurez par le feu regner dedans les cieux.	Je les pense tenir jouet de mes vengeances, C'est lors qu'il leur pardonne, et les fait vicieux Espurez par le feu régner dedans les cieux.
Combien de fois, chetif, peu ſeur en mes conqueſtes Ay-je penſé fouler demes deux pieds leuns teſtes, Les tenir en mes mains, apprendre à mon Palais Les trophees ſanglans de leurs plus grands meffaits, Auoir ſemé la rage, & l’horreur, & les flames, Inondé de fureurs leurs citez, & leurs Ames, Qu'il les remet ſunpieds, purgez de leur deffaut, Comme fleur languiſſante en l’Eſté le plus chaud, Quand le Ciel gros de nuë, & bruiant de tonnerre, Farde le ſein de Veſte, & deſtrempe la terre?	Combien de fois, chétif, peu sûr en mes conquêtes Ai-je pensé fouler de deux pieds leuns têtes, Les tenir en mes mains, apprendre à mon Palais Les trophées sanglants de leurs plus grands méfaits, Avoir semé la rage, et l'horreur, et les flammes, Inondé de fureurs leurs cités, et leurs Âmes, Qu'il les remet sunpieds, purgés de leur défaut, Comme fleur languissante en l'Esté le plus chaud, Quand le Ciel gros de nue, et bruyant de tonnerre, Farde le sein de Vête, et détrempe la terre?
En quel point de mal-heur, en quelle extremité, Se verront-ils reduits par la fatalité, Quand les fils de Clouis parricides Atrees, Arrouſerent de ſang, non les champs, les contrees, Les bourgs, & les citez, mais bien les temples ſaincts Submergez dans le ſang de leurs nepueux eſtains?	En quel point de malheur, en quelle extrémité, Se verront-ils réduits par la fatalité, Quand les fils de Clouis parricides Atrees, Arrouserent de sang, non les champs, Les contrées, Les bourgs, et les citez, mais bien les temples saints Submergez dans le sang de leurs neveux étains?
Lors que ie mipartis l’vnion de leurs Princes, Qu'Orleans & Bourgongne oſterent les Prouinces De leur premier repos, & que l’Anglois mutin Vint a ſe preualoir des restes du butin:	Lors que ie mipartis l'vnion de leurs Princes, Qu'Orleans et Bourgongne ôtèrent les Provinces De leur premier repos, et que l'Anglais mutin Vint a se prévaloir des restes du butin:
Lors que Charles neufieſme en ſa tendre ieuneſſe Vit contre ſoy bandez le peuple, la Nobleſſe, Bataille ſur bataille, & la Religion Seruir de couuerture à leur ambition.	Lors que Charles neuvième en sa tendre jeunesse Vit contre soi bandez le peuple, la Noblesse, Bataille sur bataille, et la Religion Servir de couverture à leur ambition.
11	11
Mais iamais, non iamais (trompereſſe eſperance) Ie n’ay penſé, n’ay creu, triompher de la France, Qu'en ces troubles derniers, troubles infortunez Où couchant de ma reſte, ayant tous deſchainez Mes Diables, mes Demons, mes fureurs du Tenare, La fiere cruauté, l’humeur la plus barbare, La rage, le pillage, & l’inhumanité Semez de bourg en ville, & de ville en cité, On euſt dit que les Lis expoſez au pillage Tout ne fut qu'aſſaſin, que meurtre, & brigandage.	Mais jamais, non jamais (tromperesse espérance) Je n'ai pensé, n'ai cru, triompher de la France, Qu'en ces troubles derniers, troubles infortuné Où couchant de ma reste, ayant tous déchaînez Mes Diables, mes Demons, mes fureurs du Tenare, La fière cruauté, l'humeur la plus barbare, La rage, le pillage, et l'inhumanité Semez de bourg en ville, et de ville en cité, On eût dit que les Lis exposez au pillage Tout ne fut qu'assin, que montre, et brigandage.
Mais quoy?	Mais quoi?
cegrand HENRY, ce Monarque vainqueur, Moins aßisté de gents, que d’eſprit, & de cœur, Auoit l’Ange de Dieu qui le fit inuincible Surmonter les hazards:	cegrand HENRY, ce Monarque vainqueur, Moins assisté de gents, que d'esprit, et de cœur, Avait l'Ange de Dieu qui le fit invincible Surmonter les hasards:
l’impoſsible, poßible, Luy rafermir le Sceptre, & ſes Lis abaiſſez Furent de ce grand Mars außi toſt redreßez.	l'impossible, passible, Lui rafermir le Sceptre, et ses Lis abaissez Furent de ce grand Mars auss aussitôt redressez.
Quelque ayde qu’il en euſt ſi luy ferey-ie croire.	Quelque aide qu'il en eût si beau fèrei-je croire.
Que i’ay peu mile fois luy rabaiſſer ſa gloire, Deſſecher ſes Lauriers, & l’accabler bouillant Lors qu’il hazardoit tout ſur l’ennemy ſanglant.	Que j'ai peu mile fois deux rabaisser sa gloire, Dessecher ses Lauriers, et l'accabler bouillant Lors qu'ils hasardait tout sur l'ennemi sanglant.
Lors que trop valeureux ſon ame Martialle Perſoit, fauſſoit, preſſoit d’vne troupe ineſgale Les rangs les plus eſpais, bienheurant ſes combats Plus auec la valeur qu’au nombre des ſoldats.	Lors que trop valeureux son âme Martialle Persait, faussait, pressait d'une troupe inégale Les rangs les plus épais, bienheurant ses combats Plus avec la valeur qu'au nombre des soldats.
Poure fat que i'eſtoys d’authoriſer ſes armes Le croyant eſtre à moy, tout pippé de mes charmes, Et ſous ce faux adueu i'ay cent fois deſtourné	Poure fat que j'étais d'autoriser ses armes Le croyant être à moi, tout pipé de mes charmes, Et sous ce faux aveu j'ai cent fois détourné
Les feux, les plombs, les coups de ſon chef couronné Halqu’il m’a bien trompé, ſon Ame prompte &.	Les feux, les plombs, les coups de son chef couronné Halqu'il m'a bien trompé, son Âme prompte et.
viue M’a finement deceu, tout à coup il me priue De mes pretentions, abiure ſon erreur, Se redonne à l’Egliſe, & me met en fureur.	vive M'a finement déçu, tout à coup il me prive De mes prétentions, abjure son erreur, Se redonne à l'Église, et me met en fureur.
Mais ſi m’en vangeray-ie, & l’Ange qui l’aſſeure Ne l’empeſchera pas que ſanglant il ne meure Aſſaſiné par moy.	Mais si m'en vengerai-je, et l'Ange qui l'assure Ne l'empêchera pas que sanglant il ne meure Assasiné par moi.
ie dis moy, c’eſt moy ſeul Qui peux faire changer ſes trofees en deul, Ses Palmes en Cyprez, d’vne main parricide Fleſtrir tous les Lauriers du braue Aëacide.	Les dis -moi, c'est moi seul Qui peux faire changer ses trofes en défe en Ses Palmes en Cyprez, d'une main parricide Flêtrir tous les Lauriers du brave Aéacide.
Ie le veux, ie le peux, i’en ay trop de moyens, Le malheur ordinaire à ces Tyrintiens Doit retrancher ſes iours au milieu des delices, 8 En ſa plus grand' fortune, ez plus doux exercices Des pompes de ſa Cour ie veux l’aſſaſiner, M’enrichir de ſa gloire & ſes ans butiner.	Je le veux, Seigneur le peux, j'en ai trop de moyens, Le malheur ordinaire à ces Tyrintiens Doit retrancher ses jours au milieu des délices, 8 En sa plus grand fortune, Z plus doux exercices Des pompes de sa Cour ie veux l'assasiner, M'enrichir de sa gloire et ses ans butiner.
Ainſi le braue Achile, ainſi ce fort Alcide, Ainſi Neoptoleme, & le grand Æacide Vainqueur de l’Orient, ainſi ce Roy Berger Qui fit Rome de rien, expoſez au danger 4 9 Qu'ils attendoient le moins, en leur plus grand'fortune Aduouerent ſanglans, que la Parque commune Aux Princes, aux ſoldats, aux poltrons, aux vaillans, N’eſpargne rien de grand, les met tous ſur les rangs.	Ainsi le brave Achille, ainsi ce fort Alcide, Ainsi Neoptoleme, et le grand Acide Vainqueur de l'Orient, ainsi ce Roi Berger Qui fit Rome de rien, exposez au danger 4 9 Qu'ils attendaient le moins, en leur plus grand'une Aduouerent sanglants, que la Parque commune Aux Princes, aux soldats, aux poltrons, aux vaillants, N'épargne rien de grand, les met tous sur les rangs.
Il a beau ſe brauer d’vne armee Royale, De cent mil eſtendars, ſe promettre fatale	Il a beau se braver d'une armée Royale, De cent mil étendards, se promettre fatale
La grandeur de l’Empire, & les ſceptres du Nort, En ſa viue ſplendeur, lors qu’il est le plus fort, Ce lendemain du Sacre, en ceſt heur, en ſa pompe Ie l'attends pour leperdre:	La grandeur de l'Empire, et les sceptres du Nort, En sa vive splendeur, lors qu'il est le plus fort, Ce lendemain du Sacre, en cet heur, en sa pompe Je l'attends pour leperdre:
il n’y a rien qui trompe Les Roys en leur relief, que ceſt eſclat plus grand Où les guette le Ciel, où la mort les ſurprend.	il n'y a rien qui trompe Les Rois en leur relief, que cet éclat plus grand Où les guette le Ciel, où la mort les surprend.
Mais comment le meurtrir?	Mais comment le meurtrir?
inuincible Monarque, Il ſemble eſtre Feé, ſeul vainqueur de la Parque, Seul domteur des hazards:	invincible Monarque, Il semble avoir Fé, seul vainqueur de la Parque, Seul dompteur des hasards:
ſi craint, ſi redouté, Que ſes moindres eſclairs, ſon œil de Maieſté, Son abord fait trembler les bandes plus ſanglantes, Son cœur porte la glace aux ames plus vaillantes, Et ne ſçache meurtrier ſi barbare & ſanglant, Qui l’oſe ſeulement aborder qu’en tremblant.	si craint, si redouté, Que ses moindres éclairs, son œil de Maiesté, Son abord fait trembler les bandes plus sanglantes, Son cœur porte la glace aux âmes plus vaillantes, Et ne sache meurtrier si barbare et sanglant, Qui l'ose seulement aborder qu'en tremblant.
2 Quoy donc?	2 Quoi donc?
faute de cœur, ou crainte d’entreprendre  Moy qui peux terraſſer le vaillant Alexandre, D'vn breuuage glacé, ie n’oſeroy poltron L’immoler tainct en ſang aux Dieux de l’Acheron?	faute de cœur, ou crainte d'entreprendre Moi qui peux terrasser le vaillant Alexandre, D'un breuage glacé, Elle n'oserai poltron L'immoler taint en sang aux Dieux de l'Acheron?
Ie ne me fie plus à ces fauſſes Megeres, Ces louues Alectons, aux flambeaux, aux viperes Des Erynes ſans cœur, qui n’ont de cruauté Non que pour les poltrons, pour vn laſche Penthé, Vn Thyeſte ſanglant, vne Dyrce entrainee, Vn Neron, vn Creon, engeance abandonnee Au premier coup de traict, au moindre vent du Nort Qui ſouffle l’eſpouuante, & leur donne la mort.	Je ne me fie plus à ces fausses Mégères, Ces louues Aux, aux flambeaux, aux vipères Des Erines sans cœur, qui n'ont de cruauté Non que pour les poltrons, pour un lâche Penthé, Un Thyte sanglant, une Dyrce entrée, Un Neron, un Creon, engeance abandonnée Au premier coup de trait, au moindre vent du Nort Qui souffle l'épouvante, et leur donne la mort.
Ca, ça, Demons vangeurs, ça Rages Titanides, Plongez moy ces fureurs dans les mers Atlantides, Eſtraignez leurs ſerpents, eſtaignez leurs flambeaux, Burinez ſur leur flanc mille tourmens nouueaux, Chaſtiment merité d'Alecton l’inhumaine Qui n’a faict regorger les riues de la Seyne D’embrazement de ſang, d’vn haras de ſerpens, D’hydres, venin, poizons, en mil' Ames rempans.	Ca, ça, Demons vengeurs, ça Rages Titanides, Plongez moi ces fureurs dans les mers Atantides, Étraignez leurs serpents, étaignez leurs flambeaux, Burinez sur leur flanc mille tourments nouveaux, Châtiment mérité d'Alecton l'inhumaine Qui n'a fait regorger les rives de la Seyne D'embrasement de sang, d'un haras de serpens, D'hydres, venin, poidsons, en mil' Ames rempants.
Qu'il meure, il faut le perdre, il faut que ie tranſporte 2 MROS Quelque Diable fait homme, ou que moy meſme porte Ces Palmes, ces Lauriers, & ce trofee heureux D’auoir ſeul atterré le Roy des valeureux Sous l’habit d’vn maraud, d’vn renegat de France, (Puis qu’homme, ny Demon n'en a pas l’aſſeurance) Ie le veux poignarder, & de ce Royal flanc Tirer en trahiſon vn Ocean de ſang, Mais ſi toſt, ſi ſoudain, de ſi prompte bleſſeure, Que l’ange gardien qui l’aßiſte & l’aſſeure Contre tant d’ennemis, voye ſon cœur perſer, Auant qu’auoir iugé qu’on l’aye oſé penſer:	Qu'il meure, il faut le perdre, il faut que je transporte 2 MROS Quelque Diable fait homme, ou que moi -même porte Ces Palmes, ces Lauriers, et ce trofe heureux D'avoir seul atterré le Roi des valeureux Sous l'habit d'un maraud, d'un renégat de France, (Puis qu'homme, ni Demon n'en a pas l'assurance) Je le veux poignarder, et de ce Royal flanc Tirer en trahison un Ocean de sang, Mais si tôt, si soudain, de si prompte blesseure, Que ange gardien qui assiste et asseure Contre tant ennemis, voie son cœur perser, Auant auoir iugé on aye osé penser:
Auant que ſa moitié, ceſte Royne adoree Des ames des François, languiſſante eſploree, Aye l'heur à ſa mort de luy clorre les yeux, De le vouer mourant aux puiſſances des Cieux.	Avant que sa moitié, cette Royne adorée Des âmes des Français, languissante esploree, Aïe l'heur à sa mort de lui clore les yeux, De le vouer mourant aux puissances des Cieux.
Sus, ſus, glaiue forgé ſur l’enclume d’Auerne, Trempé dedans le Stix, dans les marais de Lerne, Au traiſtre ſang de Neſſe, arme de cruauté, iij D'horreur, de deſeſpoir, & d’inhumanité, (Ie dis laplis barbare, & la plus inhumaine, Que les dogues de Scille, horreur Trinacrieyne, Que le fier Canibale & les tygres felons, Qu'ayent onc fait rougir les ſanglans les ſtriquons) Ce bras malencontreux, ceſte main hazardeuſe, Qui rend en vn clin d’œil la France malheureuſe, La Chreſtienté tremblante, & les plages du Nort Glacees de la peur, vuides de leur rapport, Sois le ſeul Eroſtrate autemple d’vn Alcide, Mets l’Europe en rumeur de ce coup parricide Seul digne de mon bras, indigne d’auoir en Autre tan de fureur que ma rage, & mon feu.	Sus, sus, glaiue forgé sur l'enclume d'Auerne, Trempé dedans le Stix, dans les marais de Lerne, Au traître sang de Nesse, arme de cruauté, jijà D'horreur, de désespoir, et d'inhumanité, (Ie dis laplis barbare, et la plus inhumaine, Que les dogues de Scille, horreur Trinacrieyne, Que le fier Canibale et les tigres félons, Qu'a onc fait rougir les sanglants les striquons) Ce bras malencontreux, ceste rain hazardeuse, Qui rend en clin la France malheureuse, La Chrestienté re, et ue plages maIn Glacees de a peur, vides de leur rapport, Sois le seul Erostrate autemple Alcide, Mets lEurope en rumeur de ' coup parricide Seul digne de mon bras, indigne ur en Use tan de fureur que ma rage, et mon feua
CHOEVR.	CHOEUR.
Ien-heureuſeriue de Seyne, DOù les nepueux du braue Hector, Font renaiſtre vn beau ſiecle d’or, Et tremper dedans l’Hypocreyne	Jen-heureuserive de Seyne, DOù les neveux du brave Hector, Font renaître un beau siècle d'or, Et tremper dedans l'Hypocreyne
Les ſceptres que le froit Æole Fait trembler deſſous ſes drapeaux, Non arrouſez de moindres eaux Que de celles du blond Pactole, Qui porte à la mer du Leuant Le ſablon d'or qu’il va lauant.	Les sceptres que le froit Æole Fait trembler dessous ses drapeaux, Non arrousez de moindres eaux Que de celles du blond Pactole, Qui porte à la mer du Le Le sablon d'or qu'il va lavant.
