PREFACE.	PRÉFACE.
Il ajoüte que ce Projet fut le prétexte dont Pharnace ſe ſeruit pour reuolter toute l’Armée, & que les Soldats effrayez de l’entrepriſe de ſon Pere, la regarderent comme le deſeſpoir d’vn Prince qui ne cherchoit qu’à perir auec éclat.	Il ajoute que ce Projet fut le prétexte dont Pharnace se servit pour révolter toute l'Armée, et que les Soldats effrayez de l'entreprise de son Père, la regardèrent comme le désespoir d'un Prince qui ne cherchait qu'à périr avec éclat.
Ainſi elle fut en partie cauſe de ſa Mort, qui eſt l’action de ma Tragédie.	Ainsi elle fut en partie cause de sa Mort, qui est l'action de ma Tragédie.
I’ay encore lié ce deſſein de plus prés a mon ſuet, & ie m'en ſuis ſeruy pour faire connoiſtre à Mithridate les ſecrêts ſentimens de ſes deux Fils.	J'ai encore lié ce dessein de plus près à mon sujet, et tu m'en suis servi pour faire connaître à Mithridate les secrêts sentiments de ses deux Fils.
On ne peut prendre trop de précaution pour ne rien mettre ſur le Theatre qui ne ſoit tres-neceſſaire.	On ne peut prendre trop de précaution pour ne rien mettre sur le Théâtre qui ne soit très-nécessaire.
Et les plus belles Scenes ſont en danger d’ennuyer, du moment qu'on les peut ſeparer de l’Action, & qu'elles l’interrompent au lieu de la conduire vers ſa fin.	Et les plus belles Scène sont en danger d'ennuyer, du moment qu'on les peut séparer de l'Action, et qu'elles l'interrompent au lieu de la conduire vers sa fin.
EXTRAIT DV PRIVILEGE 91.	EXTRAIT DU PRIVILÈGE 91.
DAR Grace & Priuilege du Roy I en datte du deuxiéme Mars 1673.	DAR Grâce et Privilège du Roi I en datte du deuxième Mars 1673.
ſigné DESVIEVX:	signé DESVIEUX:
Il eſt permis au Sieur RACINE de faire imprimer, vendre & debiter par tel Libraire ou Imprimeur qu’il aura choiſi, vne Piece de Theatre par luy compoſée, intitulée Mithridate, Tragedie:	Il est permis au Sieur RACINE de faire imprimer, vendre et débiter par tel Libraire ou Imprimeur qu'il aura choisi, une Pièce de Théâtre par un composée, intitulée Mithridate, Tragédie:
& ce pendant le temps & eſpace de dix années, auec défenſe à toutes perſonnes de quelque qualité ou condition qu’elles ſoient, d’en vendre ny debiter aucun exemplaire, que de ceux qui auront eſté imprimez de ſon conſentement, à peine de ſix mil liures, confiſcation des exemplaires contrefaits, & autres peines portées par ledit Priuilege.	et ce pendant le temps et espace de dix années, avec défense à toutes personnes de quelque qualité ou condition qu'elles soient, d'en vendre ni débiter aucun exemplaire, que de ceux qui auront été imprimés de son consentement, à peine de six mille livres, confiscation des exemplaires contrefaits, et autres peines portées par ledit Privilège.
Ledit Sieur RACINE a cedé le droit dudit Priuilege à CLAVDE BARBIN, pour en jouyr ſuiuant le contenu en iceluy.	Ledit Sieur RACINE a cédé le droit dudit Privilège à CLAUDE BARBIN, pour en jouir suivant le contenu en icelui.
Regiſtré ſur le Liure des Marchands Libraires & Imprimeurs de Paris, ſuiuant & conformement à l’Arreſt du Parlement de Paris du huitiéme Avril 1653.	Registré sur le Livre des Marchands Libraires et Imprimeurs de Paris, suivant et conformément à l'Arrest du Parlement de Paris du huitième Avril 1653.
& celuy du Conſeil Priué du Roy, du 27.	et celui du Conseil Privé du Roi, du 27.
Fevrier 1665.	Février 1665.
le 16.	le 16.
Mars 1673.	Mars 1673.
Signé D.	Signé D.
THIERRY, Syndic.	THIERRY, Syndic.
PHARNACE XIPHARES	PHARNACE XIPHARES
ARBATE PHOEDIME	ARBATE PHODIME
Confident de Mithridate, & Gouuerneur de la Place de Nymphée.	Confident de Mithridate, et Gouverneur de la Place de Nymphée.
Confidente de Monime.	Confidente de Monime.
Domeſtique de Mithridate.	Domestique de Mithridate.
La Scene eſt à Nymphée, port de Mer dans le Boſphore Cimmerien, autrement dit la Taurique Cherfoneſe.	La Scène est à Nymphée, port de Mer dans le Bosphore Cimmerien, autrement dit la Taurique Cherfones.
MITHRIDATE,	MITHRIDATE,
MITHRIDATE, TRAGEDIE.	MITHRIDATE, TRAGÉDIE.
ACTE PREMIER.	ACTE PREMIER.
SCLNE IREMIENL.	SCLNE IREMIENL.
XIPHARES, ARBATE.	XIPHARES, ARBATE.
E XIPHARES.	 EXIPHARES.
N nous faiſoit, Arbate, vn fidelle rapport.	N nous faisait, Arbate, un fidèle rapport.
Rome en effet triomphe, & Mithridate eſt mort.	Rome en effet triomphe, et Mithridate est mort.
Les Romains vers l’Euphrate ont attaqué mon Pere, Et trompé dans la nuit ſa prudence ordinaire.	Les Romains vers l'Euphrate ont attaqué mon Père, Et trompé dans la nuit sa prudence ordinaire.
Apres vn long combat tout ſon Camp diſperſé Dans la foule des morts en fuyant l’a laiſſé.	Après un long combat tout son Camp dispersé Dans la foule des morts en fuyant l'a laissé.
Et j’ay ſceû qu’vn Soldat dans les mains de Pompée Auec ſon Diadême a remis ſon Eſpée.	Et j'ai su qu'âme Soldat dans les mains de Pompée Avec son Diadme a remis son Épée.
Ainſi ce Roy, qui ſeul a durant quarante ans Laſſé tout ce que Rome eut de Chefs importans Et qui dans l’Orient balançant la fortune Vangeoit de tous les Rois la querelle commune.	Ainsi ce Roi, qui seul a durant quarante ans Lassé tout ce que Rome eut de Chefs importants Et qui dans l'Orient balançant la fortune Vengeait de tous les Rois la querelle commune.
Meurt, & laiſſe apres luy pour vanger ſon trépas Deux rils infortunez qui ne s’accordent pas.	Meurt, et laisse après avoir pour venger son trépas Deux rils infortunés qui ne s'accordent pas.
ARBATE.	ARBATE.
nous, ooigneur.	nous, ooigneur.
Quoy l'amour de regner en ſa place Rend déja Xiphares ennemy de Pharnace?	Quoi l'amour de régner en sa place Rend déjà Xiphares ennemi de Pharnace?
XIPHARES.	XIPHARES.
Non, je ne prétens point, cher Arbate, à ce prix D’vn malheureux Empire acheter le débris.	Non, je ne prétends point, cher Arbate, à ce prix D'un malheureux Empire acheter le débris.
Ie ſçais en luy des ans reſpecter l’auantage.	Je sais en peine des ans respecter l'avantage.
Et content des Eſtats marquez pour mon partage, Ie verray ſans regret tomber entre ſes mains Tout ce que luy promet l’amitié des Romains.	Et content des États marquez pour mon partage, Je verrai sans regret tomber entre ses mains Tout ce que était promet l'amitié des Romains.
ARBAIE.	ARBAIE.
L’amitié des Romains?	L'amitié des Romains?
Le Fils de Mithridate, Seigneur?	Le Fils de Mithridate, Seigneur?
Eſt-il bien vray?	Est-il bien vrai?
XIPHARES.	XIPHARES.
N’en doute point, Arbate.	N'en doute point, Arbate.
Pharnace dés long-temps tout Romain dans le cœur Attend tout maintenant de Rome, & du Vainqueur.	Pharnace dès longtemps tout Romain dans le cœur Attend tout maintenant de Rome, et du Vainqueur.
Et moy plus que jamais à mon Pere fidelle Ie conſerue aux Romains vne haine immortelle.	Et moi plus que jamais à mon Père fidèle Ie conserve aux Romains une haine immortelle.
Cependant & ma haine, & ſes prétentions Sont les moindres ſujets de nos diuiſions.	Cependant et ma haine, et ses prétentions Sont les moindres sujets de nos divisions.
ARBATE.	ARBATE.
Et quel autre intereſt contre luy vous anime?	Et quel autre intérêt contre notre vous anime?
XIPHARES.	XIPHARES.
Ie m’en vais t’eſtonner.	Je m'en vais t'étonner.
Cette belle Monime Qui du Roy noſtre Pere attira tous les vœux, Dont P'harnace apres luy ſe declare amoureux.	Cette belle Monime Qui du Roi notre Père attira tous les vœux, Dont P'harnace après avoir se déclare amoureux.
3	3
ARBATE.	ARBATE.
Hé bien, Seigneur?	Hé bien, Seigneur?
XIPHARES.	XIPHARES.
Ie l’aime, & ne veux plus m’en taire Puis qu’enfin pour Riual je n’ay plus que mon Frere, Tu ne t’attendois pas ſans doute à ce diſcours.	Je l'aime, et ne veux plus m'en taire Puis qu'enfin pour Rival je n'ai plus que mon Frère, Tu ne t'attendais pas sans doute à ce discours.
Mais ce n’eſt point, Arbate, vn ſecret de deux jours.	Mais ce n'est point, Arbate, un secret de deux jours.
Cet amour s’eſt long-temps accrû dans le ſilence.	Cet amour s'est longtemps accru dans le silence.
Que n’en puis-je à tes yeux marquer la violence, Et mes premiers ſoûpirs & mes derniers ennuis?	Que n'en puis-je à tes yeux marquer la violence, Et mes premiers soupirs et mes derniers ennuis?
Mais en l’eſtat funeſte où nous ſommes reduits, Ce n’eſt guere le temps d’occuper ma memoire A rappeller le cours d’vne amoureuſe hiſtoire.	Mais en l'état funeste où nous sommes réduits, Ce n'est guère le temps d'occuper ma mémoire A rappeler le cours d'une amoureuse histoire.
Qu’il te ſuffiſe donc, pour me juſtifier, Que je vis, que j’aimay la Reine le premier, Que mon Pere ignoroit juſqu’au nom de Monime, Quand je conceûs pour elle vn amour legitime.	Qu'il te suffise donc, pour me justifier, Que je vis, que j'aimai la Reine le premier, Que mon Père ignorait jusqu'au nom de Monime, Quand je conçus pour elle un amour légitime.
Il la vit.	Il la vit.
Mais au lieu d’offrir à ſes beautez Vn Hymen, & des vœux dignes d’eſtre écoutez;	Mais au lieu d'offrir à ses beautés Un Hymen, et des vœux dignes d'être écoutez;
Il crut que ſans prétendre vne plus haute gloire, Elle luy cederoit vne indigne victoire.	Il crut que sans prétendre une plus haute gloire, Elle Vous céderait ici indigne victoire.
Tu ſçais par quels efforts il tenta ſa vertu, Et que laſſé d’auoir vainement combattu, Abſent, mais toûjours plein de ſon amour extréme, Il luy fit par tes mains porter ſon Diadême.	Tu sais par quels efforts il tenta sa vertu, Et que lassé d'avoir vainement combattu, Absent, mais toujours plein de son amour extrême, Il lui fit par tes mains porter son Diadême.
Iuge de mes douleurs, quand des bruits trop certains M’annoncerent du Roy l’amour, & les deſſeins,	Juge de mes douleurs, quand des bruits trop certains M'annoncèrent du Roi l'amour, et les desseins,
Quand je ſceûs qu’à ſon lit Monime reſeruée Auoit pris auec toy le chemin de Nymphée.	Quand je sceus qu'à son lit Mon réservée Avait pris avec toi le chemin de Nymphée.
Helas!	Hélas!
j’appris encor dans ce temps odieux, Qu’aux offres des Romains ma Mere ouurit les yeux Ou pour vanger ſa foy par cet hymen trompée Ou ménageant pour moy la faueur de Pompée, Elle trahit mon Pere, & rendit aux Romains La Place, & les Treſors confiez en ſes mains.	j'appris encor dans ce temps odieux, Qu'aux offres des Romains ma Mère ouvrit les yeux Ou pour venger sa foi par cet hymen trompée Ou ménageant pour moi la faveur de Pompée, Elle trahit mon Père, et rendit aux Romains La Place, et les Trésors confiez en ses mains.
Quel deuins-je au recit du crime de ma Mere!	Quel devins-je au récit du crime de ma Mère!
Ie ne regarday plus mon Riual dans mon Pere.	Je ne regardai plus mon Rival dans mon Père.
I’oubliay mon amour par le ſien trauerſé.	J'oubliai mon amour par le sien traversé.
Ie n’eus deuant les yeux que mon Pere offenſé.	Je n'eus devant les yeux que mon Père offensé.
I’attaquay les Romains, & ma Mere eſperduë Me vit, en reprenant cette Place renduë, A mille coups mortels contre-eux me déuoüer, Et chercher en mourant à la deſauoüer.	J'attaquai les Romains, et ma Mère éperdue Me vit, en reprenant cette Place rendue, À mille coups mortels contre-eux me dévouer, Et chercher en mourant à la désavouer.
L’Euxin depuis ce temps fut libre, & l’eſt encore.	L'Euxin depuis ce temps fut libre, et l'est encore.
Et des Riues de Pont, aux Riues du Boſphôre Tout reconnut mon Pere, & ſes heureux Vaiſſeaux N’eurent plus d’Ennemis que les Vents & les Eaux.	Et des Rives de Pont, aux Rives du Bosphôre Tout reconnut mon Père, et ses heureux Vaisseaux N'eurent plus d'Ennemis que les Vents et les Eaux.
Ie voulois faire plus.	Je voulais faire plus.
Ie prétendois, Arbate, Moy-meſme à ſon ſecours m’auãcer vers l’Euphrate.	Je prétendais, Arbate, Moi-même à son secours m'auãcer vers l'Euphrate.
Ie fus ſoudain frappé du bruit de ſon trépas.	Je fus soudain frappé du bruit de son trépas.
Au milieu de mes pleurs, je ne le cele pas, Monime, qu’en tes mains mon Pere auoit laiſſée, Auec tous ſes attraits reuint en ma penſée.	Au milieu de mes pleurs, je ne le cèle pas, Monime, qu'en tes mains mon Père avait laissée, Avec tous ses attraits revint en ma pensée.
Que dis-je?	Que dis-je?
En ce malheur je trẽblay pour ſes jours.	En ce malheur je trẽblay pour ses jours.
Ie redoutay du Roy les cruelles amours.	Je redoutai du Roi les cruelles amours.
Tu ſçais combien de fois ſes jalouſes tendreſſes Ont pris ſoin d’aſſurer la mort de ſes Maiſtreſſes.	Tu sais combien de fois ses jalouses tendresses Ont pris soin d'assurer la mort de ses Maîtresses.
Ie volay vers Nymphée.	Je volai vers Nymphée.
Et mes triſtes regards Virent d’abord Pharnace au pié de ſes Rempars.	Et mes tristes regards Virent d'abord Pharnace au pié de ses Rempars.
I’en conceûs, je l’auoüe, vn préſage funeſte.	J'en conçus, je l'auoüe, un présage funeste.
Tu nous receûs tous deux, & tu ſçais tout le reſte.	Tu nous reçus tous deux, et tu sais tout le reste.
Pharnace en ſes deſſeins toûjours impetueux Ne diſſimula point ſes vœux préſomptueux.	Pharnace en ses desseins toujours impétueux Ne dissimula point ses vœux présomptueux.
De mon Pere à la Reine il conta la diſgrace, L’aſſura de ſa mort, & s’offrit en ſa place.	De mon Père à la Reine il conta la disgrâce, L'assura de sa mort, et s'offrit en sa place.
Comme il le dit, Arbate, il veut l’executer.	Comme il le dit, Arbate, il veut l'exécuter.
Mais enfin à mon tour je prétens éclater.	Mais enfin à mon tour je prétends éclater.
Autant que mon amour reſpecta la puiſſance D’vn Pere, a qui je fus déuoüé dés l’Enfance, Autant ce meſme amour maintenant reuolté De ce nouueau Riual braue l’autorité.	Autant que mon amour respecta la puissance D'un Père, à qui je fus déuoüé dès l'Enfance, Autant ce même amour maintenant révolté De ce nouveau Rival brave l'autorité.
Ou Monime à ma flamme elle-meſme contraire Condannera l’aueu que je prétens luy faire, Ou bien quelques malheurs qu’il en puiſſe auenir Ce n’eſt que par ma mort qu’on la peut obtenir.	Ou Monime à ma flamme elle-même contraire Condannera l'aveu que je prétends lui faire, Ou bien quelques malheurs qu'il en puisse avenir Ce n'est que par ma mort qu'on la peut obtenir.
Voila tous les ſecrets que je voulois t’apprendre.	Voilà tous les secrets que je voulais t'apprendre.
C’eſt à toy de choiſir quel party tu dois prendre, Qui des deux te paroiſt plus digne de ta foy, L’Eſclaue des Romains, ou le Fils de ton Roy.	C'est à toi de choisir quel parti tu dois prendre, Qui des deux te paraît plus digne de ta foi, L'Esclave des Romains, ou le Fils de ton Roi.
Fier de leur amitié Pharnace croit peut-eſtre Commander dans Nymphée & me parler en Maiſtre.	Fier de leur amitié Pharnace croit peut-être Commander dans Nymphée et me parler en Maître.
Mais icy mon pouuoir ne connoiſt point le ſien.	Mais ici mon pouvoir ne connaît point le sien.
Le Pont eſt ſon partage, & Colchos eſt le mien.	Le Pont est son partage, et Colchos est le mien.
Et l’on ſçait que toûjours la Colchide & ſes Princes Ont conté ce Boſphore au rang de leurs Prouinces.	Et l'on sait que toujours la Colchide et ses Princes Ont conté ce Bosphore au rang de leurs Provinces.
ARBATE.	ARBATE.
Commandez-moy, Seigneur.	Commandez-moi, Seigneur.
Si j’ay quelque pouuoir Mon choix eſt déja fait, je feray mon deuoir.	Si j'ai quelque pouvoir Mon choix est déjà fait, je ferai mon devoir.
Auec le meſme zele, auec la meſme audace Que jeſeruois le Pere, & gardois cette Place, Et contre voſtre Frere, & meſme contre vous;	Avec le même zèle, avec la même audace Que jeservais le Père, et gardais cette Place, Et contre votre Frère, et même contre vous;
Apres la mort du Roy je vous ſers contre tous.	Après la mort du Roi je vous sers contre tous.
Sans vous ne ſçay-je pas que ma mort aſſurée De Pharnace en ces lieux alloit ſuiure l’entrée?	Sans vous ne sais-je pas que ma mort assurée De Pharnace en ces lieux allait suivre l'entrée?
Sçay-je pas que mon ſang par ſes mains répandu Euſt ſoüillé ce rampart contre luy défendu.	Sais-je pas que mon sang par ses mains répandu Eut soüillé ce rempart contre lui défendu.
Aſſurez-vous du cœur & du choix de la Reîne.	Assurez-vous du cœur et du choix de la Reine.
Du reſte, ou mõ credit n’eſt plus qu’vne ombre vaine Ou Pharnace laiſſant le Boſphore en vos mains, ala joun aiedisdes bontel des Romains.	Du reste, ou mon crédit n'est plus qu'une ombre vaine Ou Pharnace laissant le Bosphore en vos mains, ala joun aiédises bontel des Romains.
XIPHARES.	XIPHARES.
Que ne deuray-je point à cette ardeur extréme?	Que ne devrai-je point à cette ardeur extrême?
Mais on vient.	Mais on vient.
Cours, amy, c’eſt la Reine elle-meſme.	Cours, ami, c'est la Reine elle-même.
SCENE II.	SCÈNE II.
MONIME, XIPHARES.	MONIME, XIPHARES.
MONIME.	MONIME.
Eigneur, je viens à vous.	Eigneur, je viens à vous.
Car enfin aujourd’huy, S Si vous m’abandonnez, quel ſera mon appuy?	Car enfin aujourd'hui, SOur vous m'abandonnez, quel sera mon appui?
Sans Parens, ſans Amis, deſolée, & craintiue, Reine long-temps de nom, mais en effet Captiue, Et Veuue maintenant ſans auoir eû d’Eſpoux, Seigneur, de mes malheurs ce ſont là les plus doux.	Sans Parents, sans Amis, désolée, et crainive, Reine longtemps de nom, mais en effet Captive, Et Veuve maintenant sans avoir eu d'Époux, Seigneur, de mes malheurs ce sont là les plus doux.
Ie tremble à vous nommer l’Ennemy qui m’opprime.	Je tremble à vous nommer l'Ennemi qui m'opprime.
I’eſpere toutefois qu’vn Cœur ſi magnanime Ne ſacrifiera point les pleurs des Malheureux Aux intereſts du ſang qui vous vnit tous deux.	J'espère toutefois qu'hé Cœur si magnanime Ne sacrifiera point les pleurs des Malheureux Aux intérêts du sang qui vous unît tous deux.
Vous deuez à ces mots reconnoiſtre Pharnace.	Vous devez à ces mots reconnaître Pharnace.
C’eſt luy, Seigneur, c’eſt luy, dont la coupable audace Veut la force à la main m’attacher à ſon ſort Par vn hymen pour moy plus cruel que la mort.	C'est lui, Seigneur, c'est lui, dont la coupable audace Veut la force à la main m'attacher à son sort Par un hymen pour moi plus cruel que la mort.
Sous quel Aſtre ennemy faut-il que je ſois née?	Sous quel Astre ennemi faut-il que je sois née?
Au joug d’vn autre hymen ſans amour deſtinée, A peine je ſuis libre, & gouſte quelque paix, Qu’il faut que je me liure à tout ce que je hais.	Au joug une autre hymen sans amour destinée, À peine je suis libre, et goûte quelque paix, Qu'il faut que je me livre à tout ce que je hais.
Peut-eſtre je deurois plus humble en ma miſere Me ſouuenir du moins que je parle à ſon Frere.	Peut-être je devrais plus humble en ma misère Me souvenir du moins que je parle à son Frère.
Mais ſoit raiſon, deſtin, ſoit que ma haine en luy Confonde les Romains dont il cherche l’appuy, Iamais Hymen formé ſous le plus noir auſpice De l’Hymen que je crains n’égala le ſupplice.	Mais soit raison, destin, soit que ma haine en lui Confonde les Romains dont il cherche l'appui, Iamais Hymen formé sous le plus noir auspice De l'Hymen que je crains n'égala le supplice.
Et ſi Monime en pleurs ne vous peut émouuoir, Si je n’ay plus pour moy que mon ſeul deſeſpoir;	Et si Monime en pleurs ne vous peut émouvoir, Si je n'ai plus pour moi que mon seul désespoir;
Au pied du meſme Autel, où je ſuis attenduë, deignourn tous me verrena mojameime ſenduë Percer ce triſte cœur qu’on veut tyranniſer, Et dont jamais encor je n’ay pû diſpoſer.	Au pied du même Autel, où je suis attendue, deignourn tous me verrena mojameime sendue Percer ce triste cœur qu'on veut tyranniser, Et dont jamais encor je n'ai pu disposer.
XIPHARES.	XIPHARES.
Madame, aſſurez-vous de mon obeïſſance;	Madame, assurez-vous de mon obéissance;
Vous auez dans ces lieux vne entiere puiſſance.	Vous avez dans ces lieux une entière puissance.
Pharnace ira, s’il veut, ſe faire craindre ailleurs.	Pharnace ira, s'il veut, se faire craindre ailleurs.
Mais vous ne ſçauez pas encor tous vos malheurs.	Mais vous ne savez pas encor tous vos malheurs.
MONIME.	MONIME.
Hé quel nouueau malheur peut affliger Monime, Seigneur?	Hé quel nouveau malheur peut affliger Monime, Seigneur?
XIPHARES.	XIPHARES.
Si vous aimer c’eſt faire vn ſi grand crime, Pharnace n’en eſt pas ſeul coupable aujourd’huy.	Si vous aimer c'est faire un si grand crime, Pharnace n'en est pas seul coupable aujourd'hui.
Et je ſuis mille fois plus criminel que luy.	Et je suis mille fois plus criminel que Seigneur.
A iiij	À jijà
vous?	vous?
MONIME.	MONIME.
XIPHARES.	XIPHARES.
Mettez ce malheur au rang des plus funeſtes Atteſtez, s’il le faut, les puiſſances céleſtes Contre vn ſang malheureux, né pour vous tourmẽter Pere, Enfans animez à vous perſecuter.	Mettez ce malheur au rang des plus funestes Attestez, s'il le faut, les puissances célestes Contre un sang malheureux, né pour vous tourmenter Père, Enfants animez à vous persécuter.
Mais auec quelque ennuy que vous puiſſiez apprẽdre Cet amour criminel qui vient de vous ſurprendre, Iamais tous vos malheurs ne ſçauroient approcher Des maux que j’ay ſoufferts en le voulant cacher.	Mais avec quelque ennui que vous puissiez apprendre Cet amour criminel qui vient de vous surprendre, Jamais tous vos malheurs ne sauraient approcher Des maux que j'ai soufferts en le voulant cacher.
Ne croyez point pourtant que ſemblable à Pharnace Ievous ſerue aujourd’huypour me mettre en ſa place.	Ne croyez point pourtant que semblable à Pharnace Ievous serve aujourd'huipour me mettre en sa place.
Vous voulez eſtre à vous, j’en ay donné ma foy, Et vous ne dépendrez ny de luy, ny de moy.	Vous voulez être à vous, j'en ai donné ma foi, Et vous ne dépendrez rien de jours, notre de moi.
Mais quand je vous auray plainement ſatisfaite, En quels lieux auez-vous choiſi voſtre retraite?	Mais quand je vous aurai plainement satisfaite, En quels lieux avez-vous choisi votre retraite?
Sera-ce loin, Madame, ou prés de mes Eſtats?	Sera-ce loin, Madame, ou près de mes États?
Me ſera-t’il permis d’y conduire vos pas?	Me sera-t-il permis d'y conduire vos pas?
Verrez-vous d’vn meſme œil le crime & l’innocence?	Verrez-vous d'un même œil le crime et l'innocence?
En fuyant mon Riual fuirez-vous ma préſence?	En fuyant mon Rival fuirez-vous ma présence?
Pour prix d’auoir ſi bien ſecondé vos ſouhaits, Rumaru ta me relouure a lle vous von jamais?	Pour prix d'avoir si bien secondé vos souhaits, Rumaru ta me relouvre à lèle vous von jamais?
MONIME.	MONIME.
Ah que m’apprenez-vous?	Ah que m'apprenez-vous?
XIPHARES.	XIPHARES.
Hé quoy, belle Monime?	Hé quoi, belle Monime?
Si le temps peut donner quelque droit legitime, Faut-il vous dire icy que le premier de tous Ie vous vy, je formay le deſſein d’eſtre à vous, Quand vos charmes naiſſans inconnus à mon Pere, N’auoient encor paru qu’aux yeux de voſtre Mere?	Si le temps peut donner quelque droit légitime, Faut-il vous dire ici que le premier de tous Je vous vi, je formai le dessein d'être à vous, Quand vos charmes naissants inconnus à mon Père, N'avaient encor paru qu'aux yeux de votre Mère?
Ah ſi par mon deuoir forcé de vous quitter Tout mon amour alors ne put pas éclatter, Ne vous ſouuient-il plus, ſans conter tout le reſte, Combien je me plaignis de ce deuoir funeſte?	Ah si par mon devoir forcé de vous quitter Tout mon amour alors ne put pas éclatter, Ne vous souvient-il plus, sans conter tout le reste, Combien je me plaignis de ce devoir funeste?
Ne vous ſouuient-il plus, en quittant vos beaux yeux, Quelle viue douleur attendrit mes adieux?	Ne vous souvient-il plus, en quittant vos beaux yeux, Quelle vive douleur attendrit mes adieux?
Ie m’en ſouuiens tout ſeul.	Je m'en souviens tout seul.
Auoüez-le, MadameIe vous rappelle vn ſonge effacé de voſtre ame.	Auoüez-le, MadameIe vous rappelle un songe effacé de votre âme.
Tandis que loin de vous, ſans eſpoir de retour, le hourrinois cnore rhihalheureux amour, Contente & reſoluë à l’hymen de mon Pere, Tous les malheurs du Fils ne vous occupoient guere.	Tandis que loin de vous, sans espoir de retour, le hourrinois cnore rhalheureux amour, Contente et résolue à l'hymen de mon Père, Tous les malheurs du Fils ne vous occupaient guère.
Helas!	Hélas!
MONIME.	MONIME.
XIPHARES.	XIPHARES.
ciuen rous plaint vn moment mes ennuis à	civen rous plaint un moment mes ennuis à
MONIME.	MONIME.
Prince.	Prince!
N’abuſez point de l’eſtat où je ſuis.	N'abusez point de l'état où je suis.
XIPHARES.	XIPHARES.
Ell abuier:	Elle abuyer:
O Cier:	Ô Cier:
Quand je cours vous derendre, Sans vous demander rien, ſans oſer rien prétendre.	Quand je cours vous derendre, Sans vous demander rien, sans oser rien prétendre.
Que vous diray-je enfin?	Que vous dirai-je enfin?
Lors que je vous promets De vous mettre en eſtat de ne me voir jamais.	Lors que je vous promets De vous mettre en état de ne me voir jamais.
MONIME.	MONIME.
C’eſt me promettre plus que vous ne ſçauriez faire.	C'est me promettre plus que vous ne sauriez faire.
XIPHARES.	XIPHARES.
Quoy malgré mes ſermens vous croyez le contraire?	Quoi malgré mes serments vous croyez le contraire?
Vous croyez qu’abuſant de mon autorité, Ie prétens attenter à voſtre liberté?	Vous croyez qu'abusant de mon autorité, Je prétends attenter à votre liberté?
On viẽt, Madame, on vient.	On vient, Madame, on vient.
Expliquez-vous de grace Vn mot.	Expliquez-vous de grâce Un mot.
MONIME.	MONIME.
Défendez-moy des fureurs de Pharnace.	Défendez-moi des fureurs de Pharnace.
Pour me faire, Seigneur, conſentir à vous voir, Vous n’aurez pas beſoin d’vn injuſte pouuoir.	Pour me faire, Seigneur, consentir à vous voir, Vous n'aurez pas besoin d'un injuste pouuoir.
XIPHARES.	XIPHARES.
Ah Madame.	Ah Madame.
MONIME.	MONIME.
Seigneur, vous voyez voſtre Frere.	Seigneur, vous voyez votre Frère.
SCENE III.	SCÈNE III.
MONIME, PHARNACE, XIPHARES.	MONIME, PHARNACE, XIPHARES.
PHARNACE.	PHARNACE.
Vſques à quãd, Madame, attendrez-vous mon Pere?	Vsques à quand, Madame, attendrez-vous mon Père?
IDes témoins de ſa mort viennent à tous momens Condanner voſtre doute & vos retardemens.	IDes témoins de sa mort viennent à tous moments Condanner votre vie et vos retardements.
