A PARIS, 3 Chez C.	À PARIS, 3 Chez Ç.
Ne doivent-ils pas avoüer que la Tragédié & la Comédie modernes ſont montées au plus haut point, & que les Autheurs François riches de leur propre fonds, ont ſurpaſſé les Anciens ſans les imiter, comme ſi la premiere gloire des belles Lettres, qui eſt celle du Théatre, eſtoit reſervée au ſiecle du plus grand de tous les Roys?	Ne doivent-ils pas avouer que la Tragédié et la Comédie modernes sont montées au plus haut point, et que les Auteurs Français riches de leur propre fonds, ont surpassé les Anciens sans les imiter, comme si la première gloire des belles Lettres, qui est celle du Théâtre, était réservée au siècle du plus grand de tous les Rois?
Si nos Cenſeurs ne veulent pas convenir de cette verité, pourquoy empoiſonner le Public de l’erreur dont ils ſont prévenus?	Si nos Censeurs ne veulent pas convenir de cette vérité, pourquoi empoisonner le Public de l'erreur dont ils sont prévenus?
C’eſt de cette ſource qu’on a veu couler, & ſe répandre un dangereux venin, un eſprit d’orgueïl, d’envie, de critique, & de cabale.	C'est de cette source qu'on a vu couler, et se répandre un dangereux venin, un esprit d'orgueïl, d'envie, de critique, et de cabale.
Leur autorité, & leur exemple, ont entraîné beaucoup d’honneſtes Gens.	Leur autorité, et leur exemple, ont entraîné beaucoup d'honnêtes Gens.
Tout le monde veut monter ſur le Tribunal, & uſurper comme eux le droit de juger ſouverainement;	Tout le monde veut monter sur le Tribunal, et usurper comme eux le droit de juger souverainement;
on ſe fait un gouſt à leur mode;	on se fait un goût à leur mode;
on ne va plus à la Comédie que pour chercher avec eux les endroits où l’on peut trouver à redire.	on ne va plus à la Comédie que pour chercher avec eux les endroits où l'on peut trouver à redire.
Comme on ne peut pas nier qu’ils n’ayent de l’eſprit & du ſçavoir, les demy-ſçavans, & la multitude ignorante, & méme quelques Sçavans, ſe laiſſent ébloüir à de grands noms qui compoſent & qui protegent cette ſecte.	Comme on ne peut pas nier qu'ils n'aient de l'esprit et du Savoir, les demi-sçavans, et la multitude ignorante, et même quelques Savants, se laissent ébloüir à de grands noms qui composent et qui protègent cette secte.
L’on ne ſçait que trop tous les reſſorts, & toutes les machines qu’ils ont remuées, pour ſe faire une puiſſance ſi formidable à tous ceux qui ne ſont pas de leur party.	L'on ne sait que trop tous les ressorts, et toutes les machines qu'ils ont remuées, pour se faire une puissance si formidable à tous ceux qui ne sont pas de leur parti.
Je me renferme aux choſes qui me regardent, & me contente de faire voir en paſſant avec quelle fureus on s’eſt acharné ſur tous les Ouvrages qui portent mon nom.	Je me renferme aux choses qui me regardent, et me contente de faire voir en passant avec quelle fureus on s'est acharné sur tous les Ouvrages qui portent mon nom.
Avant que cette tempeſte s’élevaſt, pluſieurs de mes Pieces avoient réüſſy ſur tous les Théatres de Paris;	Avant que cette tempête s'élevast, plusieurs de mes Pièces avaient réüssy sur tous les Théatres de Paris;
& enſuite m’eſtant attaché au Théatre le plus foible, & le plus abandonné des autres Autheurs, mes Ouvrages le firent ſubſiſter pluſieurs années, & mes Pieces y firent aſſez de bruit pour y attiter le Roy, & toute la Cour.	et ensuite m'étant attaché au Théâtre le plus faible, et le plus abandonné des autres Auteurs, mes Ouvrages le firent subsister plusieurs années, et mes Pièces y firent assez de bruit pour y attiter le Roi, et toute la Cour.
Sa Majeſté en honora une de ſa préſence, de ſon approbation, & de ſa libéralité.	Sa Majesté en honora une de sa présence, de son approbation, et de sa libéralité.
A quoy veut-on que j’impute le mauvais ou le foible ſuccés des Ouvrages que j’ay fait joüer depuis ſur un Théatre plus fort, & plus heureux, lors meſme que par les ſentimens des Juges équitables, ils eſtoient beaucoup meilleurs que ceux qui les avoient précedez?	À quoi veut-on que j'impute le mauvais ou le faible succès des Ouvrages que j'ai fait jouer depuis sur un Thatre plus fort, et plus heureux, lors même que par les sentiments des Juges équitables, ils étaient beaucoup meilleurs que ceux qui les avaient précédés?
Que j’aurois icy de choſes à dire, ſi je voulois approfondir cette matiere, & reveler tout ce qui s’eſt paſſé à la honte de noſtre ſiecle!	Que j'aurais ici de choses à dire, si je voulais approfondir cette matière, et reveler tout ce qui s'est passé à la honte de notre siècle!
Comme ceux dont je veux parler font honneur aux belles Lettres par leur eſprit, peut eſtre ont-ils merité de ceux-là meſme qu’ils ont offencé par leur conduite, qu’on les laiſſe joüir de leur réputation.	Comme ceux dont je veux parler font honneur aux belles Lettres par leur esprit, peut -être ont-ils mérité de ceux-là même qu'ils ont offensé par leur conduite, qu'on les laisse joüir de leur réputation.
Je ne veux point qu’on me reproche d’avoir ſoüillé ma Proſe, ou mes Vers, par des ſatires jou par des veritez ſcandaleuſes.	Je ne veux point qu'on me reproche d'avoir sourillé ma Prose, ou mes Vers, par des satires jou par des vérités scandaleuses.
Je n’ay beſoin pour juſtifier une partie de ce que je dis, que d’une ſimple ex poſition de ce qui eſt arrivé à mes dernieres Pieces;	Je n'ai besoin pour justifier une partie de ce que je dis, que d'une simple ex position de ce qui est arrivé à mes dernières Pièces;
ſçavoir, le Comte d’Eſſex, Agamemnon, & Artaxerce.	sçavoir, le Comte d'Essex, Agamemnon, et Artaxerce.
Le premier ayant eu le bonheur de plaire à tous ceux qui le virent ſans prévention, & mon nom ayant paru pour diſtinguer cet Ouvrage d’un autre qui portoit le meſme titre, & qui venoit de paroiſtre avec ſuccés, ſous le nom de Mr de Corneille le jeune, on ſuſcita d’abord des Cenſeurs de profeſſion, qui ne trouvant point à mordre ſur la Piece, attacherent leur critique à certaines circonſtances de la Scene, & à des choſes qui regardoient les Acteurs, & par quelques plaiſanteries qu’ils debitoient tout haut, jetterent ſur la Piece un ridicule qui oſta au reſte des Spéctateurs l’attention & l’eſtimé qu’on luy devoit.	Le premier ayant eu le bonheur de plaire à tous ceux qui le virent sans prévention, et mon nom ayant paru pour distinguer cet Ouvrage d'un autre qui portait le même titre, et qui venait de paraître avec succès, sous le nom de Mr de Corneille le jeune, on suscita d'abord des Censeurs de profession, qui ne trouvant point à mordre sur la Piè, attachèrent leur critique à certaines circonstances de la Scène, et à des choses qui regardaient les Acteurs, et par quelques plaisanteries qu'ils débitaient tout hauteur, jetèrent sur la Pi un ridicule qui ôta au reste des Spéctateurs attention et estimé on lui devoit.
Agamemiton ayant ſuivy le Comte d’Eſſex, & voulant le dérober à une perſécution ſi déclarée, je cache mon nom, & laiſſe afficher & annoncer celuy de Mr d’Aſſezan.	Agamemiton ayant suivi le Comte d'Essex, et voulant le dérober à une persécution si déclarée, je cache mon nom, et laisse afficher et annoncer celui de Mr d'Assezan.
Jamais Piece de Théatre n’a eu un ſuccés plus avantageux.	Jamais Pièce de Théâtre n'a eu un succès plus avantageux.
Les Aſſemblées furent ſi nombreuſes, & le Théatre ſi remply, qu’on vit beaucoup de Perſonnes de la premiere qualité prendre des places dans le Parterre.	Les Assemblées furent si nombreuses, et le Théâtre si rempli, qu'on vit beaucoup de Personnes de la première qualité prendre des places dans le Parterre.
Quel ſuccés a eſté honnoré d’une circonſtance auſſi finguliere, & ſi glorieuſe?	Quel succès a été honoré d'une circonstance aussi singulière, et si glorieuse?
Qu’arrive-t-il apres cette réüſſite extraordinaire?	Qu'arrive-t-il après cette réussite extraordinaire?
On ſoûtint, on voulut faire des parys conſidérables, que je n’avois aucune part à cet Ouvrage;	On soutint, on voulut faire des paris considérables, que je n'avais aucune part à cet Ouvrage;
on aima mieux en donner toute la gloire à un nouveau venu.	on aima mieux en donner toute la gloire à un nouveau venu.
Le temps & la verité ayant confondu l’impoſture, & l’envie, Je prens quelque confiance de ce dernier ſuccés, & croy pouvoir hazarder mon nom en faiſant paroiſtre Artaxerce.	Le temps et la vérité ayant confondu l'imposture, et l'envie, Je prends quelque confiance de ce dernier succès, et cro pouvoir hasarder mon nom en faisant paraître Artaxerce.
Il n’en falut pas davantage pour luy attirer tout ce qui a contribué à le faire tomber.	Il n'en fallut pas davantage pour lui attirer tout ce qui a contribué à le faire tomber.
J’avoüray de bonne foy que ma Piece n’eſt pas ſans défauts, & qu’il y a eu certains contretemps, & un deſordre dans les Repréſentations, qui ſe peuvent imputer à mon Etoile;	J'avouerai de bonne foi que ma Pièce n'est pas sans défauts, et qu'il y a eu certains contretemps, et un désordre dans les Représentations, qui se peuvent imputer à mon Étoile;
mais qu’a-t-on fait pour reparer ou combatre ce malheur?	mais qu'a-t-on fait pour réparer ou combattre ce malheur?
Si la Fortune n’eſt pas toûjours de mes amies, faloit-il s’entendre avec elle, & me traiter avec la derniere rigueur?	Si la Fortune n'est pas toujours de mes amies, fallait-il s'entendre avec elle, et me traiter avec la dernière rigueur?
Je n’ay garde de fatiguer le Public par un détail indigne de ſon attention.	Je n'ai garde de fatiguer le Public par un détail indigne de son attention.
J’aime mieux épargner par un modeſte ſilence, ceux qui m’ont fait du mal, & faire grace à ceux qui ne m’ont pas fait juſtice;	J'aime mieux épargner par un modeste silence, ceux qui m'ont fait du mal, et faire grâce à ceux qui ne m'ont pas fait justice;
peut-eſtre l’honneſteté de mon procedé les fera repentir de l’injuſtice qu’ils m’ont faite.	peut-être l'honnêteté de mon procédé les fera repentir de l'injustice qu'ils m'ont faite.
Pour le faire voir clairement, & ſatisfaire à ce qu’on attend de moy, examinons les défauts qu’on attribuë à cet Ouvrage;	Pour le faire voir clairement, et satisfaire à ce qu'on attend de moi, examinons les défauts qu'on attribue à cet Ouvrage;
quelques-uns ont condamné le Sujet, & ne m’ont donné d’autre raiſon de leur critique, que leur gouſt particulier.	quelques-uns ont condamné le Sujet, et ne m'ont donné d'autre raison de leur critique, que leur goût particulier.
Je pourrois me diſpenſer de répondre à ceux qui jugent par une regle extrémement fauſſe.	Je pourrais me dispenser de répondre à ceux qui jugent par une règle extrêmement fausse.
Je n’ay qu’un mot à lens dire pour juſſifier mon choix;	Je n'ai qu'un mot à lens dire pour jussifier mon choix;
ſçavoir, que le troiſiéme Acte de ma Piece, où le nœud du Sujet ſe forme & brille da vantage, a eſté univerſellement applaudy;	sçavoir, que le troisième Acte de ma Pièce, où le nœud du Sujet se forme et brille da vantage, a été universellement applaudi;
& cela devroit ſuffire pour donner à toute la Piece un ſuccés avantageux, puis qu’on a veu un grand nombre de Pieces de Théatre réüſſir par la beauté de deux ou trois Scenes.	et cela devrait suffire pour donner à toute la Pièce un succès avantageux, puis qu'on a vu un grand nombre de Pièces de Théâtre réussir par la beauté de deux ou trois Scène.
Ceux qui ont attaché leur critique aux caracteres des Perſonnages, diſent qu’Artaxerce, qui eſt mon Héros, ne répond pas par ſa conduite, & par ſes ſentimens, à cettegrande idée que je donne de ſon caractere dans le Portrait que j’en ay fait.	Ceux qui ont attaché leur critique aux caractères des Personnages, disent qu'Artaxerce, qui est mon Héros, ne répond pas par sa conduite, et par ses sentiments, à cettegrande idée que je donne de son caractère dans le Portrait que j'en ai fait.
J’avoüe que j’ay flaté Artaxerce, & qu’ayant deſſein, en faiſant ſon Portrait, de faire celuy de Loüis LE GRAND, qui eſt ſeul ſemblable à luy-meſme, il falloit pour le faire reſſembler a ſon Original, donner au Héros de ma Pieceune ſorte de grandeur qui appartenoit à un Héros plus achevé;	J'avoue que j'ai flatté Artaxerce, et qu'ayant dessein, en faisant son Portrait, de faire celui de Louis LE GRAND, qui est seul semblable à M-même, il fallait pour le faire ressembler à son Original, donner au Héros de ma Pièceune sorte de grandeur qui appartenait à un Héros plus achevé;
mais comme cette raiſon ne ſuffit pas pour tout le monde, il eſt aiſé de faire voir que ce Portrait d’Artaxerce, quoy qu’un peu flaté, ne laiſſe pas de luy reſſembler, & que tout ce qu’il fait dans ma Piece, ne dément pas le caractere que je luy ay donné.	mais comme cette raison ne suffit pas pour tout le monde, il est aisé de faire voir que ce Portrait d'Artaxerce, quoi qu'un peu flatté, ne laisse pas de lui ressembler, et que tout ce qu'il fait dans ma Pièce, ne dément pas le caractère que je lui ai donné.
Artaxerce peut-eſtre n’eſtoit pas un Héros du premier ordre;	Artaxerce peut-être n'était pas un Héros du premier ordre;
cependant il avoit une valeur fort diſtinguée, & une grandeur de courage qui ſe répandoit dans toutes ſes actions, & qui eſt la ſource naturelle de toutes les vertus héroïques.	cependant il avait une valeur fort distinguée, et une grandeur de courage qui se répandait dans toutes ses actions, et qui est la source naturelle de toutes les vertus héroïques.
C’eſt de là que luy venoit cette liberalité magnifique, qui luy fit donner une Coupe d’or de mille darigues, qui eſtoient des pieces d’or, à un Artiſan qui ne trouvant point autre choſe en ſon chemin pour offrir à ſon Roy, courut à la Riviere y puifer de l’eau dans ſes deux mains, & alla la luy préſenter;	C'est de là que deux venait cette libéralité magnifique, qui luitaît donner une Coupe d'or de mille darigues, qui étaient des pièces d'or, à un Artisan qui ne trouvant point autre chose en son chemin pour offrir à son Roi, courut à la Rivière y puiser de l'eau dans ses deux mains, et alla la lui présenter;
cette modération admirable, qui luy fit écouter ſans emportement, les paroles inſolentes d’un Lacedémonien, nommé Euclidas;	cette modération admirable, qui lui fit écouter sans emportement, les paroles insolentes d'un Lacedémonien, nommé Éuclidas;
cette clémence royale, qui pardonna à Cyrus ſon Frere, lors qu’il fut ſurpris voulant l’aſſaſſiner, dans le temps qu’il fut ſacré par les Preſtres dans le Temple de Minerve.	cette clémence royale, qui pardonna à Cyrus son Frère, lors qu'il fut surpris voulant l'assassiner, dans le temps qu'il fut sacré par les Prêtres dans le Temple de Minerve.
C’eſt de ce meſme principe que venoit encore ſa bonté envers ſes Parens, & ſa douceur envers ſes Sujets;	C'est de ce même principe que venait encore sa bonté envers ses Parents, et sa douceur envers ses Sujets;
Vertus rares & ſingulieres pour un Roy de Perſe, dont les Roys ordinairement affectoient une majeſté inacceſſible, & une ſevérité odieuſe.	Vertus rares et singulières pour un Roi de Perse, dont les Rois ordinairement affectaient une majesté inaccessible, et une sévérité odieuse.
Ce ſont ces Vertus où je me ſuis attaché, & dont j’ay formé les principaux traits du caractere d’Artaxerce, parce qu’elles ont plus d’éclat, & plus de raport avec tout ce qui ſe paſſe dans la principale Action de mon Sujet.	Ce sont ces Vertus où je me suis attaché, et dont j'ai formé les principaux traits du caractère d'Artaxerce, parce qu'elles ont plus d'éclat, et plus de rapport avec tout ce qui se passe dans la principale Action de mon Sujet.
C’eſt pour cela qu’on a tort de condamner dans ce Roy, bon, genéreux, plein d’humanité, & de tendreſſe, ces dégouſts qu’il fait voir pour la Couronne, qui eſtoit la veritable cauſe de tous les déſordres de ſa Maiſon, des cruautez de Pariſatis ſa Mere, de l’attentat & de la tévolte de Cyrus ſon Frere, qu’il fut obligé de tuer de ſa propre main en bataille rangée;	C'est pour cela qu'on a tort de condamner dans ce Roi, bon, généreux, plein d'humanité, et de tendresse, ces dégoûts qu'il fait voir pour la Couronne, qui était la véritable cause de tous les désordres de sa Maison, des cruautés de Paris sa Mère, de l'attentat et de sa tévolte de Cyrus son Frère, qu'il fut obligé de tuer de sa propre main en bataille rangée;
des diviſions de ſes Enfans, qui par une jalouſie ambitieuſe, diſputoient entre eux avant la mort de leur Pere la Succeſſion de l’Empire.	des divisions de ses Enfants, qui par une jalousie ambitieuse, disputaient entre eux avant la mort de leur Père la Succession de l'Empire.
C’eſt par là qu’il eſt aiſé de répondre à ceux qui m’ont reproché d’avoir donné à un Roy que je peins avec tant de grandeur, un peu trop de facilité pour ſon Favory Tiribaze qui abuſoit de ſa faveur, & de l’aſcendant qu’il avoit ſur luy, & dont luy-meſme connoiſſoit l’orgueïl, & l’inſolence.	C'est par là qu'il est aisé de répondre à ceux qui m'ont reproché d'avoir donné à un Roi que je peins avec tant de grandeur, un peu trop de facilité pour son Favori Tiribaze qui abusait de sa faveur, et de l'ascendant qu'il avait sur lui, et dont lui-même connaissait l'orgueille, et l'insolence.
Cette inclination genéreuſe qu’il avoit à faire du bien, & à oublier le mal qu’on luy faiſoit, juſtifie ſa conduite;	Cette inclination généreuse qu'il avait à faire du bien, et à oublier le mal qu'on lui taît, justifie sa conduite;
il aima mieux ſe faire ſoupçonner d’avoir un peu de foibleſſe, que de manquer à ſa reconnoiſſance;	il aima mieux se faire soupçonner d'avoir un peu de faiblesse, que de manquer à sa reconnaissance;
il croit devoir moins à luymeſme, qu’à un Homme qui eſtoit le premier appuy de ſon Trône, & qui avoit ſouvent prodigué ſa vie pour conſerver celle de ſon Maiſtre.	il croit devoir moins à luymesme, qu'à un Homme qui était le premier appui de son Trône, et qui avait souvent prodigué sa vie pour conserver celle de son Maître.
Je puis répondre la meſme choſe voir trop de modération pour un Fils ſon Rival, & qui veulent qu’un grand Roy ſe ſerve de ſon autorité, & non pas de ſa raiſon, pour combatre ſon Fils.	Je puis répondre la même chose voir trop de modération pour un Fils son Rival, et qui veulent qu'un grand Roi se serve de son autorité, et non pas de sa raison, pour combattre son Fils.
Je ſçay bien que dans une pareille rencontre, j’ay donné plus de fierté à Agamemnon, & qu’il traite Oreſte ſon Fils avec plus de hauteur;	Je sais bien que dans une pareille rencontre, j'ai donné plus de fierté à Agamemnon, et qu'il traite Oreste son Fils avec plus de hauteur;
mais je ſoûtiens qu’Artaxerce eſt plus honneſte Homme qu’Agamemnon, & que la retenuë, & l’humanité dans une occaſion ſi délicate d’amour & de jalouſie, font plus d’honneur à Artaxerce, & ſont les plus beaux traits du caractere héroïque.	mais je soutiens qu'Artaxerce est plus honnête Homme qu'Agamemnon, et que la retenue, et l'humanité dans une occasion si délicate d'amour et de jalousie, font plus d'honneur à Artaxerce, et sont les plus beaux traits du caractère héroïque.
Rien n’eſt ſi grand, & ſi glorieux pour un Roy, que de ſe retenir & de reſiſter à la tentation d’une puiſſance abſoluë, quand elle eſt irritée par le bonheur impréveu d’un Rival plus aimé que luy.	Rien n'est si grand, et si glorieux pour un Roi, que de se retenir et de résister à la tentation d'une puissance absolue, quand elle est irritée par le bonheur imprévu d'un Rival plus aimé que sans.
Ce n’eſt pas qu’Artaxerce ne faſſe voir par quelque éclat de colere, & par quelque trait de foibleſſe, qu’il eſt Homme & ſenſible;	Ce n'est pas qu'Artaxerce ne fasse voir par quelque éclat de colère, et par quelque trait de faiblesse, qu'il est Homme et sensible;
mais vous voyez auſſi-toſt ſa bonté & ſon courage venir au ſecours de ſa gloire.	mais vous voyez aussitôt sa bonté et son courage venir au secours de sa gloire.
J’avouëray que lors que ſe laiſſant ſeduire par les conſeils de Tiribaze, il ſe réſout de ravir Aſpaſie à ſon Fils, il ſemble démentir ſa moderation;	J'avouerai que lors que se laissant séduire par les conseils de Tiribase, ils se résout de ravir Aspasie à son Fils, il semble démentir sa modération;
