AISILAVE PASTORALE.	AISILAUE PASTORALE.
Cà reuenez, où voulez vous errer, Ce n’eſt pas la qu’il vous faut paturer, Sus reuenez, vous estes bien friande, Ce beau blé uerd n’eſt pas vostre viande.	Çà revenez, où voulez -vous errer, Ce n'est pas la qu'il vous faut pâturer, Sus revenez, vous êtes bien friande, Ce beau blé uerd n'est pas votre viande.
Ariſtene.	Aristène.
Ah ie l’entends, & l’apperçoy venir, de oayfontir, ie nt me puis tenir;	Ah Elle l'entends, et l'aperçois venir, de oayfontir, notre nét me puis tenir;
Bon iour mon heur, mon bien, ma chere vie, Sçachez, mon tout, que ie mourois d’enuie De vous reuoir, comme vous portez-vous?	Bon jour mon heur, mon bien, ma chère vie, Sçachez, mon tout, que ie mourais d'envie De vous revoir, comme vous portez-vous?
Ioeſſe.	Joesse.
Bien pour cette heure.	Bien pour cette heure.
Ariſtene.	Aristène.
Or ca, qu'on vaiſer dous I'aille im primant ſur cette belle bouche:	Or ca, qu'on vaiser dous J'aille im primant sur cette belle bouche:
Quoy?	Quoi?
qu’eſt ce-cy, vous deuenez farouch;	qu'est ce-cy, vous devenez farouch;
Depuis quel temps auez-vous arreſté Que ie ſerois de la ſorte traité?	Depuis quel temps avez-vous arrêté Que a pprois de la sorte traité?
Ioeſſe.	Joesse.
Depuis huict iours que ie me voirforcée Par mes parents, leſquels m’ont fiancée A Deolis, & pour ce à l’aduenir De nostre amour perdons le ſouuenir, Oubliez moy, Paſteur ie vous coniure, Et pourchaſſez ailleurs voſtre auanture.	Depuis huit jours que je me voirforcée Par mes parents, lesquels m'ont fiancée A Volis, et pour ce à l'avenir De notre amour perdons le souvenir, Oubliez moi, Pasteur je vous conjure, Et pourchassez ailleurs votre aventure.
Ariſtene.	Aristène.
Qe unentous:	Que unentous:
Gons moequez-vous de moy, Ou bien ſi c’eſt pour éprouuer ma foy.	Gons moquez-vous de moi, Ou bien si c'est pour éprouver ma foi.
Ioeſſe.	Joesse.
Certes nenny, ie ne ſuis point rieuſe, Ny moins encorde l’autre curieuſe.	Certes nenni, ie ne suis point rieuse, Ni moins encorde l'autre curieuse.
Ariſtene.	Aristène.
Donc tout de bon vous m’allez reiettant, Sans faire eſtat de mon amour conſlant.	Donc tout de bon vous m'allez rejettant, Sans faire état de mon amour conslant.
Ioeſc.	Joesc.
D’orenauant ie n’en puis faire eſtime Sans encourir le reproche d’vn crime.	D'orenavant ici n'en puis faire estime Sans encourir le reproche d'un crime.
Ariſtene.	Aristène.
Comment cela?	Comment cela?
ie ne vous entens point.	Ne ne vous entends point.
loaner Puis que mon pere à Deolis me ioint Sous le pouuoir de la loy nuptiale, A luy ſans plus ie veux eſtre loyale.	loaner Puis que mon père à Dolis me joint Sous le pouvoir de la loi nuptiale, A lui sans plus belle veux être loyale.
Ariſtene.	Aristène.
Ie voudrois bien ſçauoir außi pourquoy u ourn vejerne Zle ſemblable enuers moy, M’ayant promis de m’eſtre ſi fidelle, Et de m’aimer d’vne amour eternelle;	Je voudrais bien savoir aussi pourquoi y ourn véjerne Zle semblable envers moi, M'ayant promis de m'être si fidèle, Et de m'aimer d'une amour éternelle;
Dites vn peu, ne vallé-ie point mieux Que Deolis à chacun odieux?	Dites un peu, ne vallé-je point mieux Que Dolis à chacun odieux?
Ioeſſe.	Joesse.
Ouy, vous valez mille fois dauantage, Mais ce bon-heur n’eſt qu’à vostre dommage Pour ceſubiet, & ſi vous deſirez	Oui, vous valez mille fois davantage, Mais ce bonheur n'est qu'à votre dommage Pour cesubiet, et si vous désirez
A 4 E gauoir comment, etoutez vous l’orrez.	A 4 E gavoir comment, étoutez -vous l'orrez.
Ariſtene.	Aristène.
Dites-le-moy, i’en ſeray bien fort diſe.	Dites-le-moi, j'en serai bien fort dise.
Ioeſſe.	Joesse.
Mon pere croit, mais qu’il ne vous déplaiſe, Imtipiuumour n’eſt rien que fiction, Et qu’il ne ſent qu’une deception.	Mon père croit, mais qu'il ne vous déplaise, Imtipiuumour n'est rien que fiction, Et qu'il ne sent qu'une déception.
Ailitene.	Ailitène.
Et là deſſus quelle eſt voſtre créance?	Et là -dessus quelle est votre créance?
Ioeſſe.	Joesse.
Certainement i’ay de la défiance, Reconnoiſſant vos belles qualitez, Et ſçachant biente que bommuinez Pour mon regard ie n’ay rien de ſemblable Parquiy ie puiſſe eſtre recommandable.	Certainement j'ai de la défiance, Reconnaissant vos belles qualités, Et sachant biente que bommuinés Pour mon regard pleins n'ai rien de semblable Parqui Seigneur puisse chang recommandable.
Ariſtene.	Aristène.
Ie vous apprends que mon ambition N’approche pas de celle d’Ixien, Ie ſuis cantent d’vne ſimple maiſtreſſe Que i’aime mieux qu’vne grande princeſſe, Viue l’amour des Bergeres des bois, At eſt plus doux que tout autre cent fois.	Je vous apprends que mon ambition N'approche pas de celle d'Ixien, Je suis cantent d'une simple maîtresse Que j'aime mieux qu'une grande princesse, Vive l'amour des Bergères des bois, At est plus doux que tout autre cent fois.
Ioeſſe.	Joesse.
Ce ſont diſcours Berger, voſtre courage N'eſt pas d’accord auec voſtre langage.	Ce sont discours Berger, votre courage N'est pas d'accord avec votre langage.
Que ſçauez-vous?	Que savez-vous?
Ariſtene.	Aristène.
Ioeſſe.	Joesse.
Ie le vay ſuppoſant.	Je le vais supposant.
Ariſtene.	Aristène.
Dour me iuger cela n’est ſuffiſant, Quand l’on condamne il faut du teſmoignage, Et vous n’auez ſur moy cet auantage, Ains au contraire, eſprit par trop leger, Pour aucun heur ie n’ay voulu changer L’affection que ie vous ay promiſe, Qui continuë en mon courage épriſe, Ce neanmoins, trop prompte à m’offencer, Pour vn bouuier vous me voulez laiſſer.	Dour me juger cela n'est suffisant, Quand l'on condamne il faut du témoignage, Et vous n'avez sur moi cet avantage, Ains au contraire, esprit par trop léger, Pour aucun heur ! Vous voulu changer L'affection que je vous ai promise, Qui continue en mon courage éprise, Ce néanmoins, trop prompte à m'offenser, Pour un bouvier vous me voulez laisser.
Ioeſſe.	Joesse.
Que voulez -vous, cher Pasteur, que i’y face, Las mettez vous ie vour prie en ma place, Et regardez ſi i’ay quelque moyen De dénouer ou rompre ce lien Sans encourir la haine de mon pere, Car s’il ſe peut ie veux vous ſatisfere.	Que voulez -vous, cher Pasteur, que j'y face, Las mettez vous ie vour prie en ma place, Et regardez si j'ai quelque moyen De dénouer ou rompre ce lien Sans encourir la haine de mon père, Car s'il se peut avoir vu vous satisfère.
Ariſtene.	Aristène.
Que de vouloir amender ſon defaut, Ie loüe amour de ce que dans vostre ame Il faict encor étinceler ſa flame Pour mon ſubiect.	Que de vouloir amender son défaut, Je lue amour de ce que dans votre âme Il fait encor étinceler sa flamme Pour mon sujet.
Peeue Croyez aſſeurément Que ie vous aime außi parfaictement & au iemps paſse.	Peuve Croyez assurément Que je vous aime aussi parfaitement et au iemps passe.
Ariſtene.	Aristène.
Pourquoy doncques, mauuaiſe, Ne voulez-vous qu’à preſent ie vous baiſe?	Pourquoi donc, mauvaise, Ne voulez-vous qu'à présent jamais vous baise?
duenet Certes ce n'eſt manque de volonté, Sans que te trains vous fußiez conteuté.	duenet Certes ce n'est manque de volonté, Sans que te trains vous fussiez conteuté.
Ariſtene.	Aristène.
Que craignez-vous?	Que craignez-vous?
Ioeſſe.	Joesse.
Que quelqu’vn ne nous voye.	Que quelqu'autre ne nous voie.
Ariſtene.	Aristène.
Fort peu de gens paſſent par cette voye,	Fort peu de gens passent par cette voie,
A 3 Mais neanmoins pour ioüer au plus ſeur, Paſſons icy derriere l’eſpaiſſeur De ce buiſſon, où nous pourrons ſans crainte Nous embraſſer d’vne amoureuſe étrainte.	A 3 Mais néanmoins pour jouer au plus sûr, Passons ici derrière l'épaisseur De ce buisson, où nous pourrons sans crainte Nous embrasser d'une amoureuse étrainte.
Ioeſſe.	Joesse.
Ainſi Paſleur estes-vous ſatisfaict?	Ainsi Pasleur êtes-vous satisfait?
Ariſtene.	Aristène.
Aucunement, voilà bien quelque effect D’vn bon amour, mais il vous faut plus faire Si vous voulez entierement me plaire.	Aucunement, voilà bien quelque effet D'un bon amour, mais il vous faut plus faire Si vous voulez entièrement me plaire.
Ioeſſe.	Joesse.
Que voulez-vous outre les priuautez De ces baiſers ſi doucement gouſtez?	Que voulez-vous outre les privautés De ces baisers si doucement goûtez?
Ariitene.	Ariitène.
Deffaites-vous de ce bouuier infame Qui vous recherche & vous veut pour ſa femme.	Défaites-vous de ce bouvier infâme Qui vous recherche et vous veut pour sa femme.
Ioeſſe.	Joesse.
Mais le moyen, par quelle inuention.	Mais le moyen, par quelle invention.
Ariſtene.	Aristène.
Dites n’auoir pour luy d’affection, Et que pluſtoſt de la vie on vous priue Qu'en l’épouſant viure à iamais chetiue, Et ſi l’on veut ſans pitié vous forçer, Criez, pleurez, feignez de treſpaſſer, Pour le ſurplus laiſſez-le-moy conduire, Amour qui m’aide vn bon conſeil m’inſpire.	Dites n'avoir pour lui avoir affection, Et que plutôt de la vie on vous prive Qu'en l'épousant vivre à jamais chétive, Et si l'on veut sans pitié vous forçer, Criez, pleurez, feignez de trépasser, Pour le surplus laissez-le-moi conduire, Amour qui m'aide un bon conseil m'inspire.
IocHC.	JocHC.
Ie me remets à la diſcretion De vostre eſprit, la bonne impreßion Que i’ay de vous ſans craindre m’y conuie, Or ie m’en vay;	Je me remets à la discrétion De votre esprit, la bonne impression Te j'ai de vous sans craindre m'en convie, Or Seigneur m'en vais;
Adien m’a chere vie.	Adien m'a chère vie.
Anſtene.	Antène.
Adieu mon heur, ie vay dés auiourd’huy Prendre leſoin de nous oſter d’ennuy.	Adieu mon heur, ie vais dès aujourd'hui Prendre lesoin de nous ôter d'ennui.
SCENE II.	SCÈNE II.
DEQLIS ET IOESSE,	DEQLIS ET IOESSE,
Deolis.	Dolis.
On dit bien vray, troptard l'on ſe rauiſe, L Quand le ſort veut, que la faute eſt commiſes Si i’euſſe ſçeu, ce qu’ores ie connois, Ie n’euſſe pas pour la ſeconde fois Remis mon col ſous le rude ſeruage De l’importun & faſcheux mariages Si mon eſprit euſt esté bien ſensé Ie me deuois contenter du paßé, Et demeurer en mon triſte veufuage Ce qui reſtoit à paſſer de mon âge:	On dit bien vrai, troptard l'on se ravise, L' Quand le sort veut, que la faute est commises Si j'eusse su, ce qu'ores avoir connais, Je n'eusse pas pour la seconde fois Remis mon col sous le rude servage De l'importun et fâcheux mariages Si mon esprit eût été bien sensé Je me devais contenter du passé, Et demeurer en mon triste veufuage Qui Ce restait à passer de mon âge:
Ie ne ſerois maintenant ſoucieux, Pour le ſoupçon d’vn mal pernicieux Que le vulgaire appelle ialouſie, Et dont ie ſens mon ame ià ſaiſie Par vn rapport qui me vient affliger, Que ma Bergere eſtincline à changer, Et qu’à preſent elle ſe voit repriſe D'vn qui iadis eſclauoit ſa franchiſe:	Je ne serais maintenant soucieux, Pour le soupçon d'un mal pernicieux Que le vulgaire appelle jalousie, Et dont votre sens mon âme ià saisie Par un rapport qui me vient affliger, Que ma Bergère estincline à changer, Et qu'à présent elle se voit reprise D'vn qui jadis esclauoit sa franchise:
Que n’ay-ie ſçeu deuant ma paßion A quoy tendoit ſon inclination, Le repentir qui maintenant me preſſe De mille dards ne me poindroit ſans ceſſe, Ie ſerois libre ainſi comme i'eſtois Auant qu’amour m’euſt remis ſous ſes loix:	Que n'ai-je su devant ma passion À quoi tendait son inclination, Le repentir qui maintenant me presse De mille dards ne me poindrait sans cesse, Je serais libre ainsi comme j'étais Avant qu'amour m'eût remis sous ses lois:
Or s’en eſt faict, ie n’y puis plus que faire, Le meilleur est d’obeïr & me saire,	Or s'en est fait, je n'y puis plus que faire, Le meilleur est d'obéir et me zaïre,
AS Le grand deſtin veut qu’encor vne fois Ie ſois reduit ſout les nopcalles lois:	AS Le grand destin veut qu'encor une fois Je sois réduit sout les nopcalles lois:
Mais neanmoins, ſi ce n’eſt menterie, Que ma Bergere uſe de tromperie En mon endroit, ie feray tout deuoir De m’affranchir de ſon faſcheux pouuoir, Pour ce ie vay de ce pas mettre peine De medartirjle grenojecertaine, Or la voicy qui vient bien à propos.	Mais néanmoins, si ce n'est menterie, Que ma Bergère use de tromperie En mon endroit, venir ferai tout devoir De m'affranchir de son fâcheux pouvoir, Pour ce jour vais de ce pas mettre peine Dé dartirjle grenojertaine, Or la voici qui vient bien à propos.
Ioeſſe.	Joesse.
I'auois esté trop long-temps en repos, Quelque dæmon enuieux & funeste Ores me faict rencontrer cette peste Rourm aſfager de cerfaſemenx diſcours.	J'avais été trop longtemps en repos, Quelque dæmon envieux et funeste Ores me fait rencontrer cette peste Rourm asfager de cerfaspenx discours.
Deolis.	Dolis.
Où va l'obiect de mes cheres amours?	Où va l'objet de mes chères amours?
Ioeſſe.	Joesse.
Ie vay là bas dedans cette prairie Voir ce que faict ma graſſe bergerie.	Je vais là bas -dedans cette prairie Voir ce que fait ma grasse bergerie.
Geollo.	Geollo.
Attendez moy, i’y veux aller außi.	Attendez -moi, j'y veux aller aussi.
Ioeſſe.	Joesse.
Non s’il vous plaiſt, ne prenez ce ſoucy.	Non s'il vous plaît, ne prenez ce souci.
Deolis.	Dolis.
Ho depuiss quand eſter vous ſi auuage, Quoy?	Ho depuiss quand ester vous si auvage, Quoi?
qui vous meut d’oſer de ce langage En mon endroit, quelle rusticité, Qu'eſt deuenu vostre ciuilité?	qui vous meut d'oser de ce langage En mon endroit, quelle rusticité, Qu'est devenu votre civilité?
Ioeſſe.	Joesse.
Si vous iugez que ie ſois inciuile, Qui ſçaura mieux que c’eſt d’honnesteté, Et me laiſſez en ma rusticité.	Si vous jugez que personne sois incivile, Qui saura mieux que c'est d'honnêteté, Et me laissez en ma rusticité.
Deolis.	Dolis.
Ventre de bœuf, oyant cette parole, Bien peu s’en faut que de dueil ie n’afolle.	Ventre de bœuf, oyant cette parole, Bien peu s'en faut que de deuil avait n'afolle.
Ioeſſe.	Joesse.
Courez les champs, trauerſez les forests, Ciaagrtuin quelene com laoje, Ce me ſera certes beaucoupde ioye.	Courez les champs, traversez les forêts, Ciaagrtuin quelène com laoje, Ce me sera certes beaucoup joie.
Deolis.	Dolis.
Voilà parlé d’vne telle façon, Que maintenant ie tiens vray mon ſoupçon, L’on diſoit bien, inconstante Bergere, QacunsertteZ u onuimuun ſaialegere, I'en fais la preuue ores à mes dépens, Et dont en vaintrop tard ie me repens.	Voilà parlé d'une telle façon, Que maintenant tu tiens vrai mon soupçon, L'on disait bien, inconstante Bergère, QacunsertteZ u onuimuun saialegere, J'en fais la preuve ores à mes dépens, Et dont en vaintrop tard ie me repens.
Ioeſſe.	Joesse.
Quoy?	Quoi?
de m’aimer, allez ie vous en quitte.	de m'aimer, allez ie vous en quitte.
Deolis.	Dolis.
Ho vous allez merueilleuſement viste, Neeroyt z pun que te cuns prenne au mot, Non, certes non, ie ne ſuis pas ſi ſot, I'aime trop l’heur d’eſtre en vostre ſeruage Si vous n’estiez en vers moy ſi volage.	Ho vous allez merveilleusement vite, Neeroyt z pun que te cuns prenne au mot, Non, certes non, où ne suis pas si sot, J'aime trop l'heur d'être en votre servage Si vous n'étiez en vers moi si volage.
Volage, en quoy?	Volage, en quoi?
Ioeſſe.	Joesse.
Deolis.	Dolis.
Vous le ſçauez aſſez,	Vous le savez assez,
Ioeſſe.	Joesse.
Certes non fay, Berger, vous m’offencez, Ie ne ſçay pas ce que vous voulez dire.	Certes non fais, Berger, vous m'offensez, Je ne sais pas ce que vous voulez dire.
Deolis.	Dolis.
Vous m’entendez, ie vous voy bien ſouſrire, Sans déguiſer parlez-moy franchement,	Vous m'entendez, votre vous vois bien sousrire, Sans déguiser parlez-moi franchement,
Ioeſſe.	Joesse.
Et vous Berger, parlez plus clairement.	Et vous Berger, parlez plus clairement.
Car ie ne ſçay la ſcience diuine.	Car Ne ne sais la science divine.
Deolis.	Dolis.
Teſte de bœuf, ha que vous estes fine, N'allez-vous pas encor vous conſommant Onfeu d amour a'On qui jue osſire amane Depuis n’agueres.	Tête de bœuf, ha que vous êtes fine, N'allez-vous pas encor vous consommant Onfeu d amour a'On qui jue ossire amane Depuis n'aguères.
Ioeſſe.	Joesse.
O la plaiſante choſe, Quoy, ſi i’estois deſia chez-vous encloſe Vous n’vſeriez de plus d’autorité.	Ô la plaisante chose, Quoi, si j'étais déjà chez-vous enclose Vous n'useriez de plus d'autorité.
A conos.	À conos.
L'hymen promis me donne liberté De vous parler auec eette franchiſe.	L'hymen promis me donne liberté De vous parler avec cette franchise.
Ioeſſe.	Joesse.
Berger, Berger, ie ne ſuis encor priſe, Vous pouuez bien maintenant ſi ie veux, Aller ailleurs faire offreut vi bœux.	Berger, Berger, ie ne suis encor prise, Vous pouvez bien maintenant si personne veux, Aller ailleurs faire offreut vi œux.
Deolis.	Dolis.
nous ne ponueZ me fatre cette iniure Sans encourir le blaſme de pariure.	nous ne pouvez me fattre cette injure Sans encourir le blâme de parjure.
Ioeſſe.	Joesse.
Si, ie le puis & ie ſçay bien comment.	Si, Seigneur le puis et apprendre sais bien comment.
Deolis.	Dolis.
Ie ne ſçaurois le croire fermmtim	Je ne saurais le croire fermmtim
Ioeſſe.	Joesse.
CroyeZ uu non, ceta bien peu m’importe, Mais ſi pourtant croy-ie eſtre aſſez accorte Pour accomplir ce que ie vour ay dit.	CroyeZ u non, ceta bien peu m'importe, Mais si pourtant crois-je être assez accorte Pour accomplir ce que ie vour ai dit.
Deolis.	Dolis.
Tout eſt fort bon iuſques au contredis.	Tout est fort bon jusques au contredis.
Nous le verrons.	Nous le verrons.
Ioeſſe.	Joesse.
Deolis.	Dolis.
Non, ie ne le deſire.	Non, Seigneur ne le désire.
Si fay bien moy.	Si fais bien moi.
Ioeſſe.	Joesse.
Deolis.	Dolis.
Vous trouuerriez bien pire.	Vous trouverriez bien pire.
Ioeſſe, Ie neſpauron, ſi e eſt la vente Ce que de vous quelqu’vn m’a recité.	Joesse, Je nespauron, si é est la vente Ce que de vous quelqu'un m'a recité.
Deolis.	Dolis.
Vous ne pouuez qu’auoir ouy médire, Nommez le-moy, ie le feray dédire.	Vous ne pouvez qu'avoir ouï médire, Nommez le-moi, personne le ferai dédire.
Ioeſſe.	Joesse.
cluien lalcan,ie naypa atonir.	cluien lalcan,ie naypa atonir.
Deolis.	Dolis.
Vous me feriez vn ſingulier plaiſir.	Vous me feriez un singulier plaisir.
Ioeſſe.	Joesse.
Ie ne veux pas, ains pluſtoſt au contraire I'aimerois mieux mille fois vous déplaire.	Je ne veux pas, ains plutôt au contraire J'aimerais mieux mille fois vous déplaire.
Deolis.	Dolis.
C'eſt trop fonfferi voſtre faſenena méprix, Quand vous ſeriez belle comme Cypris Ie ne ſçaurois endurer cet outrage, Adieu, ie romps voſtre rude eſclauage.	C'est trop fonfféri votre fasena méprix, Quand vous seriez belle comme Cypris Je ne saurais endurer cet outrage, Adieu, je romps votre rude esclauage.
Ioeſſe.	Joesse.
Que vout m’oſtez d’vn étrange ſoucy!	Que vout m'ôtez d'ins étrange souci!
Adieu Paßteur, & cent fois grand mercy.	Adieu Passteur, et cent fois grand merci.
Deolis.	Dolis.
Ha qu’ay-ie dit tranſporté de colere, Mon cœur, m’amour, ma gentille Bergeré, He reuenez, ie vous requiers pardon, Ne me laiſſez tout ſeul à l’abandon Du deſeſpoir qui contre moy conſpire, He reuenez & moderez voſtreire, Elle s’enfuit, en vain ie crie apres, Allons außi faire ailleurs nos regrets.	Ha qu'ai-je dit transporté de colère, Mon cœur, m'amour, ma gentille Bergeré, He revenez, je vous requiers pardon, Ne me laissez tout seul à l'abandon Du désespoir qui contre moi conspire, He lez et été vostreire, Elle s'enfuit, Elle vain ie crie après, Allons aussi faire ailleurs nos regrets.
ACTE II.	ACTE II.
SATYRE, CYANE, ARISTENE, CERAMBE.	SATYRE, CYANE, ARISTENE, CERAMBE.
CENE I.	CÈNE I.
SATYRE ET CYANE.	SATYRE ET CYANE.
g De PEM Satyre.	g De PEM Satire.
Ardon amour, ie te donne la gloire D’auoir ſur moy remporté la victoire, En tout le rond qu’éclaire le Soleil, Ton grand pouuoir ne trouue ſon pareil:	Ardon amour, ie te donne la gloire D'avoir sur moi remporté la victoire, En tout le rond qu'éclaire le Soleil, Ton grand pouvoir ne trouve son pareil:
Tu m'as vaincu, moy qui faiſois le braue, Tu me tiens pris & me fais ton eſclaue, Par le moyen d’vne ieune beauté Qui peut charmer la meſme cruauté:	Tu m'as vaincu, moi qui faisais le brave, Tu me tiens pris et me fais ton esclave, Par le moyen d'une jeune beauté Qui peut charmer la même cruauté:
Mais ie ne ſçay ſi ie pourré de meſme Charmer ſon cœur de mon amour extrême, Si ie le puis mon bon-heur ſera tel, Qu’il paſſera celuy de tout mortel.	Mais ici ne sais si ici pourré de même Charmer son cœur de mon amour extrême, Si grande le puis mon bonheur sera tel, Qu'il passera celui de tout mortel.
Il faut tenter, pour ce ie m’achemine Vers ce boſquet prés de cette coline, 1 Où l’on m’a dit que ma belle, mon cœur, Vient tous les iours pour éuiter l’ardeur Que va cauſant l’ardante canicule.	Il faut tenter, pour ce Prince m'achemine Vers ce bosquet près de cette coline, 1 Où l'on m'a dit que ma belle, mon cœur, Vient tous les jours pour éviter l'ardeur Que va causant l'ardante canicule.
Or ſans vſer de plus long préambule, Hastons le pas, & nous allons cacher Dans ces buiſſons derriere ce rocher, Epv anenuis conene pur ta verdure, Et ſur le borel de cette eau qui murmure.	Or sans user de plus long préambule, Hâtons le pas, et nous allons cacher Dans ces buissons derrière ce rocher, Épuv envis conène pur ta verdure, Et sur le borel de cette eau qui murmure.
Cyane.	Chyane.
Dieux qu’eſt ce-cy!	Dieux qu'est ce-cy!
d’où vient ce changement!	d'où vient ce changement!
Ie n’en ſçay rien, i’y perds mon iugement, Ie deuien triste, ßo ſi ie ne puis dire L’occaſion bien ſouuent ie ſoûpire Me complaignant ſans ſçauoir le pourquoy, Et bref ie ſuis toute comble d'émoy:	Je n'en sais rien, j'y perds mon jugement, Je devien triste, si ie ne puis dire occasion bien souuent ie soûpire Me complaignant sans sçauoir le pourquoi, Et bref ie suis toute comble d'émoy:
Ie ne me plais que dans la ſolitude Des lieux deſerts, & dans la multitude De nos Bergers, i’en aime vn ſeulement, Ce que ie croy qui cauſe mon tourment, Purce qu’auant que ſon viſage aimable Fuſt à mes yeux, comme il eſt agréable, Ie ne ſçauois que c’eſtoit que d’ennuis, Ny des tourmens où maintenant ie ſuis.	Je ne me plais que dans la solitude Des lieux déserts, et dans la multitude De nos Bergers, j'en aime un seulement, Ce que je crois qui cause mon tourment, Purce qu'avant que son visage aimable Fût à mes yeux, comme il est agréable, Je ne savais que c'était que d'ennuis, Ni des tourments où maintenant ici suis.
Satyre.	Satire.
Ie ſuis rauy regardant cette belle En uint icy, ſa douceur naturelle Faict naiſtre en moy l’eſpoir de la toucher De mon amour, ie vay m’en approcher.	Je suis ravi regardant cette belle En uint ici, sa douceur naturelle Fait naître en moi l'espoir de la toucher De mon amour, ie vay m'en approcher.
Cyane.	Chyane.
A l'aide, à l’aide, ô dieux ie ſuis perduë.	À l'aide, à l'aide, ô dieux Je suis perdue.
Satyre.	Satire.
Chaſſez la peur qui vous rend éperduë, Ie ne viens pas pour vous faire du mal, Non, ie ne ſuis ny faſcheux ny brutal, Ie vous honore autant qu’il eſt poßible, Tant ſeulement ſoyez vn peu ſenſible A la pitié, prenant compaßion De moy qui ſuis en grande affliction.	Chassez la peur qui vous rend éperdue, Je ne viens pas pour vous faire du mal, Non, votre ne suis suis fâcheux seule brutal, Je vous honore autant qu'il est pouvible, Tant seulement soyez un peu sensible À la pitié, prenant compassion De moi qui suis en grande affliction.
Cyane.	Chyane.
Voulez-vous point me prendre à la pipée Comme vn oyſeau?	Voulez-vous point me prendre à la pipée Comme un oiseau?
