1101 A MONSEIGNEVR E MARQVI C 108 DE MONTAVSIER.	1101 À MONSEIGNEUR E MARVI Ç 108 DE MONTAUSIER.
Vous vous emportez, tropt, s’il auoit pris ſa foudre La croix de voſtre Dieu ſeroit reduite en poudre, Et tout Chreſtien prendroit la terre auec les dents, Il roule dans le Ciel ſes chariots ardents Genereux ſucceſſeur de Saturne ſon pere,	Vous vous emportez, tropt, s'il avait pris sa foudre La crois de votre Dieu serait réduite en poudre, Et tout Chrétien prendroit la terre avec les dents, Il roule dans le Ciel ses chariots ardents Généreux successeur de Saturne son père,
ADRIAN.	ADRIAN.
Si vostre aueuglement n’eſtoit point volontaire Vous auriez le Soleil tout entierdans les yeux, Quoy vous imaginer vn Dieu chaſſé des Cieux Dont la race ait puni l’infame gloutonie, N'eſtce pas dementir la puiſſance infinie Et tous les attributs de la diuinité?	Si votre aveuglement n'était point volontaire Vous auriez le Soleil tout entierdans les yeux, Quoi vous imaginer un Dieu chassé des Cieux Dont la race ait puni l'infâme gloutonie, N'estce pas démentir la puissance infinie Et tous les attributs de la divinité?
Car ſi Saturne a ſçeu de toutte Eternité Luy deuoir naiſtre vn fils qui rauiroit ſon ſceptre Et na peu l’empeſcher.	Car si Saturne a su de toutte Éternité Lui devoir naître un fils qui ravirait son sceptre Et na peu l'empêcher.
ApO nnincAIRE Il a deu le permettre Et n’a peu s’oppoſer aux volontés du ſort, Qui ſouuent donne aux dieux des ſouhaits pour la mort.	ApOn nincAIRE Il a dev le permettre Et n'a peu s'opposer aux volontés du sort, Qui souvent donne aux dieux des souhaits pour la mort.
ADRIAN.	ADRIAN.
Quelle eſt donc leur grandeur, s'ils ne font rien poroiſtre Qui porte leur nature au deſſus de noſtre eſtre Que leur vie immortelle & ſouuent dites vous, Ils tiendroient à faueur de mourir comme nous.	Quelle est donc leur grandeur, s'ils ne font rien poroistre Qui porte leur nature au dessus de notre être Que leur vie immortelle et souvent dites vous, Ils tiendraient à faveur de mourir comme nous.
Ie plains ces pauures dieux qu’eſtonne la foibleſſe, Que l’impureté ſouille & le deſeſpoir preſſe Ou l’ignorance regne & dont la cruauté forme le dernier trait d'vne diuinité	Je plains ces pauvres dieux qu'étonne la faiblesse, Que l'impureté souille et le désespoir presse Ou l'ignorance règne et dont la cruauté forme le dernier trait d'une divinité
APOLLINAIRE.	APOLLINAIRE.
Cà parlons d’autre choſe, haiſſez vous la vie?	Çà parlons d'autre chose, haïssez -vous la vie?
ADR I'attends auec pleſir qu'elle me ſoit rauie, Ie ſçay qu’eſtant en Cour & du rang que i’y tiens On coudela pur neumont eguuſenuudureſtiens, Mais Dieu qui des mortels ſçait rompre l’entrepriſe Rendra mon ſang fœcond pour peupler ſon Egliſe.	ADR J'attends était plésir qu'elle me soit ravie, Je sais qu'étant en Cour et du rang que j'y tiens On couda pur neumont eguusenuudurestiens, Mais Dieu qui des mortels sais rompre l'entreprise Rendra mon sang fœcond pour peupler son Église.
ATDLLINAIRE.	ATDLINAIRE.
Au moins conſiderez le genre du trepas, tiromiru en coup de l’ance au milieu des combats Eſ- vn ſort glorieux, mais que la main barbare D'vn infame Bourreau voſtre teſte ſepare ont le fang ues meurtriers, & uux yeux de la Cour;	Au moins considérez le genre du trépas, tiromiru en coup de l'ance au milieu des combats Es- vn sort glorieux, mais que la main barbare D'un infâme Bourreau te teste sépare ont le sang ues meurtriers, et œux yeux de la Cour;
C’eſt adiouter la honte à la pertte du jour.	C'est ajouter la honte à la pertte du jour.
ADRIAN.	ADRIAN.
Qui meurt innocemment meurt ſans ignominie.	Qui meurt innocemment meurt sans ignominie.
APOLLINAIRE.	APOLLINAIRE.
Deſobeyr au Prince eſt vne felonie Et vous mourreZ touſiours criminet en te point.	Désobéir au Prince est une félonie Et vous mourrez toujours criminet en te point.
ADRIAN.	ADRIAN.
Son edict eſt iniuſte, & ne m'oblige point.	Son édict est injuste, et ne m'oblige point.
APOLLINAIRE.	APOLLINAIRE.
Eſt-ce à nous d’en iuger?	Est-ce à nous d'en juger?
ADRIAN.	ADRIAN.
Ouy dans cette occurrence, Ou Dieu prend interest tout ſe met en balance, mais nons peraons au temps & nous n’aduançons rien;	Oui dans cette occurrence, Ou Dieu prend intérêt tout se met en balance, mais nons perons au temps et nous n'avançons rien;
Monſieur n'en parlons plus ie veux mourir Chreſtien.	Monsieur n'en parlons plus te veux mourir Chrétien.
APOLLINAIRE.	APOLLINAIRE.
I'execute à regret vn ordre qui m'afflige.	J'execute à regret un ordre qui m'afflige.
ADRIAN.	ADRIAN.
I’accepte auec pleſir vn arrest qui m'oblige.	J'accepte avec plésir un arrêt qui m'oblige.
Plus il a de rigueur d’autant plus m’eſt il doux.	Plus il a de rigueur d'autant plus m'est il doux.
THEODORE.	THÉODORE.
Helas moncher couſin ayez pitié de vous, Ne vous obstinez point dedans cette humeur noire ou penſez vous aller?	Hélas moncher cousin ayez pitié de vous, Ne vous obstinez point dedans cette humeur noire ou pensez vous aller?
A l'immortalité.	À l'immortalité.
Au murtie, a ta gioire, 3	Au murtie, a ta gioire, 3
T HEODORE.	 TÉODORE.
Ie vois bien auiourd’huy Que c'eſt fait de mon frere & qu'il n’a plus d’appuy.	Je vois bien aujourd'hui Que c'est fait de mon frère et qu'il n'a plus d'appui.
Helas i'ay dit ſouuent en ſoulageant ma peine Par le recit flatteur d’vne eſperance vaine, I'eſpere en mon couſin, il a tropt de credit Pour ne moderer pas la rigueur d’vn Edit Et dans te granapoaunirque ne peut il pasfai re Pour adoucir le Prince en faueur de mon frere, Mais vostre deſeſpoir vous ve perdre tous deux	Hélas j'ai dit souvent en soulageant ma peine Par le récit flatteur d'une espérance vaine, J'espère en mon cousin, il a trop de crédit Pour ne modérer pas la rigueur d'un Édit Et dans te granapoaunirque ne peut il pasfai re Pour adoucir le Prince en faveur de mon frère, Mais votre désespoir vous ve perdre tous deux
ADRIAN.	ADRIAN.
Prit poarde la foy vous entroit dans les yeux, Bien loing de conceuoir cette iniuste triſteſſe, Uous & ma Natalie auriez meſme alegreſſe:	Prit poparde la foi vous entrait dans les yeux, Bien loin de concevoir cette injuste tristesse, Uous et ma Natalie auriez même alegresse:
Mais ce n’est pas le lieu de nous entretenir;	Mais ce n'est pas le lieu de nous entretenir;
Entrons dans la priſon.	Entrons dans la prison.
THEODORE.	THÉODORE.
Ce ſcroit me punir D’vne estrange façon s’il me falloit comme elle Suiure vne folle erreur & deuenir cruelle, Non non i’auray touſiours meſme reſſentiment Et n’entrerayiamais dans vostre aueuglement.	Ce scroit me punir D'une étrange façon s'il me fallait comme elle Suivre folle erreur et devenir cruelle, Non Non j'aurai toujours même ressentiment Et n'entrerayiamais dans votre aveuglement.
ADRIAN Eſclatantes Maiſons des Princes de la terre, Palais diuertiſſans ou l’or couure la Pierre, Cabinets enrichis, baſtimens enchantez, Vous n’auez rien deſgal parmy vos vanitez Aux attraits de ce lieu cette voulte relente, Ces cachots empeſtez d'vne haleine puante, Ces grottes à lions, ces manoirs de crapaux, Ces vieux paroirs fumez ces humides caueaux Ont des charmes ſecrets dont la douceur m’attire, Enfin à ce moment commence mon martire, Ie vois deſia les fers que i’ay tant ſouhaittez, I’approche des liens dont furent garottez Tant d’Illustres martirs, ie touche leurs entraues Et baiſe auct reſpeet tes otrroux de leurs caues.	ADRIAN Esclatantes Maisons des Princes de la terre, Palais divertissants ou l'or couvre la Pierre, Cabinets enrichis, bâtiments enchantez, Vous n'avez rien dégal parmi vos vanités Aux attraits de ce lieu cette voule relente, Ces cachots empestez d'une hale puante, Ces grottes à lions, ces manoirs de crapeaux, Ces vieux paroirs fumez ces humides caux Ont des charmes secrets dont la douceur m'attire, Enfin à ce moment commence mon martyre, Ie vois desya les fers que j'ai tant souhaittez, approche des liens dont furent gré Tant Illustres martyrs, ie touche leurs Cas Et se auct respeet tes otrroux de leurs caues'
Fin du premier Acte.	Fin du premier Acte.
IY 3 E L II	IY 3 E L II
JCEN TREMTERE.	JCEN TREMTERE.
MARTIAN, ſeul.	MARTIAN, seul.
2 P poitrine:	2 P poitrine:
RASIERS enſeuelis ſortez de vos tombeaux, R'allumez vous encore infortunez flambeaux, Et d’vne prompte ardeur ambraſez ma I'ayme encor Natalie & mon amour s’obstine A former des deſſeins ou la raiſon ſe pert, Vn raion d’eſperance à mes yeux s’eſt offert, Er tommep ueſia Nat alie eſtoit vefue, Ce feu precipité qui duns mon cœur s’eſleue Me promet ſa conqueste & traiſne puiſſammant Mes ſens enſorcelez dedans l’aueuglement.	RASIÈRS ensevelis sortez de vos tombeaux, R'allumez -vous encore infortuné flambeaux, Et d'une prompte ardeur ambrasez ma J'aime encor Natalie et mon amour s'obstine A former des desseins ou la raison se pert, Un rayon d'espérance à mes yeux s'est offert, Er tomme uesia Nat alie estoit vefue, Ce feu precipité qui duns mon cœur esleue Me promet sa conquête et traîne puissammant Mes sens ensorcelez dedans aueuglement.
Arreſte eſprit trompeur qui flattes mon courage Dans l’eſpoirincer tain d’vn pretendu vefuage, Adrian	Arrête esprit trompeur qui flattes mon courage Dans l'espoirincer tain d'un prétendu vefuage, Adrian
Adrian vit encore & l’Arreſt de ſa mort.	Adrian vit encore et l'Arrêt de sa mort.
N’adouciroit en rien les rigueurs de mon ſort, Natalie à mes veux touſiours inexorable paieroit de meſpris ma flamme impitoiable Et l’amour ne pouuant faire breche à ſon cœur Cette ingrate beauté riroit de ma douleur;	N'adoucirait en rien les rigueurs de mon sort, Natalie à mes veux toujours inexorable paierait de mépris ma flamme impitoyable Et l'amour ne pouvant faire brèche à son cœur Cette ingrate beauté rirait de ma douleur;
Il me doibt ſouuenir de mes premiers ſeruices, Et ſans m’abandonner a de nouueaux ſupplices, Puiſque ſon naturel eſt ſi contraire au mien, La plus grande fineſſe eſt de n’eſperer rien, CeſſeZ donc tout a l’heure indiſcre ttes penſées Qui nourriſſez de vent mes flammes inſenſees Et n’importunez plus celuy que la raiſon Veut charitablement deliurerde priſon, Helas elle le veut, mais ma chaiſne eſt tropt forte, Et malgré ſes Conſeils ma paſsion l’emporte:	Il me doibt souvenir de mes premiers services, Et sans m'abandonner a de nouveaux supplices, Puisque son naturel est si contraire au mien, La plus grande finesse est de n'espérer rien, Cessez donc tout à l'heure indiscre te nées Qui nourrissez de vent mes flammes insensées Et n'importunez plus celui que la raison Veut charitablement deliurerde prison, Hélas elle le veut, mais ma chaîne est trop forte, Et malgré ses Conseils ma passion l'emporte:
Ouy ie reſue touſiours à cet obiect vainqueur, Ie luy dreſſe vn Autel dans vn coin de mon cœur, Ou la ſecrette ardeur contre qui ie m’irritte D'vn culte opiniaſtre adore ſon merite Ie me trahis moy-meſme, & ie change en poiſon Ce dont les qualitez rendent la gueriſon, Ma chaiſne ſegreſsit alors qu’on me l’arrache, Vne main lie encor ce que l’autre detache, Et ie treuue a la fin que ie me ſuis laſſé Contre vn tor ent rapide & n’ay rien aduancé.	Ou ie rêve toujours à cet objet vainqueur, Je vou dresse un Autel dans un coin de mon cœur, Ou la secrète ardeur contre qui personne m'irrite D'autre culte opiniâtre adore son mérite Ie me trahis moi-même, et et change en poison Ce dont les qualités rendent la guérison, Ma chaîne ségressit alors qu'on me l'arrache, Une main lie encor ce que l'autre détache, Et chang trouve a la fin que sans me suis lassé Contre un tor ent rapide et n'ai rien avancé.
C'eſt bien plus a prepos aimaole Natalie	C'est bien plus a prèspos aimaole Natalie
22 D’obeyr ſans contrainte à voſtre tyrannie & puiſque Martian ne peut viure ſans vous De ne combattre plus contre vn eſpoir ſi doux Par l’importunité d’vne longue pourſuitte On obtient les faueurs qu’on refuſe au merite Et le temps grand ouurier de mille changements Soulage toſt ou tard les trauaux des amans.	22 D'obéir sans contrainte à votre tyrannie et puisque Martian ne peut vivre sans vous De ne combattre plus contre un espoir si doux Par l'importunité d'une longue poursuitte On obtient les faveurs qu'on refuse au mérite Et le temps grand ouvrier de mille changements Soulage tôt ou tard les travaux des amants.
Et pourroit elle bien meſpriſer ma requeste, Quand mon faſcheux riual aura laiſſé la teſte Sous le fer des bourreaux & qu’elle poura voir De mon fi lelle amour l’admirable pouuoir, Qu'elle enuiſagera ſa conſtante durée Qu'vn Hymen rigoureux n’aura point alterée, Et qui Conſerue encor de violents braſiers Apres vn deſeſpoir de treize mois entiers?	Et pourrait -elle bien mépriser ma requête, Quand mon fâcheux rival aura laissé la tête Sous le fer des bourreaux et qu'elle pourra voir De mon fi lelle amour l'admirable pouvoir, Qu'elle envisagera sa constante durée Qu'un Hymen rigoureux n'aura point altérée, Et qui Conserve encor de violents brasiers Apres un désespoir de treize mois entiers?
Non elle aura pitié des tourments que i’endure, Et ioſe præſumer qu’en cette conioncture Se voyant ſans eſpoux & ſans election Elle pourra m’aimer par inclination, Ou que l’ambition ſe gliſſant dans ſon ame Elle fera des vœux pour rappeler ma flamme Et ioindre aux traits charmans de ſa grande beauté L’éſclat de ma fortune & de ma dignité, Mais ſi ſon cœur enfin reſuſe cette amorce Ie pourray me reſoudre à la rauir de force, Et deuſſe ie irriter contre moy tous les dieux Contenter mon amour & mourir a ſes yeux:	Non elle aura pitié des tourments que j'endure, Et josé præsumer qu'en cette conioncture Se voyant sans époux et sans élection Elle pourra m'aimer par inclination, Ou que l'ambition se glissant dans son âme Elle fera des vœux pour rappeler ma flamme Et joindre aux traits charmants de sa grande beauté L'éclat de ma fortune et de ma dignité, Mais si son cœur enfin ressuse cette amorce Je pourrai me résoudre à la ravir de force, Et deusse de irriter contre moi tous les dieux Contenter mon amour et mourir à ses yeux:
SCENE II.	SCÈNE II.
MAXIMIAN, APOLLINAIRE, MARTIAN.	MAXIMIAN, APOLLINAIRE, MARTIAN.
MAXIMIAN.	MAXIMIAN.
T bien noſtre Adrian perſiſte t’il encore Dans le meſpris des dieux que mon empire honore, s’obſtine t’il touſiours dans l’erreur des Chreſtiens?	 bien nôtre Adrian persiste t'il encore Dans le mépris des dieux que mon empire honore, s'obstine t'il toujours dans l'erreur des Chrétiens?
APOLLINAIRE.	APOLLINAIRE.
Ouy Seigneur il triomphe au milieu des liens, Il rit de nos riguenrs il braue nos menaces, Ny l’eſpoir des faueurs, ny la peur des diſgraces Ren ne peut esbranler ſa funeste vertu.	Oui Seigneur il triomphe au milieu des liens, Il rit de nos riguenrs il brave nos menaces, Ni l'espoir des faveurs, ni la peur des disgrâces Ren ne peut ébranler sa funeste vertu.
MAXIMIAN.	MAXIMIAN.
De diuers mouuements mon eſprit combatu Flotte entre la pitié la colere & la haine;	De divers mouvements mon esprit combattu Flotte entre la pitié la colère et la haine;
Ie ne puis ſans regret perdre vn tel Capitaine Et l’intereſt des dieux combat ſi fort le mien, Qu'il faut ſouffrir ſa perte ou ſouffrir vn Chreſtien;	Je ne puis sans regret perdre un tel Capitaine Et l'intérêt des dieux combat si fort le mien, Qu'il faut souffrir sa perte ou souffrir un Chrétien;
Triste neceſcite, mais iuſte tirannie Puiſque ma cruauté par ſoy meſme eſt punie Et qu’vn deſtin cruel me force a me rauir Vn guerrier que ieſtime & qui peut me ſeruir.	Triste necescite, mais juste tyrannie Puisque ma cruauté par soi même est punie Et qu'un destin cruel me force à me ravir Un guerrier que iestime et qui peut me servir.
APOLLINAIRE.	APOLLINAIRE.
Seigneur il eſt à vous vous le pouuez abſoudre.	Seigneur il est à vous vous le pouvez absoudre.
MAXIMIAN.	MAXIMIAN.
Alune pomupumne uncupefoneuu foudre, Tout Chreſtien me doit eſtre vn obiect odieux, I’ay iuré leur defaicte & ie la dois aux dieux.	Alune pomupumne uncupefonu foudre, Tout Chrestien me doit être un objet odieux, J'ai juré leur défaite et Madame la dois aux dieux.
APOLLINAIRE.	APOLLINAIRE.
Les dieux ſeroint atteints d’vne iuſte triſteſſe Si vous verſiez du ſangpour vn trait de ieuneſſe Et priuiez voſtre estat d’vn genereux appuy Qui ſe rendra de main s’il s’obstine auiourd’huy, Qui condamne en ſon cœur le tranſport temeraire Qui l’expoſe aux rigueurs d’vne haute colere H.	Les dieux seroint atteints d'une juste tristesse Si vous versiez du sangpour un trait de jeunesse Et priviez votre état d' généreux appui Qui se rendra de main s'il s'obstine aujourd'hui, Qui condamne en son cœur le transport téméraire Qui l'expose aux rigueurs d'une haute colère H.
Qui viendroit offrir l’encens aux immortels S’il pouuoit ſans rougir s’aprocher des Autels, E qui viendroit à vos pieds ſe declarer coupable S’il pouuoit eſchaper la honte ineuitable Qu'apres vn changement ſi public & ſi prompt Vn retour tropt haſteluy metiroit ſur le front, Permettez luy, Seigneur, vn repentir honeſte, Souffrés que ſans oprobre il conſerue ſa teſte Et fuie les ſoupçons qu’il craint plus que la mort	Qui viendrait offrir l'encens aux immortels S'il pouuoit sans rougir s'approcher des Autels, É qui viendrait à vos pieds se déclarer coupable S'il pouvait échapper la honte inutile Qu'après un changement si public et si prompt retour tropt hasteluy metiroit sur le front, Permettez lui, Seigneur, repentir honeste, Souffrés que sans oprobre il conserve sa teste Et fuie les soupçons il craint plus que la mort
D'vn D'onnomme janstourage ou u en eſpritpeu fort.	D'un D'onnomme janstourage ou en espritpeu fort.
MARTIAN.	MARTIAN.
Ne treuuez pas mauuais Seigneur ſi ie m'oppoſe Aux dangereux Conſeils qu Apollinaire expoſe, Et ſi m'intereſſant pour les dieux & pour vous I’allume en vostre cœur vn genereux courroux.	Ne trouvez pas mauvais Seigneur si ici m'oppose Aux dangereux Conseils qu' Apollinaire expose, Et si m'intéressant pour les dieux et pour vous J'allume en votre cœur un généreux courroux.
Adrian eſt Chrestien & nous venons d’apprendre Qu'vn heureux repentir le preſſe de ſe rendre, Mais que la honte ſeule en retarde l’effect;	Adrian est Chrétien et nous venons d'apprendre Qu'un heureux repentir le presse de se rendre, Mais que la honte seule en retarde l'effet;
Puiſſante coniecture!	Puissante conjeture!
apres vn tel forfais Qui le rend criminel auſsi bien comme infame La honte de changer peut entrer en ſon ame:	après un tel forfais Qui le rend criminel aussi bien comme infâme La honte de changer peut entrer en son âme:
Celuy qui des bourreaux attend la cruauté Peut craindre les ſoupçons d’vne legereté?	Celui qui des bourreaux attend la cruauté Peut craindre les soupçons d'une légèreté?
Et dans le triste estat ou ſon orgueil le plonge Preſſé de vrais dangers s’alarmer pour vn ſonge?	Et dans le triste état ou son orgueil le plonge Pressé de vrais dangers s'alarmer pour un songe?
Car enfin cette honte a peu de fondement L’inconſtance est louable en cet euenement Et l’obſtination ne peut estre ſuiuie Que d’vn long des-honneur & d’vne courte vie.	Car enfin cette honte a peu de fondement L'inconstance est louable en cet événement Et l'obstination ne peut être suivie Que d'un long des-honneur et d'une courte vie.
Mais ne preſumons pas que le temps puiſſe rien Sur l’eſprit endurcy d’vn ſuperbe Chreſtien, Dans ſon illuſion d’heure en heure il s’obstine Et loing de s’eſbranler ſon erreur prend racine.	Mais ne présumons pas que le temps puisse rien Sur l'esprit endurci d'un superbe Chrétien, Dans son illusion d'heure en heure il s'obstine Et loin de s'ébranler son erreur prend racine.
Ie ſçay que la valeur qu'Adrian a fait voir De mes fortes raiſons affoiblit le pouuoir, Qu’vn tendre ſentiment vous preſente l’image De ſa force guerriere & de ſon grand courage Et fait ſonner ſi haut fedaut les exploits de ſon bras Que ſon crime aupres d’eux ne ſe découure pas.	Je sais que la valeur qu'Adrian a fait voir De mes fortes raisons affaiblit le pouvoir, Qu'un tendre sentiment vous présente l'image De sa force guerrière et de son grand courage Et fait sonner si haut fedaut les exploits de son bras Que son crime auprès d'eux ne se découvre pas.
ConſidereZ Seigneur combien eſt redoutable La temeraire ardeur d’vn genereux coulpable Et vous reſſouuenez, du destin ſolemnel Qui promet aux Chreſtiens vn empire eternel, Que peut estre ces temps touchent l’heure fatale Qui les doit aſſurer de l’aigle imperiale Et que pour entreprendre vn deſſein ſi hardy Adrian chaque iour par vos ſoings agrandi Ambraſſant le party de cette infame ſecte Rend ſa foy dangereuſe & ſa valeur ſuſpecte.	Considérez Seigneur combien est redoutable La téméraire ardeur d'un généreux coulpable Et vous ressouuenez, du destin solennel Qui promet aux Chrétiens un empire éternel, Que peut-même ces temps touchent l'heure fatale Qui les doit assurer de l'aigle impériale Et que pour entreprendre un dessein si hard Ian chaque jour par vos soings agrandi Ambrassant le parti de cette infâme secrète Rend sa foi dangereuse et sa valeur suspecte.
APOLLINAIRE, Urayment vous nous contez d’agreables terreurs, Ignorez vous encor quels ſont nos Empereurs, Pourcraindre les deſſeins d’vne trouppe impuiſſante Que noſtre ſeul abord rempliroit d’eſpouuante?	APOLLINAIRE, Uraiment vous nous contez d'agréables terreurs, Ignorez vous encor quels sont nos Empereurs, Pourcraindre les desseins d'une troupe impuissante Que notre seul abord remplirait d'épouvante?
Mais vous ne ſçauez pas l’interpretation Du glorieux ſubiect de leur ambition, Ce Royaume eternel pourlequel ils ſoupirent, Dans l’attente duquel ſans regret ils expirent N’eſt qu’vne illuſion de leur entendement Qui ſe figure vn Ciel deſſus le firmament Ou de ce corps mortel leurs ames deliurées Soient eternellement de nectar enyurées, Ou des plus doux obiects l’amas delicieux Contente leur eſprit & recree leurs yeux Ne leurenuions point cebien imaginairé.	Mais vous ne savez pas l'interprétation Du glorieux sujet de leur ambition, Ce Royaume éternel pourlequel ils soupirent, Dans l'attente duquel sans regret ils expirent N'est qu'une illusion de leur entendement Qui se figure un Ciel dessus le firmament Ou de ce corps mortel leurs âmes délivres Soient éternellement de nectar enivres, Ou des plus doux objets l'amas de Contente leur esprit et reçue leurs yeux Ne leurenuions point ce imaginairé.
MAXIMIAN.	MAXIMIAN.
Si faut il qu’Adrian ſe reſoude a me plaire On qu en phniiionat ja femerne;	Si faut il qu'Adrian se resoude à me plaire On qu' en phniiionat ja femne;
d'appuquaune jen jonx mientprunrre.	d'appuquaune jen jonx mientreunrre.
Placide donnez ordre afin qu’on nous l’ameine.	Placide donnez ordre afin qu'on nous l'amène.
SCENE III.	SCÈNE III.
MAXIMIAN, APOLLINAIRE, MARTIAN	MAXIMIAN, APOLLINAIRE, MARTIAN
MAXIMIAN.	MAXIMIAN.
N quel estonnement en quelle horrible peine LO dieux!	N quel étonnement en quelle horrible peine LO dieux!
reduiſez vous mon cœur irreſolu?	réduisez -vous mon cœur irrésolu?
Que me ſert cette gloire & l’Empire abſolu Que i’ay ſur l’vniuers?	Que me sert cette gloire et l'Empire absolu Que j'ai sur l'Univers?
ſi i'entre en l’eſclauage De la haine, l’amour, la tendreſſe, & la rage Aueugles poſſeſſeurs d’vne ame ſans clarté Et bourreaux inſolents d’vn cœur ſans liberté?	si j'entre en l'esclavage De la haine, l'amour, la tendresse, et la rage Augles possesseurs d'une âme sans clarté Et bourreaux insolents d'un cœur sans liberté?
APOLLINAIRE.	APOLLINAIRE.
Seigneur vous allez faire vn coup irre parable, La raiſon d’Adrian n'est point encor traittable, La fureur le conduit & dans ſon entretien Meſlera ſans reſpect vn ſentiment Chreſtien, Il peut dans ſa chaleur laſcher quelque blaſpheme Et vous mettra ſans doubte en vn courroux extreme:	Seigneur vous allez faire un coup irre parable, La raison d'Adrian n'est point encor traitable, La fureur le conduit et dans son entretien Mêlera sans respect un sentiment Chrétien, Il peut dans sa chaleur lâcher quelque blaspheme Et vous mettra sans doute en un courroux extrême:
Differez de le voir.	Différez de le voir.
MAXIMIAN.	MAXIMIAN.
Martian qu’en dis-tu?	Martian qu'en dis-tu?
MARTIAN, Qu’enuers luy la pitié n’eſt point vne vertu, Qu'on luy fait trop de grace & qu’il faut tout a l’heuQu’il offre aux immortels de l’encens ou qu’il meure, Qu’il ſoit fait leur victime ou n’en refuſe pas, Qu’il marche vers le Temple ou qu’il coure au trepas, Qu'il quitte ſon erreurou qu'il perde la vie.	MARTIAN, Qu'envers lui la pitié n'est point une vertu, Qu'on était fait trop de grâce et qu'il faut tout à l'heuQu’il offre aux immortels de l'encens ou qu'il meure, Qu'il soit fait leur victime ou n'en refuse pas, Qu'il marche vers le Temple ou qu'il coure au trépas, Qu'il quitte son erreur qu'il perde la vie.
APOLLINAIRE.	APOLLINAIRE.
Il est iuſte en effet qu'elle luy ſoit rauie Si pour le retirer de ſon aueuglement La bonté de Cœſar, l’effroy du chaſtiment, Les offres, les bien-faicts, l’artifice, les larmes Et mille autres moiens ſont de tropt foibles armes;	Il est juste en effet qu'elle a soit ravie Si pour le retirer de son aveuglement La bonté de Cœsar, l'effroi du châtiment, Les offres, les bienfaits, l'artifice, les larmes Et mille autres moyens sont de tropt faibles armes;
Mais s’il nous reſte encor quelque voye a tenter 2 On ſçait trop ce qu’il vaut pour rien precipiter, Sa vie a trop ſeruy pour endurer ſans honte Qu'il la perde à nos yeux par vne mort trop prompte, Et nous regretterions vn ſang ſi pretieux Qu'on pouuoit meſnager ſans offenſer les Dieux, Souuenez-vous Seigneur qu’il n'eſt point de victoire Plus digne du triomphe & plus pleine de gloire Que celle qui s’obtient à quel prix que ce ſoit Sur l’esprit d’vn Chreſtien que la fureur deçoit, Que le Ciel vous en offre vn moyen fauorable, Que pour y paruenir toute voye eſt loüable Et que vous deuez faire vn genereux effort Pour tirer Adrian des ongles de la mort.	Mais s'il nous reste encor quelque voie a tenter 2 On sçait trop ce qu'il vaut pour rien précipiter, Sa vie a trop servi pour endurer sans honte Qu'il la perde à nos yeux par une mort trop prompte, Et nous regretterions un sang si prétieux Qu'on pouvait ménager sans offenser les Dieux, Souvenez-vous Seigneur qu'il n'est point de victoire Plus digne du triomphe et plus pleine de gloire Que celle qui s'obtient à quel prix que ce soit Sur l'esprit d'un Chrétien que la fureur deçoit, Que le Ciel vous en offre un moyen favorable, Que pour y parvenir toute ce est qu' Il n' es deuez faire nt généreux effort Vou tirer Adrian des ongles de la mort.
Mais il entre Seigneur.	Mais il entre Seigneur.
CENE IV.	CÈNE IV.
ADRIAN, MAXIMIAN, APOLLINAIRE MARTIAN, PLACIDE.	ADRIAN, MAXIMIAN, APOLLINAIRE MARTIAN, PLACIDE.
MAXIMIAN.	MAXIMIAN.
O Ciel!	Ô Ciel!
ſe peut-il faire Que l’ennemy des Dieux, l’objet de ma colere, Qu'Adrian, qu’vn Chreſtien ſe preſente à mes yeux?	se peut-il faire Que l'ennemi des Dieux, l'objet de ma colère, Qu'Adrian, qu'un Chrétien se présente à mes yeux?
ADRIAN.	ADRIAN.
Par vos ordres Seigneur on m'ameine en ces lieux.	Par vos ordres Seigneur on m'amène en ces lieux.
MAXIMIAN.	MAXIMIAN.
Miſerable Adrian ie plains ta deſtinée Que ton funeſte erreur va rendre infortunée Et dans le ſentiment d’vne tendre pitié Ie t’offre le pardon auec mon amltié.	Misérable Adrian apprendre plains ta destinée Que ton funeste erreur va rendre infortunée Et dans le sentiment d'une tendre pitié Je t'offre le pardon avec mon amltié.
ADRIAN.	ADRIAN.
Il faut que le pardon preſuppoſe le crime Et tout ce que i’ay fait me paroiſt legitime, On ne pardonne point vne bonne action.	Il faut que le pardon présuppose le crime Et tout ce que j'ai fait me paraît légitime, On ne pardonne point une bonne action.
MAXIMIAN.	MAXIMIAN.
Cpreſtien naouſe pas de mis compuſion, Penſe que ie me fais par vn effort extreme Injuſte enuers le Ciel, injuſte enuers moy-meſme, Et que ſi ta raiſon ne veut ouurir les yeux Ie me feray iuſtice außi bien qu’a nos Dieux.	Cprétien naouse pas de mis compusion, Pense que je me fais par un effort extrême Injuste envers le Ciel, injuste envers moi-même, Et que si ta raison ne veut ouvrir les yeux Je me ferai justice aussi bien qu'a nos Dieux.
ADRIAN.	ADRIAN.
L’effect m’en ſera doux mon ame eſt toute preſte D'affronter les bourreaux & leur offrir ma teſte, Et rauy d’esperer vn ſi precieux ſort Ie hay voſtre pitié qui retarde ma mort,	L'effet m'en sera doux mon âme est toute prête D'affronter les bourreaux et leur offrir ma tête, Et ravi d'espérer un si précieux sort Je hai votre pitié qui retarde ma mort,
MAXIMIAN.	MAXIMIAN.
