A MADEMOISELLE MADEMOIS ELLE MARTE E MANCINY MME ADEMOISELLE.	À MADEMOISELLE MADEMOIS ELLE MARTE E MANCINY MME ADEMOISLE.
L’on y verra encore des vers dont le ſens eſt lié, & qui ſont enchaiſnez les vns auec les autres comme de pauures forçats, & d’autres enfin dont les rimes n’ont pas toute la richeſſe qu’on leur pouuoit donner, ie n’en donneray pourtant point d’excuſe;	L'on y verra encore des vers dont le sens est lié, et qui sont enchaînez les uns avec les autres comme de pauvres forçats, et d'autres enfin dont les rimes n'ont pas toute la richesse qu'on leur pouvait donner, je n'en donnerai pourtant point d'excuse;
ne croyant pas eſtre obligé de ſuiure dans vne Comedie comme celle-cy, vne rei gle que les meilleures plumes n’obſetuent pas dans leurs ouurages les plus ſe.	ne croyant pas être obligé de suivre dans une Comédie comme celle-cy, une ri vle que les meilleures plumes n'obsetuent pas dans leurs ouvrages les plus se.
rieux:	rieux:
enfin ie ne diray rien des Pretieu ſes en Vers qui puiſſent exiger de ceur qui les verront vne bonté forcée;	enfin ie ne dirai rien des Prétieu ses en Vers qui puissent exiger de ceur qui les verront une bonté forcée;
ie ne veux rien que le plaiſir du Lecteur, & ſerois bien faſché d’oſter le moyen de Critiquer à ceux qui ſe plaiſẽt à le faire Ainſi quoy qu’il me fuſt aiſé de dire bien des choſes pour iuſtifier mes deffauts, & que ie n’euſſe qu’à m’eſtendre ſur la difficulté qu’il y a de mettre er Vers mot à mot vne proſe auſſi bizare que celle que i’ay euë à tourner?	Ce ne veux rien que le plaisir du Lecteur, et serais bien fâché d'ôter le moyen de Critiquer à ceux qui se plaisẽt à le faire Ainsi quoi qu'il me fût aisé de dire bien des choses pour justifier mes défauts, et que je n'eusse qu'à m'étendre sur la difficulté qu'il y a de mettre er Vers mot à mot une prose aussi bizare que celle que j'ai eue à tourner?
que ie peuſſe facilement faire voir que tou le plaiſant des Pretieuſes conſiſtoi preſque, en des mots auſſi contraires à la douceur des Vers que neceſſaire aux agrémens de cette Comedie:	que personne pusse facilement faire voir que tou le plaisant des Pretieuses consistoi presque, en des mots aussi contraires à la douceur des Vers que nécessaire aux agrémens de cette Comédie:
ie laiſſe pourtant toutes ces choſes pour laiſſe le Lecteur en liberté, & ie proteſte icr que la Critique ne m’épouuante point & que ie ſerois fort mary de dire l moindre mot pour l’éuiter, & non ſeulement ie la ſouffre pour cette ver ſior mais ie conſens que l’on s’en ſerue encore à l’égard du Procez des Pretieuſes qui eſt de mon inuention pure, & que ſi tout le monde eſt de mon ſentiment dilertira fort, au moins ne l’ay-ie fait que dans cette penſée.	nos laisse pourtant toutes ces choses pour laisse le Lecteur en liberté, et même proteste icr que la Critique ne m'épouvante point et que je serais fort mari de dire l oindre mot pour l'éviter, et non seulement ie un souffre pour cette ver siôr mais quelque consens que l'on s'en serve encore à l'égard du Procès des Pretieuses qui est de mon invention pure, et que si tout le monde est de mon sentiment dilertira fort, au moins ne l'ai-je fait que dans cette pensée.
Cette Preface auroit à peu prés la longueur qu’elle deuroit auoir, & ie la finirois volontiers en cét endroit s’il ne me reſtoit encore vn peu de papier qu’il faut remplir de quoy que ce puiſſe eſtre, quãd ce ne ſeroit que pour groſſir le Liute;	Cette Préface aurait à peu près la longueur qu'elle devrait avoir, et ie la finirais volontiers en cet endroit s'il ne me restait encore un peu de papier qu'il faut remplir de quoi que ce puisse estre, quand ce ne serait que pour grossir le Livte;
Toutefois pour ne me pas eſloigner de mon ſujet;	Toutefois pour ne me pas éloigner de mon sujet;
ie diray, quoy que ſans deſſein de me deffendre, que i’aurois eu bien plus de facilité de traduire vne piece de tout autre langue en vers François, que d’y mettre vne proſe faite en ma propre langue;	ie dirai, quoi que sans dessein de me défendre, que j'aurais eu bien plus de facilité de traduire une pièce de tout autre langue en vers Français, que d'y mettre une prose faite en ma propre langue;
dans toute autre i’aurois aſſez fait de rendre les penſées de mon Autheur.	dans toute autre j'aurais assez fait de rendre les pensées de mon Auteur.
Les termes auroiẽt eſté à ma diſcretion, & tout auroit preſque dépendu de lmon choix;	Les termes auraient été à ma discrétion, et tout aurait presque dépendu de lémon choix;
mais icy pour rendrela choſe fidellement, ie n’ay pas ſeulement eſté contraint de mettre les penſées, il ma falu mettre auſſi les meſmes termes;	mais ici pour rendrela chose fidèlement, je n'ai pas seulement été contraint de mettre les pensées, il ma fallu mettre aussi les mêmes termes;
que ſi i’ay adjoûté ou diminué ſelon que les rimes m’y ont obligé, ie n’ay rien à répondre à cela, ſinon que pour les rendre comme elles eſtoient, il falloit les laiſſer en proſe;	que si j'ai ajouté ou diminué selon que les rimes m'y ont obligé, toujours n'ai rien à répondre à cela, sinon que pour les rendre comme elles étaient, il fallait les laisser en prose;
peut-eſtre qu’au ſentiment de pluſieurs i’aurois mieux fait que de les mettre en rimes, peut-eſtre auſſi qu’au iugement de ceux qui ayment les vers, i’auray fort bien reuſſi :	peut-être qu'au sentiment de plusieurs j'aurais mieux fait que de les mettre en rimes, peut-être aussi qu'au jugement de ceux qui aiment les vers, j'aurai fort bien réussi :
Tout cela eſt douteux;	Tout cela est douteux;
mais il eſt certain que ce n’eſt pas là mon plus grand chagrin, & que ſi ceux pour qui ie les ay faites les trouuent à leur gré, il m’eſt bien indifferend que les autres les condamnent ou les approuuent;	mais il est certain que ce n'est pas là mon plus grand chagrin, et que si ceux pour qui ici les ai faites les trouvent à leur gré, il m'est bien indifferend que les autres les condamnent ou les approuvent;
en tout cas, que ceux qui ne ſi diuertiront pas ayent recours au Dictionnaire des Pretieuſes ou à la Satire.	en tout cas, que ceux qui ne si divertiront pas aient recours au Dictionnaire des Prétieuses ou à la Satire.
Comme tout dépend du caprice, peut-eſtre qu’ils y trouuerront mieux leur compte;	Comme tout dépend du caprice, peut-être qu'ils y trouverront mieux leur compte;
& pour moy ie ſeray content, pourueu qu’ils ſe diuertiſſent de quelque maniere que ce ſoit.	et pour moi ici serai content, pourvu qu'ils se divertissent de quelque manière que ce soit.
A MADEMOISELLE MADEMOISELLE MARIE DE AIIIIVCIN T	À MADEMOISELLE MADEMOISELLE MARIE DE AIIVCIN T
I ELEGIE.	I ÉLÉGIE.
Pris, charmé, remply de la plus belle idée Dont vne ame iamais puiſſe eſtre poſſedée, Ie me laiſſe emporter à ces nobles ardeurs Qui détruiſent la crainte, & r’aſſurent les cœurs.	Pris, charmé, rempli de la plus belle idée Dont une âme jamais puisse être possédée, Je me laisse emporter à ces nobles ardeurs Qui détruisent la crainte, et rassurent les cœurs.
Ie conçois vn deſſein qui m’eſtonne moymeſme, me;	Je conçois un dessein qui m'étonne moymesme, me;
Mais comme le danger la gloire en extre	Mais comme le danger la gloire en extre
Quand i’y ſuccomberois ie ſerois glorieux C’eſt perir noblement que perir à vos yeux.	Quand j'y succomberais ie serais glorieux C'est périr noblement que périr à vos yeux.
On ne ſe repent point d’vne belle entrepriſe Et de quelque terreur qu’vne ame ſoit ſur priſe Pour en venir à bout on la voit tout oſer Aux plus faſcheux reuers on la voit s'exvoſer, faire Pour moy dans le projet que ie viens de me On ne peut m’accuſerque d’eſtre temeraire Mais qui peut ignorer que la temerité Surpaſſe bien ſouuent la generoſité;	On ne se repent point d'une belle entreprise Et de quelque terreur qu'une âme soit sur prise Pour en venir à bout on la voit tout oser Aux plus fâcheux revers on la voit s'exvoser, faire Pour moi dans le projet que sans viens de me On ne peut m'accuserque d'être téméraire Mais qui peut ignorer que la témérité Surpasse bien souvent la générosité;
Parlons mieux, & diſons qu’il n’eſt pa ordinaire De voir vn genereux n'eſtre point teme raire, Qu’on ne peut que par elle affronter le hazards, Quelle a ſeule ſormé les premiers des Cæ ſars, Et que les conquerans que nous van l'Hiſtoire Sans leurs temeritez n’auroient pas ta de gloire.	Parlons mieux, et disons qu'il n'est pa ordinaire De voir un généreux n'être point teme raire, Qu'on ne peut que par elle affronter le hasards, Quelle a seule sormé les premiers des Cæ sars, Et que les conquérants que nous van l'Histoire Sans leurs témérités n'auraient pas ta de gloire.
Cette vertu propice aux belles paſſions Peut ſeule nous conduire aux grandes actions, Rien que l'euenemẽt ne la rend criminelle;	Cette vertu propice aux belles passions Peut seule nous conduire aux grandes actions, Rien que l'événement ne la rend criminelle;
Mais lors qu’on reüſſi elle n’eſt iamais telle:	Mais lors qu'on réussi elle n'est jamais telle:
ſein Oſons donc dans l’ardeur qui nous brûle le Incertain du ſuccez ſuiure noſtre deſſein.	sein Osons donc dans l'ardeur qui nous brûle le Incertain du succès suivre notre dessein.
Vous illuſtre MARIE, à qui mes vers s’adreſſent Soufrez qu’en voſtre nom tous mes veux s’intereſſent Que ie chante ſa gloire & faſſe voir àtous Les belles qualitez qui ſe trouuẽt en vous;	Vous illustre MARIE, à qui mes vers s'adressent Souffrez qu'en votre nom tous mes veux s'intéressent Que tu chante sa gloire et fasse voir à Les belles qualités qui se trouvent en vous;
Que peuuent toutefois mes foibles témoignages, Vos yeux parlent aſſez de tous vos aduantages, Il n’importe acheuons en vn deſſein ſi beau Ces yeux nous ſeruiront d'objet & de flambeau.	Que peuvent toutefois mes faibles témoignages, Vos yeux parlent assez de tous vos avantages, Il n'importe achevons en un dessein si beau Ces yeux nous serviront d'objet et de flambeau.
En effet ſi les yeux sõt les miroirs de l’ame Que ne verray-ie pas au trauers de leurs flame.	En effet si les yeux sont les miroirs de l'âme Que ne verrai-je pas au travers de leurs flamme.
ELEGIE.	ÉLÉGIE.
ſçauroit dire;	sçauroit dire;
Ie trouuerray d’abord d’vne ſuite d’ayeux La grãdeur exprimée en ces aymables yeux Et de leur majeſté la venerable image Auec des traits plus doux peinte ſur ce viſage.	Je trouverrai d'abord d'une suite d'aïeux La grãdeur exprimée en ces aimables yeux Et de leur majesté la vénérable image Avec des traits plus doux peinte sur ce visage.
mains Ty connoiſtray ce droit naturel aux RoD’eſtendre leur pouuoir deſſus tous les humains Et que ce qu’ils faiſoient par l’effort de leurs armes charmes;	mains Ty connaîtrai ce droit naturel aux RoD'étendre leur pouvoir dessus tous les humains Et que ce qu'ils faisaient par l'effort de leurs armes charmes;
Vous ſçauez l’acheuer par celuy de vos Mais vous faites bien plus que ces premiers vainqueurs Ils criomphoient des corps, vous triomphez des cœurs On éuitoit leurs fers, on adore vos chaînes Si l’on en ſent le poids l’on en cherit les peines Et voſtre Empire eſt tel deſſus les libertez Que meſme vous forcez iuſques aux volontez:	Vous savez l'achever par celui de vos Mais vous faites bien plus que ces premiers vainqueurs Ils criomphaient des corps, vous triomphez des cœurs On éuitoit leurs fers, on adore vos chaînes Si l'on en sent le poids l'on en chérit les peines Et votre Empire est tel dessus les libertés Que même vous forcez jusques aux volontés:
pire Ouy tel eſt de vos yeux, la douceur & l’EmQu’ils peuuent beaucoup plus que ie ne	pire Oui tel est de vos yeux, la douceur et l'EmuQuils peuuent beaucoup plus que ie ne
Mais ſi voyant vos yeux i’y troune taa.	Mais si voyant vos yeux j'y troune ta.
d’appas (pas Conſultant voſtre eſprit que ne verray-ie Et ſi pouſſant plus loin ce deſſein qui m’eſtonne Ie voulois regarder toute voſtre perſonne En voir ſeparement les aymables treſors De voſtre ame à loiſir conſulter les accords En tracer vne idée & vous y peindre entiere, Cõbien de vous loüer verray ie de matiere Ie le laiſſe à iuger, & borne tous mes vœux A montrer dans mes vers, ce qu’on voit dans vos yeux.	d'appas (pas Consultant votre esprit que ne verrai-je Et si poussant plus loin ce dessein qui m'étonne Je voulais regarder toute vôtre personne En voir séparément les aimables trésors De votre âme à loisir consulter les accords En tracer une idée et vous y peindre entière, Combien de vous louer verrai ici de matière Je le laisse à juger, et borne tous mes vœux A montrer dans mes vers, ce qu'on voit dans vos yeux.
Mais apres que ces yeux m’ont ſçeu faire connoiſtre La nobleſſe du ſang dont on vous a veu naiſtre uoir Et que par leur éclat inſtruit de leur pouI’ay taſchay d’exprimerce qu’ils m’en ont fait voir, Souffrez ſans vous laſſer que mes foibles paupieres En empruntent encor de nouuelles lumieres,	Mais après que ces yeux m'ont a faire connaître La noblesse du sang dont on vous a vu naître uoir Et que par leur éclat instruit de leur pouI’ay tâchai exprimerce ils en ont fait voir, Souffrez sans vous lasser que mes foibles paupières En empruntent encor de nouuelles lumières,
Et que par vos regards inſtruit de mieus en mieux Ie puiſſe peindre au vif ce qu’on lit dan vos yeux;	Et que par vos regards instruit de mieus en mieux Je puisse peindre au vif ce qu'on lit dan vos yeux;
Mais ie m'y perds moy-meſme & voi mon impuiſſance (quence Il faudroit pour le faire auoir leur eſlo Ou du moins que mes vers euſſent les agre mens Que l’on peut remarquer dedans leur mouuemens Qu'on y viſt cette ardeur qui brille en voi prunelles, Qu'à leurs force on conneuſt que ie veux parler d’elles, Et qu'enfin mes accens plus coulans & plus doux Meritaſſent l'honneur d’eſtre eſtimez de vous.	Mais mille m'y perds moi-même et voi mon impuissance (quence Il faudrait pour le faire avoir leur élo Ou du moins que mes vers eussent les agré mens Que l'on peut remarquer dedans leur mouvements Qu'on y vît cette ardeur qui brille en voi prunelles, Qu'à leurs force on connût que tu veux parler d'elles, Et qu'enfin mes accents plus coulants et plus doux Méritassent l'honneur d'être estimez de vous.
Alors par ce penſer ma vaine r’animée Tracerois ces vertus dont mon ame eſt charmée, Et ſuiuãt de vos veux l’éclat & les rayons I'en ferois à plaiſir les illuſtres crayons Dans ce vaſte tableau chacune auroit ſa place, On y verroit d’abord vne diuine audace, Et ſous diuers habits on verroit tour à tour Les graces & l’hõneur, qui vous feroient la cour, ( dance Plus loins l’on y verroit la diſcrete pruRegler vos actions d’vne iuſte balance En ſouſtenir par tout le poids & la grãdeur Pour cõpagne elle auroit vne fiere pudeur, Outre cette pudeur, on y verroit encore Toutes ces qualitez qui font qu’on vous adorc, Et ſur tout on verroit la liberalité Parler de vos excez de generoſité, (dre Ie ferois mes effors pour y pouuoir dépeinCette grande vertu qu’autre-part il faut feindre, (ſoins Et pour ne perdre pas & ma peine & mes I'en peindrois à vos pieds cent illuſtres témoins ( marques Que vous deuez regner ſur les cœurs des Monarques, Que tont le monde entier reconnoiſſan vos droits Tiendroit à grand bonheur de receuoir vo loix:	Alors par ce penser ma vaine ranimée Tracerais ces vertus dont mon âme est charmée, Et suivant de vos veux l'éclat et les rayons J'en ferais à plaisir les illustres crayons Dans ce vaste tableau chacune aurait sa place, On y verrait d'abord une divine audace, Et sous diuers habits on verrait tour à tour Les grâces et l'honneur, qui vous feraient la cour, ( dance Lus loins 'on y verrait la discrète pruRegler vos actions d'une juste balance En sous par tout le poids et la grãdeur Pour cõpagne elle auroit e fière pudeur, Outre cette pudeur, on y y encore Toutes ces qualité qui font on vous adorc, Et sur tout on verroit la liberalité Parler de vos excez de y, (dre Ie ferois mes essors pour y pouuoir la grande vertu autre-part il faut feindre, (soinsLe pour ne perdre a et ma peine et mes en peindrois à vos pieds cent ut le ( m Que vous deuez régner sur les cœurs de Monarques, Que on le monde entier y vos droits Tiendroit ra bonheur de y loix:
Mais attendant l'aueu d’vne telle entrepriſe, De grace laiſſez-moy ioüir de ma ſurpriſe Par mon eſtonnement montrer voſtre pouuoir Il en marquera plus que ie n’en ay fait voir.	Mais attendant l'aveu d'une telle entreprise, De grâce laissez-moi jouir de ma surprise Par mon étonnement montrer votre pouvoir Il en marquera plus que je n'en ai fait voir.
Quand pour loüer quelqu’vn l’on manque d’eloquence, C'eſt en dire beaucoup que garder le ſilence Ainſi ie ne trains pas que le mien ſoit ſuſpect Puis qu’en neuejani rion te prouue mon Reſpect.	Quand pour louer quelqu'Hommes l'on manque d'éloquence, C'est en dire beaucoup que garder le silence Ainsi ie ne trains pas que le mien soit suspect Puis qu'en neuejani rion te provue mon Respect.
SOMAIZE.	SOMAIZE.
Extraict du Priuilege du Roy.	Extrait du Privilège du Roi.
DAR grace & Priuilege du Roy, il eſt Y permis au ſieur de Somaiſe de faire Imprimer par tel Imprimeur & Libraire qu’il voudra, Les Pretieuſes Ridicules miſes en vers, repreſentées au Petit Bourbon, pendant l’eſpace de cinq ans, & deffenſes à tous autres de les contrefaire, comme il eſt porté par ledit Priuilege.	DAR grâce et Privilège du Roi, il est Y permis au sieur de Somaise de faire Imprimer par tel Imprimeur et Libraire qu'il voudra, Les Pretieuses Ridicules mises en vers, représentées au Petit Bourbon, pendant l'espace de cinq ans, et défenses à tous autres de les contrefaire, comme il est porté par ledit Privilège.
Donné à Paris, le troiſiéme iour de Mars mil ſix cens ſoixante.	Donné à Paris, le troisième jour de Mars mil six cens soixante.
Par le Roy en ſon Conſeil COVPEAV.	Par le Roi en son Conseil COUPEAU.
Et ledit ſieur Somaize a cedé & tranſporté ſon Priuilege à Iean Ribou Marchand Libraire à Paris, ſelon l’accord fait entr’eux.	Et ledit sieur Somaize a cédé et transporté son Privilège à Jean Ribou Marchand Libraire à Paris, selon l'accord fait entr'eux.
Regiſtré ſur le Liure de la communauté le 8.	Registré sur le Livre de la communauté le 8.
Auril 1660.	Avril 1660.
ſuiuant l’Arreſt qu Parlement en datte du 9.	suivant l'Arrest qu' Parlement en datte du 9.
Auril 1653.	Avril 1653.
Signé.	Signé.
IOSSE.	JOSSE.
Les Exemplaires ont eſté fournis.	Les Exemplaires ont été fournis.
LES PERSONNAGES.	LES PERSONNAGES.
LA GRANGE.	LA GRANGE.
J Amants rebutez.	J Amants rebutez.
Diloisy,	Diloisi,
GORGIBVS, Bon Bourgeois.	GORGIBUS, Bon Bourgeois.
MAGDELON, filleJ de Gorgibus.	MAGDELON, fille de Gorgibus.
MAROTTE, Seruante des Pretieuſe Kidicuies.	MAROTTE, Servante des Prétieuse Kidicuies.
ALMANZOR, Laquais des Pretieuſe Ridicules.	ÀLMANZOR, Laquais des Prétieuse Ridicules.
LE MARQVIS DE MASCARILLE Valet de la Grange.	LE MARQUIS DE MASCARILLE Valet de la Grange.
VIOLONS.	VIOLONS.
LES PRETIEVSES RIDICVLES COMEDIE REPRESENTE’E au petit Bourbon.	LES PRETIEUSES RIDICULES COMÉDIE RÉPRESENTE au petit Bourbon.
MISES ENVERS.	MISES ENVERS.
CENE I.	CÈNE I.
LA GRANGE, DV CROISY.	LA GRANGE, DU CROISY.
DV CROISY.	DU CROISY.
