AVEC PRIVILEGE DV ROY.	AVEC PRIVILÈGE DU ROY.
I1 M Quoy que ma Proſerpine ait eu l’honneur de paraiſtre auec quelque ſorte d’agrément dans les plus belles aſſemblées du monde, elle n’eſt point encore ſatisfaite de ſa fortune, ſi vous ne luy donnez l’entrée de voſtre cabinet.	I1 M Quoi que ma Proserpine ait eu l'honneur de paraître avec quelque sorte d'agrément dans les plus belles assemblées du monde, elle n'est point encore satisfaite de sa fortune, si vous ne lui donnez l'entrée de votre cabinet.
C’eſt la meſme beauté que le Dieu des enfers rauit dans la Sicile, & dont il ne pût poſſeder les bonnes graces:	C'est la même beauté que le Dieu des enfers ravit dans la Sicile, et dont il ne pût posséder les bonnes grâces:
Auſſi les Dieux fabuleux n’ont point de qualitez qui la puiſſent toucher;	Aussi les Dieux fabuleux n'ont point de qualités qui la puissent toucher;
C’eſt au veritable Dieu des richeſſes qu’elle deſire plaire;	C'est au véritable Dieu des richesses qu'elle désire plaire;
c’eſt à vous, MONSEIGNEVR, en qui ſe treuue vn tiltre ſi charmant, par la poſſeſſion abſoluë que vous laiſſe de ſes Coffres le plus grand Roy de la terre.	c'est à vous, MONSEIGNEUR, en qui se trouve un tiltre si charmant, par la possession absolue que vous laisse de ses Coffres le plus grand Roi de la terre.
Souffrez donc s’il vous plaiſt, MONSEIGNEVR, que cette fille celeſte iouyſſe de la clarté du iour ſous voſtre protection, & qu’elle vous compte ſes auantures.	Souffrez donc s'il vous plaît, MONSEIGNEUR, que cette fille céleste jouisse de la clarté du jour sous votre protection, et qu'elle vous compte ses aventures.
Elle ne s’eſt parée de tous les ornemens, que mon eſtude & ma plume luy ont donnez, qu’afin d’auoir la gloire & la ſatisfaction de vous eſtre agreable;	Elle ne s'est parée de tous les ornements, que mon étude et ma plume homme ont donnez, qu'afin d'avoir la gloire et la satisfaction de vous chang agréable;
& ſon entretien à du moins ce rapport auec voſtre eſprit, que comme il n’y a rien de ſi meſuré que les vers, il n’y a rien auſſi de ſi iuſte, que la diſtribution que vous faites des finances.	et son entretien à du moins ce rapport avec votre esprit, que comme il n'y a rien de si mesuré que les vers, il n'y a rien aussi de si juste, que la distribution que vous faites des finances.
Certes, MONSEIGNEVR, la France n’auoit persõne qui fuſt plus digne de cet employ que vous;	Certes, MONSEIGNEUR, la France n'avait personne qui fût plus digne de cet emploi que vous;
& ceſt en voſtre cõſideration principalemẽt qu’on à raiſon de dire, que l’or eſt le ſeul de tous les metaux qui ne ſalit point, veu que vos mains ſe conſeruent ſi nettes dans le maniement continuel de tant de treſors.	et cet en votre considération principalement qu'on à raison de dire, que l'or est le seul de tous les métaux qui ne salit point, vu que vos mains se conservent si nettes dans le maniement continuel de tant de trésors.
Ainſi tout ce qui à donné lieu de blaſmer iuſtement quelques vns de vos predeceſſeurs en cette charge, me ſemble vn glorieux fondement de vos loüanges, lors que ie conſidere, que le luxe eſt le vray plan, ſur lequel & la vanité & l’enuie ont ſouuent eſleué des edifices à leur ruyne, & que la iudicieuſe œconomie qui s’obſerue en toute voſtre maiſon, en releue ſeurement, de iour à autre, l’eſclat & les proſperitez.	Ainsi tout ce qui a donné lieu de blâmer justement quelques uns de vos prédécesseurs en cette charge, me semble un glorieux fondement de vos louanges, lors que sans considère, que le luxe est le vrai plan, sur lequel et la vanité et l'envie ont souvent élevé des édifices à leur ruine, et que la judicieuse œconomie qui s'observe en toute votre maison, en relève sûrement, de jour à autre, l'éclat et les prospérités.
Ouy, MONSEIGNEVR, vous triomphez de l’inconſtance de lafortune, par la grandeur de vos merites, & par les inuentions de voſtre eſprit, inuentions ſi ſolides, & ſi conſiderables pour les armes du Roy, que vous ne payez pas les gens de guerre, de vent, & de tiltres imaginaires (comme font les Eſpagnols, de monnoye de cuiure & de cuir, preſſez & contrains qu’ils y ſont par la neceſſité) mais d’or & d’argent, la marque & la ſplendeur de l’eſtat, qui paraiſt dans ce Royaume auec dautant plus d’admiration, qu’il ſemble à tout le monde, que la miſere de la guerre y deuoit auoir mis la pauureté.	Oui, MONSEIGNEUR, vous triomphez de l'inconstance de lafortune, par la grandeur de vos mérites, et par les inventions de votre esprit, inventions si solides, et si rés pour les armes du Roi, que vous ne payez pas les gens de guerre, de vent, et de titres imaginaires (comme font les Espagnols, de monnoye de cuivre et de cuir, pressez et contrains qu'ils y sont par la nécessité) mais d'or et d'argent, la marque et la splendeur de l'état, qui paraît dans ce Royaume d' avant plus d'admiration, quil semble tout le monde, que a misère de la guerre y deuoit auoir mis la pauureté.
Mais ie laiſſe à toute la France à conſiderer vos vertus, pour vous ſuplier tres-humblement, MONSEIGNEVR, de ne point refuſer la faueur de voſtre eſtime à cette Deeſſe, par qui les Anciens ont voulu marquer l’abondance:	Mais quelque laisse à toute la France à considérer vos vertus, pour vous supplier très-humblement, MONSEIGNEUR, de ne point refuser la faveur de votre estime à cette Déesse, par qui les Anciens ont voulu marquer l'abondance:
vous luy cauierez vn Taumement auſſi veritable, que celuy, que ie vous offre, eſt imaginaire, & dont tout le bon-heur retumbera ſur moy, ſi les productions de mon eſprit peuuent contribuer quelque choſe au diuertiſſement du voſtre, & vous faire cognaiſtre que ie ſuis	vous lui caviez un Thaumement aussi véritable, que celui, que je vous offre, est imaginaire, et dont tout le bonheur retumbera sur moi, si les productions de mon esprit peuvent contribuer quelque chose au divertissement du vôtre, et vous faire connaître que je suis
MONSEIGNEVR, Voſtre tres-nambie & tres-vociffant ſeruiteur.	MONSEIGNEUR, Votre très-nambie et très -vociffant serviteur.
CLAVERET.	CLAUERT.
LE RAVISSEMENT DE PROSERPINE.	LE RAVISEMENT DE PROSERPINE.
AOTE	ÀOTE
SCENE PREMIERE.	SCÈNE PREMIÈRE.
PLVTON, TYSIPHONE, RADAMANTE.	PLUTON, TYSIPHONE, RADAMANTE.
ASCALAPHE, MERCVRE.	ÀSCALAPHE, MERCURE.
PLVTON.	PLUTON.
LErc noe Econſeil en eſt pris, ie ne puis, ſans vengeance, S Souffrir de Iupiter cette haute arrogance;	LErc noe Econseil en est pris, ie ne puis, sans vengeance, S Souffrir de Jupiter cette haute arrogance;
NS Et ſi ie ſuis priué de la clarté duiour, Ie ne le ſeray pas des plaiſirs de l’Amour.	NS Et si tu suis privé de la clarté duiour, Je ne le serai pas des plaisirs de l'Amour.
Puis qu’il me la promis, ſon heureux droit d’aineſſe, Ne le diſpenſe pas de tenir ſa promeſſe;	Puis qu'il me la promis, son heureux droit d'aînesse, Ne le dispense pas de tenir sa promesse;
S’il pretend auiourd’huy la pouuoir violer, Ie veux à ma fureur ſon orgueil immoler.	S'il prétend aujourd'hui la pouvoir violer, Je veux à ma fureur son orgueil immoler.
Quoy!	Quoi!
n’eſt-ce pas aſſés que le ſuperbe ouurage De ſes palais d’azur ayt eſté ſon partage, Et qu’aſſis ſur vn troſne enuironné d’éclairs, Jl manie à ſon gre la colere des airs!	n'est-ce pas assez que le superbe ouvrage De ses palais d'azur ait été son partage, Et qu'assis sur un trône environné d'éclairs, Il manie à son gré la colère des airs!
Quoy?	Quoi?
n’eſt-ce pas aſſés que l’vn & l’autre pole Faſſent rouler les Cieux augré de ſa parole, Qu’il imprime en tous lieux le reſpect de ſes loix, Qu’il marche auec meſpris ſur les teſtes des Rois, Que toutes les beautéz pour luy n’ayent point de voiles, Qu’il ayt deſſous ces pieds ce corps ſemé d’eſtoiles, Qu’il gouuerne luy ſeul ces miracles roulans, Qu'embelliſſent la nuict tant dyeux eſtincellans, Qu’au moment qu’en colere il regarde la terre, Tout luniuers fremiſſe au bruit de ſon tonnerre, Et qu'il gouſte aux baiſers que luy donne ſa ſœur, Tout ce qu'vn libre amour peut auoir de douceur?	n'est-ce pas assez que l'un et l'autre pôle Fassent rouler les Cieux augré de sa parole, Qu'il imprime en tous lieux le respect de ses lois, Qu'il marche avec mépris sur les têtes des Rois, Que toutes les beautéz pour quelque n'aient point de voiles, Qu'il ait dessous ces pieds ce corps semé d'étoiles, Qu'il gouverne lui même ces miracles roulants, Qu'embellissent la nuit tant dieux estincellans, Qu'au moment qu'en colère il regarde la terre, Tout luniuers frémisse au bruit de son tonnerre, Et qu'il goûte aux baisers que lui donne sa sœur, Tout ce qu'an libre amour peut auoir de douceur?
Il ne luy ſuffit pas à ce frere barbare Depoſſeder aux Cieux tout ce qu’ils ont de rare, De voir les immortels ſous le iougde ſa loy, D'eſtre ſeul plus puiſſant que Neptune & que moy.	Il ne notre suffit pas à ce frère barbare Deposseder aux Cieux tout ce qu'ils ont de rare, De voir les immortels sous le jougde sa loi, D'être seul plus puissant que Neptune et que moi.
Le bru tal prend encor mille formes nouuelles,	Le bru tal prend encor mille formes nouvelles,
Pour eſteindre ſes feux dans les couches mortelles, Et pour tenter enfin la plus chaſte beauté, Il fait meſme vn apas de ſa Diuinité.	Pour éteindre ses feux dans les couches mortelles, Et pour tenter enfin la plus chaste beauté, Il fait même apas de sa Divinité.
Il poſſede les corps, dont ie n’ay que les ombres, Dans le ſeiour affreux de mes royaumes ſombres:	Il possède les corps, dont je n'ai que les ombres, Dans le seiour affreux de mes royaumes sombres:
Ou tout Dieu que ie ſuis, il ne m'eſt pas permis, D’accomplir vn hymen, que meſme il m’a promis, Oùie ne puis gouſter, par ſarigueur ſeuere, Les noms delicieux & dépoux & de pere, Où mon plus doux plaiſir eſt d’ouyr les eſprits, Effrayer mon Palais de leurs horribles cris.	Ou tout Dieu que je suis, il ne m'est pas permis, D'accomplir un hymen, que même il m'a promis, Oùie ne puis goûter, par sarigueur sévère, Les noms délicieux et dépoux et de père, Où mon plus doux plaisir est d'ouïr les esprits, Effrayer mon Palais de leurs horribles cris.
Ie ſouffre trop long-temps vn ſi ſenſible outrage, Pouuant contre le Ciel faire eſclatter marage.	Je souffre trop longtemps un si sensible outrage, Pouvant contre le Ciel faire éclater marage.
Sus, qui ſecondera mes genereux deſſeins, Appusyant ma fureur de ſes vaillantes mains?	Sus, qui secondera mes généreux desseins, Apusyant ma fureur de ses vaillantes mains?
Qui de vous, compagnons, m’aime aſſes pour me ſuiure, Qui veut à cet affront honteuſement ſuruiure, Sans me voir allumer, par vn loüable effort, Le flambeau de l’hymen, ou celuy du diſcord.	Qui de vous, compagnons, m'aime asses pour me suivre, Qui veut à cet affront honteusement survivre, Sans me voir allumer, par un loüable effort, Le flambeau de l'hymen, ou celui du discord.
HONE.	HONE.
Puiſſant Dieu des Enfers, qu’vne ardente colere, Deuroit auoir armé contre vn iniuſte frere, Si vous voulés combatre, & regner dans les Cieux,	Puissant Dieu des Enfers, qu'une ardente colère, Deurait avoir armé contre un injuste frère, Si vous voulez combattre, et régner dans les Cieux,
Qu’vſurpe indignement ce cœur audacieux, Si vous voulez reuoir la nuict & la lumiere Daus le deſordre affreux de la maſſe premiere, Seruez vous de mes ſœurs, & de moy ſeulement, C’eſt à nous à conduire vn ſi noble armement.	Qu'usurpe indignement ce cœur audacieux, Si vous voulez revoir la nuit et la lumière Daus le désordre affreux de la masse première, Servez vous de mes sœurs, et de moi seulement, C'est à nous à conduire un si noble armement.
Deſchargez de ce ſoin voſtre eſprit indomptable, Et ne nous oſtez point cette charge honorable.	Déchargez de ce soin votre esprit indomptable, Et ne nous ôtez point cette charge honorable.
Confiez vous, grand Dieu, ſur l’extreme pouuoir, Quivous rend redoutable en ce Royaume noir.	Confiez -vous, grand Dieu, sur l'extrême pouvoir, Quivous rend redoutable en ce Royaume noir.
Aſſés de grãds eſprits, demy Dieux en courage, Par l’orage de Mars ont fait icy naufrage:	Assez de grands esprits, demi Dieux en courage, Par l'orage de Mars ont fait ici naufrage:
Aſſés de bras vaillans ont fait trembler des Rois, Qu'vne mort naturelle à ſoumiſe à vos loix:	Assez de bras vaillants ont fait trembler des Rois, Qu'une mort naturelle à soumise à vos lois:
N'auez vous pas des chefs, dont l’illuſtre conduitte, A ce Iupiter meſme a fait prendre la fuitte;	N'avez -vous pas des chefs, dont l'illustre conduite, À ce Jupiter même a fait prendre la fuite;
Et qui peut empeſcher, pour finir vos debas, Doueuilent dans les cieux mettre ſon troſne à bas.	Et qui peut empêcher, pour finir vos débas, Douilent dans les cieux mettre son trône à bas.
Laiſſes moy toute ſeule aſſembler tant de forces, La conqueſte du Ciel a de douces amorces, Les efforts de ſon Dieu contre nous ſont ſi vains, Que ie le voy trembler la foudre entre les mains.	Laissez -moi toute seule assembler tant de forces, La conquête du Ciel a de douces amorces, Les efforts de son Dieu contre nous sont si vains, Que ie le voi trembler la foudre entre les mains.
PLVTON.	PLUTON.
Choiſy moy promptement ces courages d’eſlite, Enroole, en ma faueur, & Centaure, & lapithe, Et ces braues ſoldats, enfans de la terreur, Que Bellonne à nourris de carnage & d’horreur, Reueille les fureurs du vaillant Ancelade Qui deſia dans le ciel à planté leſcalade;	Choisy moi promptement ces courages d'élite, Enrôole, en ma faveur, et Centaure, et lapithe, Et ces braves soldats, enfants de la terreur, Que Bellonne à nourris de carnage et d'horreur, Reille les fureurs du vaillant Ancelade Qui déjà dans le ciel à planté lescalade;
Ne laiſſe point oiſifs ces Geans à cent mains, Fais reuture auec eux leurs courageux deſſeins, Sou fle leur dere hef la reuolte dans l’ame, Arme les de rochers, d’horreur, de fer, de flame, Et parle fort appuy d'vn bras victorieux, Ayde moy, braue fille, à monter dans les Cieux.	Ne laisse point oisifs ces Géants à cent mains, Fais reuture avec eux leurs courageux desseins, Sou le leur dere hef la révolte dans l'âme, Arme les de rochers, d'horreur, de fer, de flamme, Et parle fort appui d'un bras victorieux, Ayde moi, brave fille, à monter dans les Cieux.
RADAMANTE.	RADAMANTE.
Monarque ſouuerain de l’Empire nocturne, Amateur de la paix, digne fils de Saturne, Puis que ſous voſtre aueu ie fais agirma voix, Pour conſeruericy l’autorité des loix, Que touſiours ma ſentence eſt par vous confirmée, Que voſtre grace en vain n'eſt iamais reclamée, Et qu’en des cas diuers mes fidelles auis Ont eſté tant de fois vtilement ſuiuis;	Monarque souverain de l'Empire nocturne, Amateur de la paix, digne fils de Saturne, Puis que sous votre aveu Roi fais agirma voix, Pour conserverici l'autorité des lois, Que toujours ma sentence est par vous confirmée, Que votre grâce en vain n'est jamais réclamée, Et qu'en des cas divers mes fidèles avis Ont été tant de fois utilement suivis;
Treuuez bon que ie parle en l’affaire importante, Ou ie voy voſtre ardeur ſi prompte, & ſi bouillãte.	Treuez bon que ie parle en l'affaire importante, Ou fait vois votre ardeur si prompte, et si bouillante.
Parlez.	Parlez.
PLVTON.	PLUTON.
RADAMANTE.	RADAMANTE.
Ie ſçay, grand Dieu, qu’vn loüable deſſein, De ces bruſlans tranſports arme ainſi voſtre ſein, Et qu’il ſeroit honteux, eſtant ce que vous eſtes, De tenir plus long-temps ces iniures ſecreites;	Je sais, grand Dieu, qu'un louable dessein, De ces brûlants transports arme ainsi vôtre clin, Et qu'il serait honteux, étant ce que vous êtes, De tenir plus longtemps ces injures secrites;
Voſtre colere, enfin, à raiſon déclater, Puis que lorgueil du ciel à ce point veut monter, Quand la vangeance eſt prompte, elle en eſt plus inſigne, Car qui s’ouffre vn affront, monſtre qu’il en eſt digne.	Votre colère, enfin, à raison déclater, Puis que lorgueil du ciel à ce point veut monter, Quand la vengeance est prompte, elle en est plus insigne, Car qui s'ouffre un affront, montre qu'il en est digne.
Il vous faut vne femme, & ſans plus raiſonner, Puis qu’on vous la promiſe, on doit vous la donner.	Il vous faut une femme, et sans plus raisonner, Puis qu'on vous la promise, on doit vous la donner.
Si Iupiter y manque, & que pour ſon partage Vous luy laiſſiez le ciel, vous manquez, de courage, Pluſtoſt que de ſouffrir ce meſpris odieux, Vous deuez renuerſer & la terre & les cieux.	Si Jupiter y manque, et que pour son partage Vous lui laissiez le ciel, vous manquez, de courage, Plutôt que de souffrir ce mépris odieux, Vous devez renverser et la terre et les cieux.
Tout ſouuerain qu’il eſt ſur l’vn & l’autre pole, Il s’en declare indigne en manquant de parole, Mais, le vouloir chaſſer du celeſte ſeiour, Sur le ſimple depit que ſuggere l’amour, C’eſt ne reſpecter pas cette auguſte alliance, Qui ſeule entre vous trois nourrit l’intelligence, Et dont voſtre conſeit, auec tant aequité, A fait voir l’importance à voſtre Deité.	Tout souverain qu'il est sur l'autre et l'autre pôle, Il s'en déclare indigne en manquant de parole, Mais, le vouloir chasser du céleste séjour, Sur le simple dépit que sugère l'amour, C'est ne respecter pas cette auguste alliance, Qui seule entre vous trois nourrit l'intelligence, Et dont votre conseit, avec tant aquité, A fait voir l'importance à votre Déité.
Les feruentes ardeurs des prieres des Parques N’ont-elles pû flechir le plus doux des Monarques, Detournant vos penſers du barbare deſſein, De mettre à tout le monde vn poignard dãs le ſein?	Les ferventes ardeurs des prières des Parques N'ont-elles pu fléchir le plus doux des Monarques, Detournant vos pensers du barbare dessein, De mettre à tout le monde avait poignard dans le sein?
La nature à vos pieds par moy plaide ſa cauſe, Vous par qui ſeul commence, & finit toute choſe, Arbitre de la vie, arbitre de la mort, Faites ſur voſtre eſprit vn genereux effort, Ne donnez, point au ciel ces funeſtes alarmes, Que de iuſtes raiſons n’authoriſent vos armes:	La nature à vos pieds par moi plaide sa cause, Vous par qui seul commence, et finit toute chose, Arbitre de la vie, arbitre de la mort, Faites sur votre esprit un généreux effort, Ne donnez, point au ciel ces funestes alarmes, Que de justes raisons n'autorisent vos armes:
Touſiours la guerre iniuſte à des ſitccés honteux, Et la voſtre eſt in juſte en ſon ſujet douteux;	Toujours la guerre injuste à des sitccès honteux, Et la vôtre est in juste en son sujet douteux;
Puis que ceſt ſans ſu jet que voſtre esprit s’enflame, Lors qu’il ſe voit priué des douceurs d’vne femme.	Puis que cet sans su jet que votre esprit s'enflamme, Lors qu'il se voit privé des douceurs d'une femme.
Il eſt vray qu’vne femme eſt vn rare treſor, Et quelle à des douceurs qui vous manquent encor, Mais à qui, ſage Amant, l’aués vous demandée?	Il est vrai qu'une femme est un rare trésor, Et quelle à des douceurs qui vous manquent encor, Mais à qui, sage Amant, l'avez -vous demandée?
Qui ne la pas, des l’heure, à vos vœux accordée?	Qui ne la pas, des l'heure, à vos vœux accordée?
Ne precipitez point ces combas furieux, Vous l’obtiẽdrez bien-toſt, deput ant vers les cieux.	Ne précipitez point ces combas furieux, Vous l'obtiẽdrez bientôt, déput ant vers les cieux.
S’il en vient vnrefus, lors auec plus de gloire, Voſtre Diuinite gaignera la victoire, Armez lors, marchez lors, & ne differez point D’acheuer des proiets ou voſtre honneureſt ioint, Employés Tyſiphone, Alecton, & Megere, A punir vn Tyran, qui prend le nom de frere.	S'il en vient unrefus, lors avec plus de gloire, Votre Divinite gagnera la victoire, Armez lors, marchez lors, et ne différez point D'achever des prois ou votre honneurêt joint, Employez Tysiphone, Alecton, et Mégère, A unir un Tyran, qui prend le nom de frère.
Mais, s’il vouloit permetre à voſtre ardẽte amour, De choiſirvn party dans la celeſte cour, Comme deſia, peut-eſtre, ayant ouy vos plaintes;	Mais, s'il voulait permetre à votre arduite amour, De choisirvn parti dans la céleste cour, Comme déjà, peut-être, ayant oui vos plaintes;
Lachoſe eſt arreſtée en ſes demeures ſaintes, Quel ſuiet auriez vous de vous faſcher ſi fort, Pour vaincre auec honneur, mettez le dãs ſontort.	Lachose est arrestée en ses demeures saintes, Quel sujet auriez -vous de vous fâcher si fort, Pour vaincre avec honneur, mettez le dãs sontort.
HOITIONE, Il ne l’y met que trop, en ſe pleignant ſans ceſſe, Que l’ingrat Iupiter ne tient point ſa promeſſe.	HOITIONE, Il ne l'y met que trop, en se pleignant sans cesse, Que l'ingrat Jupiter ne tient point sa promesse.
RADAMANTE.	RADAMANTE.
Ce ſouuerain du ciel, qui par des ſoins diuers, Penſe eternellement au bien de l’vniuers, Peut faire en vninſtant tout ce qu’il ſe propoſe, Mais il peut quelqueſois differer vne choſe.	Ce souverain du ciel, qui par des soins divers, Pense éternellement au bien de l'univers, Peut faire en vninstant tout ce qu'il se propose, Mais il peut quelquesais différer une chose.
TYSIPHONE.	TYSIPHONE.
Se peut-il occuper à de plus nobles ſoins, Qu'a tenir ſa parole?	Se peut-il occuper à de plus nobles soins, Qu'a tenir sa parole?
RADAMANTE.	RADAMANTE.
Enuoyons y du moins.	Envoyons y du moins.
TYSIPHONE.	TYSIPHONE.
Y SIPHONE.	Y SIPHONE.
uoy?	uoy?
vers vn frere ingrat employer la priere?	vers un frère ingrat employer la prière?
2	2
la al a leRa inie l es Quy, touſiours la douceur doit marcher la premiere	la al à leRa inie l ' Quy, toujours la douceur doit marcher la première
PLVTON.	PLUTON.
Qu’on m’appelle Mercure, en ſemblables traittez Iu piter doit par luy ſçauoir mes volontez.	Qu'on m'appelle Mercure, en semblables traités Ju piter doit par deux sçauoir mes volontés.
Prend ce ſoin, Aſcalaphé, & qu’a ma voix diuine, Ce courier en ce lieu promptement s’achemine.	Prend ce soin, Ascalaphé, et qu'a ma voix divine, Ce courier en ce lieu promptement s'achemine.
V'eut-on que te releue, eſtant né ſouuerain, Du ſispreſme pouuoir de ce frere inhumain?	V'eut-on que te relève, étant né souverain, Du sisprême pouvoir de ce frère inhumain?
Quelque felicite que mon eſprit concoiue, Ie ne demanderien que l’ingrat ne me doiue, Rien, qu’il ne m’ait promis par accord ſolemnel, Lors que ie luy quitta y le ſceptre paternel, Pour cela ma colere auec raiſon s’enflame, Qu’il y conſenteou non, Pluton veut vne femme, Il veut que les plaiſirs d’vn reciproque amour Temperent les ennuis de ſon triſte ſeiour, Que de deux cœurs vnis les accords agreables, Adouciſſent l’enfer, & ſes cris effroyables, Souuiens-t'en jupiter, & ſonge ſeulement, Que ie puis contre toy m’animer iuſtement;	Quelque félicite que mon esprit conçoive, Je ne demanderien que l'ingrat ne me doive, Rien, qu'il ne m'ait promis par accord solennel, Lors que sans quelque quitta y le sceptre paternel, Pour cela ma colère avec raison s'enflamme, Qu'il y consenteou non, Pluton veut une femme, Il veut que les plaisirs d'un reciproque amour Tempèrent les ennuis de son triste séjour, Que de deux cœurs vnis les accords agréables, Adoucissent l'enfer, et ses l' effroyables, Su-t'en jupiter, et songe seulement, Elle eût l' en toi eanimer puisque j'
Que ie puis deſchaiſner ce vaillant briaree, Dont ta Diuinité fuſt ſi peu reuerée, Q uand les fils de la terre, entaſſantmont ſurmons Porterent la terreur iuſques deſſus ton front, Par qu’elle autorité me fais-tu cet outrage?	Que personne puis déchaîner ce vaillant briarée, Dont ta Divinité fût si peu révérée, Q and les fils de la terre, entassantmont surmons Portèrent la terreur iusques dessus ton front, Par qu'elle autorité me fais-tu cet outrage?
Dus-ie qu'tter ainſi l’honneur & le courage, Lors que ie te quittay cet Empire azuré?	Dus-je qu'tér ainsi l'honneur et le courage, Lors que tu te quittai cet Empire azuré?
Sii ay perdu le ciel, le cœur m’eſt demeuré:	Sii ai perdu le ciel, le cœur m'est demeuré:
Bien que le iour me manque en ce Palais funeſte, Ie te feray bien voir que la force me reſte, Et ie rendray teſmoins de mes coups glorieux, Ces brillantes clartés dont tu pares les Cieux.	Bien que le jour me manque en ce Palais funeste, Je te ferai bien voir que la force me reste, Et été rendrai témoins de mes coups glorieux, Ces brillantes clartés dont tu pares les Cieux.
RADAMANTE.	RADAMANTE.
Moderez pour vn temps, ces tranſports de colere, Dieu des profondes nuicts, ſage, & genereux frere, Et ne deſtachés point les Tytans de leurs fers;	Modérez pour un temps, ces transports de colère, Dieu des profondes nuits, sage, et généreux frère, Et ne destachés point les Tytants de leurs fers;
Les cieux, où l’on vous craint, auront ſoin des enfers, Et iamais le refus d’vn Hymen ſi loüable, Ne rompra de trois Dieux l’vnion venerable.	Les cieux, où l'on vous craint, auront soin des enfers, Et jamais le refus d'un Hymen si louable, Ne rompra de trois Dieux l'union vénérable.
Auant que l’œil du monde ayt acheué ſontour, Deux beaux yeux dans l'enferapporteront le iour, Et pour vous conſoler dans vos demeures ſombres, Vous iouyrés d’vn corps au milieu de tant d’ombres, Catmesaunt les vouittons à vne ſiprompte ardeur.	Avant que l'œil du monde ait achevé sontour, Deux beaux yeux dans l'enférapporteront le jour, Et pour vous consoler dans vos demeures sombres, Vous jouirez d'un corps au milieu de tant d'ombres, Catmesaunt les vouittons à une siprompte ardeur.
Iuſqu’au retour heureux de voſtre Ambaſſadeur,	Jusqu'au retour heureux de votre Ambassadeur,
PLVTON.	PLUTON.
Les traits ſom ſi puiſſans, quand l’amour les décoché,	Les traits som si puissants, quand l'amour les décoché,
ASCALAPHE.	ÀSCALAPHÉE.
Le voicy.	Le voici.
PLVTON.	PLUTON.
Qu’il approche.	Qu'il approche.
Toy, par qui ſont cognus tous les ſecrets des Dieux Commun ambaſſadeur de l’enfer & des cieux;	Toi, par qui sont connus tous les secrets des Dieux Commun ambassadeur de l'enfer et des cieux;
Qui ſeul pouuant ſortir de ces voutes profondes, Entretiens le commerce en nos differens mondes:	Qui seul pouuant sortir de ces voutes profondes, Entretiens le commerce en nos différents mondes:
