Suivant la Copie imprimée A PARIS,	Suivant la Copie imprimée A PARIS,
vez reduits dans l’impuiſſance de vous loüer.	vez réduits dans l'impuissance de vous louer.
Tout ce que vous faites eſt ſi grand, qu’on ne ſçauroit concevoir d’Eloges aſſez forts pour y répondre, Il n’y a que vous ſeul qui vous puiſſiez ſuffire à vous meſme, par les reflections interieures que vous ne vous ſçauriez quelquefois diſpenſer de faire ſur vous.	Tout ce que vous faites est si grand, qu'on ne saurait concevoir d'Éloges assez forts pour y répondre, Il n'y a que vous seul qui vous puissiez suffire à vous même, par les réflèctions intérieures que vous ne vous sauriez quelquefois dispenser de faire sur vous.
Un coup d’œil vous y découvre en un moment ce que nous tâcherions en vain d’exprimer par tout ce que la plus ſubtile éloquence a d’induſtrieux.	Un coup d'œil vous y découvre en un moment ce que nous tâcherions en vain d'exprimer par tout ce que la plus subtile éloquence a d'industrieux.
Et pour moy, qui ne ſçay qu’eſtre dans une perpetuelle admiration des miracles de voſtre vie, je ne ſçay auſſi que garder en ce rencontre un ſilence reſpectueux, ſi ce n’eſt que vous me permettiez de le rompre, pour vous aſſeurer de la profonde ſoûmiſſion avec laquelle je ſuis,	Et pour moi, qui ne sais qu'être dans une perpétuelle admiration des miracles de votre vie, je ne sais aussi que garder en ce rencontre un silence respectueux, si ce n'est que vous me permettiez de le rompre, pour vous assurer de la profonde soumission avec laquelle je suis,
MONSEIGNEUR,	MONSEIGNEUR,
Le tres-humble, & tresobeïſſant ſerviteur,	Le très-humble, et tresobeïssant serviteur,
Extrait du Privilege du Roy.	Extrait du Privilège du Roi.
Ar Grace & Privilege du Roy, donné à I Paris le troiſiéme May 1660.	Ar Grâce et Privilège du Roi, donné à I Paris le troisième May 1660.
ſigné par le Roy en ſon Conſeil GUITONNE AU, il eſt permis à Guillaume de Luyne, de faire imprimer, vendre & debiter une Piece de Theatre, de la compoſition du Sieur Corneille, intitulé le Stilicon, pendant ſept années entieres & accomplies;	signé par le Roi en son Conseil GUITONNE AU, il est permis à Guillaume de Luyne, de faire imprimer, vendre et débiter une Pièce de Théâtre, de la composition du Sieur Corneille, intitulé le Stilico, m sept années entières et accomplies;
Et deſenſes ſon faites à tous autres de telles qualitez & couditions qu’ils ſoient, de faire imprimer ladite Piece, vendre, ny debiter, à peine de mil livres d’amende, de tous dépens, dommages & intereſts, comme il eſt plus amplement porté par leſdites Letters.	Et desenses son faites à tous autres de telles qualités et couditions qu'ils soient, de faire imprimer ladite Pièce, vendre, ni débiter, à peine de mille livres d'amende, de tous dépens, dommages et intérêts, comme il est plus amplement porté par lesdites Letters.
lEt ledit de Luyne a fait part du Privilege cy-deſſus à Auguſtin Courbé auſſi Marchand Libraire, pour en joüir ſuivant l’accord fait entre eux.	lEt ledit de Luine a fait part du Privilège cy-dessus à Augustin Courbé aussi Marchand Libraire, pour en jouir suivant l'accord fait entre eux.
Achevé d'imprimer le 16.	Achevé d'imprimer le 16.
jour d'Aouſt 1660.	jour d'Août 1660.
à Roïen, par LAURENS MAVRRY.	à Roïen, par LAURENS MAURY.
Les Exemplaires ont eſté fournis.	Les Exemplaires ont été fournis.
Rœiſtré ſur le Liere de la Commmasté des Litraires le 5.	Rœistré sur le Lière de la Commmasté des Litraires le 5.
Mſay 1660.	Msay 1660.
ACTEURS.	ACTEURS.
HONORIUS, Empereur d’Occident.	HONORIUS, Empereur d'Occident.
THERMANTIE, Imperatrice, & fille de Stilicon.	THÉRMANTIE, Impératrice, et fille de Stilicon.
PLACIDIE, Sœur d’Honorius.	PLACIDIE, Sœur d'Honorius.
STILICON, Laiſſé par Theodoſe pour Tuteur à Honorius, & devenu depuis ſon beau-pere.	STILICON, Laissé par Théodose pour Tuteur à Honorius, et devenu depuis son beau-père.
EUCHERIUS, Fils de Stilicon.	ECHÉRIUS, Fils de Stilicon.
MARCELLIN, Capitaine des Gardes.	MARCELLIN, Capitaine des Gardes.
LUCILE, Confident de Placidie.	LUCILE, Confident de Placidie.
MUTIAN, Confidente de Stilicon.	MUTIAN, Confidente de Stilicon.
Suite de l’Empereur.	Suite de l'Empereur.
La Scene eſt à Rome.	La Scène est à Rome.
STILICON, TRAGEDIE.	STILICON, TRAGÉDIE.
ACTE I.	ACTE I.
SCENE PREMIERE THERMANTIE, EUCHERIUS.	SCÈNE PREMIÈRE -THÉRMANTIE, EUCHÉRIUS.
THERMANTIE.	THÉRMANTIE.
UY, j’ay parlé, mon frere, & pour toucher ſon ame Dans le plus vif excez j’ay porté voſtrę flame, I’ay peint de ſes tranſports le confus deſeſpoir, 07 i'ay de l'Empereur meſme expliqué le pouvoir, Et contre les dédains dont vous ſouffrez l’outrage, Fait agir tout l’empire où ſon ordre m’engage;	OUI, j'ai parlé, mon frère, et pour toucher son âme Dans l' plus vif excès j'ai porté vostr âme, J'ai peint de ses transports le confus désespoir, 07 j'ai de l'Empereur même expliqué le pouvoir, Et contre les dédains dont vous souffrez l'outrage, Fait agir tout l'empire où son ordre m'engage;
Mais d’un appuy ſi fort la pleine authorité A ſemblé moins fléchir que croiſtre ſa fierté:	Mais d'un appui si fort la pleine autorité A semblé moins fléchir que croître sa fierté:
Plus j’en ay crû par là voir l’ardeur refroidie, Plus dans ſon arrogance elle s’eſt applaudie, Et mon zéle pour vous n’a fait que confirmer L’injurieux orgueil qui l’empeſche d’aimer.	Plus j'en ai cru par là voir l'ardeur refroidie, Plus dans son arrogance elle s'est applaudie, Et mon zèle pour vous n'a fait que confirmer L'injurieux orgueil qui l'empêche d'aimer.
EUCHERIUS.	EUCHÉRIUS.
Iugez mieux d’un mépris dont le Sort eſt complice, Il détruit mon eſpoir, mais il luy rend juſtice, Dans le chemin du Trône à ſa naiſſance ouvert, Placidie à ſon rang doit l’orgueil qui me perd, Et de mon ſang au ſien l’union inégale Ne luy ſçauroit ſouffrir vn choix qui la ravale.	Jugez mieux d'un mépris dont le Sort est complice, Il détruit mon espoir, mais il lui rend justice, Dans le chemin du Trône à sa naissance ouvert, Placidie à son rang doit l'orgueil qui me perd, Et de mon sang au sien l'union inégale Ne lui saurait souffrir un choix qui la ravale.
Fille de Theodoſe, & ſœur d’Honorius, Sa gloire eſt attachée à ſes juſtes refus.	Fille de Théodose, et sœur d'Honorius, Sa gloire est attachée à ses justes refus.
s’ils ont pour mon amour une rigueur inſigne, La faute en eſt au Ciel qui m’en fit naiſtre digne, Et quelques rudes maux qu’il m'en faille ſentir, Je puis en ſoûpirer, mais j’y dois conſentir.	s'ils ont pour mon amour une rigueur insigne, La faute en est au Ciel qui m'en fit naître digne, Et quelques rudes maux qu'il m'en faille sentir, Je puis en soupirer, mais j'y dois consentir.
THERMANTIE.	THÉRMANTIE.
Quoy?	Quoi?
vous confentirez qu’un traitement ſi rude Aſſeure un plein triomphe à ſon ingratitude, Et que de vos ſoûpirs l’hommage rejetté Par trop de difference enfle ſa vanité?	vous consentirez qu'un traitement si rude Assure un plein triomphe à son ingratitude, Et que de vos soupirs l'hommage rejetté Par trop de différence enfle sa vanité?
Nou, non, mon frere, non, c’eſt trop faire l’eſclave, Il eſt temps de braver la fierté qui vous brave, Montrez ſous ſes dédains un cœur moins abatu, Elle a de la naiſſance, & vous de la vertu;	No, non, mon frère, non, c'est trop faire l'esclave, Il est temps de braver la fierté qui vous brave, Montrez sous ses dédains un cœur moins abattu, Elle a de la naissance, et vous de la vertu;
Et de quoy que la flate un peu trop d’arrogance, Un ſeul degré peut-eſtre en fait la difference.	Et de quoi que la flatte un peu trop d'arrogance, Un seul degré peut-être en fait la différence.
Voſtre deſtin du ſien peut-il mieux s’approcher?	Votre destin du sien peut-il mieux s'approcher?
̀.	§.
Elle naſquit au Trône où je vous fais toucher;	Elle nasquit au Trône où je vous fais toucher;
Le fils de Stilicon la feroit peu deſcendre Aprés que l’Empereur s’eſt fait deux fois ſon gendre, Et tout autre que vous ſe montreroit plus vain Du rang d’Imperatrice où m’éleve ſa main.	Le fils de Stilicon la ferait peu descendre Après que l'Empereur s'est fait deux fois son gendre, Et tout autre que vous se montrerait plus vain Du rang d'Impératrice où m'élève sa main.
D’un titre ſi brillant ſoûtenez mieux la gloire, Le plus foible combat vous offre la victoire, Et vangeant par l’oubly voſtre amour negligé Briſe les fers honteux dont vous eſtes chargé.	D'un titre si brillant soutenez mieux la gloire, Le plus faible combat vous offre la victoire, Et vengeant par l'oubli votre amour négligé Brise les fers honteux dont vous êtes chargé.
EUCHERIUS.	EUCHÉRIUS.
Ah, Madame, ie ſçay qu’en de ſi rudes peines C’eſt par le ſeul oubly qu’on peut rompre ſes chaines;	Ah, Madame, Seigneur sais qu'en de si rudes peines C'est par le seul oubli qu'on peut rompre ses chaines;
Mais lors qu’un vray merite en a formé les nœuds, Un cœur n’eſt pas long-:	Mais lors qu'un vrai mérite en a formé les nœuds, Un cœur n'est pas long-:
emps le maiſtre deſes vœux.	emps le maître des vœux.
De l’éclat de ſon choix l’ame préoccupée S’offre ſans ceſſe aux traits qui d’abord l’ont frapée, Et par ſa complaiſance à nourrir ſon erreur, Ouvre aux ſens une voye à ſeduire ce cœur.	De l'éclat de son choix l'âme préoccupée S'offre sans cesse aux traits qui d'abord l'ont frappée, Et par sa complaisance à nourrir son erreur, Ouvre aux sens une voie à séduire ce cœur.
Comme par la raiſon leur rapport s’authoriſe, D’une aimable impoſture il aime la ſurpriſe, Et d’un trouble inquiet goûtant le faux appas, Cede à mille tranſports qu’il n’examine paz;	Comme par la raison leur rapport s'autorise, D'une aimable imposture il aime la surprise, Et d'un trouble inquiet goûtant le faux apports, Cède à mille transports qu'il n'examine pays;
C’eſt par là qu’à ſoy-meſme il ſe rend infidelle, Et quand à la revolte un fer mépris l’arpelle;	C'est par là qu'à soi-même il se rend infidèle, Et quand à la révolte un fer mépris l'arpelle;
4 En vain à ſon ſecours on tâche d’animer Cette meſme raiſon qui luy permit d’aimer;	4 En vain à son secours on tâche d'animer Cette même raison qui était permit d'aimer;
Ce qu’elle eut de pouvoir pour flater ſon martyre Se trouve aſſujety ſous un plus fort empire, Et l’Amour qu’elle crût toûjours accompagner Se montre le tyran de qui le fit regner;	Ce qu'elle eut de pouvoir pour flatter son martyre Se trouve assujet sous un plus fort empire, Et l'Amour qu'elle crût toujours accompagner Se montre le tyran de qui le fit régner;
De ſes flames alors on a beau fuïr l’amorce;	De ses flammes alors on a beau fuir l'amorce;
On aima par ſurpriſe, il faut aimer par force, Et quoy que l’on en ſouffre, abandonner ſes jours A la neceſſité de ſoûpirer toûjours.	On aima par surprise, il faut aimer par force, Et quoi que l'on en souffre, abandonner ses jours A la nécessité de soupirer toujours.
THERMANTIE.	THÉRMANTIE.
Je connoy quel eſpoir à ſouffrir vous engage, Honorius pour vous doit tout mettre en uſage;	Je connais quel espoir à souffrir vous engage, Honorius pour vous doit tout mettre en usage;
Mais ſi ce grand ſecours déja par moy tenté N’a peu de la Princeſle eſtonner la fierté, Qu’eſperez-vous que faſſe une attaque nouvelle Que l’aigrir contre vous, & l’Empereur contre elle?	Mais si ce grand secours déjà par moi tenté N'a peu de la Princesle étonner la fierté, Qu'espérez-vous que fasse une attaque nouvelle Que l'aigrir contre vous, et l'Empereur contre elle?
D’un volontaire choix l’Amour aime à s’offrir, Et s’il regne par force, il n’en ſçauroit ſonffrir.	D'un volontaire choix l'Amour aime à s'offrir, Et s'il règne par force, il n'en saurait sonffrir.
UCHERIUS.	UCHÉRIUS.
Auſii ne croyez pas que le mien, quoy qu'extréme, Vouluſt pour triompher employer que ſoy-meſme, Et que faiſant agir un pouvoir ſouverain, Quand le cœur ſe refuſe, il acceptaſt la main.	Ausi ne croyez pas que le mien, quoi qu'extrême, Voulust pour triompher employer que soi-même, Et que faisant agir un pouvoir souverain, Quand le cœur se refuse, il acceptât la main.
Placidie eſt pour moy le ſeul objet aimable, Mais d’un effort illuſtre on voit l’Amour capable, Et puis qu’un Trône ſeul a dequoy la charmer, Les effeis feront voir ſije ſçay hien aimer,	Placidie est pour moi le seul objet aimable, Mais d'un effort illustre on voit l'Amour capable, Et puis qu'un Trône seul a dequoy la charmer, Les effis feront voir sije sais hien aimer,
THERMANTIE.	THÉRMANTIE.
Souvent le deſeſpoir va plus loin qu’on ne penſe.	Souvent le désespoir va plus loin qu'on ne pense.
EUCHERIUS.	EUCHÉRIUS.
Non, ſi de l’Empereur.	Non, si de l'Empereur.
LL	LL
THERMANTIE.	THÉRMANTIE.
Le yoicy qui s’avance, Parlez, voſtre deſſein luy doit eſtre connu.	Le yoici qui s'avance, Parlez, votre dessein lui doit être connu.
SCE	SCE
SCENE II.	SCÈNE II.
HONORIUS, THERMANTIE, EUCHERIUS, MARCELLIN.	HONORIUS, THÉRMANTIE, EUCHÉRIUS, MARCELLIN.
HONORIUS.	HONORIUS.
T bien, Madame, enfin qu’avez-vous obtenu?	T bien, Madame, enfin qu'avez-vous obtenu?
Vaincrons nous cet orgueil dont l’indigne manie Aux vœux d’Eucherius refuſe Placidie?	Vaincrons nous cet orgueil dont l'indigne manie Aux vœux d'Eucherius refuse Placidie?
Se rend-elle moins fiere?	Se rend-elle moins fière?
en viendrons-nous à bout ?	en viendrons-nous à bout ?
THERMANTIE.	THÉRMANTIE.
Seigneur, pour la fléchir je viens d’employer tout;	Seigneur, pour la fléchir je viens d'employer tout;
Mais de ſon cœur altier l’audace temeraire Craint peu par ſes refus d’aigrir voſtre colere, Et dans l’orgueil ſecret qui ſemble l’animer, Ie plains Eucherius s’il ne ceſſe d’aimer.	Mais de son cœur altier l'audace téméraire Craint peu par ses refus d'aigrir votre colère, Et dans l'orgueil secret qui semble l'animer, Je plains Éucherius s'il ne cesse d'aimer.
HONORIUS.	HONORIUS.
Quoy?	Quoi?
l’inégal dehors d’un peu plus de naiſſance Peut à tant de fierté porter ſon arrogance, Et l’éclat que ſur luy me faveur fait tomber A de ſi durs mépris ne le peut dérober?	l'inégal dehors d'un peu plus de naissance Peut à tant de fierté porter son arrogance, Et l'éclat que sur lu me faveur fait tomber A de si durs mépris ne le peut dérober?
Nous verrons, puis que’enfin elle veut m'y contraindre, Si qui m’oſe braver peut n’avoir rien à craindre, Et ſi, quand voſtre amour a merité ma foy, Mon exemple eſt pour elle une honteuſe loy.	Nous verrons, puis que pour elle veut m'y contraindre, Si qui m'ose braver peut n'avoir rien à craindre, Et si, quand votre amour à mérité ma foi, Mon exemple est pour elle une honteuse loi.
Qu’on la faſſe venir.	Qu'on la fasse venir.
Marcellin ſors.	Marcellin sors.
EUCHERIUS.	EUCHÉRIUS.
Ah, que voulez vous faire, Seigneur?	Ah, que voulez -vous faire, Seigneur?
je ne ſuis plus vn amant temeraire, Et de voſtre faveur le glorieux ſoûtien M'offre en vain une gloire où je ne pretens rien, Ma raiſon ſur mes ſens a repris ſon empire, Et dans l’heureux projet qu’à ma flame elle inſpire, Loin que de ſon ardeur j’oſe attendre aueun fruit.	je ne suis plus un amant téméraire, Et de votre faveur le glorieux soutien M'offre en vain une gloire où je ne prétends rien, Ma raison sur mes sens a repris son empire, Et dans l'heureux projet qu'à ma flamme elle inspire, Loin que de son ardeur j'ose attendre aveun fruit.
HONORIUS.	HONORIUS.
Non, non, Eucherius, ta vertu te ſéduit, Et veut que je m’oppoſe à l’effort magnanime, Qui d’un refus trop fier jette ſur toy le crime.	Non, non, Eucherius, ta vertu te séduit, Et veut que je m'oppose à l'effort magnanime, Qui d'un refus trop fier jette sur toi le crime.
I’authoriſay ton choix, & pour le maintenir, Ie dois vaincre l’orgueil qui cherche à t’en punir.	J'autorisai ton choix, et pour le maintenir, Je dois vaincre l'orgueil qui cherche à t'en punir.
EUCHERIUS.	EUCHÉRIUS.
Non, Seigneur, mon amour avoit trop d’injuſticeSouffrez-en à ma gloire un noble ſacrifice, Et que l’empreſſement d’en rehauſſer l’éclat L’immole tout entier au repos de l’Eſtat.	Non, Seigneur, mon amour avait trop d'injusticeSouffrez-en à ma gloire un noble sacrifice, Et que l'empressement d'en rehausser l'éclat L'immole tout entier au repos de l'État.
Aprés tant de combats dont les triſtes alarmes Tiennent Rome inquiete, & l’Italie en armes, Le ſuperbe Alaric formant d’autres projets, Cherche voſtre alliance, & demande la Paix.	Après tant de combats dont les tristes alarmes Tiennent Rome inquiète, et l'Italie en armes, Le superbe Alaric formant d'autres projets, Cherche votre alliance, et demande la Paix.
