A MONSIEUR DE BVSEROY	À MONSIEUR DE BUSEROY
ELLE Iulie aumoins jermetez moy la plainte, Mon mal eſt trop ſenſible & vous devez ſoufrit.	ELLE Iulie aumoins jermetez moi la plainte, Mon mal est trop sensible et vous devez souffit.
prés une ſi prompte, & ſi cruelle atteinteQue mon cœur puiſſe ſans contrainte S’en prendre à qui le fait mourir.	prés une si prompte, et si cruelle atteinte mon cœur puisse sans contrainte S'en prendre à qui le fait mourir.
LORINE.	LORINE.
Mourir!	Mourir!
O que vous cour re Il eſt bon d’alet preſten ent, Quand on cherche un bon Iout ment, Mais la biere eſt un vilain gitet ſi vous' en pr eniez mon perit ſentiment ous ne vous feriez point un ſi cruel tourment i changement ſubit de ſon pere Getonte.	Ô que vous cour re Il est bon d'alet prêten ent, Quand on cherche un bon Iout ment, Mais la bête est un vilain gitet si vous en pr eneziez mon périt sentiment ous ne vous feriez point un si cruel tourment j' changement sujet de son père Gémetonte.
oy ACASTE.	oi ACASTE.
DORINE.	DORINE.
Ie ſçayt ſi lon croit voſtre reſſentiment il n’a n’y cœur n’y ſeusn’y foi n’v loi nihonte De donner à ſa Filie un ndicule amant.	Je sais si lon croit votre ressentiment il n'a n'y cœur n'y seun'y faite n’ si lois nihonte De donner à sa Filie un nédicule amant.
Se pouvant allier Plus honorablement Mais c’eſt un viel bouru quijn’aime que ſon& te Vn ladre s’il en fut jamais.	Se pouvant allier Plus honorablement Mais c'est un viel bouru quijn’aime que son te ladre il en fut jamais.
Ie vous de mande excuſe mais.	Je vous de mande excuse mais.
IVLIE.	IVLIE.
Tout doux Dorine.	Tout doux Dorine.
DORINE Non Madame, Ne mędeffendez point s’il vous plaiſt de paſſ Ne voyez vous pas bien que c’eſt pour cont Voſtre Amant qui va rendre l'ame.	DORINE Non Madame, Ne mędeffendez point s'il vous plaît de pass Ne voyez us pas bien que c'est pour cont Otre Amant qui va rendre l'âme.
I’ay ouy dire toujours pour remettre leſpaſt De ceux qu’un accident attriſte Qu’il faut ſuivre leur meſme piſEt copier ſur eux tout ce qu'on fair & dit Ie regle la deſſus mon Roole, Et quand de voſtre pele il meſdit tout ſe	J'ai ouï dire toujours pour remettre lespast De ceux qu'un accident attriste Qu'il faut suivre leur même pisEt copier sur eux tout ce qu'on fair et dit Je règle la dessus mon Roole, Et quand de votre pèle il médit tout se
IVLIE.	IVLIE.
Il faut que tu faſſe la fole ?	Il faut que tu fasse la sole ?
DORINE.	DORINE.
He!	He!
ouy vrayment puis qu’il eſt te	oui vraiment puis qu'il est te
ACASTE.	ACACSTE.
En quoi vois-tu que j'extravagas me plains de ſa rigeur!	En quoi vois-tu que j'extravagas me plains de sa rigeur!
DORINE.	DORINE.
En ce que vous allez comme coureur de bi C pous emporte la douleur, An liéu d’examiner s’il n’eſt point de reſoD'adreſſe d’eſprit ou de bource, Dont vous puiſſiez vous faire avec un pe Vne ent ée à vôtre bon-heur	En ce que vous allez comme coureur de by Ç ous emporte la douleur, An liéu d'examiner s'il n'est point de résoD'adresse d'esprit ou de bource, Dont vous puissiez vous faire avec un pe Vne ent ée à votre bonheur
ACASTE.	ACACSTE.
Helas Dornel, helas!	Hélas Dornel, hélas!
Les cruelles diſg Où ie vois mon amour reduit Me font eſperer peu de fruit.	Les cruelles disg Où ici vois mon amour réduit Me font espérer peu de fruit.
LORINE.	LORINE.
maces Moy j'eſpere encor moins de toutes vos griDe quoy ſervent tous ces helas, Ces tournoyemens d'yeux, ces croiſemens de P'enſez-vous attendeir le Perc de Iulie bras Par vôtre ton de Ieremie!	maces Moi j'espère encor moins de toutes vos griDe quoi servent tous ces hélas, Ces tournoyemens d'yeux, ces croisements de P'ensez-vous attendéir le Perc de Julie bras Par votre ton de Jérémie!
V us chantez quelque fois & chantez aſſezbien C’eſt peuteſtre par là que pour vous on ineline, Mus pour mettre dehots le mal qui vous chaLa clef de B mol ne vaut rien (grine Chachez de voſtre eſprit cette indigue foibleſſe	V us chantez quelque fois et chantez assezbien C'est peutestre par là que pour vous on ineline, Mus pour mettre dehots le mal qui vous chaLa clef de B mol ne vaut rien (grine Chachez de votre esprit cette indigue faiblesse
ACASTE.	ACACSTE.
morue ne me ulame plus, Ie vay faire connoiſtre à ma belle maitreſſe Que i’ay du m ins autant de cœur que de tendreſſe Et ſans me conſumer en regrets ſuperflus, Si ce fier concurent que Geronte careſſe Eſt en ville & fait voir des deſirs reſolus Par mon eſpée & mon adreſſe Ie tireray raiſon de ce cruel re ſus, Ie vais à ce rival en l’ardeùr qui me preſſe Di e deux mots de Eens raſſis Et s’il n’y repond pas ſa nont.	morue ne me ulme plus, Je vais faire connaître à ma belle maîtresse Que j'ai du m ens autant de cœur que de tendresse Et sans me consumer en regrets superflus, Si ce fier conçurent que Geronte caresse Est en ville et fait voir dés désirs résolus Par mon épée et mon adresse Je tirerai raison de ce cruel re sus, Je vais à ce rival en l'arder qui me presse Di e deux rassis de Eens rassis Et s'il n'y répond pas sa nont.
DORINE.	DORINE.
ne fume tis.	ne fume tis.
Il va faire malheur, retenez lé Madame.	Il va faire malheur, retenez lé Madame.
IVLIE.	IVLIE.
Non Acaſte, c’eſt mal me prouver voſtre flame Que daller espoſer vos jouis contre un brutal.	Non Acaste, c'est mal me prouver votre flamme Que daller époser vos jouis contre un brutal.
D'ailleurs je ne croy pas que l’indige nval Qu’injuſſement on vous prefere, Soit hommeàmeſurer le fer avec que vous faiC’eſt un ruſtre achevé dont la peus grande aſFut de ſerrer l’argent que luy laiſſa ſon peie Et culuiver chez luy des raves & des chouz Vous en triompheriez avec bien peu de gloir	D'ailleurs je ne crois pas que l'indige nal Qu'injussement on vous préfère, Soit hommeàmesurer le fer avec que vous faitC'est un rustre achevé dont la pus grande asFut de serrer l'argent que sans laissa son péie Et culier chezyeux des raves et des chouz Vous en triompheriez avec bien peu de gloir
ACASTE.	ACACSTE.
Que reſoudray-je donc?	Que résoudrai-je donc?
DORINE.	DORINE.
Seivez-vous du grimoire (c2 Prenez-un cœur de veau, uu pot neuf & de Deux teſtes de Coroeau, le ſang de trois hibos Faites un Saupiquer de toute cette hiſtoue Rempliſlez-en un creux.	Seivez-vous du grimoire (c2 Prenez-un cœur de veau, u pot neuf et de Deux têtes de Coroeau, le sang de trois hibos Faites un Saupiquer de toute cette histoue Remplislez-en un creux.
IVLIE.	IVLIE.
Dorine taiſez-vous.	Dorine taisez-vous.
Ce n’eſt n’y par le ſang ny l'art de la magie Qu’il faut que d’un rel coup on detourne l'eſt Ie ne pourrois jamais d’un eſprit ſatisf ait Scavoir ſon cœur caché ny voir ſa main rou La ruſe en ce rencontre eſt bien mieux uu fait.	Ce n'est n'y par le sang ni l'art de la magie Qu'il faut que d'un rel coup on détourne l'est Je ne pourrais jamais d'un esprit satisfait ait Savoir son cœur caché ainsi voir sa main rou La ruse en ce rencontre est bien mieux u fait.
DORINE Ah, Madame, ma foy ie penſe ſans bougie Avoir trouve l’invention De tirer voſtre Amant de cette affliction Qui le tient comme en l’étargie, Et i’en donnerois caution.	DORINE Ah, Madame, ma foi votre pense sans bougie Avoir trouve l'invention De tirer votre Amant de cette affliction Qui le tient comme en l'étargie, Et j'en donnerais caution.
Pourveu qu’adroitement la choſe ſoit reg Vous-meſme y trouverez du divertiſſemeni, Es quand vous la ſçaurez ie ferois bien ſeſ D'en avoir voſtre Apologie.	Pourvu qu'adroitement la chose soit reg Vous-même y trouverez du divertissemeni, Es quand vous la saurez ici ferais bien ses D'en avoir vôtre Apologie.
Geronte s’y verra dupé tres finement, Voſtre rival aura ſon congé ſeurement, Et pour croiſtre avec vous ſa gencalogie Monſieur de voſtre Perę aura couſentement.	Géronte s'y verra dupé très finement, Votre rival aura son congé sûrement, Et pour croître avec vous sa gencalogie Monsieur de votre Per aura cousentement.
Mais ie n’en diray rien que Monfieur de ſagraæ Ne nous chante un air qu’il a fait Sur cette facheuſe diſgrace.	Mais ici n'en dirai rien que Monfieur de sagraæ Ne nous chante un air qu'il a fait Sur cette fâcheuse disgrâce.
IVLIE.	IVLIE.
Qui te l’adit?	Qui te l'adit?
DORINE.	DORINE.
C’eſt ſon valet.	C'est son valet.
Dés hier quand il apriſt cette triſte occurencSa verve poetique auſſi-toſt s’en meſla Et la muſique apres en regla la cadence.	Dès hier quand il apprît cette triste occurencSa verve poétique aussitôt s'en mêla Et la musique après en ra la cadence.
IVLIE.	IVLIE.
Ah!	Ah!
Vrayemene ie m’enfais un plaiſir par avãcAcaſte ſans façon chantez moy cet ait là.	Vrayemene cela m'enfais un plaisir par avancAcaste sans façon chantez moi cet ait là.
DORINE.	DORINE.
Madame un de ces gens qui l’attend dans la A qui i ay parlé ce matin En ſçait la baſſe continue.	Madame un de ces gens qui l'attend dans la À qui j' ai parlé ce matin En sait la basse continue.
Ie men vais l’eppeller?	Je men vais l'épeler?
I ruë, 2	I rue, 2
IVLIE.	IVLIE.
Fais.	Fais.
ACASTE.	ACACSTE.
Mais à quel deſſein En l'etat ou ie ſuis puis-je chanter Madame?	Mais à quel dessein En l'état où je suis puis-je chanter Madame?
DORINE.	DORINE.
Allez vous prendre encor voſtre premiere gâme Ie vats appeller Ioly-cœur, Si vous ne chante pas ie renferme en moname L’iuvention qui peut farre voſtre bonheur,	Allez -vous prendre encor vôtre première gâme Je vats appeler Joli-cœur, Si vous ne chante pas quelque renferme en moname L'ivention qui peut sarre votre bonheur,
IVLIE.	IVLIE.
Faut-il vous prier d'avantage?	Faut-il vous prier d'avantage?
,	,
ACASTE.	ACACSTE.
Aprelle, ie me rends.	Aprelle, Seigneur me rends.
DORINE	DORINE
Ma foy vous eſtes ſa Deux mots de plus i'ellois me mettre en couroux.	Ma foi vous êtes sa Deux mots de plus j'elle me mettre en courroux.
Que ie n'aurois iamais rienentrepris pour vi Ioly-cœur riens icy ton maiſtre te demande;	Que personne n'aurais jamais rienentrepris pour vi Oli-cœur riens ici ton maître te demande;
SCENE II.	SCÈNE II.
IOLY-COEVR, ACASTE, Ivur DORINE.	JOLI-COEUR, ACASTE, Ivr DORINE.
ACASTE á Iulie.	ACACSTE Iulie.
Mets-toy la, ie ſuis voſtre des Mais vous aurez peu de plaiſir, D’une complaiſ.	Mets-toi la, je suis votre des Mais vous aurez peu de plaisir, D'une complais.
nce ſi graude.	née si graude.
Doune moy le ton pour cer Air.	Doune moi le ton pour cer Air.
Que nous chamions enſemble hien	Que nous chamions ensemble hien
DORINE.	DORINE.
Ne rechignez point tant vous bruſlez qu l'enttnd.	Ne rechignez point tant vous brûlez qu 'enttnd.
Chanſon.	Chanson.
ACASTE.	ACACSTE.
Deſeſperons-nous Le trepas eſt bien doux Quand on perd ce qu’on aims Montrons par-la noſtre tendreſſe extren Et confirmons aux yeux de tous Ou il n’en n’eſt point de meſme, Deſeſperons-nous, &c.	Désespérons-nous Le trépas est bien doux Quand on perds ce qu'on aim Montrons a-la notre tendresse extren Et confirmons aux yeux de tous Ou il n'en n'est point de même, Désespérons-nous, etc.
IVLIE.	IVLIE.
On ne peut rien de plus galaSi votte amous ſeade cſ anſt violex Que cette Chançon la l'explique.	On ne peut rien de plus galaSi votte amous seade cs ans violex Que cette Chançon la l'explique.
DORINE Vous aprendrez de luy volontiers la muſique, Hen ?	DORINE Vous apprendrez de Seigneur volontiers la musique, Hen ?
IVLIE.	IVLIE.
Parle ton à vous?	Parle ton à vous?
Ne vous tairez-vous point ?	Ne vous tairez-vous point ?
DORINE.	DORINE.
Et taiſez-vous vous meſme, Et ne degui ez poiut contre moy du couroux.	Et taisez-vous vous -même, Et ne dégui ez poiut contre moi du courroux.
Sçavez-vous mieux que moy ce que vaut un époux Qui chante ſur le ton d’une femmequ’il aime!	Savez-vous mieux que moi ce que vaut un époux Qui chante sur le ton d'une femmequ'il aime!
Quand deux cœurs ſont unis d’une rendreſſe extteme, Madame, le cencert a des aecords bien doux Mais ecoutez tous deux quel eſt mon ſtratageſme 1 Voſtre Pere n’a pas les yeux Les plus clairs voyans de ces lieux, Et n’a point encor veu se gendre Qu’il vous veut donner.	Quand deux cœurs sont unis d'une rendresse extême, Madame, le cencert a des aecords bien doux Mais écoutez tous deux quel est mon stratagème 1 Votre Père n'a pas les yeux Les plus clairs voyants de ces lieux, Et n'a point encor vu se gendre Qu'il vous veut donner.
IVLIE.	IVLIE.
Non.	Non.
2	2
DORINE.	DORINE.
Taut mieux, Il ſera plus aiſé pour voſtre am ant de prendre La figure de ce magot.	Taut mieux, Il sera plus aisé pour votre am ant de prendre La figure de ce magot.
Et copier en tout ce quil ade plus ſot, Vous voyé bien par la le chemin & la ronte.	Et copier en tout ce quil ade plus sot, Vous voyé bien par la le chemin et la ronte.
Qu’il faut que vous ſuiviez pour f uſtrer cepalo?	Qu'il faut que vous suiviez pour f ûtrer cepalo?
Vous n’avez pas beſoin qu’on vous l’explique toute.	Vous n'avez pas besoin qu'on vous l'explique toute.
Si le bon homme s’en degouſte, On l’éclaircira dun ſeul mot, S’il le veut avoir quoy qu’il coute Nous pouſſerons uoſtre complot.	Si le bon homme s'en dégoute, On l'éclaircira dun seul mot, S'il le veut avoir quoi qu'il coute Nous pousserons uostre complot.
ACASTE.	ACACSTE.
Ie ne vois pas icy qu’il ſoit bien neceſſaire Qu’un tel deguiſement s'execute par moy, Le moindre de mes gens peut bien le cout faire, Cependaut j appuyray l’intrigue avecque toy	Je ne vois pas ici qu'il soit bien nécessaire Qu'un tel déguisement s'exécute par moi, Le moindre de mes gens peut bien le coût faire, Cependaut j' appuyray l'intrigue avec toi
DORINE.	DORINE.
Allez donc donner ordre á cette maſcarade Et voir au meſſager comme il ſera baſty.	Allez donc donner ordre ★ cette mascarade Et voir au messager comme il sera bâti.
Car du jour qu’on écrit qu’il doit eſtre parn D heure enheuré on at end cet animal maul	Car du jour qu'on écrit qu'il doit être parn D heure enheuré on at end cet animal maul
ACASTE.	ACACSTE.
I’ay tant d'habits chez-moy de bals & de bais Que des que i’auray veu comme il eſt aſtuit Sur l'heute un de mes gens pour luy fatea Sera comme luy traveſty.	J'ai tant d'habits chez-moi de bals et de bais Que des que j'aurai vu comme il est astuit Sur l'hute un de mes gens pour quelque fateà Sera comme quelques travesti.
quad Mais adieu charmante Inſie, Il ne faut point perdie de temps	Quad Mais adieu charmante Insi, Il ne faut point perdie de temps
DORINE.	DORINE.
Non vrayement vous feriez folie, Sortez vite, voicy Geronte que i’entends	Non vraiment vous feriez folie, Sortez vite, voici Geronte que j'entends
SCENE III.	SCÈNE III.
GERONTE, IVLIE, DORINE GERONTE.	GÉRONTE, IVLIE, DORINE GÉRONTE.
Mres toy ſur le bon pied marM.	Mres toi sur le bon pied marM.
Crilpin mon gendre arrivera dans pes C’eſt un homme qui va relever ma famille Et ſur ſon revenu tu peux joüer beau jeu, a recieil lac dee se du f.	Crilpin mon gendre arrivera dans pes C'est un homme qui va relever ma famille Et sur son revenu tu peux jouer beau jeu, a reçieil lac dee se du f.
a Quand narure nous eſt ingrate, Peduc tion on luy fait un ſourien, La beauté bien ſouvent n’eſt quune vertu plate Enda grande vertu d'apreſent c’eſt le bieu.	a Quand narre nous est ingrate, Péduc ion on avait fait un sourien, La beauté bien souvent n'est quune vertu plate Enda grande vertu d'aprèsent c'est le bieu.
Comme il en a beaucoup cetre union me flate, Et tu dois n’avoir pas d’autre but que le mien, Va donc te preparer pour ce riche Himenée, Moyie vay de ma part faire tout agenſer, Mander des Violons, car dans cetre journée, le veux me rejoüis & peut-eſtre dancer.	Comme il en a beaucoup cetre union me flatte, Et tu dois n'avoir pas d'autre but que le mien, Va donc te préparer pour ce riche Hyménée, Moyie vay de ma part faire tout agentser, Mander des Violons, car dans cetre journée, le veux me réjouis et peut-être dancer.
DORINE.	DORINE.
Suivez voſtre Pere Madame, Jattendez point icy l’abord de ce pied plat Trayement l’enteds que lquun deſtallez ſur mon duie.	Suivez votre Père Madame, Jattendez point ici l'abord de ce pied plat Traiement l'enteds que lquun destalés sur mon duie.
C’eſt peut-eſtre deja ce fat.	C'est peut-être déjà ce fat.
SCENE IV.	SCÈNE IV.
CRISPIN.	CRISPIN.
ſeul	seul
Race aux ſoins des chevaux qui m'out démis l’Echine.	Race aux soins des chevaux qui m'out démis l'Échine.
Tout briſé i'artive à la cour:	Tout brisé j'artive à la cour:
De vois je quittet ma Quiſme Mon celier ma baſſe Cour, Pour chercher autre pait ce qu’avoic ma voiſine Non, mais la daſte eſt faue il la faut boirc, Le meilleur eſt do nous cu taire, Peut-eſtre au ſon des Violons.	De vois je quittet ma Quisme Mon celier ma basse Cour, Pour chercher autre paît ce qu'avoic ma voisine Non, mais la dâte est fave il la faut boirc, Le meilleur est do nous cv taire, Peut-être au son des Violons.
I'en viens prendre une, belle paire.	J'en viens prendre une, belle paire.
Quoy qu’il en ſoit, rętolvole nous.	Quo qu’il en soit, rętolvole nous.
Immatrieule par ma Mere.	Imatrieule par ma Mère.
Mais apropos, ie viens icy faire l amour.	Mais appropos, Seigneur viens ici faire l amour.
Et l’on m’a dit qu’aupres de ma pron Ce qui n’eſtoit pas doux ne leroit pas de miſe Exerçons-nous donc en ce jour, A luy faire un diſcours ſucculent & ſi tendiQu'en cas qu’ell-vouluſt par replique à ſon to Vn ſemb.	Et l'on m'a dit qu'auprès de ma pron Ce qui n'était pas doux ne lerait pas de mise Exerçons-nous donc en ce jour, A lui faire un discours succulent et si tendiQu'en cas qu'elle-voulût par réplique à son to Un semb.
ble regal me rendre, Elle ne puiſle l’entreprendre Sans me devoir bien du retout.	blé régal me rendre, Elle ne puisle l'entreprendre Sans me devoir bien du retout.
Suave & claite malvoiſie, Euiſant ſucre-candy, caſſonnade d’amour.	Suave et claite malvoisie, Euisant sucre-candi, cassonnade d'amour.
Orange qui n'eſt point moiſie, Belle tarte ſortant du four, Lait caille tourné ſaus Preſure!	Orange qui n'est point moisie, Belle tarte sortant du four, Lait caille tourné sa Presure!
Vous royez un Amant arrivé d’aſſez loin Qui va ſe fondre en confiture, A moins que vous ſoyez de nature plus d A prendre ſucre que le coin.	Vous royez un Amant arrivé d'assez loin Qui va se fondre en confiture, À moins que vous soyez de nature plus d A prendre sucre que le coin.
Cela ne va pas mal & pareille harangua Ou de moi je preſume trop Ne doit mettre que du ſirop.	Cela ne va pas mal et pareille harangua Ou de moi je présume trop Ne doit mettre que du sirop.
Pour nous ſuz le bout de la languét Mais que vois-je ici prés?	Pour nous suz le bout de la languêt Mais que vois-je ici près?
le cœur me bar d'e Si ie n’eſtois icy ie dirois que c’eſt mor.	le cœur me bar d'e Si ici n'étais ici ici dirais que c'est mór.
ſe	se
SCENE V TVRLIN CRISPIN TVRLIN.	SCÈNE V TURLIN CRISPIN TURLIN.
On, je voy par ces mots qu’il manque Courage, Pour le deſonſer imions luy cualqne trait:	On, je vois par ces mots qu'il manque Courage, Pour le désonser imions vertu cualqne trait:
Ft de coupe redoublez appuquez à ſouhait, Ob igeous-lé a plier bagage.	Ft de coupe redoublés appuquez à souhait, Ob igeous-lé a plier bagage.
CRISPN.	CRISPN.
Il a ma foy de moy juſqu au moindre equipage;	Il a ma foi de moi jusqu' au moindre équipage;
Seront-ce poins icy de ſes Hapelopius, Qui ſe fout vos voiſins, vos amis, vos con ſins, Et ſ’oue couleur de parentage Donnent pretexte à leurs larcins?	Seront-ce poins ici de ses Hapelopius, Qui se fout vos voisins, vos amis, vos con sins, Et s'oue couleur de parentage Donnent prétexte à leurs larcins?
Il eſt en ce pays des gens qui ſont bien fins, Ne laſſons point aller noſtre fait au pillage A de ſemblables fantaſſins, Mais Dieux le voila qui s’approche, Et i’ay trop bien propheriſé;	Il est en ce pays des gens qui sont bien fins, Ne lassons point aller notre fait au pillage A de semblables fantassins, Mais Dieux le voilà qui s'approche, Et j'ai trop bien prophérisé;
Si ie ne fais un peu l’adroit & l’enhazé , Mon argent va changer de poche;	Si ici ne fais un peu l'aurait et l'enhasé , Mon argent va changer de poche;
TVRLIN.	TURLIN.
Ie ſens icy quelquun.	Je sens ici quelquun.
CRIPIN.	CRIPIN.
Ah la faneſte odeur ?	Ah la faneste odeur ?
Ay-je ſans y penſer poſledé par la peur Corompu le bon Air d’une exalaiſon ſale?	Ai-je sans y penser posledé par la peur Corompu le bon Air d'une exalaison sale?
TVRLIN.	TURLIN.
Mon nez ſe rapporte à mes yeux,	Mon nez se rapporte à mes yeux,
Ie vois une figure auec la mienne egale, à Criſpin.	Je vois une figure avec la mienne égale, à Crispin.
Pourquoy ſous ſes habuts te trouvay-je en ce lieux ?	Pourquoi sous ses habuts te trouvai-je en ce lieux ?
Qui P'a donné la hardieſſe De t habiller ainſi que moy!	Qui P'a donné la hardiesse De t habiller ainsi que moi!
Tu ne dis rien & te tiens coy?	Tu ne dis rien et te tiens coi?
Si tu ne repond de vitelle Ie m’en vas te charger,	Si tu ne répond de vitelle Je m'en vas te charger,
CRISPIN.	CRISPIN.
I'ay par trop de foibleſte?	J'ai par trop de faibleste?
2 enque petre pardeau quon mette Corps Il m’atterre, il m’aſſomme, il m'abbat, faiſe,	2 en petre pardeau quon mette Corps Il m'atterre, il m'assomme, il m'abat, faise,
TVRLIN.	TURLIN.
Tu railles & loin de rependre.	Tu railles et loin de rependre.
Aux queſtions que ie te fais, Tu fais le froid boufon & penſe me conſet Avec des diſcours de b naais Mais ſçait-tu que des mots s’enſuivious effects Et que i’ay des mains pour te ton	Aux questions que ie te fais, Tu fais le froid boufon et pense me conset Avec des discours de b ais Mais sait-tu que des mots s'ensuivious effets Et que j'ai des mains pour te ton
CRISPIN.	CRISPIN.
