M IIATERE 196S	M MIATERE 196S
Ces trop grands rechercheurs de ſubtilitez ſont les plus grãds ennemis qu’ayent les Muſes, & peut-eſtre n’a-t’on feint que l’araignée eſtoit haye de Minerue, qu’à cauſe que ſa toile eſt ſi déliée, qu’elle en eſt du tout inutile.	Ces trop grands rechercheurs de subtilités sont les plus grands ennemis qu'aient les Muses, et peut-être n'a-t-on feint que l'araignée était haie de Minerve, qu'à cause que sa toile est si déliée, qu'elle en est du tout inutile.
Ils font encore chercher des pointes à ceux qui ſont tous preſts de ſe tuër, dont ils les arment dauantage que de leur poignard.	Ils font encore chercher des pointes à ceux qui sont tous prêts de se tuer, dont ils les arment davantage que de leur poignard.
Ah voicy le poignard qui du ſang de ſon maistre S’eſt ſoüillé laſchement, il en rougit le traistre.	Ah voici le poignard qui du sang de son maître S'est soüillé lâchement, il en rougit le traître.
Ie treuue qu’elle meſme deuroit rougir, & que ces paroles l’accuſent plus qu’elles ne ſont ce poignard, d’auoir trahy Pyrame.	Je trouve qu'elle même devrait rougir, et que ces paroles l'accusent plus qu'elles ne sont ce poignard, d'avoir trahi Pyrame.
Car comment vne perſonne vrayment touchée auroit-elle de ſemblables penſées, qui tant s’en faut qu’elles percent, qu’elles ne piquent pas ſeulement, mais ne font que nous chatoüiller l’ame, & nous exciter à rire en nous meſmes, qui eſt vn mouuement bien leger, principalement pour vne action tragique.	Car comment une personne vraiment touchée aurait-elle de semblables pensées, qui tant s'en faut qu'elles percent, qu'elles ne piquent pas seulement, mais ne font que nous chatoüiller l'âme, et nous exciter à rire en nous mêmes, qui est un mouvement bien léger, principalement pour une action tragique.
Cela c’eſt faire plus du Declamateur que du Poëte, & affecter de paroiſtre pluſtoſt aigu, que graue.	Cela c'est faire plus du Déglamateur que du Poète, et affecter de paraître plutôt aigu, que grave.
Ce n’eſt pas que les pointes ne ſoient de fort bonne grace, mais il les faut choiſir fortes, & qui ne ſe rebouchent pas, lors qu’elles ſemblent penetrer:	Ce n'est pas que les pointes ne soient de fort bonne grâce, mais il les faut choisir fortes, et qui ne se rebouchent pas, lors qu'elles semblent pénétrer:
de meſme que ces eſpées dont on ſe ſeruoit anciennement au theatre, qui rentroient dans ellesmeſmes, lors qu’on penſoit qu’elles entraſſent dans le corps:	de même que ces épées dont on se servait anciennement au théâtre, qui rentraient dans ellesmesmes, lors qu'on pensait qu'elles entrassent dans le corps:
En fin s’il faut qu’elles ſoiẽt pleines d’eſprit, que ce ſoit d’vn eſprit genereux;	En fin s'il faut qu'elles soient pleines d'esprit, que ce soit d'un esprit généreux;
de façon que lon reconnoiſſe que c’eſt pluſtoſt la paſsion qui occupe l’eſprit, que l'eſprit qui tienne lieu de paſſion:	de façon que lon reconnaisse que c'est plutôt la passion qui occupe l'esprit, que l'esprit qui tienne lieu de passion:
Auſſi ne ſçauroit on rien reprendre en ce que Pyrame dit parlant du meſme poignard.	Aussi ne saurait on rien reprendre en ce que Pyrame dit parlant du même poignard.
Voicy dequoy vanger les injures da ſort, C’eſt icy mon tonnerre, & mon gouffre, & ma mort.	Voici dequoy venger les injures da sort, C'est ici mon tonnerre, et mon gouffre, et ma mort.
Car qu’on ne ſe figure pas que ie condamne abſolument ce Poëte, ie ſçay qu’il a fait de bons vers, & qu’il y en a dans ſon Immortalité de l’Ame, qui ſeuls ſeroient capables de l’immortaliſer, & ie n’approuue pas entierement celuy qui faiſoit paſſer iuſqu’à ſa Poëſie le iugement qu’il donnoit de ſa vie, en diſant que la meilleure preuue qu’il pouuoit apporter contre l’immortalité de l’ame, eſtoit la corruption de la ſienne:	Car qu'on ne se figure pas que je condamne absolument ce Poète, toute sais qu'il a fait de bons vers, et qu'il y en a dans son Imortalité de l'Âme, qui seuls seraient capables de l'immortaliser, et été n'approuve pas entièrement celui qui faisait passer jusqu'à sa Poésie le jugement qu'il donnait de sa vie, en disant que la meilleure preuve qu'il pouvait apporter contre l'immortalité de l'âme, était la corruption de la sienne:
Mais ie veux ſeulement inferer de cecy, qu’il ſe faut bien prendre garde d’vn vice dont vn homme de ſi grande reputation n’a pas meſme eſté exẽpt:	Mais ie veux seulement inférer de ceci, qu'il se faut bien prendre garde d'un vice dont un homme de si grande réputation n'a pas même esté xempt:
Et ie le dy d’autant plus hardiment, que preſque tout le deſeſpoir de Pyrame, & de Thisbé, eſt de ce genre.	Et petit le dis d'autant plus hardiment, que presque tout le désespoir de Pyrame, et de Thisbé, est de ce genre.
N’eut-il pas fait beau voir le Taſſe s’amuſer à faire dire à Aminte, lors qu’on luy monſtre le voile de Syluie qu’iltenoit pour morte, ce que Pyrame dit rencontrant celuy de Thisbé dans les tenebres, ou lon croiroit que ſon eſprit s’eſtoit égaré?	N'eût-il pas fait beau voir le Tasse s'amuser à faire dire à Aminte, lors qu'on lui monstre le voile de Syluie qu'iltenait pour morte, ce que Pyrame dit rencontrant celui de Thisbé dans les ténèbres, ou lon croirait que son esprit s'était égaré?
Euton treuué bon qu’il luy eut fait dire aux rochers ſur leſquels il eſtoit monté pour ſe precipiter, qu’ils ſ'éclatent de deüil, & ſ’ouurent pour luy donner vn cercueil, en luy faiſant comme chercher parmy les choſes inſenſibles le reſſentiment qui luy manque.	Eûton trouvé bon qu'il lui eut fait dire aux rochers sur lesquels il était monté pour se précipiter, qu'ils s'éclatent de deuil, et s'ouvrent pour lui donner un cercueil, en lui faisant comme chercher parmi les choses insensibles le ressentiment qui lui manque.
Enfin eut il eſté à propos qu’il luy eut fait dire lors qu’il demande d’eſtre deuoré des Loups comme Syluie, que depuis que ſon beau ſang eſtoit paſſé en leur nourriture ils auoient plus d’amour que de brutalité?	Enfin eut il été à propos qu'il lui eut fait dire lors qu'il demande d'être dévoré des Loups comme Syluie, que depuis que son beau sang était passé en leur nourriture ils avaient plus d'amour que de brutalité?
Car ſi on ſ'eſt mocqué d’Ouide, qui auoit eſcript qu’au temps du deluge le Loup deuenu doux nageoit auec les Brebis, & a-t’on dit que ce n’eſtoit pas le fait d’vn iugement bien ſobre, de ſe joüer ainſi apres que tout le rond de la terre auoit eſté englouty, ie ne ſçay pas comment on pourroit deffendre celuy qui s’amuſe à faire deſcrire à vn Amant la douceur de la beſte qui a deuoré ſa maiſtreſſe dont la mort le preſſe de ſe tuër.	Car si on s'est moqué d'Ouide, qui avait écript qu'au temps du déluge le Loup enu doux nageait avec les Brebis, et a-t-on dit que ce n'était pas le fait d' Hugement bien sobre, de se jouer ainsi après que tout le rond de la terre avait été englouti, ie ne sais pas comment on pourrait défendre celui qui s'amuse à faire décrire à un Amant la douceur de la bête qui a dévoré sa maîtresse dont la mort le presse de se tuer.
Il n’y a donc rien de ſemblable à cecy dans noſtre autheur, mais tout y eſt fort raiſonnable, & fort à propos, & ſi les penſées en ſont bonnes, l’œconomie de l’ouurage entier eſt admirable, & chacune de ſes parties ſe rapporte à ſon Tout, comme font les membres à leur corps:	Il n'y a donc rien de semblable à ceci dans notre auteur, mais tout y est fort raisonnable, et fort à propos, et si les pensées en sont bonnes, l'œconomie de l'ouvrage entier est admirable, et chacune de ses parties se rapporte à son Tout, comme font les membres à leur corps:
En quoy certes peu de perſonnes ſ'eſtudient à ſuiure le Taſſe, car on void vne telle confuſion dans la pluſpart des ouurages de ce temps, que de deux ou trois ſubjets qui y ſont traitez à la fois, à peine diſcerne-t’on celuy qui eſt le principal, & ce qui ſemble eſtrange, faute d’inuention on ſe donne trop de matiere:	En quoi certes peu de personnes s'étudient à suivre le Tasse, car on void une telle confusion dans la plupart des ouvrages de ce temps, que de deux ou trois sujets qui y sont traités à la fois, à peine discerne-t-on celui qui est le principal, et ce qui semble étrange, faute d'invention on se donne trop de matière:
Il n’en va pas icy de meſme, on n’y parle point d’autres amours (ſi ce n’eſt en paſſant) que de celles d’Aminte, & de Syluie, & ſi le Satyre y meſle les ſiennes, touſiours eſt ce à Syluie qu’elles ſ'addreſſent, de ſorte que conſiderant combien cette Paſtorale eſt peu embroüillée, ie p’ay pas iugé qu’il fut beſoin de l’accompagner d’aucun argument pour en faire mieux comprendre la ſuitte, ou deuant, ou apres l’auoir leuë:	Il n'en va pas ici de même, on n'y parle point d'autres amours (si ce n'est en passant) que de celles d'Aminte, et de Syluie, et si le Satire y mêle les siennes, toujours est ce à Syluie qu'elles s'adressent, de sorte que considérant combien cette Pastorale est peu embroüillée, ie j'ai pas jugé qu'il fut besoin de l'accompagner d'aucun argument pour en faire mieux comprendre la suitte, ou devant, ou après l'auoir leuë:
Outre que i’eſtime qu’il n’y a rien de plus contraire au plaiſir qu’on peut receuoir des ouurages de cette ſorte, que d’en lire l’argument, parce que tout à coup il preuient nos attentes, & ne permet pas que noſtre eſ.	Outre que j'estime qu'il n'y a rien de plus contraire au plaisir qu'on peut recevoir des ouvrages de cette sorte, que d'en lire l'argument, parce que tout à coup il prévient nos attentes, et ne permet pas que notre es.
prit demeure en ſuſpens dans l’incertitude des éuenemens.	prit demeure en suspens dans l'incertitude des événements.
Quant à ce qui eſt de la concluſion de cette Paſtorale, il n’y a rien de ſi naturel, ny qui vienne mieux au ſubject:	Quant à ce qui est de la conclusion de cette Pastorale, il n'y a rien de si naturel, Seigneur qui vienne mieux au sujet:
En quoy pareillemẽt ſi c’eſtoit choſe bien ſéante à vn mauuais Verſificateur de cenſurer dauantage les Poëtes, ie monſtrerois bien comme la pluſpart des noſtres ont failly:	En quoi pareillement si c'était chose bien séante à un mauvais Versificateur de censurer davantage les Poètes, ie montrerais bien comme la plupart des nôtres ont failli:
auſſi eſt-ce la partie la plus delicate, & qui endure moins de contrainte, & de geſne:	aussi est-ce la partie la plus délicate, et qui endure moins de contrainte, et de gêne:
Il eſt bien vray qu’on deuient caduc ſur l’aage, & que la laſsitude nous rend plus lubjets à tomber:	Il est bien vrai qu'on devient caduc sur l'âge, et que la lassitude nous rend plus lubjets à tomber:
mais il ne faut pas qu’il nous en arriue icy de meſme, ou lon doit conſeruer ſa vigueur entiere iuſqu’au bout:	mais il ne faut pas qu'il nous en arrive ici de même, ou lon doit conserver sa vigueur entière jusqu'au bout:
ce n’eſt rien de bien faire durant le cours de la vie, ſi l’on ne finit bien auſſi, & entre les reſſemblances qu’il y a de la Comedie auec la vie, celle-cy peut-eſtre des premieres qui eſt que l’on peut preſque iuger de meſme façon de l’vne & de l’autre, par le dernier acte.	ce n'est rien de bien faire durant le cours de la vie, si l'on ne finit bien aussi, et entre les ressemblances qu'il y a de la Comédie avec la vie, celle-cy peut-être des premières qui est que l'on peut presque juger de même façon de l'une et de l'autre, par le dernier acte.
6	6
Ie ne doute point, Lecteur, que tu ne treuues deſia cét Aduertiſſement trop long, tu me permettras pourtant de te dire encore quelque choſe.	Je ne doute point, Lecteur, que tu ne trouves déjà cet Aduertissement trop long, tu me permettras pourtant de te dire encore quelque chose.
Et certes ie puis bien prendre quelque liberté, pour la contrainte que i’ay ſoufferte durant cette verſion dont ie te veux maintenant parler, & non point pour me louër, mais ſeulement pour juſtifier mon deſſein, & mon trauail.	Et certes esprit puis bien prendre quelque liberté, pour la contrainte que j'ai soufferte durant cette version dont votre te veux maintenant parler, et non point pour me louer, mais seulement pour justifier mon dessein, et mon travail.
Sçaches donc qu’il y a enuiron deux ans qu’eſtant reduit à la campagne aſſez ſeul, ie m’auiſay de ce diuertiſſement.	Saches donc qu'il y a environ deux ans qu'étant réduit à la campagne assez seul, Seigneur m'avisai de ce divertissement.
Le grand loiſir que i’auois, qui eſt ſi propre aux Muſes, & le beau temps qu’il faiſoit lors, m’y conuierent.	Le grand loisir que j'avais, qui est si propre aux Muses, et le beau temps qu'il faisait lors, m'y convièrent.
Ie faiſois conſcience de perdre tant de bonnes heures en des promenades ſteriles, & qui ne pouuoient qu’eſtre mauuaiſes ſi ie ne les euſſe faites qu’en ma compagnie:	Je faisais conscience de perdre tant de bonnes heures en des promenades stériles, et qui ne pouvaient qu'être mauvaises si personne ne les eusse faites qu'en ma compagnie:
C’eſt pourquoy ie ne ſortois plus du logis qu’auec l’Aminte, aymant encore mieux me mettre au hazard de ne rien faire de bien, que ne rien faire du tout.	C'est pourquoi Madame ne sortais plus du logis qu'avec l'Aminte, aimant encore mieux me mettre au hasard de ne rien faire de bien, que ne rien faire du tout.
Tu' reconnois donc par là que ce n’a pas tant eſté le deſir de chercher de la gloire, que celuy de fuyr l'oyſiueté, qui m'a fait entreprendre ce que ie te donne:	Tu' reconnois donc par là que ce n'a pas tant été le désir de chercher de la gloire, que celui de fuir l'oisiveté, qui m'a fait entreprendre ce que tu te donne:
Car ie n’ay iamais ignoré qu’vne verſion apporte d’ordinaire plus de peine que de loüange:	Car ici n'ai jamais ignoré qu'une version apporte d'ordinaire plus de peine que de louange:
