SUJET GENERAL DES PYGMEES.	SUJET GÉNÉRAL DES PYGMÉS.
Ils ſont ſemblables en ce point à un certain Roy nommé Herilus, dont Virgile parle au 8.	Ils sont semblables en ce point à un certain Roi nommé Hérilus, dont Virgile parle au 8.
livre de ſon Eneïde, qui ne pouvoit mourir à moins de trois Morts aſſemblées contre luy.	livre de son Eneïde, qui ne pouvait mourir à moins de trois Morts assemblées contre notre.
A la verité, ce n’eſt que depuis qu’ils ont reſpiré l’air de France:	À la vérité, ce n'est que depuis qu'ils ont respiré l'air de France:
außi nous remarquons qu’ils ſont crûs à veuë d’œil, & qu’ils ſont embellis de moitié:	aussi nous remarquons qu'ils sont crus à vue d'œil, et qu'ils sont embellis de moitié:
le propre de nôtre Soleil eſtant de faire profiter tous ceux qu’il regarde favorablement, ſur tout les Nations étrangeres.	le propre de notre Soleil étant de faire profiter tous ceux qu'il regarde favorablement, sur tout les Nations étrangères.
Les Auteurs, que j’ay cy-devant citeZ, nous apprennent que les Pygmées ſont de petits hommes, de la hauteur d'une coudée, qui habitent les montagnes des Indes Orientales;	Les Auteurs, que j'ai cy-devant citez, nous apprennent que les Pygmées sont de petits hommes, de la hauteur d'une coudée, qui habitent les montagnes des Indes Orientes;
quelques-uns diſent les extrémitez de l'Affrique;	quelques-uns disent les extrémités de l'Afrique;
d’autres, les contrées Septentrionales:	d'autres, les contrées Septentrionales:
mais la plus commune opinion ſur ce point, c’eſt la premiere.	mais la plus commune opinion sur ce point, c'est la première.
Tous conviennent que ce Peuple, monté ſur des chévres & des beliers, armé d’arcs & de fléches, chaque année, au Printems, fait la Guerre aux Gruës;	Tous conviennent que ce Peuple, monté sur des chévres et des béliers, armé d'arcs et de flèches, chaque année, au Printemps, fait la Guerre aux Grues;
qu’il écache, le long du rivage de la mer, tout autant d’œufs de ces oyſeaux qu’ils en peuvent rencontrer, leur principal but eſtant d’exterminer cette race ennemie, qui les trouble & les tourmente de tout temps.	qu'il écache, le long du rivage de la mer, tout autant d'œufs de ces oiseaux qu'ils en peuvent rencontrer, leur principal but étant d'exterminer cette race ennemie, qui les trouble et les tourmente de tout temps.
Pline écrit en ſon particulier, qu’ils habiterent autrefois la Ville de Geranée en Thrace, d’où ils furent chaſſeZ par les Gruës;	Pline écrit en son particulier, qu'ils habitèrent autrefois la Ville de Geranée en Thrace, d'où ils furent chassez par les Grues;
& c’eſt de là, ſans doute, qu’ils prirent occaſion de ſe retirer dans les montagnes des Indes Orientales.	et c'est de là, sans doute, qu'ils prirent occasion de se retirer dans les montagnes des Indes Orientales.
Il les appelle quelquesfois Spithamiens.	Il les appelle quelquefois Spithamiens.
Voila ce que nous en rapportent les Anciens, & ſur quoy l’on a imaginé, non ſeulement l’entrepriſe des Pygmées;	Voilà ce que nous en rapportent les Anciens, et sur quoi l'on a imaginé, non seulement l'entreprise des Pygmées;
mais encore une piece de Theatre de meſme nom, comme eſtant plus convenable à l'établiſſement de la choſe.	mais encore une pièce de Théâtre de même nom, comme étant plus convenable à l'établissement de la chose.
L’on n’a rien épargné pour faire reüßir l'une & l’autre.	L'on n'a rien épargné pour faire réussir l'une et l'autre.
Si les Curieux répondent aux ſoins qu’on a pris pour leurs dhcuirjemnes tejuicez en eſt infaillible.	Si les Curieux répondent aux soins qu'on a pris pour leurs dhcuirjemnes tejuicez en est infaillible.
Ce qu’on n’a point veu juſqu’icy, des A iij figures humaines de quatre pieds de haut, richement habillées, en tres-grand nombre, ſur un vaſte & ſuperbe Theatre repreſenter des pieces en cinq actes, ornées de Muſique, de Balets, de Machines volantes d’une invention toute nouvelle, & de changemens de Decorations, réciter, marcher, actioner comme des perſonnes vivantes, & tres-agréablement, ſans qu’on les tienne ſuſpenduës:	Ce qu'on n'a point vu jusqu'ici, des A jà figures humaines de quatre pieds de haut, richement habillées, en très-grand nombre, sur un vaste et superbe Théâtre représenter des pièces en cinq actes, ornées de Musique, de Ballets, de Machines volantes d'une invention toute nouvelle, et de changements de Decorations, réciter, marcher, action comme des personnes vivantes, et très-agréablement, sans qu'on les tienne suspenduës:
c’eſt ce qu’on verra deſormais à l’Hoſtel Royal des mées, au Marais du Temple, à Paris.	c'est ce qu'on verra désormais à l'Hôtel Royal des mées, au Marais du Temple, à Paris.
8	8
AIGEM IREMIEN.	AIGEM IREMIEN.
A Salle entiere repreſente un puiſſant Rocher, E percé à jour, avec pluſieurs niches, à droit & à gauche, qui ſerviront de loges à ceux qui ne voudront pas eſtre au Parterre.	À Salle entière représente un puissant Rocher, E percé à jour, avec plusieurs niches, à droit et à gauche, qui serviront de loges à ceux qui ne voudront pas chang au Parterre.
La Nature ſemble l’avoir fait exprés pour découvrir au travers le pays enchanté des Pygmées, & ſervir de paſſage, du moins aux yeux des Spectateurs, qui ſouhaitent d’en remarquer les beautez ſurprenantes.	La Nature semble l'avoir fait exprès pour découvrir au travers le pays enchanté des Pygmées, et servir de passage, du moins aux yeux des Spectateurs, qui souhaitent d'en remarquer les beautés surprenantes.
Ce lieu eſt diſpoſé de maniere, qu’on n’y ſouffrira ni la chaleur exceſſive de l’Eſté, ni le trop grand froid de l’Hyver.	Ce lieu est disposé de manière, qu'on n'y souffrira ni la chaleur excessive de l'Été, ni le trop grand froid de l'Hiver.
La façade & les ſupports du Theatre font partie de ce Rocher, & l’on en voit ſortir de part & d’autre quantité de caſcades & de jets qui forment un canal d’eau vive, au delà duquel on decouvre le Palais du Roy.	La façade et les supports du Théâtre font partie de ce Rocher, et l'on en voit sortir de part et d'autre quantité de cascades et de jets qui forment un canal d'eau vive, au delà duquel on découvre le Palais du Roi.
La matiere dont il eſt baſti, l’Ordre, les parties & les ornemens d’Architecture qu’on y apperçoit, n’ont rien de commun avec tous les autres bâtimens qu’on trouve au reſte de la Terre.	La matière dont il est bâti, l'Ordre, les parties et les ornements d'Architecture qu'on y apperçoit, n'ont rien de commun avec tous les autres bâtiments qu'on trouve au reste de la Terre.
Le Roy paroiſt inquiet & chagrin.	Le Roi paraît inquiet et chagrin.
Microton ſon confident en impute la cauſe à l’approche des Gruës, dont le nombre eſt plus grand qu’il n’a jamais eſté;	Microton son confident en impute la cause à l'approche des Grues, dont le nombre est plus grand qu'il n'a jamais été;
& tâche à le tirer de ſon inquietude;	et tâche à le tirer de son inquiétude;
en lay vantant le zéle extréme de ſes peuples, qui va juſqu’à faire prenO dre les armes aux femmes, ainſi qu’aux enfans, pour la deffenſe de ſes Eſtats.	en lay vantant le zèle extrême de ses peuples, qui va jusqu'à faire prenO dre les armes aux femmes, ainsi qu'aux enfants, pour la défense de ses États.
Le Roy luy fait entendre qu’il ſe trouve moins embaraſſé des affreuſes menaces de ſes ennemis que de ſes deux filles, Parvulie ſon aînée, & Pichonine ſa cadete, dont la premiere a rejetté l’amour de Picolus, un de ſes Generaux d’armée, pour ſe garder à la memoire de Timas, à qui elle avoit eſté promiſe en mariage;	Le Roi Roi fait entendre qu'il se trouve moins embarrassé des affreuses menaces de ses ennemis que de ses deux filles, Parvulie son aînée, et Pichonine sa cadète, dont la première a rejeté l'amour de Picolus, un de ses Généraux d'armée, pour se garder à la mémoire de Timas, à qui elle avait été promise en mariage;
& la ſeconde eſt recherchée par ce même Picolus, depuis qu’il a eſſuyé les refus de l’aînée, & par Belus, en meſme temps, ſon autre General, & le premier qui s’eſt déclaré pour cette cadette.	et la seconde est recherchée par ce même Picolus, depuis qu'il a essuyé les refus de l'aînée, et par Belus, en même temps, son autre Général, et le premier qui s'est déclaré pour cette cadette.
Ces deux Princes ſont extrémement neceſſaires au Roy, pour luy conſerver ſes Eſtats, ſur tout, dans la preſente conjoncture, où ſes ennemis ſemblent beaucoup plus forts que luy.	Ces deux Princes sont extrêmement nécessaires au Roi, pour lui conserver ses États, sur tout, dans la présente conjoncture, où ses ennemis semblent beaucoup plus forts que tu.
Si Parvulie eût agreé la recherche de Picolus, Belus eût eu lieu d’épouſer Pichonine;	Si Parvulie eût agréé la recherche de Picolus, Belus eût eu lieu d'épouser Pichonine;
le Roy ſe fût fait de ces deux gendres deux fermes appuis de ſon Trône;	le Roi se fût fait de ces deux gendres deux fermes appuis de son Trône;
& l’obſtination de Parvulie le prive de ce grand avantage.	et l'obstination de Parvulie le prive de ce grand avantage.
D’ailleurs, il craint de faire un dangereux mécontent d’un de ces deux Generaux, en donnant ſa cadette à l’autre;	D'ailleurs, il craint de faire un dangereux mécontent d'un de ces deux Généraux, en donnant sa cadette à l'autre;
c’eſt ce qui fait ſon trouble & ſa peine.	c'est ce qui fait son trouble et sa peine.
Voyant approcher ces deux rivaux & les Princeſſes, il commande à Microton d’aller au Temple, pour apprendre le ſuccez d’un Sacrifice qu’il a ordonné pour rendre Mars favorable à ſes Armes, & de luy en rapporter au pluſtoſt des nouvelles.	Voyant approcher ces deux rivaux et les Princesses, il commande à Microton d'aller au Temple, pour apprendre le succès d'un Sacrifice qu'il a ordonné pour rendre Mars favorable à ses Armes, et de lui en rapporter au plustost des nouvelles.
Les deux Princes, chacun en ſon particulier, ſe plaignent au Roy de ce qu’il n’a point encor fait entr’eux le choix d’un gendre, & nommé l’Epoux de Pichonine.	Les deux Princes, chacun en son particulier, se plaignent au Roi de ce qu'il n'a point encor fait entr'eux le choix d'un gendre, et nommé l'Époux de Pichonine.
Il s’en excuſe d’une maniere obligeante, & rejette la cauſe de ſon ſon ſilence ſur Parvulie.	Il s'en excuse d'une manière obligeante, et rejette la cause de son son silence sur Parvulie.
Picolus témoigne qu’il n’y ſonge plus, d’un air qui luy attire une douceur tréspiquante de la part de cette Princeſſe.	Picolus témoigne qu'il n'y songe plus, d'un air qui était attire une douceur trèspiquante de la part de cette Princesse.
Pichonine qui trouveroit ſa ſatisfaction à les voir tous deux unis ſous les loix de l’Hymen, d’autant qu’elle n’auroit plus de traverſes à eſſuyer dans ſes amours avec Belus, & qu’elle l’épouſeroit ſuivant ſes ſouhaits, invite ſa ſœur à traiter plus favorablement ce Prince;	Pichonine qui trouverait sa satisfaction à les voir tous deux unis sous les lois de l'Hymen, d'autant qu'elle n'aurait plus de traverses à essuyer dans ses amours avec Belus, et qu'elle l'épouserait suivant ses souhaits, invite sa sœur à traiter plus favorablement ce Prince;
mais elle y perd ſon temps & ſes paroles.	mais elle y perd son temps et ses paroles.
Ces deux Rivaux preſts à ſe pouſſer au ſujet de Pichonine, ſont arreſtez par le Roy, qui voudroit remettre ce choix qu’ils preſſent aprés le combat:	Ces deux Rivaux prêts à se pousser au sujet de Pichonine, sont arrêtés par le Roi, qui voudrait remettre ce choix qu'ils pressent après le combat:
mais enfin il ſe voit obligé de declarer, que celuy des deux qui ſera le vainqueur de ſes ennemis, ſera l’époux de ſa cadette;	mais enfin il se voit obligé de déclarer, que celui des deux qui sera le vainqueur de ses ennemis, sera l'époux de sa cadette;
à quoy ils donnent les mains avec plaiſir.	à quoi ils donnent les mains avec plaisir.
Microton revient du Temple avec pluſieurs Officiers & Aſſiſtans du Sacrifice, tous allarmez de ce qui s’y vient de paſſer, & deux des Officiers, aprés une ſymphonie qui marque leur inquiétude & leurs alarmes, chantent ces paroles, Qu'allons-nous faire, Helas, helas, Si le Dieu des Combats Nous eſt contraire?	Microton revient du Temple avec plusieurs Officiers et Assistants du Sacrifice, tous alarmés de ce qui s'y vient de passer, et deux des Officiers, après une symphonie qui marque leur inquiétude et leurs alarmes, chantent ces paroles, Qu'allons-nous faire, Hélas, hélas, Si le Dieu des Combats Nous est contraire?
Helas, helas, O Mars eſtes-vous las D’eſtre nôtre Dieu Tutelaire?	Hélas, hélas, Ô Mars êtes-vous las D'être notre Dieu Tutelaire?
Quoy ne voulez-vous pas Détourner la miſere, Et le trépas De nos climats?	Quoi ne voulez-vous pas Détourner la misère, Et le trépas De nos climats?
Qu'allons-nous faire, &c.	Qu'allons-nous faire, etc.
Si des ingrats Dans ces Eſtats Ont ozé vous déplaire, Confiez-nous vôtre colere, Evom tes immourons nous mefmes dt ce pas.	Si des ingrats Dans ces États Ont ozé vous déplaire, Confiez-nous votre colère, Évom tes immourons nous mêmes dt ce pas.
Qu'allons-nous faire, &c.	Qu'allons-nous faire, etc.
Les autres expriment pâr leurs démarches & par leurs actions, au ſon des inſtrumens, le chagrin, la crainte & la douleur qui les agitent.	Les autres expriment pâtr leurs démarches et par leurs actions, au son des instruments, le chagrin, la crainte et la douleur qui les agitent.
Le Roy ſurpris de ces plaintes en demande la cauſe à Microton, qui luy donne lieu de craindre que Mars ne favoriſe ſes ennemis à ſon déſavantage.	Le Roi surpris de ces plaintes en demande la cause à Microton, qui lui avait lieu de craindre que Mars ne favorise ses ennemis à son désavantage.
Le recit qu’il fait des incidens ſiniſtres qui ſont arrivez au Sacrifice, jette la peur & l’étonnement dans l’ame des Princeſſes;	Le récit qu'il fait des incidents sinistres qui sont arrivés au Sacrifice, jette la peur et l'étonnement dans l'âme des Princesses;
Picolus n’y peut reſiſter;	Picolus n'y peut résister;
le Roy s’en laiſſe emparer;	le Roi s'en laisse emparer;
Belus le r’aſſure:	Belus le rassure:
Sémiandre, un des Aſſiſtans, en fait de meſme, & luy conſeille de députer quelqu’un au Ciel, pour tirer de Mars l’éclairciſſement de leur doute.	Sémiandre, un des Assistants, en fait de même, et tu conseille de députer quelqu'un au Ciel, pour tirer de Mars l'éclaircissement de leur doute.
Le Roy, aprés avoir pris l’avis des Princes, le commet avec Homoncius pour cette députation, dont il ſe charge volontiers.	Le Roi, après avoir pris l'avis des Princes, le commet avec Homoncius pour cette députation, dont il se charge volontiers.
Tous ſe retirent.	Tous se retirent.
Ormin confident de Picolus, que les affaires d’Eſtat touchent moins que celles de ſon amour pour Francine confidente de Pichonine, diſſipe les idées triſtes & lugubres que l’auditeur pourroit avoir conceuës dans les Scenes précedentes, par ſon teſte-à-teſte avec ſa maîtreſſe.	Ormin confident de Picolus, que les affaires d'État touchent moins que celles de son amour pour Francine confidente de Pichonine, dissipe les idées tristes et lugubres que l'auditeur pourrait avoir conçues dans les Scenes précedentes, par son tête-à-teste avec sa maîtresse.
Ce pauvre amant ſe voyant enfin mépriſé, ſe veut tuër de deſeſpoir;	Ce pauvre amant se voyant enfin méprisé, se veut tuer de désespoir;
mais le Roy luy fait le plaifir de l’en empeſcher.	mais le Roy Roi fait le plaisir de l'en empêcher.
Il demande à ſon Confident ſi Sémiandre doit bien-toſt partir;	Il demande à son Confident si Sémiandre doit bientôt partir;
Il apprend qu’il le verra dans peu s’enlever aux Cieux ſur un char attelé de quatre Aigles, que la faim & l’inſtinct naturel portent à ſuivre en l’air du gibier en vie, que Sémiandre & Homoncius tiennent en veuë de ces oyſeaux;	Il apprend qu'il le verra dans peu s'enlever aux Cieux sur un char attelé de quatre Aigles, que la faim et l'instinct naturel portent à suivre en l'air du gibier en vie, que Sémiandre et Hommoncius tiennent en vue de ces oiseaux;
mais dans un tel éloignement, qu’ils n’y peuvent point atteindre.	mais dans un tel éloignement, qu'ils n'y peuvent point atteindre.
Ces deux Députez paroiſſent auſſi toſt dans leur machine.	Ces deux Députez paraissent aussi tôt dans leur machine.
Le premier fait les complimens au Roy, qui luy promet une récompenſe conſiderable au retour de ſon voyage.	Le premier fait les compliments au Roi, qui lui promet une récompense considérable au retour de son voyage.
Ils pourſuivent enſuite leur route, & le Roy ſe retire incontinent aprés, avêc ſa ſuite.	Ils poursuivent ensuite leur route, et le Roi se retire incontinent après, avec sa suite.
Le vol de ces deux Députez eſt aſſez nouveau dans ſon eſpece, puis qu’il part d’une des aiſles gauche du Theâtre, comme pour entrer dans celle qui luy eſt oppoſée;	Le vol de ces deux Députez est assez nouveau dans son espèce, puis qu'il part d'une des ailes gauche du Théâtre, comme pour entrer dans celle qui tu est opposée;
& neantmoins le va perdre lur le Cintre.	et néanmoins le va perdre lur le Cintre.
Fin du premier Acte.	Fin du premier Acte.
ACTE SECOND.	ACTE SECOND.
N Parc compoſé de Jardinages, de Parterres, de Bois, de Figures, de Fontaines, & autres embelliſſemens, en fait la décoration.	N Parc composé de Jardinages, de Parterres, de Bois, de Figures, de Fontaines, et autres embellissements, en fait la décoration.
Ce lieu, pour ainſi dire, ſert d’azyle à Parvulie contre les perſecutions continuelles du Roy ſon pere, qui s’efforce de luy arracher du cœur l’amour qu’elle veut éternelement conſerver pour le Prince Timas, dont les funeſtes idées l’entretiennent dans des chagrins &des douleurs qui ne luy donnent aucun relâche.	Ce lieu, pour ainsi dire, sert d'asile à Parvulie contre les persécutions continuelles du Roi son père, qui s'efforce de même arracher du cœur l'amour qu'elle veut éternelement conserver pour le Prince Timas, dont les funestes idées l'entretiennent dans des chagrins etdes douleurs qui ne était donnent aucun relâche.
La Plainte qui ſuit, & qu’elle chante, pour donner plus de force à ſa paſſion, fait voir les ſentimens qui regnent dans ſon ame.	La Plainte qui suit, et qu'elle chante, pour donner plus de force à sa passion, fait voir les sentiments qui règnent dans son âme.
PLAINTE DE PARVULIE.	PLAINTE DE PARVLIE.
Que feras-tu, mal-heureuſe Princeſſe, Que dois-tu devenir?	Que feras-tu, malheureuse Princesse, Que dois-tu devenir?
Tu ne reverras plus l’objet de ta tendreſſe;	Tu ne reverras plus l'objet de ta tendresse;
S’il vit, c’eſt dans ton cœur, & dans ton ſouvenir, Helas, & chacun s’intereſſe A ben vunnnre Que feras-tu, mal-heureuſe Princeſſe, Que dois-tu devenir?	S'il vit, c'est dans ton cœur, et dans ton souvenir, Hélas, et chacun s'intéresse A ben unnre Que feras-tu, malheureuse Princesse, Que dois-tu devenir?
On pretend que j’oublie L’illuſtre Amant qui me tient ſous ſa loy, Que je le prive de ma foy:	On prétend que j'oublie L'illustre Amant qui me tient sous sa loi, Que je le prive de ma foi:
Non, je ne conſens point à cette perfidie:	Non, je ne consens point à cette perfidie:
Qu'on m’arrache plûtoſt le jour, Je perdray moins qu'en perdant mon amour.	Qu'on m'arrache plutôt le jour, Je perdrai moins qu'en perdant mon amour.
Mais ſeule avec tant de foibleſſe, Pourras-tu long-temps ſoûtenir Les durs efforts qu’on redouble ſans ceſſe Contre l’unique objet de ta juſte tendreſſe, Dont on cherche à te deſunir?	Mais seule avec tant de faiblesse, Pourras-tu longtemps soutenir Les durs efforts qu'on redouble sans cesse Contre l'unique objet de ta juste tendresse, Dont on cherche à te désunir?
Que feras-tu, mal-heureuſe Princeſſe, Que dois-tu devenir?	Que feras-tu, malheureuse Princesse, Que dois-tu devenir?
Aprés un moment de ſilence & de reflexion ſecrette, elle reprend la parole, & chante l’Air ſuivant.	Après un moment de silence et de réflexion secrète, elle reprend la parole, et chante l'Air suivant.
AIR DE PARVULIE.	AIR DE PARULIE.
Cherchons l'Echo dans le fonds de ces Bois, Luy ſeul par la charmante voix Peut ſoulager un cœur qui languit dans ſes chaînes:	Cherchons l'Écho dans le fond de ces Bois, Lui seul par la charmante voix Peut soulager un cœur qui languit dans ses chaînes:
Il offrira du moins ce plaiſir à mes peines, De me redire inceſſamment L’aimable nom de mon Amant.	Il offrira du moins ce plaisir à mes peines, De me redire incessamment L'aimable nom de mon Amant.
Elle n’a pas plûtoſt ceſſé de chanter, qu’elle apperçoit avec chagrin Zélone ſa confidente, à qui elle confirme la reſolution où elle eſt, de ne changer jamais ſon amour pour Timas.	Elle n'a pas plutôt cessé de chanter, qu'elle aperçoit avec chagrin Zélone sa confidente, à qui elle confirme la résolution où elle est, de ne changer jamais son amour pour Timas.
Zélone luy répreſente qu’il a eſté défait dans le dernier combat donné contre les Gruës.	Zélone autre répresente qu'il a été défait dans le dernier combat donné contre les Grues.
Cette raiſon, & pluſieurs autres qu’elle employe pour la perſuader du contraire de ſes ſentimens, ne ſervent qu’à l’y affermir davantage.	Cette raison, et plusieurs autres qu'elle emploie pour la persuader du contraire de ses sentiments, ne servent qu'à l'y affermir davantage.
Des Bergers enfoncez dans l’épaiſſeur des Bois, qui ne ſongent qu’à ſe divertir entr’eux, chantent fort à propos le Dialogue ſuivant.	Des Bergers enfoncés dans l'épaisseur des Bois, qui ne songent qu'à se divertir entr'eux, chantent fort à propos le Dialogue suivant.
AREMIER DERCEI.	AREMIÈR DERCEI.
Il n'eſt rien de ſi beau qu’un cœur tendre & fidelle.	Il n'est rien de si beau qu'un cœur tendre et fidèle.
SECOND BERGER.	SECOND BERGER.
Il n'eſt rien de ſi doux qu’une amour éternelle, Alors qu’un autre cœur brûle des meſmes feux.	Il n'est rien de si doux qu'une amour éternelle, Alors qu'un autre cœur brûle des mêmes feux.
PREMIER BERGER.	PREMIER BERGER.
C’eſt de quoy remplir tous nos vœux.	C'est de quoi remplir tous nos vœux.
ENEADEEa Mais quand on brûle ſeul, & non pas deux à deux, Il n’eſt rien de moins beau qu’un cœur tendre & fidelle;	ENEADEa Mais quand on brûle seul, et non pas deux à deux, Il n'est rien de moins beau qu'un cœur tendre et fidèle;
Il n’eſt rien de moins doux qu’une amour éternelle.	Il n'est rien de moins doux qu'une amour éternelle.
Zélone invite encore cette Princeſſe à ſe défaire d’un feu qui la fait brûler en vain.	Zélone invite encore cette Princesse à se défaire d'un feu qui la fait brûler en vain.
Parvulie luy ferme la bouche en peu de mots, dont voicy les derniers.	Parvulie autre ferme la bouche en peu de mots, dont voici les derniers.
Ce ſont là de l’Amour les veritables loix, Aimer toûjours, & n'aimer qu’une fois.	Ce sont là de l'Amour les véritables lois, Aimer toujours, et n'aimer qu'une fois.
Enfin, ne ſçachant plus par où combattre la réſolution de ſa Maîtreſſe, elle ſouhaiteroit que les meſmes Bergers expliquaſſent, à ſon défaut, ces maximes amoureuſes.	Enfin, ne sachant plus par où combattre la résolution de sa Maîtresse, elle souhaiterait que les mêmes Bergers expliquassent, à son défaut, ces maximes amoureuses.
Ils le font ſans paroiſtre de concert avec elles, & chantent les paroles Inivantes.	Ils le font sans paraître de concert avec elles, et chantent les paroles Inivantes.
CHANSON DES BERGERS.	CHANSON DES BERGERS.
Il faut, il faut aimer toûjours, Quand nous ſommes aimeZ ſans ceſſe;	Il faut, il faut aimer toujours, Quand nous sommes aimés sans cesse;
Mais ſi d'un coſté l’amour ceſſe, De l’autre il doit finir ſon cours.	Mais si d'un côté l'amour cesse, De l'autre il doit finir son cours.
Parvulie reſte inébranlable dans ſon deſſein d’aimer Timas éternellement, nonobſtant que Zélone luy ait redit ce qu’elle vient d’entendre des Bergers;	Parvulie reste inébranlable dans son dessein d'aimer Timas éternellement, nonobstant que Zélone lui ait redit ce qu'elle vient d'entendre des Bergers;
meſme ajoûté que la mort luy doit avoir enlevé l’amour de ſon Amant avec ſa vie.	Elle ajouté que la mort lui doit avoir enlevé l'amour de son Amant avec sa vie.
Pichonine fait plaiſir à Zélone de la relever d’un entretien où elle auroit peine à fournir.	Pichonine fait plaisir à Zélone de la relever d'un entretien où elle aurait peine à fournir.
Cette Cadette n’a pas plûtoſt commencé de parler à ſon aînée en faveur de Picolus, qu’elle eſt contrainte à ſe taire.	Cette Cadette n'a pas plutôt commencé de parler à son aînée en faveur de Picolus, qu'elle est contrainte à se taire.
C’eſt en vain qu’elle luy voudroit faire croire que le ſeul intereſt d’Eſtat l’anime en ce rencontre, puis que Parvulie, non ſeulement la force à déclarer que Belus eſt le Souverain de ſon ame;	C'est en vain qu'elle avait voudrait faire croire que le seul intérêt d'État l'anime en ce rencontre, puis que Parvulie, non seulement la force à déclarer que Belus est le Souverain de son âme;
mais encore luy fait entendre qu’elle connoiſt bien que la recherche de Picolus la gêne & l’outrage, qu’elle s’en taiſt au Roy pour ne le pas aigrir, & qu’enfin elle n’aimeroit à le voir ſon Beau-Frere, que parce qu’elle le hait pour ſa ſeule perſonne, & plus encore, pour la qualité de ſon époux qu’il recherche avec empreſſement.	mais encore deux fait entendre qu'elle connaît bien que la recherche de Picolus la gêne et l'outrage, qu'elle s'en taît au Roi pour ne le pas aigrir, et qu'enfin elle n'aimerait à le voir son Beau-Fre, que parce qu'elle le hait pour sa seule personne, et plus encore, pour la qualité de son époux qu'il recherche avec empressement.
Parvulie, aprés avoir raillé finement ſa 10 ſœur, la voyant preſte à s’emporter, luy en épargne la peine par ſa retraite.	Parvulie, après avoir raillé finement sa 10 sœur, la voyant prête à s'emporter, avait en épargne la peine par sa retraite.
Pichonine demeure ſeule avec ſa confidente, qui calme, autant qu’elle peut, le trouble de ſon cœur.	Pichonine demeure seule avec sa confidente, qui calme, autant qu'elle peut, le trouble de son cœur.
