Iouxte la copie Imgrlede	Jette la copie Imgrède
Ma maiſon m’eſt effroyable maintenant, & ie n’y rentre point ſans y trouuer quelque chagrin.	Ma maison m'est effroyable maintenant, et ici n'y rentre point sans y trouver quelque chagrin.
SCENE II.	SCÈNE II.
GEORGE DANDIN.	GEORGE DANDIN.
LVBIN.	LUBIN.
GEORGE DANDIN.	GEORGE DANDIN.
Voyant ſortir tubin de chez luy.	Voyant sortir tubin de chez Seigneur.
no mautieco droit-là vient-il faire chez moy?	nô mautieco droit-là vient-il faire chez moi?
LVBIN.	LUBIN.
Voila vn homme qui me regarde.	Voilà un homme qui me regarde.
G.	G.
DANDIN Il ne me connoiſt pas.	DANDIN Il ne me connaît pas.
LVBIN, Il ſe doute de quelque choſe.	LUBIN, Il se doute de quelque chose.
G.	G.
DANDIN.	DANDIN.
Oüais il a crand' peine à ſaluër.	Ouais il a crand' peine à saluer.
LVBIN.	LUBIN.
I'ay peur qu’il n’aille dire qu’il m’a veu ſortir de là	J'ai peur qu'il n'aille dire qu'il m'a vu sortir de là
dedans, Bon-jour.	dedans, Bon-jour.
G.	G.
DANDIN.	DANDIN.
LVBIN	LUBIN
Seruiteur.	Serviteur.
G.	G.
DANDIN	DANDIN
EVLIN Non, ie n'y ſuis venu que pour voir la Feſte de de	EULIN Non, je n'y suis venu que pour voir la Fête de de
main.	main.
Y DINUINC.	Y DINUINC.
Hé dites-moy vn peu, s’il vous plaiſt, vous venez de la-dedans.	Hé dites-moi un peu, s'il vous plaît, vous venez de la-dedans.
LVBIN.	LUBIN.
Chut.	Chut.
Comment!	Comment!
G.	G.
DANDIN.	DANDIN.
LVBIN.	LUBIN.
Paix- Quoy donc?	Paix- Quoi donc?
G.	G.
DANDIN.	DANDIN.
LVBIN.	LUBIN.
Motus, il ne faut pas dire que vous m’ayez vû ſortir de là.	Motus, il ne faut pas dire que vous m'ayez vu sortir de là.
Pourquoy?	Pourquoi?
G.	G.
DANAN.	DANAN.
LVBIN.	LUBIN.
Mon Dieu, parce.	Mon Dieu, parce.
6.	6.
DANDIN.	DANDIN.
Mais encor?	Mais encor?
LVBIN Doucement, i’ay peur qu’on ne nous écoute,	LUBIN Doucement, j'ai peur qu'on ne nous écoute,
G.	G.
DANDIN Point, point.	DANDIN Point, point.
LVBIN C'eſt que ie viens de parler à la Maiſtreſſe du logis de la part d’vn certain Monſieur qui luy fait les doux yeux & il ne faut pas qu’on ſçache cela.	LUBIN C'est que sans viens de parler à la Maîtresse du logis de la part d'un certain Monsieur qui avait fait les doux yeux et il ne faut pas qu'on sçache cela.
Entendez-vous?	Entendez-vous?
G.	G.
DANDIN.	DANDIN.
Ouy.	Oui.
LVBIN.	LUBIN.
monu la tanlon.	monu la tanlon.
On ls a enchaige de prendre garde que perſonne ne me viſt, & ie vous prie au moins de ne pas dire que vous m’ayez vû.	On ls a enchaige de prendre garde que personne ne me vît, et tu vous prie au moins de ne pas dire que vous m'ayez vu.
G.	G.
DANDIN.	DANDIN.
Ie n’ay garde.	Je n'ai garde.
LVBIN Ie ſuis bien-aiſe de faire les choſes ſecréttément comme on m’a recommandé.	LUBIN Je suis bienaise de faire les choses secréttément comme on m'a recommandé.
G.	G.
DANDIN.	DANDIN.
C’eſt bien fait.	C'est bien fait.
LVRIN.	LURIN.
Le mary, à ce qu’ils diſent, eſt vn jaloux qui ne veut pas qu’on faſſe l’amour à ſa femme, & il feroit le diable à quatre, ſi cela venoit à ſes oreilles.	Le mari, à ce qu'ils disent, est un jaloux qui ne veut pas qu'on fasse l'amour à sa femme, et il ferait le diable à quatre, si cela venait à ses oreilles.
Vous comprenez bien.	Vous comprenez bien.
G.	G.
DANDIN.	DANDIN.
Fort bien.	Fort bien.
LVBIN Il ne faut pas qu’il ſçache rien de tout cecy.	LUBIN Il ne faut pas qu'il sache rien de tout ceci.
Sans doute, G.	Sans doute, G.
DANDIN LVBIN.	DANDIN LUBIN.
On le veut tromper tout doucement.	On le veut tromper tout doucement.
Vous entendez bien.	Vous entendez bien.
G.	G.
DANDIN.	DANDIN.
prenez bien.	prenez bien.
G.	G.
DANDIN Aſſurément.	DANDIN Assurément.
Hé comment nommez-vous celuy qui vous a enuoyé la-dedant?	Hé comment nommez-vous celui qui vous a envoyé la-dedant?
LVBIN.	LUBIN.
C'eſt le Seigneur de noſtre Pays, Monſieur le Vicomte de choſe.	C'est le Seigneur de notre Pays, Monsieur le Vicomte de chose.
foin, ie ne me ſouuiens jamais comment uinutle lio omtagouinent ce nom-là, Monſieur Ch.	foin, Seigneur ne me souviens jamais comment uinutle lio omtagouinent ce nom-là, Monsieur Ch.
Clitandre.	Clitandre.
G.	G.
DANDIN Eſt-ce ce jeune Courtiſan qui demeure.	DANDIN Est-ce ce jeune Courtisan qui demeure.
LVEIN Ouy, aupres de ces Arbres.	LUEIN Oui, auprès de ces Arbres.
G.	G.
DANDIN à part.	DANDIN à part.
C eſt pour cela que depuis peu ce Demoiſeau poIy s’eſt venu loger contre moy:	Ç est pour cela que depuis peu ce Demoiseau poIi s'est venu loger contre moi:
j’auois bon nez ſans doute & ſon voiſinage deja m’auoit donné quelque ſoubçon.	j'avais bon nez sans doute et son voisinage déjà m'avait donné quelque soubon.
LVBIN	LUBIN
Teſtigué, c’eſt le plus honneſte homme que vous ayez jamais vû Il m’a donné trois pieces d’or pour aller dire ſeulement à la femme qu’il eſt amoureux dvils, de qu’il ſouhaite fort l’honneur de pouuoir luy parler Voyez s’il y a là vne grande fatigue pour me payer ii blen, & ce qu’eit au pria de cela vne journée de trauail où ie ne gaigne que dix ſols.	Testigué, c'est le plus honnête homme que vous ayez jamais vu Il m'a donné trois pièces d'or pour aller dire seulement à la femme qu'il est amoureux dûils, de qu'il souhaite fort l'honneur de pouvoir mieux parler Voyez s'il y a là une grande fatigue pour me payer ji blen, et ce qu'éit au pria de cela une journée de travail où je ne gagne que dix sols.
G DANDIN Hé bien, auez-vous fait voſtre meſſage?	G GANDIN Hé bien, avez-vous fait votre message?
LVBIN Oey pruy trohué là-dedans vhe certaine Claudine, qui tout du premier coup a compris ce que ie voulois, & qui m’a fait parler à ſa Maiſtreſſe.	LUBIN Oey prui trohué là-dedans vhe certaine Claudine, qui tout du premier coup a compris ce que je voulais, et qui m'a fait parler à sa Maîtresse.
G.	G.
DANDIN à part Ah coquine de ſeruante !	DANDIN à part Ah coquine de servante !
LVBIN Morguene, cette Claudine-là eſt tout à fait jolie, elle a gagné mon amitié, & il ne tiendra qu’à elle que nous ne ſoyons matiez enſemble	LUBIN Morguène, cette Claudine-là est tout à fait jolie, elle a gagné mon amitié, et il ne tiendra qu'à elle que nous ne soyons matiez ensemble
G DANDIN Mais quelle réponſe a fait la Maiſtreſſe à oe Mon	G GANDIN Mais quelle réponse a fait la Maîtresse à oe Mon
ſieur le Courtiſan?	sieur le Courtisan?
LVBIN.	LUBIN.
Elle m'a dit de luy dire.	Elle m'a dit de belle dire.
attendez ie ne ſçay ſi ie me ſouuiendray bien de tout cela Qu'elle luy eſt tout à fait obligée de l’affection qu’il a pour elle, & qu’à cauſe de ſon mary qui eſt fantaſque il garde d’en rien raire paronde, &quil raudra ſonger à cheroner queique muencion pour le pouuoir entretenir tous deux.	attendez ici ne sais si ainsi me souviendrai bien de tout cela Qu'elle reste est tout à fait obligée de l'affection qu'il a pour elle, et qu'à cause de son mari qui est fantasque il garde d'en rien raire paronde, etquil raudra songer à chéroner queique muencion pour le pouvoir entretenir tous deux.
G DANDIN a pan	G GANDIN a pen
Ah!	Ah!
pendarde de femme.	pendarde de femme.
LVBIN Teſtiguiene cela ſera drôle car le mary ne ſe doutera point de la manigance, voila ce qui eſt de bon.	LUBIN Testiguiène cela sera drôle car le mari ne se doutera point de la manigance, voilà ce qui est de bon.
Et il aura vn pied de nez auec ſa jalouſie.	Et il aura un pied de nez auec , jalousie.
Eſt-ce pas?	Est-ce pas?
G.	G.
DANDIN Cela eſt vray.	DANDIN Cela est vrai.
EVBIN Adieu.	EUBIN Adieu.
Bouche couſuë au moins gardez bien le ſecret, afin que le mary ne le ſçache pas.	Bouche coutue au moins gardez bien le secret, afin que le mari ne le sache pas.
G.	G.
DANDIN Ouy, GAy AVHAN.	DANDIN Oui, GAi AUHAN.
Pour moy ie vais faire ſemblant de rien, ie ſuis vn fin matois, & l’on ne diroit pas que i’y touche.	Pour moi ici vais faire semblant de rien, tu suis un fin matois, et l'on ne dirait pas que j'y touche.
SCENE III.	SCÈNE III.
GEORGE DANDIN E bien George Dandin, vous voyez de quel I Iair voſtre fem ne vous traitte.	GEORGE DANDIN E bien George Dandin, vous voyez de quel I Jair votre sem ne vous traite.
Voila ce que c’eſt d’auoir voulu épouſer vne Demoiſelle l’on vous accommode de toutes pieces ſans que vous puiſſiez vous vanger, & la Gentilhommerie vous tient les bras liez, l’égalité de condition laiſſe du moins à l’honneur d’vn mary liberté de reſſentiment, & ſi c’eſtoit vne Payſanne, vous auriez maintenant toutes vos coudées franches à vous en fant la juſtice à bons coups de baſton Mais vous auez voulu taſter de la Nebleſſe, & il vous ennuyoit d’eſtre maiſtre	Voilà ce que c'est d'avoir voulu épouser une Demoiselle l'on vous accommode de toutes pièces sans que vous puissiez vous venger, et la Gentilhommerie vous tient les bras tenant, l'égalité de condition laisse du moins à l'honneur d'un mari liberté de ressentiment, et si c'était une Paysane, vous auriez maintenant toutes vos coudées franches à vous en fant la justice à bons coups de bâton Mais vous avez voulu tâter de la Néglesse, et il vous ennuyait d'être maître
chez vous.	chez vous.
Ah!	Ah!
i'enrage de tout mon cœur, & ie me donnerois volontiers des ſoufflets.	j'enrage de tout mon cœur, et Seigneur me donnerais volontiers des soufflets.
Quoy écouter impudemment l’amour d’vn Damoiſeau, & y promettre en meſme temps de la correſpondance?	Quoi écouter impudemment l'amour d'un Damoiseau, et y promettre en même temps de la correspondance?
Morbleu, ie ne veux point laiſſer paſſer vne occaſion de la ſorte.	Morbleu, Seigneur ne veux point laisser passer une occasion de la sorte.
Il me faut de ce pas aller faire mes plaintes au pere & à la mere, & les rendre témoins à telle fin que de raiſon, des ſujets de chagrin & de reſſentiment que leur fille me donne.	Il me faut de ce pas aller faire mes plaintes au père et à la mère, et les rendre témoins à telle fin que de raison, des sujets de chagrin et de ressentiment que leur fille me donne.
Mais les voicy lvn & l’autre fort à propos.	Mais les voici lvn et l'autre fort à propos.
SCENE IV MONSIEVR & MADAME DE SOTENVILLE GEORGE DANDIN.	SCÈNE IV MONSIEUR et MADAME DE SOTENVILLE GEORGE DANDIN.
Me DE SOTENVILLE Mon Dieu, noſtre Gendre, que vous auez peu de eiuilite de ne pas ſaluer les gens quand vous les approchez.	Me DE SOTENVILLE Mon Dieu, notre Gendre, que vous avez peu de éjuilite de ne pas saluer les gens quand vous les approchez.
G DANDIN	G GANDIN
Ma foy ma belle-mere e’eſt que i’ay d’autres choſes en teſte &.	Ma foi ma belle-mère e'est que j'ai d'autres choses en tête et.
duie DA GOTENVILLE Encore?	duie DA GOTENVILLE Encore?
eſt-il poſſible noſtre gendre, que vous ſçachiez ſi peu voſtre monde, & qu’il n’y ait pas moyen de vous inſtruire de la maniere qu’il faut viure parmy les perſonnes de qualité?	est-il possible notre gendre, que vous sachiez si peu votre monde, et qu'il n'y ait pas moyen de vous instruire de la manière qu'il faut vivre parmi les personnes de qualité?
Comment?	Comment?
G.	G.
DANDIN	DANDIN
Me DE SOTENVILLE Ne vous déferez vous jamais auec moy de la familiarité de ce mot de ma belle-mere & ne ſçauriez vous vous accouſtumer à me dire Madame.	Me DE SOTENVILLE Ne vous déferez -vous jamais avec moi de la familiarité de ce mot de ma belle-mère et ne sauriez vous vous accoutumer à me dire Madame.
Parbleu	Parbleu
G.	G.
DANDIN Parbleu, ſi vous m’appellez voſtte gendre, il me ſemble que ie puis vous appeller ma bille-mere.	DANDIN Parbleu, si vous m'appelez vostte gendre, il me semble que votre puis vous appeler ma bille-mère.
Me DE SOTENVILLE Il y a fort à dire & les choſes ne ſont pas égales.	Me DE SOTENVILLE Il y a fort à dire et les choses ne sont pas égales.
Apprenez, s’il vous plaiſt, que ce n’eſt pas à vous à vous ſeruir de ce mot-là auec vne perſonne de ma condition, Que tout noſtre gendre que vous ſoyez, il y a grande difference de vous à nous, & que vous deuez vous connoiſtre.	Apprenez, s'il vous plaît, que ce n'est pas à vous à vous servir de ce mot-là avec personne de ma condition, Que tout notre gendre que vous soyez, il y a grande différence de vous à nous, et que vous devez vous connaître.
Mr DE SOTENVILLE C’en eſt aſſez mamour, laiſſons cela.	Mr DE SOTENVILLE C'en est assez mamour, laissons cela.
Me DE SOTENVILLE Mon Dieu Monſieur de Sotenune, vous auez des indulgences qui n’appartiennent qu’à vous, & vous ne ſçauez pas vous faire rendre par les gens ce qui vous eſt dû.	Me DE SOTENVILLE Mon Dieu Monsieur de Sotenune, vous avez des indulgences qui n'appartiennent qu'à vous, et vous ne savez pas vous faire rendre par les gens ce qui vous est dû.
Mr DE SOTENVILLE	Mr DE SOTENVILLE
*Corbleu, pardonnez-moy on ne peut point mo faire des leçons là-deſſus, & i’ay ſceu montret en ma vie par vingt actions de vigueur, que ie ne ſuls point hommis à demoruns jamais u'vne pareie de mes prêtentions.	*Corbleu, pardonnez-moi on ne peut point mo faire des leçons là-dessus, et j'ai su montret en ma vie par vingt actions de vigueur, que je ne suls point hommis à demoruns jamais une pareie de mes prêtentions.
Mais il ſoffit de luy auoir donné vn petit auertiſſement.	Mais il souffit de Ma auoir donné un petit avertissement.
Sçachons vn peu, mon gendre, ce que vous auez dans l’eſprit.	Sachons un peu, mon gendre, ce que vous avez dans l'esprit.
G DANDIN Puiſqu'it faut donc parler cathegoriquement, ie vous diray.	G GANDIN Puisqu'it faut donc parler cathégoriquement, pour vous dirai.
Monſieur de Sotenuille que ay lieu de.	Monsieur de Sotenville que ai lieu de.
Mr DE SOTENVTCEE Doucement mon gendre.	Mr DE SOTENUTCE Doucement mon gendre.
Aprenez qu’il n’eſt pareſpect ieux d’appeller les gens par leur nom & qu’à ceux qui ſont au deſſus de nous il faut dire Monſieur tout court.	Apprenez qu'il n'est parespect jeux d'appeler les gens par leur nom et qu'à ceux qui sont au dessus de nous il faut dire Monsieur tout court.
G.	G.
DANDIN Hé bien, Monſieur tout court & non plus Monſieur de Sotenuille, i’ay à vous dire que ma fenane me donne.	DANDIN Hé bien, Monsieur tout court et non plus Monsieur de Sotenville, j'ai à vous dire que ma fenane me donne.
Mr.	Mr.
DE SOTENVILLE.	DE SOTENVILLE.
Tout beau.	Tout beau.
Aprenez auſſi que vous ne deuëz pas dire ma femme, quand vous parlez de noſtre fille.	Apprenez aussi que vous ne deviez pas dire ma femme, quand vous parlez de notre fille.
G.	G.
DANDIM I’enrage.	DANDIM J'enrage.
Comment ma femme n’eſt pas ma fem	Comment ma femme n'est pas ma sem
me?	me?
M.	M.
DE SOTENVILLE Ouy, noſtre gendre, elle eſt voſtre femmes mais il ne vous eſt pas permis de l’appeler ainſi & c’eſt tout ce que vous pourriez faire, ſi vous auiez épouſé vne de vos pareilles.	DE SOTENVILLE Oui, notre gendre, elle est vôtre femmes mais il ne vous est pas permis de l'appeler ainsi et c'est tout ce que vous pourriez faire, si vous aviez épousé une de vos pareilles.
G.	G.
DANDIN	DANDIN
Ah!	Ah!
George Dandin, où t’es-tu fourré?	George Dandin, où t'es-tu fourré?
Et de grace, mettez pour vn moment voſtre Gentilhommerie à coſté, & ſouffrez que ie vous parle maintenant counne le poufray.	Et de grâce, mettez pour un moment votre Gentilhommerie à côté, et souffrez que sans vous parle maintenant counne le poufrai.
na diantre ſoit la tyrannie de toutes ces hiſtoires-là.	na diantre soit la tyrannie de toutes ces histoires-là.
Ie vous dis donc que ie ſuis inal ſatis-fait de mon mariage	Je vous dis donc que je suis in satî-fait de mon mariage
Mr.	Mr.
DE SOTENVILLE Et la raiſon mon gendre.	DE SOTENVILLE Et la raison mon gendre.
Me.	Me.
DE SOTENVILLE Quoy parler ainſi d’vne choſe dont vous auez tiré de ſi grands auantages?	DE SOTENVILLE Quoi parler ainsi d'une chose dont vous avez tiré de si grands avantages?
G.	G.
DANDIN Et quels auantages, Madame, puiſque Madame y a?	DANDIN Et quels avantages, Madame, puisque Madame y a?
L’auanturu n’a pas eſté mauuaiſe pour vous car ſans moy vos affaires auec voſtre permiſſion eſtoient rort delabreue, es mun argendu mhupma reboucher d’aſſez bons trous mais moy dequoy y ay-je profité.	L'aventuru n'a pas été mauvaise pour vous car sans moi vos affaires avec votre permission étaient rort délabreue, ès mun argendu mhupma reboucher d'assez bons trous mais moi dequoy y ai-je profité.
ie vous prie, que d’vn alongement de nom & au lieu de George Dandin, d’auoir receu par vous le citre de Monſieur de la Dandiniere?	Je vous prie, que d'avoir alongement de nom et au lieu de George Dandin, d'avoir reçu par vous le citre de Monsieur de la Dandinière?
Mr DE SOTENVILLE Ne contez vous rien, mon gendre, l’auantage d’eſtre allié à la maiſon de Sotenuille?	Mr DE SOTENVILLE Ne contez -vous rien, mon gendre, l'avantage d'être allié à la maison de Sotenville?
Me DE SOTENVTELE.	Me DE SOTENVTELE.
Et à celle de la Prudoterie, dont i’ay l'honneur d’eſtre iſſuë.	Et à celle de la Prudoterie, dont j'ai l'honneur d'être issue.
Maïſon où le ventre auoblit.	Maïson où le ventre avoblit.
& qui pat ce beau priuilege rendra vos enfans Gentilshommes.	et qui pat ce beau privilège rendra vos enfants Gentilshommes.
G.	G.
DANDIN	DANDIN
Ouy, voila qui eſt bien mes enfans ſeront Gentils- hommes, mais ie ſeray cocu moy aſi l’on n’y met of	Oui, voilà qui est bien mes enfants seront Gentils- hommes, mais tu serai cocu moi a l'on n'y met off
Mle Mr.	Mle Mr.
DE SOTENVILLE Que veut dire cela mon gendre?	DE SOTENVILLÉ Que veut dire cela mon gendre?
G.	G.
DANDIN Cela veut dire que voſtre ſi dle ne vit pas comme il faut qu’vne femme viue, & qu’elle fait des choſes qui ſont contre l’honneur.	DANDIN Cela veut dire que votre si le ne vit pas comme il faut qu'une femme vive, et qu'elle fait des choses qui sont contre l'honneur.
Me.	Me.
DE SOTENVILLE Tout beau.	DE SOTENVILLE Tout beau.
Prenez garde à ce que vous dites.	Prenez garde à ce que vous dites.
Ma ille eſt d’vne race trop pleïne de vertu pour ſe porer iamais à faire aucune choſe dont l’honneſteté oit bleſſée, & de la maiſon de la Prudoterie il y a lus de trois cens ans qu’on n’a point remarqué qu’il ait eu de femme Dieu mercy, qui ait fait parler eneDHSOTENVILLE	Ma ille est d'une race trop pleine de vertu pour se porer jamais à faire aucune chose dont l'honnêteté oit blessée, et de la maison de la Prudoterie il y a lus de trois cents ans qu'on n'a point remarqué qu'il ait eu de femme Dieu merci, qui ait fait parler eneDHSOTENVILLÉ
Corbleu, dans la maiſon de Sotenuille on n’a jalais veu de coquette, & la brauoure n’y eſt pas plus ereditaire aux maſles que la chaſteté aux femelles.	Corbleu, dans la maison de Sotenville on n'a jalais vu de coquette, et la bravoure n'y est pas plus ereditaire aux mâles que la chasteté aux femelles.
Me DE SOTENVILLE.	Me DE SOTENVILLE.
Nous auons eu vne Iacqueline de la Prudoterie ui ne voulut iamais eſtre la Maiſtreſſe d’vn Duc & ni;	Nous avons eu une Jacqueline de la Prudoterie ui ne voulut jamais être la Maîtresse d'un Duc et ni;
ocuuerneur de noſtte Prouince.	ocuerneur de notre Province.
Mr.	Mr.
DE SOTENVILLE Il y a eu vne Mathurine de Sotenuille qui refuſa ngt mille écus d'vn Fauory du Roy, qui ne ſuy deandoit ſeulement qua la faueur de luy parler.	DE SOTENVILLE Il y a eu une Mathurine de Sotenville qui refusa négt mille écus d'une Favori du Roi, qui ne suis deandait seulement qua la faveur de lui parler.
G.	G.
DANDIN Ho bien voſtre fill- n’eſt pas ſi difficile que cela;	DANDIN Ho bien votre fill- n'est pas si difficile que cela;
lelle s’eſt apriuoiſée depuis qu’elle eſt chez moy.	Il s'est apriuoisée depuis qu'elle est chez moi.
Mr.	Mr.
DE SOTENVILLE Expliquez vous mon gendre, nous ne fonmes oint gens à la ſupporte?	DE SOTENVILLE Expliquez -vous mon gendre, nous ne fonmes oint gens à la supporte?
dans de mauuaiſes actions, nous ſerons les premiers, ſa mere & moy, à vous en faire la juſtice.	dans de mauvaises actions, nous serons les premiers, sa mère et moi, à vous en faire la justice.
Me DE SOTENVILLE Nous n’entendons point raillerie ſur les matieres de l’honneur & nous lauons eſleuée dans toute la ſeutinte pombl2 DANDIN	Me DE SOTENVILLE Nous n'entendons point raillerie sur les matières de l'honneur et nous lavons élevée dans toute la seutinte pombl2 DANDIN
Tout ce que ie vous puis dire c’eſt qu’il y a icy vn certain Courtiſan que vous auez veu qui eſt amoureux d’elle à ma barbe & qui luy a fait faire des proteſtations d’amour qu’elle a treshumainement cocutuar Me DE SOTENVILLE	Tout ce que je vous puis dire c'est qu'il y a ici un certain Courtisan que vous avez vu qui est amoureux d'elle à ma barbe et qui a a fait faire des protestations d'amour qu'elle a treshumainement cocuar Me DE SOTENVILLE
Ie vous ay dit ce qui ſe paſſe pour vous faire mes plaintes, & ie vous demande raiſon de cette affairs	Je vous ai dit ce qui se passe pour vous faire mes plaintes, et Seigneur vous demande raison de cette affairs
Iour de Dieu, ie l’eſtranglerois de mes propres mains, s’il falloit qu’elle forlignaſt de l’honneſteté	Jour de Dieu, allait l'étranglerais de mes propres mains, s'il fallait qu'elle forlignât de l'honnêteté
de ſa mere, Mr.	de sa mère, Mr.
DE SOTENVILLE Corbleu, ie luy paſſerois mon eſpée au trauers du corps à elle & au galand ſi elle auoit forfait à ſon honneur.	DE SOTENVILLE Corbleu, ie lui passerais mon épée au travers du corps à elle et au galant si elle avait forfait à son honneur.
G DANDIN	G GANDIN
là Mr.	là Mr.
DE SOTENVILLE Ne vous tuurmentez pomne, le voue la reray de tous deux & ie ſuis homme pour ſerrer le bouton à qui que ce puiſſe eſtre.	DE SOTENVILLE Ne vous tuurmentez pomne, le voue la rerai de tous deux et ie suis homme pour serrer le bouton à qui que ce puisse être.
Mais eſtes vous pas bien ſeur auſſi de ce que vous nous dites	Mais êtes -vous pas bien sûr aussi de ce que vous nous dites
Tres ſeur G.	Très sûr G.
DANDIN Mr.	DANDIN Mr.
DE SOTENVILLE Prenez bien garde au moms, car entre Gentilshommes, ce ſont des choſes chatoüilleuſes & il n’eſt pas queſtion d’aller faire icy vn pas de Clere	DE SOTENVILLE Prenez bien garde au moments, car entre Gentilshommes, ce sont des choses chatouilleuses et il n'est pas question d'aller faire ici un pas de Clèvre
G DANUIN Ie ne vous ay rien dit, vous dis-je, qui ne ſoit ve	G GANUIN Je ne vous ai rien dit, vous dis-je, qui ne soit ve
ritable.	ritable.
Mr.	Mr.
DE SOTENVILLE tiament allez vous en parler à voſtre fille tandis qu’auee mon gendre j’iray parler à l'homme,	DE SOTENVILLE tiament allez -vous en parler à votre fille tandis qu'ave mon gendre j'irai parler à l'homme,
Me.	Me.
DE SOTENVT EL Se pourroit-il', mon fils, qu'elle s’oubliaſt de la ſorte, apres le ſage exemple que vous ſçauez vous meſme COMEDIE.	DE SOTENUT ÉL Se pourrait-il', mon fils, qu'elle s'oubliât de la sorte, après le sage exemple que vous savez vous même COMÉDIE.
meſmè que ie luy ay donnè.	mesmè que ie luy ai donné.
M.	M.
DE SOTENVILLE Nous allons éclaircir l’affaire.	DE SOTENVILLE Nous allons éclaircir l'affaire.
Suiuez-moy mon gendre & ne vous mettez pas en peine, vous verr 2 de quel bois nous nous chauffons lors qu’on s’attaque à ceux qui nous peuuent appartenir.	Suivez-moi mon gendre et ne vous mettez pas en peine, vous verr 2 de quel bois nous nous chauffons lors qu'on s'attaque à ceux qui nous peuvent appartenir.
S DINDIN Le voicy qui vient vers nous.	 SINDIN Le voici qui vient vers nous.
SCENE V.	SCÈNE V.
Mr.	Mr.
DE SOTENVILLE, CLITANDRE, GLORGE DHIJDIN.	DE SOTENVILLE, CLITANDRE, GLORGE DHINDIN.
Mr.	Mr.
DE SOTENVILLE.	DE SOTENVILLE.
pomneur, auus je connu de vous?	pomneur, auus je connu de vous?
AVI CLITANDRE Non pas que ie ſçache Monſieur.	AVI CLITANDRE Non pas que Ne sache Monsieur.
Mr.	Mr.
DE SOTENVILLE Ie m’appelle le Boron de Sotenuille,	DE SOTENVILLE Je m'appelle le Boron de Sotenville,
CLITANDRE Ie m’en réjoüis fort.	CLITANDRE Je m'en réjouis fort.
Mr.	Mr.
DE SOTENVILLE Mon nom eſt connu à la Cour, & j’eus l'ilonneur dans ma jeuneſſe de me ſignaler des premiers à l’arriere-bon de Nancy.	DE SOTENVILLE Mon nom est connu à la Cour, et j'eus l'ilonneur dans ma jeunesse de me signaler des premiers à l'arrière-bon de Nancy.
CLITANDRE A la bonne heure,	CLITANDRE A la bonne heure,
Mite DE Sorblelen Monſieur mon pere Iean-Gilles de Sotenuille eut la gloire d’aſſiſter en perſonne au grand ſiege de Montauban.	Mite DE Sorblelen Monsieur mon père Jean-Gilles de Sotenville eut la gloire d'assister en personne au grand siège de Montauban.
