Avec Permiſſion.	Avec Permission.
Il faut que j’aille ſur la Terre Y faire en me joüant ce que j’ay fait aux Cieux.	Il faut que j'aille sur la Terre Y faire en me jouant ce que j'ai fait aux Cieux.
Il eſt certains côteaux vers les climats de Thrace Où l’on me connoiſt moins que je n’ay reſolu:	Il est certains côteaux vers les climats de Thrace Où l'on me connaît moins que je n'ai résolu:
Je ne crois pas pour peu de ſejour que j’y faſſe Que les cœurs y reſtent de glace, Et qu’on n’y ſuive pas mon pouvoir abſolu.	Je ne crois pas pour peu de séjour que j'y fasse Que les cœurs y restent de glace, Et qu'on n'y suive pas mon pouvoir absolu.
je vais daus ce Pays conduire l’allegreſſe Qui me ſuit partout où je vas:	je vais daus ce Pays conduire l'allégresse Qui me suit partout où je vas:
Mais que veut dõc Momus qu’il vole, & qu’il s’emA marcher ainſi ſur mes pas.	Mais que veut donner Momus qu'il vole, et qu'il s'em cher ainsi sur mes pas.
Tpreſſe	Tpresse
MOMUS.	MOMUS.
Ce que je veux moy.	Ce que je veux moi.
L’AMOUR.	L'AMOUR.
Oüy.	Oui.
MOMUS.	MOMUS.
Je veux par tout vous ſuivre, Vous dreſſer, vous faire la Loy, Vous tourner, vous apprendre à vivre, Et vous montrer, compete, à n’aller pas ſans moy.	Je veux par tout vous suivre, Vous dresser, vous faire la Loi, Vous tourner, vous apprendre à vivre, Et vous montrer, compète, à n'aller pas sans moi.
A iij Momus ſera toûjours dans ſon humeur de rire;	À iij Momus sera toujours dans son humeur de rire;
C’eſt en vain contre luy qu’on voudroit ſe fâcher:	C'est en vain contre cela qu'on voudrait se fâcher:
Il ne faut que l’entendre & que le laiſſer dire, C’eſt l’unique moyen de pouvoir l’enp ether De bouffonner & de médire.	Il ne faut que l'entendre et que le laisser dire, C'est l'unique moyen de pouvoir l'enp éther De bouffonner et de médire.
MOMUS.	MOMUS.
tue dncicvous done la?	tue dncicvous donce la?
dans le fond de vos dems Je penſe avoir ouy prononcer quelque choſe.	dans le fond de vos démens Je pense avoir oui prononcer quelque chose.
Point du tout.	Point du tout.
LAMOUR,	LAMOUR,
MOMUS.	MOMUS.
Il faut donc que je ſois de ces geus A qui leur oreille impoſe.	Il faut donc que je sois de ces geus À qui leur oreille impose.
L’AMOUR.	L'AMOUR.
Il le faut je dis ſeulement Qu'en ces lieux le peuple s’apptête A ſolemniſer une fête Dont je veux augmenter la pompe & l’agrément.	Il le faut je dis seulement Qu'en ces lieux le peuple s'apptête A solenniser une fête Ont je veux augmenter la pompe et l'agrément.
MOMUS.	MOMUS.
Bon cela, mais je veux eſtre de la partie;	Bon cela, mais je veux être de la partie;
rrulirojen, euet amour, que renez-vous fans moi On s’ennuye de vous ma foy;	rrulirojen, euet amour, que rené-vous sans moi On s'ennuie de vous ma foi;
Et ſi je ne vous ſers avec ma raillerie, Vous n’êtes pas de grand aloy.	Et si je ne vous sers avec ma raillerie, Vous n'est pas de grand aloi.
L’AMOUR.	L'AMOUR.
Bien ſoit, n’en parlons plus, admirons ce ſpectaele, Et de ces jeux charmans achevons le miracle.	Bien soit, n'en parlons plus, admirons ce spectaèle, Et de ces jeux charmant achevons le miracle.
MOMUS.	MOMUS.
Mais encot quãd j’y penſe entre nous, cher Amour, Qui diantre vous amene en ce mottel ſejour?	Mais encot quand j'y pense entre nous, cher Amour, Qui diantre vous amène en ce mottel séjour?
Que venez-vous y faire.	Que venez-vous y faire.
Avez-vous dans la teſte D’y venir achetet ou vendre quelque beſte:	Avez-vous dans la tête D'y venir achet ou vendre quelque bête:
Eſtes-vous maquignon:	Êtes-vous maquignon:
almez-vous les Chevaux Ou ſi vous y venez pour a chetet des Veaux?	almez-vous les Chevaux Ou si vous y venez pour a chet des Veaux?
Dites donc:	Dites donc:
ferez-vous quelque emploite à la foire.	ferez-vous quelque emploite à la foire.
Ou ſi vous u’y venez que pour dire que voire.	Ou si vous ouv'y venez que pour dire que voire.
Reponde l,	Réponde l,
L’AMOUR, Que veux-tu pour bannit le lotije viens de cette pompe angmenter le plaiſir, Y cauſer les effets que cauſe ma preſence, En redoubler la joye & la magnificence, Palle lane eu ce neu ce qu’onrait ou jeruis C’eſt-a-dire bien rite & bannir les ennuis.	L'AMOUR, Que veux-tu pour bannit le loti viens de cette pompe angmenter le plaisir, Y causer les effets que cause ma présence, En redoubler la joie et la magnificence, Palle lane eu ce neu ce qu'onrait ou jervis C'est-à-dire bien rite et bannir les ennuis.
MOMUS.	MOMUS.
Hom hom:	Hom hom:
Je vous entens;	Je vous entends;
l’exercice eſt honnête Vous venez apporter force bois à la feſte, le vrera une euiigerla Beescle a l ecure A faire en tapinois d’un Berger un Cornart.	l'exercice est honnête Vous venez apporter force bois à la fête, le verra une euiigerla Beescle à l ecure À faire en tapinais d'un Berger un Cornart.
Fort bien	Fort bien
L’AMOUR.	L'AMOUR.
Il n’eſt rien moins que ce que tu veux dite, Des cœurs qui ſont à moy je renonce à l’Empire Je n’en veux qu’à ces Gens qui rejettent mes loix, Qu’à ces cœurs endurcis qui ſont ſourds à ma voix, Dt qui ine rerorans Monneur de leur deraite Rendent mes efforts vains & ma gloire imparfaite, Qui trouvent du ſcrupule à ſe laiſſer chariner, Qui ſe font un honneur de ne jamais aimer,	Il n'est rien moins que ce que tu veux dite, Des cœurs qui sont à moi je renonce à l'Empire Je n'en veux qu'à ces Gens qui rejettent mes lois, Qu'à ces cœurs endurcis qui sont sourds à ma voix, Dt qui ine rerorants Monneur de leur deraite Rendent mes efforts vains et ma gloire imparfaite, Qui trouvent du scrupule à se laisser chariner, Qui se font un honneur de ne jamais aimer,
MOMUS.	MOMUS.
Oh oh!	Oh oh!
eſt-il beaucoup de ces Meſſieurs au monde Qui s’empêchent d’aimer ou la Brune ou la Blonde, Et qui moins ignorans que le ſieur Jupiter Sçachent mieux que luy l’art de s’en bien exemter?	est-il beaucoup de ces Messieurs au monde Qui s'empêchent d'aimer ou la Brune ou la Blonde, Et qui moins ignorants que le sieur Jupiter Sachent mieux que deux l'art de s'en bien exemter?
L’AMOUR.	L'AMOUR.
Il s’en trouve, Momus.	Il s'en trouve, Momus.
Quoy pendant que tout aime, Que tout a de l’amour & que j’en ay moy-même, Que les ours dans les bois, les Poiſſons dans la mer, Les Reptiles dans la terre, & les oiſeaux dans l’air, Enfin que toute choſe aime dans la nature, Parmi le geure hu main il ſeroit creature Qui put demeutertemme, ce maigre vox appas Dire aime qui voudra pour moy je n’aime pas	Quoi pendant que tout aime, Que tout à de l'amour et que j'en ai moi-même, Que les ours dans les bois, les Poissons dans la mer, Les Reptiles dans la terre, et les oiseaux dans l'air, Enfin que toute chose aime dans la nature, Parmi le geure hu main il serait créature Qui put demeutertemme, ce maigre vox appas Dire aime qui voudra pour moi je n'aime pas
L’AMOUR.	L'AMOUR.
Il eſt ainſi, Momus, ſur tout dans cette terre Les cœurs des habitãs ſont tous nez pour la guerre, Des Charmes les plus grands ils fuyent la douceur, C’eſt un tourment pour eux que ma plus tendre ardeur:	Il est ainsi, Momus, sur tout dans cette terre Les cœurs des habitants sont tous nés pour la guerre, Des Charmes les plus grands ils fuient la douceur, C'est un tourment pour eux que ma plus tendre ardeur:
Pour eux l’Amour n’eſt point un plaiſir legitime, Jamais on ne l’y fait qu’on ne commette un crime, Tout ce qu’ils ont d’amour n’eſt que pour les comEt pour eux la tendreſſe eſt un bien ſans appas:	Pour eux l'Amour n'est point un plaisir légitime, Jamais on ne l'y fait qu'on ne commette un crime, Tout ce qu'ils ont d'amour n'est que pour les comEt pour eux la tendresse est un bien sans appas:
bas Rien encor pour l’ardeut dont ils aiment la guerte, S’ils n’en infectoient point le reſte de la terre;	bas Rien encor pour l'ardut dont ils aiment la guerte, S'ils n'en infectaient point le reste de la terre;
Mais aujalurles poras ou le soien qui Iule Acheve ſa carriere & fait naitre la nuit, Des Peuples tous entiers, des Nations entieres N’ont plus d’autres ardeurs que des ardeurs guerMOMUIS.	Mais aujalurles poras ou le soyen qui Iule Acheve sa carrière et fait naître la nuit, Des Peuples tous entiers, des Nations entières N'ont plus d'autres ardeurs que des ardeurs guerMOUIS.
rieres.	rières.
Oh cela n’eſt pas bien:	Oh cela n'est pas bien:
il faut faire l’amour, Et c’eſt bien la raiſon qu’on la danſe à ſon tour, Mais eſtes-vous bien ſeur qu’en Gaule comme en [Thrace Il ſoit bien de ces Gens qui n’aiment qu’à la glace, Et qui lors que leurs yeux voyent de beaux objets, Deffendent à leur cœur de faire de projets.	il faut faire l'amour, Et c'est bien la raison qu'on la danse à son tour, Mais êtes-vous bien sûr qu'en Gaule comme en [Thrace Il soit bien de ces Gens qui n'aiment qu'à la glace, Et qui lors que leurs yeux voient de beaux objets, Défendent à leur cœur de faire de projets.
Croyez-moy tout leus casta en raon quu] pocriſie;	Croyez-moi tout lus casta en raon quu] pocrisie;
Ceux qui craignent d’aimer en ont le plus d’envie Ce ſont de-Charlatans, des Tartuffes d’amour, Cens qui bruſſent de nuit sns ne bronent de joux	Ceux qui craignent d'aimer en ont le plus d'envie Ce sont de-Charlatans, des Tartuffes d'amour, Cens qui brussent de nuit sns ne bronent de joux
L’AMOUR.	L'AMOUR.
C’eſt ce que je prétens, & c’eſt dans cette vuë, Que j’ay percé les Cieux & traverſé la Nuë, Je veux rendre amoureux & toucher les Bergers Que ce jour chaque année aſſemble en ces vergers;	C'est ce que je prétends, et c'est dans cette vue, Que j'ai percé les Cieux et traversé la Nue, Je veux rendre amoureux et toucher les Bergers Que ce jour chaque année assemble en ces vergers;
Je veux leur inſpirer aujour d’hui pour mes charmes L’ardeur que leurs Heros ne donnent qu’à leurs arLes mettre ſur le pié de tecevoir maloy, [mes, Et de ne reſpirer ny vivre que pour moy.	Je veux leur inspirer aujour d'hui pour mes charmes Lardeur que leurs Héros ne donnent qu'à leurs arLes mettre sur le pie de tecevoir maloi, [mes, Et de ne respirer ainsi vivre que pour moi.
MOMUS.	MOMUS.
Oh vous reüſſirez, ou j’engage ma teſte!	Oh vous réussirez, ou j'engage ma tête!
Teſtcorea qve uo oiut quirvit eſtre de feſte, Que de Gens qui vont rite & danſer comme il faut:	Testcorea oiut quirvit être de fête, Que de Gens qui vont rite et Tescomme a faut:
Oh je ne doute point qu’ils ne vinſſeut bientoſt.	Oh je ne doute point qu'ils ne vinsseut bientôt.
L’AMOUR.	L'AMOUR.
Je m’en vais un moment parcourir ce Boccage, Et viſiter un peu les Foreſts d’alentour;	Je m'en vais un moment parcourir ce Bocage, Et visiter un peu les Forêts d'alentour;
Sou vien-toy toûjours d’eſtre ſage, Et de ne declarer ny Momus, uy l’Amour.	Sou vien-toi toujours d'être sage, Et de ne déclarer Seigneur Momus, ui l'Amour.
MOMUS.	MOMUS.
Non non, puiſque je ſuis le tenant de la feſte, Et que l’Amour eſt en defaut:	Non non, puisque je suis le tenant de la fête, Et que l'Amour est en défaut:
Je prétens en fairs à ma reſte, Il faut que de mon chef je livre quelque aſſaut, Et qu’à quelque Bergere honneſte Je faſſe faire le ſaut.	Je prétends en fairs à ma reste, Il faut que de mon chef je livre quelque assaut, Et qu'à quelque Bergère honnête Je fasse faire le saut.
FIN DU PROLOGUE.	FIN DU PROLOGUE.
A ( T L I.	À ( T L I.
SCENE I.	SCÈNE I.
CELIDE, MOMUS, AMARILLE.	CELIDE, MOMUS, AMARILLE.
ZELIDE.	ZELIDE.
A Sœur ſi vous ſçavez ce que c’eſt que l’AM Dites-le moy je vous en prie, [mour Car je ne ſçais depuis un jour Ce que j’ay dans la fantaiſie:	À Sœur si vous savez ce que c'est que l'AM Dites-le moi je vous en prie, [mour Car je ne sais depuis un jour Ce que j'ai dans la fantaisie:
On m’a dit que ce a’eſt que de l’amour que j’ay.	On m'a dit que ce a'est que de l'amour que j'ai.
MOMOS.	MOMOS.
Ne voilà pas mon compte:	Ne voilà pas mon compte:
& d’une, & d’une belle De qui le cœur en tient dans l’aîle.	et d'une, et d'une belle De qui le cœur en tient dans l'aîle.
ZELIDE.	ZELIDE.
e me ſens le cœur tout changé Je ne ſçais ce que j’ay dans le fond de mon ame Qui me chagrine & qui m’enflame, Dele un mar quime gene de qui mne met a bout, Si c’eſtoit de l’amour dites-moy comme faire, Car j’ay beau vouloir m’en défaire En quelque lieu que j’aille il me trouve par tout.	Je me sens le cœur tout changé Je ne sais ce que j'ai dans le fond de mon âme Qui me chagrine et qui m'enflamme, Dele un mar me gène de qui me met a bout, Si c'était de l'amour dites-moi comme faire, Car j'ai beau vouloir m'en défaire En quelque lieu que j'aille il me trouve par tout.
AMARILLE Ma Sœur je ne ſçais pas ſi de même planettes Nous ont vû naître toutes deux:	AMARILLE Ma Sœur je ne sais pas si de même planètes Nous ont vu naître toutes deux:
Mais du coſté de l’aveu que vous faites, Mon cœur n’eſt pas moins malheureux.	Mais du côté de l'aveu que vous faites, Mon cœur n'est pas moins malheureux.
Le même chagrin m’embaraſſe, Et je crois reſſentir ſur tout depuis un jour.	Le même chagrin m'embarrasse, Et je crois ressentir sur tout depuis un jour.
Tout ce que l’on m’a dit que fait ſentir l’amour, Je crains que houe majons une meme diſgrace.	Tout ce que l'on m'a dit que fait sentir l'amour, Je crains que houe majons une meme disgrâce.
MOMUS.	MOMUS.
Et deur.	Et devr.
ZELIDE.	ZELIDE.
Dieux qu’eſt-cecy que nous venons de dire.	Dieux qu'est-ceci que nous venons de dire.
MOMUS.	MOMUS.
Dieu vous gard:	Dieu vous gard:
pourſuivez.	poursuivez.
MMARTLEEe.	MARTLEEe.
Ma Sœur qu’avons-nous dit.	Ma Sœur qu'avons-nous dit.
LELIDE.	LELIDE.
Vray Dieu comme il eſt fait:	Vrai Dieu comme il est fait:
c’eſt je penſeun eſprit;	c'est je penseun esprit;
MOMUS Pourſuivez donc vous dis je, ou bien je me retire.	MOMUS Poursuivez donc vous dis -je, ou bien je me retire.
AMARILLE.	AMARILLE.
Tle, mon Cieu, lauvonsadous.	Tle, mon Cieu, lavonsadous.
MOMUS.	MOMUS.
s’oppoſant à ſa fuite.	s'opposant à sa fuite.
Ou voulez-vous aller?	Ou voulez-vous aller?
ZELIDE.	ZELIDE.
Nous prétendons aller où nous avons affaire.	Nous prétendons aller où nous avons affaire.
MOMUS.	MOMUS.
Vous étes bien hurdie nimterla la bergere.	Vous êtes bien hurdie nimterla la bergère.
AMARILLE.	AMARILLE.
Ma sœur c'eit un elprit:	Ma sœur c'it un élprit:
nn en faut plus parler Sauvons-nous,	Non en faut plus parler Sauvons-nous,
MOMUS.	MOMUS.
Par la mort, ſi vous changez de face.	Par la mort, si vous changez de face.
ZELIDE.	ZELIDE.
Mhala eucor que nuns tudlelveas,	Mhala eucor que nuns tudlèveas,
MOMUS.	MOMUS.
Que pour appaiſer mon couroux Chacune de vous deux m’embraſſe Vite, & qu’on ne differe pas.	Que pour apaiser mon courroux Chacune de vous deux m'embrasse Vite, et qu'on ne diffère pas.
ZELIDE.	ZELIDE.
Ah, mon Dieu, tuez-moy ;	Ah, mon Dieu, tuez-moi ;
j’aime mieux le trépas.	j'aime mieux le trépas.
B i.	B y.
Milaaneranoy psuton la vies	Milaaneranoi psuton la vies
MOMUS.	MOMUS.
Ah ah:	Ah ah:
vous voulez donc que ie vous eſtropie, C,a ça.	vous voulez donc que croire vous estropie, Ça ça.
ZELIDE.	ZELIDE.
Hé.	Hé.
MOMUS.	MOMUS.
Vite donc.	Vite donc.
LELIDE.	LELIDE.
Mon Dieu !	Mon Dieu !
MOMUS.	MOMUS.
Que de façot.	Que de façot.
AMARILLE.	AMARILLE.
Auis encor que hous veut ce vilain Poliſſon.	Auis encor que hous veut ce vilain Polisson.
MOMUS.	MOMUS.
je lon m embralle vitce.	je lon m embrale vitce.
Mon Dieu!	Mon Dieu!
ZELIDE.	ZELIDE.
MOMUS.	MOMUS.
Hé bien mon Dieu!	Hé bien mon Dieu!
que ſert cette chanſon:	que sert cette chanson:
Vous en ſeriez déja quitte.	Vous en seriez déjà quitte.
ZELIDE.	ZELIDE.
Eh!	Eh!
Seigneur tuez-moy plutoſt:	Seigneur tuez-moi plutôt:
Oüy j’aime mieux mourir que de baiſer un homme.	Oui j'aime mieux mourir que de baiser un homme.
MOMUS Se mettant en peſture de maltraitor ou plutôt embraſſer Zelide, Amarille ſe jette à ſon Col.	MOMUS Se mettant en pauvre de maltraitor ou plutôt embrasser Zélide, Amarille se jette à son Col.
Retirez-vous que je l’aſſomme:	Retirez-vous que je l'assomme:
Larquoy ne faire pas les choſes comme il faut.	Larquoi ne faire pas les choses comme il faut.
SCENE II.	SCÈNE II.
MOMUS, LYSIDAS, AMARILLE, ZELIDE.	MOMUS, LYSIDAS, AMARILLE, ZELIDE.
LYSIDAS.	LYSIDAS.
OU ſuis-je?	OÙ suis-je?
ſommeillay-je, oubien ſi je ſuis mort.	sommeillai-je, oubien si je suis mort.
Reſvay-je?	Révai-je?
ou ſi j’ay la berluë?	ou si j'ai la berlue?
Non morbleu, je n’auray pas tort Allons:	Non morbleu, je n'aurai pas tort Allons:
il faut que je le tuë.	il faut que je le tue.
Mais quoy qui me retient le bras, Qu'eſt-ce que je ſens qui me lie.	Mais quoi qui me retient le bras, Qu'est-ce que je sens qui me lie.
Ceit uu borcrer de Theſſalie.	Cit u borcrer de Thessalie.
Mais morbleu qui me rend ſi las:	Mais morbleu qui me rend si las:
je n'ay pas le pouvoir de branſler ma noulette:	je n'ai pas le pouvoir de branler ma nouvlette:
ZELIDECiel voilà juſtement le Berger Lyſidas.	ZELIDECiel voilà justement le Berger Lysidas.
MOMUS.	MOMUS.
Ne vous chagrinez point, je vais faire retraite Il ne branſlera pas.	Ne vous chagrinez point, je vais faire retraite Il ne branlera pas.
Servneur, ſereneur.	Servneur, sereneur.
LYSIDAS.	LYSIDAS.
Atten-moy-à larron d’honneur.	Atten-moi-à larron d'honneur.
je.	je.
MOMUS.	MOMUS.
Serviteur, Serviteur.	Serviteur, Serviteur.
SCENE III.	SCÈNE III.
LYSIDAS, AMARILLE, ZELIDE.	LYSIDAS, AMARILLE, ZÉLIDE.
LYSIDAS.	LYSIDAS.
E Voleur qui baiſoil a ia rois deux Bergeres.	 Voleur qui baisoil a ja rois deux Bergères.
D AMARILLE.	 DAMARILLE.
Quand vous voudrez pourtant vous pourrez dire LYSIDAS.	Quand vous voudrez pourtant vous pourrez dire LYSIDAS.
mieux.	mieux.
N’avez-vous pas bien vû que ce n’eſt qu’un eſpris, N’allez-vous point encore enrager de dépit Et prendre encore pour un homme Ce qui n’eſt qu’un eſprit, qu’un ombre, qu’un fan	N'avez-vous pas bien vu que ce n'est qu'un épris, N'allez-vous point encore enrager de dépit Et prendre encore pour un homme Ce qui n'est qu'un esprit, qu'un ombre, qu'un fan
En effet:	En effet:
il eſt vray que je n'ay pas des yeux, ne quece que j’ay vû n’eſt encor que chymeres Non non, vous n’aimez pas, les preuves en ſont AMARILLE.	il est vrai que je n'ai pas des yeux, ne quece que j'ai vu n'est encor que chimères Non non, vous n'aimez pas, les preuves en sont AMARILLE.
claires.	claires.
LYSIDAS.	LYSIDAS.
tôme?	tôme?
La peite quererpiit quer rantome, quincombre.	La péite quererpiit quer rantome, quincombre.
Fy fy de ces eſprits:	Fi fi de ces esprits:
aprés ce que j’ay vû Si vous voyez ainſi des eſprits en grand nombre J’aurois toûjours au mien que je ſerois.	après ce que j'ai vu Si vous voyez ainsi des esprits en grand nombre J'aurais toujours au mien que je serais.
perdu.	perdu.
AMARILLE.	AMARILLE.
Vous pouvez vivre en aſſeurance En vain de ce coſté vous auriez quelque peur, Ce que je ſens pour vous d’ardeur Ne vous doit point encor donner de défiance.	Vous pouvez vivre en assurance En vain de ce côté vous auriez quelque peur, Ce que je sens pour vous d'ardeur Ne vous doit point encor donner de défiance.
LYSIDAS.	LYSIDAS.
Eh bien l’eſprit deja joüe-t’il pas ſon jeu.	Eh bien l'esprit déjà joue-t-il pas son jeu.
Helas malheureuſe entreveuë;	Hélas malheureuse entrevue;
Avant qu’on vit ,eſprie enenene tourdureu,	Avant qu'on vit ,esprie enenene tourdureu,
Mais depuis qu’on l’a vû mon amour n’a plus lieu, Et l’on me regarde auſſi peu Que ſi j’étois tombé du centre d’une nuë.	Mais depuis qu'on l'a vu mon amour n'a plus lieu, Et l'on me regarde aussi peu Que si j'étais tombé du centre d'une nue.
Eſprit maudit eſprit d’où donc es-tu venu Pour me portet ainſi biſiere:	Esprit maudit esprit d'où donc es-tu venu Pour me portet ainsi bisière:
Qui t'a luie?	Qui t'a luie?
où vas tu?	où vas tu?
qui t’a mis en lumiere Pour me venir ainſi ravir ce qui m’eſt dû?	qui t'a mis en lumière Pour me venir ainsi ravir ce qui m'est dû?
AMARILLE.	AMARILLE.
En verité, Berger, vous n’eſtes pas trop ſage;	En vérité, Berger, vous n'êtes pas trop sage;
Vous croyez avoir vû ce qu’on ne vit jamais.	Vous croyez avoir vu ce qu'on ne vit jamais.
e ne puis voir des Gens à qui de vains regrets Leur font de leur etprie perdre l’entier uſage.	Je ne puis voir des Gens à qui de vains regrets Leur font de leur étprie perdre l'entier usage.
SCENE IV.	SCÈNE IV.
LYSIDAS.	LYSIDAS.
Eur font de leur eſprit perdre l’entier uſage.	Eur font de leur esprit perdre l'entier usage.
LAinſi l’eſprit toûjours luy revient à l’eſprit, Et dans le même inſtant que l’ingrate me fuit, Elle me jette encor ſon eſprit au viſage.	LAinsi l'esprit toujours lui revient à l'esprit, Et dans le même instant que l'ingrate me fuit, Elle me jette encor son esprit au visage.
Eſprit maudit eſprit, helas!	Esprit maudit esprit, hélas!
que je pré voi Que tu me vas couter de peines & d’allarmes, Que je vay faire de vacarmes Dans la colere où je me voi, (ε Encot s’il avoit eu mes charmes, S’il avoit eſté grand, bien fait, beau comme moy, I’aurois eu patience, & d’eſſuyer mes larmes le me fuſſe impoſé la loy.	que je pré cot Que tu me vas coûter de peines et d'alarmes, Que je vais faire de vacarmes Dans la colère où je me voi, ( Encot s'il avait eu mes charmes, S'il avait été grand, bien fait, beau comme moi, J'aurais eu patience, et d'essuyer mes larmes le me fusse imposé la loi.
Mais qu’un vieil malotru qui n’a pour tout d’un Que l’apparence & le fantôme, (homme Qui choque & qui déplaiſt aux yeux Me vienne dérober ce que j’aime le mieux, Morbleu c’eſt un outrage à s’aller faire pendre, C’eſt un afftont ſi grand, ſi dur, ſi furieux, u’il n’eſt rien à preſent que je n’oſe entreprendre, Et puiſque je me vois à ce point malheureux, Je m’en vais.	Mais qu'un vieil malotru qui n'a pour tout d'un Que l'apparence et le fantôme, (homme Qui choque et qui déplaît aux yeux Me vienne dérober ce que j'aime le mieux, Morbleu sest un outrage à s'aller faire pendre, C'est un afftont si grand, si grand, si grand, sil gest rien a présent que je ose entreprendre, Si furie je me vois ce point malheureux, Je en vais.
SCENE V.	SCÈNE V.
LYSIDAS, TYRSIS.	LYSIDAS, TYRSIS.
TYRSIS.	TYRSIS.
Yſidas, ſçais-tu bien la nouvelle.	Ysidas, sais-tu bien la nouvelle.
Non :	Non :
qu’elle.	qu'elle.
LYSIDAS.	LYSIDAS.
TYRSIS.	TYRSIS.
Sçais-tu que l’Amour Paroît en ces lieux-memes où la feſte t’appelle, Et qu’orné de l’éclat de ſa gloire immortelle Il s’eſt fait voit icy depuis un jour.	Sais-tu que l'Amour Paraît en ces lieux-même où la fête t'appelle, Et qu'orné de l'éclat de sa gloire immortelle Il s'est fait voit ici depuis un jour.
LYSIDAS.	LYSIDAS.
al Taey, fla dueur, dala	al Tai, fla dueur, dala
TYRSIS.	TYRSIS.
L’Amour, le Dieu d’Amout Qui du Ciel & des cœurs fait toûjours ſon ſéjour.	L'Amour, le Dieu d'Amout Qui du Ciel et des cœurs fait toujours son séjour.
LYSIDAS.	LYSIDAS.
Attendez, attendez je commence à comprendre:	Attendez, attendez je commence à comprendre:
’entens même déja tout ce que vous avez dit, Ou du moins je crois l’entendre.	’entens même déja tout ce que vous avez dit, Ou du moins je crois l’entendre.
N’eſt-ce pas un Minois Vilain, Camard, Petit Et qui tantoſt ſur ces mêmes bruyeres, Baiſoit à la fois deux Bergeres, Et qu’on diſoit être un eſprit.	N'est-ce pas un Minois Vilain, Camard, Petit Et qui tantôt sur ces mêmes bruyères, Baisait à la fois deux Bergères, Et qu'on disait être un esprit.
Non, ce que je dis n’eſt point fable, C’eſt u ne pure verité:	Non, ce que je dis n'est point fable, C'est ne pure verité:
