MADAME,	MADAME,
& laquelle ie ne profeſſe pas ſeulement dans mes ouurages, mais encor dans mes amitieZ, & dans toute l’inſtitution de ma vie.	et laquelle vertu ne professe pas seulement dans mes ouvrages, mais encor dans mes amitieZ, et dans toute l'institution de ma vie.
Ie ſuis,	Je suis,
MESSIEVRS,	MESSIEURS,
Voſtre tres-humble, & tresobeïſſant ſeruiteur, SILLAC D’ARBOIS.	Votre très-humble, et tresobeïssant serviteur, SILAC D'ARBOIS.
DIS COVRS DE LA TRAGEDIE, REMARQVES SVRL’AMOVR TY rannique de Monſieur de Scudery.	DIS COURS DE LA TRAGÉDIE, REMARQUES SURL'AMOUR TY rannique de Monsieur de Scuderi.
Par Monſieur de SILLAC D’ARBOIS.	Par Monsieur de SILLAC D'ARBOIS.
AMOVR Iyrannique de Monſieur de Scudery, eſt vn Poëme ſi parfait, & ſi acheué, que ſi le temps n’euſt point enuié au ſiecle du CARDINAL DE RICHELIEV, la naiſſance d’Ariſtote, ou que Monſieur de Scudery euſt eſcrit ſous l’Empire d’Alexandre;	AMOUR Jyrannique de Monsieur de Scudéri, est un Poème si parfait, et si achevé, que si le temps n'eût point envié au siècle du CARDINAL DE RICHELIEU, la naissance d'Aristote, ou que Monsieur de Scuderi eût écrit sous l'Empire d'Alexandre;
ie penſe auec raiſon que ce Philoſophe auroit reglé vne partie de ſa Poëtique ſur ceſte excellente Tragedie, & qu’il en auroit tiré d’auſſi beaux exemples, que de celle d’Oedipe, qu’il eſtimoit ſingulierement.	Les pense avec raison que ce Philosophe aurait réglé une partie de sa Poétique sur cette excellente Tragédie, et qu'il en aurait tiré d'aussi beaux exemples, que de celle d'Oedipe, qu'il estimait singulièrement.
Depuis que ce diuin homme, ayant remarqué tous les deffauts des Poetes Grecs, & reduit en Art ce qu’il trouuoit d’excellent dans leurs ouurages, nous a enſeigné quelle opinion nous deuions auoir des Poëmes d’autruy, & ce qu’il falloit ſuiure dans les noſtres;	Depuis que ce divin homme, ayant remarqué tous les défauts des Poètes Grecs, et réduit en Art ce qu'il trouvait d'excellent dans leurs ouvrages, nous a enseigné quelle opinion nous devions avoir des Poèmes d'autrui, et ce qu'il fallait suivre dans les nôtres;
il ne ſe trouuera peut-eſtre pas vn des Dramatiques, qui ait ſi bien profité de ſes Remarques, ny ſi fidellement ſuiuy ſes preceptes que Monſieur de Scudery.	il ne se trouvera peut-être pas un des Dramatiques, qui ait si bien profité de ses Remarques, Seigneur si fidèlement suivi ses préceptes que Monsieur de Scuderi.
Si ie donnois ce Diſcours à vne ambition Crytique, pluſtoſt qu’au merite de mon amy, & à la iuſt fication de ſon Poëme, i’aurois icy lieu de faire vn grand examen des Tragiques, & d’amener beaucoup de difficultez, de citations, & d’exemples:	Si grande donnais ce Discours à une ambition Crytique, plutôt qu'au mérite de mon ami, et à la just fication de son Poème, j'aurais ic lieu de faire un grand examen des Tragiques, et d'amener beaucoup de difficultés, de citations, et d'exemples:
Mais comme i’eſcris ſeulement pour ſa gloire, ie me contenteray de faire voir les beautez de ſon ouurage, ſans obſeruer les vices des autres, & ſans eſtablir ſa reputation ſur leurs ruines;	Mais comme j'écris seulement pour sa gloire, on me contenterai de faire voir les beautés de son ouvrage, sans observer les vices des autres, et sans établir sa réputation sur leurs ruines;
& i’auray aſſez fait, ſi ie confitme les Doctes dans l’eſtime qu’ils font de ce	et j'aurai assez fait, si ici confitme les Doctes dans l'estime qu'ils font de ce
Que ſi ie ſuis obligé dans la ſuitte de mon diſcours de comparer à cét ouurage quelques endroits des Anciens, ce ſera ſeulement pour en appuyer la deffence:	Que si ici suis obligé dans la suitte de mon discours de comparer à cet ouvrage quelques endroits des Anciens, ce sera seulement pour en appuyer la défense:
où s’il arriue qu’il faille les conteſtet, ie le feray ſans enuie & lano mlicetution;	où s'il arrive qu'il faille les contestet, Elle le ferai sans envie et lano mlicetution;
de lors ieuiement qu’il me ſemblera neceſſaire.	de lors jeuiement qu'il me semblera nécessaire.
En effet ie n’ay pas deſſein de charger ce Traitté d’vne ſcience inutile, ny d’en eſtudier exactement la compoſition.	En effet grande n'ai pas dessein de charger ce Traité d'une science inutile, notre d'en étudier exactement la composition.
Les Panegyriques ont beſoin des graces de l’Eloquence, & des forces de la Rhetorique, mais non pas les Commentaires;	Les Panégyriques ont besoin des grâces de l'Éloquence, et des forces de la Rhétorique, mais non pas les Commentaires;
& puiſque i’eſcris de imples Remarques ſur l’Amour Tyrannique, pluſtoſt que ie n’en fais l’Eloge, ie laiſſeray le ſoin de l’elocution pour vn autre ſujet, & il me ſuffira de traitter ceſte matiere auec la ſimplicité, & l’ordre qui ſont neceſſaires au ſtile dogmatique.	et puisque j'écris de imples Remarques sur l'Amour Tyrannique, plutôt que ie n'en fais l'Éloge, tu laisserai le soin de l'élocution pour un autre sujet, et il me suffira de traiter cette matière avec la simplicité, et l'ordre qui sont nécessaires au style dogmatique.
Toutefois, d’autant que ce ſtile eſt d’ordinaire eſpineux, & que l’ordre tout ſimple eſt ſec & ſterile, ce ne ſera pas ſans temperer en quelques lieux ceſte dureté & ceſte ſechereſſe, & ſans donner quelque choſe à la volupté de l’eſprit.	Toutefois, d'autant que ce style est d'ordinaire épineux, et que l'ordre tout simple est sec et stérile, ce ne sera pas sans tempérer en quelques lieux cette dureté et cette sécheresse, et sans donner quelque chose à la volupté de l'esprit.
Auparauant que de commencer à iuger de ceſte Tragedie, ( c’eſt ainſi que nous l’appellerons & non pas Tragi-Comedie, pour les raiſons que nous en apporterons en leur lieu) il faut voir quelle eſt la fin & l’vſage que ſe propoſent ces Poëmes, & ce que le Philoſophe que nous ſuiuons en a enſeigné.	Auparavant que de commencer à juger de cette Tragédie, ( c'est ainsi que nous l'appellerons et non pas Tragi-Comédie, pour les raisons que nous en apporterons en leur lieu) il faut voir quelle est la fin et l'usage que se proposent ces Poèmes, et ce que le Philosophe que nous suivons en a enseigné.
D’autant que tous les ouurages eſtant plus parfaits, plus ils approchent de leur fin;	D'autant que tous les ouvrages étant plus parfaits, plus ils approchent de leur fin;
il nous ſera en ſuitte plus aiſé d’examiner s’il en eſt de meſme de celuy de Monſieur de Scudery, & s’il a ce degré de perfection que nous ſouhaittons.	il nous sera en suite plus aisé d'examiner s'il en est de même de celui de Monsieur de Scuderi, et s'il a ce degré de perfection que nous souhaitons.
La Muſe tragique s’occupant principalement à eſmouuoir les paſſions des Spectateurs, par les funeſtes Aduantures qu’elle repreſente, Ariſtote a penſé que ſa fin eſtoit de les appaiſer, & de redonner aux Ames la tranquilité, & le calme qu’elle leur auon ontce.	La Muse tragique s'occupant principalement à esmouuoir les passions des Spectateurs, par les funestes Aduantures qu'elle représente, Aristote a pensé que sa fin était de les appaiser, et de redonner aux Ames la tranquillité, et le calme qu'elle leur avon ontce.
Ia creû que la pitié, & la terreur, eſtant celles qui luy eſtoient propres, elle deuoit les reprimer, & les reduire à vne mediocrité taiſonnable, apres les auoir eſmeuës & ſouleuées, & il a appellé ceſte façon d’appaiſer nos Ames, l’expiation, ou ſi nous l’aimons mieux, la purgation des paſſions & des troubles.	Ia cru que la pitié, et la terreur, étant celles qui lui était propres, elle devait les réprimer, et les réduire à une médiocrité taisonnable, après les avoir émues et souleuées, et il a appelé cette façon d'apaiser nos Âmes, l'expiation, ou si nous l'aimons mieux, la purgation des passions et des troubles.
C’eſtoit de ces paſſions qu’il iugeoit ainſi.	C'était de ces passions qu'il jugeait ainsi.
Il ne les mettoit pas au nombre des vices, mais il ne les ſouffroit pas auſſi parmy les vertus;	Il ne les mettait pas au nombre des vices, mais il ne les souffrait pas aussi parmi les vertus;
ſi bien que ſans les deffendre, & ſans les bannir d’entre les hommes, il ſouhaittoit que les Sages en fiſſent vne habitude, & ſe conſeillaſſent auec leur raiſon, iuſques à quel point, & en quel temps ils les deuoient admettre & les receuoir.	si bien que sans les défendre, et sans les bannir d'entre les hommes, il souhait que les Sages en fissent une habitude, et se conseillassent avec leur raison, jusqu' à quel point, et en quel temps ils les devaient admettre et les recevoir.
Ceſte excellente habitude deuoit naiſtre, à ſon aduis, de la repreſentation des Tragedies;	Cette excellente habitude devait naître, à son avis, de la représentation des Tragédies;
& comme à force d’exercer vn Art, l’on s’yrend parfait à la fin, de meſme l’on acquiert vne mediocrité des paſſions, lors qu’on i’accouſtume à voir ſouuent les obiets qui les excitent dans nos eſprits.	et comme à force d'exercer un Art, l'on s'end parfait à la fin, de même l'on acquiert une médiocrité des passions, lors qu'on j'accoutume à voir souvent les objets qui les excitent dans nos esprits.
Les bons Chirurgiens penſent les plus dangereuſes playes, ſans fremit comme ceux qui n’ont point encor fait de cures:	Les bons Chirurgiens pensent les plus dangereuses plaies, sans frémit comme ceux qui n'ont point encor fait de cures:
La pratique apporte aux Medecins vne inſenſibilité pour les malades, & les vieux Regimens qui ſont tous les iours aux mains auec l’ennemy, l’attaquent ſans le craindre, & ſans s’eſbrauler, comme les nouuelles trouppes.	La pratique apporte aux Médecins vne insensibilité pour les malades, et les vieux Regiments qui sont tous les jours aux mains avec l'ennemi, l'attaquent sans le craindre, et sans s'ébrauler, comme les nouvelles troupes.
Il en eſt de meſme d’vn homme qui voit tous les iours des miſeres;	Il en est de même d'un homme qui voit tous les jours des misères;
il en eſt touché, mais iuſques au point où les Sages le doiuent eſtre, & l’habitude qu’il a d’aſſiſter aux ſpectacles qui luy donnent de la terrour, & de la pitié, luy en procure le temperament & la mediocrité.	il en est touché, mais jusques au point où les Sages le doivent être, et l'habitude qu'il a d'assister aux spectacles qui lui donnent de la terrour, et de la pitié, lui en procure le tempérament et la médiocrité.
Puiſque c’eſt ſur le Theatre que ces choſes ſe repreſentent, que la Scene y retentit des plaintes d’Hecube, d’Electre, d’Antigone;	Puisque c'est sur le Théâtre que ces choses se représentent, que la Scène y retentit des plaintes d'Hecube, d'Élèctre, d'Antigone;
que l’on y introduit Oedipe, Atrée, Ægyſte, & qu’elle peut eſtre à bon droit nommée la lice des paſſions;	que l'on y introduit Oedipe, Atrée, Ægyste, et elle peut être bon droit nommée la lice des passions;
c’eſt auſſi à la repreſentation des Poëmes tragiques où agiſſent ces pertonnes, qu’il faut aller preparer ſes paſſions, & les conduire à ceſte parfaite mediocrité du Philoſophe, où elles n’arriuent iamais, qu’apres elles ne contribuent beaucoup à l’acquiſition de la Vertu, & à la connoiſſance des Sciences.	c'est aussi à la représentation des Poèmes tragiques où agissent ces pertonnes, qu'il faut aller préparer ses passions, et les conduire à cette parfaite médiocrité du Philosophe, où elles n'arrivent jamais, qu'après elles ne contribuent beaucoup à l'acquisition de la Vertu, et à la connaissance des Sciences.
Voila quelle eſt l’opinion d’Ariſtote, touchant l’vſage de la Tragedie, laquelle il nomme pour ceſte cauſe, la reigle des paſſions, qui fait bien voir qu’il n’eſtoit pas du ſentiment de ceux, qui rapportent la fin de ce Poëme ſublime, au plaiſir du peuple;	Voilà quelle est l'opinion d'Aristote, touchant l'usage de la Tragédie, laquelle il nomme pour cette cause, la règle des passions, qui fait bien voir qu'il n'était pas du sentiment de ceux, qui rapportent la fin de ce Poème sublime, au plaisir du peuple;
ce que nous auons bien voulu mettre icy afin de les deſabuſer, & de iuger ſi l’ouurage de Monſieur de Scudery, peut exciter ces eſmotions violentes, qui preparent les eſprits à la vertu ce aux uneipmes, ce sil a ce degle de perlectron que nous ſouhaittous aux excellentes Tragedies.	ce que nous avons bien voulu mettre ici afin de les désabuser, et de juger si l'ouvrage de Monsieur de Scuderi, peut exciter ces émotions violentes, qui préparent les esprits à la vertu ce aux uneipmes, ce sil a ce dégle de perlectron que nous souhaitâtous aux excellentes Tragédies.
Pour cét effet, il le faut examiner ſur les reigles du Philoſophe, & iuger par la regularnte de les parties ieparces, de cenes du tout qu’elles compoſent.	Pour cet effet, il le faut examiner sur les règles du Philosophe, et juger par la régularnte de les parties Néparces, de cènes du tout qu'elles composent.
Ainſi nous ſuiurons la facilité methodique que ce Sage a touſiours dans ce qu’il enſeigne;	Ainsi nous suivrons la facilité méthodique que ce Sage a toujours dans ce qu'il enseigne;
& l’enuie meſme n’aura pas ſujet de dire que nous lnttione momeur de beuuery, panque nous examinerons ſon Poëme ſeion ſa ieuerite des pleceptes que ce Philoſophe en a laiſſez.	et l'envie même n'aura pas sujet de dire que nous lutione main de beuuery, penque nous examinerons son Poème seion sa jeuterite des pleceptes que ce Philosophe en a laissez.
Cet exellent homme a denny la Iragedie en ceſte maniere.	Cet exellent homme a denny la Jragédie en cette manière.
La Tragedie eſt l’imitation d’vne action ſerieuſe, complette, & iuſte dans ſa grandeur, qui par l’action, & non pas ſimplement par le diſcours, excitant la pitié, & la terreur, en laiſſe apres vne mediocrité raiſonnable dans l’eſprit des Spectateurs.	La Tragédie est l'imitation d'une action sérieuse, complète, et juste dans sa grandeur, qui par l'action, et non pas simplement par le discours, excitant la pitié, et la terreur, en laisse après une médiocrité raisonnable dans l'esprit des Spectateurs.
De laquelle definition nous auons banny le Rythme & la Muſique, qui ne ſont plus de l’vſage de noſtre ſiecle.	De laquelle définition nous avons banni le Rythme et la Musique, qui ne sont plus de l'usage de notre siècle.
	
Ce Philoſophe, dis-ie, l’ayant ainſi definie, la diuiſe en ſix parties eſſentielles, dont les deux dernieres ſe rapportent aux autres, & endependent.	Ce Philosophe, dis-je, l'ayant ainsi définie, la divise en six parties essentielles, dont les deux dernières se rapportent aux autres, et endependent.
Celles-là ſont, la Fable, les Mœurs, les Sentimens, la Diction.	Celles-là sont, la Fable, les Mœurs, les Sentiments, la Diction.
Celles-cy ſont, l’appareil du Theatre, & la Muſique.	Celles-cy sont, l'appareil du Théâtre, et la Musique.
Mais d’autant que de celles-cy, la premiere regarde ſimplement le decorateur, & que l’autre, qui eſtoit le charme de l’ancienne Scene, n’a plus d’vſage ſur la noſtre, il faudra ſeulement parler des quatre qui nous reſtent, ſi nous en auons le loiſir & qui regardent l’Office du Poëte, & voir ſi noitre A itheur en a eu la cognoilſance parfaite, & s’il les a iuſtement miſes dans ſon Amour Tyrannique.	Mais d'autant que de celles-cy, la première regarde simplement le décorateur, et que l'autre, qui estoit le charme de l'ancienne Scène, n'a plus d'usage sur la vôtre, il faudra seulement parler des quatre qui nous restent, si nous en avons le loisir et qui regardent l'Office du Poète, et voir si naître A iteur en a eu la cognoilsance parfaite, et s'il les a justement mises dans son Amour Tyrannique.
La Fable qu’Ariſtote prend pour la matiere de la Tragedie, qui eſt l’action, & pour la diſpoſition de ceſte action, qu’il nomme la conſtitution des choſes, eſtant la premiere dans l’ordre de la diuiſion, l’eſt auſſi dans celuy de l’exellence.	La Fable qu'Aristote prend pour la matière de la Tragédie, qui est l'action, et pour la disposition de cette action, qu'il nomme la constitution des choses, étant la première dans l'ordre de la division, l'est aussi dans celui de l'exellence.
C’eſt en ſa faueur que le Philoſophe apporte de ſi belles raiſons, c’eſt elle qu’il nomme l’Ame de la Tragedie, & ſans laquelIe il ſouſtient qu’elle ne peut eſtre parfaite.	C'est en sa faveur que le Philosophe apporte de si belles raisons, c'est elle qu'il nomme l'Âme de la Tragédie, et sans laquelIe il soutient qu'elle ne peut avoir parfaite.
Et de vray, puiſque la fin eſt le principal dans toutes les choſes;	Et de vrai, puisque la fin est le principal dans toutes les choses;
que c’eſt pour elle que l’on fait tout, & à elle que tout ſe rapporte, la fin de la Tragedie eſtant d’imiter le bon-heur ou le mal-heur des hommes, & les hommes n’eſtans heureux ou mal heureux, qu’entant qu’ils agiſſent;	que c'est pour elle que l'on fait tout, et à elle que tout se rapporte, la fin de la Tragédie étant d'imiter le bonheur ou le malheur des hommes, et les hommes n'étant heureux ou mal heureux, qu'entant qu'ils agissent;
la Fable ſans doute eſt la premiere partie de la Tragedie, d’autant qu’elle contient l’action, & que l’action contient la felicité ou le mal-heur, qui eſt la fin de la Tragedie.	la Fable sans doute est la première partie de la Tragédie, d'autant qu'elle contient l'action, et que l'action contient la félicité ou le malheur, qui est la fin de la Tragédie.
Et certes, puiſque ſans la Fable, vn Poëte ſe ſeruant, des Mœurs, des Sentimens, de la Diction, qui ſont les autres parties, n’auroit non plus fait vn Poëme regulier, qu’vn Peintre auroit fait vn bon tableau, meſlant confuſément la Lacque, l’Azur d’outremer, & les autres couleurs ſans aucune portraiture;	Et certes, puisque sans la Fable, un Poète se servant, des Mœurs, des Sentiments, de la Diction, qui sont les autres parties, n'aurait non plus fait un Poème régulier, qu'un Peintre aurait fait un bon tableau, mêlant confusément la Lacque, l'Azur d'outremer, et les autres couleurs sans aucune portraiture;
& qu’au contraire vn Poëte auec la ſeule action, pourroit auſſi bien faire vne belle Tragedie, qu’vn Peintre vne belle figure, auec de la ſanguine ou du charbon;	et qu'au contraire un Poète avec la seule action, pourrait aussi bien faire une belle Tragédie, qu'un Peintre une belle figure, avec de la sanguine ou du charbon;
il me ſemble qu’il n’y a plus lieu de douter qu’elle ne ſoit la principale partie d'vne choſe, ſans laquelle ceſte choſe là ne peut eſtre, & qu’elle ne doiue eſtre miſe deuant les autres parties, puis qu’elles en dependent ſi neceſſairement.	il me semble qu'il n'y a plus lieu de douter qu'elle ne soit la principale partie d'une chose, sans laquelle cette chose là ne peut être, et qu'elle ne doive chang mise devant les autres parties, puis qu'elles en dépendent si nécessairement.
Dauantage, puiſque la derniere choſe que les hommes apprennent dans les Arts, apres beaucoup d’exercice & de diligence, eſt ce qu’il y a d’excellent & de parfait;	Davantage, puisque la dernière chose que les hommes apprennent dans les Arts, après beaucoup d'exercice et de diligence, est ce qu'il y a d'excellent et de parfait;
Les Anciens Poëtes qui ne ſçauoient pas encore traitter la Fable regulierement, quoy qu’ils employaſſent par tout diuinement les autres parties Tragiques, ſont des teſmoins ſuffiſans que la Fable, dont ils n’acquirent la cognoiſſance que ſur la fin, eſt ſans controuerſe la perfection, & l’acheudhient de te beau roeme:	Les Anciens Poètes qui ne savaient pas encore traiter la Fable régulièrement, quoi qu’ils employassent par tout divinement les autres parties Tragiques, sont des témoins suffisants que la Fable, dont ils n'acquirent la connaissance que sur la fin, est sans controuerse la perfection, et l'achevhient de te beau roème:
S’il me falloit donner des exemples de ceſte derniere preuue, noſtre Theatre m’en fourniroit aſſez, ſans que ie fuſſe en peine d’en aller chercher parmy les ruines de la Scene Grecque.	S'il me fallait donner des exemples de cette dernière preuve, notre Théâtre m'en fournirait assez, sans que je fusse en peine d'en aller chercher parmi les ruines de la Scène Grecque.
La Tragedie n’eſt pas ſi vieille chez nous, qu’encore que nous la voyons dans ſa perfection, nous ne l’ayons veuë auſſi dans ſon enfance, & que les meſmes Poëtes qui nous donnent des ouurages tres acheuez, ne nous en ayent donné de tres defectueux.	La Tragédie n'est pas si vieille chez nous, qu'encore que nous la voyons dans sa perfection, nous ne l'ayons vue aussi dans son enfance, et que les mêmes Poètes qui nous donnent des ouvrages très achevez, ne nous en aient donné de très défectueux.
Il n’y a pas encore fort long temps que la Fable eſtoit ce qui leur faiſoit le moins de peine;	Il n'y a pas encore fort long temps que la Fable était ce qui leur faisait le moins de peine;
ils n’eſtudioient rien que la verſification;	ils n'étudiaient rien que la versification;
ils traittoient indifferemment toutes ſortes de matieres, & pourueu que dans leurs Poëmes ils euſſent meſlé confuſément les Amours, les Ialouſies, les Duels, les Déguiſemens, les Priſons, & les Naufrages, ſur vne Scene diuiſée en pruneuis fcegiom, nis ctojoient auoi fait vn excellent Poëme Dramatique.	ils traitaient indifféremment toutes sortes de matières, et pourvu que dans leurs Poèmes ils eussent mêlé confusément les Amours, les Jalousies, les Duels, les Déguisements, les Prisons, et les Naufrages, sur une Scène divisée en pruneuis fcegiom, nis cojaient avaient avaient avaient excellent Poème Dramatique.
– Poſt hoc ſecuri cadat an recto ſtet fabula talo.	– Post hoc securi cadat an recto stet fabula talo.
Nous auons ceſte obligation à Monſieur Mairet, qu’il a eſté le premier qui a pris ſoin de diſpoſer l’action;	Nous avons cette obligation à Monsieur Mairet, qu'il a été le premier qui a pris soin de disposer l'action;
qui a ouuert le chemin aux ouurages reguliers par ſa Siluanire, & qui a ramené la maieſté de la Tragedie, dans ſa Sophoniſbe, eſtant vray de dire de luy, qu’il eſt nay pour la gloire de noſtre Siecle, & de la Poëſie de noſtre Nation.	qui a ouvert le chemin aux ouvrages réguliers par sa Siluanire, et qui a ramené la maiesté de la Tragédie, dans sa Sophonisbe, étant vrai de dire de lui, qu'il est né pour la gloire de notre Siècle, et de la Poésie de notre Nation.
Vn peu apres l’on repreſenta auec applaudiſſement la mort de Cæſar, de Monſieur de Scudery;	Un peu après l'on représenta avec applaudissement la mort de Cæsar, de Monsieur de Scuderi;
Poëme certainement incomparable en ſon eſpece, & qui ſans doute le ſera touſiours, tant la force des penſées, & la magnificence des vers, le rendent digne de la maſeite de la vieinle Reome, de tane ir eſt regulier en toute ſon œconomie.	Poème certainement incomparable en son espèce, et qui sans doute le sera toujours, tant la force des pensées, et la magnificence des vers, le rendent digne de la masécite de la vieinle Reome, de tane ir est régulier en toute son œconomie.
Depuis eux, quelques vns de nos Autheurs, ayans appris dans vne eſtude plus exacte de l’Arc Dramatique, combien la Fable eſtoit importante, & ablolument necellaire à la periection de la Tragedie, en fin nous ont donné pluſieurs beaux Poëmes, & reparé heureuſement leurs premiers deffauts.	Depuis eux, quelques uns de nos Auteurs, ayant appris dans une étude plus exacte de l'Arc Dramatique, combien la Fable était importante, et ablolument necellaire à la périection de la Tragédie, en fin nous ont donné plusieurs beaux Poèmes, et reparé heureusement leurs premiers défauts.
Ie me ſuis vn peu eſtendu ſur les loüanges de la Fable, auparauant que d’en faire la recherche dans l’ouurage de mon amy, afin de monſtrer combien elle eſtoit neceſſaire, & combien il merite de gloire, puis qu’il l’a ſi Dien traittet.	Je me suis un peu étendu sur les langes de la Fable, auparavant que d'en faire la recherche dans l'ouvrage de mon ami, afin de montrer combien elle était nécessaire, et combien il mérite de gloire, puis qu'il l'a si Dien traitet.
C’eſt ce que ie pretends remarquer ſur ſon ouurage, & à quoy vne partie de ce Diſcours ſera employée.	C'est ce que ici prétends remarquer sur son ouvrage, et à quoi une partie de ce Discours sera employée.
Il eſt impoſſible qu’on puiſſe appeller vne chofe belle, ſi elle n’a l’ordre & la grandeur qui ſont conuenables ce proportionnées à ſa nature.	Il est impossible qu'on puisse appeler une chose belle, si elle n'a l'ordre et la grandeur qui sont convenables ce proportionnées à sa nature.
Ec tant plus elle approche de ce periode de grandeur, tant plus elle eſt parfaite;	Ec tant plus elle approche de ce période de grandeur, tant plus elle est parfaite;
comme au contraire elle eſt plus defectueuſe, plus elle s’en eſloigne, ou par l'excés, ou par le deffaut.	comme au contraire elle est plus défectueuse, plus elle s'en éloigne, ou par l'excès, ou par le défaut.
Les grands hommes ſont beaux, mais les Nains & les Geans ſont difformes.	Les grands hommes sont beaux, mais les Nains et les Géants sont difformes.
Il en eſt de meſme de la Fable, qui contient la grandeur de la Tragedie, & comme les corps ne peuuent eſtre beaux, ſans la grandeur, de meſme la Tragedie ne peut eſtre belle, ſi elle n’eſt grande, & ſi elle n’arriue à ce ſupréme periode qui luy eſt propre, & au delà duquel ſa nature ne luy ſouffriroit pas de paſſer ſans eſtre defectueuſe.	Il en est de même de la Fable, qui contient la grandeur de la Tragédie, et comme les corps ne peuvent être beaux, sans la grandeur, de même la Tragédie ne peut-même belle, si elle n'est grande, et si elle n'arrive à ce suprême période qui lui est propre, et au delà duquel sa nature ne le souffrirait pas de passer sans être défectueuse.
Quoy qu’Ariſtote laiſſe la meſure de ceſte grandeur au iugement des Poëtes, c’eſt toutefois auec de certaines regles où il les reſtraint.	Quoi qu'Aristote laisse la mesure de cette grandeur au jugement des Poètes, c'est toutefois avec de certaines règles où il les restraint.
