LE TAIIINIL D’ALEXANDRE 22444 A HARDY, PARISIEN.	LE -TAIINIL D'ALEXANDRE 22444 A HARDY, PARISIEN.
Les perſonnages emprunteZ Qui ſont introduits en tes ſcence, Dans leurs deſaſtres raconteZ Marquent nos vices, e leurs peines:	Les personnages empruntez Qui sont introduits en tes scence, Dans leurs désastres racontés Marquent nos vices, eu leurs peines:
Plus ſouuent on ſe ſent toucher,	Plus souvent on se sent toucher,
Si faut-il pourtant qu'on en rie, Puis qu'on ne ſçauroit ſe faſcher D'vne ſi iuſte tromperie.	Si faut-il pourtant qu'on en rie, Puis qu'on ne saurait se fâcher D'une si juste tromperie.
Peut-on ſouffrir l’antiquité, Qui vante la ſcene Gregeoiſe, Trop ſuperbe en ſa pauureté, De s'égaler à la Françoiſe?	Peut-on souffrir l'antiquité, Qui vante la scène Gregeoise, Trop superbe en sa pauvreté, De s'égaler à la Française?
La noſtre a bien plus d’ornemens Depuis que tu en es le guide, On laiſſe ces vieux monumens D'Æſchile, Sophocle, Euripide.	La nôtre a bien plus d'ornements Depuis que tu en es le guide, On laisse ces vieux monuments D'Æschile, Sophocle, Euride.
Tu les as ſurmontez tous trois;	Tu les as surmontés tous trois;
Et les doctes filles de Grece, Encore que tu ſois Francois, Tont fait leur plus grande largeſſe;	Et les doctes filles de Grèce, Encore que tu sois Francais, Tont fait leur plus grande largesse;
Pour toy leurs threſors ſont ouuers, Et l’on permettra que tu dies, Qu'à peine ils ont tant fait de vers, Que tu as fait de Tragedies.	Pour toi leurs trésors sont ouvers, Et l'on permettra que tu dies, Qu'à peine ils ont tant fait de vers, Que tu as fait de Tragédies.
MY, Aduocat en Parlement.	MI, Aduocat en Parlement.
sur les Tragedies.	sur les Tragédies.
ARDY dont le puiſſant Genie LISurpaſſe l’esprit des humains, Et dont la Celeſte Uranie Au ſon du Luth qu'elle manie Fait taire celle des Romains.	ARDY dont le puissant Génie LISurpasse l'esprit des humains, Et dont la Celeste Uranie Au son du Luth qu'elle manie Fait taire celle des Romains.
Quand on void ta ſuperbe SCENE Faire couler de toutes pars, Ainſi qu'en la funeste Arene, Ce beau ſang tiré de la veine Des Soldats d’Amour, & de Mars.	Quand on voit ta superbe SCÈNE Faire couler de toutes pars, Ainsi qu'en la funeste Arène, Ce beau sang tiré de la veine Des Soldats d'Amour, et de Mars.
Tantoſt d’vne orniere de bouë, (Parmy la pompe des habis Porter au deſſus de la rouë, Celuy qui chante, ou qui ſe jouë Auec ſes chiens, & ſes brebis.	Tantôt d'une ornière de boue, (Parmi la pompe des habis Porter au dessus de la roue, Celui qui chante, ou qui se joue Avec ses chiens, et ses brebis.
Tantoſt ſur les tragiques marques De l’injuſtice des Monarques, Laiſſer au Prince vne leçon, Lors qu'imitant la main ſupréme, Tu luy fais voir le Diadéme Au pied d’vn roc, ou d’vn buiſſon.	Tantôt sur les tragiques marques De l'injustice des Monarques, Laisser au Prince une leçon, Lors qu'imitant la main suprême, Tu tu fais voir le Diadème Au pied d'un roc, ou d’-un buisson.
De tes doctes & longues veilles, Affermir l’Empire des loix, Parer aux coups de leur Tonnerre, Et reformer toute la terre Par les oracles de ta voix.	De tes doctes et longues veilles, Affermir l'Empire des lois, Parer aux coups de leur Tonnerre, Et réformer toute la terre Par les oracles de ta voix.
Qui ne croira que ta belle ame, N’ait conceu la plus haute flame, Qu'inſpire le Dieu de nos vers:	Qui ne croira que ta belle âme, N'ait conçu la plus haute flamme, Qu'inspire le Dieu de nos vers:
Ou qu'elle ne ſoit échauffée De ce grand feu qui fist Orphée, Le doux vaincœur de l’vniuers.	Ou qu'elle ne soit échauffée De ce grand feu qui fît Orphée, Le doux vaincœur de l'Hivers.
A.	A.
DV BRETON	DU BRETON
AD ALEXANDRUM HARDY Poëtam eximium.	AD ALEXANDRUM HARDY Poétam eximium.
Xanimis Gallis proſtabat Muſa Theatris, A Nemo erat exanimi qui dare poſſet opem Surgis A lexander fœcunda & diuite vena, Exanimi vires, qui reparáſque animam:	Xanimis Gallis prosabat Musa Théatris, À Nemo erat exanimi qui dare posset opem Surgis À lexander fœcunda et divice vena, Exanimi vires, qui reparásque animam:
Ex te nunc Gailis, aiflillata Illeatia reſurgunt Squallebant carie, corruerantque ſitu:	Ex te nunc Gailis, aiflillata Illeatia résurgunt Squalebant carie, corruerantque situ:
Perge ergò Audacte, & cœptis audacibus, audax Hæc ſerua, ſoli quæ reparare fuit.	Perge erg Audacte, et cœptis audacibus, audàx Hæc serva, soli quæ réparare fuit.
I.	I.
HARDY, ANDEGAVENSIS.	HARDY, ANDEGAUENSIS.
DE DRAMATIS POETÆ noſtri Laureati.	DE DRAMATIS POT nostri Laureati.
Allia, ſeu madidã generoſo fanguine ſcenam Æacidæ magni diffluitare videt;	Allia, seu madidion généroso sanguine scenam Æacidæ magny diffluitare videt;
Seu videt accepto velut exul vulnere proſtat, Vrbis in excidium quem Coriolla tulit, Seu Mariamnis obit candentis ad ora TyranniSupplicio extremum coniugis obſequium, Denique quicquid amet vario ſpectare Theatro Gallia, deliciis affluit ipſa nouis:	Seu videt accepto velut exul vulnere prat, Vrbis in excidium que Coriolla tulit, Seu Mariamnis obit candis ad ora TyranniSupplicio extremum conjugis obéquium, Denique quicquid amet vario spectare Théatro Galia, délicia affuit ipsa nouvis:
Ecquid ſi tradantur, ait, relegenda ſubinde hæc Dramata, quæ mentem diripuêre mihi!	Ecquid si tradentur, ait, relégenda subinde hæc Dramata, quæ mentem diripuêre mi!
Non eſt illa ſatis vidiſſe:	Non est illa satî vidisse:
Magiſtra ſuperbo Ars operi nimiam Vatis inuſſit opem.	Magistra superbo Ars opéri nimiam Vatis inussit opem.
Ergoerit, vt nugas, hõdierna ſonſttia, noſtras Expuat, optatis iam fruitura modis.	Ergoérit, ut nugas, hõdierna sonstia, nostras Expuat, optatis jam uitura modis.
Claudius de la Place, Pariſ.	Claudius de la Place, Paris.
TOT ATTOY AIETIKON.	TÔT ATTOY AIETIGON.
Αλαδος ωὐς ἔςγιςα τόχον Κελτοὶ θαλέμτου?	Αλαδος ωὐς ἔςγιςα τόχον Κελτοὶ θαλέμτου?
L Huſe vύνέασιν δεαματοπνιοτεροι.	 Luse vύνέασιν endre.
DAR grace & priuilege du Roy il eſt permis à Iacques Queſnel, marchand Libraire à Paris, d’imprimer ou faire imprimer en telle forme & caracteres que bõ luy ſemblera, vn liure intitulé.	DAR grâce et privilège du Roi il est permis à Jacques Quesnel, marchand Libraire à Paris, d'imprimer ou faire imprimer en telle forme et caractères que b yen semblera, un livre intitulé.
Le Theatre d'Alexãdre Hardy, Pariſien, Tome 3.	Le Théâtre d'Alexãdre Hardi, Parisien, Tome 3.
cõtenãt Achile, Coriolan, Cornelie, Arſacome, Mariãne, Alcée, le Rauiſſement de Proſerpine, la Force du ſang la Gigantomachie, Feliſmene, Sidere, & le Iugement d’Amour, auec defenſes à tous Libraires, Imprimeurs, & autres, de quelque qualité & conditiõ qu’ils ſoient, d’imprimer ou faire imprimer, vendre ny debiter ledit liure de Theatre d’Alexandre Hardy, Tome ſecond, ny aucunes des ſuſdites pieces, ſeparément, ou en aucune forme que ce ſoit, pendant le temps & eſpace de ſix ans, à peine de confiſcation des exemplaires, & de cinqcens liures d’amende, comme il eſt plus au long contenu en l’original.	cõtenãt Achille, Coriolan, Cornelie, Arsacome, Mariãne, Alcée, le Ravissement de Proserpine, la Force du sang la Gigantomachie, Félismène, Simère, et le Jugement d'Amour, avec défenses à tous Libraires, Imprimeurs, et autres, de quelque qualité et conditiõ qu'ils soient, d'imprimer ou faire imprimer, vendre ni débiter ledit livre de Théâtre d'Alexandre Hardi, Tome second, ni aucunes des susdites pièces, separément, ou en aucune forme que ce soit, pendant le temps et espace de six ans, peine de confiscation des exemplaires, et de cinqcens liures amende, comme il est plus au long contenu en original.
Donné a Paris le 28.	Donné a Paris le 28.
May, mil ſix cens vringt cinq, & de noſtre regne le ſeizieſme, Seellé du grand ſceau de cire jaune, & ſigné, Par le Roy en ſon Conſeil.	Mais, mil six cens vringt cinq, et de notre règne le seizième, Seellé du grand sceau de cire jaune, et signé, Par le Roi en son Conseil.
LE LONG.	LE LONG.
ES Grecs campez deuant Troye pour le neufieſme an, accordent vne tréue de quelques jours aux aſſiegez, pendant laquelle Achille, l’vn des principaux & plus valeureux chefs de l’armée Gregeoiſe, entreuit par rencontre au Temple d’Apollon Polixene, fille de Priam, Princeſſe d’excellente beauté, qui rauit à meſme temps l’ame par les yeux à ce braue Guerrier:	ES Grecs campez devant Troie pour le neuvième an, accordent une trêve de quelques jours aux assiégez, pendant laquelle Achille, l'un des principaux et plus valeureux chefs de l'armée Grégeoise, entreuit par rencontre au Temple d'Apollon Polixène, fille de Priam, Princesse d'excellente beauté, qui ravit à même temps l'âme par les yeux à ce brave Guerrier:
de ſorte qu’il en feit deſſous main pratiquer le mariage par ſes plus confidents;	de sorte qu'il en fit dessous main pratiquer le mariage par ses plus confidents;
Paris, & autres enfans de Priam, l’induiſent d’accepter telle alliance, afin que ce leur fuſt vne occaſion de venger la mort de leur frere Hector, & en Achille mort contraindre l’ennemy de leuer le ſiege, comme deſtitué de ſon premier & plus redoutable Capitaine;	Paris, et autres enfants de Priam, l'induisent d'accepter telle alliance, afin que ce leur fût une occasion de venger la mort de leur frère Hector, et en Achille mort contraindre l'ennemi de lèver le siège, comme destitué de son premier et plus redoutable Capitaine;
le bon homme ſe laiſſant perſuader, capitule du mariage, enuoye Polixene accompagnée de Paris & Deiphobe ſes freres, au Temple d’Apollon Tymbrean, ſous ombre d’y jurer l’alliance reciproquement.	le bon homme se laissant persuader, capitule du mariage, envoie Polixène accompagnée de Paris et Déiphobe ses frères, au Temple d'Apollon Tymbrean, sous ombre d'y jurer l'alliance réciproquement.
Achille auerty ne manque de s’y rendre ſeul au deſceu des ſiens à poinct nommé, & preſt à iurer dans le Temple, eſt traiſtrement poignardé par les deux freres, qui voulans encore triompher du mort, & l’emmener dans la ville, ſont brauement repouſſez par Ajax, & autres Capitaines Grecs ſuruenus au bruit;	Achille auerti ne manque de s'y rendre seul au desceu des siens à point nommé, et prêt à jurer dans le Temple, est traîtrement poignardé par les deux frères, qui voulant encore triompher du mort, et l'emmener dans la ville, sont bravement repoussés par Ajax, et autres Capitaines Grecs survenus au bruit;
Le corps recous, ils honorent ce Heros d’vne ſepulture digne de ſa vertu.	Le corps reçous, ils honorent ce Héros d'une sépulture digne de sa vertu.
Dares Phrygien & Dictis de Crete, auec plus de vray-ſemblance ( u’Homere, ont ſeruy de Phare à l’Autlieur en ce beau ſujet.	Dares Phrygien et Dictis de Crète, avec plus de vraiisemblance ( Homere, ont servi de Phare Autlieur en ce beau sujet.
L’ombre de Patrocle.	L'ombre de Patrocle.
Achille.	Achille.
Neſtor.	Nestor.
Agamemnon, Menelas.	Agamemnon, Ménélas.
Ajax.	Ajax.
Nirée.	Nirée.
Priam.	Priam.
Paris.	Paris.
Deiphobe.	Diphobe.
Polixene.	Polixène.
Meſſager.	Messager.
Soldats Grecs.	Soldats Grecs.
Soldats Troyens.	Soldats Troyens.
ACHILLE ARINCEDIE	ACHILLE ARINCEDIE
ACTE I.	ACTE I.
L’OMBRE DE PATECCLE ACfTILLE, NES TOR, AGAMEMNON, AIAX, MENELAS.	L'OMBRE DE PATECCLE ACTILE, NÉS TOR, AGAMEMNON, AIAX, MENELAS.
CENE I.	CÈNE I.
L’Ombre de Patrocle, Achille.	L'Ombre de Patrocle, Achille.
L’OMBRE.	L'OMBRE.
Scoute ton deſtin, vaillant fils de Pelée, Parauant que Phœbus quitte l'onde ſalée, Que ce peu de la nuict s’eſcoule de tes yeux, Aſſoupis des pauots d’vn ſomne gracieux;	Scoute ton destin, vaillant fils de Pelée, Paravant que Phœbus quitte l'onde salée, Que ce peu de la nuit s'écoule de tes yeux, Assoupis des pauots d'un somne gracieux;
2 da Mſone 1.	2 da Msone 1.
Reconnoy, reconnoy le geste, & le viſage De ton Patrocle cher, auteur de ce preſage, Tel que quand temeraire en tes armes cache Hector luy eut la vie, & la gloire arraché, Que l’ame ie vomis par la poitrine ouuerté, Que les Gregeois heureux du profit de ma perte, Reuirent leur espoir, leur deſtiné vaincueur Sous vn nouuel harnois enflammé de rancueur, Foudroyer, moiſſonner les Troyennes batailles, Et mon meurtrier occis au pied de ſes murailles, Retrainé par trois fois de ta robuſte main, (Car mon dueil exceſſif te rendoit inhumain) Induit de l’amitié qui encores me dure, Ny la palpable horreur de noſtre nuict obſcure, Ny les larges replis du fleuue Stygien Ne m'empeſchent franchir le parc Elyſien, Pour te dire qu'Amour, ce tyran de nos ames, Dont mortel ie ſentis les immortelles flâmes, Tranchera le beau fil de tes iours regrettez, Tes iours de l’ennemy capital aguettez:	Reconnoy, reconnais le geste, et le visage De ton Patrocle cher, auteur de ce présage, Tel que quand téméraire en tes armes cache Hector lui eut la vie, et la gloire arraché, Que l'âme femme vomis par la poitrine ouverté, Que les Grègeois heureux du profités de ma perte, Revirent leur espoir, leur destiné vaincueur Sous un nouvel harnais enflammé de rancueur, Foudroyer, moissonner les Troyennes batailles, Et mon meurtrier occis au pied de ses murailles, Retrainé par ois fois de ta robe main, (C mon dueil excessif te rendoit inhumain) Induit de lamitié qui encores me dure, la palpable horreur de nôtre nuict obscure, les larges replis du fleuue Stygien Ne m'empêchent franchir le parc Elysien, Pour te dire qu'Amour, ce tyran de nos ames, Dont mortel ie sentis les immortelles flâmes, Tranchera le beau fil de tes iours regrettez, Tes iours de ennemi capital aguettez:
O Parques, hé!	Ô Parques, hé!
faut-il, qu'vn ſi genereux hõme Que le Ciel, que la Terre, et, l'Erebe renomme, Periſſe traiſtrement par le fer victimé Du plus laſche qui viue, & plus effeminé?	faut-il, qu'un si généreux homme Que le Ciel, que la Terre, et, l'Erebe renomme, Périsse traîtrement par le fer victimé Du plus lâche qui vive, et plus effeminé?
D HCIIIELL.	 HCIIIELL.
Ouy, vos fuſeaux d’airain tournez à ſa ruine, Precipitent ſes pas à la tombe voiſine:	Oui, vos fuseaux d'airain tournez à sa ruine, Précipitent ses pas à la tombe voisine:
Apollon qui nous hait, Cytherée, & ſon fils, Reſource tant de fois des Troyens desconfits, Treſſaillent animeux d’vne extreme allegreſſe, Voyant mourir en toy l’autre Mars de la Grece:	Apollon qui nous hait, Cytherée, et son fils, Ressource tant de fois des Troyens déconfits, Tressaillent animeux d'une extrême allégresse, Voyant mourir en toi l'autre Mars de la Grèce:
Mais que veux-tu?	Mais que veux-tu?
Caron prend ſous pareilles loix Toſt ou tard vn tribut des Princes & des Rois, Moins redoutable à ceux qui pleins de renõmée Furent ainſi que toy le ſalut d’vne armée, Furent ainſi que toy l’inſtrument glorieux Qui rendit leur pays en fin victorieux:	Caron prend sous pareilles loix Tôt ou tard un tribut des Princes et des Rois, Moins redoutable à ceux qui pleins de renõmée Furent ainsi que toi le salut d'une armée, Furent ainsi que toi l'instrument glorieux Qui rendit leur pays en fin victorieux:
Le rendit à la fin poſſeſſeur d’vne ville Qui tenoit vne part de ce Globe ſeruille:	Le rendit à la fin possesseur d'une ville Qui tenait une part de ce Globe serville:
, Aucun ne ſe peut dire auoir trop peu veſcu, » Qui fut touſiours vainqueur, & non iamais vaincu.	, Aucun ne se peut dire avoir trop peu vécu, " Qui fut toujours vainqueur, et non jamais vaincu.
Si l’amour te ſurmonte aſſiſté de l’enuie Des Dieux qui corps hvorpe ne roſerent la vie, Iupiter luy ceda, Iupiter a quitté Son foudre eſpouuentable, & ſa diuinité.	Si l'amour te surmonte assisté de l'envie Des Dieux qui corps honpe ne rosèrent la vie, Jupiter Seigneur céda, Jupiter a quitté Son foudre espouuentable, et sa divinité.
Lors que ce feu ſubtil eſpris en ſes mouëlles Furieux le changeoit en cent formes nouuelles;	Lors que ce feu subtil épris en ses moulles Furieux le changeait en cent formes nouvelles;
Patiente, aſſeuré de ne mourir iamais, Porté par l’vniuers ſur l’aisle de tes faicts:	Patiente, assuré de ne mourir jamais, Porté par l'univers sur l'aile de tes faits:
Demi-Dieu reclamé de l’Europe ſans ceſſe, Qu'vn Cigne doit chanter eſgal à ta proüeſſe, Que le ſurnom laiſſé d’vn belliqueux enfant, Uangera d’vn meurtrier infame triomphant, Offert outre ſa ſœur en victime à ta cendre:	Demi-Dieu réclamé de l'Europe sans cesse, Qu'un Cigne doit chanter égal à ta prouesse, Que le surnom laissé d'un belliqueux enfant, Uangera d'un meurtrier infâme triomphant, Offert outre sa sœur en victime à ta cendre:
Ha!	Ha!
deſaſtreux Empire, ah!	désastreux Empire, ah!
chetifue Caſſandre, Des conſeils mieux peſez preuenoient nos malheurs;	chétifue Cassandre, Des conseils mieux pesez prévenaient nos malheurs;
Mais en vain, mais en vain ie plore ces douleurs, Luitant contre le ſort;	Mais en vain, mais en vain ie clore ces douleurs, Luitant contre le sort;
tu ne pouuois Achille Faire de n’expirer au ſiege de la ville, Comme elle ta vaillance inuincible tromper, Cõme apres ton deceZ du naufrage eſchapper:	tu ne pouvais Achille Faire de n'expirer au siège de la ville, Comme elle ta vaillance invincible tromper, Comme après ton décès du naufrage échapper:
Reſous-toy conſolé, magnanime Æacide, D’auoir atteint le roc & la place d' Alcide;	Résous-toi consolé, magnanime Acide, D'avoir atteint le roc et la place d' Alcide;
D’auoir és chãps d’EliZe vn throſne preparé, Tout parſemé de fleurs, de lauriers tout paré, Où ie vay de ce pas attendre ta venuë.	D'avoir és chãps d'Élise un trône préparé, Tout parsemé de fleurs, de lauriers tout paré, Où personne vais de ce pas attendre ta venue.
Le Soleil remonté hors de l’onde chenuë Paroiſt incompatible aux nocturnes esprits, Adieu, pour m'accoler que du vent tu n'as pris.	Le Soleil remonté hors de l'onde chenue Paraît incompatible aux nocturnes esprits, Adieu, pour m'accoler que du vent tu n'as pris.
Achille.	Achille.
Loyal Menetiade, atten belle ombre aimée, Trompeuſe ne te perds ainſi qu'vne fumée;	Loyal Menetiade, atten belle ombre aimée, Trompeuse ne te perds ainsi qu'une fumée;
De grace tant ſoit peu prolonge ton parler, Donne à l’affection de pouuoir t'accoler, Donne vn conſeil ſalubre à ma recente playé:	De grâce tant soit peu prolonge ton parler, Donne à l'affection de pouvoir t'accoler, Donne un conseil salubre à ma récente playé:
Peur neant d’arreſter ta fuite ie m'eſſayé, Ia legere plongée en l’eternelle nuit;	Peur néant d'arrêter ta fuite der m'essayé, Ia légère plongée en l'éternelle nuit;
Et moytouſiours preſſé du bourreau qui me ſuit, Touſiours pauure forçat remis à la cadene, Touſiours d’ame & de corps tourné vers Polixene;	Et moytousiours pressé du bourreau qui me suit, Toujours pauvre forçat remis à la cadène, Toujours d'âme et de corps tourné vers Polixène;
Polixene, l’honneur des mortelles beautez:	Polixène, l'honneur des mortelles beautés:
Ha!	Ha!
i’abhorre vrayemẽt nos lõgues cruauteZ, Ie confeſſe qu'à tort nous pourſuiuons ce ſiege, Que la force où elle eſt emporte vn ſacrilege:	j'abhorre vraiment nos lõgues cruautés, Je confesse qu'à tort nous poursuivons ce siège, Que la force où elle est emporte un sacrilège:
Pardonne nous Deeſſe, & à moy le premier Vueille prẽdre à mercy ton humble priſonnier, Ne te reſſouuien plus des iniures paßées De tes freres meurtris, de tes villes forcées, N’en accuſe ſinon la fortune de Mars, Et ie iure l’aymant de tes diuins regards,	Pardonne nous Deesse, et à moi le premier Veuille prendre à merci ton humble prisonnier, Ne te ressouvien plus des injures passées De tes frères meurtris, de tes villes forcées, N'en accuse sinon la fortune de Mars, Et ie ndre l'aimant de tes divins regards,
LA MORI De ton ſoleil iumeau i'atteſte les lumierés, Tarir doreſnauant les communes miſeres, D'vne ſanglante guerre eſtablir vne paix A nos deux nations perdurable à iamals;	LA MORY De ton soleil jumeau j'atteste les lumierés, Tarir dorénavant les communes misères, D'une sanglante guerre établir une paix A nos deux nations perdurable à jamals;
Sans doute ie le puis, ta beauté le merite.	Sans doute ici le puis, ta beauté le mérite.
Troye d’vn adultere, ou autant vaut deſtruite, Tu reſuſciteras pudique du cercueil;	Troie d'un adultère, ou autant vautres détruite, Tu ressusciteras pudique du cercueil;
O proiects inſenſez!	Ô proiects insensés!
qu'elle vit de bon œil L'embraſeur, le fleau de ſa douce patrie?	qu'elle vit de bon œil L'embraseur, le fléau de sa douce patrie?
Celuy pour qui la gloire Aſienne eſt flétrie?	Celui pour qui la gloire Asienne est flétrie?
Hector mis au ſepulchre, ha!	Hector mis au sépulcre, ha!
ce dur ſouuenir Me deffend d’eſperer de grace à l’aduenir:	ce dur souvenir Me défend d'espérer de grâce à l'avenir:
Toutesfois la contrainte en leur endroit extrême, L’offre ſourdement fait de ce ſoulas ſupréme, L'amour vers les parens, puis la diuinité, Iaçoit que nos forfaits paſſent l’infinite, Fleſchible au repentir, pitoyable pardonne;	Toutefois la contrainte en leur endroit extrême, L'offre sourdement fait de ce soûlas suprême, L'amour vers les parents, puis la divinité, Iaçoit que nos forfaits passent l'infinité, Fléchible au repentir, pitoyable pardonne;
Mais le viel Pylien s’achemine en perſonne, Deuançons-le, il viẽdra poſſible ſoupçonneux, Ietter contrariant de l’huile dans mes feux.	Mais le viel Pylien s'achemine en personne, Deuançons-le, il viendra possible soupçonneux, Jetter contrariant de l'huile dans mes feux.
Neſtor.	Nestor.
Pelide genereux, l’antique bienueillance, L'âge meur qui conjoint aux ſecrets le ſilence,	Pélide généreux, l'antique bienveillance, L'âge meur qui conjoint aux secrets le silence,
