ARGVMENT.	ARGUMENT.
MI Lecteur, le bon-heur que i'ay eu à recouurer ces aduantures, m’a fait naiſtre le deſir de leur faire voir le jour, & celuy de te donner le plaiſir de les lire, ſi tu n'es du nombre de ceux qui n’agréent que leurs ouurages, & n’approuuent que ce qu’ils font.	MI Lecteur, le bonheur que j'ai eu à recouvrer ces aventures, m'a fait naître le désir de leur faire voir le jour, et celui de te donner le plaisir de les lire, si tu n'es du nombre de ceux qui n'agréent que leurs ouvrages, et n'approuvrent que ce qu'ils font.
Si elles paroiſſent ſous le nom de l’Incogneu, c'eſt pour n’auoir peu ſçauoir celuy de leur Autheur, ce qui t'obligera, comme je t’en prie, d’excuſer les fautes que tu y trouueras, puis qu’il n’a peu voir ce qu'à ſon deſceu je te donne, Adieu.	Si elles paraissent sous le nom de l'Inconnu, c'est pour n'avoir pu voir ce de son Auteur, ce qui t'obligera, comme je t'en prie, t'excuser les fautes que tu y trouveras, puis qu'il n'a pu voir ce qu'à son déçu je te donne, Adieu.
LES ADVANTVRES DE THYRSIS, Tragr-Comeuie Tartorale.	LES ADVANTURES DE -THYRSIS, Tragr-Comeuie Tartorale.
Ale Lu l leulrraRao.	Ale Lu l eulraRao.
SCENE PREMIERE.	SCÈNE PREMIÈRE.
PHILANDRE.	PHILANDRE.
ANDIS que le ſommeil tient tout dans le ſilence, Dans ces ſombres foreſts à par lents ie m’aduance, Non, pour venir troubler la demeure des morts, Faire paſlir la Lune, en magiques efforts;	ANDIS que le sommeil tient tout dans le silence, Dans ces sombres forêts à par lentsrit m'avance, Non, pour venir troubler la demeure des morts, Faire pâlir la Lune, en magiques efforts;
Mon innocente humeur hait ces noires penſées, Où ſe laiſſent aller les ames inſenſees.	Mon innocente humeur hait ces noires pensées, Où se laissent aller les âmes insensées.
Ie cognois tous les temps, mon ſçauoir ſans pareil, Sçait, combien doit durer la ciarté du Soleil, Quand l’eſprit des mortels acquiert cét aduantage, De ſçauoir l’aduenir, d’vn aſſeuré preſage, Les Cieux dont les ſecrets luy ſont tous découuerts Tiennent à ces deſſeins tant de chemins ouuerts, Qu'vſant de ſon bon ſens, & de ſon induſtrie Il eſt l’appuy des ſiens, l’honneur de ſa patrie.	Je connais tous les temps, mon savoir sans pareil, Sçait, combien doit durer la ciarté du Soleil, Quand l'esprit des mortels acquiert cet avantage, De savoir l'avenir, d'un assuré presage, Les Cieux dont les secrets lui ont tous découverts Tiennent à ces desseins tant de chemins ouverts, Qu'usitant de son bon sens, et de son industrie Il est l'appui des siens, l'honneur de sa patrie.
L’interprete des Dieux, qui d’vn parler fatal Aduertit les mortels, & du bien, & du mal:	L'interprète des Dieux, qui d'un parler fatal Aduertit les mortels, et du bien, et du mal:
Moy de ieuneſſe inſtruit en ces ſainctes eſcoles, Les effects me ſont moins, qu’aux autres les paroles, Separé des Bergers, dans ces arides monts Ma puiſſance commande à celle des Demons.	Moi de jeunesse instruit en ces saintes écoles, Les effets me sont moins, qu'aux autres les paroles, Séparé des Bergers, dans ces arides monts Ma puissance commande à celle des Demons.
Non pour faire greſler les preſens de la terre, Eſtouffer les enſans, dans les bras de la mere;	Non pour faire grêler les présents de la terre, Étouffer les ensants, dans les bras de la mère;
Compoſer des poiſons, & nourrir des crapaux, D’vn eſprit infernal ne ſe plaire qu’aux maux, Aux troupeaux des Bergers donner la maladie, D’vn concert des Demons aymer la melodie;	Composer des poisons, et nourrir des crapaux, D'un esprit infernal ne se plaire qu'aux maux, Aux troupeaux des Bergers donner la maladie, D'un concert des Demons aimer la mélodie;
Mais bien pour conſeruer dans nos fertiles champs, L’eſpoir des Laboureurs deſſus le ſoc penchans, Faire, que leur trauail bien-heureux les guerdonne D’vne moiſſon d’eſpics, que la terre leur donne, Que les greniers remplis esbranlent le plancher, Que les empoiſonneurs ne les puiſſent toucher, Que leurs ieunes agneaux, ne craignent la roſée, Qu'ils trouuent à leurs vœux la terre diſpoſée;	Mais bien pour conserver dans nos fertiles champs, L'espoir des Laboureurs dessus le soc enchants, Faire, que leur travail bienheureux les guerdonne D'une moisson d'épics, que la terre leur donne, Que les greniers remplis ébranlent le plancher, Que les empoisonneurs ne les puissent toucher, Que leurs jeunes agneaux, ne craignent la rosée, Qu'ils trouvent à leurs vœux la terre disposée;
C’eſt à quoy mon eſprit occupe ſon ſçauoir.	C'est à quoi mon esprit occupe son Savoir.
Or;	Or;
comme ſçachant tout, & pouuant tout preuoir;	comme sachant tout, et pouvant tout prévoir;
Ie ſçay, que des Bergers, le premier du village, Qui comme le plus vieil, deuroit eſtre plus ſage Laſſe de l’innocence, & du repos des bois, Deſtine ſon enfant à la ſuitte des Roys.	Je sais, que des Bergers, le premier du village, Qui comme le plus vieil, devrait être plus sage Lasse de l'innocence, et du repos des bois, Destine son enfant à la suite des Rois.
Moy, qui veux empeſcher que ſon deſſein ſuccede, Ie me ſuis aduisé d’vn excellent remede Qui paroiſſant d’abord, eſtrange, & furieux Son effect à ma gloire en reüſſira mieux.	Moi, qui veux empêcher que son dessein succède, Je me suis avisé d'un excellent remède Qui paraissant d'abord, étrange, et furieux Son effet à ma gloire en réussira mieux.
Ie veux faire ſortir de ces roches prochaines Pour ſuiure mon deſſein, deux liquides fontaines De ma verge ſans plus, ne faiſant que toucher, Vn flot d’eau coulera du ſein de ce rocher.	Je veux faire sortir de ces roches prochaines Pour suivre mon dessein, deux liquides fontaines De ma verge sans plus, ne faisant que toucher, Un flot d'eau coulera du sein de ce rocher.
C’eſt celuy, qui rauit de la raiſon l’vſage, Peruertit le bon ſens, le conuertit en rage, A ce prochain rocher il faut faire vn effort, Pour leur monſtrer comment ie diſpoſe du ſort.	C'est celui, qui ravit de la raison l'usage, Pervertit le bon sens, le convertit en rage, À ce prochain rocher il faut faire un effort, Pour leur montrer comment ainsi dispose du sort.
Ne ſens-tu pas ma verge?	Ne sens-tu pas ma verge?
ouure donc tes entrailles?	ouvre donc tes entrailles?
Et malgré tes durtez, eſclatte tes murailles?	Et malgré tes durtés, éclatte tes murailles?
Ce breuuage eſt plus doux, & n’a point de poiſon, Il donne le bon ſens, & refait la raiſon, Ces ruiſſeaux deſormais, en leurs effects contraires Cauſeront aux Bergers des biens tres-neceſſaires.	Ce breuage est plus doux, et n'a point de poison, Il donne le bon sens, et refait la raison, Ces ruisseaux désormais, en leurs effets contraires Causeront aux Bergers des biens très-nécessaires.
SCENE II.	SCÈNE II.
THYRSIS.	THYRSIS.
TTLLE aiſnée du iour, incomparable Aurore, TRedonne les couleurs aux campagnes de Flore, Reſuſcite le monde, & vien d'vn doux accueil, Deſpoüiller l’Vniuers de ſon habit de dueil.	TTLLE aînée du jour, incomparable Aurore, TRédonne les couleurs aux campagnes de Flore, Résuscite le monde, et vien d'une doux accueil, Despouiller l'Univers de son habit de deuil.
Le Chaſſeur ja debout, en maniant ſes toilles, Regarde auec deſpit, le Ciel ſemé d’eſtoilles, Le Meſſager preſſé t’aduertit humblement, Que la nuict a duré deſia trop longuement.	Le Chasseur ja debout, en maniant ses toilles, Regarde avec dépit, le Ciel semé d'étoilles, Le Messager pressé t'avertit humblement, Que la nuit a duré déjà trop longuement.
Moy, dont l’eſprit ſouſpire vne iniuſte contrainte, Le cœur bruſlant d’amour, & tout gelé de crainte, Ie te prie Deeſſe!	Moi, dont l'esprit soupire une injuste contrainte, Le cœur brûlant d'amour, et tout gelé de crainte, Je te prie Déesse!
ameine la clarté Qui formant les objets ſait viure la beauté.	âme la clarté Qui formant les objets sait vivre la beauté.
Le ſilence, & la nuict, dedans ma reſuerie, Font, d’vn excez d’amour, vn tranſport defurie;	Le silence, et la nuit, dedans ma rêverie, Font, d'un excès d'amour, un transport défurie;
Ie ſens de tous coſtez mon cœur percé des dards, L’objet de mes ennuis me ſuit en toutes parts;	Je sens de tous côtés mon cœur percé des dards, L'objet de mes ennuis me suit en toutes parts;
Ceſte rare beauté, qui tient ma fantaiſie, M'apparoiſt, non d’amour, mais de honte ſaiſie Comme vne criminelle accablée des fers, Si bien que ceſte nuict ie ſuis dans les enfers;	Cette rare beauté, qui tient ma fantaisie, M'apparaît, non d'amour, mais de honte saisie Comme une criminelle accablée des fers, Si bien que cette nuit ie suis dans les enfers;
Les moindres de mes maux ſont pires que des peſtes, Mon eſprit ne voit plus que viſions funeſtes, Que fantoſmes volans, que corps courans ſans brait, Paſles obets formez des ombres de la nuit.	Les moindres de mes maux sont pires que des pestes, Mon esprit ne voit plus que visions funestes, Que fantômes volants, que corps courants sans brait, Pâles objets formés des ombres de la nuit.
Deeſſe!	Déesse!
ſi ton ame eſt eſmeuë à mes plaintes, En diſſipant la nuit tu finiras mes craintes, Mais non, ne me croy pas, trop toſt viendra le iour, Puis qu’il me faut quitter l’objet de mon amour.	si ton âme est émue à mes plaintes, En dissipant la nuit tu finiras mes craintes, Mais non, ne me crois pas, trop tôt viendra le jour, Puis qu'il me faut quitter l'objet de mon amour.
Le deſſein, que mon pere a fait pour mon martire, Me fait craindre, l’octroy du bien que ie deſire;	Le dessein, que mon père a fait pour mon martyre, Me fait craindre, l'octroi du bien que ie desire;
Il veut, que delaiſſant les brebis & les bois, Ie me tranſporte au camp, du grand Roy des Gaulois.	Il veut, que délaissant les brebis et les bois, Je me transporte au camp, du grand Roi des Gaulois.
Ce changement d’eſtat importune ma vie:	Ce changement d'état importune ma vie:
Car ie ne verray plus les beaux yeux de Syluie;	Car Ne ne verrai plus les beaux yeux de Sylvie;
Chers ſoleils de mon cœur!	Chers soleils de mon cœur!
roys de ma liberté!	rois de ma liberté!
Ie ne verray donc plus voſtre douce clarté!	Je ne verrai donc plus votre douce clarté!
Ie ne vous verray plus!	Je ne vous verrai plus!
lumineuſes planettes Qui conſumez mon cœur en des flames ſi nettes.	lumineuses planètes Qui consumés mon cœur en des flammes si nettes.
Helas!	Hélas!
que les deſtins ont des ſeueres loys, Pour les ſimples Paſteurs, cõme pour les grands Roys!	que les destins ont des sévères lois, Pour les simples Pasteurs, comme pour les grands Rois!
Loing de ces vanitez;	Loing de ces vanités;
le repos du village Borne tous mes plaiſirs dans ce ſacré bocage, Sans regret du paſſé, ny ſoing de l’aduenir, Ie me plais au ſeul bien, que ie puis retenir, I’adore nos coſtaux, i’idolatre nos plaines, Et n’ayme que le bruit du courant des fontaines.	le repos du village Borne tous mes plaisirs dans ce sacré bocage, Sans regret du passé, ni soin de l'avenir, Je me plais ce seul bien, que sans puis retenir, J'adore nos costaux, j'idolatre nos plaines, Et n'aime que le bruit du courant des fontaines.
Les oyſelets des champs en leurs mignardes voix Excellent à mon gouſt la muſique des Roys:	Les oiselets des champs en leurs mignardes voix Excellent à mon goût la musique des Rois:
Les fleurs dont le Printemps enrichit nos prairies, Me plaiſent beaucoup plus, que leurs tapiſſeries.	Les fleurs dont le Printemps enrichit nos prairies, Me plaisent beaucoup plus, que leurs tapisseries.
Ces grãds iardins qu’ils font pour diuertir leurs yeux Imitent de bien loing les beautez de ces lieux,	Ces grands jardins qu'ils font pour divertir leurs yeux Imitent de bien loin les beautés de ces lieux,
Vne grotte qu'a fait la main de la nature, Paſſe tous les efforts de leur architecture, Et tout cela que l’art peutinuenter de beau, Eſt de repreſenter nos champs dans vn tableau;	Une grotte qu'a fait la main de la nature, Passe tous les efforts de leur architecture, Et tout cela que l'art peutinventer de beau, Est de représenter nos champs dans un tableau;
Leurs cabinets ſont peints des prez & des montagnes, Ils n’ont que les portraits de nos larges campagnes.	Leurs cabinets sont peints des prés et des montagnes, Ils n'ont que les portraits de nos larges campagnes.
Et nous qui iouyſſons de leur fertilité, En poſſedons le fruict auecques la beauté;	Et nous qui jouissons de leur fertilité, En possédons le fruit toujours la beauté;
Pourquoy dõc recercher plus d’heur, ou plus de gloire?	Pourquoi dont recercher plus d'heur, ou plus de gloire?
Sans doute, pour laiſſer nos noms dedans l’hiſtoire, Ridicules penſers, monſtres de vanité, Mortels, mal aſſeurez d'un moment de ſanté, De qui le lendemain n'eſt pas en la puiſſance D’vn orgueil effronté, qui tient de l’inſolence, Roulans des grands deſſeins en nos eſprits reclus, Nous cerchõs de l’honneur quand nous ne sõmes plus.	Sans doute, pour laisser nos noms dedans l'histoire, Ridicules pensers, monstres de vanité, Mortels, mal assurés d'un moment de santé, De qui le lendemain n'est pas en la puissance D'un orgueil effronté, qui tient de l'insolence, Roulants des grands desseins en nos esprits reclus, Nous cerchons de l'honneur quand nous ne sommes plus.
Enfant, quand ie voyois dedans le cimetiere Pluſieurs tombeaux formez d'vne riche matiere, Ie croyois que les corps de ces marbres couuerts, Comme ceux du commun n’eſtoient mangez des vers.	Enfant, quand je voyais dedans le cimetière Plusieurs tombeaux formés d'une riche matière, Je croyais que les corps de ces marbres couverts, Comme ceux du commun n'étaient mangés des vers.
Mais mon pere en ces mots, détrompa mon enfance, Me diſant, c’eſt du Ciel la fatale ordonnance, Que tout cela qui vit, eſclairé du Soleil, Se doit reduire en poudre auec vn ſort pareil, Les brebis & les Roys, dedans la ſepulture Aux vers eſgalement ſeruent de nourriture.	Mais mon père en ces mots, détrompa mon enfance, Me disant, c'est du Ciel la fatale ordonnance, Que tout cela qui vit, éclairé du Soleil, Se doit réduire en poudre avec un sort pareil, Les brebis et les Rois, dedans la sépulture Aux vers également servent de nourriture.
Quand nous ſommes venus à ce grand rendez-vous, La terre ne met plus de difference en nous:	Quand nous sommes venus à ce grand rendez-vous, La terre ne met plus de différence en nous:
Par ce ſage diſcours il m’apprit à cognoiſtre Que ce n’eſt, qu’vn eſclat tout ce qu’on voit paroiſtre, Qu'vn faux luſtre d’honneur, esbloüiſſant nos ſens:	Par ce sage discours il m'apprit à connaître Que ce n'est, qu'un éclat tout ce qu'on voit paraître, Qu'un faux lustre d'honneur, éblouissant nos sens:
Mais que le vray repos de ces lieux innocens Approche de bien pres, de l’heur qu’on deuroit ſuiure, Où nos premiers parens, commencerent de viure.	Mais que le vrai repos de ces lieux innocents Approche de bien près, de l'heur qu'on devrait suivre, Où nos premiers parents, commencèrent de vivre.
Mon pere à ces penſers, ſouuent dedans ce bois A comparé ſon heur au plus heureux des Roys;	Mon père à ces pensers, souvent dedans ce bois A comparé son heur au plus heureux des Rois;
Maintenant ce vieillard, d'vn vain deſir de gloire Veut fignaler ſon nom, par mes faits dans l’hiſtoire, Ce ſuperbe deſſein trouble fort mes eſprits, Preferant aux lauriers, les roſes de Cypris.	Maintenant ce vieillard, d'un vain désir de gloire Veut signaler son nom, par mes faits dans l'histoire, Ce superbe dessein trouble fort mes esprits, Préferant aux lauriers, les roses de Cypris.
I'ayme mieux viure vn iour dans les bras de Syluie, Qu'arracher d’vn Monarque & leSceptre & la vie:	J'aime mieux vivre un jour dans les bras de Syluie, Qu'arracher d' Monarque et leSptre et la vie:
Ses yeux, mes chers ſoleils, ont tant de grauité, Que rien ne me plaiſt tant, que ma captiuité.	Ses yeux, mes chers soleils, ont tant de gravité, Que rien ne me plaît tant, que ma captivité.
Mais quoy!	Mais quoi!
dans ce deſſein, mon pere opiniaſtre En vain de mes raiſons ie taſche à le combatre, Il s’obſtine tant plus, reſſemblant le guerrier De qui l’on veut des mains, arracher le laurier.	dans ce dessein, mon père opiniâtre En vain de mes raisons ie tâche à le combattre, Il s'obstine tant plus, ressemblant le guerrier De qui l'on veut des mains, arracher le laurier.
De ſorte qu'il me faut, deſſous l’obeyſſance:	De sorte qu'il me faut, dessous l'obéissance:
D’vn tel pere quitter, ce ſejour d’innocence, Prendre congé de vous, prez, montagnes, foreſts, De mes premiers deſirs les confidents, ſecrets 00 Lieux ſacrez à la nuict, ſi plaiſans, & ſi ſombres Que iamais le Soleil n'en penetra les ombres, Dont les arbres mouſſus nous paroiſſent ſi vieux Qu'on diroit, qu’ils ont veu la ieuneſſe des Cieux.	D'un tel père quitter, ce séjour d'innocence, Prendre congé de vous, près, montagnes, forêts, De mes premiers désirs les confidents, secrets 00 Lieux sacrés à la nuit, si plaisants, et si sombres Que jamais le Soleil n'en pénétra les ombres, Dont les arbres moussus nous paraissent si vieux Qu'on dirait, qu'ils ont vu la jeunesse des Cieux.
Ame de ces foreſts, qui les tiens en verdure, Reſponds moy, ſi depuis, que ta puiſſance dure, Vn Berger, tel que moy, nourry dedans les bois, S’eſt veu contraint d’aller à la ſuite des Roys?	Âme de ces forêts, qui les tiens en verdure, Responds moi, si depuis, que ta puissance dure, Un Berger, tel que moi, nourri dedans les bois, S'est vu contraint d'aller à la suite des Rois?
Sans doute que le temps n’en a point de memoire;	Sans doute que le temps n'en a point de mémoire;
Syluie, tes beaux yeux, où repoſe ma gloire, Me verront le premier à ce malheur contraint Deſrompant & quittant le nœud qui nous eſtraint!	Sylvie, tes beaux yeux, où repose ma gloire, Me verront le premier à ce malheur contraint Désrompant et quittant le nœud qui nous étraint!
Mais non, ne le crains pas!	Mais non, ne le crains pas!
viue ſource de flame!	vive source de flamme!
Ie te laiſſe mon cœur, ie te laiſſe mon ame, Ie m’en vay comme vn mort, paſle & defiguré, Monſtrer que dans tes mains mon cœur eſt demeuré, Mais quoy?	Je te laisse mon cœur, ie te laisse mon âme, Je m'en vais comme un mort, pas et défiguré, Montrer que dans tes mains mon cœur est demeuré, Mais quoi?
dans ces foreſts, ne voy-ie point l’aurore?	dans ces forêts, ne vois-je point l'aurore?
Non!	Non!
c’eſt le beau ſujet que mon eſprit adore Sa preſence à ce coup me touche tellement, Qu'il ne me reſte plus, ny voix, ny mouuement.	c'est le beau sujet que mon esprit adore Sa présence à ce coup me touche tellement, Qu'il ne me reste plus, ni voix, ni mouuement.
SCENE III.	SCÈNE III.
SYLVIE, THYRSIS.	SYLVIE, THYRSIS.
YLVIE.	YLVIE.
A nuict eſtant trop longue à mon inquietude, LIe vien dans ces foreſts cercher la ſolitude, Et bien que le Soleil ne nous eſclaire pas, Vn deſir effronté, n’y conduit point mes pas, Deſia de ces coſtaux la cime ſe redore,	À nuit étant trop longue à mon inquiétude, LIe viens dans ces forêts cercher la solitude, Et bien que le Soleil ne nous éclaire pas, Un désir effronté, n'y conduit point mes pas, Désia de ces costaux la cime se redore,
Si i’euſſe peu gouſter le repos du ſommeil I’aurois bien attendu le leuer du Soleil:	Si j'eusse peu goûter le repos du sommeil J'aurais bien attendu le lèver du Soleil:
