A MONSIEUR MONSIEUR HOURLIER.	À MONSIEUR MONSIEUR HOURLIER.
Cet honneur qu’on nous fait je ne le démens gueres, Et ſuis homme fort rond, de toutes les manieres.	Cet honneur qu'on nous fait je ne le déments guères, Et suis homme fort rond, de toutes les manières.
Pour que l’on me trompaſt, cela ſe pourroit bien;	Pour que l'on me trompât, cela se pourrait bien;
Le doute eſt mieux fondé;	Le doute est mieux fondé;
pourtant je n’en croy rien, Je ne voy point encore, ou je ſuis une beſte, Surquoy vous avez pû prendre martel-en-teſte.	pourtant je n'en crois rien, Je ne vois point encore, ou je suis une bête, Surquoy vous avez pu prendre martel-en-teste.
Lucile, à mon avis, vous montre aſſez d’amour, Elle vous voit, vous parle, à toute heure du jour, Et Valere apres-tout qui cauſe vôtre crainte, Semble n’eſtre à preſent ſouffert que par contrainte.	Lucile, à mon avis, vous montre assez d'amour, Elle vous voit, vous parle, à toute heure du jour, Et Valère après-tout qui cause votre crainte, Semble n'être à présent souffert que par contrainte.
ERASTE.	ERASTE.
Souvent d’un faux eſpoir un amant eſt nourry;	Souvent d'un faux espoir un amant est nourri;
Le mieux receu tousjours n’eſt pas le plus chery;	Le mieux reçu toujours n'est pas le plus chéri;
Et tout ce que d’ardeur font paroiſtre les femmes, Parfois n’eſt qu’un beau voile à couvrir d’autres flames.	Et tout ce que d'ardeur font paraître les femmes, Parfois n'est qu'un beau voile à couvrir d'autres flammes.
Valere enfin, pour eſtre un amant rebuté, Montre depuis un temps trop de tranquilité;	Valère enfin, pour être un amant rebuté, Montre depuis un temps trop de tranquille;
Et ce qu’à ces faveurs, dont tu crois l’apparence, Il teſmoigne de joye ou bien d’indifference, M’empoiſonne à tous coups leurs plus charmans appas, Me donne ce chagrin que tu ne comprens pas;	Et ce qu'à ces faveurs, dont tu crois l'apparence, Il témoigne de joie ou bien d'indifférence, M'empoisonne à tous coups leurs plus charmands appas, Me donne ce chagrin que tu ne comprends pas;
Tient mon bonheur en doute, & me rend difficile Une entiere croyance aux propos de Lucile.	Tient mon bonheur en doute, et me rend difficile Une entière croyance aux propos de Lucile.
Je voudrois, pour trouver un tel deſtin plus doux, Y voir entrer un peu de ſon tranſport jaloux, Et ſur ſes déplaiſirs & ſon impatience Mon ame prendroit lors une pleine aſſeurance.	Je voudrais, pour trouver un tel destin plus doux, Y voir entrer un peu de son transport jaloux, Et sur ses déplaisirs et son impatience Mon âme prendrait lors une pleine assurance.
Toy meſme, penſe tu, qu’on puiſſe, comme il fait, Voir cherir un rival d’un eſprit ſatisfait?	Toi -même, pense tu, qu'on puisse, comme il fait, Voir chérir un rival d'un esprit satisfait?
Et, ſi tu n’en crois rien, dy moy, je t’en conjure, Si j’ay lieu de réver deſſus cette avanture.	Et, si tu n'en crois rien, dis -moi, je t'en conjure, Si j'ai lieu de re dessus cette aventure.
GROS-RENE'.	GROS-RENE'.
Peut eſtre que ſon cœur a changé de deſirs Connoiſſant qu’il pouſſoit d’inutiles ſoupirs.	Peut être que son cœur a changé de désirs Connaissant qu'il poussait d'inutiles soupirs.
ERASTE.	ERASTE.
Lorſque par les rebuts une ame eſt detachée, Elle veut fuir l’objet dont elle fut touchée, Et ne rompt point ſa chaiſne avec ſi peu d’éclat, Qu’elle puiſſe reſter en un paiſible état:	Lorsque par les rebuts une âme est détachée, Elle veut fuir l'objet dont elle fut touchée, Et ne rompt point sa chaîne avec si peu d'éclat, Qu'elle puisse rester en un paisible état:
De ce qu’on a chery la fatale preſence Ne nous laiſſe jamais dedans l’indifference;	De ce qu'on a chéri la fatale présence Ne nous laisse jamais dedans l'indifférence;
Et, ſi de cette veuë on n’acroiſt ſon dedain, Nôtre amour eſt bien pres de nous rentrer au ſein.	Et, si de cette vue on n'acrait son dédain, Notre amour est bien près de nous rentrer au sein.
Enfin, croy moy, ſi bien qu’on éteigne une flame, On peu de jaioune occupeencole dnt ame, Et l’on ne ſçauroit voir, ſans en eſtre piqué, Poſſeder par un autre un cœur qu’on a manqué.	Enfin, crois -moi, si bien qu'on éteigne une flamme, On peu de joune occupeencole dît âme, Et l'on ne saurait voir, sans en notre piqué, Posséder par un autre un cœur qu'on a manqué.
GROSRENE’.	GROSRENE.
Pour moy, je ne ſçay point tant de philoſophie;	Pour moi, je ne sais point tant de philosophie;
Ce que voyent mes yeux, franchement je m’y fie, Et ne ſuis point de moy ſi mortel ennemy, Que je m’aille affliger ſans ſujet ny demy, Pourquoy ſubtiliſer, & faire le capable A chercher des raiſons pour eſtre miſerable?	Ce que voient mes yeux, franchement je m'y fie, Et ne suis point de moi si mortel ennemi, Que je m'aille affliger sans sujet ni demi, Pourquoi subtiliser, et faire le capable A chercher des raisons pour être misérable?
Sur des ſoupçons en l’air je m’irois allarmer ?	Sur des soupçons en l'air je m'irais alarmer ?
Laiſſons venir la feſte avant que la chomer.	Laissons venir la fête avant que la chômer.
Le chagrin me paroiſt une incommode choſe;	Le chagrin me paraît une incommode chose;
Je n’en prens point pour moy, ſans bonne & juſte cauſe;	Je n'en prends point pour moi, sans bonne et juste cause;
Et meſmes à mes yeux cent ſujets d’en avoir S’offrent le plus ſouvent que je ne veux pas voir.	Et mêmes à mes yeux cent sujets d'en avoir S'offrent le plus souvent que je ne veux pas voir.
Avec vous en amour je cours meſme fortune;	Avec vous en amour je cours même fortune;
Celle que vous aurez me doit eſtre commune;	Celle que vous aurez me doit été commune;
La maiſtreſſe ne peut abuſer vôtre foy, A moins que la ſuivante en faſſe autant pour moy :	La maîtresse ne peut abuser votre foi, À moins que la suivante en fasse autant pour moi :
Mais j’en fuis la penſée avec un ſoin extréme.	Mais j'en fuis la pensée avec un soin extrême.
Je veux croire les gens quand on me dit, je t’ayme;	Je veux croire les gens quand on me dit, je t'aime;
Et ne vais point chercher, pour m’eſtimer heureux, Si Maſcarille, ou non, s’arrache les cheveux.	Et ne vais point chercher, pour m'estimer heureux, Si Mascarille, ou non, s'arrache les cheveux.
Que tantoſt Marinette endure qu’à ſon ayſe Jodelet par plaiſir la careſſe & la baiſe, Et que ce beau rival en rie ainſi qu’un foû, amiunenemple uin pen ihuy toutihonſoſ;	Que tantôt Marinette endure qu'à son aise Iodèlet par plaisir la caresse et la baise, Et que ce beau rival en rie ainsi qu'un fou, amiunenemple uin pen ihuy toutihonsos;
Et l’on verra qui rit avec meilleure grace.	Et l'on verra qui rit avec meilleure grâce.
ERASIE.	ERASIE.
Voila de tes diſcours.	Voilà de tes discours.
GROS-RENE’.	GROS-RENE'.
Mais je la voy qui paſſe.	Mais je la vois qui passe.
SCENE II.	SCÈNE II.
MARINETTE, ERASTE, GROS-RENÉ.	MARINETTTE, ERASTE, GROS-REN.
OT, Marinette.	OT, Marinette.
GROS-RENE.	GROS-RENE.
MARINETTE.	MARINETTTE.
110, noue de luineu At ?	110, noue de luineu At ?
GROS-RENE’.	GROS-RENE'.
Ma foy, Demande, nous étions tout à l’heure ſur toy.	Ma foi, Demande, nous étions tout à l'heure sur toi.
MARINETTE.	MARINETTTE.
Vous eſtes auſſi là!	Vous êtes aussi là!
Monſieur;	Monsieur;
depuis une heure Vous m’avez fait troter comme un Baſque, je meure.	depuis une heure Vous m'avez fait troter comme un Basque, je meure.
Comment?	Comment?
ERASTE.	ERASTE.
MARINETTE.	MARINETTTE.
Pour vous chercher j’ay fait dix mille pas, Et vous promets, ma foy.	Pour vous chercher j'ai fait dix mille pas, Et vous promets, ma foi.
TRISTE.	TRISTE.
Qu	Qu
MARINETTE.	MARINETTTE.
Que vous n’eſtes pas Au temple, au cours, chez vous, ny dans la grande place.	Que vous n'êtes pas Au temple, au cours, chez vous, ni dans la grande place.
GROS	GROS
GROS-RENE’.	GROS-RENE'.
H Iallolt enjuiel.	H Halolt enjuiel.
ERASTE.	ERASTE.
Aprend-moy donc de grace Qui te fait me chercher.	Apprend-moi donc de grâce Qui te fait me chercher.
MARINETTE.	MARINETTTE.
Quelqu’un, en verité, Qui pour vous na pas ſop ſhauvulle voionte.	Quelqu'un, en vérité, Qui pour vous na pas sop sauville voionte.
Ma maiſtreſſe en un mot.	Ma maîtresse en un mot.
ERASTE.	ERASTE.
Ha!	Ha!
chere Marinette, Ton diſcours de ton cœur eſt-il bien l’interprete?	chère Marinette, Ton discours de ton cœur est-il bien l'interprète?
Ne me déguiſe point un miſtere fatal, ye ne ten veuaiay paapcarecla plaa de malz Au nom des Dieux, dy-moy ſi ta belle maiſtreſſe N’abuſe point mes vœux d’une fauſſe tendreſie.	Ne me déguise point un mystère fatal, voie ne ten veuai paparecla pla de malz Au nom des Dieux, dis-moi si ta belle maîtresse N'abuse point mes vœux d'une fausse tendresie.
MARINETTE.	MARINETTTE.
Hé, hé, d’où vous vient donc ce plaiſant mouvement?	Hé, hé, d'où vous vient donc ce plaisant mouvement?
Elle ne fait pas voir aſſez ſon ſentiment ?	Elle ne fait pas voir assez son sentiment ?
Quel garant eſt-ce encor que voſtre amour demande?	Quel garant est-ce encor que votre amour demande?
&ue luy fautine	etue même fautine
GROS-RENE’.	GROS-RENE'.
A moins que Valere ſe pende, Bagatelle;	À moins que Valère se pende, Bagatelle;
ſon cœur ne s’aſieurera point.	son cœur ne s'asièvrera point.
Comment?	Comment?
MARINETTE.	MARINETTTE.
GROSRENE’.	GROSRENE.
Il eſt jaloux juſques en un tel point.	Il est jaloux jusques en un tel point.
MARINETTE.	MARINETTTE.
De Valere?	De Valère?
Ha!	Ha!
vrayment la penſée eſt bien belle !	vraiment la pensée est bien belle !
Elle peut ſeulement naiſtre en voſtre cervelle!	Elle peut seulement naître en votre cervelle!
Je vous croyois du ſens, & juſqu’à ce moment, j’avois de voſtre eſprit quelque bon ſentiment:	Je vous croyais du sens, et jusqu'à ce moment, j'avais de votre esprit quelque bon sentiment:
Mais, à ce que je voy, je m’eſtois fort trompée.	Mais, à ce que je vois, je m'étais fort trompée.
Ta teſte de ce mal eſt-elle auſſi frapée?	Ta tête de ce mal est-elle aussi frappée?
na ARUC	na ARC
GROS-RENE'.	GROS-RENE'.
Moy jaloux?	Moi jaloux?
Dieu m’en garde, & d’eſtre aſſez badin Pour m’aller emmaigrir avec un tel chagrin;	Dieu m'en garde, et d'être assez badin Pour m'aller emmaigrir avec un tel chagrin;
Outre que de ton cœur ta foy me cautionne, L’opinion que j’ay de moy-meſme eſt trop bonne Tour cione auples de moy que querquaullé te pluſt, Où diantre pourrois-tu trouver qui me valuſt?	Outre que de ton cœur ta foi me cautionne, L'opinion que j'ai de moi-même est trop bonne Tour cione auples de moi que querquaullé te plaît, Où diantre ais-tu trouver qui me valût?
MARINETTE.	MARINETTTE.
En effet, tu dis bien, voila comme il faut eſtre, Jamais de ces ſoupçons qu’un jaloux fait paroiſtre;	En effet, tu dis bien, voilà comme il faut être, Jamais de ces soupçons qu'un jaloux fait paraître;
Tout le fruit qu’on en cueille eſt de ſe mettre mal, Et d’avancer par là les deſſeins d’un rival:	Tout le fruit qu'on en cueille est de se mettre mal, Et d'avancer par là les desseins d'un rival:
Au merite ſouvent de qui l’éclat vous bleſſe, Vcs chagrins font ouvrir les yeux d’une maiſtreſſe;	Au mérite souvent de qui l'éclat vous blesse, Vcs chagrins font ouvrir les yeux d'une maîtresse;
Et j’en ſçay tel qui doit ſon deſtin le plus doux Aux ſoins trop inquiets de ſon rival jaloux.	Et j'en sais tel qui doit son destin le plus doux Aux soins trop inquiets de son rival jaloux.
Enfin, quoy qu’il en ſoit, témoigner de l’ombrage C’eſt jouër en amour un mauvais perſonnage, Et ſe rendre apres-tout miſerable à credit:	Enfin, quoi qu'il en soit, témoigner de l'ombrage C'est jouer en amour un mauvais personnage, Et se rendre après-tout misérable à crédit:
Ccia, ocigneur Llante, en parlant vouo fort dit.	Ccia, ocigneur Llante, en parlant voulo fort dit.
ERASTE.	ERASTE.
Hé bien, n’en parlons plus, que venois tu m’aprendre?	Hé bien, n'en parlons plus, que venais -tu m'apprendre?
MARINETTE.	MARINETTTE.
votis merterien bieir que l’on vous fit attendre:	votis mertérien bieir que l'on vous fit attendre:
Qu’afin de vous punir je vous tinſſe caché, Le grand ſecret pourquoy je vous ay tant cherché.	Qu'afin de vous punir je vous tinsse caché, Le grand secret pourquoi je vous ai tant cherché.
Tenez, voyez ce mot, & ſortez hors de doute.	Tenez, voyez ce mot, et sortez hors de doute.
Liſez-le donc tout haut;	Lisez-le donc tout haut;
perſonne icy n’écoute.	personne ici n'écoute.
ERASTE lit.	ERASTE lit.
Vous m’avez dit que vôtre amour Eſtoit capable de tout faire, Il ſe couronnera luy-meſme dans ce jour, S’il peut avoir l’aveu d’un pere.	Vous m'avez dit que votre amour Était capable de tout faire, Il se couronnera lui-même dans ce jour, S'il peut avoir l'aveu d'un père.
Faites parler les droits qu’on a deſſus mon cœur;	Faites parler les droits qu'on a dessus mon cœur;
Je vous en donne la licence:	Je vous en donne la licence:
Et, ſi c’eſt en vôtre faveur, Je vous répons de mon obeiſſance.	Et, si c'est en votre faveur, Je vous réponds de mon obéissance.
6Sto Ha!	6Sto Ha!
quel bon-heur!	quel bonheur!
ô, toy, qui me l’as apporté Ie te dois regarder comme une Deïté.	ô, toi, qui me l'as apporté Je te dois regarder comme une Deïté.
GROS-RENE’.	GROS-RENE'.
je vous le unois cien conde rode croyance, Je ne me trompe guere aux choſes que je penſe.	je vous le unais cien condé rode croyance, Je ne me trompe guère aux choses que je pense.
ERASTE lit.	ERASTE lit.
Faites parler les droits qu’on a deſſus mon cœur;	Faites parler les droits qu'on a dessus mon cœur;
Je vous en donne la licence:	Je vous en donne la licence:
Et, ſi c’eſt en vôtre faveur, Je vous répons de mon obeïſſance.	Et, si c'est en votre faveur, Je vous réponds de mon obéissance.
MARINETAL.	MARINETAL.
Si je luy raportois vos foibleſſes d’eſprit, Elle deſavoûroit bien-toſt un tel écrit.	Si je était rapportais vos faiblesses d'esprit, Elle désavouerait bientôt un tel écrit.
ERASTE.	ERASTE.
Ha, cache luy, de grace, une peur paſſagere Où mon ame a creu voir quelque peu de lumiere;	Ha, cache sang, de grâce, une peur passagère Où mon âme a cru voir quelque peu de lumière;
Cu, niu la lay di, dujoalte que ma Miorr;	Cul, niu la dis di, dujoutalte que ma Miorr;
Eſt preſte d’expier l’erreur de ce tranſport;	Est prête d'expier l'erreur de ce transport;
Que je vais à les pleus, i j’ay pu iuy déplaire, Sacrifier ma vie à ſa juſte colere.	Que je vais à les pleus, y j'ai pu jui déplaire, Sacrifier ma vie à sa juste colère.
MARINETTE.	MARINETTTE.
Ne parlons point de mort, ce n’en eſt pas le temps	Ne parlons point de mort, ce n'en est pas le temps
ERASTE.	ERASTE.
Au reſte, je te doy beaucoup, & je pretens Reconnoiſtre daiis peu ue la bonne maniere Les ſoins d’une ſi noble & ſi belle courriere.	Au reste, je te dois beaucoup, et je prétends Reconnoistre daiis peu ue la bonne maniere Les soins une si noble et si belle courriere.
MARINETTE.	MARINETTTE.
A propos;	À propos;
ſçavés-vous où je vous ay cherché Tantoſt encore?	Savez-vous où je vous ai cherché Tantôt encore?
ERASTE.	ERASTE.
Hé bien?	Hé bien?
MARINETTE.	MARINETTTE.
Où vous ſçavez.	Où vous savez.
Tout proche du marché,	Tout proche du marché,
ERASTE.	ERASTE.
Où donc?	Où donc?
MARINETTE.	MARINETTTE.
Là, dans cette boutique Où dés le mois pane voitie euetii laghinique Me promit, de ſa grace, une bague.	Là, dans cette boutique Où dès le mois pane voitie euetii laghinique Me promit, de sa grâce, une bague.
ERASTE.	ERASTE.
Ha, j’entends.	Ha, j'entends.
La Matoiſe!	La Matoise!
GROS-RENE'.	GROS-RENE'.
ERASTE.	ERASTE.
neit vray, jay taide top iongſtemps A m’acquiter vers toy d’une telle promeſſe:	nit vrai, jay taide top iongstemps A m'acquitter vers toi d'une telle promesse:
Mais.	Mais.
MARINETTE.	MARINETTTE.
Ce que j’en ay dit, n’eſt pas que je vous preſſe.	Ce que j'en ai dit, n'est pas que je vous presse.
no.	nô.
que noi.	que noi.
GROS-RENE’.	GROS-RENE'.
ERASTE.	ERASTE.
Celle-cy peut eſtre aura dequoy Te plaire.	Celle-cy peut être aura dequoy Te plaire.
Accepte-la pour celle que je doy.	Accepte-la pour celle que je dois.
MARINETTE.	MARINETTTE.
Monſieur, vous vous moqués, j’aurois honte à la prendre.	Monsieur, vous vous moquez, j'aurais honte à la prendre.
AROSNENE.	AROSNENE.
Pauvre honteuſe, pren, ſans davantage attendre.	Pauvre honteuse, pren, sans davantage attendre.
Refuſer ce qu’on donne, elt bon à faire aux foux.	Refuser ce qu'on donne, ellet bon à faire aux foux.
MARINETTE.	MARINETTTE.
Ce ſera pour garder quelque choſe de vous.	Ce sera pour garder quelque chose de vous.
ERASTE.	ERASTE.
Quand puis je rendre grace à cet ange adorable?	Quand puis je rendre grâce à cet ange adorable?
MARINETTE.	MARINETTTE.
Travaillez à vous rendre un pere favorable.	Travaillez à vous rendre un père favorable.
ERASTE.	ERASTE.
ERASTE.	ERASTE.
Malss iine Icoutoit, dois je.	Malss ine Icoutait, dois -je.
MARINETTE.	MARINETTTE.
A lors comme à lors, Pour vous on employra toutes ſortes d’efforts, Dune fagon cu duune il faut qu’elle ſoit voſtre;	À lors comme à lors, Pour vous on emploira toutes sortes d'efforts, Dune fagon cv une il faut qu'elle soit vôtre;
Faites voſtre pouvoir, & nous ferons le noſtre.	Faites votre pouvoir, et nous ferons le nôtre.
ERASTE.	ERASTE.
Adieu, nous en ſçaurons le ſuccés dans ce jour.	Adieu, nous en saurons le succès dans ce jour.
MARINETTE.	MARINETTTE.
Et nous, que dirons-nous auſſi de noſtre amour?	Et nous, que dirons-nous aussi de notre amour?
Tu ne m’en parles point.	Tu ne m'en parles point.
TROS-RENE’.	TROS-RENE'.
onnjilien quon ieuhaite Entre gens comme nous eſt choſe bien toſt faite.	Oonnjilien quon jeuhaite Entre gens comme nous est chose bien tôt faite.
je te veux.	Je te veux.
Me veux-fu de memme ?	Me veux-fu de même ?
MARINETTE.	MARINETTTE.
Avec plaiſir.	Avec plaisir.
GROSRENE’.	GROSRENE.
Touche;	Touche;
il ſuffit.	il suffit.
A aledE1 E.	À alédE1 E.
Adieu, Gros-René mon deſir.	Adieu, Gros-René mon désir.
JROSRENE.	JROSRENE.
Adieu, mon Aſtre.	Adieu, mon Astre.
MARINETTE.	MARINETTTE.
Adieu, beau tiſon de ma flame.	Adieu, beau tison de ma flamme.
GROS-RENE'.	GROS-RENE'.
Aruieuj enere coinete, arc-eiCier de mon ame.	Arvieuj enère coinète, arc-eiCier de mon âme.
Le bon Dieu ſoit loüé, nos affaires vont bien;	Le bon Dieu soit loué, nos affaires vont bien;
Albert n’eſt pas un homme à vous refuſer rien.	Albert n'est pas un homme à vous refuser rien.
ERASTE.	ERASTE.
Valere vient à nous.	Valère vient à nous.
GROS-RENE’.	GROS-RENE'.
Je plains le pauvre hére, Sçachant ce qui ſe paſſe.	Je plains le pauvre hére, Sachant ce qui se passe.
CENE III.	CÈNE III.
ERASTE, CADHREDGROMRENE'.	ERASTE, CADHRÉDGROMRENE.
ERASTE.	ERASTE.
HE bien?	HÉ bien?
Seigneur Valere.	Seigneur Valère.
TALERE.	TALÈRE.
Hé bien?	Hé bien?
Seigneur Eraſte.	Seigneur Éraste.
RASTE.	RASTE.
En quel état l’amour?	En quel état l'amour?
ALERE.	ALÈRE.
En quel état vos feux?	En quel état vos feux?
ERASTE.	ERASTE.
Plus forts de jour en jour.	Plus forts de jour en jour.
ALERE.	ALÈRE.
Et mon amour plus fort.	Et mon amour plus fort.
ERASTE.	ERASTE.
Pour Lucile?	Pour Lucile?
VALERE.	VALÈRE.
Pour elle.	Pour elle.
ERASTE.	ERASTE.
Certes, je l’avoûray, vous eſtes le modelle D’une rare conſtance.	Certes, je l'avourai, vous êtes le modèle D'une rare constance.
VALERE.	VALÈRE.
Et vôtre fermeté Doit eſtre un rare exemple à la poſterité.	Et votre fermeté Doit être un rare exemple à la postérité.
ERASTE.	ERASTE.
Pour moy, je ſuis peu fait à cet amour auſtere, Qui dans les ſeuſs regards treuve à ſe ſatisfaire, Et je ne forme point d’aſſez beaux ſentimens, Pour ſouffrir conſtamment les mauvais traitemens.	Pour moi, je suis peu fait à cet amour austère, Qui dans les seuss regards trouve à se satisfaire, Et je ne forme point d'assez beaux sentiments, Pour souffrir constamment les mauvais traitements.
Enfin, quand j’ayme bien, j’ayme fort que l’on m’ayme.	Enfin, quand j'aime bien, j'aime fort que l'on m'aime.
ALERE.	ALÈRE.
Il eſt tres-naturel, & j’en ſuis bien de meſme:	Il est très-naturel, et j'en suis bien de même:
Le plus parfait objet dont je ſerois charmé N’auroit pas mes triouts, n'en eſtant point aymé.	Le plus parfait objet dont je serais charmé N'aurait pas mes triouts, n'en étant point aimé.
ERASTE.	ERASTE.
Lucile cependant.	Lucile cependant.
VALERE.	VALÈRE.
Lucile dans ſon ame Rend tout ce que je veux qu’elle rende à ma flame.	Lucile dans son âme Rend tout ce que je veux qu'elle rende à ma flamme.
EFAGIE.	EFFAGIE.
Vous eſtes donc facile à contenter.	Vous êtes donc facile à contenter.
VALERE.	VALÈRE.
Que vous pourriez penſer.	Que vous pourriez penser.
Pas tant	Pas tant
ERASTE.	ERASTE.
Je puis croire pourtant, danis dop de vamte, que je luis en ſa grace.	Je puis croire pourtant, danis dop de vamte, que je luis en sa grâce.
JALERE.	JALÈRE.
Moy, je ſçay que j’y tiens une aſſez bonne place.	Moi, je sais que j'y tiens une assez bonne place.
ERASTE.	ERASTE.
Ne vous abuſez point;	Ne vous abusez point;
croyez moy.	croyez -moi.
VALERE.	VALÈRE.
Croyez moy, Ne lamez point duper vos yeua a llop de Foy.	Croyez -moi, Ne lamez point duper vos yeua à lop de Foi.
RASTE.	RASTE.
