FAVTES SVRVENVES EN L’IMESSION.	FAUTES SURVENVES EN L'IMESION.
Portez, portez la guerre au Royaume de Perſe, Que là pour me ſeruir vostre valeur s’exerce, Son Prince de tout temps fut de nos ennemis, Conquestez cét Eſtat, il vous ſera permis, Mais quoy vostre valeur n’en veut qu’a ce ſeul frere, Jl nuit à vos deſſeins, il vous en faut deffaire, Le droit, qu’a ma Couronne il a de ſucceder, D’vn œil plein de fureur vous le fait regarder;	Portez, portez la guerre au Royaume de Perse, Que là pour me servir votre valeur s'exerce, Son Prince de tout temps fut de nos ennemis, Conquêtez cet État, il vous sera permis, Mais quoi votre valeur n'en veut qu'a ce seul frère, Il nuit à vos desseins, il vous en faut défaire, Le droit, qu'a ma Couronne il a de succéder, D'un œil plein de fureur vous le fait regarder;
Mais vostre ambition ſource de cette haine Se donne pour le perdre vne inutile peyne, Je ſçauray le deffendre, & ie vous feré voir, Qu'il n’eſt-pas malaiſé de vous mettre au deuoir.	Mais votre ambition source de cette haine Se donne pour le perdre une inutile peine, Je saurai le défendre, et un vous feré voir, Qu'il n'est-pas malaisé de vous mettre au devoir.
BAIASET.	BAIASET.
Ce, qu’on t’a fait ouyr contre mon innocence, M’oblige à te parler Seigneur en ma deffence, Et te juſtifier les deſſeins de ton fils.	Ce, qu'on t'a fait ouïr contre mon innocence, M'oblige à te parler Seigneur en ma défense, Et te justifier les desseins de ton fils.
SOLIMAN.	SOLIMAN.
Ie vous veux bien entendre, & ie vous l’ay promis.	Je vous veux bien entendre, et ainsi vous l'ai promis.
BAIASET.	BAIASET.
Tu te plains donc Seigneur, que j’attaque mon frere, Que j'entre en ſa Prouince en morte l’aduerſaire, Que la flame, & le fer y ſeruent ma fureur, Et que ie l’ay rendüe vn spectacle d’horreur;	Tu te plains donc Seigneur, que j'attaque mon frère, Que j'entre en sa Province en morte l'adversaire, Que la flamme, et le fer y servent ma fureur, Et que Seigneur l'ai rendue un spectacle d'horreur;
A celà;	À cela;
ie respons, qu’il eſt de la prudence, Contre ſes ennemis d’vſer de preuoyance;	Elle répons, qu'il est de la prudence, Contre ses ennemis d'user de prévoyance;
Et d’euiter l’effet de leur mauuais deſſein;	Et d'éviter l'effet de leur mauvais dessein;
C’est là ce qui m'a mis les armes à la main.	C'est là ce qui m'a mis les armes à la main.
Ie ſçauois, que Selin trauailloit à ma perte, Ne deuois je pas craindre vne hayne couuerte, Et peut-on m’accuſer de l’auoir attaqué Si luy meſme en effet le premier a manqué ?	Je savais, que Selin travaillait à ma perte, Ne devais je pas craindre une haine couverte, Et peut-on m'accuser de l'avoir attaqué Si lui même en effet le premier a manqué ?
Mais toutefois Seigneur pour aſſeurer ma vie De le perſecuter ie n’ay point eu d’enuie, Ny d’vſer contre luy du fer ou du poiſon, Vn fils de Soliman agit d’autre façon;	Mais toutefois Seigneur pour assurer ma vie De le persécuter Elle n'ai point eu d'envie, Ni d'user contre autre du fer ou du poison, Un fils de Soliman agit d'autre façon;
Ie ſuis plus genereux, qu’on ne t’a fait entendre, I'attaque ouuertement, & l’on ſe peut deffendre, Ie hay la perfidie, & n’en ay point vſe, Encor, que fauſſement on m'en ayt accuſé.	Je suis plus généreux, qu'on ne t'a fait entendre, J'attaque ouuertement, et l'on se peut défendre, Je hais la perfidie, et n'en ai point use, Encor, que faussement on m'en ait accusé.
Mais ſi ie ne ſuis pas digne de ta croyance, Fais ſaiſir ceux des miens;	Mais si ici ne suis pas digne de ta croyance, Fais saisir ceux des miens;
en qui ruy conftance, Fais les mettre à la gene, & par mille tourmens, Fais ſortir de leur ſein mes ſecrés ſentimens.	en qui rui constance, Fais les mettre à la gène, et par mille tourments, Fais sortir de leur sein mes secrés sentiments.
Ainſi la verité paroiſſant toute pure Impoſera pour moy ſilence à l’impoſture;	Ainsi la vérité paraissant toute pure Imposera pour moi silence à l'imposture;
Il eſt bien vray Seigfieur, ie ne le cele pas, I’ay fait à mon aiſné la guerre en tes Eſtas, Mais ie t’ay déja dit, que ie pouuois le faire, Puis qu’il ſe depoüilloit des ſentimens de frere, Et me vouloit oſter le bien de la clarté, Quoy que pendant ta vie il ſoit en ſeureté;	Il est bien vrai Seigfieur, Seigneur ne le cèle pas, J'ai fait à mon aîné la guerre en tes Estas, Mais su t'ai déjà dit, que ie pouuois le faire, Puis qu'il se depoüilloit des sentiments de frère, Et me voulait ôter le bien de la clarté, Quoi que pendant ta vie il soit en sûreté;
C’eſt là ce que ie puis prouuer à ta hauteſſe, Ceux qui de ce crüel en auoient charge expreſſe, Et qui n'oſans commettre vne telle action Me vinrent aduertir de ſon intention, Iuſtifieront aſſés, ſi tu les veux entendre Vn Prince malheureux, que l’on vouloit ſurprendre.	C'est là ce que je puis prouver à ta hautesse, Ceux qui de ce cruel en avaient charge expresse, Et qui n'osans commettre une telle action Me vinrent avertir de son intention, Justifieront assez, si tu les veux entendre Un Prince malheureux, que l'on voulait surprendre.
Mais il doit bien attendre au moins pour mon treſpas, Que ta mort l’ayt rendu maistre de tes Eſtas;	Mais il doit bien attendre au moins pour mon trépas, Que ta mort l'ait rendu maître de tes Estas;
Lors ſuiuant de ces lieux la barbare maxime, Que pour reigner ſans crainte il s’aſſeure d’vn crime.	Lors suivant de ces lieux la barbare maxime, Que pour reigner sans crainte il s'assure d'un crime.
S’il me croit lâche aſſés pour luy vouloir rauir, Et le Sceptre, & le iour aulieu de le ſeruir.	S'il me croit lâche assez pour lui vouloir ravir, Et le Sceptre, et le jour aulieu de le servir.
Ie ne me plaindré point de l’effet tiranique, D’vne ſi preuoyante, & dure Politique, Les freres d’vn Sultan luy ſont tous ennemis, Et pour reigner enfin tout luy paroit permis.	Je ne me plaindré point de l'effet tyranique, D'une si prévoyante, et dure Politique, Les frères d'un Sultan deux sont tous ennemis, Et pour reigner enfin tout deux parait permis.
Mais il ne reigne pas, tandis qu’il a ſon pere, Ce Prince de ffiant n'eſt encor, que mon frere, Graces au Ciel encor ie rele.	Mais il ne reigne pas, tandis qu'il a son père, Ce Prince de fiant n'est encor, que mon frère, Grâces au Ciel encor était rele.
e de toy, Et ſon authorité ne va pas juſque à moy;	eu de toi, Et son autorité ne va pas jusque à moi;
I'ay rendu neantmoins honneur à ſa naiſſance, Tout autant, que i’ay cris ma vie en aſſeurance, Et n’ay iamais pour luy manqué d’aucun respect, Que, quand ſa lâcheté me la rendu ſuſpect.	J'ai rendu néanmoins honneur à sa naissance, Tout autant, que j'ai cris ma vie en assurance, Et n'ai jamais pour lui manqué d'aucun respect, Que, quand sa lâcheté me la rendu suspect.
Mais ne m'accuſe point de le charger d’vn crime, Quand ie n’ay point pour moy d’excuſe legitime;	Mais ne m'accuse point de le charger d'un crime, Quand tu n'ai point pour moi d'excuse légitime;
Nous auons des teſmoins gens de bien, & de foy, At tu le veux permestre, ils parleront à toy, Et quand ils t’auront fait vn rapport veritable, Tu verras de tes fils, lequel eſt le coupable.	Nous avons des témoins gens de bien, et de foi, At tu le veux permêtre, ils parleront à toi, Et quand ils t'auront fait un rapport véritable, Tu verras de tes fils, lequel est le coupable.
SOLIMAN.	SOLIMAN.
Si vous ne l’eſtiés pas, qui vous a retardé, me me denmiromuon;	Si vous ne l'étiez pas, qui vous a retardé, me me denmiromuon;
quumu le l'ay commandé?	quumu le l'ai commandé?
Et ne deuiez-vous pas par voſtre obeyſſance, De voſtre procedé me monstrer l’innocence ?	Et ne deviez-vous pas par votre obéissance, De votre procédé me montrer l'innocence ?
Que ne l’auez vous fait au premier mandement?	Que ne l'avez -vous fait au premier mandement?
Mais vous eſtiés coupable, & craigniés juſtement.	Mais vous étiez coupable, et craigniez justement.
BAIASET.	BAIASET.
Si tu le crois Seigneur, hé bien ie le confeſſe, Mais ſi j’oſe parler encor à ta hauteſſe, Tu ne m'as enuoyé, qu’vn ordre ſeulement.	Si tu le crois Seigneur, hé bien femme le confesse, Mais si j'ose parler encor à ta hautesse, Tu ne m'as envoyé, qu'un ordre seulement.
Et ie iure d’auoir obey promptement.	Et ici jure d'avoir obéi promptement.
OLIMAN,	OLIMAN,
SOLIMAN.	SOLIMAN.
Ie ne veux point agir en Juge trop ſeuere, Mon fils, j’eſcouteré ces gens de voſtre frere, Faites les moy venir tantoſt;	Je ne veux point agir en Juge trop sévère, Mon fils, j'escouteré ces gens de votre frère, Faites les moi venir tantôt;
& ie verré, Ce qu’ils diront pour vous, & ce que j’en croiré.	et été verré, Ce qu'ils diront pour vous, et ce que j'en croiré.
Que leur diuiſion me donnera de peyne!	Que leur division me donnera de peine!
N’eſt-il point de moyen pour eſtouffer leur hayne, O!	N'est-il point de moyen pour étouffer leur haine, Ô!
Ciel de ta bonté j’eſpere ce bon heur, docals quest te que in venas parie,	Ciel de ta bonté j'espère ce bon heur, docals quest te que in venas parie,
SCENE II.	SCÈNE II.
SOLIMAN, VN CAPIGI, HAZAN,	SOLIMAN, VN CAPIGI, HAN,
LE CAPIGI.	LE CAPIGI.
Deſire te parler, Vn Courrier Seigneur	Desire te parler, Un Courrier Seigneur
SOLIMAN.	SOLIMAN.
D’où vient-il?	D'où vient-il?
LE CAPIGI.	LE CAPIGI.
De l’Armée.	De l'Armée.
SOLIMAN.	SOLIMAN.
Qu’il entre, qu’à ce mot mon ame eſt allarmée, no eruius cuouque umnaui joie ne ſçay pourquoy;	Qu'il entre, qu'à ce mot mon âme est alarmée, nô ervius cuouque umnau joie ne sais pourquoi;
Mais cette vaine crainte eſt indigne de moy.	Mais cette vaine crainte est indigne de moi.
HAZAN.	HAZAN.
Pertaue à ta hauteſſe enuoye cette Lettre, Qu'en tes mains ſeulement i'ay charge de remettre.	Pertave à ta hautesse envoie cette Lettre, Qu'en tes mains seulement j'ai charge de remettre.
8 L’impoſteur eſt mort à mes yeux, Mais en mourant ce factieux Nomme la cauſe de ſon crime, Bajaſet, dit-il eſt l’autheur De ma faute, & de mon malheur, Et m'oſte la vie, & l’eſtime.	8 L'imposteur est mort à mes yeux, Mais en mourant ce factieux Nomme la cause de son crime, Bajaset, dit-il est l'auteur De ma faute, et de mon malheur, Et m'ôte la vie, et l'estime.
LETTRE.	LETTRE.
Eigneur tu n’as plus d’ennemis, Ils ſont tous ou mors, oh ſoumis, Par mon bras le Ciel t’en deliure, La Thrace n’en ſouffrira plus, Et de ces reuoltés vaincus, Le Chef ceſſe aujourd’huy de viure.	Eigneur tu n'as plus d'ennemis, Ils sont tous ou mors, oh soumis, Par mon bras le Ciel t'en délivre, La Thrace n'en souffrira plus, Et de ces révoltés vaincus, Le Chef cesse aujourd'hui de vivre.
Celuy, qui te rend cét eſcrit, Ayant oüy ce qu’il a dit, Peut confirmer cette nouuelle, de ven respons, il eſt à moy, A ces diſcours adjoute foy, Il a veu mourir le rebelle.	Celui, qui te rend cet écrit, Ayant oui ce qu'il a dit, Peut confirmer cette nouvelle, de ven répons, il est à moi, À ces discours ajoute foi, Il a vu mourir le rebelle.
Auſsi j’enuoye à ta grandeur, La femme de cét imposteur, Qu’on doit nommer vne merueille, Chacun- admire ſes appas, Et des lors, que tu la verras Tu la iugeras ſans pareille.	Aussi j'envoie à ta grandeur, La femme de cet imposteur, Qu'on doit nommer une merveille, Chacun- admire ses appas, Et des lors, que tu la verras Tu la jugeras sans pareille.
ERTAVE.	ERTAUE.
SOLIMAN.	SOLIMAN.
Dit-il vray le Baſſa?	Dit-il vrai le Bassa?
croiray-je de mon fils Qu'il ſoit d’intelligence auec nos ennemis?	croirai-je de mon fils Qu'il soit d'intelligence avec nos ennemis?
HAZAN.	HAZAN.
Ce qu'eſcrit le Baſſa, Seigneur eſt veritable.	Ce qu'écrit le Bassa, Seigneur est véritable.
SOLIMAN.	SOLIMAN.
Helas!	Hélas!
ſi ie le croy, mon fils eſt donc coupable.	si ici le crois, mon fils est donc coupable.
Mais que ie ſçache toût;	Mais que ici sçache tout;
HAZAN.	HAZAN.
Tu ſçauras tout Seigneur;	Tu sçauras tout Seigneur;
Quand, Pertaue euſt vaincu Muſtapha l’imposteur.	Quand, Pertave eût vaincu Mustapha l'imposteur.
Pour l’honneur de ſon Prince, & pour ſa propre gloire Ce genereux Baſſa pourſuiuit ſa victoire.	Pour l'honneur de son Prince, et pour sa propre gloire Ce généreux Bassa poursuivit sa victoire.
Muſtapha fait retraitte;	Mustapha fait retraite;
on le ſuit, on le joint, Ceux, dont il eſt ſuiuy ne nous reſistent point;	on le suit, on le joint, Ceux, dont il est suivi ne nous résistent point;
Ainſi ſeul contre nous on le ſaiſit ſans peyne, Le Baſſa l’interroge, & luy craignant la geſue, Confeſſe dés l’abort toute la verité, Qu'à ſe dire ton fils Bajaſet l’a porté Qu’ayant de Muſtapha tous les trais de viſage Le geſte lagrement, l’air, la parolle, & l’aage, Il paſſoit pour ce Prince & fils de Soliman Quoy, qu’il fut au tombeau déja depuis vnan.	Ainsi seul contre nous on le saisit sans peine, Le Bassa l'interroge, et et craignant la gesue, Confesse dès l'abort toute la vérité, Qu'à se dire ton fils Bajaset l'a porté Qu'ayant de Mustapha tous les trais de visage Le geste lagrement, l'air, la parole, et l'âge, Il passait pour ce Prince et fils de Soliman Quoi, qu'il fut au tombeau déjà depuis unan.
Qu’il auoit ioint encor à cette reſſemblance Vne fourbe ſubtille, & pleine d’aparence;	Qu'il avait joint encor à cette ressemblance fourbe subtille, et pleine d'apparence;
C’eſt, que pour ſe ſoustraire à ta ſeuerité, Lors que dans la Syrie il ſe fut reuolté, Preuoyant le malheur, qui menaçoit ſa vie S’il euſt aueuglement ta volonté ſuiuie,	C'est, que pour se soustraire à ta sévérité, Lors que dans la Syrie il se fut révolté, Prévoyant le malheur, qui menaçait sa vie S'il eût aveuglement ta volonté suivie,
Il ne fut point te voir, comme tu le voulois, Craignant de voir le iour pour la derniere fois.	Il ne fut point te voir, comme tu le voulais, Craignant de voir le jour pour la dernière fois.
Que ne l’ayant point veu dés ſa plus tendre enfance, Tu n’auois de ſes trais aucune ſouuenance, Et qu’vn ſimple Soldat, qui luy reſſembloit fort, Auant que te parler pour luy fut mit à mort;	Que ne l'ayant point vu dès sa plus tendre enfance, Tu n'avais de ses trais aucune souvenance, Et qu' simple Soldat, qui était ressemblait fort, Avant que te parler pour lui fut mit à mort;
Et qu’aprés que du corps l’ame ſut ſeparée Cette maſſe de chair fut peu conſiderée, Que tu ne la vis point, & que l’on mis pour lors Le Prince Mustapha dans le nombre des mors.	Et qu'après que du corps l'âme sut séparée Cette masse de chair fut peu considérée, Que tu ne la vis point, et que l'on mis pour lors Le Prince Mustapha dans le nombre des mors.
Puis il dit au Baſſa, que par ce ſtratageme Il n'auoit pas deſſein de ſe ſeruir luy meſme, Qu’il ſuiuoit en celà les ordres de ton fils, Et qu’il s’eſtoit perdu pour les auoir ſuiuis, Que meſme Bajaſet ſoudoioit ſon armée, Et qu’vn eſclat trompeur, vne ombre, vne fumée, Le nom de Muſtapha, qui l’auoient eſbloüy, Faiſoient qu’à Bajaſet il auoit obëy, Sans que iamais pourtant en quelque confidence Des deſſeins de ton fils il euſt eù connoiſſance.	Puis il dit au Bassa, que par ce stratagème Il n'avait pas dessein de se servir lui même, Qu'il suivait en celà les ordres de ton fils, Et qu'il s'était perdu pour les avoir suivis, Que même Bajaset soudoyait son armée, Et qu'un éclat eur, une ombre, une fumée, Le nom de Mustapha, qui l'avaient ébloui, Faisaient qu'à Bajaset il avait obéi, Sans que jamais pourtant en quelque confidence Des desseins de ton fils il eût é connoissance.
Aprés, que le Baſſa ſçeut ce qu’il ſouhaitoit, Il le fit estrangler, comme il le meritoit, Encor qu’auec inſtance il demandaſt la vie, Par nos gens, cependant ſa femme eſt pourſuiuie, On la prend, & ie croy que bien-tost dans ces lieux Ta hauteſſe verra ce chef d’œuure des Cieux.	Après, que le Bassa sçeut ce qu'il souhait, Il le fit étrangler, comme il le méritait, Encor qu'avec instance il demandât la vie, Par nos gens, cependant sa femme est poursuivie, On la prend, et un crois que bientôt dans ces lieux Ta hautesse verra ce chef d'œuvre des Cieux.
SOLIMAN.	SOLIMAN.
Quoy donc de l’impoſteur, vous eſtes le complice Prince laſche, perfide, & digne du ſupplice?	Quoi donc de l'imposteur, vous êtes le complice Prince lâche, perfide, et digne du supplice?
Donc vous preſtés la main à ſa rebellion.	Donc vous prêtez la main à sa rébellion.
Mais que dis ie, il ne ſert qu’à vostre ambition, Et luy meſme vous nomme en cette conioncture Là cauſe de ſa perte, & de ſon impoſture, Et mauuais ſeruiteur d’vn Maistre criminel, derre jur copre mons elx ccproore eteret;	Mais que disgrès, il ne sert qu'à votre ambition, Et lui mesme vous nomme en cette conioncture Là cause de sa perte, et de son imposture, Et mauvais serviteur d' Être criminel, derre jur copre mons elx ccproore eteret;
Mais la Sultane vient;	Mais la Sultane vient;
caſchons luy noſtre peyne, Mauame quei fuufel en ce suu vous ameine?	câchons esprit notre peine, Maume quei fuufel en ce su vous âme?
SCENE III.	SCÈNE III.
SOLIMAN, ROXELANE.	SOLIMAN, ROXELANE.
ROXELANE.	ROXELANE.
Vi m’ameine en ce lieu, Seigneur?	Vi m'amène en ce lieu, Seigneur?
ne ſçays tu pas, Z Que la crainte & l’Amour y conduiſent mes pas?	ne sais tu pas, Z Que la crainte et l'Amour y conduisent mes pas?
