A MONSIEVR, RVTSTCOIEVT DE BELIN.	À MONSIEUR, RUTSTCOIEUT DE BELIN.
E uoy que la mienne ſoit aſſez mediocre, ie dois neantmoins l’honneur de ſa connoiſſance à cette genereuſe inclination qu’il euſt touſiours pour les bonnes choſes en general, & pour la Poëſie en particulier.	 Euoy que la mienne soit assez médiocre, où dois néanmoins l'honneur de sa connaissance à cette généreuse inclination qu'il eût toujours pour les bonnes choses en général, et pour la Poésie en particulier.
Il prit plaiſir de careſſer les Muſes en ma perſonne, & les charmes que ie deſcouuris en la ſienne me lierent ſi fortement à luy par les ſeules eſtraintes de l’eſtime & de l’amitié que le ſeul tombeau s’eſt treuué capable de m'en ſeparer, apres ſix ans d’attachement.	Il prit plaisir de caresser les Muses en ma personne, et les charmes que je découvris en la sienne me lièrent si fortement à lui par les seules étraintes de l'estime et de l'amitié que le seul tombeau s'est trouvé capable de m'en séparer, après six ans d'attachement.
Ie penſe, MONSIEVR, que ces derniers traits de crayon vous doiuent rendre connoiſſable ſur ce papier le Portrait en petit de feu Monſeigneur voſtre Pere, dont la memoire & les actions me ſeront eternellement recõmandables.	Je pense, MONSIEUR, que ces derniers traits de crayon vous doivent rendre connaissable sur ce papier le Portrait en petit de feu Monseigneur votre Père, dont la mémoire et les actions me seront éternellement recommandables.
Si les loüanges que ie luy donne eſtoient des veritez, moins éclatantes qu’elles ne ſont, il me ſeroit facile de les éclairer du teſmoignage de trois ou quatre Prouinces, & particulierement de celle du Maine, où tous les honneſtes gens de l’vn 5 de l’autre ſexe, ne ſont pas encore conſoleZ de la perte d’vn ſi grand Homme, non plus que de celle de ſon incomparable Amy l’Illuſtre & magnifique Charles de Beau-manoir, dernier Eueſque du Mans:	Si les louanges que ainsi lui donne étaient des vérités, moins éclatantes qu'elles ne sont, il me serait facile de les éclairer du témoignage de trois ou quatre Provinces, et particulièrement de celle du Maine, où tous les honnêtes gens de l'Han 5 de l'autre sexe, ne sont pas encore consolez de la perte d'un si grand Homme, non plus que de celle de son incomparable Ami l'Illustre et magnifique Charles de Beau-manoir, dernier Euesque du Mans:
Au reſie on ne ſçauroit dire auec raiſon que ſa faueur ou ſes emplois fuſſent la cauſe ny le ſouſtien de ſon credit aupres du Peuple & de la Nobleſe.	Au résie on ne saurait dire avec raison que sa faveur ou ses emplois fussent la cause ni le soutien de son crédit auprès du Peuple et de la Noblese.
Il eſtoit conſiderable de luy-meſme, & c'eſt prod Vſ-LA LIIOIRE.	Il était considérable de M-même, et c'est prod Vs-LA LIIOIRE.
prement en ſa vie qu'on a ſujet de remarquer la vieille querelle du Merite & de la Fortune, qui n’ayant pu ſouffrir qu’il ayt veſcu dans l’exercice des grandes Charges, n'a ſceu pour le moins empeſcher qu’il ne ſoit mort dans la reputation de les auoir bien meritées.	près en sa vie qu'on a sujet de remarquer la vieille querelle du Mérite et de la Fortune, qui n'ayant pu souffrir qu'il ait vécu dans l'exercice des grandes Charges, n'a su pour le moins empêcher qu'il ne soit mort dans la réputation de les avoir bien mères.
Il eſt vrayque les eaux & les rochers de Milly, les Landes, les Parterres & les grandes Allées du Pleßis, l’Hermitage, le Parc, & les Salles dorées du magnifique Palais d’Auerton, l’agreable Defert du petit Orgery ſon voiſin, ioint à la profonde ſolitude des vaſtes foreſts qui l’enuironnent, & les autres maiſons de ce genereux Seigneur, ont eſté les diuers Parnaſſes où i’ay composé en diuers temps, le Duc d’Oſſone, la Virginie, la Sophonisbe, la Cleopatre, le Solyman, le Corſaire Illuſtre, & le Roland:	Il est vraique les eaux et les rochers de Milly, les Landes, les Parterres et les grandes Allées du Plessis, l'Hermitage, le Parc, et les Salles dorées du magnifique Palais d'Averton, l'agréable Dfert du petit Orgery son voisin, joint à la profonde solitude des vastes forêts qui l'environnèrent, et les autres maisons de ce généreux Seigneur, ont été les divers Parnasses où j'ai composé en divers temps, le Duc d'Ossone, la Virginie, la Sophonisbe, la Cleopatre, le Solyman, le Corsaire Illustre, et le Col:
mais ce dernier a cela de plus, que ce fut pour luy proprement, & pour l’amour de luy, que ie le fis;	mais ce dernier a cela de plus, que ce fut pour lui proprement, et pour l'amour de peine, que sans le fis;
l’amitié qu’il auoit pour ce Sujet, qui ce me ſemble, eſt vne des plus riches inuentions de l’Arioſte, contribua beaucoup à me le rendre plus aymable, & le ſoin que i’ay touſiours eu de luy plaire, me le fit accommoder à la Scene, autant que ſa nature l’a pû ſouffrir.	l'amitié qu'il avait pour ce Sujet, qui ce me semble, est assez des plus riches inventions de l'Arioste, contribua beaucoup à me le rendre plus aimable, et le soin que j'ai toujours eu de lui plaire, me le fit accommoder à la Scène, autant que sa nature l'a pu souffrir.
Apres vne circonſtance de ſi grande marque pour l’Ouurage, & de ſi forte conſideration pour l’Autheur, à qui le pourroit-il adreſſer auec plus de iuſtice & de bien-ſeance qu’à vous, MONSIEVR?	Après une circonstance de si grande marque pour l'Ouvrage, et de si forte considération pour l'Auteur, à qui le pourrait-il adresser avec plus de justice et de bienséance qu'à vous, MONSIEUR?
de qui les loüables habitudes nous font raiſonnablement eſperer que vous vous teſmoignereZ bien toſt digne Fils d’vn ſi digne Pere, & croire que vous n’auez pas ſeulement herité de ſes Biens & de ſa Nobleſſe, mais encore de ſes Amis & de ſon Courage.	de qui les louables habitudes nous font raisonnablement espérer que vous vous témoignez bien tôt digne Fils d'vn si digne Père, et croire que vous n'avez pas seulement hérité de ses Biens et de sa Noblesse, mais encore de ses Amis et de son Courage.
Si le voſtre, pour eſtre plus viuement excité, auoit beſoinde l’aiguillon des exemples domeſtiques, ie vous prierois d’adiouſter au triſte ſouuenir de cette belle Vie, qui fut la ſource de la voſtre, l’agreable lecture de celle de voſtre Ayeul paternel, iadis Gouuerneur de Paris, depuis Cheualier des deux Ordres de nos derniers Rois, dont il ſe veid honoré de la meſme main, contre laquelle il auoit armé la ſienne pour la de fenſe des Autels, en ce tragique temps de deſordre & de diuiſion, où le mauuais Genie de la France tenoit en deux partis contraires les volontez, de tous ſes Peuples:	Si le vôtre, pour être plus vivement excité, avait besoinde l'aiguillon des exemples domestiques, je vous prierais d'ajouter au triste souvenir de cette belle Vie, qui fut la source de la vôtre, l'agréable lecture de celle de votre Aieul paternel, jadis Gouverneur de Paris, depuis Chevalier des deux Ordres de nos derniers Rois, dont il se veid honoré de la même main, contre laquelle il avait armé la sienne pour laque sensé des Autels, en ce tragique temps de désordre et de diuision, où le mauvais Génie de la Terre tenait en deux partis contraires les volonté, de tous ses Peuples:
Mais ſçachant trop combien voſtre Vertu eſt actiue d’elle-meſme, ie vous coniurerois pluſtoſt de la retenir, & d’en moderer pour le moins cette partie qu’on a touſiours compté la premiere entre les meilleures qualitez, qui font la gloire d’vn homme d’eſpée.	Mais sachant trop combien votre Vertu est active d'elle-même, je vous conjurerais plutôt de la retenir, et d'en modérer pour le moins cette partie qu'on a toujours compté la première entre les meilleures qualités, qui font la gloire d'un homme d'épée.
Le Deſtin de ce genereux Aiſné, qu’vn malbeureux combat nous a rauy depuis deux ans par vne fin precipitée, ne ſuffit-il pas à vous enſeigner qu’il n'eſt gueres moins dangereux de ſuiure en toute occaſion les mouuemens impetueux d’vne valeur immoderée, que de courir ſouuent ſur le penchant des precipices, ſous la conduite d’vnaueugle, ou d’vn -- ---A------- furieux?	Le Destin de ce généreux Aîné, qu'un malbeureux combat nous a ravi depuis deux ans par R fin précipitée, ne suffit-il pas à vous enseigner qu'il n'est guère moins dangereux de suivre en toute occasion les mouvements impétueux d'une valeur immoderée, que de courir souvent sur le penchant des précipices, sous la conduite d'unaveugle, ou d'un -- --A- furieux?
Il faut, MONSIEVR, que vous preſcriuiez des bornes au mal-heur de voſtre Maiſon, & iouïſſant d’vne plus longue vie que ce braue Frere, que vous donniez außi vne carriere de plus longue eſtenduë à voſtre merite.	Il faut, MONSIEUR, que vous prescriviez des bornes au malheur de votre Maison, et jouissant d'une plus longue vie que ce brave Frère, que vous donniez aussi une carrière de plus longue estenduë à votre mérite.
C’eſt l’eſperance & le ſouhait de	C'est l'espérance et le souhait de
MONSIEVR,	MONSIEUR,
Voſtre tres-humble & tresfidelle ſeruiteur,	Votre très-humble et tresfidelle serviteur,
MAIRET.	MAIRET.
ADVER.	ADVER.
Dy LRCLIDSEADNI.	Dis LRCLIDSEADNI.
VTREque la Furie de Roland a donné le nom a ce miraculeux Ouurage, par qui l’Arioſte s’eſt acquis le tiltre de Diρ uin, il faut prendre garde que cet excellent ſujet eſt encore accompagné d’vne beauté naturelle que ie n’ay iamais remarquée en aucune piece de Theatre.	VTREque la Furie de Roland a donné le nom à ce miraculeux Ouvrage, par qui l'Arioste s'est acquis le titre de Diρ ouvin, il faut prendre garde que cet excellent sujet est encore accompagné d'une beauté naturelle que je n'ai jamais remarquée en aucune pièce de Théâtre.
C’eſt qu’il embraſſe par Epiſode la mort de Zerbin & d’Iſabelle, de façon qu’il eſt veritable de dire, qu’il contient vne Tragedie & vne Tragicomedie tout enſemble.	C'est qu'il embrasse par Épisode la mort de Zerbin et d'Isabelle, de façon qu'il est véritable de dire, qu'il contient une Tragédie et une Tragicomédie tout ensemble.
Au reſte la nature de ce Poëme eſtant abſolument rebelle à la regle du temps, ie l’ay pour le moins aſſujettie à celle de la Scene, que vous trouuerez vniforme & fort agreable, ſi ie ne me trompe, aux Fables de mon inuention;	Au reste la nature de ce Poème étant absolument rebelle à la règle du temps, votre l'ai pour le moins assujettie à celle de la Scène, que vous trouverez vniforme et fort agréable, si je ne me trompe, aux Fables de mon invention;
ie ſuis aſſez religieux obſeruateur de l’vne & de l’autre.	Il suis assez religieux observateur de l'une et de l'autre.
Au reſte, l’Autheur Italien ayant à guerir ſon Heros, le fait abattre & lier aſſez plaiſamment par huict ou dix des plus forts hommes de ſon Siecle.	Au reste, l'Auteur Italien ayant à guérir son Héros, le fait abattre et lier assez plaisamment par huit ou dix des plus forts hommes de son Siècle.
Pour moy, ne iugeant pas que cette inuention fuſt de la bien-ſeance, ny de la commodité du Theatre, i’ay mieux aymé le faire endormir, & rendre le Sommeil viſible, conformement à la maniere d’inuenter de l’Arioſte, qui fait bien combattre Regnault contre le Deſdain, ſous les armes & la figure d’vn Cheualier.	Pour moi, ne jugeant pas que cette invention fût de la bienséance, ni de la commodité du Théâtre, j'ai mieux aimé le faire endormir, et rendre le Sommeil visible, conformément à la manière d'inventer de l'Arioste, qui fait bien combattre Regnault contre le Dédain, sous les armes et la figure d'être Chalier.
Apres tout, cette hardieſſe a ſon exemple & ſon authorité chez Virgile en la diſgrace de Palinure.	Après tout, cette hardiesse a son exemple et son autorité chez Virgile en la disgrâce de Palinure.
ESJ.	ESJ.
OVIS par la grace de Dieu Roy de France & de ENauarre, A nos amez & feaux Conſeillers les Gens tenans nos Cours de Parlement, Maiſtres des Requeſtes ordinaires de noſtre Hoſtel, Baillifs, Seneſchaux, Preuoſts, leurs Lieutenans, & tous autres de nos Iuſticiers & Officiers qu’il appartiendra, Salut.	OUÏS par la grâce de Dieu Roi de France et de ENavarre, A nos âmez et féaux Conseillers les Gens tenants nos Cours de Parlement, Maîtres des Requêtes ordinaires de notre Hôtel, Baillifs, Sénéchaux, Preuôts, leurs Lieutenants, et tous autres de nos Justiciers et Officiers qu'il appartiendra, Salut.
Noſtre bien amé Auguſtin Courbé, Libraire à Paris, nous a fait remonſtrer qu’il deſireroit imprimer, Vne Tragicomedie intitulée, Le Roland Furieux, composée par le Sieur de Mairet, s’il auoit ſur ce nos Lettres neceſſaires, leſquelles il nous a tres-humblement ſupplié de luy accorder:	Notre bien amé Augustin Courbé, Libraire à Paris, nous a fait remontrer qu'il désirerait imprimer, Une Tragicomedie intitulée, Le Roland Furieux, composée par le Sieur de Mairet, s'il avait sur ce nos Lettres nécessaires, lesquelles il nous a très-humblement supplié de quelques accorder:
A CES CAVSES, nous auons permis & permettons à l’expoſant d’imprimer, vendre & debiter en tous lieux de noſtre obeïſſance la Tragicomedie, en telles marges, en tels caracteres, & autant de fois qu’il voudra, durant l’eſpace de ſept ans entiers & accomplis, à compter du iour qu’elle ſera acheuée d’imprimer pour la premiere fois;	À CES CAUSES, nous avons permis et permettons à l'exposant d'imprimer, vendre et débiter en tous lieux de notre obéissance la Tragicomédie, en telles marges, en tels caractères, et autant de fois qu'il voudra, durant l'espace de sept ans entiers et accomplis, à compter du jour qu'elle sera achevée d'imprimer pour la première fois;
& faiſons tres-expreſſes defenſes à toutes perſonnes de quelque qualité & condition qu’elles ſoient, de l’imprimer, faire imprimer, vendre ny diſtribuer en aucun endroit de ce Royaume, durant ledit temps, ſous pretexte d’augmentation, correction, changement de tiltre, ou autrement, en quelque ſorte & maniere que ce ſoit, à peine de quinze cens liures d’amende, payables ſans deport par chacun des contreuenans, & applicables vn tiers à nous, vn tiers à l’Hoſtel-Dieu de Paris, & l’autre tiers à l’expõſant, de confiſcation des exemplaires contrefairs, & de tous deſpens, dommages & intereſts;	et faisons très-expresses défenses à toutes personnes de quelque qualité et condition qu'elles soient, de l'imprimer, faire imprimer, vendre ni distribuer en aucun endroit de ce Royaume, durant ledit temps, sous prétexte d'augmentation, correction, changement de titre, ou ment, en quelque sorte et manière que ce soit, à peine de quinze cens livres d'amende, payables sans déport par chacun des contrevenants, et applicables tiers à nous, un tiers à nô-Dieu de Paris, et uautre tiers à l'expõsant, de confiscation de Par contrefairs, et l' au despens, de et intérêts;
à condition qu’il en ſera mis deux exemplaires en noſtre Bibliotheque publique, & vne en celle de noſtre tres-cher & feal le Sieur Seguier, Chancelier de France, auant que l’expoſer en vente, à peine de nullité des preſentes:	à condition qu'il en sera mis deux exemplaires en notre Bibliothèque publique, et une en celle de notre trèscher et féal le Sieur Séguier, Chancelier de France, avant que l'exposer en vente, à peine de nullité des présentes:
du contenu deſquelles nous vous mandons que vous faſſiez iouïr plainement & paiſiblement l’expoſant, & ceux qui auront droict d’iceluy, ſans qu’il leur ſoit fait aucun trouble ny empeſchement.	du contenu desquelles nous vous mandons que vous fassiez jouir plainement et paisiblement l'exposant, et ceux qui auront droit d'icelui, sans qu'il leur soit fait aucun trouble ni empêchement.
Voulons auſſi qu’en mettant au commencement ou à la fin du liure vn bref extraict des preſentes, elles ſoient tenuës pour deüement ſignifiées, & que foy y ſoit adiouſtée, & aux copies d’icelles collationnées par l’vn de nos amez & feaux Conſeillers & Secretaires, comme à l’original.	Voulons aussi qu'en mettant au commencement ou à la fin du livre un bref extrait des présentes, elles soient tenues pour deüement signifiées, et que foi y soit ajoutée, et aux copies d'icelles collationnées par l'un de nos âmez et féaux Conseillers et Secretaires, comme à l'original.
Mandons auſſi au premier noſtre Huiſſier ou Sergent ſur ce requis, de faire pour l’execution des preſentes tous exploits neceſſaires, ſans demander autre permiſſion:	Mandons aussi au premier notre Huissier ou Sergent sur ce requis, de faire pour l'exécution des présentes tous exploits nécessaires, sans demander autre permission:
Car tel eſt noſtre plaiſir, nonobſtant oppoſitions ou appellations quelconques, & ſans prejudice d’icelles, clameur de Haro, chartre Normande, & auties Lettles à ce colſtraires.	Car tel est notre plaisir, nonobstant oppositions ou appellations quelconques, et sans préjudice d'icelles, clameur de Haro, chartre Normande, et auties Lettles à ce colstraires.
Donne à Paris le vingt- troiſieſme de Feburier, l’an de grace mil ſix cens trenteneuf, & de noſtre regne le vingt-neufieſme.	Donne à Paris le vingt- troisième de Feburier, l'an de grâce mil six cens trenteneuf, et de notre règne le vingt-neuvième.
Signé, Par le Royen ſon Conſeil, CONRART.	Signé, Par le Roien son Conseil, CONRART.
Les exemplaires ont eſté fournis, ainſi qu’il eſt porté par le Priuilege.	Les exemplaires ont été fournis, ainsi qu'il est porté par le Privilège.
LES ACTEVRS.	LES ACTEURS.
ROLAND	ROLAND
LA ET A EVRIEVAY TRAGICOMEDIE.	LA ET A EVRIEVAY TRAGICOMEDIE.
ACTE PREMIER SCENE PREMIERE.	ACTE PREMIER SCÈNE PREMIÈRE.
ROLAND ſeul apres auoir quitté Paris pour chercher ANGELIQVE.	ROLAND seul après avoir quitté Paris pour chercher ANGELIQUE.
Davm STANCES.	Davm STANCES.
Aiſſe-moy raiſon ſans pouuoir Qui me parles de mon deuoir, Ta remonſtrance m'importune;	Aisse-moi raison sans pouuoir Ta re parles de mon devoir, Ta remonstrance m'importune;
Ie vois auec trop de douleur Quel danger d’extréme mal-heur Court Charlemagne & ſa fortune:	Je vois avec trop de douleur Quel danger d'extrême malheur Court Charlemagne et sa fortune:
*	*
Et qu’icy la cauſe commune Auroit beſoin de ma valeur.	Et qu'ici la cause commune Aurait besoin de ma valeur.
Ie ſçay que ce Prince affligé De toutes parts eſt aßiegé De tous les Peuples de l’Afrique;	Je sais que ce Prince affligé De toutes parts est assiegé De tous les Peuples de l'Afrique;
Mais à la veille d’eſtre pris, L’amour dont mon cœur eſt eſpris Me force de ſuiure Angelique, Et ne veut pas que ie m'applique A la defenſe de Paris.	Mais à la veille d'être pris, L'amour dont mon cœur est épris Me force de suivre Angélique, Et ne veut pas que je m'applique À la défense de Paris.
Apres tout, à bien diſcourir, C’eſt moy qu’il faudroit ſecourir, Et pour moy donner des batailles;	Après tout, à bien discourir, C'est moi qu'il faudrait secourir, Et pour moi donner des batailles;
Charlemagne & toute ſa cour N'ont les SarraZins qu'à l'entour De leurs forts & de leurs murailles;	Charlemagne et toute sa cour N'ont les Sarrasins qu'à l'entour De leurs forts et de leurs murailles;
Moy i'ay l’amour dans les entrailles Qui me deuore nuict & iour.	Moi j'ai l'amour dans les entrailles Qui me dévore nuit et jour.
Paris a des gardes pâr tout Qui te uejenuront iuſqu'au boul, Quelque puiſſance qui l’enſerre:	Paris a des gardes pâtr tout Qui te uejenuront jusqu'au boul, Quelque puissance qui l'enserre:
De plus il attend tous les iours De voir du faiſte de ſes tours Venir l’Eſcoſſe & l’Angleterre, Que Renault ce foudre de guerre	De plus il attend tous les jours De voir du faîte de ses tours Venir l'Écosse et l'Angleterre, Que Renault ce foudre de guerre
Doit amener à ſon ſecours.	Doit amener à son secours.
Tel qu'vn fort deſtruit & rasé, Eſt trop foible pour ſe defendre:	Tel qu'un fort détruit et rasé, Est trop faible pour se défendre:
Il n'eſt plus grand, il n'eſt plus haut, Toute eſperance luy defaut, Et le vainqueur qui l’a ſceu prendre Ne le reduit pas moins en cendre Qu'vne place priſe d’aſſaut.	Il n'est plus grand, il n'est plus haut, Toute espérance était défaut, Et le vainqueur qui l'a su prendre Ne le réduit pas moins en cendre Qu'une place prise d'assaut.
A	À
En fin bien loin dans mon ennuy De pouuoir ſecourir autruy, Ie cherche mon ſecours moy-meſme, Et l’amour maiſtre de mon ſort Me trauaiue auet tant d’effort, Que ſon impatience extréme, Si ie ne treuue ce que i'ayme, Me fera toſt treuuer la mort.	En fin bien loin dans mon ennui De pouvoir secourir autrui, Je cherche mon secours moi-même, Et l'amour maître de mon sort Me travaive au Roi d'effort, Que son impatience extrême, Si je ne trouve ce que j'aime, Me fera tôt trouver la mort.
O parfaict ouurage des Cieux!	Ô parfait ouvrage des Cieux!
Angelique, dont les beaux yeux Font qu'à l’amour tout eſt poßible;	Angélique, dont les beaux yeux Font qu'à l'amour tout est possible;
Regarde l’eſtat où ie ſuis, Et iugeant par mes longs ennuis Combien ta perte m'eſt ſenſible:	Regarde l'état où tu suis, Et jugeant par mes longs ennuis Combien ta perte m'est sensible:
O bel Ange!	Ô bel Ange!
rends-toy viſible, Où ie croiray que tu me fuis.	rends-toi visible, Où ie croiray que tu me fuis.
Helas!	Hélas!
que ce penſer a beaucoup d’apparence, Et que i’ay bien ſujet d’auoir cette creance, I---d.	que ce penser a beaucoup d'apparence, Et que j'ai bien sujet d'avoir cette créance, I-d.
– - ----- "--- -I	– - ----- "--- -I
A ij	À ij
4 Mal-heureux que ie ſuis d’auoir abandonné Ce miracle d’amour, qu'Amour m'auoit donné:	4 Malheureux que je suis d'avoir abandonné Ce miracle d'amour, qu'Amour m'avait donné:
Peut-eſtre cette offenſe innocemment commiſe Fait que ce rare objet auiourd’huy me meſpriſe, Et que cherchant vn cœur qui ne m'eſtime plus, Tous mes trauaux ſont vains, & mes ſoins ſuperflus.	Peut-être cette offense innocemment commise Fait que ce rare objet aujourd'hui me méprise, Et que cherchant un cœur qui ne m'estime plus, Tous mes travaux sont vains, et mes soins superflus.
En effet quand i'y penſe, vne choſe ſi belle Meritoit bien vn ſoin plus grand & plus fidelle:	En effet quand j'y pense, une chose si belle Méritait bien un soin plus grand et plus fidèle:
Quoy que mon ſouuerain ayt pû me commander, C’eſtoit moy ſeulement qui la deuois garder:	Quoi que mon souverain ait pu me commander, C'était moi seulement qui la devais garder:
Que ie fus imprudent de remettre au Duc Naymes Ce treſor que mes yeux deuoient garder eux-meſmes;	Que pu fus imprudent de remettre au Duc Naymes Ce trésor que mes yeux devaient garder eux-mêmes;
C’eſtoit de mon amour, & non pas de mon Roy Qu'il falloit auoir pris le conſeil & la loy:	C'était de mon amour, et non pas de mon Roi Qu'il fallait avoir pris le conseil et la loi:
Ma ſotte obeïſſance & mon mal-heur inſigne Me priuerent d’vn bien dont ie n'eſtois pas digne, Puis qu'Amour m’obligeoit à me perdre pluſtoſt Que de mettre au haz ard vnſi riche depoſt:	Ma sotte obéissance et mon malheur insigne Me privèrent d'un bien dont notre n'étais pas digne, Puis qu'Amour m'obligeait à me perdre plutôt Que de mettre au has ard unsi riche dépôt:
Oüy, ie deuois pluſtoſt abandonner mon Prince, Que de laſcher vn bien qu’il falloit que ie tinſſe;	Oui, Seigneur devais plutôt abandonner mon Prince, Que de lâcher un bien qu'il fallait que ie tinsse;
Poßible que luy-meſme à mes vœux complaiſant, Au lieu de me l’oſter, m'en euſt fait vn preſent, Ma force au pis aller de ma flame aßiſtée, De toute autre puiſſance eust l'audace arreſtée.	Posible que lui-même à mes vœux complaisant, Au lieu de me l'ôter, m'en eût fait un présent, Ma force au pis aller de ma flamme assistée, De toute autre puissance eût l'audace arrêtée.
Ny Charles, ny Regnault, ny tout le monde encor Ne m’eust pas enleué cét amoureux treſor:	Ni Charles, ni Regnault, ni tout le monde encor Ne m'eût pas enlevé cet amoureux trésor:
Auant que cette perle euſt peu m'eſtre rauie, Que i'aurois cher vendu ſa conqueſte & ma vie,	Avant que cette perle eût pu m'être ravie, Que j'aurais cher vendu sa conquête et ma vie,
I'aurois ſaoulé la mort d’vn carnage infiny (Car que ne peut l’amour à la vaillancé vny:	J'aurais saoulé la mort d'un carnage infini (Car que ne peut l'amour à la vaillancé uni:
Mais ie ne penſe pas qu'vne ame bien ſensée A cette violence eust porté ſa pensée:	Mais personne ne pense pas qu'une âme bien sensée À cette violence eût porté sa pensée:
Ce n'est pas à Roland qu’on voudroit s’attacher Pour luy rauir vn bien qu’il eſtime ſi cher:	Ce n'est pas à Roland qu'on voudrait s'attacher Pour tu ravir un bien qu'il estime si cher:
Encore mon erreur ſeroit plus pardonnable, Si du moins dans l’enclos d’vne place imprenable I'euſſe mis ce depoſt, par ma faute perdu, En de fidelles mains qui me l’euſſent rendu:	Encore mon erreur serait plus pardonnable, Si du moins dans l'enclos d'une place imprenable J'eusse mis ce dépôt, par ma faute perdu, En de fidèles mains qui me l'eussent rendu:
Mais de l’auoir laißé comme vne choſe vile Sous la tente & le ſoin d’vn vieillard malhabile, Qui m'a trahy peut-eſtre, & l’a fait en aller, C’eſt dequoy ma douleur ne ſe peut conſoler:	Mais de l'avoir laisse comme une chose vile Sous la tente et le soin d'un vieillard malhabile, Qui m'a trahi peut-être, et l'a fait en aller, C'est dequoi ma douleur ne se peut consoler:
Mais vn autre mal-heur qui ſuit cette aduanture S’offrant à mon eſprit le met à la torture, Noſtre ialouſe humeur ne ſçauroit conceuoir Que quelque indigne amant ne l’ait en ſon pouuoir:	Mais un autre malheur qui suit cette aventure S'offrant à mon esprit le met à la torture, Notre jalouse humeur ne saurait concevoir Que quelque indigne amant ne l'ait en son pouvoir:
O Dieu!	Ô Dieu!
que ce ſoubçon trouble ma fantaiſie;	que ce soubon trouble ma fantaisie;
