A PHILISTE	À PHILISTE
I f Es plus ſubtils, & qui veulent donner vn ſens moral au ſuiect de cette Commedie, penſent que cette Clorinde, qui eſt recherchee par le Paladin & par le Docteur, n’eſt autre choſe que l’’Eloquence, dont toutesfois la preference en demeure au Paladin, & que ſur ces contentions, le Docteur rebuté, & irrité de cét affront, faict donner des coups de baſton à ce Capitan.	I f Eux plus subtils, et qui veulent donner un sens moral au sujet de cette Commedie, pensent que cette Clorinde, qui est recherchée par le Paladin et par le Docteur, n'est autre chose que l'Éloquence, dont toutefois la préférence en demeure au Paladin, et que sur ces contentions, le Docteur rebuté, et irrité de cet affront, fait donner des coups de bâton à ce Capitan.
ACIEVNS.	ACIEUNS.
Philandre Secretaire du Docteur.	Philandre Secrétaire du Docteur.
Pantalon.	Pantalon.
Clorinde.	Clorinde.
Le Docteur.	Le Docteur.
Hydaſpe Compagnon du Docteur.	Hydaspe Compagnon du Docteur.
Le Paladin.	Le Paladin.
Alcandre Camarade du Paladin:	Alcandre Camarade du Paladin:
Le fou du Docteur.	Le fou du Docteur.
A.	A.
CTEPRBMIER.	CTEPRBMIER.
Tremier entrée ſeruant de Prologue.	Tremier entrée servant de Prologue.
LE DOCTEVR.	LE DOCTEUR.
g2 OMME ie ne ſuis point inſenſible aux douleur!	g2 OME esprit ne suis point insensible aux douleur!
que me cauſent mes maladies, auſſi ne le dois applaudiſſements des Theatres, Jes approbations des peuples, & les teſmoignages que rendent à mes merites les plus excellents hommes de noſtre ſiecle, & certes apres tout cela pourrois-ie bien eſtre ſans vn grandiſſime teſſentiment de joye & ſans receuoir vn contentement indicible de me veoir ainſi honoré du plus honneſte bien dont on puiſſe iouyr en ce monde, qui eſt la reputation & la gloire, car comme ie ne ſçaurois m’imaginer qu’vn homme puiſſe eſtre obligé de loüer le vice en vn autre, de meſme ne ſçaurois je croire qu’il ſoit tenu de diſſimuler la vertu ſi elle ſe trouue en luy.	que me causent mes maladies, aussi ne le dois applaudissements des Théatres, Jés approbations des peuples, et les témoignages que rendent à mes mérites les plus excellents hommes de notre siècle, et certes après tout cela pourrais-je bien être sans un grandissime tessentiment de joie et sans recevoir un contentement indicible de me vu ainsi honoré du plus honnête bien dont on puisse jouir en ce monde, qui est la réputation et la gloire, car comme nous ne saurais m'imaginer qu' homme puisse qu' obligé de changer le vice en un autre, de même ne saurais je croire qu'il soit tenu de dissimuler la vertu si elle se trouue en lui.
Ce grand Dieu s’il m’eſt permis de Ialleguer prend plaiſir à ce qu’il ſait & ſe rejouyr en ſes ouurages, & les hommes rares à ſon exemple ſe doiuent releuer au deſſus des opinions populaires, & peuuent dire par franchiſe deux meſmes, ce que les autres diroiẽt par vanité.	Ce grand Dieu s'il m'est permis de Jalleguer prend plaisir à ce qu'il sait et se réjouir en ses ouvrages, et les hommes rares à son exemple se doivent relever au dessus des opinions populaires, et peuvent dire par franchise deux mêmes, ce que les autres diraient par vanité.
Ils ne ſont point ſujets aux petites countumes ;	Ils ne sont point sujets aux petites counumes ;
ve m’eſt pas pour eux que les Loix de la bien ſeance ont eſté faites.	ve m'est pas pour eux que les Lois de la bien séance ont été faites.
Que le grand Alexandre ſe louë donc de ſçauoir vaincre ſes ennemis.	Que le grand Alexandre se loue donc de savoir vaincre ses ennemis.
Que Soeraté ne craigne point de dire qu’il a de la vertu puis qu’il en fait des leçons à toutes la Grece.	Que Soératé ne craigne point de dire qu'il a de la vertu puis qu'il en fait des leçons à toutes la Grèce.
Que Ciceron ſe vante s’il veut de ſon Eloquence, pour moy ie ſuis reſolu de recognoiſtre les aduantages que Dieu – m’a donnez & en demeurer d’accord – auec la plus ſaine partie du monde, & ſi tant eſt qu’vn des principaux effets de la Magnanimité conſiſte à parler aduantageuſement de noſtre merite, & que les grands Heros de l’ancienne Rome ne faiſoient point de difficultè 2 d'exalter leurs Victoires ſur la Tribune aux harangues, au lieu meſme de reſpondre aux accuſations de leurs ennemys.	Que Cicéron se vante s'il veut de son Éloquence, pour mo ie fort résolu de reconnaître les avantages que Dieu 7 m'a donnez et en demeurer d'accord auec la plus saine partie du monde, et si tant est qu'un des principaux effets de la Magnanimité consiste à parler avantageusement de notre mérite, et que les grands Héros de l'ancienne Rome ne faisaient point de difficulté 2 d'exalter leurs Victoires sur la Tribune aux harangues, au lieu même de répondre aux accusations de leurs ennemis.
Ie veux deſabuſer les eſprits & leur faire veoir que ce qu’ils croioient autrefois eſtte la pure & parfaité Eloque nee n’eſtoit que ſon ombre, voire vne facilité de parler mal, & que c’eſt moy ſeul-qui ay trouué ce qu’on cherchoit auparauant & qui iouïs paiſiblement de cette Emperiere du monde:	Je veux désabuser les esprits et leur faire voir que ce qu'ils croyaient autrefois estte la pure et parfaité Éloque née n'était que son ombre, voire une facilité de parler mal, et que c'est moi seul-qui est trouvé ce qu'on cherchait auparavant et qui jouis paisiblement de cette Emperière du monde:
Apres tout, il faut que .	Après tout, il faut que .
0 j’auoüe franchement que ie deuiendrois muet pour peu que ie veſcuſſe parmy les ſourds & que s’il ny auoit point de gloire, ie n’aurois point d’Eloquence.	0 j'auoüe franchement que je deviendrais muet pour peu que je vécusse parmi les sourds et que s'il ni avait point de gloire, je n'aurais point d'Éloquence.
C	Ç
Hola Philandre ou eſt donc ce diſcours que ie t’auois commandé de faire, & que ie voulois qui me ſeruiſt d’eloge & de preface à la ſixieſme edition de mon liure, ie croy qu’il te faut autant de temps à faire tes ouurages qu’il eu falloit autreſois à ſes anciens Sculpteurs qui vieilliſſoient ſur le Marbre & ſur la Bronze, ie m’en eſtonne grandement veu que tous les hommes deuiennent eſgalement ſuffiſans & habiles au moment – qu’ils liſent mes eſcrits, & que ſi I'õn bruſloit tous les liures du monde, Ie mien ſeul ſeroit capable de faire des Docteurs, il me ſemble que tu as eu aſſez de loiſir pour y ſonger.	Hola Philandre ou est donc ce discours que sans t'avais commandé de faire, et que sans voulais qui me servît d'éloge et de préface à la sixième édition de mon livre, je crois qu'il te faut autant de temps à faire tes ouvrages qu'il eu fallait autres à ses anciens Sculpteurs qui vieillissaient sur le Marbre et sur la Bronze, Seigneur m'en étonne grandement vu que tous les hommes deviennent également suffisan et habiles au moment ils lisent mes et, et que si Hbrusloit tous les au du mo, Ie mien seul seroit capable de faire des Docteurs, il me semble que tu as eu assez de loisir pour y songer.
Philandre le Secretaire.	Philandre le Secrétaire.
Pardonnez-moy Monſieur depuis ee temps mon oyſiueté a touſiours eſté occupee, toutesfois vo cy ce que i’en ay tracé ſoubs le bon plaiſir de mes autres diuertiſſement & le compte que le vous rend de mon loiſir.	Pardonnez-moi Monsieur depuis ce temps mon oisiveté a toujours été occupée, toutefois vo cy ce que j'en ai tracé sous le bon plaisir de mes autres divertissement et le compte que le vous rend de mon loisir.
Harangue Panegyrique de Phylandre le Secretaire, au Docteur ſon maiſtre.	Harangue Panegyrique de Phylandre le Secrétaire, au Docteur son maître.
Leſt bien aiſé à iuger (excellentiſſime Docteur) que s’il eſt vray que Dieu ait remis aux derniers ſieeles l’inuention de l’Eloquence, & qu’il A ait attendu depuis le commencement du monde iuſques a noſtre temps de la deſcouurir aux hommes.	Lest bien aisé à juger (excellentissime Docteur) que s'il est vrai que Dieu ait remis aux derniers sièles l'invention de l'Éloquence, et qu'il A ait attendu depuis le commencement du monde jusques a quelque temps de la découvrir aux hommes.
Ceſt a vous ſeul a qui il a reſerué vne ſi glorieuſe entrepriſe, car de quelque coſté qu’on tourne les yeux ſoit qu’on les porte au delà de la mer ſoit qu’on paſſe les montagnes on ne trouuera perſonne qui puiſſe diſputer auec vous ce titre & cette qualité.	Cest à vous seul a qui il a réservé une si glorieuse entreprise, car de quelque côté qu'on tourne les yeux soit qu'on les porte au delà de la mer soit qu'on passe les montagnes on ne trouvera personne qui puisse disputer avec vous ce titre et cette qualité.
& quand la verité meſme ſeroit du party contraire à ce que le dis maintenant en voſtre faueur, c’eſt à dire armee contre vous, elle ne ſe trouueroit pas aſſez forte;	et quand la vérité même serait du parti contraire à ce que le dis maintenant en votre faveur, c'est à dire armée contre vous, elle ne se trouverait pas assez forte;
quoy qu’elle le ſoit plus que le Vin, les Roys, ou les Femmes:	quoi qu’elle le soit plus que le Vin, les Rois, ou les Femmes:
Et certes les anciens Grecs & Romains, qui croyoient auoir trouué la Pie au nid ſe ſont grandement trompez quand ils ont pris vne autre pour elles, & ie renuoye bien F.	Et certes les anciens Grecs et Romains, qui croyaient avoir trouvé la Pie au nid se sont grandement trompez quand ils ont pris ve nir pour elles, et même renvoie bien F.
F.	F.
ces bonnes gens du temps paſſé d’auoir tant pris de peine a ne faire rien qui vaille, au reſpect de vous ſeul qui eſcriuez pour l’Eternité.	ces bonnes gens du temps passé d'avoir tant pris de peine à ne faire rien qui vaille, au respect de vous seul qui écrivez pour l'Éternité.
Et ſans mentir n’a-t’on pas veu Seneque qui en voulant faire des corps qui fuſſent plains d’yeux a fait des monſtres en ſes ouurages, & c’eſt excellent Cuiſinier de l’Eloquence, Cicerone, qui ne ſert iamais que des viandes creuſes & fait d’vn teſton vingt - cinq plats, & de quatre poulets, tous les ſeruices d’vne bonne table:	Et sans mentir n'a-t-on pas vu Sénèque qui en voulant faire des corps qui fussent plains d'yeux a fait des monstres en ses ouvrages, et c'est excellent Cuisinier de l'Éloquence, Cicérone, qui ne sert jamais que des viandes crûtes et fait d'un teston vingt - cinq plats, et de quatre poulets, tous les services bonne table:
C’eſt vn champ tellement infertile & vn pays ſi deſert que celuy des anciens qu’il faut faire deux iournees pour y trouuer vn clocher:	C'est un champ tellement infertile et un pays si désert que celui des anciens qu'il faut faire deux journées pour y trouver un clocher:
Et certes il n’en eſt pas ainſi de vos ouurages qui ſont des Bibſiotheques toutes entieres, & dẽs lieux communs pour tout le monde, de ſorte qu’il n’eſt pas merueille ſi ceux qui gouuernent à Paris & a Rome en font toutes leurs delices, & s’y viennent deſcharger du faix qui leur peſe, tous les Parlemens ſçaũent voſtre Liure par cœur, & il s’eſt rendu auſſi commun que l’air & le feu, apres tout cela les ſubiets les plus bas auſſi-toſt que vous les touchez, ſe changent & ſe metamorphoſent entre vos mains, & les mots les plus vulgaires & les plus des-honneſtes ne le ſont plus quand vous les auez employez:	Et certes il n'en est pas ainsi de vos ouvrages qui sont des Bibotheques toutes entières, et dans lieux communs pour tout le monde, de sorte qu'il n'est pas merveille si ceux qui gouvernent à Paris et à Rome en font toutes leurs délices, et s'y viennent décharger du faix qui leur pèse, tous les Parlements sa voir Livre par cœur, et il s'est rendu aussi commun que l'air et le feu, après tout cela les sujets les plus bas aussi-tôt que vous les touchez, se mets , se métamorphosent entre vos mains, et les et les plus vulgaires et les plus des-honnêtes ne le sont plus des -vous avez quand vou:
En entretenant vn particulier, ſouuent vous faites des Leçons publiques, & en les recitans des concerts & des accords de muſique, qui touchent harmonieuſement les paſſions auec les meſmes effets que les Harpes & les Guiternes:	En entretenant un particulier, souvent vous faites des Leçons publiques, et en les récitants des concerts et des accords de musique, qui touchent harmonieusement les passions avec les mêmes effets que les Harpes et les Guiternes:
en les liſant on ſent vne odeur ſouëfue & agreable, de Muſc, & d’Ammbre, au lieu de la ſueur & de l’huile des anciens Grecs.	en les lisant on sent une odeur souefue et agréable, de Musc, et d'Ambre, au lieu de la sueur et de l'huile des anciens Grecs.
Bref il n’y a rien de commun en ce Liure que le titre, & ie meure s’il ne vaut mieux que tout ce qu’ont fait les Holandois en leur vie pourueu que vous en exceptiez les victoires du Prince d’Orenge.	Bref il n'y a rien de commun en ce Livre que le titre, et ie meure s'il ne vaut mieux que tout ce qu'ont fait les Holandais en leur vie pourvu que vous en exceptiez les victoires du Prince d'Orenge.
LE DOCTEVR.	LE DOCTEUR.
Voyla la monnove dont ie me paye de mes trauaux & la recompenſe que ie cheris le plus:	Voilà la monnove dont on me paye de mes travaux et la récompense que toujours chéris le plus:
Ie me fais encenſer de la ſorte qu’on faiſoit autrefois deuant les Crocodilles & les Singes deiffiez auſſi les trois choſes que i’ayme le plus deſordonnement ſont les Parfuns la Gloite, & les Pemmes.	Je me fais encenser de la sorte qu'on faisait autrefois devant les Crocodilles et les Singes deiffiez aussi les trois choses que j'aime le plus désordonnement sont les Parfuns la Gloite, et les Pemmes.
Mais depuis mon retour du pays de la mere des Gracques & de la Femme de Brutus, ie n’ay point ouy nouuelle de ma belle Clorinde il faut que ie taſche de trouuer quelqu’vn de mes amis pour m’en informer & puis ma melancolie eſt deuenuë ſi noire depuis quelque temps & i’ay l’eſprit ſi plain de nuages qu’il faut de neceſſité que i’en voye quelqu’vn pour les diſſiper & chercher de la conſolation ſur ſon viſage en luy verſant tous mes deſplaiſirs dans le ſein, & le faiſant participant de mes nouuelles, mais voicy venir tout à propos, Hydaſpe, ie voy bien que nous ne ſommes pas au pays où il faudroit faire dix iournees pour trouuer vn homme.	Mais depuis mon retour du pays de la mère des Gracques et de la Femme de Brutus, une n'ai point oui nouvelle de ma belle Clorinde il faut que je tâche de trouver quelqu'un de mes amis pour m'en informer et puis ma mélancolie est devenue si noire depuis quelque temps et j'ai l'esprit si plain de nuages qu'il faut de nécessité que j'en voie quelqu'un pour les dissiper et chercher de la consolation sur son visage en lui versant tous mes déplaisirs dans le sein, et le faisant participant de mes nouvelles, mais voi venir là à propos, Ma, ie voi bien que nous ne sommes pas au pays où il faut faire dix iournees au trouuer homme.
HYDASPE.	HYDASPE.
Voſtre ſeruiteur paſſionné Mox ſieur.	Votre serviteur passionné Mox sieur.
Voſtre LE DOCTEVR.	Votre LE DOCTEUR.
Voſtre tres fidelle, Hydaſpe.	Votre très fidèle, Hydaspe.
HYDASPE.	HYDASPE.
Et depuis quand Monſieur eſtes vous arriué au lieu où les Roys naiſſent & deuiennent vieux, & où tout le monde trouue ſa maiſon & ſes affaires, vous auez bien fait de haſter ainſi vo.	Et depuis quand Monsieur êtes vous arrivé au lieu où les Rois naissent et deviennent vieux, et où tout le monde trouve sa maison et ses affaires, vous avez bien fait de hâter ainsi vo.
ſtre retour, autrement la Cour de .	stre retour, autrement la Cour de .
4 France eſtoit reſolue d’intenter vn procez contre celle de Rome pour 21 vous r’auoir, & vous trouuoit autant 114.	4 France était résolue d'intenter un procès contre celle de Rome pour 21 vous r’avoir, et vous trouvait autant 114.
adire dans le Louure que les pierres du grand degré, où la ſalle des buiſſes ſi elles en eſtoient hors.	adiré dans le Louvre que les pierres du grand degré, où la salle des buisses si elles en étaient hors.
LE DOCTEVR.	LE DOCTEUR.
2121  u Monſieur vous me voyez diſpoſé pour vous ſeruir, non pas toutesfois au meſme eſtat que i’eſtois auparauant mon voyage, ie ne ſuis plus celuy .	2121 u Monsieur vous me voyez disposé pour vous servir, non pas toutefois au même état que j'étais auparavant mon voyage, Seigneur ne suis plus celui .
L que i’eſtois il y a trois ans, i'ay laiſſé la meilleure partie de moy meſme delà les Alpes, & ce n’eſt plus que mon ombre & vn Phantoſme qui vous paroiſt maintenant, au reſte i’ay vieilly par les chemins, & dans les Hoſtelleries, où ie ſuis deuenu plus vieux que mon Pere, & plus vſé qu’vn vaiſſeau qui auroit faittroie ton lonojage des indes.	L que j'étais il y a trois ans, j'ai laissé la meilleure partie de moi même delà les Alpes, et ce n'est plus que mon ombre et un Phantôme qui vous par maintenant, au reste j'ai vieilly par les chemins, et dans les Hôtelleries, où je suis devenu plus vieux que mon Père, et plus usé qu'à vaisseau qui aurait faittroie ton lonojage des indes.
13u01 11 HYDASPE.	13u01 11 HYDASPE.
iafs29 ffo Monſieur ie recognois bien à voſtre viſage & a voſtre couleur que les maladies ne vous ont pas porté le reſpect qu’elles doiuent a vn homme de voſtre qualité, & que vous auez eſté rudement traitté, il faut vous conſoler & croire que l’aduenit vous prepare vne autre ieuneſſe apres ſa ſaiſon, comme vous auez eſté vieux auant le temps, Mais ie vous prie laiſſons tous ces diſcours faſcheux, & parlons vn peu de tant de belles choſes que vous auez veuës en voſtre voyage, obligez-moy de m’enfaire le récit, & me faire participant de tant de raretez;	ifs29 fa Monsieur Seigneur reconnais bien à votre visage et à votre couleur que les maladies ne vous ont pas porté le respect qu'elles doivent a un homme de vôtre qualité, et que vous avez été rudement traité, il faut vous consoler et croire que l'aduenit vous prépare une autre jeunesse après sa saison, comme vous avez été vieux avant le temps, Mais je vous prie laissons tous ces discours fâcheux, et parlons un peu de tant de belles choses que vous avez veuës en votre voyage, obligez-moi de m'enfaire le récit, et me faire participant de tant de rare;
ſi ce ne vous eſt trop de peine.	si ce ne vous est trop de peine.
AVMnI3n	AUMnI3n
LE DOCTEVR	LE DOCTEUR
Il n’y a rien, cher Hydaſpe, que ie ne vouluſſe faire pour voſtre contentement:	Il n'y a rien, cher Hydaspe, que ici ne voulusse faire pour votre contentement:
pour vous ie paſſerois les mers & les deſerts où le Soleil n’eſclaireque des ſables & des rochers, & meſme pour l’amour de vous iline me ſopoit pas paus dimiene de tr ancrier les Aaſpes que de monter en ma chambre	pour vous me passerais les mers et les déserts où le Soleil n'éclaireque des sables et des rochers, et même pour l'amour de vous iline me sopait pas paus dimène de tr ancrier les Aaspes que de monter en ma chambre
Ie feray ce dont vous me priez ſiinſtamment, mais mettons nous premierement vn peu à couuert, crainte de la pluye qui eſt ſi frequente en ces païs, que ie crois fermement qu’il y a quelque mer ſuſpenduë au deſſus de nons:	Je ferai ce dont vous me priez siinstamment, mais mettons nous premièrement un peu à couvert, crainte de la pluie qui est si fréquente en ces pays, que ie crois fermement qu'il y a quelque mer suspenduée au dessus de nons:
il faut donc que tu ſçaches que depuis que ie n’ay eu le bien de te veoir.	il faut donc que tu saches que depuis que je n'ai eu le bien de te voir.
I’ay eſté citoyen de pluſieurs Rep.	J'ai été citoyen de plusieurs Rép.
i’ay veu ces hautes montagnes qui ne veulent pas que la France & l’Eſpagne ſoient à vn meſme Maiſtre;	j'ai vu ces hautes montagnes qui ne veulent pas que la France et l'Espagne soient à un même Maître;
& en ay paſſé d’autres qui ont trois Hyuers en l’année, & dont les neiges ne fondent iamais que dans le vin d’Eſpagne, & dans le muſcat, i’ay logé en pluſieurs villes, dont les murailles ſont conſtruites d’vne matiere auſſi precieuſe que le marbre & le porphyre, & qui ont des ruës pauees de Dieux & de Deeſſes de l’antiquité, & des allées bordees d’Hiſtoires d’vn coſté, & des fables de l’autre, i’ay marché ſur les Ceſars & ſur les Pompees, & me ſuis promené au bord de ceſte riuiere ſur laquelle les Romains ont faict l’apprentiſſage de tant de victoires, & ont commencé ce grãd deſſein qu’ils n’ont acheué qu’aux dernieres extremitez de la terre:	et en ai passé d'autres qui ont trois Hivers en l'année, et dont les neiges ne fondent jamais que dans le vin d'Espagne, et dans le muscat, j'ai logé en plusieurs villes, dont les murailles sont construites d'une matière aussi précieuse que le marbre et le porphyre, et qui ont des ruës pauees de Force et de Déesses de l'antiquité, et des allées bordées d'Histoires d'Hi costé, et des fables de l'autre, j'ai marché sur les Césars et sur les Pompe, et me suis promené , et de ces riuiere sur laquelle les Romains ont faict apprentissage de tant de victoires, et ont commencé ce grãd dessein ils ont acheué aux dernières extrémité de la terre:
Au reſte i’ay baiſé les pieds de celuy qui eſt la teſte dexoute la Chreſtienté, le ſucceſſeur des Apoſtres des Conſuls, & des Empereurs, ces pieds diſ-je qui marchent ſur la teſte des Roys & ſur les Couronnes, ie ſuis entré dans ce Tem.	Au reste j'ai baisé les pieds de celui qui est la tête dexoute la Chrétienté, le successeur des Apôtres des Consuls, et des Empereurs, ces pieds dis-je qui marchent sur la teste des Rois et sur les Couronnes, sans suis entré dans ce Tem.
ple ou Dieu autrefois eſtoit auſſi preſent que dans le Ciel, & ou eſtoit enfermé & enchaiſné le deſtin de la Monarchie vniuerſelle.	ple ou Dieu autrefois était aussi présent que dans le Ciel, et ou était enfermé et enchaîné le destin de la Monarchie universelle.
Bref, ie ne ſuis pas plusentrangeren Itanc qu’en France, & ma ſcience a autant d’eſtenduë que l’Empire du Pape ou la campagne de Rome.	Bref, Seigneur ne suis pas plusentrangéren Itanc qu'en France, et ma science a autant d'étendue que l'Empire du Pape ou la campagne de Rome.
I’ay veu ce grand tyran qui a tant	J'ai vu ce grand tyran qui a tant
de teſtes, & tous ces petits ſouuerains qui perdroient plus de gens en faiſant pendre vn homme, que le Roy n’en trouueroit à dire en deux groſſes batailles, & à la priſe de quatre villes.	de têtes, et tous ces petits souverains qui perdraient plus de gens en faisant pendre un homme, que le Roi n'en trouverait à dire en deux grosses batailles, et à la prise de quatre villes.
HYDASPE.	HYDASPE.
Dieu ſçait comme vous n’aurez pas manqué d’apprendre parfaitement la langue de ce païs, & le Latin qui eſtoit autresfois auſſi commun en ces ſieux que le Louure & l’Arſenal à Paris.	Dieu sait comme vous n'aurez pas manqué d'apprendre parfaitement la langue de ce pays, et le Latin qui était autrefois aussi commun en ces sieux que le Louvre et l'Arsenal à Paris.
LE DOCTEVR.	LE DOCTEUR.
La langue de ce païs m’eſt auſſi commune que celle que ma mere m’a appris, au reſte quand ie veux parler Latin, ie le parle comme l’ancienne Republique, & au meſmes termes que le Senat lors qu’il faiſoit des commandemens aux Roys & des reſponces a toutes les nations de la terre mais afin que ie pourſuiue mon premier diſcours, i’ay veu des ruiſſeaux dont le bruit fait reſuer les plus grands parleurs, & fait taire les plus grands babillarts des bois où en plain midy il n’eſt pas iour, & B iij des eaux qui reſſembleroient tout à fait à de lancre ſi elles eſtoient noires.	La langue de ce pays m'est aussi commune que celle que ma mère m'a appris, au reste quand je veux parler Latin, ie le parle comme l'ancienne République, et au mêmes termes que le Sénat lors qu'il faisait des commandements aux Rois et des réponces a toutes les nations de la terre mais afin que ie poursuive mon premier discours, j'ai vu des ruisseaux dont le bruit fait rêver les plus grands parleurs, et fait taire les plus grands babillarts des bois où en plain midi il n'est pas jour, et B ô des et Bai ressembleroient tout à fait à de lancre si nouvelles étaient noires.
i’ay veu vne fonteine dont il ne faut que boire vne goute pour deuenir Poëte, des montagnes qui bruſloient touſiours ſans ſe conſommer & des Iſles qui ne s’arreſtent iamais en vn meſme Hleu.	j'ai vu une fonteine dont il ne faut que boire une goute pour devenir Poète, des montagnes qui brûlaient toujours sans se consommer et des Isles qui ne s'arrêtent jamais en un même Hlu.
32	32
HYDASPE.	HYDASPE.
Certes il me ſouuient d’auoir leu la pluſpart de ſes choſes, dãs quelqu’vne deces penes fettres, que vous me faiſiez la faueur de meſcrire.	Certes il me souvient d'avoir lu la plupart de ses choses, dans quelqu'une décès pères fettres, que vous me faisiez la faveur de mécrire.
LE DOCTEVR.	LE DOCTEUR.
A11ba Avay a Gudo21111 111.	A11ba Avai a Gudo2111 111.
2 Et bien quel iugement en faiſoitOn.	2 Et bien quel jugement en faisaitOn.
AMMM	AMM
2H HYDASPE.	2H HYDASPE.
uldoaſon 3B2 01 12 82119 2 Ie meure ſi tout le monde d’vn com mun accord, ne diſoit que vos lettres.	uldoason 3B2 01 12 82119 2 Je meure si tout le monde d'un com mun accord, ne disait que vos lettres.
valloient mieux que toute la Foire, de Franc-fort, & qu’vne feuille de papier venant de voſtre part, & du pays ou iien IAAVII 12 vous eſtiez;	vallaient mieux que toute la Foire, de Franc-fort, et qu'une feuille de papier venant de votre part, et du pays ou jien IAAVII 12 vous étiez;
eſtoit beaucoup plus à priſer que tous ces gros Liures, qui nous viennent de Septentrion, auec le froid & le mauuais temps, que l’on appelle gelée.	était beaucoup plus à priser que tous ces gros Livres, qui nous viennent de Septentrion, avec le froid et le mauvais temps, que l'on appelle gelée.
LE DOCTEVR.	LE DOCTEUR.
Pour vous Hydaſpe, ie croy que vous me teniez au nombre des choſes paſſees, & mort au monde, ne plus ne moins que ceux qui viuoient deuant le feu Roy, à veoir le peu de conte que vous faiſiez de meſcrire, ou pour le moins de reſpondre à mes lettres, ie m’imaginois en ce temps-la, que l’exemple du Mareſchal de Biron vous faiſoit peur, où que vous me priſſiez pour quelque Don Pedre, ou quelque Comte de Fuentes, auec qui il fiſt dangereux d’auoir communiquation craigniez vous point qu’il vous faluſt expliquer vos lettres à la Cour de Parlement, de peur que noſtre amitié & nos conferences ne paſſaſſent pour conſ piration.	Pour vous Hydaspe, je crois que vous me teniez au nombre que vous passées, et mort au monde, ne plus ne moins que ceux qui vivaient devant le feu Roi, à voir le peu de conte que vous faisiez de mécrire, ou pour le moins de répondre à mes lettres, sans m'imaginois en ce temps-la, que l'exemple du Maréchal de Biron vous faisait peur, où que vous me prissiez pour quelque Don Pedre, ou quelque Comte de Fuentes, Seigneur qui il fît dangereux d'avoir communiquation craigniez vous point qu'il vous fallus expliquer vos lettres à la Cour de Parlement, et de que Parle me et nos conférences , et nos con sir.
124 11110	124 11110
HYDASPE.	HYDASPE.
Ce n’eſt pas cela Monſieur le.	Ce n'est pas cela Monsieur le.
Docteur, i’ay à la verité bien des excuſes à vous faire ſur ce ſuject, vous ſçauez combien ie ſuis pareſſeux à eſcrire:	Docteur, j'ai à la vérité bien des excuses à vous faire sur ce suject, vous savez combien ce suis paresseux à écrire:
