M.	M.
& jamais vn air plus libre, ny p’us guerrier, n’a mis vn mortel au deſſus des autres hommes.	et jamais un air plus libre, ni p'us guerrier, n'a mis un mortel au dessus des autres hommes.
SONNET.	SONNET.
Pour le ROY, repreſentant ROGER Velle taille, quel port a ce fier Conquerant?	Pour le ROY, représentant ROGER Velle taille, quel port a ce fier Conquérant?
Sa perſonne ébloüit quiconque l’examine, Et quoy que par ſon Poſte il ſoit deſia ſi grand, Quelque choſe de p’us éclate dans ſa mine.	Sa personne éblouit quiconque l'examine, Et quoi que par son Poste il soit déjà si grand, Quelque chose de p'us éclate dans sa mine.
Son front de ſes Deſtins eſt l’Auguſte garant, Par delà ſes Aveux ſa vertu l’achemine, Il fait qu'on les oublie, & de l'air qu’il s’y prend, Bien loin derriere luy laiſſe ſon Origine.	Son front de ses Destins est l'Auguste garant, Par delà ses Aveux sa vertu l'achemine, Il fait qu'on les oublie, et de l'air qu'il s'y prend, Bien loin derrière lui laisse son Origine.
De ce cœur gentreux c’eſt l’ordinaire employ, D’agir plus volontiers pour autruy que pour ſoy, Là principalement ſa force eſt occupés:	De ce cœur gentreux c'est l'ordinaire emploi, D'agir plus volontiers pour autrui que pour soi, Là principalement sa force est occupés:
Il fface l’eclat des Heros anciens, Ay a qnel boadeur en cene »O ua Ma vepes.	Il face l'éclat des Héros anciens, Ay a qnel boadeur en cène " Oua Ma vepes.
Que pour des intereſts qui ne ſont pas les ſiens.	Que pour des intérêts qui ne sont pas les siens.
Le Duc de Noailles, Iuge du Camp, ſous le nom d’Oger le Danois, marchoit apres le Roy, portant la couleur de feu & le noir, ſous vne riche broderie d’argent;	Le Duc de Noailles, Juge du Camp, sous le nom d'Oger le Danois, marchait après le Roi, portant la couleur de feu et le noir, sous une riche broderie d'argent;
& ſes plumes auſſi bien que tout le reſte de ſon équipage eſtoient de cette meſme livrée.	et ses plumes aussi bien que tout le reste de son équipage étaient de cette même livrée.
Le Duc de Noailles.	Le Duc de Noailles.
Oger le Danois, Iuge du Camp.	Oger le Danois, Juge du Camp.
E Paladin s’applique à cette ſeuli affaire De ſeruir dignement le plus puiſſant des Rois, Comme pour bien juger il faut ſçavoir bien faire, Ie doute que perſonne appelle de ſa voix,	 Paladin s'applique à cette seul affaire De servir dignement le plus puissant des Rois, Comme pour bien juger il faut savoir bien faire, Je doute que personne appelle de sa voix,
Le Duc de Guiſe & le Comte d’Armagnac marchoient enſemble apres luy.	Le Duc de Guise et le Comte d'Armagnac marchaient ensemble après avoir.
Le premier portant le nom d’Aquilant le Noir, avoit vn habit de cette couleur en broderie, d’or & de geaix;	Le premier portant le nom d'Aquillant le Noir, avait habit de cette couleur en broderie, d'or et de géaix;
ſes plumes, ſon cheval, & ſa lance aſſortifloient a da livrée:	ses plumes, son cheval, et sa lance assortiflaient a da livrée:
Et l’autre repreſentant Griffon le Blanc, portoit ſur vn habit de toile d’argent pluſieurs rubis, & montoit vn cheval blanc bardé de la meſme couleur,	Et l'autre représentant Griffon le Blanc, portait sur un habit de toile d'argent plusieurs rubis, et montait un cheval blanc bardé de la même couleur,
De Lue decuile, alquitane la lbi?	De Lue décuile, alquitane la lbi?
A Nuict a ſes beautez de meſme que le jour.	À Nuit a ses beautés de même que le jour.
LLe Noir eſt ma couleur, ie l’ay toûjours aymée, Et ſi l’obſcurité convient à mon Amour, Elle ne sét end pas iuſqu’à ma Renommée.	LLe Noir est ma couleur, on l'ai toujours aimée, Et si l'obscurité convient à mon Amour, Elle ne set end pas jusqu'à ma Renommée.
Le Comte d’Armagnac.	Le Comte d'Armagnac.
Griffon le Blanc.	Griffon le Blanc.
TOyez quelle candeur en moy le Ciel a mis, V Auſſi nulle beauté ne s’en verra trompée, Et quand il ſera temps d’aller aux ennemis C’eſt eù te me feray tout blanc de mon épre, Les Ducs de Foix & de Coaſſin qui paroiſſoient en ſuite, eſtoient veſtus, l’vn d’incarnat avec or & argent;	TOyez quelle candeur en moi le Ciel a mis, V Aussi nulle beauté ne s'en verra trompée, Et quand il sera temps d'aller aux ennemis C'est éù te me ferai tout blanc de mon épre, Les Ducs de Foix et de Coassin qui paraissaient en suite, étaient vêtus, l'un d'incarnat avec or et argent;
& l’autre de vert, blanc & argent:	et l'autre de vert, blanc et argent:
Toute leur livré & leurs chevaux eſtant dignes du reſte de leur équipage.	Toute leur livré et leurs chevaux étant dignes du reste de leur équipage.
Pour le Duc de Foix.	Pour le Duc de Foix.
Renaud.	Renaud.
IL porte vn Nom celebre, il eſt ieune, il eſt ſage, I Yvouvaite le vray c’eſt peur aller bien haut, E l’eſt vn grand boncheur que d'aucir à ſon age La chaleur neceſſaire, & le flegme qu’il faut.	IL porte un Nom célèbre, il est jeune, il est sage, I Yvouvaite le vrai c'est peur aller bien haut, E l'est un grand boncheur que d'aucir à son âge La chaleur nécessaire, et le flegme qu'il faut.
Le Duc de Coaſlin.	Le Duc de Coaslin.
Dudon.	Dudon.
Rop auant dans la gloire on ne peut s’eng ager, T I’auray vaincu ſept Rois, & par mon grand courage Les verray tous ſeûmis ait pouuoir de ROCER, Que ie ne ſeray pas centent de mon Ouuragt.	Rop avant dans la gloire on ne peut s'eng ager, T 'aurai vaincu sept Rois, et par mon grand courage Les verrai tous seûmis ait pendant de ROCER, Que ainsi ne serai pas cent de mon Ouvragt.
Apres eux marchoient le Comte du Lude & le Prince de Marſillac, le premier veſtu d’incarnat & blanc;	Après eux marchaient le Compte du Lude et le Prince de Marsillac, le premier vêtu d'incarnat et blanc;
& l’autre de iaune, blanc & noir, enrichis de broderie d’argent, leur livrée de meſme, & fort bien montez	et l'autre de jaune, blanc et noir, enrichis de broderie d'argent, leur livrée de même, et fort bien montez
Le Comte du Lude.	Le Comte du Lude.
Aſtolphe.	Astolphe.
E tous les Palaſins qui ſont han, bvntuers DAucun n’a pour l’Ameur l’ame plus échauffée, Entrepranant toûjours mille proiets diuers, Et toûpours enchanté par quelque ieune FE’E.	E tous les Palasins qui sont han, bvntuers DAucun n'a pour l'Ameur l'âme plus échauffée, Entrepranant toujours mille proiss divers, Et toujours enchanté par quelque jeune SE.
Le Prinée de Marſillac, Brandimart.	Le Prinée de Marsillac, Brandimart.
TEs vœux ſeront contens, mes ſouhaits accomplis, MEt ma boune fortune à ſon comble arrivée.	TEs vœux seront contents, mes souhaits accomplis, MEt ma boune fortune à son comble arrivée.
Quand vous ſçaurez mon zele, aimable FFEVr DE LYS, Au milieu de mon cœur profondement gravée	Quand vous saurez mon zèle, aimable FFEVr DE LYS, Au milieu de mon cœur profondément gravée
Les Marquis de Villequier & de Soye-court marchoient en fuite;	Les Marquis de Villequier et de Soie-court marchaient en fuite;
l’vn portoit le bleu & argent, & l’autre le bleu, blanc & noir, avec or & argent;	l'un portait le bleu et argent, et l'autre le bleu, blanc et noir, avec or et argent;
leurs	leurs
melme couleur, & d’vne pareille richeſſe.	melme couleur, et d'une pareille richesse.
Le Marquis de Villequiert, Richardet, DErſonne comme moy n’eſt ſorty galamment I D’une intrigue, où ſans doute il falloit quelque addreſſe, Pojomioj u mon uubu;	Le Marquis de Villequiert, Richardet, DErsonne comme moi n'est sorti galamment I J'une intrigue, où sans doute il fallait quelque adresse, Pojomiojoumonju;
pruſagreablement N’eſt demeuré fidelle en trompant ſa Maiſtreſſe.	prusagréablement N'est demeuré fidèle en trompant sa Maîtresse.
Le Ma quis de Soyecourt, Olivier.	Le Ma quis de Soyecourt, Olivier.
J Ouy i’honneur du Siecle, aupres de qui nous ſomy mes, Et meſme les Geant, de mediotres hommes, Et ce frane Chevalier à tout venant tout preſt, Touſiours pour quelque Iouſte a la lance en arreſt.	 Jui j'honneur du Siècle, auprès de qui nous somi mes, Et même les Géant, de médiotres hommes, Et ce frane Chevalier à tout venant tout prêt, Touiours pour quelque Joute à la lance en arrêt.
Les Marquis d’Humieres & de la Valliere les ſuivoient:	Les Marquis d'Humieres et de la Vallière les suivaient:
Ce premier portant la couleur de chair & argent, & l’autre le gris de lin, blanc & argent:	Ce premier portant la couleur de chair et argent, et l'autre le gris de lin, blanc et argent:
toute leur livrée eſtant la plus riche, & la mieux aſſortie du monde.	toute leur livrée étant la plus riche, et la mieux assortie du monde.
Le Marquis de la Valliere, Zerbin.	Le Marquis de la Vallière, Zerbin.
112 Velques beaux ſentimens que la gloire nous donne, Quand on eſt amoureux au ſouverain degré, Mourir entre les bras d’vne belle Perſonne Eſt de toutes les morts la plus douce à mon gré.	112 Velques beaux sentiments que la gloire nous donne, Quand on est amoureux au souverain degré, Mourir entre les bras d'une belle Personne Est de toutes les morts la plus douce à mon gré.
fique broderic, dont ſa cuiraſſe & ſon bas de ſoye eſtoient couverts;	fique brodéric, dont sa cuirasse et son bas de soie étaient couverts;
ſon caſque & le harnois de ſon cheval en eſtant auſ chfichis.	son casque et le harnais de son cheval en étant aux chefichis.
Monſieur le Duc, Roland.	Monsieur le Duc, Roland.
Oland fera bien loin ſon grand nom retẽtir.	Oland fera bien loin son grand nom retendir.
La gloire deviendra ſa fidelle Compagne, Il eſt ſorty d’vn ſang qui brûle de ſortir Quand il eſt queſtion de ſe mettre en campagne, Et pour ne vous-en point mentir C’eſt le pur ſang de Charlemagne.	La gloire deviendra sa fidèle Compagne, Il est sorti d'un sang qui brûle de sortir Quand il est question de se mettre en campagne, Et pour ne vous-en point mentir C'est le pur sang de Charlemagne.
YN Char de dix-huict pieds de haut, de vingtV quitre de long, & de quinze de large, paroiſſoit en ſuite éclatant d’or & de diverſes couleurs:	IN Char de dix-huit pieds de haut, de vingtU quitre de long, et de quinze de large, paraissait en ensuite éclatant d'or et de diverses couleurs:
Il repreſentoit celuy d’Apollon, en l’honneur duquel ſe celebroient autrefois les Ieux Pythiens, que ces Chevaliers s’eſtoient propoſez d’imiter en leurs Courſes & en leur équipage:	Il représentait celui d'Apollon, en l'honneur duquel se célébraient autrefois les Jeux Pythiens, que ces Chevaliers s'étaient proposés d'imiter en leurs Courses et en leur équipage:
Cette Divinité brillante de lumieres eſtoit aſſiſe au plus haut du Char, ayant à ſes pieds les quatre Aages ou Siecles diſtinguez par des riches habits, & parce qu’ils portoient à la main.	Cette Divinité brillante de lumières était assise au plus haut du Char, ayant à ses pieds les quatre Aages ou Siècles distingués par des riches habits, et parce qu'ils portaient à la main.
Le Siecle d’Or orné de ce precieux metail, eſtoit encore paré de diverſes fleurs, qui faiſoient vn des principaux ornemens de cét heureux Aage.	Le Siècle d'Or orné de ce précieux métail, était encore paré de diverses fleurs, qui faisaient un des principaux ornements de cet heureux Aage.
Ceux d’Aigent & d'Allaili;	Ceux d'Aigent et d'Allaili;
a voront aun leurs remarques particulieres.	a voront aun leurs remarques particulières.
Et celuy de fer, eſtoit repreſenté par vn Guerrier d’vn regard terrible, portant d’vne main l’épée, & l’autre le bouclier.	Et celui de fer, était représenté par un Guerrier d'une regard terrible, portant d'une main l'épée, et l'autre le bouclier.
Pluſieurs autres Figures de relief paroient les côtez de ce Char magnifique:	Plusieurs autres Figures de relief paraient les côtés de ce Char magnifique:
Les Monſtres Celeſtes, je Serpent Python, Daphné, Hyacinthe;	Les Monstres Célestes, je Serpent Python, Daphné, Hyacinthe;
& les autres Figures qui conviennent à Apollon, avec vn Atlas portant le Globe du Monde, y eſtoi nt auſſi relevez d’vne agreable ſeulputure:	et les autres Figures qui conviennent à Apollon, avec un Atlas portant le Globe du Monde, y étoi noût aussi relevez d'une agréable seulputure:
Le Temps repreſenté par le Sieur Millet, avec ſa faux, ſes aiſles, & cette vieilleſſe décrepite, dont on le peint touſiours accablé, en eſtoit le conducteur:	Le Temps représenté par le Sieur Millet, avec sa faux, ses ailes, et cette vieillesse décrépite, dont on le peint toujours accablé, en était le conducteur:
Quatre chevaux d’vne taille & d’vne beauté peu communes, couverts de graſdes nounes ſemes de dolelis dors d attelez de front, tiroient cette Machine.	Quatre chevaux d'une taille et d'une beauté peu communes, couverts de grâdes nouvnes semes de dolelis dors d' ex de front, tiraient cette Machine.
Les douze Heures du iour, & les douze Signes du Zodiaque, habillez fort ſuperbement, comme les Poëtes les depeignent, marchoient en deux files aux deux coſtez de ce Char.	Les douze Heures du jour, et les douze Signes du Zodiaque, habillez fort superbement, comme les Poètes les dépeignent, marchaient en deux files aux deux côtés de ce Char.
2a deveilislo	2a devilislo
Tous les Pages des Chevaliers le ſuivoient deux à deux (apres celuy de Monſieur le Duc) fort propreſlent vertus de leuls ivices, avec quantite de plumes, portant les lances de leurs Maiſtres, & les Eſcus de leurs Deviſes.	Tous les Pages des Chevaliers le suivaient deux à deux (après celui de Monsieur le Duc) fort propreslent vertus de leuls ivices, avec quantité de plumes, portant les lances de leurs Maîtres, et les Escus de leurs Devises.
1211140	1211140
Le Duc de Guile, repreſentant Aquilant le Noir, ayant pour Deviſe, vn Lion qui dort, avec ces mots.	Le Duc de Guile, représentant Aquilant le Noir, ayant pour Devise, un Lion qui dort, avec ces mots.
a quajeelle pamdjemrte.	a quajeelle pamdjemrte.
B 2014	B 2014
Le Comte d’Armagnac, repreſentant Griffon le Blanc, ayant pour Deviſe vne Hermine, avec ces mots.	Le Comte d'Armagnac, représentant Griffon le Blanc, ayant pour Devise Hermine, avec ces mots.
Ex canaore decus,  220V99	Ex canore déçus, 220V99
Le Duc de Foix, repreſentant Renaud, ayant pour Deviſe vn Vaiſſeau dans la Mer, avec ces mots.	Le Duc de Foix, représentant Renaud, ayant pour Devise un Vaisseau dans la Mer, avec ces mots.
Longe levis aura feret.	Longe levis aura feret.
DS 2YC	DS 2C
Le Duc de Coaſlin, repreſentant Dudon, ayant poui Devile vn soien, & Prienotiopc ou I’ourneſol, auec ces mots.	Le Duc de Cozlin, représentant Dudon, ayant pouy Devile un soyen, et Prienotiopc ou J'ournésol, avec ces mots.
Splendor ab obſequio.	Splendor ab obéquio.
2	2
Le Comte du Lude, repreſentant Aſtolphe, ayant pour Deviſe vn Chiffre en forme de nœud, avec ces mots.	Le Comte du Lude, représentant Astolphe, ayant pour Devise un Chiffre en forme de nœud, avec ces mots.
Non fia mai ſciolto.	Non fia mai sciolto.
22220	22220
Le Prince de Marſillac, repreſentant Brandimart, ayant pour Deviſe vne Montre en relief dont on voit tous les reſſorts avec ces mots.	Le Prince de Marsillac, représentant Brandimart, ayant pour Devise quelque Montre en relief dont on voit tous les ressorts avec ces mots.
Chitto fuor commete dentro.	Chitto fuor commète dentro.
Le Marquis de Villequier, repreſentant Richardet, ayant pour Deviſe vn Aigle qui plane devant le Soleil, avec ces mots, Vni militat Aſtro.	Le Marquis de Villequier, représentant Richardet, ayant pour Devise un Aigle qui plane devant le Soleil, avec ces mots, Uni militât Astro.
Auſſi-toſt que ces Troupes furent entrées dans le Camp, elles en firent le tour, & apres avoir ſalüé les Reynes, elles ſe ſeparerent, & prirent chacun leut poſte:	Aussitôt que ces Troupes furent entrées dans le Camp, elles en firent le tour, et après avoir sué les Reines, elles se séparèrent, et prirent chacun lut poste:
Les Pages à la teſte, les Trompettes & les Tymballiers ſe croiſants, s’allerent poſter ſur les aiſles:	Les Pages à la tête, les Trompettes et les Tymballiers se croisants, s'allèrent poster sur les ailes:
Le Roy s’advançant au milieu, prit ſa place vis à vis du haut Duigemii.	Le Roi s'avançant au milieu, prit sa place vis -à -vis du haut Duigemi.
je Due proene dolamiejertoeres Ducs de S.	je Due proène dolamiejertoères Ducs de S.
Aignan & de Noailles à droit & à gauche:	Aignan et de Noailles à droit et à gauche:
Les dix Chevaliers en haye aux deux coſtez du Char:	Les dix Chevaliers en haie aux deux côtés du Char:
leurs Pages au meſme ordre derriere eux:	leurs Pages au même ordre derrière eux:
les Signes & les Heures comme ils eſtoient entrez.	les Signes et les Heures comme ils étaient entrez.
Lors qu’on eut fait alte en cet eſtat, vn prorond ſilence cauſé tout enſemble par l’attention & par le reſpect, donna le moyen à Mademoiſelle de Brie, qui repreſentoit le Siecle d’Airain, de commencer ces	Lors qu'on eut fait alte en cet état, un prorond silence causé tout ensemble par l'attention et par le respect, donna le moyen à Mademoiselle de Brie, qui représentait le Siècle d'Airain, de commencer ces
vers à la Loüange de la Reyne, addreſſez à Apollon.	vers à la Louange de la Reine, adressez à Apollon.
LE SIECLE D’AIRAIN à Apollon.	LE SICLE D'AIRAIN à Apollon.
Rillant Pere du iour, toy de qui la puiſſance DPar ſes divers aſpects nous donna la naiſſance, Toy l’eſpoir de la terre, & l’ornement des cieux;	Rillant Père du jour, toi de qui la puissance DPar ses divers aspects nous donna la naissance, Toi l'espoir de la terre, et l'ornement des cieux;
Toy le plus neceſſaire, & le plus beau des Dieux;	Toi le plus nécessaire, et le plus beau des Dieux;
Toy dont l’activité, dont la bonté ſupreme Se fait voir & ſentir en tous lieux par ſoy-meſme:	Toi dont l'activité, dont la bonté suprême Se fait voir et sentir en tous lieux par soi-même:
Hu-nous par quel aeſtin, où pur quel nouveau choix Tu oelebres tes Ieux aux rivages François?	Hu-nous par quel aestin, où pur quel nouveau choix Tu oelebres tes Jeux aux rivages Français?
APOLLON.	APOLLON.
Si ces lieux fortunez ont tout ce qu’eut la Grece, De gloire, de valeur, de merite & d’adreſſe, Ce n’eſt pas ſans raiſon qu’on y voit transferez Ces leux qu'à mon honneur la terre a conſacrez, I'ay touſiours pris plaiſir à verſer ſur la France De mes plus doux rayons la benigne influence;	Si ces lieux fortunés ont tout ce qu'eut la Grèce, De gloire, de valeur, de mérite et d'adresse, Ce n'est pas sans raison qu'on y voit transférez Ces leux qu'à mon honneur la terre a consacrez, J'ai toujours pris plaisir à verser sur la France De mes plus doux rayons la bénigne influence;
Mais le charmant obiet qu'Hymen y fait regner Pour elle maintenant me fait tout deſdaigner.	Mais le charmant objet qu'Hymen y fait régner Pour elle maintenant me fait tout dédaigner.
