ALANCuENERe	ALANCuENERée
On a fuborné des Jmprimeurs pour mettre au iour en mõ nom des Vers ſales & profanes, qui n’ont rien de mõ ſtyle, ny de mon humeur:	On a suborné des Imprimeurs pour mettre au jour en mon nom des Vers sales et profanes, qui n'ont rien de mon style, ni de mon humeur:
lafvouiu que ia fuAV LECIEVR.	lavouiv que ja fuAU LECIEUR.
ſtice en ſceut l’autheur pour le punir:	stice en sut l'auteur pour le punir:
Mais les Libraires h'en cognoiſſent à ce qu’ils diſent, ny le nom, ny le viſage, et ſe trouuent eux meſmes en la peine d’estre chaſtiez pour c’est imposteur:	Mais les Libraires h'en connaissent à ce qu'ils disent, notre le nom, toujours le visage, et se trouvent eux -mêmes en la peine d'être châtiez pour c'est imposteur:
Les Juges les ont voulu traiter auec toute la ſeuerité que mon bon droict leur à demandée:	Les Juges les ont voulu traiter avec toute la sévérité que mon bon droit leur à demandée:
mais le pouuoir que i’ay eu de me vãger men a osté l’enuie.	mais le pouvoir que j'ai eu de me venger men a ôté l'envie.
Et comme ie n’ay point plaidé pour faire du mal:	Et comme ici n'ai point plaidé pour faire du mal:
mais pour en euiter, i’ay pardonné à des ignorans, qui n’ont abuzé de mon nom, que pour l’vtilité de la vente de leurs Liures.	mais pour en éviter, j'ai pardonné à des ignorants, qui n'ont abuzé de mon nom, que pour l'utilité de la vente de leurs Livres.
Et me ſuis contenté d’en faire ſupprimer les Exemplaires auec la deffence de les r’imprimer.	Et me suis contenté d'en faire supprimer les Exemplaires avec la défense de les rimprimer.
Le ſoin que i'ay pris en cela pour A AV LECIEVR.	Le soin que j'ai pris en cela pour A AU LECIEUR.
ma protection, est vn teſmoignage aſſeZ euident, que ie ne fuis pas cauſe de ma diſgrace, et que ie ne la merite point.	ma protection, est un témoignage assez évident, que tu ne fuis pas cause de ma disgrâce, et que personne ne la mérite point.
Je voudrois bien que les Cenſeurs qui ſont ſi diligents à examiner ma vie, fuſſent au moins capables de croire les actes publics de la Juſtice qui font foy de ceſteverité.	Je voudrais bien que les Censeurs qui sont si diligents à examiner ma vie, fussent au moins capables de croire les actes publics de la Justice qui font foi de cetteverité.
Mais tout ce qui fait à ma iuſtificatiõ, est cõtre leur deſſein, leur chagrin ne ſe prend qu'au mal, ils ne me cognoiſſẽt que par ou ils exercent leur aigreur, & l’inclination qu’ils ont à tout reprendre faict qu’ils craignent plus l’aman ement d’vn homme, qu’ils ne haiſſent ſa deſbauche Ceste prõptitude de réchercher les mauuaiſes actiõs d’au2 cese nonenaiante à recognoiſtre les bonnes, est vne fauſſe preud’hommie, et vne ſuperſtition malicieuſe qui tient plus de l’hypocriſie que du vray Zele.	Mais tout ce qui fait à ma justification, est cõtre leur dessein, leur chagrin ne se prend qu'au mal, ils ne me cognoissẽt que par où ils exercent leur aigreur, et l'inclination qu'ils ont à tout reprendre fait qu'ils craignent plus l'aman ement d'un homme, qu'ils ne haïrent sa débauche Cette promptitude de réchercher les mauvaises actions d'a cese nonenaiante à reconnaître les bonnes, est une fausse preud’hommie, et une superstition malicieuse qui tient plus de l'hypocrisie qui têtes du Zele.
On ſouffre toutes ſortes de deſordres, & de blasphemes en la perſonne de qui que ce ſoit:	On souffre toutes sortes de désordres, et de blasphèmes en la personne de qui que ce soit:
mais on fait gloire de diffamer l’innocence en la mienne.	mais on fait gloire de diffamer l'innocence en la mienne.
Ces calomniateurs qui ſont des gens preſque incognus, & de la lie du mode ont voulu perſuader leur impoſture à de ſaincts perſonnages de qui ie veux éuiter la haine, & pour l'eſtime que ie fais de leur vertu, & pour le reſpect que ie doibs à leur credit, & i’espere que l’Enuie trauaillera inutilement à ſeduire la charité de ces Prelats qui cognoiſſent trop vien le vifageux O AVLECIEVR.	Ces calomniateurs qui sont des gens presque inconnus, et de la lie du mode ont voulu persuader leur imposture à de saints personnages de qui ie veux éviter la haine, et pour l'estime que je fais de leur vertu, et pour le respect que sans doibs à leur crédit, et j'espère que l'Enuie travaillera inutilement à séduire la charité de ces Prélats qui connaissent trop vien le vifageux Ô AVLECIEVR.
l’erreur, & ſçauẽt que toutes les meſdiſances ſont ſuſpectes de fauſſeté:	l'erreur, et sçauẽt que toutes les médisances sont suspectes de fausseté:
il eſt vray que des plus grands & des mieux ſenſeZ de la Cour, pource qu'ils ſçauent ma vie, en ont parlé fauorablement.	il est vrai que des plus grands et des mieux sensés de la Cour, pource qu'ils savent ma vie, en ont parlé favorablement.
Ie les nommerois en les remerciant, Mais dans le deſhonneur qu’on me procure, ie ne veux pas leur reprocher qu’ils me cognoiſſent, il n’y a pas iuſqu'a des Bourgeoiſes, que ie ſçay viure encore dans la penitente de leurs adulteres, qui ne faſſent vne deuotiõ de maudire mon nom, & de perſecuter ma vie L’eſprit malin qui ſouſſlé la calomnie à mes enuieux, les por.	Je les nommerais en les remerciant, Mais dans le déshonneur qu'on me procure, Elle ne veux pas leur reprocher qu'ils me connaissent, il n'y a pas jusqu'a des Bourgeoises, que tu sais vivre encore dans la pénitente de leurs adultères, qui ne fassent une dévotion de maudire mon nom, et de persécuter ma vie L'esprit malin qui sousslé la calomnie à mes envieux, les por.
te contre moy, au ſoupçon de quelques crimes ou le ſens commun ne peut conſentir.	te contre moi, au soupçon de quelques crimes ou le sens commun ne peut consentir.
Ie parleMVLLCILVR.	Je parleMVLLCILVR.
rois plus clairement pour ma deffence:	rois plus clairement pour ma défense:
Mais la reuerence publique et ma propre diſcretion me commandent d’eſtouffer ces iniures, & de cacher à la curioſité des eſprits foibles la cõfuſion de quelques accuſateurs de peur que ce ne fut vn' inſtructiõ pour le crime à tout le monde.	Mais la révérence publique et ma propre discrétion me commandent d'étouffer ces injures, et de cacher à la curiosité des esprits faibles la comfusion de quelques accusateurs de peur que ce ne fut un instructions pour le crime à tout le monde.
Le mal qu'on fait à blaſmer vn peché incognu, c’est qu’on l’enſeirne.	Le mal qu'on fait à blâmer un péché inconnu, c'est qu'on l'enseirne.
Et les ames qui ſont aiſees à ſe deſbaucher trouuent la des occaſions à ſe peruertir, il me ſuffit de me ſauuer de leur malice, t de leur faire entendre que ſi les efforts de leur animoſité leur ſuccedent iuſqu'à ma ruine, il me restera touſiours vne conſolation du remors qui leur en est ineuitable:	Et les âmes qui sont aise à se débaucher trouvent la des occasions à se pervertir, il me suffit de me sauver de leur malice, t de leur faire entendre que si les efforts de leur animosité leur succèdent jusqu'à ma ruine, il me restera toujours une consolation du remors qui leur en est inévitable:
car ie ſçay bien que AV LLCTEVR.	car ici sais bien que AU LLCTEUR.
le deſſein de leur perſecution n’est pas tant de me ſacrifier à la pieté qu’à leur ambition:	le dessein de leur persécution n'est pas tant de me sacrifier à la piété qu'à leur ambition:
le peu d’estime qu'on fait de mes Eſcrits, et les meſdiſances contre vne reputatiõ de ſi peu d’importance, ſont des outrages qui ne me nuyſent guere, & qui ne m'affligent pas auſſi beaucoup.	le peu d'estime qu'on fait de mes Écrits, et les médisances contre une réputation de si peu d'importance, sont des outrages qui ne me naissent guère, et qui ne m'affligent pas aussi beaucoup.
Mais cett' enuie enragée qui ne me laiſſe point de fondement pour ma fortune, ny de ſeureté pour ma vie me pique veritablement, & me met aux termes d’eſclater contre mes ennemis, s’ils me font voir ma perte manifeſte, ie me ſoucieray fort peu du peril qui la pourroit aduancer.	Mais cett' envie enragée qui ne me laisse point de fondement pour ma fortune, ni de sûreté pour ma vie me pique véritablement, et me met aux termes d'éclater contre mes ennemis, s'ils me font voir ma perte manifeste, avec me soucierai fort peu du péril qui la pourrait avancer.
Il y a deſia long tẽps que ma pareſſe, & ma timidité laiſſent impunemel conrir fur moyieur AV LECIEVR.	Il y a déjà long temps que ma paresse, et ma timidité laissent impunément conrir fur moyieur AU LECIEUR.
iniustice, ils ont pris à taſche de pouſſermes infortunes iuſqu'au bout, & me font voir preſque à la veille de me bannir moymeſme pour trouuer vne liberté à mon reſſentiment, ie ne demãde plus de la vie qu’autant de temps pour me plaindre, qu’ils en ont paſſé à m'iniurier:	injustice, ils ont pris à tâche de poussermes infortunes jusqu'au bout, et me font voir presque à la veille de me bannir moymesme pour trouver une liberté à mon ressentiment, je ne demande plus de la vie qu'autant de temps pour me plaindre, qu'ils en ont passé à m'injurier:
ie ne ſuis point vn faiſeur de libelles, et n’offençay iamais perſonne du moindre trait de plume, & ie croy que ſelon les hommes, i'ay la conſcience droite, et l’eſprit traitable:	On ne suis point un faiseur de libelles, et n'offensai jamais personne du moindre trait de plume, et ie croy que selon les hommes, j'ai la conscience droite, et l'esprit traitable:
ſi bien que ie ſuis à deuiner encore, ce qui m'à peu ſuſciter vne ſi violente, & ſi longue haine:	si bien que personne suis à deviner encore, ce qui m'à peu susciter une si violente, et si longue haine:
il eſt vray que la coustume du ſiecle est contraire à mon naturel.	il est vrai que la coutume du siècle est contraire à mon naturel.
Je voy que dans la couerſation aes prus jaIoAV LECIEVR.	Je vois que dans la couersation aes prus jaIoAU LECIEUR.
ges les diſcours ordinaires ſont choſes feintes & estudiées, ma façon de viure est toute differente.	gez les discours ordinaires sont choses feintes et étudiées, ma façon de vivre est toute différente.
Ceſte mignardiſe de complimens communs, et ces reuerences inutiles qui fõt auiourd’huy la plus grande partie du diſcours & des actions des hommes:	Cette mignardise de compliments communs, et ces révérences inutiles qui fût aujourd'hui la plus grande partie du discours et des actions des hommes:
ce ſont des ſuperfluitez ou ie ne m’amuſe point, & combien qu’elles ſoient receuës, 5comme neceſſaires, pource qu'elles repugnent entierement a mon humeur:	ce sont des superfluité ou je ne m'amuse point, et combien qu'elles soient reçues, 5comme nécessaires, pource qu'elles répugnent entièrement à mon humeur:
ie ne ſuis pas capable de m’y aſſuietir.	Ne ne suis pas capable de m'y assuivir.
En vn mot, ma ſocieté n’eſt bonne qu'à ceux qui ont la hardieſſe de viure ſans artifice Le fonds de mon ame à des amorcès aſſez puiſſantes pour ceux qui oZ ent viure librement auerpmmey, AV LLCTEVR.	En un mot, ma société n'est bonne qu'à ceux qui ont la hardiesse de vivre sans artifice Le fond de mon âme à des amorcès assez puissantes pour ceux qui oZ ent ure librement averpmey, AU LLCTEUR.
11 & qui ſe peut aduanturer de me cognoistre, ne ſe ſçauroit deffendre de m'aymer, i'ay ſans doute trop de liberté à reprẽdre les fautes d’autruy, peu de gens ont ce malheur.	11 et qui se peut aventurer de me connaître, ne se saurait défendre de m'aimer, j'ai sans doute trop de liberté à reprendre les fautes d'autrui, peu de gens ont ce malheur.
Mais ie ne trouue que moy qui ſe sẽte obligé des cẽſures des autres:	Mais ici ne trouve que moi qui se sommes obligé des cẽsures des autres:
ce n’est peut-eſtre pas tant de la docilité de mon esprit et de la facilité de mes mœurs que par vne couſtume d’eſtre repris:	ce n'est peut-être pas tant de la docilité de mon esprit et de la facilité de mes mœurs que par une coutume d'être repris:
car les moindres, ou de condition, ou de merite ont ceſte permiſsion ſans me faſcher, ceſte patience de ſouffrir tant de reprimẽdes, me donne biẽ l’importunité d’en receuoir ſouuët d’iniuſtes, mais i’en tire auſſi l’aduantage de recognoistre beaucoup de choſes qu’on blaſme bien à propos.	car les moindres, ou de condition, ou de mérite ont cette permission sans me fâcher, cette patience de souffrir tant de reprimendes, me donne bien l'importunité d'en recevoir souvent d'injustes, mais j'en tire aussi l'avantage de reconnaître beaucoup de choses qu'on blâme bien à propos.
Ce petit ramas de mes dernieres fantaiſies, que ie preſente auiourd’huy, moins pour l’ambition d’accroistre mon honneur, que par la neceſſité de le ſauuer, eſt vne matiere aſſez ample aux Critiques:	Ce petit ramas de mes dernières fantaisies, que sans présente aujourd'hui, moins pour l'ambition d'accroître mon honneur, que par la nécessité de le sauver, est une matière assez ample aux Critiques:
mais puis que ce n’eſt pas vn crime que de faire des mauuais vers, Ie ſuis des-ia tout conſolé de la honte des miens.	mais puis que ce n'est pas un crime que de faire des mauvais vers, Je suis déjà tout consolé de la honte des miens.
Si Dieu me faiſoit iamais la grace de traitter des matieres Sainctes, comme mon employ ſeroit plus digne, mon trauail ſeroit plus ſoigneux, et quoy qui me puiſſe auiourd’huy reüſſir de fauorable pour vn ouurage ſi peu estudié, ie ne m'en flatteray pas beaucoup, car ie ſçay bien qu'vn iourie me roponmiufuece loiſir que ie deuois donner à quelque choſe de meilleur, & d’vne raiſon plus meure, conſiderant les folies de ma ieuneſſe ſeray bien ayſe d’auoir mal trauaillé en vn ouurage ſuperflu,& de m'eſtre mal acquité d’vne occupation nuiſible.	Si Dieu me faisait jamais la grâce de traiter des matières Sainte, comme mon emploi serait plus digne, mon travail serait plus soigneux, et quoi qui me puisse aujourd'hui réussir de favorable pour un ouvrage si peu étudié, je ne m'en flatterai pas beaucoup, car tu sais bien qu' à me roponmiufuece loisir que je devais donner à quelque chose de meilleur, et d'une raison plus meure, considérant les folies de ma jeunesse serai bien aise d'avoir mal travaillé en un ouurage superflu de m'être mal acquité occupation nuisible.
OEVVRES DE THEOPHILE.	OEUVRES DE -THÉOPHILE.
PREMIERE IOVRNEE.	PREMIÈRE IOURNE.
CHAPITRE I.	CHAPITRE I.
ELEGANCE ordinaire de nos Eſcriuains eſt à plus pres ſelon ces termes.	ÉLÉGANCE ordinaire de nos Écrivains est à plus pré lon ces termes.
L'AVRORE toute d’or & d’azur, brodée de perles & de rubis, paroiſſoit aux portes de l’Orient, les Eſtoilles eſbloüies d’vne plus viue clarté, laiſſoient effacer leur blancheur, & deuenoiẽt peu à peu de la couleur du Ciel, les beſtes de la queſte reuenoient aux bois, & les hommes à leur trauail, le ſilence faiſoit place au bruit, & les tenebres à la lumiere.	L'AURORE toute d'or et d'azur, brodée de perles et de rubis, paraissait aux portes de l'Orient, les Étoilles esbloüies d'une plus vive clarté, laissaient effacer leur blancheur, et devenaient peu à peu de la couleur du Ciel, les bêtes de la quête revenaient aux bois, et les hommes à leur trauail, le silence faisait place au bruit, et les ténèbres à la lumière.
Et tout le reſte que la vanité des faiſeurs de Liures, fait eſclatter à la faueur de l’ignorance publique, rent eſtoient nouueaux, & nous en faiſons tous les iours de vieux.	Et tout le reste que la vanité des faiseurs de Livres, fait éclater à la faveur de l'ignorance publique, rent étaient nouveaux, et nous en faisons tous les jours de vieux.
L’inuocation des Muſes à l’exemple de ces Payens eſt profane pour nous & ridicule.	L'invocation des Muses à l'exemple de ces Païens est profane pour nous et ridicule.
RONSARD pour la vigueur de l’eſprit, & la nuëimaginatiõ a mille choſes cõparables à la magnificence des anciens Grecs & Latins, & à mieux reüſſi à leur reſſembler qu’alors qu’il les a voulu traduire, & qu’il a pris plaiſir à les contrefaire, comme en ce Cythereã, Patarean, par qui le trepied Tymbrean.	RONSARD pour la vigueur de l'esprit, et la nueimagination a mille choses comparables à la magnificence des anciens Grecs et Latins, et à mieux réussi à leur ressembler qu'alors qu'il les a voulu traduire, et qu'il a pris plaisir à les contrefaire, comme en ce Cythereã, Patarean, par qui le trepied Tymbrean.
Il ſemble qu’il ſe vueille rendre incognu pour paroiſtre docte, & qu’il affecte vne fauſſe reputation de nouueau, & hardy Eſcriuain.	Il semble qu'il se veuille rendre inconnu pour paraître docte, et qu'il affecte une fausse réputation de nouveau, et hardi Escriuain.
Dans ces termes eſtrangers, il n’eſt point intelligible pour François.	Dans ces termes étrangers, il n'est point intelligible pour Français.
Ces extrauagances ne font que deſgouſter les ſçauãts, & eſtourdir les foi20 OEVVRES bles.	Ces extravagances ne font que dégoûter les savants, et étourdir les foi20 OEUVRES blés.
On appelle ceſte façon d’vſurper des termes obſcurs & impropres, les vns barbarie, & rudeſſe d’eſprit, les autres Pedãterie & ſuffiſance.	On appelle cette façon d'usurper des termes obscurs et impropres, les uns barbarie, et rudesse d'esprit, les autres Pedãterie et suffisance.
Pour moy ie croy que c’eſt vn reſpect & vne paſſiõ que Ronſard auoit pour ces anciens à trouuer excellent tout ce qui venoit d’eux, & chercher de la gloire à les imiter par tout.	Pour moi ie cy que c'est un respect et une passions que Ronsard avait pour ces anciens à trouver excellent tout ce qui venait d'eux, et chercher de la gloire à les imiter par tout.
Ie ſçay qu’vn Prelat hõme de bien eſt imitable à tout le monde.	Je sais qu'un Prélat homme de bien est imitable à tout le monde.
Il faut eſtre chaſte, cõme luy charitable, & ſçauãt qui peut, mais vn courtiſan pour imiter ſa vertu n’a que faire de prẽdre, ny le viure, ny les habillemens à ſa ſorte, il faut comme Homere faire bien vne deſcriptiõ:	Il faut être chaste, comme lui charitable, et savant qui peut, mais un courtisan pour imiter sa vertu n'a que faire de prendre, ni le vivre, ni les habillements à sa sorte, il faut comme Homère faire bien descriptions:
mais nõ point par ſes termes, ny par ſes Epithetes, il faut eſcrire comme il a eſcrit, mais non pas ce qu’il a eſcrit.	mais nom point par ses termes, ni par ses Épithètes, il faut écrire comme il a écrit, mais non pas ce qu'il a écrit.
C’eſt vne deuotion loüable, & digne d’vne belle ame, que d’inuoquer au cõmencemẽt d’une œuure des puiſſances ſouueraines:	C'est une dévotion louable, et digne d'une belle âme, que d'invoquer au commencement d'une œuvre des puissances souveraines:
mais les Chreſtiẽs n’ont que faire d’Apollon ny des Muſes, & nos Vers d’aujourd’huy, qui ne ſe chantẽt point ſur la Lire, ne ſe doiuent point nõmer Liriques, non plus que les autres heroïques, puis que nous ne sõmes plus au temps des Heros, & toutes ces ſingeries ne sõt ny du plaiſir ny du profit d’vn bon entẽdement.	mais les Chrestiẽs n'ont que faire d'Apollon ainsi des Muses, et nos Vers d'aujourd'hui, qui ne se chantẽt point sur la Lire, ne se doivent point nommer Liriques, non plus que les autres héroïques, puis puisque nous ne sommes plus au temps des Héros, et toutes ces singeries ne sommes du plaisir ni du profit d'un bon entendement.
Il eſt vray que le deſgouſt de ces ſuperfluitez no' a fait naiſtre vn autre vice, car les eſprits foibles que l’amorce du pillage auoit iettez dãs le meſtier des Poëtes, de la diſcretion qu’ils ont euë d’éuiter les extrémes redictes, deſia rebattuës par tãt de ſiecles, ſe sõt trouuez dãs vne grãde ſterilité, & n’eſtãs pas d’eux meſme aſſez vigoureux, ou aſſez adroits pour ſe -- 2P OEVVRES ſeruir des obiects qui ſe preſentent à l’imagination, ont creu qu’il n’y auoit plus rien dans la Poëſie que matiere de proſe, & ſe ſont perſuadez que les figures n’en eſtoient point, & qu’vne metaphore eſtoit vne extrauagance, mais comme i’auois dit il eſtoit iour.	Il est vrai que le dégoût de ces superfluités n' a il naître un autre vice, car les esprits faibles que l'amorce du pillage avait jetés dans le métier des Poètes, de la discrétion qu'ils ont eue d'éviter les extrêmes redictes, déjà rebattues par tãt de siècles, se sõt trouvez dans une grande sterilité, et n'étaient pas d'eux pas assez vigoureux, ou assez adroits pour se -- 2P OEUVRES servir des objet qui se présent à l'imagination, ont creu qu'il n'y avait été rien dans la Poësie que matière de prose, et se sont persuadez que les figures nen estoient point, et a ty extrauagance, mais comme auois dit il estoit iour.
Or ces digreſſions me plaiſent, ie me laiſſe aller à ma fantaiſie, & quelque penſée qui ſe preſente, ie n’en deſtourne point la plume, Ie fais icy vne conuerſation diuerſe & interrompuë, & non pas des leçons exactes, ny des oraiſons auec ordre, ie ne ſuis ny aſſez docte, ny aſſez ambitieux pour l’entreprendre.	Or ces digressions me plaisent, Seigneur me laisse aller à ma fantaisie, et quelque pensée qui se présente, Seigneur n'en détourne point la plume, Je fais ici une conversation diuerse et dive, et non pas des leçons exactes, ni des oraisons avec ordre, ieans suis ni assez docte, ni assez ambitieux pour l'entreprendre.
Mon liure ne pretend point d’obliger le Lecteur, carſon deſſein n’eſt pas de le lire pour m’obliger, & puis qu’il luy eſt permis de me blaſDMRAMOTMILE.	Mon livre ne prétend point d'obliger le Lecteur, carson dessein n'est pas de le lire pour m'obliger, et puis qu'il lui est permis de me blâDMRAMOTMILE.
23 mer, qu’il me ſoit permis de luy déplaire.	23 mer, qu'il me soit permis de lui déplaire.
CHAPITRE II.	CHAPITRE II.
3.	3.
E iour là, comme le Ciel fut ſerain, mon eſprit ſe trouua guay, la diſpoſition de l’air ſe cõmunique a mon humeur, quelque diſcours qui s’oppoſe à ceſte neceſſité, le temperament du corps force les mouuemens de l’ame.	E jour là, comme le Ciel fut serain, mon esprit se trouva guai, la disposition de l'air se communique à mon humeur, quelque discours qui s'oppose à cette nécessité, le tempérament du corps force les mouvements de l'âme.
Quand il pleut, ie ſuis aſſoupy & preſque chagrin, lors qu’il fait beau, ie trouue toute ſorte d’obiects plus agreables;	Quand il pleut, ie suis assoupi et presque chagrin, lors qu'il fait beau, toujours trouve toute sorte d'objets plus agréables;
Les arbres, les baſtiments, les riuieres, les elements paroiſſent plus beaux dans la ſerenite, que dans l’orage, ie cognoy qu’au changement du Climat mes in.	Les arbres, les bâtiments, les rivières, les éléments paraissent plus beaux dans la sérénité, que dans l'orage, ie ognoi qu'au changement du Climat mes in.
clinations s’alterent, ſi c’eſt vn défaut il eſt de la nature, & non pas de mon naturel.	clinations s'altèrent, si c'est un défaut il est de la nature, et non pas de mon naturel.
Ayant paſſé l’heure ordinaire de mon ſommeil, ie me leuay, & m’approchant du lict de Sidias, comme ie tirois ſon rideau il s’eſueilla en ſurſaut, Per Deum atque hominum fidem, me ditil, laiſſez moy dormir, i, ay paſſé la moitié de la nuict apres ceſt intrigo de modalibus, & ce forgeron que vous oyez la bas a continué ceſte ſonnerie depuis deux heures apres minuit Clitipho n’a ſceu repoſer non plus que moy, il ne fait que ſortir de voſtre chambre, & s’eſt fort eſtonné de vous voir dormir ſi profondement, Auſſi-toſt que ie fus habillé:	Ayant passé l'heure ordinaire de mon sommeil, Madame me leuay, et m'approchant du litôt de Sidias, comme tu tirais son rideau il s'éveilla en sursaut, Per Deum atque hominum fidem, me ditil, laissez moi dormir, y' ai passé la moitié de la nuit après cest intrigo de modalibus, et ce forgeron que vous oyez la bas a continué cette sonnerie depuis deux heures après minuit Clitipho n'a su reposer non plus que moi, il ne fait que sortir de votre chambre, et s'est fort étonné de vous voir m si profondément, Aussi-tôt vou ie fus habillé:
ie paſſay dans la châbre de Clitipho, qui d’abord s’eſcria vers moy:	Ce passai dans la chambre de Clitipho, qui d'abord s'écria vers moi:
Eſt-il poſſible que vous ayez dormy ſi à repos dãs vn - affliction ſi recẽte, vous ne fuſtes banny que d’hier, & vous voila deſia guery de ceſte peine, c’eſt auoir les ſentimẽts bien farouches ou bien hebetez.	Est-il possible que vous ayez dormi si à repos dans un ès affliction si recette, vous ne fûtes banni que d'hier, et vous voilà déjà guéri de cette peine, c'est avoir les sentiments bien farouches ou bien hébétez.
Ce qui ne me touche, luy dis-je, ny le corps, ny l’ame, ne me donne point de douleur, ie me porte Dieu mercy aſſez bien de l’vn & de l’autre, ſi les bãniſſements faiſoient effort à quelqu’vn des ſens tu me verrois atteint de tous les deſplaiſirs dont la nature, & la raiſonſont capables:	Ce qui ne me touche, lui dis-je, ni le corps, ni l'âme, ne me donne point de douleur, ie me porte Dieu merci assez bien de l'un et de l'autre, si les bãnissements faisaient effort à quelqu'un des sens tu me verrais atteint de tous les déplaisirs dont la nature, et la raisons capables:
ie ne reſiſte point par Philoſophie aux atteintes du malheur, car c’eſt accroiſtre ſon iniure, &tout le cobat que le diſcours fait contre la triſteſſe, la rẽgrege sãs doubte & la prolonge:	Ce ne résiste point par Philosophie aux atteintes du malheur, car c'est accroître son injure, ettout le cobat que le discours fait contre la tristesse, la rẽgrege fus doute et la prolonge:
ſi ie m’apperceuois que i'euſſe du maltu me verrois bientoſt ſouſpirer:	si ici m'aperçu que j'eusse du maltu me verrais bientôt soupirer:
mais ie ne ſçaurois prẽdre l’apparẽce pour l’effect ny ---- ----- --- 20 la menace pour le coup, Ceſte diſgrace n’eſt que paroles qui ne sõt que vẽt.	mais je ne saurais prendre l'apparence pour l'effect affection -à- -- -- 20 la menace pour le coup, Cette disgrâce n'est que paroles qui ne sõt que vẽt.
On ma chaſſé de la Cour ou ie n’auois que faire, ſi on me preſſe encore à ſortir de France, quelque part de l’Europe ou ie veuille aller, mon nom m’y a fait des cognoiſſances.	On ma chassé de la Cour ou ainsi n'avais que faire, si on me presse encore à sortir de France, quelque part de l'Europe ou il veuille aller, mon nom m'y a fait des connaissances.
Ie me ſçais facilement accommoder à toute diuerſité de viures & d’habillemẽts, les Climats & les hommes me ſont indifferents:	Je me sais facilement accommoder à toute diversité de vivres et d'habillements, les Climats et les hommes me sont indifférents:
i’ay l’eſprit & le corps à la fatigue.	j'ai l'esprit et le corps à la fatigue.
Mais touſiours ſerez vous eſtranger & receu dans la ſocieté des autres auec moins de familiarité & d’honneur:	Mais toujours serez -vous étranger et reçu dans la société des autres avec moins de familiarité et d'honneur:
Celuy disje qui priſe moins la faueur des hommes & l’aduantage de la fortune que ſa propre vertu, ſe trouue peu empeſché de ces incõmoditez ordinaires.	Celui disje qui prise moins la faveur des hommes et l'avantage de la fortune que sa propre vertu, se trouve peu empêché de ces inconmodités ordinaires.
Si eſt-ce, diſoit Clitipho, que ce ſera vn exil, & vn hõneſte homme ne doit pas eſtre indifferent à l’infamie:	Si est-ce, disait Clitipho, que ce sera un exil, et un hommes homme ne doit pas être indifférent à l'infamie:
