M.	M.
Ie l'ay dans mon eſprit & de nuit & de jour, Il traverſe mon cœur des traits de ſon amour, M interdit tous les ſens, & mon œil qui me trompe, Me le montre éc’atant de gloire & de pompe, Victorieux du More, & lui donnant des lois, Nous mener en caprifs ſes Princes & ſes Roys, Recevoir leur couronne, & triomphant ſe rendre Au faiſte de la gloire où fon vit Alexaudre, Tyran de mes deſirs, ſerpent couvert de fleurs, Qui me tient à la chaiſne, & te ris de mes pleurs, Amour le ſeul auteur du mal qui me poſſede Tu me fais la douleur, & m’ôtes le remede, Et martyrant mon cœur de ta douce priſon, Tes charmes ſont plus forts que ceux de la raiſon.	Je l'ai dans mon esprit et de nuit et de jour, Il traverse mon cœur des traits de son amour, M interdit tous les sens, et mon œil qui me trompe, Me le montre éc'attant de gloire et de pompe, Victorieux du More, et lui donnant des lois, Nous mener en caprifs ses Princes et ses Roys, Recevoir leur couronne, et triomphant se rendre Au te de la gloire où son vit Alexaudre, Tyran de mes désirs, serpent couvert de fleurs, Qui me tient à la chaîne, et te ris de mes pleurs, Amour le seul auteur du mal qui me possse Tu me fais la ur, et m'ô le remède, Et m' on cœur de ta douce prison, Tes charmes et plus forts que ceux de la m.
LEONOR miudenie, on ne voit pas que perſonne ſoûpire Aux lieux où cette Reyne établit ſon empire.	LEONOR miudénie, on ne voit pas que personne soupire Aux lieux où cette Reine établit son empire.
Vous prenez pour raiſon un lache aveuglement Qui trahit votre honneur & votre ſentiment.	Vous prenez pour raison un lâche aveuglement Qui trahit votre honneur et votre sentiment.
Conſultez avec elle avant que d’entreprendre, Et vous triompherez ao tied ue vous défendre, Que votre Majeſté daigne me pardonner, Allet contre l'honneur ce n’eſt pas raiſonner.	Consultez avec elle avant que d'entreprendre, Et vous triompherez a tied ue vous défendre, Que votre Majesté daigne me pardonner, Allet contre l'honneur ce n'est pas raisonner.
L'INFANTE Leonor, cet honneur & Ieclat de ſes gloires Ont ajoüté mon eœur au rang de ſes victoires.	L'INFANTE Leonor, cet honneur et Jeclat de ses gloires Ont ajouté mon eœur au rang de ses victoires.
L’ont mis dans mon eſprit, & ce doux ſemiment D’un geneteux vainqueur m'en a fait un amant, Mes yeux ſes partiſans m’en firent vne idole, Et quand ie le de ſire, un autre me le vole, Et par l’injuſte ſort d’un cœur inforiuné, Mon Pere m'a ravi ce qu’amour m’a donré, Rigoureux frein d’honneur qui choque ma conſtarce, De l’inéglalité de rang & de naiſſance, Que peux-tu reprocher en ta ſevere loy Qui terniſſe ma gloire, & offenſe le Roy:	L'ont mis dans mon esprit, et ce doux semiment D'un geneteux vainqueur m'en a fait un amant, Mes yeux ses partisans m'en firent une idole, Et quand on le de sire, un autre me le vole, Et par l'injuste sort d'un cœur inforiuné, Mon Père m'a ravi ce qu'amour m'a donré, Rigoureux frein d'honneur qui choque ma constarce, De l'inéglalité de rang et de naissance, Que peux-tu reprocher en ta se trouva Se trouvère l' amour, et offense le Roi:
Ce qui manque à ſon ſang, ſa valeur le lui donne, Qui triomphe des Roys peut porter leurs Couronnes.	Ce qui manque à son sang, sa valeur le lui donne, Qui triomphe des Rois peut porter leurs Couronnes.
Il en a vaincu deux, & le More a tout dit;	Il en a vaincu deux, et le More a tout dit;
C’eſt le nommet ſon Roy, que l'appellet ſon CID, Il partage déja leurs Sceptres & leurs Provinces.	C'est le nommet son Roi, que l'appellet son CID, Il partage déjà leurs Sceptres et leurs Provinces.
On s’acquieit le Royaume en captivant ſes Princes.	On s'acquieit le Royaume en captivant ses Princes.
Leur Couronne eſt acquiſe à ce vaillant Guerriet, Il en peut porter dor comme il fait de laurier.	Leur Couronne est acquise à ce vaillant Guerriet, Il en peut porter dor comme il fait de laurier.
Et marchant ſot les pas & le rang de Pompée.	Et marchant sot les pas et le rang de Pompée.
Tenir un Sceptre en main égal à ſou épée, Et faire un ſeul Royaume en ſes explous divers, Qui commar de aux Etats de tout cet Vnivers, Et que peur la Caſtille à ma gloire redire, Si j’ayme le Heros qui maintient ſon Empire?	Tenir un Sceptre en main égal à sou épée, Et faire un seul Royaume en ses explous divers, Qui commar de aux États de tout cet Univers, Et que peur la Castille à ma gloire redire, Si j'aime le Héros qui maintient son Empire?
Ma flame eſt legitime, & mon affection Fait voir mon jugement en cette éle ction.	Ma flamme est légitime, et mon affection Fait voir mon jugement en cette éle ction.
Qu'en dis tu Leonor, quoy que vieille chenuë;	Qu'en dis tu Leonor, quoi que vieille chenue;
Prononce un ſentiment d'une ame toute nuë, Raiſonne à cœur ouvert, donne en ton jugement Vn aveu pour ma flame.	Prononce un sentiment d'une âme toute nue, Raisonne à cœur ouvert, donne en ton jugement Un aveu pour ma flamme.
O Dieux?	Ô Dieux?
quel mouvement!	quel mouvement!
LEONOR	LEONOR
2 N'en parlez pas, Madame, une ſi noire flame Tacheroit votre honneur auſſi bien que votre ame, Rejettez cet objet de votre ſouvenir, Le crime en eſt honteux & ſujet à puuir Votre rang le défend, la gloire s’intereſſe De voir qu’un Cavalier caprive une Princeſſe.	2 N'en parlez pas, Madame, une si noire flamme Tacherait votre honneur aussi bien que votre âme, Rejettez cet objet de votre souvenir, Le crime en est honteux et sujet à puvir Votre rang le défend, la gloire s'intéresse De voir qu'un Cavalier caprive une Princesse.
Amour ne fait ces coups que contre des eſprirs Qui vivent dans la honte & ſont daus le mépris:	Amour ne fait ces coups que contre des éprirs Qui vivent dans la honte et sont daus le mépris:
Faites que le dédain triomphe de ces charmes, Eteignez ces ardeurs avec l’eau de vos larmes, Et qu’une folle erreur & ua faux jugement Faſſent place à labord d’un meilleur ſentiment, L’amour eſt-ce une foudre où votre ame abatuë, Ait perdu la raiſon dans le feu qui la tuë?	Faites que le dédain triomphe de ces charmes, Eteignez ces ardeurs avec l'eau de vos larmes, Et qu'une folle erreur et ouva faux jugement Fassent place à labord d'un meilleur sentiment, L'amour est-ce une foudre où votre âme abattue, Ait perdu la raison dans le feu qui la tue?
Rodrigue eſt à Chimene, & un nœud Gordien Enchaîne leurs deux cœurs daus un méme lien.	Rodrigue est à Chimène, et un nœud Gordien Enchaîne leurs deux cœurs daus un même lien.
Quel droit d'aimer aux lieux où fon ne peur pretendre?	Quel droit d'aimer aux lieux où son ne peur prétendre?
Et que le Roy reçoive un vaſſal pour ſon Gendre?	Et que le Roi reçoive un vassal pour son Gendre?
Et que la Sœur du Prinee arrive à ce bonheur D’épouſer un ſoldat Fils de ſon Gouverneur.	Et que la Sœur du Prine arrive à ce bonheur D'épouser un soldat Fils de son Gouverneur.
Cela tient du prodige, & votre ame bleſée Doit banir cet objet du fond de ſa penſée, Faire un plus grand deſſein, & de n’avoir des yeux Que pour renare amoureux ou les Roys ou les Dieux.	Cela tient du prodige, et votre âme blesée Doit bannir cet objet du fond de sa pensée, Faire un plus grand dessein, et de n'avoir des yeux Que pour renare amoureux ou les Rois ou les Dieux.
Le Roy de Dannemare a ſa flame allumée Des charmes raviſſans de voire renommée, Vous verrez ſa recherche, & gardez des appas Pour ravir des Monarques, & non pas des Soldats.	Le Roi de Dannemare a sa flamme allumée Des charmes ravissants de voire renommée, Vous verrez sa recherche, et gardez des appas Pour ravir des Monarques, et non pas des Soldats.
L'INFANTE Diſcours injurieux !	L'INFANTE Discours injurieux !
implacable Megere, Oui vtomis ues diſcours que l'enfer te ſuggere, Eſt-ce ainſi qu’aux malheurs tes ſoins me ſont offerts, Et que tu viens briſer mes chaiſnes & mes fers?	implacable Mégère, Oui vtomis discours que l'enfer te sugère, Est-ce ainsi qu'aux malheurs tes soins me sont offerts, Et que tu viens briser mes chaînes et mes fers?
Adoueir mes langueurs & termiuer mes peines Avecque des raiſons auſſi fauſſes que vaines?	Adouir mes langueurs et termiver mes peines Avec des raisons aussi fausses que vaines?
Se ſerteon de lorage à cauier les cpritorm Peut-on guerir un mai avecque du mépris?	Se serteon de lorage à cavier les cpritorm Peut-on guérir un mai que du mépris?
Faire un raiſonnement étant dans la manie, Et traiter un malade avec la tyrannie, Ingrate radoreuſe avec tes ſots diſcours, Tu redouble mes feux avecque mes amours:	Faire un raisonnement étant dans la manie, Et traiter un malade avec la tyrannie, Ingrate radoreuse avec tes sots discours, Tu redouble mes feux avec mes amours:
Parle mieux de Rodrigue, & crois que ſon courage A fait d’un Cavalier un Heros de notre àge, Et que ſa renommée & ſes faits immortels Auront un jour un Temple avecque mille Autels:	Parle mieux de Rodrigue, et crois que son courage A fait d'un Cavalier un Héros de notre âge, Et que sa renommée et ses faits immortels Auront un jour un Temple avec mille Autels:
Mais pendant que ma flamme auſſi chaſte que grande Lui couſerve ma vie & mon cœur en ontande;	Mais pendant que ma flamme aussi chaste que grande Lui couserve ma vie et mon cœur en ontande;
Demande-lui pardon, & les lar mes aux yeux Donne.	Demande-lui pardon, et les lar mes aux yeux Donne.
lui de l'enſens comme Ion fait aux Dieux.	lui de l'ends comme Ion fait aux Dieux.
LEONOR Ma lame, pardonnez aux ferveurs de mon zele, Qui flate cette erreur ne vous eſt pas ſidele, Aprés tant de ſoûpirs qui vous ſechent les os, Dounez treuve à voire ame & vivez en repos.	LEONOR Ma lame, pardonnez aux ferveurs de mon zèle, Qui flatte cette erreur ne vous est pas sidele, Après tant de soupirs qui vous sèchent les os, Dougnez trouve à voire âme et vivez en repos.
LE PAGE Qu'amour eſt triomphant & ſa flame feconde, Puiſqu’il brûle les Dieux auſfi-bien que le monde?	LE PAGE Qu'amour est triomphant et sa flamme féconde, Puisqu'il brûle les Dieux aussi-bien que le monde?
En aveuglant notre ame il nous tient ſous ſa loy, Et fat d’une Bergere une Femme de Roy:	En aveuglant notre âme il nous tient sous sa loi, Et fat d'une Bergère une Femme de Roi:
On en voit maintenant une preuve évidente De lamour de Rodrigue & des feux de l’Infapte, Pour moy ?	On en voit maintenant une preuve évidente De lamour de Rodrigue et des feux de l'Infapte, Pour moi ?
j’aime bien mieux, n’eu déplaiſe au renom, Moun d'untrait d amui, que dun coup de canon.	j'aime bien mieux, n'eu déplaise au renom, Moun d'untrait d amuï, que dun coup de canon.
SCENE II.	SCÈNE II.
CHIMENE, ELVIRE.	CHIMENE, ÉLVIRE.
ELVIRE Ieux quels eſprits flollets entens-ie dans la nuit?	ELVIRE Ieux quels esprits flollets entends-je dans la nuit?
U Qui troublent mon ſi ence, & m’é veillent du bruit Qu'ils font à tous momens dans la chambre du Comte;	V Qui troublent mon si ence, et m'é veillent du bruit Qu'ils font à tous moments dans la chambre du Comte;
La fayeur me ſaiſit auſſi-toſt que i'y monte.	La fais me saisit aussitôt que j'y monte.
Vn friſon tremblotant de foibleſſe & de peur, Heriſſe mes cheveux & me glace le cœur.	Un frison tremblotant de faiblesse et de peur, Hérisse mes cheveux et me glace le cœur.
Parfois plus reſoluë, préte à ne rien craindre, I’entens parler, j'y cours, & ne puis rien atteindre, Et cette triſte voix en ſon begaïement Ne me laiſſe aprés tout qu'un ſeul étonnement, Méreint le plus ſouvent le flambeau qui m'eclaire:	Parfois plus résolue, préte à ne rien craindre, J'entends parler, j'y cours, et ne puis rien atteindre, Et cette triste voix en son begaïement Ne me laisse après tout qu'un seul étonnement, Mèreint le plus souvent le flambeau qui m'éclaire:
Madame, hé qu’eſt-cel á?	Madame, hé qu'est-cel 7?
CHIMENE C’eſt IOmbre de man Pere Qui ehingent nos plaiſirs en de triſtes douleurs, Nous predit notre perte avecque nos hamcers, Le retour de mon Frete.	CHIMENE C'est JOmbre de man Père Qui ehingent nos plaisirs en de tristes douleurs, Nous prédit notre perte avec nos hamcers, Le retour de mon Frère.
ELVIRE	ELVIRE
CHIMENE Son objet me travaille & ſa plainte me tuë, Ce ne ſont que ſoupirs, ce ne ſont que regrets, Ie crains que nos lautiers ne ſe changent en cyptés.	CHIMENE Son objet me travaille et sa plainte me tue, Ce ne sont que soupirs, ce ne sont que regrets, Je crains que nos lautiers ne se changent en cyptés.
Hier que le Soleil avoit fini ſa ronde, D'un voile tenebreux embruniſſoit le monde.	Hier que le Soleil avait fini sa ronde, D'un voile ténébreux embrunissait le monde.
Révant dedans ſa chambte aprés ie ne ſçay quoy, Contte ſon cabinet il ſe preſente à moy Vn petit vent, un broit, un ſuaire, une plainte, Aſſaillent mon eſprit & de deüil & de etainte;	Révant dedans sa chambte après avoir ne sais quoi, Contte son cabinet il se présent à moi Un petit vent, un broit, un suaire, une plainte, Assaillent mon esprit et de deüil et de étainte;
L’effroy ſaiſit mon ame, & ce drap à mes yeux Donnoit quelque candeur parmy ces ſombres lieux;	L'effroi saisit mon âme, et ce drap à mes yeux Donnait quelque candeur parmi ces sombres lieux;
Ie vnvois dans fombrage une petite nue.	Je unvais dans sombrage une petite nue.
Dont la ſombre blancheur n'étoit pas reconnuë.	Dont la sombre blancheur n'était pas reconnue.
Ma vuë eſt en défaut;	Ma vue est en défaut;
mais écoutant parfois.	mais écoutant parfois.
Ce ſuaire rendoit une plaintive voix;	Ce suaire rendait une plaintive voix;
voir que le teconnus auſſi nette & ſi claire Comme me lexprimoit la bouche de mon Pere, Lots qu’il m’entretenoit attendant ſon retour, Du deſtin de mon Frere & de ſon long ſejour, Et pendant que j’écoute & retiens ma patole, l'éntens une voix caſſte u plamede derteieQui touche mon oreille & parlant baſſement, Sembloit en loûpirent ſortir du monument.	voir que le teconnus aussi nette et si claire Comme me lexprimait la bouche de mon Père, Lots qu'il m'entretenait attendant son retour, Du destin de mon Frère et de son long séjour, Et pendant que j'écoute et retiens ma patole, l'entends une voix casste plamede derteieQui touche mon oreille et parlant bassement, Sembloit en loûpirent sortir du monument.
ELVIRE	ELVIRE
O Dieux!	Ô Dieux!
que diſoit-elle?	que disait-elle?
CHIMENE Ajoûte, ame perfide, Ajoûte à tes pechés celui de patricide;	CHIMENE Ajoute, âme perfide, Ajoute à tes péchez celui de patricide;
Fais que les accidens te ſoient indifferens, Commence par ton Pere à meurtrir tes parens;	Fais que les accidents te soient indifférents, Commence par ton Père à meurtrir tes parents;
Prens en main baiſe encor cette fuueſte épee Qu’on a dedans mon ſang ſi lachement trempée, Défaire un ennemi ſur la terre abaru, C’eſt un coup de fureur, & non pas de vertu;	Prends en main baise encor cette fueste épée Qu'on a dedans mon sang si lâchement trempée, Défaire un ennemi sur la terre abaru, C'est un coup de fureur, et non pas de vertu;
Il eſt digne de blame, & non pas de gloire, Son laurier eſt honteux autant que ſa victoire.	Il est digne de blâme, et non pas de gloire, Son laurier est honteux autant que sa victoire.
Par un achopement j ay gliſe ſut les pas, Et recu toui ſoudain le coup de man trépss.	Par un achopement j ai glise sut les pas, Et reçu toui soudain le coup de man trépss.
Rodrigue infortuné, j’aurois fait de tes reſtes, Et préveou d’un coup des amours ſi funeſtes:	Rodrigue infortuné, j'aurais fait de tes restes, Et préveou d'un coup des amours si funestes:
Mais ie laiſſe à mon Comre avec un meilleur ſort, A diſpurer ta vie & à vanger ma mort.	Mais était laisse à mon Comre avec un meilleur sort, A dispurer ta vie et à venger ma mort.
Sçache que cet Enfant tient du ſang de ſon Pere, Et qu’il faut que ta perte éteigne ſa colere,  Que les plus genereux tedoutent ſa valeur, Et qu’il vient pour venger ma perte & mon malheur, Qoy que courant les Mers contre les Infidelles, Deux luſtres ſoient paſſez ſans en avoir nouvell s, Les Dieux en foient loüez puiſquils me lons rendu;	Sache que cet Enfant tient du sang de son Père, Et qu'il faut que ta perte éteigne sa colère, Que les plus généreux tedoutent sa valeur, Et qu'il vient pour venger ma perte et mon malheur, Qoi que courant les Mers contre les Infidèles, Deux lustres soient passez sans en avoir nouvel s, Les Dieux en fi loüez puisquils me lons rendu;
L quil apit feparer l’honneut que j’ay petdu, Mon domaine l'arrend & Rodrigue à ſa honte, Sçaura juſqu’ou s’ésend la valeur de ce Comte.	L' il apit séparer l'honnut que j'ai petu, Mon domaine l'arrend et Rodrigue à sa honte, Saura jusqu'ou s'ésend la valeur de ce Comte.
Voila ma chere Eluire, uu diſcours bien nouye au Qui martyre mon ame & me met au tombeau.	Voilà ma chère Elvire, u discours bien nouye au Qui martyre mon âme et me met au tombeau.
–	
ELLIRE La s’il venoir Madame, auroir-il lien de prendre Le Comie de Gormas ſans le pouvoir, défendre?	ELLIRE La s'il venoir Madame, auroir-il lien de prendre Le Comie de Gormas sans le pouvoir, défendre?
Ha!	Ha!
non, laiſſons des moris les diſcours ſuperflus, Ie corps meurt, Ieſprit part, & ne rerey ue plus:	non, laissons des moris les discours superflus, Je corps meurt, Jésprit part, et ne recréi ue plus:
Ie donne ces penſers à la melancolie, Les dire c’eſt menſonge, & les croire folie, vutre Pere n'er plus jui votre frere auſſi, Vivons dans les plaiſirs, & chaſſons le ſouey	Je donne ces pensers à la mélancolie, Les dire c'est mensonge, et les croire folie, vutre Père n'er plus jui votre frère aussi, Vivons dans les plaisirs, et chassons le souéi
OMIMERE Que tu prens peu de ſoin du malheur qui m’afflige?	OMIMERE Que tu prends peu de soin du malheur qui m'afflige?
ELVIRE La playe eſt dangereuſe alors qu’on la neglige;	ÉLVIRE La plaie est dangereuse alors qu'on la néglige;
Mais ce trait dont la peur a votre eſprit bleſſé, M’aſſure que le mal ſera bien toſt paſſé.	Mais ce trait dont la peur a votre esprit blessé, M'assure que le mal sera bien tôt passé.
eHialala Quand on voit éclairer & tonner ſur ſa téte, L on doit apprehender lorage & la tempete.	eHialala Quand on voit éclairer et tonner sur sa tête, L on doit appréhender lorage et la tempette.
ELVIRE C'eſt n’avoir pointde cœur de eroire au mouvement, Vn corps qui n’a point d’ame & de reſſentiment.	ELVIRE C'est n'avoir pointde cœur de eroire au mouvement, Un corps qui n'a point d'âme et de ressentiment.
Rodrigue eſt votre Epous, on ne peur faire un crime D'un ſacré mariage & d’un feu legitime, Et ſi vous lavez pris, e eſt de la main du RoyLaiſſez parler le monde avec la médilance, Où lon prend de lhonneur, on ne fait point d’offence;	Rodrigue est votre Épous, on ne peur faire un crime D'un sacré mariage et d'un feu légitime, Et si vous lavez pris, e st de la main du RoiLaissez parler le monde avec la médilance, Où lon prend de lhonneur, on ne fait point d'offense;
L’amour eſt triomphant, quand il eſt aſſailly, Et qu'avez-vous à craindre en n’ayant point failly.	L'amour est triomphant, quand il est assailli, Et qu'avez-vous à craindre en n'ayant point failly.
CHIMENE Ha, que trop, & le monde, & fombre de mon Pere Font du cœur d une Fille une ame de vipere;	CHIMENE Ha, que trop, et le monde, et fombre de mon Père Font du cœur d une Fille une âme de vipère;
L’ombre me ſuit par tout, & marchant flanc à flanc, Me montre en ſoûpirant & ſes playes & ſon ſange Me parle en ſon ſilence, & triſte me reproche Vn ſentiment de ladre & une ame de roche, Que ma flame eſt un crime, & de voir ſeulement Rodrigue, c’eſt ſeigner ſon cœur au monument.	L'ombre me suit par tout, et marchant flanc à flanc, Me montre en soupirant et ses plaies et son sangée Me le en son silence, et triste me reproche Un sentiment de ladre et une âme de roche, Que ma flamme est un crime, et de voir seulement Rodrigue, c'est seigner son cœur au monument.
Que l’ingrate fortune en ſon double viſage Nouriſſant ſa memoire a trahi ſon courage, Et qu’il revit encor ayant forcé le ſort, De luitendre la vie en depit de la mort:	Que l'ingrate fortune en son double visage Nourrissant sa mémoire a trahi son courage, Et qu'il revit encor ayant forcé le sort, De luitendre la vie en dépit de la mort:
Que les Cieux ont horreur de voir qu’une joürnée Eclaire à ſon ſepulchre & à mon hymenée;	Que les Cieux ont horreur de voir qu'une joürnée Eclaire à son sépulcre et à mon hyménée;
Et qu’un Prince offenſé d’un excés de couroux Du meurtrier de mon Pere en ait fait mon Epoux.	Et qu'un Prince offensé d'un excès de courroux Du meurtrier de mon Père en ait fait mon Époux.
Que lorſque ſon pouvoir vouloit forcer mon ame, Ma perte avoit des pleurs pour éreindre ma ſlame, Que mon deüil s’oppoſoit aux plaiſirs de ſa Cour, Et la force du ſang à celle de Iamour;	Que lorsque son pouvoir voulait forcer mon âme, Ma perte avait des pleurs pour éreindre ma slamme, Que mon deuil s'opposait aux plaisirs de sa Cour, Et la force du sang à celle de Jamour;
Et ce qui plus encor ma conſtance ſurmonte, Qui rengrege ma peine & redouble ma honte, Que j'ay mis en un jour, en aimant ſon boureau, Sa memoire & ſon corps dans le méme tombeau.	Et ce qui plus encor ma constance surmonte, Qui rengrége ma peine et redouble ma honte, Que j'ai mis en un jour, en aimant son boureau, Sa mémoire et son corps dans le même tombeau.
ELVIRE Choſe étrange à loüir, à ce conte, Madame, Le corps doit au ſepulchre, & fait parler ſon ameVotre Pere endormy dans la tombe & le deüil, Pour vous faire une plainte eſt ſorty du cercüeil!	ELVIRE Chose étrange à louir, à ce conte, Madame, Le corps doit au sépulcre, et fait parler son âmeVotre Père endormi dans la tombe et le deuil, Pour vous faire une plainte est sorti du cercueil!
Quelque impoſteur Démon vous a voulu ſeduire, La verité vous parle en la boucbe d’Eluire.	Quelque imposteur Démon vous a voulu séduire, La vérité vous parle en la boucbe d'Elvire.
Laiſſez les Morts aux morts, les Dmons aux enfers, Quittez e:	Laissez les Morts aux morts, les Dmons aux enfers, Quittez e:
tte humeur noire & ſortez de ſes fers, Rejettez ces objets dont vous étes decuë, Et cette illuſion qui vous trompe la vûë.	tte humeur noire et sortez de ses fers, Rejettez ces objets dont vous êtes décue, Et cette illusion qui vous trompe la vue.
C’eſt un ennemi de crainte & de langueur Qui travaille votre ame & trouble votre cœur.	C'est un ennemi de crainte et de langueur Qui travaille votre âme et trouble votre cœur.
Quand lame eſt dans le Ciel aux delices ravie, Elle na plus de foins de vengeance ceu envie, D'enfer on n’en vient pas, & des deux autres lieux Elle n’en ſort jamais que pour aller aux Cieux.	Quand lame est dans le Ciel aux délices ravie, Elle na plus de foins de vengeance ceu envie, D'enfer on n'en vient pas, et des deux autres lieux Elle n'en sort jamais que pour aller aux Cieux.
Dans ce raiſonnement comment ſe peur-il faire, Qu'un ombre vous reproche une ame de vipere?	Dans ce raisonnement comment se peur-il faire, Qu'un ombre vous reproche une âme de vipère?
CITIMENE Cet entretien m'ennuye, & pour en voir le fonds, Il faudroit épuiſer une Mer de raiſous.	CITIMENE Cet entretien m'ennuie, et pour en voir le fond, Il faudrait épuiser une Mer de raisous.
Prens-le pour un prodige ou bien pour des merveilles, I en appelle à témoin mes yeux & mes oreilles.	Prends-le pour un prodige ou bien pour des merveilles, I en appelle à témoin mes yeux et mes oreilles.
L’oreille la plus juſte a de trompeurs appas,	L'oreille la plus juste a de trompeurs appas,
B2 Mais ce que lœil à eu ne le diſpute pas.	B2 Mais ce que lœil à eu ne le dispute pas.
ELVIRE Madame, c’en eſt fait.	ÉLVIRE Madame, c'en est fait.
j'ay le don du filence.	j'ai le don du silence.
Pardonnez à ma langue & a mon ignorance.	Pardonnez à ma langue et à mon ignorance.
SCERE III.	SCE III.
L'INFANTE LEONOR, LE PAGE.	L'INFANTE LEONOR, LE PAGE.
L’INFANIE La fio la raiſon lemporte- ſur Iamour;	L'INFANIE La fio la raison lemporte- sur Iamour;
Le jugement pre ſide & commande à ſon tour, La prudence à lardeur de ma flame ariétée, I’ay perdu le tranſport qui m'avoit emportée, Et voy ſans paſſion que tes divins cor ſeils Sont contre un trait d’amour de puiſſans appareils, I'avois Iſprit demis, & mon ame bleſſée N'adoroit que l'objer de ſa folle penſee.	Le jugement pré side et commande à son tour, La prudence à lardeur de ma flamme ariétée, J'ai perdu le transport qui m'avait emportée, Et vois sans passion que tes divins cor seils Sont contre un trait d'amour de puissants appareils, J'avais Isprit demis, et mon âme blessée N'adorait que l'objer de sa folle pense.
I’oub iois mon honneur pour mon contentement, Et trahiſois ma gloire en aimant cet amant.	J'oubais mon honneur pour mon contentement, Et trahisais ma gloire en aimant cet amant.
Mon cœur en eſt honteux, & mon regret s’exprime Avec mon repentir la tache de mon crime;	Mon cœur en est honteux, et mon regret s'exprime Avec mon repentir la tache de mon crime;
Es ayant balancé ma flame & mon devoir, Ie lui ferme les yeux, & ne le veux plus voir.	Es ayant balancé ma flamme et mon devoir, Je lui ferme les yeux, et ne le veux plus voir.
Que Rodrigue poſſede & adore Chimene, le neu prenuraj jemuionno siour i de hame;	Que Rodrigue possède et adore Chimène, le neu prenurajà jemuionno si jour de hame;
Ces aveugles deſirs témorgnent mon erreut .	Ces aveugles désirs témorgnent mon erreut .
Sa gloire ni ſon nom ne ſont plus dans mon cœur, Et rien que le dédaain maintenant ny demeure, La plus courre folie eſt toûjours la meilleure.	Sa gloire ni son nom ne sont plus dans mon cœur, Et rien que le dédaain maintenant ni demeure, La plus courre folie est toujours la meilleure.
LEONOR ren renargruec tor Prux.	LEONOR ren renargruec tor Prux.
puiſque mes ſentimens Ont touché votre cœur de ſi bous mouvemens, Amour que tes beaux feux dans le cœur de nos Dame Sont de peu de durée & touchent peu leurs ames.	puisque mes sentiments Ont touché votre cœur de si bous mouvements, Amour que tes beaux feux dans le cœur de nos Dame Sont de peu de durée et touchent peu leurs âmes.
Rodrigue la cha rmoit & dardeur & d’appas, Et maintenant ſes yeux ne le connoiſſent pas.	Rodrigue la cha mait et dardeur et d'appas, Et maintenant ses yeux ne le connaissent pas.
SCENE IV.	SCÈNE IV.
