A PARIS,	À PARIS,
& que les deciſions de voſtre jugement ſur tous les Ouurages d’eſprit, ne manquent point d’eſtre ſuiuies par le ſentiment des plus delicats.	et que les décisions de votre jugement sur tous les Ouvrages d'esprit, ne manquent point d'être suivies par le sentiment des plus délicats.
Mais on ſçait auſſi, MONSEIGNEVR, que toutes ces glorieuſes approbations, dont nous nous vantons au Public, ne nous coûtent rien à faire imprimer, & que ce ſont des choſes dont nous diſpoſons comme nous voulons.	Mais on sait aussi, MONSEIGNEUR, que toutes ces glorieuses approbations, dont nous nous vantons au Public, ne nous coûtent rien à faire imprimer, et que ce sont des choses dont nous disposons comme nous voulons.
On ſçait, diſ-je, qu'vne Epitre Dedicatoire dit tout ce qu’il luy plait, & qu’vn Autheur eſt en pouuoir d’aller ſai ſir les Perſonnes les plus Auguſtes, & de parer de leurs grands Noms les premiers feuillets de ſon Liure;	On sais, dis-je, qu'une Épitre Dédicatoire dit tout ce qu'il lui plaît, et qu'un Auteur est en pouvoir d'aller sais sûr es Personnes les plus Augustes, et de parer de leurs grands Noms les premiers feuillets de son Livre;
qu’il a la liberté de s’y donner autant qu’il veut l’honneur de leur eſtime, yauMienercevunta quu nent jamais ſongé à l’eſtre.	qu'il a la liberté de s'y donner autant qu'il veut l'honneur de leur estime, yauMiencevunta quu nent jamais songé à l'être.
Ie n’abuſeray, MONSEIGNEVR, ny de voſtre Nom, ny de vos bontez, pour combattre les Cenſeurs de l’Amphitryon, & m'attribuer vne gloire, que je n’ay pas peuteſtre meritée;	Je n'abuserai, MONSEIGNEUR, ni de votre Nom, ni de vos bontés, pour combattre les Censeurs de l'Amphitryon, et m'attribuer une gloire, que je n'ai pas peutestre méritée;
& je ne prens la liberté de vous offrir ma Comedie, que pour auoir lieu de vous dire, que ie regarde inceſſamment, auec vne profonde veneration les grandes qualitez que vous joignez au ſang Auguſte, dont vous tenez le jour, & que je ſuis, MONSEIGNEVR, auec tout le reſpect poſſible, & tout le zele imaginable, De voſtre Alteſſe Sereniſſime,	et je ne prends la liberté de vous offrir ma Comédie, que pour avoir lieu de vous dire, que ie regarde incessamment, avec quelque profonde vénération les grandes qualités que vous joignez au sang Auguste, dont vous tenez le jour, et que je suis, MONSEIGNEUR, avec tout le respect possible, et tout le zèle imaginable, De votre Altesse Serenissime,
Le tres-humble, tres-obeïſſant, & tres-obligé ſeruiteur.	Le très-humble, très-obeïssant, et très-obligé serviteur.
MOLIERE.	MOLIÈRE.
A i	À y
Extraict du Priuilege du Roy.	Extrait du Privilège du Roi.
Ar la Grace & Priuilege du Roy, donné I à Saint Germain en Laye, le 20.	Ar la Grâce et Privilège du Roi, donné I à Saint Germain en Laye, le 20.
jour de Fevrier 1668.	jour de Février 1668.
Signé, par le Roy en ſon Conſeil Margeret:	Signé, par le Roi en son Conseil Margèret:
Il eſt permis à I.	Il est permis à I.
B.	B.
P.	P.
Moliere, de faire imprimer par tel Libraire ou Imprimeur qu’il voudra choiſir, vne Piece de Theatre de ſa compoſition, intitulée, l’Amphitryon, pendant le temps & eſpace de cinq années entieres & accomplies, à commencer du jour qu’elle ſera acheuée d’imprimer:	Molière, de faire imprimer par tel Libraire ou Imprimeur qu'il voudra choisir, une Pièce de Théâtre de sa composition, intitulée, l'Amphitryon, pendant le temps et espace de cinq années entières et accomplies, à commencer du jour qu'elle sera achevée d'imprimer:
& defenſes ſont faites à tous autres Libraires & Imprimeurs, d’imprimer ou faire imprimer, vendre & debiter ladite Piece, ſans le conſentement de l’Expoſant, ou de ceux qui auront droit de luy;	et défenses sont faites à tous autres Libraires et Imprimeurs, d'imprimer ou faire imprimer, vendre et débiter ladite Pièce, sans le consentement de l'Exposant, ou de ceux qui auront droit de lui;
à peine aux contreuenans de trois mille liures d’amende, conhrederamauunAemprurtea coutreraits, & de tous deſpens, dommages & intereſts, ainſi que plus au long il eſt porté par leſdites Lettres de Priuilege.	à peine aux contrevenants de trois mille livres d'amende, conhrederamauunAemprurtea coutreraits, et de tous dépens, dommages et intérêts, ainsi que plus au long il est porté par lesdites Lettres de Privilège.
Et reuit neut Dn miouruus a cedé & tranſporté ſon droit de Priuilege à IEAN RIBOV, Marenana Libraire à Paris, pour en joüir ſuiuant l’accord fait entr’eux.	Et révit neut D miouruus a cédé et transporté son droit de Privilège à JEAN RIBOU, Marenana Libraire à Paris, pour en jouir suivant l'accord fait entr'eux.
Regiſtré ſur le Liure de la Communauté, ſuiuant l’Arreſt de la Cour de Parlement.	Registré sur le Livre de la Communauté, suivant l'Arrest de la Cour de Parlement.
Achevé d’imprimer pour la premiere fois le 5.	Achevé d'imprimer pour la première fois le 5.
Mars 1668.	Mars 1668.
Av.	Av.
ROY Sur la conqueſte de la E runene corrtres,	ROY Sur la conquête de la E runène corrtres,
E ſont faits inoüis GRAND Roy que tes  victoires;	E sont faits inoüis GRAND Roi que tes victoires;
L’auenir aura peine à les bien conceuoir:	L'avenir aura peine à les bien concevoir:
Et de nos vieux Heros, les pompeuſes Hiſtoires, Ne nous ont point chanté ce que tu nous fais voir.	Et de nos vieux Héros, les pompeuses Histoires, Ne nous ont point chanté ce que tu nous fais voir.
N’atten pas au retour d’vn ſi fameux Ouurage, Des ſoins de noſtre Muſe, vn éelatant homage, Cét exploit en demande, il le faut auouer;	N'atten pas au retour d'un si fameux Ouvrage, Des soins de notre Muse, un éelatant hommage, Cet exploit en demande, il le faut avouer;
Mais nos Chanſons GRAND Rox ne ſont pas ſi-toſt preſtes;	Mais nos Chants GRAND Rox ne sont pas sitôt prêtes;
Et tu mets moins de temps à faire tes cõqueſtes, Qu’il n’en faut pour les bien louer.	Et tu mets moins de temps à faire tes cõquestes, Qu'il n'en faut pour les bien louer.
La Scene eſt à Thébes, deuant la Maiſon d’Amphitryon.	La Scène est à Thébes, devant la Maison d'Amphitryon.
AMPHITRYON, COMEDIE.	AMPHITRYON, COMÉDIE.
PROLOGVE.	PROLOGUE.
MERCVRE ſur vn nuage, LA NVICT, dans vn char traiſné par deux cheuaux.	MERCURE sur un nuage, LA NVICT, dans un char traîné par deux chevaux.
MERCVRE.	MERCURE.
OVT beau charmante nuit;	OUT beau charmante nuit;
daignez F vous arrefrer :	daignez F vous arrefrer :
Il eſt certain ſecours que de vous on deſire:	Il est certain secours que de vous on désire:
Et j’ay deux mots à vous dire, De la part de Iupiter.	Et j'ai deux mots à vous dire, De la part de Jupiter.
LA NVICT.	LA NVICT.
Ah, ah, c’eſt vous Seigneur Mercure;	Ah, ah, c'est vous Seigneur Mercure;
Qui vous eût deuiné-là dans cette poſture?	Qui vous eût deviné-là dans cette posture?
MERCVRE.	MERCURE.
Ma foy, me trouuant las, pour ne pouuoir fournir Aux differens employs où Iupiter m’engage, Ie me ſuis doucement aſſis ſur ce nuage, pour vous attendre venir.	Ma foi, me trouvant las, pour ne pouvoir fournir Aux différents emplois où Jupiter m'engage, Je me suis doucement assis sur ce nuage, pour vous attendre venir.
LA NVICT.	LA NVICT.
Vous vous moquez, Mercure, & vous n’y ſongez pas, oled-Il bien à des Dieux de dire qu’ils ſont las?	Vous vous moquez, Mercure, et vous n'y songez pas, oled-Il bien à des Dieux de dire qu'ils sont las?
MERCVRE.	MERCURE.
Les Dieux ſont-ils de fer?	Les Dieux sont-ils de fer?
LA NVICT.	LA NVICT.
Non, mais il faut ſans ceſſe Garder le Decorum de la diuinité;	Non, mais il faut sans cesse Garder le Décorum de la divinité;
Il eſt de certains mots, dont l’vſage rabaiſſe Cette ſublime qualité;	Il est de certains mots, dont l'usage rabaisse Cette sublime qualité;
Et que pour leur indignité Il eſt bon qu’aux Hommes on laiſſe.	Et que pour leur indignité Il est bon qu'aux Hommes on laisse.
MERCVRE.	MERCURE.
A voſtre aiſe vous en parlez;	À votre aise vous en parlez;
Et vous auez, la belle, vne chaiſe roulante, Où par deux bons cheuaux, en Dame nonchalante, Vous vous faites trainer par tout ou vous voulez, Mais de moy ce n’eſt pas de meſme;	Et vous avez, la belle, une chaise roulante, Où par deux bons chevaux, en Dame nonchalante, Vous vous faites trainer par tout ou vous voulez, Mais de moi ce n'est pas de même;
Et ie ne puis vouloir, dans mon deſtin fatal, Aux poëtes aſſez de mal, De leur impertinance extréme, D’auoir, par vne injuſte loy, Dont on veut maintenir l’vſage, A chaque Dieu, dans ſon employ, Donné quelqu’allûre en partage, Et de me laiſſer à pié, moy, Comme vn Meſſager de Village.	Et petit ne puis vouloir, dans mon destin fatal, Aux poètes assez de mal, De leur impertinance extrême, D'avoir, par une injuste loi, Dont on veut maintenir l'usage, À chaque Dieu, dans son emploi, Donné quelqu'allûre en partage, Et de me laisser à pie, moi, Comme un Messager de Village.
Moy qui fuis, comme on ſçait, en terre & dans les Cieux, Le fameux Meſſager du souuerain des Dieux, Et qui ſans rien exagerer, par tous les employs qu’il me donne, Aurois beſoin, plus que perſonne D auoir dequoy me voſturer.	Moi qui fuis, comme on sait, en terre et dans les Cieux, Le fameux Messager du souverain des Dieux, Et qui sans rien exagérer, par tous les emplois qu'il me donne, Aurais besoin, plus que personne D avoir dequoy me vosturer.
LA NVICT.	LA NVICT.
Que voulez-vous faire à cela?	Que voulez-vous faire à cela?
Les Poëtes font à leur guiſe, Ce n’eſt pas la ſeule ſottiſe, l2 Qu’on voit faire à ces Meſſieurs-là.	Les Poètes font à leur guise, Ce n'est pas la seule sottise, l2 Qu'on voit faire à ces Messieurs-là.
Mais contr’eux toutefois voſtre ame à tort s’irrité, Et vos aiſles aux piez ſont vn don de leurs ſoins.	Mais contr'eux toutefois votre âme à tort s'irrité, Et vos ailes aux pieds sont un don de leurs soins.
MERCVRE.	MERCURE.
Oüy, mais pour aller plus viſte, Eſt-ce que l’on s’en laſſe moins?	Oui, mais pour aller plus vite, Est-ce que l'on s'en lasse moins?
LA NVICI.	LA NVICI.
Laiſſons cela, Seigneur Mercure, Et ſçachons ce dont il s’agit.	Laissons cela, Seigneur Mercure, Et sachons ce dont il s'agit.
MERCVRE.	MERCURE.
C’eſt Iupiter comme ie vous l’ay dit, Qui de voſtre manteau veut la faueur obſcure pour certaine douce auanture, Qu’vn nouuel Amour luy fournit.	C'est Jupiter comme ie vous l'ai dit, Qui de votre manteau veut la faveur obscure pour certaine douce aventure, Qu'un nouvel Amour lui fournit.
Sespratiques, ie croy, ne vous ſont pas nouuelles Bien ſouuent pour la terre il neglige les Cieux, Et vous n’ignorez pas que ce Maiſtre des Dieux Aime à s’humaniſer pour des Beautez mortelles, Et ſçait cent tours ingenieux, Pour mettre à bout les plus cruelles.	Sespratiques, votre crois, ne vous sont pas nouvelles Bien souvent pour la terre il néglige les Cieux, Et vous n'ignorez pas que ce Maître des Dieux Aime à s'humaniser pour des Beautés mortelles, Et Sait cent tours ingénieux, Pour mettre à bout les plus cruelles.
Des yeux d’Alemene il a ſenti les coups;	Des yeux d'Allemène il a senti les coups;
Et tandis qu’au milieu des Beotiques Plaines;	Et tandis qu'au milieu des Beotiques Plaines;
Amphitryon ſon Epous Commande aux Troupes Thebaines.	Amphitryon son Épous Commande aux Troupes Thebaines.
Il en a pris la forme, & reçoit là-deſſous Vn ſoulagement à ſes peines, Dans la poſſeſſion des plaiſirs les plus doux, L’Etat des Mariez à ſes feux eſt propice:	Il en a pris la forme, et reçoit là-dessous Un soulagement à ses peines, Dans la possession des plaisirs les plus doux, L'État des Mariés à ses feux est propice:
L’Hymen ne les a joints que depuis quelques jours, Et la jeune chaleur de leurs tendres amours.	L'Hymen ne les a joints que depuis quelques jours, Et la jeune chaleur de leurs tendres amours.
A fait que Iupiter à ce bel Attifice S’eſt auisé d’auoir recours.	A fait que Jupiter à ce bel Attifice S'est avisé d'avoir recours.
Son ſtratageme icy ſe trouue ſalutaire:	Son stratagème ici se trouve salutaire:
Mais prés de maint objet chery, Pareil déguiſement ſeroit pour ne rien faire;	Mais près de maint objet chéri, Pareil déguisement serait pour ne rien faire;
Et ce n'eſt pas par tout vn bon moy en de plaire Que la figure d’vn mary.	Et ce n'est pas par tout un bon moi en de plaire Que la figure d'une mari.
LA NVICT.	LA NVICT.
I'admire Iupiter, & ie ne comprens pas, Tous les déguiſemens qui luy viennent en teſte.	J'admire Iupiter, et ainsi ne comprends pas, Tous les déguisements qui lui viennent en tête.
MERCVRE.	MERCURE.
Il veut goûter par la toute ſorte d’Etats.	Il veut goûter par la toute sorte d'États.
Et c’eſt agir en Dieu qui n’eſt pas beſte.	Et c'est agir en Dieu qui n'est pas bête.
Dans quelque rang qu’il ſoit des Mortels regardé, Ie le tiendrois fort miſerable, S’il ne quittoit jamais ſa mine redoutable, Et qu’au faiſte des Cieux il fut toûjours guindé.	Dans quelque rang qu'il soit des Mortels regardé, Je le tiendrais fort misérable, S'il ne quittait jamais sa mine redoutable, Et qu'au faîte des Cieux il fut toujours guindé.
Il n’eſt point à mon gré de plus ſotte Methode, Que d’eſtre empriſonné toûjours dans la grandeur;	Il n'est point à mon gré de plus sotte Méthode, Que d'être emprisonné toujours dans la grandeur;
Et ſur tout, aux tranſports de l’amoureuſe ardeur, La grande qualité deuient fort incommode Iupiter qui ians doute en plaiis re connoit, Sçait deſcendre du haut de ſa gloire ſuprême;	Et sur tout, aux transports de l'amoureuse ardeur, La grande qualité devient fort incommode Jupiter qui jans doute en plaiis re connaît, Sait descendre du haut de sa gloire suprême;
Et pour entrer dans tout ce qu’il luy plait, Il ſort tout à fait de luy-meſme, Et ce n’eſt plus alors Iupiter qui paroît,	Et pour entrer dans tout ce qu'il était plaît, Il sort tout à fait de m-même, Et ce n'est plus alors Jupiter qui paraît,
LA NVICT.	LA NVICT.
paſſe encor de le voir de ce ſublime Etage Dans celuy des hommes venir;	passe encor de le voir de ce sublime Éthage Dans celui des hommes venir;
grendre tous les tranſports que leur cœut peut fournir, Et ſe faire à leur badinage;	grendre tous les transports que leur cœut peut fournir, Et se faire à leur badinage;
Si dans les changemens où ſon humeur l’engage A la nature Humaine, il s’en vouloit tenir, Mais de voir Jupiter Taureau, Serpent, Cygne, ou quelque autre choſe, ye ne troude point cela beau y Et ne m’eſtonne pas ſi par fois on en cauſe.	Si dans les changements où son humeur l'engage À la nature Humaine, il s'en voulait tenir, Mais de voir Jupiter Taureau, Serpent, Cygne, ou quelque autre chose, ie ne troude point cela beau y Et ne m'étonne pas si par fois on en cause.
MERCVRE.	MERCURE.
Laiſſons dire tous les Cenſeurs, Tels changemens ont leurs douceurs, Qui paſſent leur intelligence;	Laissons dire tous les Censeurs, Tels changements ont leurs douceurs, Qui passent leur intelligence;
Ce Dieu ſçait ce qu’il fait auſſi bien là qu’ailleuls, Et dans les mouuemẽs de leurs tendres ardeurs, Les beſtes ne ſont pas ſi beſtes que l’on penſe.	Ce Dieu sçait ce qu'il fait aussi bien là qu'ailleuls, Et dans les mouvements de leurs tendres ardeurs, Les bêtes ne sont pas si bêtes que l'on pense.
LA NVICT.	LA NVICT.
Reuenons à l’objet dont il a les faueurs, Si par ſon ſtratagême il void ſa flame heureuſe, Que peut il ſouhaiter, & qu’eſt-ce que ie puis.	Revenons à l'objet dont il a les faveurs, Si par son stratagème il void sa flame heureuse, Que peut il souhaiter, et qu'est-ce que je puis.
MERCVRE.	MERCURE.
Que vos cheuaux par vous au petit pas reduits, Pour ſatisfaire aux vœux de ſon Ame amouD’vne nuict ſi delicieuſe,  Treuſe, Faſſent la plus longue des nuicts.	Que vos chevaux par vous au petit pas réduits, Pour satisfaire aux vœux de son Âme amouD'une nuit si délicieuse, Treuse, Fassent la plus longue des nuits.
Qu’à ſes tranſports vous donniez plus d’eſpace, Et retardiez la naiſſance du jour, Qui doit auancer le retour De celuy dont il tient la place.	Qu'à ses transports vous donniez plus d'espace, Et retardiez la naissance du jour, Qui doit avancer le retour De celui dont il tient la place.
LA NVICT.	LA NVICT.
Voilà ſans doute vn bel Employ Que le Graad Iupiter m’apreſte;	Voilà sans doute un bel Emploi Que le Graad Jupiter m'apprête;
„00 Et l’on donne vn nom fort honneſte Au ſeruice qu’il veut de moy.	„0 Et l'on donne un nom fort honnête Au service qu'il veut de moi.
MERCVRE.	MERCURE.
Pour vne jeune Déeſſe, Vous eſtez bien du bon temps!	Pour une jeune Déesse, Vous estez bien du bon temps!
Vn tel employ n’eſt baſſeſſe, Que chez les petites Gens.	Un tel emploi n'est bassesse, Que chez les petites Gens.
Lors que dans vn haut rang on a l’heur de paroiſtre, .	Lors que dans un haut rang on a l'heur de paraître, .
Tout ce qu’on fait eſt toûjours bel & bon;	Tout ce qu'on fait est toujours bel et bon;
Lt laiuant ce qu’on peut eſtre:	Lt laivant ce qu'on peut être:
Les choſes changent de nom.	Les choses changent de nom.
LA NVICT.	LA NVICT.
Sur de pareilles matieres Vous en ſçauez plus que moy :	Sur de pareilles matières Vous en savez plus que moi :
Et pour accepter l’Employ, I’en veux croire vos lumieres.	Et pour accepter l'Emploi, J'en veux croire vos lumières.
MERCVRE.	MERCURE.
He, là, là, Madame la nuict, Vn peu doucement je vous prie, Vous auez dans le monde vn bruit De n’eſtre pas ſi rencherie.	He, là, là, Madame la nuit, Un peu doucement je vous prie, Vous avez dans le monde quelque bruit De n'être pas si renchérie.
On vous fait Confidente en cent climats diuers, De beaucoup de bonnes affaires, Et je crois à parler à ſentimens ouuerts Que nous ne nous en deuons gueres.	On vous fait Confidente en cent climats divers, De beaucoup de bonnes affaires, Et je crois à parler à sentiments ouverts Que nous ne nous en devons guère.
LA NVICT.	LA NVICT.
Laiſſons ces contrarietez, Et demeurons ce que nous ſommes, N’appreſtons point à rire aux hommes, En nous diſant nos veritez.	Laissons ces contrariétés, Et demeurons ce que nous sommes, N'apprêtons point à rire aux hommes, En nous disant nos vérités.
MERCVRE.	MERCURE.
Adieu, je vay là bas dans ma commi ſſion Dépoüiller promptemẽt la forme de Mercure, Pour y veſtir la figure Du valet d’Amphi trion.	Adieu, je vais là bas dans ma commi ssion Dépouiller promptement la forme de Mercure, Pour y vêt la figure Du valet d'Amphi trion.
LA NVICT.	LA NVICT.
Moy dans cette Hemiſphere auec ma ſuite obſcure Ie vais faire vne ſtation.	Moi dans cette Hémisphère avec ma suite obscure Je vais faire une station.
MERCVRE.	MERCURE.
Bon-jour la Nuict.	Bonjour la Nuit.
LA NVICT.	LA NVICT.
Adieu Mercure.	Adieu Mercure.
Mercure deſcend de ſon Nuage en Terre, & la Nuict paſſe dans ſon Char.	Mercure descend de son Nuage en Terre, et la Nuit passe dans son Char.
AAGIBIRMniEIC.	AAGIBIRMniEIC.
SCENE PREMIERE.	SCÈNE PREMIÈRE.
SOSIE.	SOSIE.
Vi va là?	Vi va là?
Heu?	Heu?
Ma peur, à chaque pas s’accroiſt, Meſſieurs, amy de tout le monde, Ah!	Ma peur, à chaque pas s'accroît, Messieurs, ami de tout le monde, Ah!
qu’elle audace ſans ſeconde, De marcher à l’heure qu’il eſt !	qu'elle audace sans seconde, De marcher à l'heure qu'il est !
Que mon Maiſtre couuert de gloire, Me joüe icy d’vn vilain tour?	Que mon Maître couvert de gloire, Me joue ici d'un vil tour?
Quoy?	Quoi?
Si pour ſon prochain il auoit quelque amour M’auroit-il fait partir par vne nuit ſi noire, Et pour me renuoyer annoncer ſon retour, Et le detail de ſa victoire, Ne pouuoit-il pas bien attendre qu’il fut jour?	Si pour son prochain il avait quelque amour M'aurait-il fait partir par une nuit si noire, Et pour me renvoyer annoncer son retour, Et le détail de sa victoire, Ne pouvait-il pas bien attendre qu'il fut jour?
10 COMEDIE.	10 COMÉDIE.
Soſie à quelle ſeruitude Tes jours ſont-ils aſſujettis?	Sosie à quelle servitude Tes jours sont-ils assujettis?
Noſtre ſort eſt beaucoup plus rude Chez les Grands que chez les petits.	Notre sort est beaucoup plus rude Chez les Grands que chez les petits.
Ils veulent que pour eux tout ſoit dans la Nature Obligé de s’immoler.	Ils veulent que pour eux tout soit dans la Nature Obligé de s'immoler.
Iour, & nuict, gréle, vent, peril, chaleur, froidure, Dés qu’ils parlent il faut voler, Vingt-ans d’aſſidu ſeruice N’en obtiennent rien pour nous e Le moindre petit caprice Nous attire leur courroux.	Jour, et nuit, grèle, vent, péril, chaleur, froidure, Dès qu'ils parlent il faut voler, Vingt-ans d'assidu service N'en obtiennent rien pour nous eût Le moindre petit caprice Nous attire leur courroux.
Cependant noſtre ame inſenſée , S’acharne au vain honneur de demeurer prét d’eux;	Cependant notre âme insensée , S'acharne au vain honneur de demeurer prêt d'eux;
Et s’y veur contenter de la fauſe penſée, Qu’ont tous les autres gens que nous ſommes heureux, Vers la retraite en vain la raiſon nous appelle;	Et s'y veur contenter de la fausse pensée, Qu'ont tous les autres gens que nous sommes heureux, Vers la retraite en vain la raison nous appelle;
En vain noſtre dépit quelquefois y conſent:	En vain notre dépit quelquefois y consent:
Leur veue a ſur noſtre zele Vn aſcendant trop puiſſant;	Leur veue a sur notre zèle Un ascendant trop puissant;
Et la moindre faueur d’vn coup d’œil careſſant;	Et la moindre faveur d'autre coup d'œil caressant;
Nous r’engage de plus belle.	Nous rengage de plus belle.
Mais enfin dans l’obſcurité, Ie voy noſtre maiſon, & ma frayeur s’euade.	Mais enfin dans l'obscurité, Je vois notre maison, et ma frayeur s'évade.
Il me faudroit, pour l’Ambaſſade, Quelque diſcours premedité.	Il me faudrait, pour l'Ambassade, Quelque discours prémédité.
Ie dois aux yeux d’Alcmene vn portrait Militaire Du grand Combat qui met nos ennemis à bas?	Je dois aux yeux d'Alcmène un portrait Militaire Du grand Combat qui met nos ennemis à bas?
Mais comment Diantre le faire, Si ie ne m’y trouuay pas?	Mais comment Diantre le faire, Si tu ne m'y trouvai pas?
AMl lIIXIeNeN.	AMl lIXIeNeN.
1 N’importe parlons-en & d’eſtoc & de taille, Comme oculaire témoin.	1 N'importe parlons-en et d'étoc et de taille, Comme oculaire témoin.
Combien de Gens font-ils des recits de Bataille, Dont ils ſe ſont tenus loin?	Combien de Gens font-ils des récits de Bataille, Dont ils se sont tenus loin?
Pour joüer mon roole ſans peine, Ie le veux vn peu repaſſer:	Pour jouer mon roole sans peine, Je le veux un peu repasser:
Voicy la chambre, ou j’entre en courrier que l’on meine, Il poſe ſa Et cette Lanterne eſt Alcmene, Lanterne A qui je me dois adreſſer, à terre & luy Madame Amphitryon mon Maiſtre adreſſe ſon & voſtre Epoux, compliment.	Voici la chambre, ou j'entre en courrier que l'on mène, Il pose sa Et cette Lanterne est Alcène, Lanterne A qui je me dois adresser, à terre et et Ainsi Amphitryon mon Maître adresse son et votre Époux, compliment.
Bon?	Bon?
beau debut?	beau début?
l’Eſprit toûjours plein de vos charmes M’a voulu choiſir entre tous, Pour vous donner auis du ſuccez de ſes armes, Et du deſir qu’il a de ſe voir prés de vous.	l'Esprit toujours plein de vos charmes M'a voulu choisir entre tous, Pour vous donner avis du succès de ses armes, Et du désir qu'il a de se voir près de vous.
Ha!	Ha!
vrayment mon pauure Soſie, A te voir j’ay la joye au Cœur.	vraiment mon pauvre Sosie, À te voir j'ai la joie au Cœur.
Madame?	Madame?
ce m’eſt trop d’honneur, Et mon deſtin doit faire enuie.	ce m'est trop d'honneur, Et mon destin doit faire envie.
Bien répondu?	Bien répondu?
Comment ſe porte Amphitryon.	Comment se porte Amphitryon.
Madame, en homme de Courage, Dans les occaſions où la gloire l’engage.	Madame, en homme de Courage, Dans les occasions où la gloire l'engage.
Fort bien?	Fort bien?
belle Conception?	belle Conception?
Quand viendra-t’il, par ſon retour charmant Rendre mnun lime jatlspare e Le plûtoſt qu’il pourra, Madame, aſſurément;	Quand viendra-t-il, par son retour charmant Rendre ménun lime jatlspare e Le plutôt qu'il pourra, Madame, assurément;
Mais bien plus tard que ſon cœur ne ſouhaite, A h!	Mais bien plus tard que son cœur ne souhaite, A h!
Mais quel eſt l’Etat ou la Guerre l’a mis?	Mais quel est l'État ou la Guerre l'a mis?
Que dit-il?	Que dit-il?
Que fait-il?	Que fait-il?
contente vn peu mon ame.	contente un peu mon âme.
Il dit moins qu’il ne fait, Mada me B iij	Il dit moins qu'il ne fait, Mada me B jijà
Mais leur chaleur par nous fut bien-toſt reprimée,	Mais leur chaleur par nous fut bientôt reprimée,
Et fait trembler ſes Ennemis.	Et fait trembler ses Ennemis.
Peſte?	Peste?
où prend mon Eſprit toutes ces gentilleſſes?	où prend mon Esprit toutes ces gentillesses?
Que font les reuoltez?	Que font les révoltés?
dy-moy, quel eſt leur ſort?	dis-moi, quel est leur sort?
Ils n’ont pû reſiſter, Madame à noſtre effort:	Ils n'ont pu résister, Madame à notre effort:
Nous les auons taillez en pieces, Mis Pteleras leur chef à mort;	Nous les avons taillez en pièces, Mis Pteleras leur chef à mort;
Pris Telebe d’aſſaut, & déja dans le Port Tout retentit de nos Proueſſes.	Pris Telebe d'assaut, et déjà dans le Port Tout retentit de nos Prouesses.
Ah!	Ah!
quel ſuccez!	quel succès!
ô Dieux!	ô Dieux!
qui l’eût pú jamais croire?	qui l'eût peste jamais croire?
