des Aydes.	des Aides.
Ie ne ſuis rauy que d’vn poinct, Comme it a peu ſi pienueſerire vnt IAPVISSANCE Auec des vers qui n'en ont point.	Je ne suis ravi que d'une point, Comme it a pu si pienveserire unt IPVISANCE Avec des vers qui n'en ont point.
13	13
DE BELLEZAIZES.	DE BÉLEZAIZES.
Eaux vers, voſtre gloire m'eſt chere, JEt c’eſt à bon droict que ie veux, Eſtans les enfans de mon frere Vous aymer comme mes neueux.	Eaux vers, votre gloire m'est chère, JEt c'est à bon droit que ie veux, Étant les enfants de mon frère Vous aimer comme mes neueux.
Si tous les vers eſtoient ſemblables Auec tant d’ornemens diuers, Les lieux me ſeroient agreables Où ie ſeray mangé des vers, LA PAPERIE, Frere de l’Autheur.	Si tous les vers étaient semblables Avec tant d'ornements divers, Les lieux me seraient agréables Où apprendre serai mangé des vers, LA PÉRIE, Frère de l'Auteur.
ARGVMENT.	ARGUMENT.
Eon Prince d’Armenie amoureux de Philinte, fille de l’Empereur d’Ethiopie, n’ayant peu obtenir ſes.	Eon Prince d'Arménie amoureux de Philinte, fille de l'Empereur d'Ethiopie, n'ayant pu obtenir ses.
bonnes graces, ſe reſolut pour ſe diuertir vn peu de ſon ennuy de ſuiure quelque temps la vie champeſtre, & prit pour cét effect l’habit de berger ſoubz le nom d’Iſmin:	bonnes grâces, se résolut pour se divertir un peu de son ennui de suivre quelque temps la vie champêtre, et prit pour cet effet l'habit de berger sous le nom d'Ismin:
mais Anaxandre fils du Roy de Tartarie s’eſtant preſenté depuis à la recherche de la Princeſſe Philinte, elle luy fut promiſe en mariage par l’Empereur, bien qu’elle euſt vne grande auerſion pour luy.	mais Anaxandre fils du Roi de Tartarie s'étant présenté depuis à la recherche de la Princesse Philinte, elle lui fut promise en mariage par l'Empereur, bien qu'elle eût une grande aversion pour lui.
Si bien que ſe voyant preſſée de l’eſpouſer, elle s’enfuit auec Caliante ſa confidente, & choiſit pour ſa conduite, Lycaſte braue Caualier & qui eſtoit amoureux de Caliante.	Si bien que se voyant pressée de l'épouser, elle s'enfuit avec Caliante sa confidente, et choisit pour sa conduite, Lycaste brave Cavalier et qui était amoureux de Caliante.
Cependant Leondeuenu berger, (& qu’auec cét habit nous nõmerons Iſmin,) ayant veu la beauté de Charixene bergere, ne ſe l - L {(---- ã 2 1– peut empeîcher de l’aymer:	Cependant Léondeuenu berger, (et qu'avec cet habit nous nommerons Ismin,) ayant vu la beauté de Charixène bergère, ne se l - ' es(- ã 2 1 peut empeîcher de l'aimer:
mais parce qu’il eſtoit berger incogneu, il ne peut obtenir d’elle que de ſimples teſmoignages de bienueillance pluſtoſt que d’amour:	mais parce qu'il était berger inconnu, il ne peut obtenir d'elle que de simples témoignages de bienveillance plutôt que d'amour:
ſi bien que ſes parens la marierent à Syluain aſſez vieil berger:	si bien que ses parents la marièrent à Syluain assez vieil berger:
mais impuiſſant, dont Iſmin eſtant aduerty.	mais impuissant, dont Ismin étant averti.
il luy perſuada d’aller trouuer auec Charixene vn Magicien qu’il feignoit auoir veu depuis peu dans vn lieu proche de leur, demeure, qui pourroit luy donner les forces neceſſaires à la guerre d’amour, ce qu’ayant promis Syluain, & pris iour au lendemain, Iſmin s’habilla en Magicien & treuua au lieu aſſigné où Syluain & Charixene ne manquerent pas de ſe rendre, & de le prendre pour vn veritable Magicien, tant il eſtoit bien deguisé:	il lui persuada d'aller trouver avec Charixène un Magicien qu'il feignait avoir vu depuis peu dans un lieu proche de leur, demeure, qui pourrait lui donner les forces nécessaires à la guerre d'amour, ce qu'ayant promis Syluain, et pris jour au lendemain, Ismin s'habilla en Magicien et trouva au lieu assigné où Sylua au Charixene ne manquèrent pas de se rendre, et de le prendre pour un véritable Magicien, tant il était bien déguisé:
luy donc ſoubz pretexte du reſpect qu’il diſoit eſtre deu à ſes demons & à la cauerne où il les vouloit faire entrer, les fit deſpoüiller de leurs habits qu’ils laiſſerent à l’entrée.	Ce donc soubz prétexte du respect qu'il disait être dev à ses démons et à la caverne où il les voulait faire entrer, les fit dépouiller de leurs habits qu'ils laissèrent à l'entrée.
Or Philinte, qui s’eſtoit deſrobée de la Cour de l’Empereur ſon pere, ſur le poinct qu’on la vouloit marier, & ayant auec elle Lycaſte ſeulement, à çauſe que Caliante n’auoit peu les ſuiure, paſſa prés de cette cauerne dans laquelle le feint Magicien auoit mené Syluain & Charixene, & ayant rencontré les habits qu’ils auoient laiſſez, elle & Lycaſte les prennent & laiſſent au lieu ceux qu’ils auoient, & ſe vont cacher dans vn bois proche de là.	Or Philinte, qui s'était dérobée de la Cour de l'Empereur son père, sur le point qu'on la voulait marier, et ayant avec elle Lycaste seulement, à çause que Caliante n'avait pu les suivre, passa près de cette caverne dans laquelle le feint Magicien avait mené Sylevain et Charixène, et ayant rencontré les habits qu'ils avaient laissez, elle et Lycaste les prennent et laissent au lieu ceux qu'ils avaient, et se vont cacher dans un bois proche de là.
Le Magicien eſtant forty dela cauerne auec le berger impuiſſant & ſa femme, eſt eſtonné de voir ce changement d’habits.	Le Magicien étant sorti déla caverne avec le berger impuissant et sa femme, est estonné de voir ce changement d'habits.
Neantmoins attribuant le tout à la force de ſes charmes leur fait prendre ces habits, leur graue vers le lieu plus proche de leurs cœurs quelques characteres imaginaires auec vn peu de ſang, & enfin leur donne à chacun vn breuuage qu’il aſſeuroit eſtre propre à guerir l’impuiſſance de Syluain bienque ce ne fuſt que pour les faire dormir, & donna le plus fort à Syluain, afin qu’il dormiſt dauantage, Ce que cepemdane i peuit au reuen de Charlxene prendre auec elle toutes les priuautez d’vn mary, s’imaginant qu’elle le prendroit pour Syluain.	Néanmoins attribuant le tout à la force de ses charmes leur fait prendre ces habits, leur grave vers le lieu plus proche de leurs cœurs quelques charactères imaginaires avec un peu de sang, et enfin leur donne à chacun un brevage qu'il assurait avoir propre à guérir l'impuissance de Syluain bienque ce ne fût que pour les faire dormir, et donna le plus fort à Sylain, afin qu'il dormît davantage, Ce que cepemdane y peuit au reven de Charlxene prendre avec elle toutes les privautés d'un mari, simaginant 'elle le prendrait pour Syluain.
Or l’Empereur ayant appris la fuite de la -- --- 42 -  – - 2 Princeſſe ſa fille, fait courir apres & ſes gens ayans rencontré dans vn bois, proche de la ſuſdite cauerne Syluain & Charixene dormans les prennẽt incõtinent pour la Princeſſe Philinte & Lycaſte, parce qu’ils en auoient lés habits, & voyans ces marques de ſang que le pretendu Magicien leur auoit miſes vers le chœur, creurent qu’ils eſtoient morts, & qu’on les auoit tuez, ce qui les oblige de chercher dans le bois où ils rencontrent Philinte & Lycaſte ayans les habits de Syluain & Charixederaruren que ies mencog fiohiario lis les accuſent de cét aſſaſſinat imaginé, & les emmenent priſonniers.	Or l'Empereur ayant appris la fuite de la -si-- 42 - aizé 2 Princesse sa fille, fait courir après et ses gens ayant rencontré dans un bois, proche de la susdite caverne Syluain et Charixène dormans les prennent incõtinent pour la Princesse Philinte et Lycaste, parce qu'ils en avaient lés habits, et voyant ces marques de sang que le prétendu Magicien leur avait mises vers le champ, creurent qu'ils étaient morts, et qu'on les avait tuez, ce qui les oblige de chercher dans le bois où ils rencontrent Il et Re ayans les habits de Syluain et ç que mencog fiohiario lis les accusent de cét assassinat imaginé, et les emmènent prisonniers.
Iſmin ayant quitté ſon habit de Magicien vit tout cela, & conſiderant qu’on emmenoit Philinte priſonniere ſans la cognoiſtre, l’amour qu’il auoit touſiours eu pour elle, luy mit dans l’eſprit le deſſein de contrefaire encore le Magicien:	Ismin ayant quitté son habit de Magicien vit tout cela, et considérant qu'on emmenait Philinte prisonnière sans la connaître, l'amour qu'il avait toujours eu pour elle, tu mit dans l'esprit le dessein de contrefaire encore le Magicien:
ſibien qu’il va treuuer en cét eſtat l’Empereur qu’il treuua fort affligé du ſuccez cy-deſſus, & luy promit par la forcc de ſon art de faire reuiure Philinte & Lycaſte pourueu qu’on luy miſt entre les mains le 4 * 1e2 – – L berger & la bergere qui eſtoient eſtimez coulpables:	sibien qu'il va trouver en cet état l'Empereur qu'il trouvera fort affligé du succez cy-dessus, et même promit par la forcc de son art de faire reviure Philinte et Lycaste pourvu qu'on nous mit entre les mains le 4 * 1e2 berger et la bergère qui estoient estimez coulpables:
car il ſçauoit bien qu’on prenoit les vns pour les autres, & que l’effect du breuuage ceſſant bien toſt Syluain & Charixene qu’on croyoit eſtre Philinte & Lycaſte, ſe reſueilleroient auſſi.	car il savait bien qu'on prenait les uns pour les autres, et que l'effet du brevage cessant bien tôt Syluain et Charixène qu'on croyait être Philinte et Lycaste, se resueilleroient aussi.
L’Empereur luy ayant promis ce qu’il demandoit aux conditions qu’il propoſoit:	L'Empereur lui ayant promis ce qu'il demandait aux conditions qu'il proposait:
il emmena Philinte & Lycaſte en ſon pays qui toutefois ne le cognoiſſoient point:	il emmena Philinte et Lycaste en son pays qui toutefois ne le connaissaient point:
mais en fin s’eſtans tous recognus, il eſpouſa la Princeſſe laquelle maria auſſi Lycaſte & Caliante, & promit de donner vn plus aymable mary à Charixene.	mais en fin s'étant tous reconnus, il épousa la Princesse laquelle maria aussi Lycaste et Caliante, et promit de donner un plus aimable mari à Charixène.
Cependant, l’Empereur mourut, ou de vieilleſſe ou deplaiſir de s’eſtre veu trompé par Leon, lequel auec la Princeſſe ſa femme, fut prendre poſſeſſion de l’Empire d’Ethiopie.	Cependant, l'Empereur mourut, ou de vieillesse ou déplaisir de s'être vu trompé par Léon, lequel avec la Princesse sa femme, fut prendre possession de l'Empire d'Ethyopie.
– - -- 4 E -- I-	– - -- 4 E -- I-
ACTEVRS.	ACTEURS.
L’EMPEREVR d’Ethiopie.	L'EMPEREUR d'Éthiopie.
PHILINTE ſa fille.	PHILINTE sa fille.
CALIANTE confidente de Philinre.	CALIANTE confidente de Philinre.
LEON Roy d’Armenie qui ſe fait berger ſoubz le nom dISMIN;	LEN Roi d'Arménie qui se fait berger soubz le nom dISMIN;
& feint auſſi d’eſtre Magicien.	et feint aussi d'être Magicien.
ANAXANDRE fils du Roy de Tartarie qui ſe fait Hermite.	ANAXANDRE fils du Roi de Tartarie qui se fait Hermite.
64	64
m'nblnrirla ſun Genth-homme.	m'nblirla sun Genth-homme.
ETCASTE Gentii-homme de l’EmpeTeur.	ETCASTE Genti-homme de l'EmpeTeur.
D'AMIS Confeiller de l’Empereur.	D'AMIS Confeiller de l'Empereur.
CHARIXENE bergere.	CHARIXENE bergère.
SYLVAIN ſon mary.	SYLVAIN son mari.
PHILENE villageois.	PHILENE villageois.
Les Gardes de l’Empereur.	Les Gardes de l'Empereur.
L *	 *
LIMPVISSANCE.	LIMPVISANCE.
ACTE PREMIER.	ACTE PREMIER.
SCENE 108 L’EMPEREVR.	SCÈNE 108 L'EMPEREUR.
DAMIS.	DAMIS.
PHILINTE	PHILINTE
L’EMPEREVR.	L'EMPEREUR.
E n’eſtoit pas aſſez que l’Affrique allarmée Eust veu dedans ſon ſein ma fureur allumée, AN I'ay trauersé l'Aſie, & contre mes efforts Mes ennemis iamais n’ont eſté les plus forts.	E n'était pas assez que l'Afrique alarmée Eût vu dedans son sein ma fureur allumée, AN J'ai traversé l'Asie, et contre mes efforts Mes ennemis jamais n'ont été les plus forts.
I'ay planté mes lauriers ſur les cyprez des Perſes, Ie fais vn peuple ſeul des nations diuerſes.	J'ai planté mes lauriers sur les cyprez des Perses, Je fais un peuple seul des nations diverses.
4 - --- - - - - -	4 - --- - - - - -
La conqueste du monde eſt pour moy d’vn moment Pour moy, toute la terre est vn poinct ſeuleme Ie la voy ſous mes pieds humblement ábbaiſſee;	La conquête du monde est pour moi d'un moment Pour moi, toute la terre est un point seule Je la vois sous mes pieds humblement ábbaissee;
C’eſt mon bras non ſon poids qui la tient balance Et le flambeau du iour dans ſon cours ſi parfaict Me rend compte les ſoirs du chemin qu’il a fait;	C'est mon bras non son poids qui la tient balance Et le flambeau du jour dans son cours si parfait Me rend compte les soirs du chemin qu'il a fait;
Ie n'ay plus d’ennemis, & ma bonne fortune Dans la facilité de vaincre, m'importune, Et ma valeur treuuant le monde trop petit Ayant tout deuoré n'entre qu'en appecit.	Je n'ai plus d'ennemis, et ma bonne fortune Dans la facilité de vaincre, m'importune, Et ma valeur trouvant le monde trop petit Ayant tout dévoré n'entre qu'en appecit.
On dit que les grands Dieux autheurs de la Nature Ont formé l’Vniuers en poids, nombre & meſure, Ie les ſurpaſſe donc, car mes guerriers exploicts Sont ſans nõbre certain, ſans meſure & ſans poids, La grandeur de mon nom qui par tout eſt ſemée Est cauſe du chemin que fait la renommée.	On dit que les grands Dieux auteurs de la Nature Ont formé l'Univers en poids, nombre et mesure, Je les surpasse donc, car mes guerriers exploits Sont sans nombre certain, sans mesure et sans poids, La grandeur de mon nom qui par tout est semée Est cause du chemin que fait la renommée.
Ie ſuis dans l’Orient où mon bras ſans pareil Semble auoir retranché le dormir au ſoleil, Quand au ſein de Thetis ſa lumiere ſommeille, Le bruit de mes vertus außi tost le reueille:	Je suis dans l'Orient où mon bras sans pareil Semble avoir retranché le dormir au soleil, Quand au sein de Thétis sa lumière sommeille, Le bruit de mes vertus aus aussitôt le réveille:
Car pour mieux voir le cours de mõ heureux deſtin Cét Aſtre diligent ſe leue plus matin –– – Atußi pour mes combats ſeulement il eſclaire, Le plus grand de ſes ſoings est celuy de me plaire, Contre mes ennemis, meſlant de toutes parts Les pointes de ſes rays à celles de mes dards, Mais ie crains toutefois que mon Eſtat tranquille Ne faſſe voir en fin ma vigueur inutile:	Car pour mieux voir le cours de heureux destin Cét Astre diligent se lève plus matin Atussi pour mes combats seulement il éclaire, Le plus grand de ses soings est celui de me Car, Pour mieux ennemis, le de cou parts De mons de sesur eux de mes dards, Mais ie crains Ce que mon Astre tranquille Ne se voirve plus ma vigueur inutile:
Car ceux qui m'õt faſché treuuẽt mes bras trop logs Et mettent außi-toſt leurs cœurs dans leurs talons:	Car ceux qui m'onêt fâché trouvent mes bras trop logs Et mettent aussi-tôt leurs cœurs dans leurs talons:
– - La force ne paroiſt que dans la reſiſtance La valeur ne ſert point parmy l'obeiſſance, Ainſi tout le mal-heur dont ie me ſens attaint:	– - La force ne paraît que dans la résistance La valeur ne sert point parmi l'obéissance, Ainsi tout le malheur dont personne me sens attaint:
C’eſt que par tout le monde on m'aime, & l'onme craint.	C'est que par tout le monde on m'aime, et l'onme craint.
Toy le plus grãd des Dieux, autheur de la lumniere, Ouure ton cœur ſenſible aux traicts de ma priere, Forme vn air ſeulement, vne terre & de l'eau.	Toi le plus grands grands Dieux, auteur de la lumnière, Ouvre ton cœur sensible aux traits de ma prière, Forme un air seulement, une terre et de l'eau.
Ie formeray du feu, i'en ay dans mon courage Aſſez dequoy fournir vn monde, & dauantage:	Je formerai du feu, j'en ai dans mon courage Assez dequoy fournir un monde, et davantage:
Mais quoy?	Mais quoi?
e'eſt ſans raiſon que ie m'addreſſe aux Dieux:	E'est sans raison que ici m'adresse aux Dieux:
Que ma prandeur extreme a fait mes enuieux, Legalité touſiours la ialouſie excite,	Que ma prandeur extrême a fait mes envieux, Légalité toujours la jalousie excite,
Ils ſont Dieux par nature, & moy par mon mi rite, Et leur demeure aux Cieux teſmoigne leur defau C’eſt leur legereté qui les a mis ſi haut.	Ils sont Dieux par nature, et moi par mon mi rite, Et leur demeure aux Cieux témoigne leur défau C'est leur légèreté qui les a mis si haut.
Toute leur prouidence eſt aſſez occupée, A reculer le Ciel du bout de mon eſpée.	Toute leur providence est assez occupée, A reculer le Ciel du bout de mon épée.
En vn poinct toutefois mon heur n'eſt pas entier, La rigueur du deſtin me nie vn heritier.	En un point toutefois mon heur n'est pas entier, La rigueur du destin me nie un héritier.
J-y.	J-y.
Mais encore en cela ie le croy raiſonnable, Par la loy de nature on produit ſon ſemblable, Si ie n'ay point de fils, c'eſt par la meſme Loy N’en pouuant engendrer qui fuſt ſemblable à mo Ie n’ay pour tous enfans que l’vnique Philinte Des vœux de mille amans, & le temple & Saincte.	Mais encore en cela ie le crois raisonnable, Par la loi de nature on produit son semblable, Si ici n'ai point de fils, c'est par la même Loi N'en pouvant engendrer qui fût semblable à mo Ie n'ai pour tous enfants que l'apique Philinte Des vœux de mille amants, et le temple et Sainte.
Et ſi le iugement d’vn pere n’eſt ſuſpect, Ie croirois que l’amour luy porte du reſpect, Et pour la rendre amante ainſi qu'elle eſt aimée, Il n'oſe de ſon feu la rendre conſommée, muipamdintuujuaneur, il vient dans ſes regardi Aiguiſer ſeulement les pointes de ſes dards;	Et si le jugement d'Hommes père n'est suspect, Je croirais que l'amour lui porte du respect, Et pour la rendre amante ainsi qu'elle est aimée, Il n'ose de son feu la rendre consommée, muipamdintuujuaneur, il vient dans ses regardi Aiguiser seulement les pointes de ses dards;
Ma promeſſe pourtant veut que ie la marie V.	Ma promesse pourtant veut que ici la marie V.
A lvnique becitier du Roy de I'artarie:	À lvnique becitier du Roi de J'artarie:
Qu'atre mois ſont paſſez qu’il eſt en ceſte Cour En l’attente du bien que cherche ſon Amour.	Qu'âtre mois sont passez qu'il est en cette Cour En l'attente du bien que cherche son Amour.
Ce n'eſt pas ſans raiſon que ce Prince s’ennuye, Nos plaiſirs retardez accroiſſent noſtre enuie, Touſiours de temps en temps Philinte le remet, Mais vn Roy doit tenir les choſes qu’il promet.	Ce n'est pas sans raison que ce Prince s'ennuie, Nos plaisirs retardez accroissent notre envie, Toujours de temps en temps Philinte le remet, Mais un Roi doit tenir les choses qu'il promet.
Elle, en ſe reculant du ioug de l'hymenee, Ne fait que retarder ma parole donnee:	Elle, en se reculant du joug de l'hyménée, Ne fait que retarder ma parole donnée:
alabs jans piha diſjerer, te iry vena jaire voit Que toutes ſes longueurs accuſent ſon deuoir.	alabs jans piha disiérer, te iry vena jaire voit Que toutes ses longueurs accusent son devoir.
DAMIS.	DAMIS.
Monarque ſouuerain de ce puiſſant Empire Que voſtre Majeſté me permette de dire Que peut-eſtre Philinte en ce retardement Tejmoiyne le dejir a anoir vnamtre Amant, Et qu’elle eſt ſans amour pour le Prince Anaxandre.	Monarque souverain de ce puissant Empire Que votre Majesté me permette de dire Que peut-être Philinte en ce retardement Téjmoine le dejir à anoir vnamtre Amant, Et qu'elle est sans amour pour le Prince Anaxandre.
L’EMPEREVR.	L'EMPEREUR.
Quand cela ſeroit vray, ie veux ſans plus attẽdre, muui pue te Soleil ſoit trois fois de retour Que mes cõmandemens luy tiennent lieu d’Amour.	Quand cela serait vrai, je veux sans plus attendre, muvi -pue te Soleil soit trois fois de retour Que mes commandements il tiennent lieu d'Amour.
DAMIS Puis que chaque perſonne eſt libre en ſa penſee:	DAMIS Puis que chaque personne est libre en sa pensée:
nuprit Amout Jnaiſſant, ne peut eſtre forcée,	nuprit Amout Inaissant, ne peut être forcée,
L’EMPEREVR.	L'EMPEREUR.
Ma fille m’apartient, nature en fait la loy, Etce qui depend d'elle, außsi depend de moy.	Ma fille m'appartient, nature en fait la loi, Etce qui dépend d'elle, aussi dépend de moi.
DAMIS.	DAMIS.
Cette loy de nature eſt pourtant limitée.	Cette loi de nature est pourtant limitée.
EMTEREVR.	EMTEREUR.
A me faire obeïr elle est toute portée.	À me faire obéir elle est toute portée.
DAMIS.	DAMIS.
Elle cache nos cœurs afin de faire voir Comme ſur nos deſirs nous ſeuls auons pouuo	Elle cache nos cœurs afin de faire voir Comme sur nos désirs nous seuls avons pouvo
L’EMPEREVR.	L'EMPEREUR.
Ma fille doit m’aimer auec des ſoings extremes.	Ma fille doit m'aimer avec des soins extrêmes.
DAMIa Vous deuez teſmoigner que vous l’aimez de me mesr;	DAMIa Vous devez témoigner que vous l'aimez de me mér;
L’EMPEREVR.	L'EMPEREUR.
Comment?	Comment?
en luy laiſſant faire ce qu’elle veut?	en cet laissant faire ce qu'elle veut?
DAMIS.	DAMIS.
Mais ne la forcant pas à plus qu'elle ne peut.	Mais ne la forçant pas à plus qu'elle ne peut.
EMPEREVR.	EMPEREUR.
Quoy?	Quoi?
ne peut-elle pas me rendre obeiſſance?	ne peut-elle pas me rendre obéissance?
DAMIS.	DAMIS.
que jerou preqmaote en tepant ta puijſancr.	que jerou préqmaote en tepant ta puijsancr.
L’EMPEREVR.	L'EMPEREUR.
Qui la peut empeſcher de juire mon deſtr.	Qui la peut empêcher de juire mon détr.
DAMIS Si voſtre Majesté n’a point de deplaiſir De ſouffrir l’entretien de mon libre langage, Selon le droict qui ſemble eſtre acquis à mon âge, Ie dis que nous auons en receuant le iour Des inclinations ou de haine ou d’amour.	DAMIS Si votre Majesté n'a point dé plaisir De souffrir l'entretien de mon libre langage, Selon le droit qui semble être acquis à mon âge, Je dis que nous avons en recevant le jour Des inclinations ou de haine ou d'amour.
Toutes nos paßions ſe voyent diſpoſees Selon que les humeurs ſont en nous composées, De ſecrets mouuemens qui ſont dans nous cachez Retiennent nos deſirs doucement attachez, Et font que tous les iours chacun de nous s’eſtonne, D'aimer ou n'aimer pas d’abord vne perſonne:	Toutes nos passions se voient disposées Selon que les humeurs sont en nous composées, De secrets mouvements qui sont dans nous cachés Retiennent nos désirs doucement attachés, Et font que tous les jours chacun de nous s'étonne, D'aimer ou n'aimer pas d'abord une personne:
L’eſprit venant des Cieux noſtre corps animer Reçoit l’impreßsion de ce qu’il doit aimer, Et par ceste raiſon inuiolable & ſaincte Chacun doit à ſon pere & l’honneur & la craintes Mais lors que les enfans ſont dedans la ſaiſon Où le temps leur a fait treuuer de la raiſon, Et que le mariage où l'âge les conuie Les oblige à preuoir tous les ſoings de la vie, Pour ſupporter ce ioug bien ſouuent ennuyeux, y nenfant doit choiſir ce qu'il aime le mieux.	L'esprit venant des Cieux notre corps animer Reçoit l'impresssion de ce qu'il doit aimer, Et par cette raison inviolable et sainte Chacun doit à son père et l'honneur et la craintes Mais lors que les enfants sont dedans la saison Où le temps leur a fait trouver de la raison, Et que le mariage où l'âge les convie Les oblige à prévoir tous les soings de la vie, Pour supporter ce joug en souuent ennuyeux, y nenfant doit choisir ce qu'il aime le mieux.
L’EMPEREVR.	L'EMPEREUR.
Ons aime bien aſſez alors qu'on eſtenſemble.	Ons aime bien assez alors qu'on étensemble.
DAMIS.	DAMIS.
Ouy, lors que l’amitié les deux ames aſſemble.	Oui, lors que l'amitié les deux âmes assemble.
L’EMPEREVR.	L'EMPEREUR.
Cts ueux corps n'en font qu'vn dans vn hym heureux.	Cts eux corps n'en font qu'un dans un hym heureux.
DAMIS.	DAMIS.
Sire, ſi vous contez, bomstitrouuerez deux:	Sire, si vous comptez, bomtitrouverez deux:
Lors principalement qu’ils ſont d’humeur contraire.	Lors principalement qu'ils sont d'humeur contraire.
L’EMPEREVR.	L'EMPEREUR.
En fin tout ce diſcours commence à me deplaire, Quey?	En fin tout ce discours commence à me déplaire, Quei?
ma fille oſe oit ſans reſpect teſmoigner Que de mes volontez elle veut s’eſloigner?	ma fille ose oit sans respectés témoigner Que de mes volontés elle veut s'éloigner?
Apres que la raiſon m'a fait choiſir pour gendre Et pour mon heritier le vaillant Anaxandre, Apres m'eſtre en cela de parole obligé Vouloir ainſi laiſſer mon honneur engagé:	Après que la raison m'a fait choisir pour gendre Et pour mon héritier le vaillant Anaxandre, Après m'être en cela de parole obligé Vouloir ainsi laisser mon honneur engagé:
Et me perſuader qu’vne fille peu ſage Deit a la fantailie enerer au mariage.	Et me persuader qu'une fille peu sage Dit à la fantailie enérer au mariage.
Sans ſonger que cela peut importer vn iour De luy laiſſer ainſi le choix de ſon amour, Sans ta fidelité de long temps recogneuë:	Sans songer que cela peut importer un jour De lui laisser ainsi le choix de son amour, Sans ta fidélité de long temps reconnue:
Ie te, mais quoy?	Je te, mais quoi?
Philinte à propos eſt venuë Si faut-il à ce coup qu'elle me faſſe voir, Lequel doit de nous deux auoir plus de pouuoir.	Philinte à propos est venue Si faut-il à ce coup qu'elle me fasse voir, Lequel doit de nous deux avoir plus de pouvoir.
PHILINTE.	PHILINTE.
Monſieur, vous croyez eſtre encore dans la guerre Parmy les enpemh uont vous couurez la terre Voſtre face eſt eſmeuë, & paroiſt tout en feu.	Monsieur, vous croyez être encore dans la guerre Parmi les enpemh uont vous couvrez la terre Votre face est émue, et paraît tout en feu.
L EMPEREVE.	L EMPEREUE.
I'ay trop d’emotion, vous en auez trop peu	J'ai trop d'émotion, vous en avez trop peu
PHILINTE.	PHILINTE.
La peur de vous faſcher me rend touſiours eſmeuë.	La peur de vous fâcher me rend toujours émue.
L’EMPEREVR.	L'EMPEREUR.
Ie voudrois le cognoiſtre ailleurs que dans la veuë.	Je voudrais le connaître ailleurs que dans la vue.
PHTLINTE.	PHTLINTE.
Monſieur, vous ſçauez bien que mon cœur eſt à vous.	Monsieur, vous savez bien que mon cœur est à vous.
L'EMPE REVR.	L'EMPE REUR.
Ie veux donçy loger l’amitié d’vn eſpoux.	Je veux donc loger l'amitié d'H époux.
PHILINTE.	PHILINTE.
