LES ACTEVRS.	LES ACTEURS.
ERGASTE.	ÉRGASTE.
Comme on m’atout appris ie vous l’ay r’apporté, Ie n’ay rien oublié, ie n’ay rien adiouſté, Que deſirez vous plus?	Comme on m'atout appris ie vous l'ai rapporté, Je n'ai rien oublié, quelque n'ai rien ajouté, Que désirez -vous plus?
LELIE.	LELIE.
Aux choſes d’importance, Oublier quelque fois la moindre circonſtance;	Aux choses d'importance, Oublier quelque fois la moindre circonstance;
Vn regard, vn ſouſris, vn mot, vne action, Ruine abſolument noſtre pretention;	Un regard, un sousris, un mot, une action, Ruine absolument nôtre prétention;
Et ſçachant à quel poinct cet entretin m’importe, Ie t’y puis voir, cruel, repugner de la ſorte.	Et sachant à quel point cet entretin m'importe, Je t'y puis voir, cruel, répugner de la sorte.
ERGASTE.	ÉRGASTE.
Ne vous touchant pas tant, i'y repugnorois moins;	Ne vous touchant pas tant, j'y répugnorais moins;
Mais cette amour, enſin, vous couste trop de ſoings.	Mais cette amour, ensin, vous coûte trop de soings.
2	2
LELIE.	LELIE.
Il m’en couſté, il eſt vray, mnais i'en ayme les cauſes, Les eſpines d’amour ne ſont point ſans leurs roſes;	Il m'en coûté, il est vrai, ménais j'en aime les causes, Les épines d'amour ne sont point sans leurs roses;
Et quand il faut ſouffrir pour de ſi doux appas, Ie tiens pour malheureux celuy qui ne l’eſt pas:	Et quand il faut souffrir pour de si doux appas, Je tiens pour malheureux celui qui ne l'est pas:
Au reste, estant l’autheur de mon inquietude, La peux-tu negliger, ſans trop d’ingratitude, Sans tes couſeils.	Au reste, étant l'auteur de mon inquiétude, La peux-tu négliger, sans trop d'ingratitude, Sans tes couseils.
ERGASTE.	ÉRGASTE.
Et bien?	Et bien?
n’eſt on pas malheureux, De voüer ſon ſeruice à ces ſoux d’amoureux, Faictes que le ſuccez reſponde à leur caprice, On leur rend vn deuoir, non pas vn bon office;	n'est on pas malheureux, De vouer son service à ces soux d'amoureux, Faites que le succès réponde à leur caprice, On leur rendait devoir, non pas un bon office;
Le peril d’vn Gibet, eſt le moindre danger, Ou pour ſeruir leur flame on ſe doiue engager, Mais ſi quelque accident par malheur les menace, Un eſt abſolument autheur de leur diſgrace:	Le péril d'Han Gibet, est le moindre danger, Ou pour servir leur flamme on se doive engager, Mais si quelque accident par malheur les menace, Un est absolument auteur de leur disgrâce:
Soit que le ſort enfin leur ſoit cruel ou doux, Tout le bien leur eſt deub, tout le mal vient de nous, Voſtre confuſion eſt l’effect que merite La boüillante chaleur d'vne amour illicite:	Soit que le sort enfin leur soit cruel ou doux, Tout le bien leur est déb, tout le mal vient de nous, Votre confusion est l'effet que mérite La bouillante chaleur d'une amour illicite:
I’en auois bien preueu, ce triste repentir, Et ie n’ay pas manqué de vous en aduertir;	J'en avais bon preu, ce triste repentir, Et tu n'ai pas manqué de vous en avertir;
Mais malgré ces aduis qui ne profitoient guieres, Ie ne pûs refuſer mes ſoins à vos prieres.	Mais malgré ces avis qui ne profitaient guières, Je ne pus refuser mes soins à vos prières.
LELIE.	LELIE.
Voyant le precipice où tu guidois mes pas, Quoy que ſollicits, tu ne le deuois pas.	Voyant le précipice où tu guidais mes pas, Quoi que sollicits, tu ne le devais pas.
ERGASTE.	ÉRGASTE.
Letẽps vous rend ſçauãt, l’eſpreuue vous fait ſage, Mais vous estiez bien loine de tenir ce langags Quand d'vne impatience égale à vos douleurs, Pendant a mes genoux, les yeux baignez de pleurs Conſus, & deſpourueu de tout autre remede, Vous reclamiez mes ſoings, ou la mort à voſtre aque.	Letẽps vous rendez sçauãt, l'épreuve vous fait sage, Mais vous étiez bien loine de tenir ce langags Quand d'une impatience égale à vos douleurs, Pendant à mes genoux, les yeux baignez de pleurs Consus, et dépourvu de tout autre remède, Vous réclamiez mes soings, ou la mort à votre aque.
LELIE.	LELIE.
I'en conceurois enfin, des regrets ſuperflus, Quand l’affaire est au point de n'en conſulter plus:	J'en concevrais enfin, des regrets superflus, Quand l'affaire est au point de n'en consulter plus:
Mais ce que tu m’apprens, m’eſt de telle importãce Qu’il s’agit de ma mort, ou de ton aßistance;	Mais ce que tu m'apprends, m'est de telle importance Qu'il s'agit de ma mort, ou de ton assistance;
De perdre la lumiere ou conſeruer mes vœux, A qui ie ſuis lié d’indiſſolubles nœnds;	De perdre la lumière ou conserver mes vœux, À qui tu suis lié d'indissolubles nœnds;
Dy donc, que ferons-nous?	Dis donc, que ferons-nous?
romps ce faſeheux ſilẽce,	romps ce faseheux silience,
ERGASTÉ.	ÉRGASTÉ.
Souuent on détruit tout, par trop de violence.	Souvent on détruit tout, par trop de violence.
LELIE.	LELIE.
Differant trop auſi, l’on n’execute rien.	Différant trop aussi, l'on n'exécute rien.
FRGASTE.	FRGASTE.
Eraſte, amon aduis, nous y ſeruira bien, Et ſon affection ne nous ſera pas vaine.	Eraste, amon avis, nous y servira bien, Et son affection ne nous sera pas vaine.
LEIIE.	LEIIE.
Ie me promets bien moins ſon amour que ſa bayne, S’il ſçait la dure loy qu’on me veut impoſer.	Je me promets bien moins son amour que sa baine, S'il sait la dure loi qu'on me veut imposer.
ERGASTE.	ÉRGASTE.
Mais il est bien aiſe de l’en deſabuſer, Et d’obtenir de luy ce fauorable office, En faiſant qu’il ſe ſerue, en vous rendant ſeruice,	Mais il est bien aise de l'en désabuser, Et d'obtenir de même ce favorable office, En faisant qu'il se serve, en vous rendant service,
LELIE,	LELIE,
LELIE.	LELIE.
Quoy que mon cœur repugne aux eſclairciſſements Faiſons nous cet effort, tout est donc aux amants;	Quoi que mon cœur répugne aux éclaircissements Faisons nous cet effort, tout est donc aux amants;
Ergaſte, cherchons le.	Ergaste, cherchons le.
ERGASTE, le ſuiuant.	ÉRGASTE, le suivant.
2 Quel embarras extréme, Trauailler pour des fous, eſt bien l’eſtre ſoy meſme, Il leur faut au beſoin faire tout eſperer, Et perdre tout repos pour leur en procurer.	2 Quel embarras extrême, Travailler pour des fous, est bien l'être soi -même, Il leur faut au besoin faire tout espérer, Et perdre tout repos pour leur en procurer.
SCENE II.	SCÈNE II.
LIDIE, ſeule.	LYDIE, seule.
JAuure Eroxene Helas!	JAuvre Eroxène Hélas!
Quelle ame impiL ioyable, Ne ſeroit pas ſenſible à ta peine incroyable, Ie vous cherchois Eraſte.	Quelle âme impiL joyable, Ne serait pas sensible à ta peine incroyable, Je vous cherchais Éraste.
SCENE III.	SCÈNE III.
ERASTE, LYDIE.	ERASTE, LYDIE.
ERASTE.	ERASTE.
Ti'estois en ſoucy, En quel lieu ie pourrois te rencontrer außi, Toy qui brillant rayon du Soleil qui m’éclaire, Toy qui de nostre amour fidelle ſecretaire, Is qui l’appuy	Ti'étais en souci, En quel lieu Dieux pourrais te rencontrer aussi, Toi qui brillant rayon du Soleil qui m'éclaire, Toi qui de notre amour fidèle secrétaire, Is qui l'appui
LYDIE.	LYDIE.
Tout beau, ie ne me puis ſlatter, De vaines qualitez, que vous m’allez oster.	Tout beau, Seigneur ne me puis slatter, De vaines qualités, que vous m'allez ôter.
ERASTE.	ERASTE.
Ne m’apportes-tu pas vne heureuſe nouuelle?	Ne m'apportes-tu pas une heureuse nouvelle?
LYDIE.	LYDIE.
Tres-mauuaiſe au contraire, & pour vous, & pour seu 2.	Très-mauvaise au contraire, et pour vous, et pour sû 2.
Et pour qui comme moy, prend part en vos ennuys	Et pour qui comme moi, prend part en vos ennui
Quelencor?	Quelencor?
ERASTE.	ERASTE.
LYDIE.	LYDIE.
Eroxene.	Eroxène.
ERASTE.	ERASTE.
Acheus.	Achevus.
LYDIE.	LYDIE.
Iene puis	Jène puis
ERASTE.	ERASTE.
Te taire eſt vn ſurcroiſt à ma merencholie, Parle donc;	Te taire est un surcroît à ma mérencholie, Parle donc;
Eroxene.	Eroxène.
LYDIE.	LYDIE.
Eſt promiſe à Lelie:	Est promise à Lélie:
ERASTE.	ERASTE.
Ha!	Ha!
quel coup plus mortel pouuoy-ie receuoir?	quel coup plus mortel pouvais-je recevoir?
LYDIE.	LYDIE.
Ce n'est pas tout.	Ce n'est pas tout.
ERASTE.	ERASTE.
Quoy donc?	Quoi donc?
LYDIE.	LYDIE.
Ils eſpouſent ceſoir.	Ils épousent cesoir.
Ainſi les courts moments qui reſtent à voſtre ayde, Vous priuant de conſeil, vous priuent de remede.	Ainsi les courts moments qui restent à votre aide, Vous privant de conseil, vous privent de remède.
ERASTE.	ERASTE.
O ſatale nouuelle!	Ô satale nouvelle!
& funeſte à mes vœux, Ie n’en redoutois qu’vne, & tu m’en apprens deux	et funeste à mes vœux, Je n'en redoutais qu'une, et tu m'en apprends deux
Vne troiſiéme ſuit.	Une troisième suit.
LYDIE.	LYDIE.
ERASTE.	ERASTE.
Pourſuy donc, & m’acheue;	Poursui donc, et m'achève;
C’est trop long-temps languir, ie ne veux plus de tréue, Et de tous ſes efforts ma conſtance eſt à bout.	C'est trop longtemps languir, je ne veux plus de trêve, Et de tous ses efforts ma constance est à bout.
LYDIE.	LYDIE.
Pour chercher du remede il vous faut dire tout.	Pour chercher du remède il vous faut dire tout.
Son oncle ſe doutant de noſtre confidence;	Son oncle se doutant de notre confidence;
M’a ſait auiourd’huy nieſme, vne expreſſe deffence, De plus ſortir, vous voir, ny vous parler iamais.	M'a sait aujourd'hui nième, une expresse défense, De plus sortir, vous voir, ni vous parler jamais.
ERASTE.	ERASTE.
Que le Ciel ſur mon chef éclatte deſormais, (eſtre, Quelque ardant & mortel que ſon foudre puiſſe Vn fruit de ma ruine eſt qu’il ne peut l’accroiſtre.	Que le Ciel sur mon chef éclatte désormais, (être, Quelque ardant et mortel que son foudre puisse Un fruit de ma ruine est qu'il ne peut l'accroître.
LIDIE.	LYDIE.
Puis qu’il vous faut tout dire, & d’vn cœur confident, Vous auez à combattre vn quatriéme accident.	Puis qu'il vous faut tout dire, et d'un cœur confident, Vous avez à combattre un quatrième accident.
ERASTE.	ERASTE.
Apres qu’a tant d’ennuis ma mort est impoßible, Fappe, accable, pourſuy, ie ne ſuis plus ſenſible.	Après qu'a tant d'ennuis ma mort est impossible, Fappe, accable, poursui, une ne suis plus sensible.
LIDIE.	LYDIE.
Vous auez d’Eroxene excité le courroux.	Vous avez d'Eroxène excité le courroux.
ERASTE.	ERASTE.
D’Eroxene, Lydie!	D'Eroxène, Lydie!
LYDIE.	LYDIE.
Elle ſe plaint de vous.	Elle se plaint de vous.
ERASTE, comme s’euaneüiſſant C’eſt à ce dernier coup, qu’il faut que ie ſuccombe, Que le nuagecreue, & que le foudre tombe.	ERASTE, comme s'euaneüissant C'est à ce dernier coup, qu'il faut que ie succombe, Que le nuagecreue, et que le foudre tombe.
LYDIE.	LYDIE.
Vous dißimulez bien, le cœur vous reuiendra, Et ce n’est pas encor le coup qui vous tuera.	Vous dissimulez bien, le cœur vous reviendra, Et ce n'est pas encor le coup qui vous tuera.
A des yeux clair-voyants, la ſeinte eſt inutile, Certains bruits en vn mot s’épandent par la ville, Et non ſans ſondement, & ſans quelque raiſon, Qui vous rendent ſuſpeét.	À des yeux clair-voyants, la seinte est inutile, Certains bruits en un mot s'épandent par la ville, Et non sans sondement, et sans quelque raison, Qui vous rendent suspeet.
ERASTE.	ERASTE.
De quoy?	De quoi?
LYDIE.	LYDIE.
De trabiſon, IOu pour mieux en parler, d’amour pour Aurelie, LAu mépris de la foy dont le ſerment vous lie;	De trabison, JOu pour mieux en parler, d'amour pour Aurie, LAu mépris de la foi dont le serment vous lie;
Son frere qui vous ſuit inſeparablement, Semble estre à ce ſoupçon, vn iuſte fondement.	Son frère qui vous suit inséparablement, Semble être à ce soupçon, un juste fondement.
Iuste Ciel!	Juste Ciel!
ERASTE.	ERASTE.
LYDIE.	LYDIE.
Et l’amour regne s’il le ſaut dire, Dans les yeux d’.	Et l'amour règne s'il le saut dire, Dans les yeux d'
Aurelie auecqnes tant d’empire, Qu’outre les cruaurez, & les meurtres ſecrets, Que ce tyran commet auecques leurs attraits, Dans les plus reſelus & plus fermes courages, L’inconſtance peut bien eſtre vn de ſes ouurages, Et peurroit bien auoir à des charmes ſi doux, Acquis l’authorité qu’vn autre auoit ſur vous;	Avrelie auecqnes tant d'empire, Qu'outre les cruaurez, et les meurtres secrets, Que ce tyran commet avec leurs attraits, Dans les plus réélus et plus fermes courages, L'inconstance peut bien être un de ses ouvrages, Et peurrait bien avoir à des charmes si doux, Acquis l'autorité qu'un autre avait sur vous;
ci jui cepuueman.	cy jui cepueman.
ERASTE.	ERASTE.
Eroxene, Lydie, er paui joupçonner de cette perfidie!	Eroxène, Lydie, er pavi joupçonner de cette perfidie!
Dloy, traifire!	Dloi, traifire!
LYDIE, Le retenant.	LYDIE, Le retenant.
Où courez-vous:	Où courez-vous:
ERASTE.	ERASTE.
Ie vay la détromper.	Je vais la détromper.
Ne retien point mes pas,	Ne retiens point mes pas,
ERASTE.	ERASTE.
Par mon trépas Mais perdant la clarté, i'emporteray la gloire.	Par mon trépas Mais perdant la clarté, j'emporterai la gloire.
LYDIE.	LYDIE.
Le mal n’eſt pas ſi grãd que ie vous l’ay fait croire, Cette peur eſtoit plus mon ſoupçon que le ſien, Ne vous en troublez point, nous l’en guerirons bienLe ſrequent entretien de vous, & de Lelie, Me faiſoit redouter le pouuoir d’Aurelie;	Le mal n'est pas si grand que je vous l'ai fait croire, Cette peur était plus mon soupçon que le sien, Ne vous en troublez point, nous l'en guérirons bienLée srequent entretien de vous, et de Lélie, Me faisait redouter le pouvoir d'Aurie;
Mais ie voy qu’il n’a point alteré voſtre amour.	Mais ici vois qu'il n'a point altéré votre amour.
ERASTE.	ERASTE.
Ie t’en euſſe éclarcie en me priuant du iour, Et ma mort t’euſt fait voir qu’il n'eſt pas neceſſaire, D'eſtre Amant de la Sœur pour eſtre amy du Frere, Tu ſçaurois ſi l’amour auoit pû t’enflâmer, Quel tort fait vn reproche à qui ſçait bien aymer;	Je t'en eusse éclarcie en me privant du jour, Et ma mort t'eût fait voir qu'il n'est pas nécessaire, D'être Amant de la Sœur pour être ami du Frère, Tu saurais si l'amour avait pu t'enflammer, Quel tort fait un reproche à qui sait bien aimer;
Cruelle, tu ſçaurois, ſi pour cauſer ma peine, L’Amour puiſe des traits hors des yeux d’Eroxene, Et ſi les miens, enfin, conſeruans la clarté, L’vſage leur en plaist que pour voir ſa beauté.	Cruelle, tu saurais, si pour causer ma peine, L'Amour puise des traits hors des yeux d'Éroxène, Et si les miens, enfin, conservants la clarté, L'usage leur en plaît que pour voir sa beauté.
LYDIE.	LYDIE.
LAu beſoin qui la preſſe elle implore voſtre aide, Et vous mande le mal pour chercher le remede, IVous luy feriez bien mieux paroiſtre voſtre amour, Détournant cet Hymen, que vous priuant du iour.	LAu besoin qui la presse elle implore votre aide, Et vous mande le mal pour chercher le remède, JUous lui feriez bien mieux paraître votre amour, Détournant cet Hymen, que vous privant du jour.
ERASTE.	ERASTE.
Dy luy, qu’ou de l’eſprit, l’adreſſe ſera vaine.	Dis -là, qu'ou de l'esprit, l'adresse sera vaine.
Et bien?	Et bien?
LYDIE.	LYDIE.
ERASTE.	ERASTE.
Celle du bras la tirera de peine;	Celle du bras la tirera de peine;
Que ie vais de ce fer, s’il ne me ſatisfait, Dans le cœur de Lelie eſfacer.	Que le vais de ce fer, s'il ne me satisfait, Dans le cœur de Lelie éfacer.
ſon portrait, L’arracher de ſon ſein, & de cet infidelle, Immoler à l’Amour l’amitié criminelle,	son portrait, L'arracher de son sein, et de cet infidèle, Immoler à l'Amour l'amitié criminelle,
LYDIE, s’en allant.	LYDIE, s'en allant.
Ne vous emportez pas iuſqu’à ce dernier poinct.	Ne vous emportez pas jusqu'à ce dernier point.
Les hommes couſtent cher, ne les prodiguons point.	Les hommes coûtent cher, ne les prodiguons point.
SCENE III.	SCÈNE III.
ERASTE, LELIE, ERGASTE.	ERASTE, LELIE, ERGASTE.
Eſt luy!	Est lui!
LELIE.	LELIE.
Cn ERASTE.	Cn ERASTE.
Quelque apparence où l'amitié ſe ſonde, Ne cherchons plus ny foy, ny vertu dans le monde;	Quelque apparence où l'amitié se sonde, Ne cherchons plus ni foi, ni vertu dans le monde;
L’amitié, les ſerments, & la foy d’auiourd’huy, Ne ſeruent qu’à tromper la bonne foy d’autruy.	L'amitié, les serments, et la foi d'aujourd'hui, Ne servent qu'à tromper la bonne foi d'autrui.
Mais enfin, ie ſuiuray l’exemple qu’on me donne, Et traby de chacun, n’épargneray perſonne.	Mais enfin, Seigneur suivrai l'exemple qu'on me donne, Et trabi de chacun, n'épargnerai personne.
LEIIE.	LEIIE.
Il diſcourt en luy-meſme.	Il discourt en porte-même.
ERGASTE.	ÉRGASTE.
A l’exemple des fous, Cõme frappé ſans doute en meſme endroit que vous.	À l'exemple des fous, Comme frappé sans doute en même endroit que vous.
ERASTE.	ERASTE.
Si mon bras ne l’immole à ma iuſte colere, Ie veux bien que le Ciel ne me ſoit pas proſpere.	Si mon bras ne l'immole à ma juste colère, Je veux bien que le Ciel ne me soit pas prospère.
ERGASTE.	ÉRGASTE.
Que ne luy parlez-vous?	Que ne notre parlez-vous?
LELIE.	LELIE.
Eraſte, quel ſoucy Vous excite ce trouble, & vous trauaille ainſi:	Eraste, quel souci Vous excite ce trouble, et vous travaille ainsi:
ERASTE.	ERASTE.
Ie compatis, Lelie, aux miſeres du monde, Où tout ſoucy, tout trouble, & tout malheur abondes Depuis que l'amitié n'y cognoiſt plus de loy, Et que la foy n’y ſert qu’à ſeduire la foy, Mon plus cher confident trauaille à ma ruine, Et mon meilleur amy me trompe & m’aſſaßine.	Je compatis, Lélie, aux misères du monde, Où tout souci, tout trouble, et tout malheur abondes Depuis que l'amitié n'y connaît plus de lois, Et que la foi n'y sert qu'à séduire la foi, Mon plus cher confident travaille à ma ruine, Et mon meilleur ami me trompe et m'assassine.
LELIE.	LELIE.
Ie ne le tiendrois plus en cette qualité, Et tel amy ne peut eſtre aſſez deteſté.	Je ne le tiendrais plus en cette qualité, Et tel ami ne peut être assez détesté.
ERASTE.	ERASTE.
Ie ne le tiens außi qu’en qualité de traiſte, Et le deteſte autant qu'il eſt digne de l’eſtre.	Je ne le tiens aussi qu'en qualité de traîte, Et le déteste autant qu'il est digne de l'être.
LELIE.	LELIE.
Sans vous en mettre en peine apprenez moy ſon nom, Eraſte, & laiſſez-moy vous en faire raiſon.	Sans vous en mettre en peine apprenez moi son nom, Eraste, et laissez-moi vous en faire raison.
ERASTE.	ERASTE.
Il eſt de vos amis.	Il est de vos amis.
LELIE.	LELIE.
Des amis de la ſorte, Pour ſe deffendre d’eux la cognoiſſance importe.	Des amis de la sorte, Pour se défendre d'eux la connaissance importe.
ERASTE.	ERASTE.
Quoy qu’infiniment traiſtre il ne me peut trabir;	Quoi qu'infiniment traître il ne me peut trabir;
Ny vous, quoy qu’odieux ne le pouuez hair,	Ni vous, quoi qu'odieux ne le pouvez haïr,
Vous le nommez?	Vous le nommez?
LELIE.	LELIE.
ERASTE.	ERASTE.
Lelie.	Lélie.
LELIE.	LELIE.
Hal c'eſt me faire iniure;	Hal c'est me faire injure;
ERASTE.	ERASTE.
C’eſt vous meſme, cruel, vous qui m'eſtes pariure.	C'est vous -même, cruel, vous qui m'êtes parjure.
Vous, Vous, que pour mon amy i'ay tort de reputer, Vous, que par vostre aduis ie dois tant detester.	Vous, Vous, que pour mon ami j'ai tort de réputer, Vous, que par votre avis ie dois tant détester.
LELIE.	LELIE.
treme,	treme,
LELIE.	LELIE.
Dittes-moy donc mon crime, & me tirez de peine.	Dittes-moi donc mon crime, et me tirez de peine.
ERASTE.	ERASTE.
Ie vous le dis aſſez, ſans nommer Eroxene;	Je vous le dis assez, sans nommer Eroxène;
Et ce ſecret remords qui nous ſçait tourmenter, Et punir nos forfaits ſans nous executer;	Et ce secret remords qui nous sait tourmenter, Et punir nos forfaits sans nous exécuter;
Teſmoin, iuge, & bourreau de voſtre perſidie, Vous la reproche aßez, ſans que ie vous la die.	Témoin, juge, et bourreau de votre persidie, Vous la reproche assez, sans que je vous la die.
LELIE.	LELIE.
Si vostre aueuglement ne me ſaiſoit pitié, Ou bien ſi ie pouuois vous manquer d’amitié;	Si votre aveuglément ne me saisait pitié, Ou bien si ici pouvais vous manquer d'amitié;
D'vn bras qui rarement attend qu’on le conuie, Ie vous aurois deſia fait paſſer vostre ennie;	D'un bras qui rarement attend qu'on le convie, Je vous aurais déjà fait passer votre ennie;
Mais ſans auoir donné du penſer ſeulement A vos ialoux ſoupçons le moindre fondement.	Mais sans avoir donné du penser seulement À vos jaloux soupçons le moindre fondement.
ERASTE.	ERASTE.
Ce n’eſt rien que ce ſoir épouſer Eroxene.	Ce n'est rien que ce soir épouser Eroxène.
LELIE.	LELIE.
Ie crains plus ſon amour que ie ne ſais ſa haine;	Je crains plus son amour que ici ne sais sa haine;
Le ſoir qui ſeus ſes loix rangeroit mon deſtin;	Le soir qui zeus ses lois rangerait mon destin;
Seroit ſuiuy pour moy d’vne nuit ſans matin;	Serait suivi pour moi d'une nuit sans matin;
Mais il ſ.	Mais il s.
iut pardenner à voſtre ialouſie, Et pour vous bien guerir de cette frenaiſie, Vous fiant mon ſecret, vous apprendre en deux mots Cembien vn tel deſſein repugne à mon repos.	iut pardenner à votre jalousie, Et pour vous bien guérir de cette frenaisie, Vous fiant mon secret, vous apprendre en deux mots Cembien un tel dessein répugne à mon repos.
ERASTE.	ERASTE.
Si chacun s’abuſant ie m’abuſois moy-meſme, Ie tiendrois cette erreur pour vn bon-heur extréme.	Si chacun s'abusant ici m'abusais moi-même, Je tiendrais cette erreur pour un bonheur extrême.
LELIE.	LELIE.
Quand de la Reyne Bonne, & d’effect, & de nom En Pologne, mon pere eut l’heur d’eſtre Eſchanſon;	Quand de la Reine Bonne, et d'effet, et de nom En Pologne, mon père eut l'heur d'être Eschanson;
Aſſez conſideré, par l’honneur de luy plaire, (Pour vous le faire court )il y manda ma mere;	Assez considéré, par l'honneur de lui plaire, (Pour vous le faire court ) y manda ma mère;
Et nous voulant à tous partager ſon credit, Souhaitta que ma ſœur encore s’y rendit, (Que ma mere eſleuoit en ſa plus tendre enfance,) Car pour moy, deſia grand, & hors de ſa puiſſance, I’auois ſuiuy mon pere, & ſorty de ſon ſang Dedans la Cour deſia poſſedois quelque rang;	Et nous voulant à tous partager son crédit, Souhaita que ma sœur encore s'y rendit, (Que ma mère élevait en sa plus tendre enfance,) Car pour moi, déjà grand, et hors de sa puissance, J'avais suivi mon père, et sorti de son sang Dedans la Cour déjà possédais quelque rang;
Elles partirent donc, & croyant la fortune Auoir trop fait pour nous pour leur eſtre importune.	Elles partirent donc, et croyant la fortune Avoir trop fait pour nous pour leur être importune.
L’vne en queſte d'vn pere, & l’autre d'vn mary, I'inrent pour nous trouuer, s’embarquer en Bary Mais le Pilote à peine eut laiſſé choir les voiles, Qu’vn vent impetueux en dechirant les toiles, Les écarta ſi loing que l’on crût leurs vaiſſeaux hes débris d’vn teueil ou le butin des eaux;	L'une en quête d'Hommes père, et l'autre d'un mari, J'inrent pour nous trouver, s'embarquer en Bari Mais le Pilote à peine eut laissé choir les voiles, Qu'un vent impétueux en déchirant les toiles, Les écarta si loin que l'on crût leurs vaisseaux hé débris d'un teueil ou le butin des eaux;
Quinze ans s’eſtoiẽt coulez ſas qu’aucunes nouelles En Pologne, ou dans Nole euſſent rien apris d'elles.	Quinze ans s'étaient coulez sas qu'aucunes nouvelles En Pologne, ou dans Nole eussent rien appris d'elles.
Et (comme apres des ſoings ſi longs, & ſuperflus, Mon pere n’en cherchoit, ny n’en eſperoit plus;	Et (comme après des soings si longs, et superflus, Mon père n'en cherchait, Seigneur n'en espérait plus;
Depuis deux ans enſin il a ſceu que ma mere, Tombée auec ma ſœur, au pouuoir d vn Corſaire.	Depuis deux ans ensin il a su que ma mère, Tombée avec ma sœur, au pouvoir d ' Corsaire.
Pres d’vne Iſle écartée, ou le vent les pouſſa, Auoit eſté venduë aux Agents d’vn Baſſa, Qu'à l’egard de ma ſœur elle en fut ſeparée, Et ſuiuit vn marchand de quelqu’autre cmtrée Mon pere à ce bon-heur ſe ſentit tranſporter, Et ne iugeant que moy qui les pûſt rachepter;	Pres d'une Isle écartée, ou le vent les poussa, Avait été vendue aux Agents d'un Bassa, Qu'à l'égard de ma sœur elle en fut séparée, Et suivît un marchand de quelqu'autre cmtrée Mon père à ce bonheur se sentit transporter, Et ne jugeant que moi qui les pût rachepter;
Outre ſix cens ducats, me fiſt pour ceuyyace, Ordmner l’appareil d’vn honneſte Equipage Veniſe où i’arriuay, pour mon embarquement Veid fiair mon voyage, & naiſtre mon tourmen'!	Outre six cens ducats, me fît pour ceuyyace, Ordamner l'appareil d'un honnête Équipage Venise où j'arrivai, pour mon embarquement Veid air mon voyage, et naître mon tourments!
Et l’endroit où ie creus laiſſer ma lißitude M’excita tant de peine, & tant d inquietude;	Et l'endroit où a creus laisser ma livitude M'excita tant de peine, et tant d inquiétude;
Mais de peine ſi chere, & ſi douce à ſouffrir Que iuſques à preſent, ie n’en ay pû guerir;	Mais de peine si chère, et si douce à souffrir Que jusques à présent, notre n'en ai pu guérir;
A l’heure du ſoupper la table fut couuerte, Par des mains dont amour auoit iuré ma perte:	À l'heure du souper la table fut couverte, Par des mains dont amour avait juré ma perte:
