Au Lecteur, ſur l’Argument de la Tragedie.	Au Lecteur, sur l'Argument de la Tragédie.
combien qu’il n’en face aucune mention en pas vn de ſes actes, non plus que de ſa priſe au ſecours de Compiegne, lors que partant de Lagny, elle deſiroit rẽdre à ceſte ville aſsiegee d’Anglois & de Bourguignons, vn pareil ofice qu’elle auoit fait aux bourgeois d’Orleans ſous le meſme Charles vii.	combien qu'il n'en face aucune mention en pas un de ses actes, non plus que de sa prise au secours de Compiegne, lors que partant de Lagny, elle désirait règdre à cette ville assiégée d'Anglais et de Bourguignons, ainsi pareil office qu'elle avait fait aux bourgeois d'Orleans sous le même Charles vi.
Mais le Dieu qui auoit armé ſa dextre pour la defence de ce Royaume, voulant monſtrer que l’eſtat de la France depẽdoit de ſa ſeule main:	Mais le Dieu qui avait armé sa dextre pour la défense de ce Royaume, voulant montrer que l'état de la France dépendre de sa seule main:
& qu’ayant choiſi ceſte fille pour triõfer de la deſroute de nos ennemis, il la vouloit auſſi rendre victorieuſe de leur enuie par la conſtance de ſon eſprit reſolu en ſon innocẽce, permiſt qu’elle fut priſe en vne ſortie par les gens de Meſsire Iean de Luremouurg;	et qu'ayant choisi cette fille pour triomper de la déroute de nos ennemis, il la voulait aussi rendre victorieuse de leur envie par la constance de son esprit résolu en son innocience, permît qu'elle fut prise en une sortie par les gens de Messire Jean de Luremouvrg;
qui la liura aux Anglois.	qui la livra aux Anglais.
Leſquels pour reparer leur fuite, qui auoit tant de fois monſtré le dos à la faca de ceſte Amazone maſquee non d’vn cache-nez, mais d’vn heaume, firent tourner viſage à leur coüardiſe ſachãt que ſon courage eſtoit bien libre dans les priſon, de ſõ ſeruage:	Lesquels pour réparer leur fuite, qui avait tant de fois montré le dos à la faca de cette Amazone masque non d'un cache-nez, mais d'une heaume, firent tourner visage à leur couardise sachant que son courage était bien libre dans les prison, de son servage:
Mais que ſes bras enchainez ne pourroyent executer la vengeance de ſes deſirs:	Mais que ses bras enchaînez ne pourraient exécuter la vengeance de ses désirs:
dont la vie neantmoins menaçoit celles des aduerſaires, qui preuoyoyent au cas qu’ils la tinſlent longtẽps, qu’elle fauſſeroit les pottes d’vne foible priſon, ayant peu rẽuerſer les baricades de leur puiſſante armee.	dont la vie néanmoins menaçait celles des adversaires, qui preuoyoyent au cas qu'ils la tinslent longtẽps, qu'elle fausserait les pottes d'une faible prison, ayant pu ruerser les baricades de leur puissante armée.
4	4
La crainte de ſe deſaſtre prochain, l’ennie à ſa gloire naiſſãte, & le deſir de ſa mort inhumaine, animerent ce peuple, & principalement le Duc de Betfoit, a requerir cet iniuſtice de Meſſire Pierre Cauchon Eueſque de Beauuais, & naturel Anglois, qui penſant deuoir cela à ſa patrie, condamna la Pucelle comme ſorciere (fauſſemẽt pretenduë )a eſtre bruſlee (ainſi qu’il eſt dit pour conſommer ſa gloire auec ſes os, qui n’ayans peu auoir la terre pour tombeau, ont eu le ciel pour vrne de leur cendre, & le ſouuenir du peuple Frãçois pour cymetiere de regrets & de pleurs.	La crainte de se désastre prochain, l'ennie à sa gloire naissante, et le désir de sa mort inhumaine, animèrent ce peuple, et principalement le Duc de Bedfait, a requérir cet injustice de Messire Pierre Cauchon Euesque de Beauvais, et naturel Anglais, qui pensant devoir cela à sa patrie, condamna la Pucelle comme sorcière (faussemẽt défendue )a été brûle (ainsi qu'il est dit pour consommer sa gloire auec ses os, qui n'ayant peu avoir la terre pour tombeau, ont et le ciel pour vrne et le cendre, et le souuenir du peuple Frãçois pour cymetiere , et et de pleurs.
PROLOGVE.	PROLOGUE.
S& Pelle induſtrieux par vn docte pinM { ceau Taſche d’éterniſer ſur vn large tableau Les hõneurs & le nõ d’vne d’extre guerriere?	SET Pelle industrieux par un docte pinM U quelque Tâche d'éterniser sur un large tableau Les honneurs et le nôtre d'une d'extr guerrière?
Liſippe ſur le marbre, & ſur la dure pierre Anime les eſprits d’vn portrait cizaillé:	Lisippe sur le marbre, et sur la dure pierre Anime les esprits d'un portrait cizaillé:
Policlete ſe plaiſt ſur võ œuure emaillé, Grauer de ſon burin au temple de memoire D'vn heros les vertus des palmes & la gloire, Mais le pœte ſaint le nourriſon des Cieux Par vn chant Eternel l’auoiſine des Dieux, Mignarde tellement aux fredons de ſa lire Le los d’vn genereux & floriſſant Empire, Qu’il édort, & la Parque, & les tartares ſœurs Le chiena trois goſiers, les iuges puniſſeurs.	Policle se plaît sur viens œuvre emaillé, Graver de son burin au temple de mémoire D'un héros les vertus des palmes et la gloire, Mais le pœux et le lourrison des Cieux Par un chant Éternel l'avaisine des Dieux, Mignarde tellement aux frédons de sa lire Le los d'un généreux et florissant Empire, Qu'il édort, et la Parque, et les tartares sœurs Le chiena trois gosiers, les juges punisseurs.
Le fleuue Lethean & tout ce qui s’efforce De priuer ſes accords & de vie & de force.	Le fleuve Léthéan et tout ce qui s'efforce De priver ses accords et de vie et de force.
Apres cygne éplumé il fẽd le creux de l’air, Plus viſte qu’vn dedal qui commence à voler Or vers leſt hin cornu ore deuers l’Euphrate, Sur le Nil qui coulant à ſept canaux s’eſclate.	Après cygne éplumé il fait le creux de l'air, Plus vite qu'un dedal qui commence à voler Or vers lest hin cornu ore devers l'Euphrate, Sur le Nil qui coulant à sept canaux s'éclate.
Ore ſur le Boſphor' or pres l’Hiberient?	Ore sur le Bosphor' or pres l'Hiberient?
L’Elege, le Caré & le chaud Colchien Entonnant çà & là d’vne voix Sibiline Le renom & le los d'vne forte poitrine:	L'Élège, le Caré et le chaud Colchien Entonnant çà et là d'une voix Sibiline Le renom et le los d'une forte poitrine:
Ainſi par ce doux chant Hercule genereux.	Ainsi par ce doux chant Hercule généreux.
S’aſsit pres de Iupin entre les bien-heureux	S'assit pres de Jupin entre les bienheureux
Pluſieurs bié que vaillãs par vn ſómeil de le Ont enſẽble endormy ſous vn meſme roche Et leur nom & leurs corps, pour n’auoir eu de pœte Fauorable aux honneurs de leur ſainte conqueſte.	Plusieurs bié que vaillant par un sommeil de le Ont ensemble endormi sous un même roche Et leur nom et leurs corps, pour n'avoir eu de pœte Favorable aux honneurs de leur sainte conquête.
rien Quoy penſeriez-vous bien que l’œil TenaSeul euſt comblé de feux le pariure Troyeni Bruſlé les beaux cheueux d’vn Paris adultere Admiré l’ornement de ſa triſte miſere?	rien Quoi penseriez-vous bien que l'œil TenaSeul eût comblé de feux le parjure Troyeni Brûlé les beaux cheveux d'un Paris adultère Admiré l'ornement de sa triste misère?
Teuchre a-il le premier enſõcé les forts arcs Idomene a-il ſeul bien rangé ſes ſol dars?	Teuchre a-il le premier ensõcé les forts arcs Idomène a-il seul bien rangé ses sol dars?
Hector verſé l’eſprit par ſa pudique femme Deiphebe eſpande pour le meſme ſon eme – :	Hector versé l'esprit par sa pudique femme Diphebe épande pour le même son eme :
114 Deuant Agamemnon?	114 Devant Agamemnon?
mill' & iuiſl' ont veſcu Vrais rameaux de Mauors dõt le nõ eſt perdu e d' 2 l’auoir rencôtré quelque laguc ullerte Oui les peuſt retirer d’vne fatalle perte.	mill' et juisl' ont vécu Vrais rameaux de Mavors dont le nôtre est perdu e d' 2 l'avoir rencôtré quelque laguc ullerte Oui les pût retirer d'une fatalle perte.
Or bien que dans vos cœurs le beau los ſoit portrait D’vne forte pucelle, & que l’enuieux trait Du Saturne glouton à ſon eternel aage Ne le puiſſe effacer de voſtre ſaint courage:	Or bien que dans vos cœurs le beau los soit portrait D'une forte pucelle, et que l'envieux trait Du Saturne glouton à son éternel aage Ne le puisse effacer de votre saint courage:
Que vous ayez touſiours comme deuant les yeux Les dangers, les aſſauts, les perils odieux, L’audace de l’Anglois, & craignant ſa furie Au recit de ſes maux vous filiez voſtre vie:	Que vous ayez toujours comme devant les yeux Les dangers, les assauts, les périls odieux, L'audace de l'Anglais, et craignant sa furie Au récit de ses maux vous filiez votre vie:
Toutesfois nous penſons auec voſtre faueur Empraindre plus au vif ſon immortel hõneur Par vn tragic cothurne, ainſi l’Egyptienne Hecube ſes enfans, la chaſte Iyrienne Et Lucrece auiourd huy par vn nouuel effort Sur vn triſte eſchauffaut ſe vegẽt de la mort,	Toutefois nous pensons avec votre faveur Empraindre plus au vif son immortel honneur Par un tragic cothurne, ainsi l'Égyptienne Hecube ses enfants, la chaste Iyrienne Et Lucrece aujourd' hui par un nouvel effort Sur un triste échauffaut se végent de la mort,
Celle cy a ſauué par vn diuin ouurage La Frãce d’vn degaſt d’vn prril d’vn naufrage Elle a remis le ſceptre en la main du François, Fait ſecher les lauriers ſur le frõt des Anglois Elle a gardé nos murs d’vne perte eternelle, Chaſſe bien loin de nous la grad peſte mortelle, Pouſſé dedans les flots l’infidel eſtranger Contraint à la parfinſes ondes renager:	Celle cy a sauvé par un divin ouvrage La France d'un dégât d'un prril d'un naufrage Elle a remis le sceptre en la main du Français, Fait sécher les lauriers sur le front des Anglais Elle a gardé nos murs d'une perte éternelle, Chasse bien loin de nous la grad peste mortelle, Poussé dedans les flots l'infidél étranger Contraint la es ondes renager:
De ſe donner la mort:	De se donner la mort:
apres victorieuſe Elle a eſtaint ſes iours par la troupe enuieuſe Sur vn braſier ardent:	après victorieuse Elle a estaint ses jours par la troupe envieuse Sur un brasier ardent:
fuyez doncques d’icit Or chaſſez de vos cœurs tout ennuyeux ſouci Imitez Harpocrate & ſous vne preſence Ornez noſtre eſchaffaut d’vn Pharien ſilence,	fuyez donc d'icit Or chassez de vos cœurs tout ennuyeux souci Imités Harpocrate et sous une présence Ornez notre échaffaut d'un Pharien silence,
PERSONNAGES.	PERSONNAGES.
Le Roy Charle ſeptiéme.	Le Roi Charle septième.
Le Duc d’Alençon.	Le Duc d'Alençon.
La Pucelle.	La Pucelle.
Le Baſtard d’Orleans.	Le Bât d'Orleans.
Le Conte du Suffort.	Le Conte du Suffort.
Glacidas Anglois.	Glacidas Anglais.
Le Seigneur Talbot.	Le Seigneur Talbot.
Lucidam Anglois.	Lucidam Anglais.
Les Gendarmes executeurs.	Les Gendarmes exécuteurs.
Allide Anglois.	Allide Anglais.
Les filles de France.	Les filles de France.
TRAGEDIE, DE IEANNE D’ARQVES, DITE L'A PVCELLE d’Orleans.	TRAGÉDIE, DE JEANE D’ARQUES, DITE L'A PUCELLE d'Orleans.
Natiue du village d’Emprenne, pres Vaucouleurs en Lorraine.	Native du village d'Émprenne, pres Vaucouleurs en Lorraine.
Le Roy.	Le Roi.
Le Duc d’Alençon.	Le Duc d'Alençon.
ACTE I.	ACTE I.
Q Le Roy.	Q Le Roi.
Voy qu’un peuple coüard, qu'un peuple eſſemine, Qu'on barbare qu’vn ſerſ s’eleue mutine, Plus mel qu’vn Phrigien, plus qu’vn Aſiatique, Plus qu’un atedois noux-y d’un appareil Perſique, Et vai iement enſte d'vn courage haulain Taſche de nous rauir le ceptre de la main:	Vois qu'un peuple cHard, qu'un peuple essemine, Qu'on barbare qu'un sers s'élève mutine, Plus mel qu'un Phrigien, plus qu'un Asiatique, Plus qu'un atedais noux-y d'un appareil Persique, Et vay iement enste d'un courage haulain Tâche de nous ravir le ptre de la main:
Let Geans ſe pens-pitdi gros germe de la ierre Ainſi a vyent voulu eleue vue gueure Contre les immmiels;	Let Géants se pens-pitdi gros germe de la jerre Ainsi a vient voulu élève vue guvre Contre les immiels;
& Tjſiphe orgutilleux	et Tjphe orgutilleux
Entrepris de pouſſer ſa teſte dans les cieux:	Entrepris de pousser sa tête dans les cieux:
D'y regir les ſlambeaux d’y planter ſon trophee Compagnon de lorgut il de ce ſier Salmonee.	D'y régir les slambeaux d'y planter son trophée Compagnon de lorgut il de ce sier Salmone.
Les monſtres naiſſent-ils par vn deſtin ſatal Pour empourprer de ſangl' Alcide cha ſſe-mal?	Les monstres naissent-ils par un destin satal Pour empourprer de sangl' Alcide cha ssemal?
Et les timides Dains pour accroiſtre leurs bornes Contre les fort.	Et les timides Dains pour accroître leurs bornes Contre les fort.
Cyons oſent dreſſer leurs cornes?	Cyons osent dresser leurs cornes?
Les ſerſs contre les loups, & l’oiſeau Paphien Contre l’aigle chery du grand Saturnien?	Les serss contre les loups, et l'oiseau Paphien Contre l'aigle chéri du grand Saturnien?
Quelle rage eſt cecy?	Quelle rage est ceci?
quel eſpoir, quel audace?	quel espoir, quel audace?
Quel ſiniſtre malheur paroiſt deuant ma face Va peuple pa ſumé d’Arabiques odeurs.	Quel sinistre malheur paraît devant ma face Va peuple pay sumé d'Arabiques odeurs.
cœur laſche, cœur failly, dechaine ſes ſureurs D’vn glaiue meurtrier, & d’vn ire ſelonne Cercher dans les combats la cruelle Belonne, Remplir le Clel de ſeux, la terre de ſoldards, Trainer la parque à ſoy d'vn million de dards, Contendre d’arracher les lauriers de ma teſte, Et pendre par le ſer quelque heureuſe conqueſte, Qui s’eſorce blantbir les plaines de nos os, Teindre les eaux de ſang, rompre noſtre repos, Nous embraſer de ſeux, & planin de nos peres Les tombeaux vrais teſmoins de nos ſaintes pritres Qui eſleue vn char d’or, pour marque de ſa gloire, Cerchant la palme ainſi que l’heur d'vne victoire.	cœur lâche, cœur failli, dechaine ses sûreurs D'un glaiue meurtrier, et d'un ire selonne Cercher dans les combats la cruelle Belonne, Remplir le Clè de seux, la terre de soldards, Trainer la parque à soi d'un million de dards, Contendre d'arracher les lauriers de ma tête, Et pendre par le ser quelque heureuse conquête, Qui s'esorce blantbir les plaines de nos os, Teindre les eaux de sang, rompre notre repos, Nous embraser de seux, et planin de nos pères Les tombeaux vrais ty de et saintes vrais Qui esleue char or, pr marque de sa gloire, Urt la palme ainsi que pheur d' victoire.
Apręs auoir paße entre mille hazars Delà le pont Euxin vn eſſarn de ſoldars:	Apress avoir passe entre mille hasards Delà le pont Euxin un essarn de soldars:
Pris le Scithe ſuyard contraint le Moſcouite Le Sarmate cruel deſarmé de ſa ſuite, Deu le eaux du Danube & ſur vn froid rocher Graué le los acquis par la pointe du ſer, Apres tant de labeurs tant de mal enduré:	Pris le Sithe suivis contraint du Moscouite Le Sarmate cruel désarmé de sa suite, Deu le eaux du Danube et sur un froid rocher Gravé le los acquis par la pointe du ser, Après tant de labeurs tant de mal enduré:
I penſois me nourrir d’vn repos aſſure, E ider dans mes priſous à cent horribles ebeſnes	I pensais me nourrir d'autre repos assure, E ider dans mes prisous à cent horribles ebesnes
Les ſilles de la nuict cauſes de tant de peinet.	Les silles de la nuit causes de tant de peinet.
Tyſiphone, Alecton, & leur troiſieme ſœur Dont le poil ſe pentin ſe grille de l’ardeur Des ſeux Tenariens, le courroux & la rage Fremiſſant au deuant de leur paſle viſage.	Tysiphone, Alecton, et leur troisième sœur Dont le poil se pentin se grille de l'ardeur Des seux Tenariens, le courroux et la rage Frissant au devant de leur pâle visage.
Ià l’alme deſcendoit du grand troſue des Dieux, Aſtree en ma ſaueur deſia quittoit les Cieux, Et le docte Alcion deſſus l’onde azurce Annonçoit les eſpies d’vne ſertille aunee, La vigne s’eleuoit ſur les riches ormeaux Veſtiſſant à l’entour de pampre ſes rameaux?	Ià l'alme descendait du grand trosue des Dieux, Astrexte en ma saveur déjà quittait les Cieux, Et le docte Alcion dessus l'onde azurée Annonçoit les épies d'une sertille aze, La vigne s'eleuoit sur les riches ormeaux Vestissant à l'entour de pampre ses rameaux?
Le harnois s’enrouilloit mon peuple ia laſſi Recompenſoit par ieux les maux du temps paſſé:	Le harnais s'enrouillait mon peuple ja lassi Récompensait par jeux les maux du temps passé:
Et moy pour tout ſoulas erigeant mes trophees Ie rangeois ſur mon front les palmes Idumees:	Et moi pour tout soûlas érigeant mes trophées Je rangeais sur mon front les palmes Iduées:
Quand le Pere des eaux eſcumant de courroux Arma ſes ſlots grondans tout ſoudain contre nous, Et portant l’eſtranger ſur ſon eſchine enſlee R gorgea ſur le bord vnt moiſſon armee.	Quand le Père des eaux écumant de courroux Arma ses slots gronds tout soudain contre nous, Et portant l'étranger sur son échine enslée R gorgea sur le bord unt moisson armée.
La terre incontinent ſourmille de ſoldars L’air s’allume d’eſetairs & heriſſe de dards:	La terre incontinent sourmille de soldars L'air s'allume d'esetairs et hérisse de dards:
Mauors ſanglante tout:	Mavors sanglante tout:
la parque tout empire.	la parque tout empire.
Et l’Anglois taſche en vain eſtaindre mon Empire.	Et l'Anglais tâche en vain estaindre mon Empire.
I’entens ore des vns les plaintiues douleurs, La perte, & le dommage, & les cris & les pleurs Or les murs ebranlez, or cent gorges beantes Voſmir tout à la ſois cent balottes tonnantes:	J'entends ore des uns les plaintiues douleurs, La perte, et le dommage, et les cris et les pleurs Or les murs ébranlés, or cent gorges béantes Vosmir tout à la sois cent balottes tonnantes:
Or les Palais raſez, or des Dieux immor tels Let temples applanis, or les ſacrez autels Rouges du ſang humain & comme d’vn orage Tout froiſſe, tout batu tout comble de naufrage.	Or les Palais rasés, or des Dieux immor tels Let Let applanis, or les sacrés autels Rouges du sang humain et comme d'un orage Tout froisse, tout battu tout comble de naufrage.
Mais, he pourquoy portay-ie vn ſceptre das la main?	Mais, hé pourquoi portai-je un sceptre das la main?
Eſt.	Est.
ce pour endurer le ſoldat inbumain, Le ſer, le feu, le ſang, regner en ma Prouince?	ce pour endurer le soldat inbumain, Le ser, le feu, le sang, régner en ma Province?
Non, non, les Rois ſacrez race Saturnienne N’oublient pas ſi toſt l’ire lunoniene Nyle peuple ſauué des flammes d’Ilion	Non, non, les Rois sacrés race Saturnienne N'oublient pas si tôt l'ire lunonène Nyle peuple sauvé des flammes d'Ilion
Que ſeruent les lauriers ſur la teſte d’vn Prince » Si par le meſme bras te que ià i’ay conquis Ie ne le peux garder de mes fiers ennemis?	Que servent les lauriers sur la tête d'un Prince " Si par le même bras te que j'ai conquis Je ne le peux garder de mes fiers ennemis?
Si ie n’ay me me tœur pour me pouuoir deſſendre Mes pays, mes ſubiets que i’ay bien peu eſtendre, Les bornes limilez ſi ie ne puis vanger L’audace tout à coup du pariure eſtrangeri	Si ici n'ai me me tœur pour me pouvoir dessendre Mes pays, mes sujets que j'ai bien peu étendre, Les bornes limilez si tu ne puis venger L'audace tout à coup du parivrer étrangeri
Qui poria daus les eaux ſous leur Roy Francion Leuis peres leurs euſans & leurs dieux tutelaires Ne s’eſtonnent iamais pour les troupes guerrieres, Le Frauçois eſt ſemblable au ſaule verdiſſant 3 Tant plus il eſt tondu & plus il va croiſſant:	Qui poria daus les eaux sous leur Roi Francion Lévis pères leurs eus et leurs dieux tutélaires Ne s'étonnent jamais pour les troupes guerrières, Le Frauçois est semblable au saule verdissant 3 Tant plus il est tondu et plus il va croissant:
23 C’eſt vn moaſtre à neuſ corps vn hidre Lernean », Qui ſe rit es combats du ſait Herculean » Et pour vn front coupe d’vne main inutile " Sept naiſſent à la fois ſur ſa teſte ſertile:	23 C'est un moâtre à nus corps un hydre Lernean ", Qui se rit ès combats du sait Herculean " Et pour un front coupe d'une main inutile " Sept naissent à la fois sur sa tête sertyle:
Jl vaudroit beaucoup mieux que lors que tu condos Tes naux (scitique Anglois) ſur le dos de Thetis, Que le pere Ocean qui embraſſe le monde, T euſt plonge malg é toy ſous l’eſcume de l’onde, Que lors que tu laiſſas our venir tes maiſons Que tu euſſes enfle le ventre des poiſſons.	Il vaudrait beaucoup mieux que lors que tu condos Tes naux (scitique Anglais) sur le dos de Thétis, Que le père Océan qui embrasse le monde, T eût plonge malg è toi sous l'écume de l'onde, Que lors que tu laissas our venir tes maisons Que tu eusses enfle le ventre des poissons.
Out traine par les ſlots ſur la perleuſe arene Souille de tes boyaux ſon orageuſe plaine.	Out traine par les slots sur la perleuse arène Souille de tes boyaux son orageuse plaine.
Il ne ſaut orgueilleux que tu penſes dompter, Mais qu’eſt-ce que ie dis, il ne te ſaut tenter De vaincre celuy là dont la dextre meurtriere Touſiours es ieux de Mars ſe monſtre la premi re, Aiuſiceluy qui boit du Rhin les froides eaux N a receu contit nous que douleu & trauaux, Ie iure par leg laiue & par le Royi ſeupire Que triſte maintenant ie branle dans ma dextre:	Il ne saut orgueilleux que tu penses dompter, Mais qu'est-ce que ici dis, il ne te saut tenter De vaincre celui là dont la dextre meurtrière Toujours es yeux de Mars se montre la premi rejet, Aiusiceluy qui boit du Rhin les froides eaux N a eu contit nous que douleu et travaux, Je jure par l aive et par le Roi seupire Que triste maintenant branle dans dans ma dextre:
Par les ſacrez lauriers qui entournent mon frout Par le ſaint nom de Roy par les ombres qui ſont Dans les creux des enſers d' Lrebe & de cocyte, Par le cheſ de Pluton, par celuy qui habite Es beaux champs Fliſez:	Par les sacrez lauriers qui entournent mon frout Par le saint nom de Roi par les ombres qui sont Dans les creux des ensers d' Rebe et de cocyte, Par le chez de Pluton, par celui qui habite Es beaux champs Flisez:
par l’œil Rammuſien, Ie vengeray le tort de mon peuple & le mien,	par l'œil Rammusien, Je vengerai le tort de mon peuple et le mien,
Le Duc d'Alençon.	Le Duc d'Alençon.
Sire, que vous ſert-il parmy ce grand orage Noyer d’vn triſte ennuy voſtre royal courage?	Sire, que vous sert-il parmi ce grand orage Noyer d'un triste ennui votre royal courage?
Que ſert de vous faſcher?	Que sert de vous fâcher?
n’auez vous le moyen De punir comme il ſalit vn laſche Lidien?	n'avez -vous le moyen De punir comme il salit un lâche Lidien?
He bien l’Anglois porté dans ſes nauires creuſes, A ſi he l’ancre en fia es riues poiſſonneuſes De vos haures de grace, hé ne pouuez-vous pas Loyjane juillonner Neptuue de ſerbras?	He bien l'Anglais porté dans ses navires creuses, A si hé l'ancre en fia es rives poissonneuses De vos haures de grâce, hé ne pouvez-vous pas Loyjane juillonner Néptuve de serbras?
Le contraindre quitter les rempars de vos villes, Le chaſſer aigrement iuſqu’au ſein de ſes iſles, Ou empourprer les eaux & de Seine & de Loire, N’autz-tous le pouuoir, mon Prince, de le faires	Le contraindre quitter les rempars de vos villes, Le chasser aigrement jusqu'au sein de ses îles, Ou empourprer les eaux et de Seine et de Loire, N'auts-tous le pouvoir, mon Prince, de le saires
Le Roy.	Le Roi.
Hàce n’eſt pas cela, ce n’eſt pas que le cœur Me deffaille au beſoin, non non, ny que l’ardeur S’eſtaigne de mes ans, ſeulement ie regrette Mon ſubiet tourmente d’vn horrible tempẽſtel	Hâce n'est pas cela, ce n'est pas que le cœur Me défaille au besoin, non non, ni que l'ardeur S'étaigne de mes ans, seulement un secrète Mon sujet tourmente d'un horrible tempẽstel
Le Duc d’alençon.	Le Duc d'alençon.
Hé quoy penſeriez-vous que pour tous ſes labeurs vo ure peuple oubliaſt ſet premieres honneurs?	Hé quoi penseriez-vous que pour tous ses labeurs vœux ouvre peuple oubliât set premières honneurs?
Sire, voſtre ſubiet reſſemble les rameaux De la palme qui croiſt ſur les Phenices eaux, Tant plus elle a de faix tant plus elle à de ſorce Le faix croiſt ſa roideur, & ſait qu’elle s’efforte, Eſtes-vous le premier qui a ſenti l’eſfort D’vn enneuy qui donne & la vie & la morte L' pirote iadis ſous vn gr and çapitaine S’arma pour captiuer la liberte Romaine, St plonges dans le Tybre, & bien quoy tependant Se peut-il garantir du glaiue qu’en fuyant?	Sire, votre sujet ressemble les rameaux De la palme qui crois sur les Phénices eaux, Tant plus elle a de faix tant plus elle à de sorce Le faix crois sa roideur, et sait qu'elle s'efforte, Êtes-vous le premier qui a senti l'esfort D'un enneui qui donne et la vie et la morte L' pirote jadis sous un gr and çapitaine S'arma pour captiver la liberté Romaine, Sait plonges dans le Tibre, et bien quoi tependant Se peut-il garantir du glaiue qu'en fuyant?
Ie pariure Annibal le Spartaque homicide L’Allemant courageux & l’Eſcoſſois timide L’Eſpagnol azure, ces indompiez Bretons Nont-ils pas delaißé quelques ſois leur cantons?	Je parjure Hannibal le Spartaque homicide L'Allemant courageux et l'Écossois timide L'Espagnol azure, ces indompiez Bretons Nont-ils pas delaissé quelques sois leur cantons?
Pour ſaire ſous leur bras trembler toute la terre?	Pour zaïre sous leur bras trembler toute la terre?
