CLIMENE.	CLIMENE.
Ce n’eſt pas que ie ne regarde auec eſtonnement les diuines œuures de ces puiſſans Genies que la France admire, leſquels ont adiouſté à l’eloquẽce ce qu’elle euſt peu s’acquerir de perfection ſi Ciceron & Demoſthene euſſent autant duré, que ce que nous voyons de leurs eſcrits.	Ce n'est pas que Dieu ne regarde avec étonnement les divines œuvres de ces puissants Génies que la France admire, lesquels ont ajouté à l'éloquence ce qu'elle eût pu s'acquérir de perfection si Cicéron et Demosthene eussent autant duré, que ce que nous voyons de leurs écrits.
Außi ie ne blaſme que ces eſprits foibles & du tout deſraiſonnables, qui croyent que pour ſe faire voir, il ne faut que taſcher d’eſteindre la lumiere des plus excellents perſonnages, & qu’il ſuffit de faire vn liure pour auoir de la reputation.	Aussi ici ne blâme que ces esprits faibles et du tout déraisonnables, qui croient que pour se faire voir, il ne faut que tâcher d'éteindre la lumière des plus excellents personnages, et qu'il suffit de faire un livre pour avoir de la réputation.
Pour moy qui ne ſuis pas ignorant iuſques à ce degré, que de vouloir corriger ce que l'on doit auoir pour exemple, i’eſſaye ſeulement à me perdre pãs de veuë ces grãds maiſtres du bien dire, afin qu’vn iour ie te puiſſe rendre compte de ce qu’ils m’auront appris.	Pour moi qui ne suis pas ignorant jusques à ce degré, que de vouloir corriger ce que l'on doit avoir pour exemple, j'essaie seulement à me perdre pass de vue ces grands maîtres du bien dire, afin qu'H jour leurs te puisse rendre compte de ce qu'ils m'auront appris.
AV SIEVR DE LA CROIX	AU SIEUR DE LA CROIX
Si taCLIMENE eſt außi belle Que tu la peins dedans tes vers, Jous les Princes de Tuntuers Seront eſpris d’amour pour elle.	Si taCLIMENE est aussi belle Que tu la peins dedans tes vers, Jous les Princes de Tuntuers Seront épris d'amour pour elle.
A LVY MESME.	À LUI MÊME.
TaCLIMENE reſpand ſi loing ſa reuommée, Que Mars qui faiſt icy ſon eternel ſejour, Eſt contraint d’auoüer ce qu’on dit à la Cour, Que iamais ſa Venus ne fut tant eſtimée.	TaCLIMENE répand si loin sa reuommée, Que Mars qui fais ici son éternel séjour, Est contraint d'auoüer ce qu'on dit à la Cour, Que jamais sa Venus ne fut tant estimée.
Par P.	Par P.
G.	G.
eſtant en Hollande.	étant en Hollande.
A CLIMENE.	À CLIMENE.
Si toſt que tu verras le iour, Ie ſçay, CLIMENE, qu’à la Cour Pluffeurs de toy voudront meſdire:	Si tôt que tu verras le jour, Je sais, CLIMENE, qu'à la Cour Pluffeurs de toi voudront médire:
Mais ne crains point leurs foibles cris, Car ton Apollon de ſa lyre Chaſſera ces mauuais eſprits.	Mais ne crains point leurs faibles cris, Car ton Apollon de sa lyre Chassera ces mauvais esprits.
ARGVMENT.	ARGUMENT.
DE LA CLIMENE.	DE LA CLIMENE.
E Prince Siphax, craignarit que Phalante Roy, de Calis i ſon voiſin, afin d’auoir quelque ſujet de luy faire guerre, ne fiſt enleuer la Princeſſe Matie ſa fille pour la faire eſpouſer au Prince Florimãt ſon fils aiſné, fit courir le bruit de ſa mort par tout ſon pais, & deſguiſé la commit entre les mains du Berger Semire auec vne precieuſe eſcharpe portant en chiffres les armes de ſa maiſon.	E Prince Siphax, craignarit que Phalante Roi, de Calis y son voisin, afin d'avoir quelque sujet de ici faire guerre, ne fît enlever la Princesse Matie sa fille pour la faire épouser au Prince Florimant son fils aîné, fit courir le bruit de sa mort par tout son pais, et déguisé la commit entre les mains du Berger Semire avec une précieuse écharpe portant en chiffres les armes de sa maison.
Ce Berger l’ayãt nourtie pluſieurs années ſous le nõ deClimene, Florimant pour quelque meſcontentement ſe deſrobe de la maiſon de ſon pere, & apres vn long voyage ſe treuue par hazardau village où Semire eſtoit venu demeurer pour eſleuer Climene cõme ſa propre fille:	Ce Berger l'ayant nourtie plusieurs années sous le nôtre deClimène, Florimant pour quelque mécontentement se dérobe de la maison de son père, et après un long voyage se trouve par hasardau village où Sémire était venu demeurer pour élever Climene comme sa propre fille:
Florimant l’ayant veuë en eſt tellement amoureus, que ſa paſſion le fait arreſter pour prendre l’habit de Berger & le nom d’Alcidor.	Florimant l'ayant vue en est tellement amoureus, que sa passion le fait arrêter pour prendre l'habit de Berger et le nom d'Alcidor.
Lidias ſon puiſné voyant ſa longuc abſence, & que Phalante ſon pere en eſtoit au deſeſpoir, obtient vn an de congé pour chercher ſon frere:	Lidias son puîné voyant sa longuc absence, et que Phalante son père en était au désespoir, obtient un an de congé pour chercher son frère:
paſſant par ce meſme lieu la beauté de Climene fait vn meſme effet ſur luy, ſi bien qu’il ſe deſguiſe pareillement en Berger & ſe donne le nom de Silandre;	passant par ce même lieu la beauté de Climène fait un même effet sur moi, si bien qu'il se déguise pareillement en Berger et se donne le nom de Silandre;
il a pour riuaus Alcidor ſon frere, qu’il ne reconoiſt point & duquel il n’eſt point coneu, & le Berger Liridas qui deſeſperé de poſſeder Climene, perd l’eſprit & fait des extrauagances eſtranges.	il a pour rivaus Alcidor son frère, qu'il ne reconoist point et duquel il n'est point conçu, et le Berger Lidas qui désespéré de posséder Climène, perd l'esprit et fait des extravagances étranges.
Clorifée Bergere eſt aimée du Berger Caliante, qui par excés d’affection pour ſa maiſtreſſe veut forcer Silandre à receuoir l’amour qu’elle auoit pour luy:	Clorifée Bergère est aimée du Berger Caliante, qui par excès d'affection pour sa maîtresse veut forcer Silandre à recevoir l'amour qu'elle avait pour venir:
Silandre n’ayant pû fleſchir Climene, implore le ſecours d’vn Magicien, duquel il reçoit vn bracelet charmé ſans en ſçauoir la vertu, & lequel poſé ſur le bras de Climene, la rend peu à peu comme percluſe de tous ſes membres, & en fin l’aſſoupit de telle façon, qu’eſtant eſtimée morte, meſme de Silandre, elle eſt miſe en vn cercueil, ayant auparauãt cet aſſoupiſſement declaré deuant Semire ſon pere putatif, l’amour qu’elle auoit pour Alcidor.	Silandre n'ayant pu fléchir Climène, implore le secours d'un Magicien, duquel il reçoit un bracelet charmé sans en sçauoir la vertu, et lequel posé sur le bras de Climène, la rend peu à peu comme percluse de tous ses membres, et en fin l'assoupit de telle façon, qu'étant estimée morte, même de Silandre, elle est mise en un cercueil, ayant auparauãt cet assoupissement de deuant Sémire son pere putatif, l'amour qu'elle avait pour Alcidor.
Silandre ſe veut vanger ſur le Magicien, qui s’excuſant de ne luy auoir dit le ſecret, luy deſcouure la force du charme, & luy donne d’vne eau, de laquelle Silandre ayãt mouillé le viſage de Climene, elle reuient de paſmoiſon.	Silandre se veut venger sur le Magicien, qui s'excusant de ne lui avoir dit le secret, toujours découvre la force du charme, et lui donne d'une eau, de laquelle Silandre ayant mouillé le visage de Climène, elle revient de pâmoison.
Cependant Alcidor reſolu de ſe tuer ſur le tombeau de ſa Maiſtreſſe, l’aduiſe de loing, aucc Silandre à genous deuant elle, lequel ayant repris le bracelet enchanté, & pour derniere faueur obtenu vn baiſer, ſe retire dans vn bois, & va prendre l’habit d’Hermite.	Cependant Alcidor résolu de se tuer sur le tombeau de sa Maîtresse, l'avise de loin, aucc Ilandre à genous devant elle, lequel ayant repris le bracelet enchanté, et pour dernière faveur obtenu un baiser, se retire dans un bois, et va prendre l'habit d'Hermite.
En fin Climene ayant apperceu Alcidor a de la peine à luy perſuader qu’elle n’eſt point morte, & à luy nettoyer l’eſprit du ſoupçon qu’elle auoit pris pour le bracelet & le baiſer donné à Silandre.	En fin Climène ayant aperçu Alcidor a de la peine à notre persuader qu'elle n'est point morte, et à M nettoyer l'esprit du soupçon qu'elle avait pris pour le bracelet et le baiser donné à Silandre.
Le bon homme Semire rauy d’auoir recouuert Climene reuele ce qu’il ſçauoit de ſa naiſſance, monſtre l’eſcharpe qui eſt reconneuë par Alcidor, qui deſcouure auſſi ce qu’il eſt:	Le bon homme Semire ravi d'avoir recouvert Climène révèle ce qu'il savait de sa naissance, montre l'écharpe qui est reconnue par Alcidor, qui découvre aussi ce qu'il est:
les deux freres ſe reconoiſſent & s’en retournent à la Cour du Roy Phalante leur pere, où Florimant eſpouſe la Princeſſe Marie, & le Berger Caliante ſa chere Cloriféc.	les deux frères se reçonaissent et s'en retournent à la Cour du Roi Phalante leur père, où Florimant épouse la Princesse Marie, et le Berger Calante sa chère Cloriféc.
LES ACTEVRS.	LES ACTEURS.
ALCIDOR.	ÀLCIDOR.
SILANDRE.	SILANDRE.
d u Anra le ne	 du Anra le ne
CLORITLE.	CLORITLE.
LIRIDAS.	LIRIDAS.
SEMIRE, perepatatit de climens.	SEMIRE, perepatatit de climents.
LA CLIMENE.	LA CLIMENE.
TRAGI-COMEDIEPASTORALE.	TRAGI-COMEDIEPASTORALE.
ACTE PREMIER.	ACTE PREMIER.
SCENE I.	SCÈNE I.
ALCIDOR.	ÀLCIDOR.
SILANDRE.	SILANDRE.
S ALCIDOR.	S ÀLCIDOR.
Vi n’a iamais ſenty couler dedans ſes veines L'agreable poiſon des amourcuſes D peines, Pour conoiſtre l’Amour, qu’il viẽne icy me voir, Et qu’il admire au moins s’il ne ſent ſon pouuoir.	Vi n'a jamais senti couler dedans ses veines L'agréable poison des amourcuses D peines, Pour conoistre l'Amour, qu'il vienne ici me voir, Et qu'il admire au moins s'il ne sent son pouvoir.
Il me fait meſpriſer les titres & les marques Que peuitent eſperer les enfans des Monarques,	Il me fait mépriser les titres et les marques Que peuitent espérer les enfants des Monarques,
Il me fait renoncer à ce nom glorieus De Prince ſouuerain:	Il me fait renoncer à ce nom glorieus De Prince souverain:
il eſt vray, mais les yeus Qui m’ont mis en l’eſprit vn ſi plaiſant martyre Se doiuent preferer au plus puiſſant Empire, Et ie ſuis plus content d’endurer ſous leur loy Que de regir vn Peuple en qualité de Roy:	il est vrai, mais les yeus Qui m'ont mis en l'esprit si plaisant martyre Se doivent préférer au plus puissant Empire, Et personne suis plus content d'endurer sous leur lois Que de régir un Peuple en qualité de Roi:
Außi puiſque pour eus moy meſme ie me quitte, On peut iuger par là ce qu’ils ont de merite, Ouy, ie croy que l’on peut iurer auec raiſon Qu’il vaut mieux eſtre eſclaue & viure en leur priſon (Trop heureux prisõnier d’vne ſi douce guerre) Que d’auoir pour vaſſaus tous les Roys de la terIe ſçay que l’on peut dire afin de me blaſmer, [re.	Aussi puisque pour eus moi -même ie me quitte, On peut juger par là ce qu'ils ont de mérite, Oui, je crois que l'on peut jurer avec raison Qu'il vaut mieux être clave et vivre en leur prison (Top heureux prisnier d'une si douce guerre) Que d'avoir pour vassaus tous les Rois de la terIe sais que l'on dire peut afin de me blâmer, [re.
Qu’vne fille des champs ne me deuoit charmer, Et qu’il m’eſt mal ſeant de prendre vne houlette Pourme rendre ſujet d’vne ſimple ſujette:	Qu'une fille des champs ne me devait charmer, Et qu'il m'est mal séant de prendre une houlette Pourme rendre sujet d'une simple sujette:
Mais außi ie diray que ſi ma qualité A mis entre nous deux de l’inegalite, Que l’abſolu pouuoir que ſa beauté luy donne Eſt plus grâd que celuy que i'ay par la Couronne Et puis peut on changer vne fatalité?	Mais aussi Princes dirai que si ma qualité A mis entre nous deux de l'inégalité, Que l'absolu pouvoir que sa beauté lui a Est plus grâd que celui que j'ai par la Couronne Et puis peut on changer une fatalité?
Les destins font touſiours ce qu’ils ont arreſté, Pour moy ie veus benir cette heureuſe cholere	Les destins font toujours ce qu'ils ont arrêté, Pour moi tu veux bénir cette heureuse colère
ui me ſit eſloigner le Palais de mon Pere, Ie luy dois le bonheur que i’ay dedans ces lieus De voir le plus parfaict des ouurages des Dieus, Qui conuoquez exprés pour former ma Climene Firent faire vn effort à la nature humainé, Sa naifue beauté n’a point außi de fard, Tout luy eſt naturel & ne tient rien de l’art, Nonpas comme à la Cour, où les Dames ſe plaſtrent, Où leur fauſſe beauté fait qu’elles s’idolatrent, Et faſchant la nature en leur viſage peint, Pour donner de l’amour falſifient leur teint;	Oui me sit éloigner le Palais de mon Père, Je vou lais le bonheur que j'ai dedans ces lieus De voir le plus parfait des ouvrages des Dieus, Qui convoquez exprès pour former ma Climène Firent faire un effort à la nature humainé, Sa naifue beauté n'a point aussi de fard, Tout Tout est naturel et ne tient rien de l'art, Nonpas comme à la Cour, où les Dames se plâtrent, Où leur fausse beauté fait qu'elles sidolâtrent, Et fâchant la nature en leur visage peint, Pour donner de l'amour falsifient leur teint;
A tout cela Climene eſt encore nouice, Et ne pratique point ce trompeur artifice.	À tout cela Climène est encore nouvice, Et ne pratique point ce trompeur artifice.
Mais n’entreuoys-ie pas quelque Berger qui ſort Du coing de ce taillis?	Mais n'entreuoys-je pas quelque Berger qui sort Du coin de ce taillis?
ſans y penſer quel tort Ie me ſuis preſque fait!	sans y penser quel tort Je me suis presque fait!
car ce ſeroit ma perte, Si ma flame vne fois leur eſtoit deſcouuerte;	car ce serait ma perte, Si ma flamme un fois leur était découverte;
Et ſi iamais ces gens conoiſſent qui ie ſuis, Il me faudra quitter tout ce que ie pourſiis.	Et si jamais ces gens conaissent qui ie suis, Il me faudra quitter tout ce que ie poursiis.
Delaiſſer ma Climene?	Délaisser ma Climène?
ha Dieus quelle ſurpriſe!	ha Dieus quelle surprise!
Or pour ne deſcouurir quelle eſt mon entrepriſe Ie m'en vais abordez Silandre que ie von Qui reſue en ma maiſtreſſe & s’en plaint comme moy;	Or pour ne découvrir quelle est mon entreprise Je m'en vais abordez Silandre que ie von Qui rêve en ma maîtresse et s'en plaint comme moi;
C’eſt vn gentil Berger, d’eſprit & de courage, Qu'on ne diroit iamais eſtre iſſu d’vn village, Et duquel ſans mẽtir l’entretien m’eſt bien dous, Berger ie vous y prens, dites que ſongez-vous?	C'est un gentil Berger, d'esprit et de courage, Qu'on ne dirait jamais été issu d'un village, Et duquel sans montir l'entretien m'est bien dous, Berger ainsi vous y prends, dites que songez-vous?
A quoy reſuez-vous tant?	À quoi rêvez-vous tant?
DILANDRE.	DILANDRE.
Qui aime & deſeſpere A quoy peut il penſer qu’à plaindre ſa miſere?	Qui aime et désespère À quoi peut -il penser qu'à plaindre sa misère?
ALCIDOR.	ÀLCIDOR.
Et bien amy Silandre, il ſe faut retirer, Et meſpriſer le mal qu’on vous faict endurer:	Et bien ami Silandre, il se faut retirer, Et mépriser le mal qu'on vous fait endurer:
La Bergere Climene iniuſtement cruelle, Ne merite d’auoir vn amant ſi fidelle.	La Bergère Climène injustement cruelle, Ne mérite d'avoir un amant si fidèle.
Non ne vous plaiſez plus en voſtre deſplaiſir, ChaſſeZ ces triſtes ſoins en changeant de deſir, Deliurez voſtre eſprit de ceſte traiſtre flame, Et libre n’ayez plus d’autre ſoucy dans l’ame Que celuy qu’vnBerger doit à ſon cher troupeau, Le mener au matin ſur le haut d’vn coupeau, Aux ombres à midy:	Non ne vous plaisez plus en votre déplaisir, Chassez ces tristes soins en changeant de désir, Délivrez vôtre esprit de cette traître flamme, Et libre n'ayez plus d'autre souci dans l'âme Que celui qu'unBerger doit à son cher troupeau, Le mener au matin sur le haut d'un coupeau, Aux ombres à midi:
i’ay choiſi cette voye, C’eſt aſſez faire l’amour, ie ne veux plus qu'on voye Mon cœur s’entretenir d’vn ſi laſche ſoucy:	j'ai choisi cette voie, C'est assez faire l'amour, tu ne veux plus qu'on voie Mon cœur s'entretenir d'un si lâche souci:
Quand ie ſuis bien aymé, Silãdre, i’ayme außi, St t'on ne peut de moy, courant à ma deffence A qui manque d’amour, ie manque de conſtance.	Quandois suis bien aimé, Silangdre, j'aime aussi, St t'on ne peut de moi, courant à ma défense À qui manque d'amour, ie manque de constance.
SILANDRE.	SILANDRE.
C’eſten vain, Alcidor, pluſtoſt ce grand flambeau Qui court dedans les Cieus tõbera dedans l’eau, Et pluſtoſt on verra tarir toute la Seine, Que ie ceſſe d’aymer la Bergere Climene, Pour vous fauoriſes vne infidelité, Finiſſez vos tourmens par la legereté, Ouurez-luy voſtre cœur, bâtiſſez y ſon temple, Ie ſuiuray mon humeur, & non pas voſtre exem	C'esten vain, Alcidor, plutôt ce grand flambeau Qui court dedans les Cieus tombera dedans l'eau, Et plutôt on verra tarir toute la Seine, Que quel cesse d'aimer la Bergère Climène, Pour vous favorises une infidélité, Finissez vos tourments par la légèreté, Ouvrez-lui votre cœur, bâtissez y son temple, Je suivrai mon humeur, et non pas votre exem
ple.	ple.
ALCIDOR.	ÀLCIDOR.
Obſtiné voulez-vous idolatrer des yeus, Qui sõt beaus, il eſt vray, mais bien pernicieus, Qut ſe moquent de vous, & a vntruel ſupplice Payent de leurs meſpris voſtre loyal ſeruice?	Obstiné voulez-vous idolâtrer des yeus, Qui sont beaus, il est vrai, mais bien pernicieus, Qut se moquent de vous, et a utruel supplice Payent de leurs mépris votre loyal service?
Nõ, r’entrez en vous meſme, & d’vn eſprit plus meur ſmeur.	Nomme, rentrez en vous -même, et d'un esprit plus meur smeur.
Approuuez mon exemple, & non pas voſtre hu	Approuvez mon exemple, et non pas votre hu
SILANDRE.	SILANDRE.
Qu’elle ſoit mille fois plus qu’elle n’eſt cruelle, Silandre neantmoins luy veut eſtre fidelle.	Qu'elle soit mille fois plus qu'elle n'est cruelle, Silandre néanmoins Seigneur veut être fidèle.
ALCIDOR.	ÀLCIDOR.
Et comment pourrez vous rechercher deſormais Ceuc qui vois tourmente, & qui n’aura tamais Le deſſein d’amender le mal qui vous poſſede?	Et comment pourrez -vous rechercher désormais Ceuc qui vois tourmente, et qui n'aura tamais Le dessein d'amender le mal qui vous possède?
SILANDRE.	SILANDRE.
De l’hoitm uovhmbrnt jrindray mõ remede.	De l'haitm uovhmbrnt jrindrai mon remède.
ALCIDOR.	ÀLCIDOR.
Mais vn amour bie pris naiſt touſiours de l’eſpoir.	Mais un amour bye pris naît toujours de l'espoir.
SILANDRE.	SILANDRE.
Au contraire le mien viendra de deſeſpoir.	Au contraire le mien viendra de désespoir.
A1 HOIDO M.	A1 HOIDO M.
Onne peut pas aimer ce que l’on deſeſpere.	Onne peut pas aimer ce que l'on désespère.
SILANDRE.	SILANDRE.
Ma conſtance fera paroiſtre du contraire.	Ma constance fera paraître du contraire.
ALCIDOR.	ÀLCIDOR.
Ettat n'eſt point amont, ce it eſt qu vne fureur.	Ettat n'est point amont, ce it est qu' une fureur.
SILANDRE.	SILANDRE.
N’aimer que pour iouyr eſt aimer en erreur.	N'aimer que pour jouïr est aimer en erreur.
ALCIDOR.	ÀLCIDOR.
Moy, l’on m’oſte l’amour m’oſtant la recompẽſe.	Moi, l'on m'ôte l'amour m'ôtant la récompense.
SILANDRE.	SILANDRE.
Vous qui meſlez l’amour auecques l’inconſtance.	Vous qui mêlez l'amour avec l'inconstance.
ALCIDOR.	ÀLCIDOR.
Moy qui ne puis aimer ſi ce n'eſt librement.	Moi qui ne puis aimer si ce n'est librement.
SILANDRE.	SILANDRE.
Vous qui ne vous plaiſez qu’à châgeren aymãt.	Vous qui ne vous plaisez qu'à châgeren aimant.
ALCIDOR.	ÀLCIDOR.
Ie ne cheris ſinon ce qui m'eſt profitable, Et n’eſtime autrement vne amour veritable.	Je ne chéris sinon ce qui m'est profitable, Et n'estime autrement une amour véritable.
SILANDRE.	SILANDRE.
Alcidor quant à moy ie ne ſçaurois aimer Comme vous en volage & me de ſenflammer, Laiſſez la moy ſeruir, ſi ie peche contre elle Pour auoir trop de foy, mon ame criminelle En portera la peine, & ce peché commis Les Dieux le vangeront s’ils en ſont ennemis:	Alcidor quant à moi je ne saurais aimer Comme vous en volage et me de sensflammer, Laissez la moi servir, si personne pèche contre elle Pour avoir trop de foi, mon âme criminelle En portera la peine, et ce péché commis Les Dieux le vengeront s'ils en sont ennemis:
En me la delaiſſant oſtez vous de martyre, Et qu'il n'y ait que moy qui pour elle ſoupire.	En me la délaissant ôtez -vous de martyre, Et qu'il n'y ait que moi qui pour elle soupire.
Fuyez cette farouche, arracheZ ce deſir Qui vous fait tant de mal, vous meferez plaiſir, Faites que Liridas enperde außi l'enuie Et vous m’obligerez de plus que de la vie.	Fuyez cette farouche, arrachez ce désir Qui vous fait tant de mal, vous meferez plaisir, Faites que Liridas enperde aussi l'envie Et vous m'obligerez de plus que de la vie.
ALCIDOR.	ÀLCIDOR.
Si Liridas le veut, Silandre, ie veus bien Que tout ſeul vous ſoyez captif ſous ſon lien, Ie vous quitte ma part s’il vous quitte la ſienne, S’il tue ſon ardeur i’eſtoufferay lamienne.	Si Liridas le veut, Silandre, je veux bien Que tout seul vous soyez captif sous son lien, Je vous quitte ma part s'il vous quitte la sienne, S'il tue son ardeur j'étoufferai lamienne.
OCENVE II.	OCENVE II.
CLIMENE.	CLIMENE.
CLORIFEE.	CLORIFE.
CLIMENE.	CLIMENE.
Here ſœur, auiourd’huy que toutes nos compagnes Egnes, Om tuife temismuiſons pour peupler les campaPourrions nous bien paſſer la beauté de ce iour Sans prendre le loiſir de faire quelque tour?	Hère sœur, aujourd'hui que toutes nos compagnes Egnès, Om tuife témismuisons pour peupler les campaPourrions nous bien passer la beauté de ce jour Sans prendre le loisir de faire quelque tour?
CLO' IFEE.	CLO' IFE.
Que vous eſtes contente & viuez bien heureuſe De ne point reſſentir vne flame amoureuſe, Qui vous bruſle au dedãs, & vous face ſouffrir Ce mal dont on ſe plaint ſans le vouloir guarir:	Que vous êtes contente et vivez bien heureuse De ne point ressentir une flamme amoureuse, Qui vous brûle au dedans, et vous face souffrir Ce mal dont on se plaint sans le vouloir garir:
Pour moy qui ne vois plus qu’vn eternel Decẽbre Ie veus ſeule eſpouſer les ombres d’vne chambre, Ie veus viure recluſe, & chaſſer tout plaiſir, Puiſque c’eſt mon deſtin de viure en deſplaiſir.	Pour moi qui ne vois plus qu'elle éternel Decẽbre Je veux seule épouser les ombres d'une chambre, Je veux vivre recluse, et chasser tout plaisir, Puisque c'est mon destin de vivre en déplaisir.
CLIMENE.	CLIMENE.
Quittez ces paßions, & reprenez courage Pour ſurmonter en vous cette bouillante rage.	Quittez ces passions, et reprenez courage Pour surmonter en vous cette bouillante rage.
CLORIFEE.	CLORIFE.
Non, ie ne le ſçaurois, quoy qu’il puiſſe arritier, Mon cœur de cet Amour ne ſçauroit ſe priuer, Et ne puis m'exempter puis qu’il me le cõmande, D’importuner celuy qui me doit la demande.	Non, Seigneur ne le saurais, quoi qu'il puisse arritier, Mon cœur de cet Amour ne saurait se priver, Et ne puis m'exempter puis qu'il me le commande, D'importuner celui qui me doit la demande.
Helas!	Hélas!
qu’il fuſt icy, & que ce dedaigneus Prenant pitié de moy, vouluſt ce que ie veus.	qu'il fût ici, et que ce dédaigneus Prenant pitié de moi, voulût ce que ie veus.
CLIMENE.	CLIMENE.
Croyez vous qu’il ſoit beau qu’vne ieune pucelle Cerche vn homme autant prompt, qu’il peut eſtre Qui rauiſſant la fleur de ſa virginité, (infidelle, En feroit vn trophée à la legereté;	Croyez vous qu'il soit beau qu'une jeune pucelle Cerche un homme autant prompt, qu'il peut être Qui ravissant la fleur de sa virginité, (infidèle, En ferait un trophée à la légèreté;
Qu'elle s’offre ſoy-meſme, & qu’elle aille laſciue Flatter d’alleſchemens ſa nature retiue?	Qu'elle s'offre soi-même, et qu'elle aille lasciue Flatter d'allleschements sa nature rétive?
