A PARIS, FRANÇOIS POMERAY.	À PARIS, FRANÇOIS POMERAY.
de la v lae lal	de la v lare lal
LOEIDAMONT	LONEIDAMONT
PALEMON,	PALÉMON,
Aiily dIcAis.	Aiili dIcAis.
A MARANTHE Fille de Daphnis.	À MARANTHE Fille de Daphannis.
MELLLE	MELLE
DELPHISE	DELPHISE
TIMANDRE	TIMANDRE
DAPHNIS	DAPHNIS
ORONTE	ORONTE
Compagne d’Amaranthe.	Compagne d'Amaranthe.
Nymphe de Diane.	Nymphe de Diane.
Pere d’Alexis.	Père d'Alexis.
Amoureux d’Amaranthe	Amoureux d'Amaranthe
PROLOGVE.	PROLOGUE.
L'AVRORE.	L'AURORE.
9 8 2 M 8 Eſſagere du iour, ſi pompeuſe, & ſi belle, Fauorable aux Bergers dont la plainte m'appelle, Ie viens icy pour eſtre, en ce riche appareil, L’Aurore d’Amaranthe, & celle du Soleil, La Terre à mon leuer eſt ſi pleine de ioyes Qu'elle ouure tous ſes yeux aſin qu’elle me voye;	9 8 2 M 8 Essagère du jour, si pompeuse, et si belle, Favorable aux Bergers dont la plainte m'appelle, Je viens ici pour être, en ce riche appareil, L'Aurore d'Amaranthe, et celle du Soleil, La Terre à mon lèver est si pleine de joies Qu'elle ouvre tous ses yeux asin qu'elle me voie;
Et n'esleue des monts la ſuperbe grandeur, Que pour mieux deſcouurir ma premiere ſplẽdeur.	Et n'élever des monts la superbe grandeur, Que pour mieux découvrir ma première splendeur.
Tous les feux de la Nuict deuant moy ſe retirent, Les Dieux voyãt ma gloire inceſſammẽt ſouſpirẽt, Et ne peuuent ſouffrir enuieux, & ialoux, Qu'vne beauté ſi ieune ayt vn ſi vieil espoux.	Tous les feux de la Nuit devant moi se retirent, Les Dieux voyant ma gloire incessamment souspirẽt, Et ne peuvent souffrir envieux, et jaloux, Qu'une beauté si jeune ait un si vieil époux.
I'enrougis, ce dit-on, i'en ſuis toute confuſe Et tantoſt ma palleur d’vne autre ſoin m'accuſe,	J'enrougis, ce dit-on, j'en suis toute confuse Et tantôt ma palleur d'une autre soin m'accuse,
Mon Tithon cependant s’accorde à mon deſtin, Et ne m'empeſche pointde me leuer matin.	Mon Tithon cependant s'accorde à mon destin, Et ne m'empêche pointde me lèver matin.
Vn plus ieune mary me rendroit pareſſeuſe.	Un plus jeune mari me rendrait paresseuse.
Et quiconque auiourd’huy me void ſi matineuſe, Me prend pour la Beauté que le Soleil pourſuit, Et qui ſe veut cacher dans l’ombre de la Nuict.	Et quiconque aujourd'hui me voit si matineuse, Me prend pour la Beauté que le Soleil poursuit, Et qui se veut cacher dans l'ombre de la Nuit.
Tant d’eſprits ont pour moy des flames immortelles, Et s’impriment ſi fort mes couleurs les plus belles, Que i'ay veudeuenir mes plus fermes amans Chryſolites, ſaphirs, rubis, & diamans, Malheur aux pareſſeux qui ne m'ont iamais veue, Eſtant comme ie ſuis de beauté ſi pourueuë, Moy qui de l’Horizonchaſſe les ſonges vains, Et qui fay que les Dieux ſe montret aux humains.	Tant d'esprits ont pour moi des flammes immortelles, Et s'impriment si fort mes couleurs les plus belles, Que j'ai veudeuenir mes plus fermes amants Chrysolites, saphirs, rubis, et diamants, Malheur aux paresseux qui ne m'ont jamais vue, Étant comme tu suis de beauté si pourvue, Moi qui de l'Horisonchasse les songes vains, Et qui fais que les Dieux se montrez aux humains.
Ie n'inſpire pas moins d’agreables penſees Aux ames comme moy de l’amour offenſees, Que ie ſeme par tout de perles & de fleurs;	Je n'inspire pas moins d'agréables pensées Aux âmes comme moi de l'amour offenses, Que ie seme par tout de perles et de fleurs;
Les fleurs sõt mõ ouurage, & les perles mes pleurs.	Les fleurs sont mon ouvrage, et les perles mes pleurs.
Ondit que ie languis d’vne attainte fatale:	Ondit que Seigneur languis d'une attainte fatale:
On en donne la gloire à la main de Cephale, Cephale dont le dard qui vole nuict & iour, N'eſt pas moins aſſeuré que celuy de l’Amour.	On en donne la gloire à la main de Céphale, Céphale dont le dard qui vole nuit et jour, N'est pas moins assuré que celui de l'Amour.
Pour le ſuiure aux foreſts, bien ſouuent on preſume Que i'amene le iour pluſtoſt que de couſtume.	Pour le suivre aux forêts, bien souvent on présume Que j'amène le jour plutôt que de coutume.
Mais d’vn plus grand eſclat tous mes ſens esblouys Quitteroient volontiers Cephale pour LOVIS.	Mais d'autre plus grand éclat tous mes sens éblouis Quitteraient volontiers Céphale pour LOUIS.
Toutesfois vn bel Aſtre allume ſon courage, Et ſa Reyne auiourd’huy me porte en ſon viſage.	Toutefois un bel Astre allume son courage, Et sa Reine aujourd'hui me porte en son visage.
C’eſt vn autre moy-meſme, ou pour en parler mieux, Elle porte pluſtoſt le Soleil dans les yeux.	C'est un autre moi-même, ou pour en parler mieux, Elle porte plutôt le Soleil dans les yeux.
Voicy les bois ſacrez, ou ſi plein de ieuneſſe Tithon fut autresfois digne d’vne deeſſe.	Voici les bois sacrés, ou si plein de jeunesse Tithon fut autrefois digne d'une déesse.
Où le Ciel le comblant de ſes dons infinis, Ie craignois que Venus le print pour Adonis.	Où le Ciel le comblant de ses dons infinis, Je craignais que Venus le print pour Adonis.
Ie veux rendre atamais ces terres floriſſantes, En nouuelles amours, en beauteZ renaiſſantes;	Je veux rendre atamais ces terres florissantes, En nouvelles amours, en beautés renaissantes;
Et parmy tant de fleurs que ie respans icy, L'vn cueillera la roſe, & l’autre le ſoucy.	Et parmi tant de fleurs que ie respant ici, L'un cueillera la rose, et l'autre le souci.
Ie viens repreſenter Alexis à ſon pere, Et donner plus de gloire à qui moins en eſpere.	Je viens représenter Alexis à son père, Et donner plus de gloire à qui moins en espère.
Ie viens borner les ſoins des Bergers de ces lieux, Et rendre mon hommage à la mere des Dieux.	Je viens borner les soins des Bergers de ces lieux, Et rendre mon hommage à la mère des Dieux.
L'AMARANTHE CALE.	L'AMARANTHE CALE.
ACTE PREMIER, SCENE PREMIERE ALEXIS, PALEMON.	ACTE PREMIER, SCÈNE PREMIÈRE ALEXIS, PALÉMON.
ALEXIS.	ALEXIS.
Es-IA de l’Orient les portes ſont ouuertes;	Es-IA de l'Orient les portes sont ouvertes;
Le Ciel n’a plus de feux, ſes plaines ſont deſertes Et l’Aurore qui cede aux clartez du Soleil, Chaſſe de l’horiſon la Nuict & le ſommeil.	Le Ciel n'a plus de feux, ses plaines sont désertes Et l'Aurore qui cède aux clartés du Soleil, Chasse de l'horizon la Nuit et le sommeil.
A Recommence tes pleurs auecques la journée, Mais auec elle außi ſiny ta deſtinee, Malheureux Alexis, en tous lieux eſtranger, Que tous les Elemens ne ceſſent d’affliger, Que n'agueres les Dieux n'ont ſauué du naufrage, Que pour te reſeruer à ſouffrir dauantage, Et t’accabler en fin d’vn ſi rigoureux ſort;	À Recommence tes pleurs avec la journée, Mais avec elle aussi siny ta destinée, Malheureux Alexis, en tous lieux étranger, Que tous les Éléments ne cessent d'affliger, Que n'aguères les Dieux n'ont sauvé du naufrage, Que pour te réserver à souffrir davantage, Et t'accabler en fin d'un si rigoureux sort;
Qu'ils t'obligent toy meſme à te donner la mort.	Qu'ils t'obligent toi rendre à te donner la mort.
PALEMON.	PALÉMON.
Quels penſers, Alexis, quels ſonges, quels augures, T’ont ſi bien aduerty de tes peines futures?	Quels pensers, Alexis, quels songes, quels augures, T'ont si bien averti de tes peines futures?
Par quel esprit diuin qui penetre les Cieux, Cognois-tu l’aduenir außi bien que les Dieux?	Par quel esprit divin qui pénètre les Cieux, Cognais-tu l'avenir aussi bien que les Dieux?
Es tu de ces mortels, qui ſans autre ſcience, quncuncunenutemdeuuunuon ey uimpaſience?	Es tu de ces mortels, qui sans autre science, quncuncunenutemdeuuunuon eu uimpasience?
Dont lecœur, ſans mourir, ſouffre mille treſpas, ,Et s'afflige des maux qui n’arriueront pas.	Dont lecœur, sans mourir, souffre mille trépas, s'afflige des maux qui arriueront pas.
ALEXIS.	ALEXIS.
Il ne faut plus douter d'vne choſe certaine, Ny flater ſes deſirs d’vne esperance vaine,	Il ne faut plus douter d'une chose certaine, Ni flatter ses désirs d'une espérance vaine,
Il eſt temps de mourir, ſans attendre le ſoir, Qui ne peut qu'adiouſter la honte au deſeſpoir.	Il est temps de mourir, sans attendre le soir, Qui ne peut qu'ajouter la honte au désespoir.
Mille morts, Palemon, tiranniſent mon ame, 3 Ie cours de l’vne à l’autre, & de l’onde à la flame, Mais à la fin laßé de mon cruel tourment, Ie ſçauray bien mourir d’vne mort ſeulement.	Mille morts, Palemon, tyrannisent mon âme, 3 Je cours de l'une à l'autre, et de l'onde à la flamme, Mais à la fin lassé de mon cruel tourment, Je saurai bien mourir d'une mort seulement.
Tu n’as rien auancé de me ſauuer la vit, Qui parmy tant d’eſcueils m’alloit eſtre rauie:	Tu n'as rien avancé de me sauver la vit, Qui parmi tant d'écueils m'allait être ravie:
Tu m'as tiré des flots, ou ſans doute, auiourd’huy M'ira precipiter l’exces de mon ennuy.	Tu m'as tiré des flots, ou sans doute, aujourd'hui M'ira précipiter l'excès de mon ennui.
Ce beau iour, cette feſte inuiolable & ſaincte, Qui de tant de Bergers est l’espoir & lacrainte, En faueur du plus digne, allumant ſon flambeau, Vamettre tout d’vn coup mille amans au tombeau.	Ce beau jour, cette fête inviolable et sainte, Qui de tant de Bergers est l'espoir et lacrainte, En faveur du plus digne, allumant son flambeau, Vamettre tout d'un coup mille amants au tombeau.
Des Nymphes de ces lieux la plainte & le murmurc Contre ceſte beauté qui leur fait tant d’iniure, Ne diront plus en ſin que ces charmes vainqueurs Deſtruiſent leurs deſſeins & gaignent tous les cœurs.	Des Nymphes de ces lieux la plainte et le murmurc Contre cette beauté qui leur fait tant d'injure, Ne diront plus en sin que ces charmes vainqueurs Détruisent leurs desseins et gagnent tous les cœurs.
L’vne & l’autre Phrygie enattend la reſponce, C'eſt l’arreſt de ma mort qu’il faut qu'elle pronõce, O bien-heureux l’amant qu’elle voudra choiſir, Mais ſi ie meurs de peine, il mourra de plaiſir.	L'une et l'autre Phrygie enattend la réponse, C'est l'arrêt de ma mort qu'il faut qu'elle pronõce, Ô bienheureux l'amant qu'elle voudra choisir, Mais si tu mûrs de peine, il mourra de plaisir.
PALEMON.	PALÉMON.
D’accidens ſi diuers toute la terre eſt pleine, Que le plaiſir en ſin ſuccedant à la peine, Aiexis pourroit bien esprouuer en vn iour Et l’vne & l’autre mort, ſans mourir que d’amour.	D'accidents si divers toute la terre est pleine, Que le plaisir en sin succédant à la peine, Aiexis pourrait bien éprouver en un jour Et l'une et l'autre mort, sans mourir que d'amour.
Laiſſe faire Amaranthe, & ſi rien ne la touche, Reçoy premierement vn arreſt de ſa bouche.	Laisse faire Amaranthe, et si rien ne la touche, Reçois premièrement un arrêt de sa bouche.
Le deuoir & l’amour t'impoſent ceſte loy, Qui t'apprend, Alexis, que tu n'es plus à toy.	Le devoir et l'amour t'imposent cette loi, Qui t'apprend, Alexis, que tu n'es plus à toi.
Ce grand meſpris d’amans, ces remiſes, ces fuytes, Et ceſte reſiſtance à leurs vaines pourſuites, Font bien voir que ſon cœur inſtruit par ſa raiſon, Quittant ſa liberté, veut choiſir ſa priſon.	Ce grand mépris d'amants, ces remises, ces fuites, Et cette résistance à leurs vaines poursuites, Font bien voir que son cœur instruit par sa raison, Quittant sa liberté, veut choisir sa prison.
Elle hayt Philidor, Lycandre l’importune.	Elle hait Philidor, Lycandre l'importune.
Ta valeur a terny l’eſclat de leur fortane.	Ta valeur a terni l'éclat de leur fortane.
Les autres, à ſon gré, n'ont rien de genereux, Et le Ciel ne fait pas des chef-d'œuures pour eux.	Les autres, à son gré, n'ont rien de généreux, Et le Ciel ne fait pas des chef-d'œuvres pour eux.
ALEXIS.	ALEXIS.
Qu'vn reſte de naufrage, helas!	Qu'un reste de naufrage, hélas!
quelle apparence?	quelle apparence?
Que l’obiet du mespris, & de l’indifference, Qu'vn Berger ſans troupeau, par vn change ſi doux, Puiſſe rendre les Dieux & les nommes jaloux?	Que l'objet du mépris, et de l'indifférence, Qu'un Berger sans troupeau, par un change si doux, Puisse rendre les Dieux et les nommes jaloux?
Que l’inimortelle fleur des beauteZ les plus grandes, Qui des plus orgueilleux mespriſe les offrandes, Dig ne d’eſtre adorée;	Que l'inimortelle fleur des beautés les plus grandes, Qui des plus orgueilleux méprise les offrandes, Dig ne d'être adorée;
& d’auoir des autels, Choiſiſſe pour eſpoux le moindre des mortels?	et d'avoir des autels, Choisisse pour époux le moindre des mortels?
Non, ie n’eſpere pas que tant d’heur me ſuccede:	Non, Seigneur n'espère pas que tant d'heur me succède:
Et ie ne ſçaurois voir qu’vn autre la poſſede.	Et ici ne saurais voir qu'un autre la possède.
O rigoureuſe loy de l'Aſtre malheureux, Qui me rend le plus pauure, & le plus amoureux!	Ô rigoureuse loi de l'Astre malheureux, Qui me rend le plus pauvre, et le plus amoureux!
I'ignore ma patrie, & ceux qui m’ont fait naiſtre.	J'ignore ma patrie, et ceux qui m'ont fait naître.
I’ay ſuiuy malgré-moy la fortune d’vn maiſtre, Que les Dieux en ces mers ont voulu ſubmerger, Et faire, en me ſauuant, d’vn Pirate vn Berger.	J'ai suivi malgré-moi la fortune d' maistre, Que les Dieux en ces mers ont voulu submerger, Et faire, en me sauvant, d' Pirate un Berger.
PALEMON.	PALÉMON.
Les maux font, Alexis, les degrez de la gloire, Et parmy les perils, on gaigne la victoire.	Les maux font, Alexis, les degré de la gloire, Et parmi les périls, on gagne la victoire.
,C’eſt le ſort des mortels.	Ç ,C'est le sort des mortels.
Ainſi les demy-Dieux, ,Sans deſcendre aux Enfers, ne montent point aux Cieux.	Ainsi les demi-Dieux, SAns descendre aux Enfers, ne montent point aux Cieux.
Mais afin d’eſclaircir tes doutes, & tes peines:	Mais afin d'éclaircir tes doutes, et tes peines:
Eſt ce rendre à l’amour des preuues incertaines, Que de fuïr l’obiet qu'en ſon ame on reſſent, Etd en parler touſiours alors qu'il eſt abſent:	Est -ce rendre à l'amour des prévues incertaines, Que de fuir l'objet qu'en son âme on ressent, Éd en parler toujours alors qu'il est absent:
ALEXIS.	ALEXIS.
Qui traite ainſi l’amour d’artifice & de feintes?	Qui traite ainsi l'amour d'artifice et de feintes?
PALEMON, Celle donc le ſilence eſt cauſe de tes plaintes.	PALÉMON, Celle donc le silence est cause de tes plaintes.
ALEXIS.	ALEXIS.
Oninu puerumauutuueudauxautres preferer?	Oninu puerumauutuueudauxautres préférer?
PALEMON.	PALÉMON.
Ctiny qu ſansraijon ſe vem deſespure	Ctiny qu sansraijon se vem désespure
ALEXIS.	ALEXIS.
Que dis-tu Palemon?	Que dis-tu Palemon?
PALEMON.	PALÉMON.
Ce qu'Alexis deſire.	Ce qu'Alexis désire.
Depuis trois iours encor, elle m'a fait redire Ce que l’on peut nommer ton heur & ton malheur, Qu'elle ne peut ouïr ſans ioye, & ſans douleur.	Depuis trois jours encor, elle m'a fait redire Ce que l'on peut nommer ton heur et ton malheur, Qu'elle ne peut ouïr sans joie, et sans douleur.
Comme ie t'apperceus apres vn grand orage, Tendant les mains aux Cieux, & ſi loin duriuage, Souſtenu ſeulement d’vne table ſur l’eau, Que fit pour ton ſalut le débris du vaiſſeau.	Comme ie t'aperçus après un grand orage, Tendant les mains aux Cieux, et si loin durivage, Soutenu seulement d'une table sur l'eau, Que fit pour ton salut le débris du vaisseau.
Comme en ce meſme inſtant que ie te vis paroiſtre, Les rames à la main, ie t’allay recognoiſtre, Au milieu des dangers, ou les flots tortueux Precipitent grondans leurs cours impetueux.	Comme en ce même instant que sans te vis paraître, Les rames à la main, était t'allai reconnaître, Au milieu des dangers, ou les flots tortueux Précipitent grondants leurs cours impétueux.
Comme lors que ie vy ta beauté naturelle, Ie te pris pour quelqu’vn de la troupeimmortelle, Pour vn des Dieux marins, que i’allois adorer, Qu'aulieu de ſecourir, ie voulois implorer.	Comme lors que ie vi ta beauté naturelle, Je te pris pour quelqu’un de la troupeimmortelle, Pour un des Dieux marins, que j'allais adorer, Qu'aulieu de secourir, ainsi voulais implorer.
Qu'en fin ie m’eſtonnois dequoy les Nereïdes Ne t’euſſent point rauy dans leurs antres humides.	Qu'en fin rien m'étonnais dequoy les Nereïdes Ne t'eussent point ravi dans leurs antres humides.
Voilà ce qu'Amaranthe eſcoutoit à loiſir;	Voilà ce qu'Amaranthe écoutait à loisir;
Non ſans en ſoupirer de peine, & de plaiſir.	Non sans en soupirer de peine, et de plaisir.
ALEXIS.	ALEXIS.
Queſſe erreur, ò grands Dieux!	Quesse erreur, grands Dieux!
de croire qu'elle m’aime, Elle qui craint ſi fort de m'eſcouter moy-meſme?	de croire qu'elle m'aime, Elle qui craint si fort de m'écouter moi-même?
PALEMON.	PALÉMON.
Les respects, Alexis, luy donnent cette loy;	Les respects, Alexis, Seigneur donnent cette loi;
Et puis tes actions parlent aſſez pour toy.	Et puis tes actions parlent assez pour toi.
ALEXIS.	ALEXIS.
Heureux!	Heureux!
trois fois heureux!	trois fois heureux!
qui peut ſe plaindre d’elle, Et qui la peut nommer fiere, ingrate, ou cruelle.	qui peut se plaindre d'elle, Et qui la peut nommer fière, ingrate, ou cruelle.
Mais moy, ie conſidere vn bien qui m’eſt ſicher, Comme vne deité que ie n’oſe epprocher.	Mais moi, Seigneur considère un bien qui m'est sicher, Comme une deité que je n'ose épprocher.
Elle ignore mes vœux, & mon cruel martyre, Et ne s'apperçoit point que ie meurs ſans le dire.	Elle ignore mes vœux, et mon cruel martyre, Et ne s'apperçoit point que ie meurs sans le dire.
Außi ne croy-ie pas en auoir merité Que la punition de ma temerite.	Aussi ne crois-je pas en avoir mérité Que la punition de ma témérité.
a da d due do Allons prier les Dieux.	a da d due do Allons prier les Dieux.
ALEXIS.	ALEXIS.
Allons;	Allons;
car voicy l'heure.	car voici l'heure.
PALEMON.	PALÉMON.
Tut doibi ſimr tes mane.	Tut doibi simr tes mane.
ALEXIS.	ALEXIS.
Qu'il faudra que ie meure,	Qu'il faudra que ainsi meure,
PALEMON.	PALÉMON.
Il faut que Palemon face vn dernier effort.	Il faut que Palemon face un dernier effort.
ALEXIS.	ALEXIS.
Qu'il face que ie parle, ou conſente à ma mort.	Qu'il face que ici parle, ou consente à ma mort.
PALIMON.	PALIMON.
Source gallica.	Source galica.
bnffr ( Bibliothèque nation de France	bnffr ( Bibliothèque nation de France
PALEMON.	PALÉMON.
Qu'il implore Melite, & Melite Amaranthe, Qui ne doit plus celer vne flame apparente.	Qu'il implore Mélite, et Melite Amaranthe, Qui ne doit plus celer une flamme apparente.
ALEXIS.	ALEXIS.
Tu me ſeras vn Dieu, ie rendray ton renom Plus grand que de celuy dont tu portes le nom.	Tu me seras un Dieu, était rendrai ton renom Plus grand que de celui dont tu portes le nom.
ACTE PREMIER.	ACTE PREMIER.
SCENE DEVXIESME.	SCÈNE DEUXIÈME.
AMARANTHE , MELIIE, DEEPHISE, AMARANTHE.	AMARANTHE , MELIE, DEPHISE, AMARANTHÉE.
JA choiſir ta victime, & voir ta bergerie.	JA choisir ta victime, et voir ta bergerie.
V Mais ſeis toſt de retour, Melite, ie te prie.	V Mais seis tôt de retour, Melite, Elle te prie.
Ie verray cebendant la NVymphe dans ces bois, A qui ie doibs parler pour la derniere fois.	Je verrai cebendant la NUymphe dans ces bois, À qui ie doibs parler pour la dernière fois.
DELPIIISE.	DELPIIISE.
Amaranthe.	Amaranthe.
Amaranthe.	Amaranthe.
A MARANTHE.	À MARANTHÉE.
O pareille aux Deeſſes!	Ô pareille aux Déesses!
Fauorable à mes vœux, fidele a tes promeſſes, Ie ſors pour te chercher.	Favorable à mes vœux, fidèle à tes promesses, Je sors pour te chercher.
Voicy l’heure, & les lieux Ou le ſoindes mortels trouue pluſtoſt les Dieux.	Voici l'heure, et les lieux Ou le soindes mortels trouve plutôt les Dieux.
DELPHISE.	DELPHISE.
O timide ceumocobiintomte amtonjeecunte;	Ô timide ceumocobiintomte amtonjeecunte;
AMARANTHE.	AMARANTHÉE.
M'apportes-tu Deſpniſe, ou la mort, ou la vie?	M'apportes-tu Despnise, ou la mort, ou la vie?
DELPHISE.	DELPHISE.
Ie ne m’eſtonne pas ſi tu fais tous les iours, Par ta preſence, naiſtre, & mourir mille amours.	Je ne m'étonne pas si tu fais tous les jours, Par ta présence, naître, et mourir mille amours.
OEIASE A AIIIE As-tu veu la Deeſſe?	ÇEIASE A IIE As-tu vu la Deesse?
DELPHISE.	DELPHISE.
Et toy parmy tant d’ames.	Et toi parmi tant d'âmes.
Que l’Amour auiourd’huy cõſomme de tes flames As tu veu?	Que l'Amour aujourd'hui consomme de tes flammes As tu veu?
AMARANTHE.	AMARANTHÉE.
Qui?	Qui?
DEETIIOE.	DETIIIOE.
Celuy que tu veux acquerir.	Celui que tu veux acquérir.
Tu changes de couleur.	Tu changes de couleur.
AMARANTHE.	AMARANTHÉE.
Ah!	Ah!
tu me fais mourir!	tu me fais mourir!
Me crons-tu donc ſenſible a quelque amour pro phane?	Me crons-tu donc sensible à quelque amour pro fane?
Moy qui n’ay d’autre ſoin que de ſeruir Diane?	Moi qui n'ai d'autre soin que de servir Diane?
B.	B.
ii.	ji.
DELPHISE.	DELPHISE.
mhammmipu e ton carquois?	mhammipu e ton carquois?
AMARANTHE.	AMARANTHÉE.
Ils ſerom bien-toſt preſts.	Ils serom bientôt prêts.
DELPHISE.	DELPHISE.
Eſcoute par ma voix L’arreſt de ton deſtin, & de Diane meſme, Elle approuue tes vœux.	Écoute par ma voix L'arrêt de ton destin, et de Diane même, Elle approuve tes vœux.
MMANASTITDS O grands Dieux	MMANASTITDS Ô grands Dieux
DELPHISE.	DELPHISE.
Elle t’aime.	Elle t'aime.
Elle te veux combler de plaiſir, & d’honneur.	Elle te veux combler de plaisir, et d'honneur.
AMARANTHE.	AMARANTHÉE.
