LRAREE C2 DEGVISE TRAGI-COMEDIE.	LRARE C2 DÉGUISÉ -THRAGI-COMÉDIE.
Mais quoy qu’il enſoit, l'honneur de l’auoir oſé, ſatisfait mon ambition, ſçachant bien que quel que ſoit l’éuenement d’vne ſi haute entrépriſe, il ne peut eſtre que glorieux pour moy qui ſuis,	Mais quoi qu'il ensait, l'honneur de l'avoir osé, satisfait mon ambition, sachant bien que quel que soit l'événement d'une si haute entréprise, il ne peut être que glorieux pour moi qui suis,
VERS Pour mettre ſouz les portraicts de cette Excellente Princeſſe.	VERS Pour mettre souz les portraits de cette Excellente Princesse.
Si ton Sang ne procede, ou des Rois, ou des Dieux, Temeraire abaiſſe les yeux, Et mets pour te ſauuer ta prudence en vſage;	Si ton Sang ne procède, ou des Rois, ou des Dieux, Teméraire abaisse les yeux, Et mets pour te sauver ta prudence en usage;
Le ſeul aueuglement te pourra ſecourir;	Le seul aveuglément te pourra secourir;
Mais non, ſois plus hardy que ſage Et regarde ce beau viſage, Il vaut mieux le voir, & mourir,	Mais non, sois plus hardi que sage Et regarde ce beau visage, Il vaut mieux le voir, et mourir,
Déguiſé.	Déguisé.
Ans l’Epiſtre, page;	Ans l'Épître, page;
ligne 15.	ligne 15.
i’eſpere, liſez i’eſperé.	j'espère, lisez j'espéré.
Page 43.	Page 43.
vets 13.	vêts 13.
encore, liſez encor.	encore, lisez encor.
Pag e 64.	Pag e 64.
vers 12.	vers 12.
la, liſez le.	la, lisez le.
Page 81.	Page 81.
vers 6.	vers 6.
que ie deſire, liſez qu’elle y deſire.	que ici désire, lisez qu'elle y désire.
Page 82, vers 11.	Page 82, vers 11.
Clement, liſez Clemente.	Clément, lisez Clémente.
Page 104.	Page 104.
vers 9.	vers 9.
heritier, liſez heritiere.	héritier, lisez héritière.
A V DEOTEVR	À V EOTEUR
16 L eſt certains Tableaüx, dont z le Coloris eſt ſi vif & ſi riant, qu’il ſurprend agreablement la veuë de tous ceux qui les regardent, trompo la connoiſſance des plus ſçauans en portraicture, & faict paſſer d’abord pour fort beau, ce qui ne l’eſt point du tout:	16 L est certains Tableaüx, dont z le Coloris est si vif et si riant, qu'il surprend agréablement la vue de tous ceux qui les regardent, trompo la connaissance des plus savants en portraiture, et fait passer d'abord pour fort beau, ce qui ne l'est point du tout:
Mais lors que cette douce illuſion eſt diſſipee, qu’on s’apperçoit de la tromperie qu’elle a faicte au ſens, & qu’en fin le iugement recouure la liberté de ſes fonctions;	Mais lors que cette douce illusion est dissipée, qu'on s'aperçoit de la tromperie qu'elle a faite au sens, et qu'en fin le jugement recouvre la liberté de ses fonctions;
on ne voit plus ce qu’on croyoit voir:	on ne voit plus ce qu'on croyait voir:
on ſe mocque de cét ouurage, & de ſoy meſme;	on se moque de cet ouvrage, et de soi -même;
& cette en vn iuſte meſpris, Ie ne ſçay (Lecteur) ſi cette Peinture parlante que ie t’offre, n’aura point le meſme deſtin;	et cette en un juste mépris, Je ne sais (Lecteur) si cette Peinture parlante que ie que offre, n'aura point le même destin;
& ie doute, ſi cette approbation vniuerſelle qu’elle a receuë, eſt vn eſſect de ſes beautez, ou de ſon bon-heur.	et et doute, si cette approbation universelle qu'elle a reçue, est un essect de ses beautés, ou de son bonheur.
Le ſuperbe appareil de la Scene, la face du Theatre, qui change cinq ou ſix fois entierement, à la repreſentation de ce Poëme, la magnificence des habits, l’excellence des Comodiens, de qui l’action farde les paroles, & la voix qui n’eſt qu’vn ſon qui meurt en naiſſant;	Le superbe appareil de la Scène, la face du Théâtre, qui change cinq ou six fois entièrement, à la représentation de ce Poème, la magnificence des habits, l'excellence des Comodiens, de qui l'action farde les paroles, et la voix qui n'est qu'un son qui meurt en naissant;
tout cela (dis-ie) eſtant ioint enſemble, eſt capable de donner des graces à ce qui n’en a point, d’esblouir par cét eſclat les yeux des plus clairs-voyans, & de deceuoit l’oreille la plus iuſte, & la plus ſenſible au diſcernement des bonnes ou des mauuaiſes choſes, Mais comme Alexandre dict autre-fois à quelqu’vn qui luy conſeilloit d’attacquer ſes ennemis la nuict, Qu’il ne vouloit point dérober la victoire:	tout cela (dis-je) étant joint ensemble, est capable de donner des grâces à ce qui n'en a point, d'éblouir par cet éclat les yeux des plus clairs-voyants, et dé deceuoit l'oreille la plus juste, et la plus sensible au discernement des bonnes ou des mauvaises choses, Mais comme Alexandre dict autrefois à quelqu'un qui même conseillait d'attacquer ses ennemis la nuit, Qu'il ne voulait point dérober la victoire:
Ie t’aſſeure de meſme, que ie ne veux point dérober la reputation d’eſprit, ny la deuoir à ce qui n’eſt pas de moy.	Je t'assure de même, que sans ne veux point dérober la réputation d'esprit, toujours la devoir à ce qui n'est pas de moi.
C’eſt ce qui m’oblige à t’expoſer cét ouurage, deſpoüillé de tous autres ornemens, que de ceux qui luy ſont naturels, afin que ta raiſon ne ſoit point ſurpriſe, & qu’elle ne luy donne, que ce qu’il merite d’auoir.	C'est ce qui m'oblige à t'exposer cet ouvrage, dépouillé de tous autres ornements, que de ceux qui a sont naturels, afin que ta raison ne soit point surprise, et qu'elle ne lui donne, que ce qu'il mérite d'avoir.
Sçache donc qu’en te le monſtrant, ie me ſuis caché le pinceau dans la main, derriere les rideaux comme Appelle, reſolu de corriger mes deffaux par ta connoiſſance, & de me deffaire de cét amour propre, qui nous fait croife beau tout ce que nous faiſons, & ce qui bien ſouuent ne l’eſt pas.	Sache donc qu'en te le montrant, Elle me suis caché le pinceau dans la main, derrière les rideaux comme Appelle, résolu de corriger mes défauts par ta connaissance, et de me défaire de cet amour propre, qui nous fait croife beau tout ce que nous faisons, et ce qui bien souvent ne l'est pas.
Mais de grace, ſois Iuge equitable, fay que ta cenſure ſoit fille de la Charité, & non pas de l’Enuie;	Mais de grâce, sois Juge équitable, fais que ta censure soit fille de la Charité, et non pas de l'Enuie;
& ſur tout examine toy pour m’examiner;	et sur tout examine toi pour m'examiner;
iuge toy pour me iuger;	juge toi pour me juger;
connoy tes forces pour voir ma foibleſſe, & ne te meſle que de ce que tu ſçais bien:	connais tes forces pour voir ma faiblesse, et ne te mêle que de ce que tu sais bien:
autrement ie me monſtreray coin	autrement ie me montrerai coin
Ne ſutor vltra crepidam	Ne sutor vltra crépidam
Si tu es de la Cour, pardonne moy ce mot de Latin, que ie n’ay pû retenir:	Si tu es de la Cour, pardonne moi ce mot de Latin, que je n'ai pu retenir:
C’eſt vne faute que ie n’ay iamais commiſe en eſcriuant, & que ie ne commettray peut-eſtre iamais:	C'est assez faute que ici n'ai jamais commise en écrivant, et que personne ne commettrai peut-être jamais:
le peu que i’en ſçay ne me permettant pas d’en eſtre prodigue, n’y d’en faire profuſion, Adieu.	le peu que j'en sais ne me permettant pas d'en être prodigue, n'y d'en faire profusion, Adieu.
Les Acteurs.	Les Acteurs.
CLEARQVE Fils d’Altomire Roy de Naples.	CLÉARQUE Fils d'Altomire Roi de Naples.
LISANDRE Gentil-homme Napolitain, demeurant en Sicile.	LISANDRE Gentilhomme Napolitain, demeurant en Sicile.
FLORESTOR Eſcuyer de Clearque:	FLORÊTOR Écuyer de Clarque:
ROSEMONDE Reine de Sicile & vefue du Roy Poliante.	ROSEMONDE Reine de Sicile et veuve du Roi Poliante.
ARGENIE Vnique heritiere du Royaume de Sicile.	ARGENIE Unique héritière du Royaume de Sicile.
THEOTIME Grand Sacrificateur de la Sicile.	THÉTIME Grand Sacrificateur de la Sicile.
ARCHANE Miniſtre du Temple de Palerme.	ARCHANE Ministre du Temple de Palerme.
PHILISE Fille d’honneur de l’Infarite, & ſa fauorite.	PHILISE Fille d'honneur de l'Infarite, et sa favorite.
RVTILE Iardinier de la Reinc.	RUTILE Iardinier de la Reinc.
MELANIRE Femme de Rutile.	MELANIRE Femme de Rutile.
ANTHENOR Chancelier de Sicile:	ANTHENOR Chancelier de Sicile:
ARISTE Lieutenant des Gardes de la Reine.	ARISTE Lieutenant des Gardes de la Reine.
Quatre de ſes compagnons.	Quatre de ses compagnons.
ARMILE Page d’Argenie.	ARMILE Page d'Argénie.
TROVPE des Courtiſans de Sicile.	TROUPE des Courtisans de Sicile.
IVGES de Camp.	IUGES de Camp.
CHŒVR de peuple Sicilien.	CHŒUR de peuple Sicilien.
CHŒVR de Trompettes.	CHÉVR de Trompettes.
DE PRIIVCE DEGVISE.	DE PRIVÉE DÉGUISÉ.
ACTE PREMIER.	ACTE PREMIER.
CLEARQVE, LISANDRE, FLORESTOR, ROSEMONDE, ARGENIE, PHILISE, THEOTHIME, ANTHENOR, ARISTE, CHŒVR DE COVRTISANS, CHŒVR DE GARDES, CHŒVR DE PEVPLE, ARCHANE, ARMILE.	CLEURQUE, LISANDRE, FLORÉTOR, ROSEMONDE, ARGENIE, PHILISE, THÉTHIME, ANTHENOR, ARISTE, CHUR DE COURTISANS, CHÉVR DE GARDES, CHÉR DE PEUPLE, ARCHANE, ARMILE.
SCENE PREMIERE.	SCÈNE PREMIÈRE.
CLEARQVE, LISANDRE, FLORESTOR.	CLÉARQUE, LISANDRE, FLORÉTOR.
J CLEARQVE.	 CLEARQVE.
& Iſandre, couurez-vous, icy tout m'eſt ſuſpect, ceeſtrEt ne me traittez plus auec tant de reſpect:	et Isandre, couvrez-vous, ici tout m'est suspect, ceestrEt ne me traitez plus avec tant de respect:
ſmpiSongez en ce deſſein où l’amour me conuie, Si ie ſuis deſcouuert qu’il y va de ma vie.	sympiSongez en ce dessein où l'amour me convie, Si tu suis découvert qu'il y va de ma vie.
LISANDRE.	LISANDRE.
de Jor, poin, celir des ceelaer ſalscener?	de Jor, poin, celir des célaer salscener?
CLEARQVE.	CLÉARQUE.
Vous eſtes mieux ainſi, veu qu’on nous pourroit voir.	Vous êtes mieux ainsi, vu qu'on nous pourrait voir.
Mon entrepriſe ſeule eſt aſſez difficile, Et ie me dois cacher à toute la Sicile:	Mon entreprise seule est assez difficile, Et Seigneur me dois cacher à toute la Sicile:
Mais vous aurez l’honneur d’apprendre mon projet, Car mon pere vous tient amy comme ſubjet:	Mais vous aurez l'honneur d'apprendre mon projet, Car mon père vous tient ami comme sujet:
Et bien qu’vn autre Prince ait voſtre obeïſſance, Naples dont il eſt Roy, vous a donné naiſſance;	Et bien qu'autre autre Prince ait votre obéissance, Naples dont il est Roi, vous a donné naissance;
C eſt pourquoy vous deuez dider a mon deſſein, Puis que le meſme Sceptre eſt acquis à ma main.	Ç est pourquoi vous devez dider à mon dessein, Puis que le Seigneur Sceptre est acquis à ma main.
LISANDRR.	LISANDRR.
Ie fais viure en mon cœur l’amour de ma prouince, Celle de mes parens, & le reſpect du Prince;	Je fais vivre en mon cœur l'amour de ma province, Celle de mes parents, et le respect du Prince;
Et bien que confiné dans ce bord eſtranger, En changeant de ſejour ie ne ſçaurois changer:	Et bien que confiné dans ce bord étranger, En changeant de séjour ici ne saurais changer:
Et loing de la patrie, & dans ceſte aduanture, La fortune m'attache, außi faict la nature;	Et loin de la patrie, et dans cette aventure, La fortune m'attache, aussi fait la nature;
Et croyez, Monſeigneur, que ie vous ſeruiray, (En deuſſay-ie perir) autant que ie pourray.	Et croyez, Monseigneur, que je vous servirai, (En dussai-je périr) autant que sans pourrai.
CLEARQVE.	CLÉARQUE.
Außi pouuez vous voir par ceſte confidence, Que ie vous croy fidelle, & remply de prudence;	Aussi pouvez -vous voir par cette confidence, Que Que vous crois fidèle, et rempli de prudence;
Puis que dans vn Eſtat qui m'eſt ſi dangereux, ne con puneny;	Puis que dans un État qui m'est si dangereux, ne con puni;
unane Mx.	unane Mx.
LISANDRE.	LISANDRE.
Mon viſage eſtonné vous marque ma triſteſſe:	Mon visage étonné vous marque ma tristesse:
Et ie tremble, en voyanten ces lieux voſtre AAlteſſe, Lieux, où voſtre bon-heur tient chacun en ſoucy;	Et beau tremble, en voyanten ces lieux votre AAltesse, Lieux, où votre bonheur tient chacun en souci;
Etie ne puis iuger ce qui vous meine icy.	Etie ne puis juger ce qui vous mène ici.
CLEARQVE.	CLÉARQUE.
Quoy, n'auez vous point ſceu les motifs d’vne guerre, Où le ſanga couuert la face de la terre?	Quoi, n'avez -vous point su les motifs d'une guerre, Où le sanga couvert la face de la terre?
Où la flame & le feront tant ſemé l’effroy?	Où la flamme et le feront tant semé l'effroi?
Etqui trouue ſa ſin dedans celle d'vn Roy, Que pleure la Sicile & que chacun regrette?	Etqui trouve sa sin dedans celle d'un Roi, Que pleure la Sicile et que chacun regrette?
LISANDRE.	LISANDRE.
Ce malheur eſt public, la cauſe en eſt ſecrette;	Ce malheur est public, la cause en est secrète;
Et tous pour ce ſujet, ont diuers ſentiment;	Et tous pour ce sujet, ont divers sentiment;
Mais nous n'en ſçauons rienque fort confusément.	Mais nous n'en savons rienque fort confusément.
Et meſme les exploits qui ſignalent vos armes, Qui couſtent tantde ſang, qui couſtent tant de larmes, Ne me ſont point connus, parce que i'eſtois lors, Dans ces heureux climats d’où viennent les threſors;	Et même les exploits qui signalent vos armes, Qui coûtent tantde sang, qui coûtent tant de larmes, Ne me sont point connus, parce que j'étais lors, Dans ces heureux climats d'où viennent les trésors;
Et que quelques combats qu'ait gaigné voſtre armée, La longueur du chemin laſſoit la Renommée:	Et que quelques combats qu'ait gagné votre armée, La longueur du chemin lassoit la Renommée:
Si bien que mon eſprit ne trouue point de jour, cQanon tons ou parlei & ueguein, & d'amouf.	Si bien que mon esprit ne trouve point de jour, cAnQanon tons ou parlei et ueguein, et d'amouf.
CLEARQVE.	CLÉARQUE.
Pour vous en eſclaircir, eſcoutez vne hiſtoire, De qui la fin tragique afflige ma memoire, Deſtruit mon eſperance, ainſi que mes deſirs, Et condamne mon ame à tant de deſplaiſirs.	Pour vous en éclaircir, écoutez une histoire, De qui la fin tragique afflige ma mémoire, Détruit mon espérance, ainsi que mes désirs, Et condamne mon âme à tant de déplaisirs.
Six ans ont faict leur cours, depuis l’heure fatale Que ie quittay les bords de ma terre natale, Et qu’vn deſir de voir (plus viſte qu’vn torrent) M’emporta ſous l’habit de Cheualier errant.	Six ans ont fait leur cours, depuis l'heure fatale Que je quittai les bords de ma terre natale, Et qu'un désir de voir (plus vite qu'un torrent) M'emporta sous l'habit de Chevalier errant.
I'erre ainſi déguiſé, de prouince, en prouince;	J'erre ainsi déguisé, de prouince, en province;
Ie viſite en paſſant la Cour de chaque Prince;	Je visite en passant la Cour de chaque Prince;
Et ſuiuant le deſſein qui me fit eſloigner, Ie taſche de m’instruire en l’art de bienregner.	Et suivant le dessein qui me fit éloigner, Je tâche de m'instruire en l'art de bienregner.
En fin, ayant couru preſque l’Europe entiere, Ce beatt feu s’eſteignit à faute de matiere;	En fin, ayant couru presque l'Europe entière, Ce béat feu s'éteignit à faute de matière;
Cedeſir curieux n’eut plus où s’attacher;	Cédesir curieux n'eût plus où s'attacher;
Ie creus auoir acquis, ce que que i’allois chercher;	Je crus avoir acquis, ce que que j'allais chercher;
Pleinement ſatisfait de mes erreurs paſſées, Ie reuins ſur mes pas, ie changeay de penſées;	Pleinement satisfait de mes erreurs passées, Je revins sur mes pas, toujours changeai de pensées;
Et forcé du deſtin, & conduit par l’Amour, I'arriuaydans Meßine, & vins voir ceſte Cour.	Et forcé du destin, et conduit par l'Amour, J'arrivaidans Messine, et vins voir cette Cour.
Ce fut là, que ce Dieu triompha de mon ame;	Ce fut là, que ce Dieu triompha de mon âme;
En ce lieu ie bruſlay de ma premiere flame;	En ce lieu ici brûlai de ma première flamme;
Ie me laiſſay ſurprẽdre aux charmes d’vn beauteint;	Je me laissai surprendre aux charmes d'un beauté;
Mon œil en fut touché, mon cœuren fut attaint;	Mon œil en fut touché, mon cœuren fut attaint;
I'en ſouffris à l’inſtant la douce tyrannie;	J'en souffris à l'instant la douce tyrannie;
Et pour tout dire en fin, i’oſay voir Argenie.	Et pour tout dire en fin, j'osai voir Argénie.
Ie la vis, & l’aimay;	Je la vis, et l'aimai;
car au meſme moment, Qui fit que ie la vis, ie me fis voir amant.	car au même moment, Qui fit que ici la vis, on me fis voir amant.
Mon ame à ſon abord fut bien peu deffenduë;	Mon âme à son abord fut bien peu défendue;
Et malgré ma raiſon la place fut rendué, Außi toſt que cét œil, qui peut tout enflammer, Par vn de ſes regards eut daigné me ſommer.	Et malgré ma raison la place fut rendué, Aussi tôt que cet œil, qui peut tout enflammer, Par un de ses regards eut daigné me sommer.
Ie fus cent fois tenté d’vne ardeur violente, Qui me ſollicitoit d’accoſter Poliante, De luy dire mon nom, & le malque i'auois;	Je fus cent fois tenté d'une ardeur violente, Qui me sollicitait d'accoster Poliante, De deux dire mon nom, et le malhque j'avais;
Mais touſiours la raiſon me retenoit la voix, Et me repreſentoit le pouuoir de mon pere:	Mais toujours la raison me retenait la voix, Et me représentait le pouvoir de mon père:
Mais comme vous ſçauez que tout amant eſpere, Ie creus que ſon deſir ſeconderoit le mien, Et qu’il m'eſtoit permis d’aſpirer à ce bien.	Mais comme vous savez que tout amant espère, Je crus que son désir seconderait le mien, Et qu'il m'était permis d'aspirer à ce bien.
Comme en effect, deſlors ie quittay la Sicile;	Comme en effet, délors aux quittai la Sicile;
Et le luy propoſant, ie le trouuay facile, Il approuua mon chom,untomuuigrmueur, Et ne refuſa rien à mes vœux pleins d’ardeur.	Et le même proposant, je le trouvai facile, Il approuva mon chom,untomuvigrueur, Et ne refusa rien à mes vœux pleins d'ardeur.
Au contraire, außi toſt pourſinir mon martyre, Il deſpeſche vn des ſiens, comme ie le deſire,	Au contraire, aussi tôt poursinir mon martyre, Il dépêche un des siens, comme ie le désire,
Pour demander l’Infante, à ce Roy malheureux:	Pour demander l'Infante, à ce Roi malheureux:
Voicy le premier coup de mon ſort rigoureux.	Voici le premier coup de mon sort rigoureux.
Car ſoit que Poliante euſt receu quelque Oracle, Qui fuſt à cét Hymen vn inuiſible obstacle;	Car soit que Poliante eût reçu quelque Oracle, Qui fût à cet Hymen un invisible obstacle;
Ou ſoit que ſon eſprit euſt quelque autre raiſon, Qui vinſt de ma perſonne, ou iouchaſt ma maiſon;	Ou soit que son esprit eût quelque autre raison, Qui vinst de ma personne, ou iouchast ma maison;
Ou que le ſeul caprice authoriſaſt ſa haine;	Ou que le seul caprice autorisât sa haine;
Ce cruel ſe mocqua d’vne eſperance vaine, Et ſçachant le deſſein de noſtre Ambaſſadeur, Il ne luy respondit qu’en termes de froideur, Et ne luy donna point d’audience publique.	Ce cruel se moqua d'une espérance vaine, Et sachant le dessein de notre Ambassadeur, Il ne lui répondit qu'en termes de froideur, Et ne te donna point d'audience publique.
Altomire ſenſible, & qu’vn outrage picque, Quelque ſoin que ie priſſe à le faire changer, Iura de le punir, & de ſe bien vanger.	Altomire sensible, et qu'un outrage picque, Quelque soin que femme prisse à le faire changer, Jura de le punir, et de se bien venger.
Außi toſt il equippe vne puiſſante ſlotte, Et mettant noſtre route en la main du pilotte.	Aussi tôt il équipe une puissante slotte, Et mettant notre route en la main du pilotte.
Il s’embarque, & ie ſuy malgré moy ſes vaiſſeaux, Que le vent fauoriſe, & qui fendent les eaux.	Il s'embarque, et ainsi suivis malgré moi ses vaisseaux, Que le vent favorise, et qui fendent les eaux.
Poliante aduerty qu’il ſeforme vn orage, Se reſoud de l’attendre, & ne perd point courage;	Poliante averti qu'il seforme un orage, Se résoud de l'attendre, et ne perd point courage;
Va touſiours coſtoyant la Sicile en ſes bords, A deſſein d’enfermer l’embouchure des ports;	Va toujours côtoyant la Sicile en ses bords, A dessein d'enfermer l'embouchure des ports;
En fin, nous l’attaquons aſſez prés de Cardonne:	En fin, nous l'attaquons assez près de Cardonne:
Tout ſe meſle à l’inſtant, la bataille ſe donne;	Tout se mêle à l'instant, la bataille se donne;
Le bruit, le ſang, l’horreur, & lamort en tous lieux, Paſſent iuſques au cœur, & s'offrent à nos yeux:	Le bruit, le sang, l'horreur, et lamort en tous lieux, Passent jusques au cœur, et s'offrent à nos yeux:
Le choc de tant de Nefs fait l’eſclat d’vn tonnerre, Qui retentit bien loing du coſté de la terre, Et qui ſemble respondre à ces flots murmurans, Et ſe meſler encore aux plaintes des mourans.	Le choc de tant de Nefs fait l'éclat d'un tonnerre, Qui retentit bien loin du côté de la terre, Et qui semble répondre à ces flots murmurants, Et se mêler encore aux plaintes des mourants.
Pardes longs cris aigus, que le ſoldat enuoye, Il ſe fait vn chaos de triſteſſe & de ioye, Les vaiſſeaux accrochez ſont horribles à voir, On attaque, on reſiſte, & tous font leur deuoir:	Pardes longs cris aigus, que le soldat envoie, Il se fait un chaos de tristesse et de joie, Les vaisseaux accrochez sont horribles à voir, On attaque, on résiste, et tous font leur devoir:
L’on combat main à main, & chacun s’éuertué, Pour trainer auec ſoy, l’ennemy qui le tuë.	L'on combat main à main, et chacun s'évertué, Pour trainer avec soi, l'ennemi qui le tue.
On voit tomber en l’eaumille corps tous ſanglans, Et la main de la Parque eſclaircit tous les rangs.	On voit tomber en l'eaumille corps tous sanglants, Et la main de la Parque éclaircit tous les rangs.
La face de la mer nous paroiſt effroyable, Elle n'a point d’object qui ne ſoit pitoyable, Vn vaiſſeau coule à fond, vn autre tout briſé, De crainte d’eſtre pris, ſe fait voir embrasé, Et couurant le Soleil d’vne espaiſſe fumée, Dérobe aux yeux de tous, & l’vne & l’autre armée.	La face de la mer nous paraît effroyable, Elle n'a point d'object qui ne soit pitoyable, Un vaisseau coule à fond, un autre tout brisé, De crainte d'être pris, se fait voir embrasé, Et couvrant le Soleil d'une épaisse fumée, Dérobe aux yeux de tous, et l'une et l'autre armée.
Le feu ſe communique, entre aux autres vaiſſeaux;	Le feu se communique, entre aux autres vaisseaux;
Si bien qu’il ſemble naiſtre au milieu de ces eaux.	Si bien qu'il semble naître au milieu de ces eaux.
Mille pointes de flame en l’air ſont ondoyantes, Qui s'eſleuent du ſein des vagues aboyantes,	Mille pointes de flamme en l'air sont ondoyantes, Qui s'esleuent du sein des vagues aboyantes,
Et ce pauure pays crût voir en cét inſtant, Comme vn Etna ſolide, vn Veſuue flotant.	Et ce pauvre pays crut voir en cet instant, Comme un Etna solide, un Vesuue flotant.
Bellonne deux cens foischangea de capitaine, Le ſort parut douteux;	Bellonne deux cens foischangea de capitaine, Le sort parut douteux;
la fortune incertaine;	la fortune incertaine;
Elle balença bien;	Elle balença bien;
mais d’vn regard plus doux, La victoire à la fin ſe declara pour nous;	mais d'un regard plus doux, La victoire à la fin se déclara pour nous;
Nous fuſmes les plus forts;	Nous fûmes les plus forts;
& tant de Nefs percées, S’abandonnent au vent, & ſtottent diſpersées.	et tant de Nefs percées, S'abandonnent au vent, et stottent dispersées.
Poliante qui voit iuſqu'où va ſon malheur, Plein d’ire, de courroux, de rage & de douleur, S’efforce (mais en vain) de retournerla proüe, De ſes pauures vaiſſeaux dont le deſtin ſe ioüe:	Poliante qui voit jusqu'où va son malheur, Plein d'ire, de courroux, de rage et de douleur, S'efforce (mais en vain) de retournerla proune, De ses pauvres vaisseaux dont le destin se joue:
Mais voyant que les ſiens ſont laſſez des combats, Luy meſme prend la fuite, & met l’eſtendart bas.	Mais voyant que les siens sont lassez des combats, Lu mesme prend la fuite, et met l'étendard bas.
Il fuit, mais en lyon, dont l’ardante prunelle, I'eſmoigne que la peur n’eſtiamais peinte en elle, Qui là manque de force, & non faute de cœur;	Il fuit, mais en lyon, dont l'ardante prunelle, J'émoigne que la peur n'étiamais peinte en elle, Qui là manque de force, et non faute de cœur;
Et qui rugit encor ſous les pieds du vainqueur.	Et qui rugit encor sous les pieds du vainqueur.
Telparut ce grand Roy, qui regaignant la riue, Crût pouuoir raſſembler ſa flotte fugitiue, Combattre derechef, mais plus heureuſement;	Telparut ce grand Roi, qui régagnant la rive, Crut pouuoir rassembler sa flotte fugitive, Combattre derechef, mais plus heureusement;
Et changer de fortune, en changeant d’Element.	Et changer de fortune, en changeant d'Élément.
Il tourne donc viſage, & le peuple qui tremble, Forcé par ſon exemple autour de luy s’aſſemble;	Il tourne donc visage, et le peuple qui tremble, Forcé par son exemple autour de lui s'assemble;
Mais comme le deſtin ne change point ſes loix, Il fut mis en deroute vne ſeconde fois;	Mais comme le destin ne change point ses lois, Il fut mis en deroute était seconde fois;
Il perdit en ce lieu l’eſperance derniere, Et ſa perſonne meſme y reſtapriſonniere.	Il perdit en ce lieu l'espérance dernière, Et sa personne même y restaprisonnière.
