MONSIEVR	MONSIEUR
ACES CAVSES, deſirant fauorablement traiter ledit Expoſant, luy auons permis & permettons par ces preſentes, de faire imprimer leſdits Barbons Amoureux, en tel Volume, charactere, & autant de fois que bon luy ſemblera, vendre & debiter durant l’eſpace de cinq années, à compter du lour qu'elle lel a acneuée d’imprimer, pendant lequel tẽps, faiſons tres- expreſſes inhibitiõs & défences,à tous Libraires & Imprimeurs de nôtre Royaume, de l’imprimer ou faire imprimer & vendre, ſans le conſentement dudit Expoſant, à peine aux cõtreuenans de 1o0o.	ACES CAUSES, désirant favorablement traiter ledit Exposant, notre avons permis et permettons par ces présentes, de faire imprimer lesdits Barbons Amoureux, en tel Volume, charactère, et autant de fois que bon lui semblera, vendre et débiter durant l'espace de cinq années, à compter du lour qu'elle lel a acneuée d'imprimer, pendant lequel temps, faisons très- expresses inhibitiõs et défences,à tous Libraires et Imprimeurs de notre Royaume, de l'imprimer ou faire imprimer et vendre, sans le consent dudit Exposant, peine aux cõtreuenans de 1o0o.
liu.	liv.
d’amande, applicable vn tiers à nous, vn tiers à l’Hoſtel-Dieu de nôtredite Ville de Paris, & l’autre tiers audit Expoſant, de confiſcation deſdits exemplaires contrefaits,& de tous dépens dommages & intereſts, à la charge toutesfois qu’auant d’expoſer leſdits Liures en vente, il en ſera mis deux exẽplaires en noſtre Bibliotheque publique, vn en celle de noſtre Cabinet en noſtre Chaſteau du Louure, & vn en celle de noſtre tres-cher & feal, le ſieur Seguier Cheualier, Chancelier de France, & à faute de rapporter és mains du ſieur grand Audiencier de France en quartier, vn recepiſſé de noſtre Bibliotheque, & au ſieur Cramoiſy, commis par noſtredit Chancelier, vn acte de la déliurance actuelle deſdits exemplaires:	d'amande, applicable un tiers à nous, un tiers à l'Hôtel-Dieu de nôtredite Ville de Paris, et l'autre tiers audit Exposant, de confiscation desdits exemplaires contrefaits,et de tous dépens dommages et intérêts, à la charge toutefois qu'avant d'exposer lesdits Livres en vente, il en sera mis deux exemplaires en notre Bibliotheque publique, un en celle de nôtre Cabinet en notre Château du Louvre, et et en celle de notre très-cher hféal,che sieur Et Sal, Chancelier d' Exposer, et le faute deur San du sieur grand Audiencier de France en quartier, recepissé de et Bibliotheque, et à sieur Fa, commis par ute Chancelier, et à fa déliurance te desdits exemplaires:
Nous auons déclaré dés à preſent ladite permiſſion nulle;	Nous avons déclaré dès à présent ladite permission nulle;
& auons enioint aux Scindics des Libraires & Imprimeurs, de faire ſaiſir tous les exemplaires qui auront eſté imprimez, ſans auoir ſatisfait aux clauſes portées par ces preſentes.	et avons enioint aux Scindics des Libraires et Imprimeurs, de faire saisir tous les exemplaires qui auront été imprimés, sans avoir satisfait aux clauses portées par ces présentes.
SI vovs MANDONS, que d’icelles vous faſſiez iouir & vſer ledit Expoſant, & tous ceux qui auront droit de luy, pleinement & paiſiblement, ſans ſouffrir qu’ils y ſoient troublez;	SI vous MANDONS, que d'icelles vous fassiez jouir et user ledit Exposant, et tous ceux qui auront droit de Seigneur, pleinement et paisiblement, sans souffrir qu'ils y soient troublés;
Voulant qu’en mettant vn extrait des preſentes au commencement, ou à la fin de chacun Exemplaire, foy y ſoit adiouſtée comme au preſent original;	Voulant qu'en mettant un extrait des présentes au commencement, ou à la fin de chacun Exemplaire, foi y soit ajoutée comme au présent original;
& au premier noſtre Huiſſier ou Sergent ſur ce requis, faire en execution tous exploits neceſſaires ſans demander autre permiſſion, nonobſtant clameur de Haro, Chartre Normande, priſe à partie & Lettres à ce contraires.	et au premier notre Huissier ou Sergent sur ce requis, faire en exécution tous exploits nécessaires sans demander autre permission, nonobstant clameur de Haro, Chartre Normande, prise à partie et Lettres à ce contraires.
CAR tel eſt noſtre plaiſir.	CAR tel est notre plaisir.
DONNE' à S.	DONNE' à S.
Germain en Laye, le 24.	Germain en Laye, le 24.
iour d’Aouſt, l’an de Grace 1662.	jour d'Août, l'an de Grâce 1662.
& de noſtre Regne le 20.	et de notre Reine le 20.
Signé par le Roy en ſon Conſeil BELOT.	Signé par le Roi en son Conseil BÉLOT.
Les Exemplaires ont eſté fournis.	Les Exemplaires ont été fournis.
Et ledit DE LVYNE a fait part du Priuilege cydeſſus, à GABRIEL QVINET, pour en iouyr coniointement le temps porté par iceluy.	Et ledit DE LUYNE a fait part du Privilège cydessus, à GABRIEL QUINET, pour en jouir conjointement le temps porté par icelui.
LES BARBONS	LES BARBONS
LES BAREON AMOVREVA, ET RIVAVX DE LEVRS FILS.	LES BAREON AMOUREUA, ET RIVAUX DE LEURS FILS.
MOAIEDIL.	MOAIEDIL.
ACTE PREMIER.	ACTE PREMIER.
SCENE FREMIERE.	SCÈNE FREMIÈRE.
CLIDAMANT, GVILLOT.	CLIDAMANT, GUILOT.
peine.	peine.
CLIDAMANT.	CLIDAMANT.
VE ie ſerois à plaindre en l’eſtat où ie ſuis, Si ie ne t’auois pas pour dire mes ennuis.	VE ie serais à plaindre en l'état où tu suis, Si tu ne t'avais pas pour dire mes ennuis.
Apprens, mon cher Guillot, que i’aime Polixene, Que ce charmant obiet cauſe toute ma Mais Lucidor ſon frere, aimant ma ſœur auſſi, Nous pourrons, que ie croy, nous rẽdre heureux ainſi.	Apprends, mon cher Guillot, que j'aime Polixène, Que ce charmant objet cause toute ma Mais Lucidor son frère, aimant ma sœur aussi, Nous pourrons, que sans crois, nous rèdre heureux ainsi.
GVILLOT.	GUILOT.
Courage, nous voilà tous remplis d’amourette, Lucidor aime Aminte, & ſon valet Liſette, Vous aimez Polixene, & i’ayme Beatrix, A ce que ie puis voir, nous ſommes tous d’vn prix;	Courage, nous voilà tous remplis d'amourette, Lucidor aime Aminte, et son valet Lisette, Vous aimez Polixène, et j'aime Beatrix, A ce que je puis voir, nous sommes tous d'un prix;
Mais ce n’eſt pas là tout ce qu’amour a ſceu prendre.	Mais ce n'est pas là tout ce qu'amour a su prendre.
Vos deux peres, ie croy, ſont auſſi pris du tendre;	Vos deux pères, ie croy, sont aussi pris du tendre;
Car ie les voy touſiours enſemble conferer, Et tout leur entretien n’eſt que de ſoûpirer.	Car ie les vois toujours ensemble conférer, Et tout leur entretien n'est que de soupirer.
Jous les verrez bientoſt en ce lieu l’vn & l’autre, Parler de leur amour, daignez ſonger au voſtre, Empaumez Lucidor, il doit venir icy, Pour moy de Beatrix ie fais tout mon ſoucy.	Jous les verrez bientôt en ce lieu l'un et l'autre, Parler de leur amour, daignez songer au vôtre, Empaumez Lucidor, il doit venir ici, Pour moi de Beatrix Seigneur fais tout mon souci.
CLIDAMANT.	CLIDAMANT.
Nos peres amoureux?	Nos pères amoureux?
cela n’eſt pas croyable, Vn Amant à leur âge, eſt touſiours mépriſable, Les ſoûpirs des vieillards ſont ſoûpirs ſaperflus, Ils ont beau ſoúpirer, on ne les entend plus;	cela n'est pas croyable, Un Amant à leur âge, est toujours méprisable, Les soupirs des vieillards sont soupirs saperflus, Ils ont beau soupirer, on ne les entend plus;
miuis pour les ieunes gens il n’en eſt pas de meſme:	mivis pour les jeunes gens il n'en est pas de même:
Enfin, tu ſçais Guillot, ma paſſion jextrême.	Enfin, tu sais Guillot, ma passion jextrême.
GVIELOT.	GUIELOT.
Et bien pour la ſçauoir, en ſuis-je bien plus gras?	Et bien pour la savoir, en suis-je bien plus gras?
CLIDAMANT.	CLIDAMANT.
Non, mais i’eſpere bien que tu m’y ſeruiras.	Non, mais j'espère bien que tu m'y serviras.
GVILLOT.	GUILOT.
C’eſt fort bien eſperer.	C'est fort bien espérer.
CLIDAMANT.	CLIDAMANT.
Ne ſuis-ie pas ton Maiſtre?	Ne suis-je pas ton Maître?
GVILLOT.	GUILOT.
Vous ne ſçauez que trop me le faire connaiſtre, D'abord que quelqu’auis vous eſt donné par moy;	Vous ne savez que trop me le faire connaître, D'abord que quelqu'avis vous est donné par moi;
Coquin, me dites-vous, c’eſt bien à faire à oy, De venir diſcourir, il vaudroit mieux te taire, Ce faquin veut icy trancher du neceſſaire, Faire l’Olibrius, ceſſez petit mignon, De traitter auec moy de pair à compagnon, Et gardez le reſpect d'vne telle maniere, Que nous ne viuions plus tant à la familiere:	Coquin, me dites-vous, c'est bien à faire à oi, De venir discourir, il vaudrait mieux te taire, Ce faquin veut ici trancher du nécessaire, Faire l'Olibrius, cessez petit mignon, De traiter avec moi de pair à compagnon, Et gardez le respect d'une telle manière, Que nous ne vivions plus tant à la familière:
Voilà le beau regal que me font vos diſcours;	Voilà le beau régal que me font vos discours;
Mais alors qu’il vous faut ſeruir dans vos amours, Peſte, que vous ſçauez bientoſt changer de notte!	Mais alors qu'il vous faut servir dans vos amours, Peste, que vous savez bientôt changer de notte!
Vous vous radouciſſez d’vne façon bigotte, Cher Guillot, dites-vous, rien n'eſt égal à toy, Tu merites beaucoup, ie t’aime plus que moy:	Vous vous radoucissez d'une façon bigotte, Cher Guillot, dites-vous, rien n'est égal à toi, Tu mérites beaucoup, Se igaime plus que moi:
Quoy que ſimple valet, tu ne tiens rien du ruſtre, Mille perfections qui te rendent illuſtre, Me font auoir pour toy tout à fait du panchant;	Quoi que simple valet, tu ne tiens rien du rustre, Mille perfections qui te rendent illustre, Me font avoir pour toi tout à fait du penchant;
Et puis quand vous auez fait le bon chien couchant, Que vous croyez de moy n’auoir iamais affaire, Vous m’enuoyez au diabres cerullo auere frfſtere:	Et puis quand vous avez fait le bon chien couchant, Que vous croyez de moi n'avoir jamais affaire, Vous m'envoyez au diabres cervllo avère frfstere:
Monſieur, ie ne ſuis plus d’humeur à le ſouffrir, creuer, mourez d’anlour, le vous verray mourir.	Monsieur, Seigneur ne suis plus d'humeur à le souffrir, crèver, mourez d'anlour, le vous verrai mourir.
CLIDAMANT.	CLIDAMANT.
Iu n’as point de pitié d’vn Amant miſerable?	Ju n'as point de pitié d'un Amant misérable?
GVILLOT.	GUILOT.
N’en ayant point pour moy, ie ſuis impitoyable.	N'en ayant point pour moi, je suis impitoyable.
CLIDAMANT.	CLIDAMANT.
Quoy, ſans eſtre touché tu verrois mon trépas?	Quoi, sans être touché tu verrais mon trépas?
GVILLOT.	GUILOT.
Monſieur, ie vous cõnois, que vous n’en mourrez pas!	Monsieur, ie votre cõnois, que vous n'en mourrez pas!
La mort eſt vn chemin qu’il nous faudra tous ſuiures Mais pour mourir d’amour, vous aimez trop à viure:	La mort est un chemin qu'il nous faudra tous suivrez Mais pour mourir d'amour, vous aimez trop à vivre:
Vous me direz encor, ie me meurs, bien des fois, Auant que ie vous voye atriuer aux abois;	Vous me direz encor, on me meurs, bien des fois, Avant que ici vous voie atriver aux abois;
Vous eſtes tous les iours pres de quelque Maiſtreſſe, A faire le tranſy, l’Amant plein de tendreſſe, Et puis tout auſſi toſt qu’elle a le dos tourné, Vne autre qui ſuruient vous rend paſſionné;	Vous êtes tous les jours pres de quelque Maîtresse, À faire le transi, l'Amant plein de tendresse, Et puis tout aussi tôt qu'elle a le dos tourné, Une autre qui survient vous rend passionné;
Si bien que l’on vous voit mourir pour la derniere, Comme vous auiez fait déja pour la premiere:	Si bien que l'on vous voit mourir pour la dernière, Comme vous aviez fait déjà pour la première:
Si vous ne trépaſſez iamais qu’en vos amours, Monſieur, ie croy ma foy, que vous viurez touſiours.	Si vous ne trépassez jamais qu'en vos amours, Monsieur, tu crois ma foi, que vous vivrez toujours.
CLIDAMANT.	CLIDAMANT.
C'eſt bien à vous marault, à me railler de meſme, Sçauez-vous bien qu’apres voſtre inſolence extrême, Ie deurois vous caſſer les iambes & les bras?	C'est bien à vous marault, à me railler de même, Savez-vous bien qu'après votre insolence extrême, Je devrais vous casser les jambes et les bras?
11 10 GVILLOT.	11 10 GUILLOT.
Vous m’obligerez fort en ne le faiſant pas.	Vous m'obligerez fort en ne le faisant pas.
CLIDAMANT.	CLIDAMANT.
Parlant comme tu fais, ie le deurois bien faire.	Parlant comme tu fais, je le devrais bien faire.
GVILLOT.	GUILOT.
Vous n’auriez puis apres qu’a me mettre en galere, N’ayant iambes ny bras, ie ramerois fort bien.	Vous n'auriez puis après qu'a me mettre en galère, N'ayant jambes ton bras, Seigneur ramerais fort bien.
100 191 CLIDAMANT.	100 191 CLIDAMANT.
Tay-toy, double coquin, & ne me dis plus rien, le fuio lleo a cccacen ena leccco lauleneoy Finy donc promptement toutes ces momeries, Et ſonge ſeulement que i’ay beſoin de toy.	Tais-toi, double coquin, et ne me dis plus rien, le fuio leo a cccacen ena lecco lauleneoy Finy donc promptement toutes ces moment, Et songe seulement que j'ai besoin de toi.
GVILLOT.	GUILOT.
Voſtre commandement fait ma regle & ma loy, Ie pretens vous ſeruir en valet admirable, Et ſuis autant à vous, qu’vn Sergent eſt au Diable.	Votre commandement fait ma règle et ma loi, Je prétends vous servir en valet admirable, Et suis autant à vous, qu'un Sergent est au Diable.
CLIDAMANT.	CLIDAMANT.
Paix-là, i’entens quelqu’vn, viens-t’en prendre vn billet, Que tu leras tent à mon ammabie obiet.	Paix-là, j'entends quelqu'un, viens-t-en prendre un billet, Que tu léras tent à mon amabie objet.
SCENE TLe LVCIS CICJRIUUIIN.	SCÈNE TLe LUCIS CICJRIUUIIN.
LVCIDOR.	LUCIDOR.
H!	H!
mon cher Ragotin, que l’amour me tour.	mon cher Ragotin, que l'amour me tour.
A mente,	À mente,
RAGOTIN.	RAGOTIN.
Monſieur, ie croy pluſtoſt que le Diable vous tente, Depuis que voſtre Aminte enfin vous a parlé, Vous eſtes plus chagrin qu’vn homme enſorcelé:	Monsieur, Seigneur plus tôt que le Diable vous tente, Depuis que votre Aminte enfin vous a parlé, Vous êtes plus chagrin qu'un homme ensorcelé:
Vous ne ſçauriez durer vn ſeul moment en place, Vous allez deuenir plus ſec qu’vne carcaſſe, Et voſtre Ragotin plus maigre qu'vn harant;	Vous ne sauriez durer un seul moment en place, Vous allez devenir plus sec qu'une carcasse, Et votre Ragotin plus maigre qu'un harant;
Monſieur, ne courons plus en Cheualier errant, Demeurons en repos, i’aime auſſi bien qu’vn autre;	Monsieur, ne courons plus en Chevalier errant, Demeurons en repos, j'aime aussi bien qu'un autre;
Mais courir ſans manger, il y va trop du noſtre:	Mais courir sans manger, il y va trop du vôtre:
Encor alors qu’on a bien diſné, bien dormy, On peut faire l’amour lors en diable & demy;	Encor alors qu'on a bien dîné, bien dormi, On peut faire l'amour lors en diable et demi;
aites-le donc ainſi, c’eſt la belle maniere, inon nous nous voyons à noſtre heure derniere, rous urions trepaner, iin’eſt rien plus certain, car vous mourez d’amour, & moy ie meurs de faim.	aites-le donc ainsi, c'est la belle manière, inon nous nous voyons à notre heure dernière, rous urions trépaner, iin’est rien plus certain, car vous mourez d'amour, et moi -moi ainsi de faim.
LVCIDOR.	LUCIDOR.
it-on iamais gourmane.	it-on iamais gourmane.
Mlais l'aperçoy mon pere, entrons, ie t’inſtruiray de ce qu’il faudra faire.	Mlais l'aperçois mon père, entrons, Elle t'instruirai de ce qu'il faudra faire.
SCENE III.	SCÈNE III.
BONIFACE ſeul.	BONIFACE seul.
A iij Qui peut donc empeſcher que ie ne me marie?	À jij Qui peut donc empêcher que je ne me marie?
Puis-ie pas eſtre encor par l’amour enchaîné, Beau comme Cupidon?	Puis-je pas être encor par l'amour enchaîné, Beau comme Cupidon?
mais enfin c’eſt l’aîné, Car ie ne puis paſſer, quoy que ie puiſſe faire, Pour autre que l’aîné, ſi ie ne ſuis ſon pere;	mais enfin c'est l'aîné, Car ie ne puis passer, quoi que je puisse faire, Pour autre que l'aîné, si grande ne suis son père;
Deſorte que i’ay beau paroiſtre goguenart, Ie ne paſſeray plus que pour vn vieil penart:	Desorte que j'ai beau paraître goguenart, Je ne passerai plus que pour un vieil pénart:
Si faut-il toutesfois que dans ce iour ie harpe, L’obiet qui m’a rauy, mais ie voy Policarpe, Que diable pourroit-il venir chercher icy!	Si faut-il toutefois que dans ce iour pourrait harpe, L'objet qui m'a ravi, mais que voy Policarpe, Que diable pourrait-il venir chercher ici!
SCENE IV.	SCÈNE IV.
BONIFACE, POLICARPE.	BONIFACE, POLICARPE.
POLICARPE.	POLICARPE.
Mour, pourquoy viens-tu me donner du ſoucy?	Mour, pourquoi viens-tu me donner du souci?
YI Qui t’oblige, dis-moy, d’eſtre ſi temeraire, De me venir chercher?	YI Qui t'oblige, dis-moi, d'être si téméraire, De me venir chercher?
mais quel remede y faire?	mais quel remède y faire?
Ce n’eſt pas d’auiourd’huy que l’amour nous apprẽd, Qu’il n’épargne non plus le petit que le grand, Puis qu’il eſt aſſuré qu’auſſi bien il attrappe, Le vieillard que le ieune, & qu’aucun n’en échappe, le me contoic donc de lis en voir accablé;	Ce n'est pas d'aujourd'hui que l'amour nous apprenez, Qu'il n'épargne non plus le petit que le grand, Puis qu'il est assuré qu'aussi bien il attrape, Le vieillard que le jeune, et qu'aucun n'en échappe, le me contoic donc de lis en voir accablé;
Me voilà, Dieu mercy, pris comme dans vn blé, Et ſi ie ne ſçay pas ſi ce qui ma ſceu prendre, Aura bien la bonté de me vouloir entendre, Boniface, qui peut vous amener icy?	Me voilà, Dieu merci, pris comme dans un blé, Et si tu ne sais pas si ce qui ma su prendre, Aura bien la bonté de me vouloir entendre, Boniface, qui peut vous amener ici?
BONIFACE.	BONIFACE.
C’eſt mon amour, & vous.	C'est mon amour, et vous.
POLICARPE.	POLICARPE.
Et c’eſt le mien auſſi.	Et c'est le mien aussi.
BONIFACE.	BONIFACE.
ous entes amoureux, ò mon cher Policarpe?	ous entes amoureux, „ mon cher Policarpe?
POLICARPE.	POLICARPE.
L’amour nage en mon corps, comme dans l’eau la carpe.	L'amour nage en mon corps, comme dans l'eau la carpe.
BONIFACE.	BONIFACE.
Et moy, ce meline amour dont ie lais prilonnier, Me trotte au corps auſſi comme rats au grenier.	Et moi, ce meline amour dont ici lais prilonnier, Me trotte au corps aussi comme rats au grenier.
POLICARPE.	POLICARPE.
Vous aimez donc bien fort?	Vous aimez donc bien fort?
BONIFACE.	BONIFACE.
Fort comme tous les diables.	Fort comme tous les diables.
Et vous, comme aimez-vous?	Et vous, comme aimez-vous?
POLICARPE.	POLICARPE.
Mes ardeurs ſont ſemblables.	Mes ardeurs sont semblables.
BONIFACE.	BONIFACE.
Nous voila donc tout deun amoureux comſe il faut.	Nous voilà donc tout deun amoureux comse il faut.
POLICARPE.	POLICARPE.
Amour n’a point encore produit vn feu ſi chaut.	Amour n'a point encore produit un feu si chaut.
SCENE V PONTFACE, POLICARPE, GVILLOT.	SCÈNE V ONTFACE, POLICARPE, GUILLOT.
GVILLOT les voyant & les oyant parler.	GUILOT les voyant et les oyant parler.
oheje moꝵ de May que les Alnes hanniſſent, 7 Car ie croy que i’ẽ voy deux qui ſe diuertiſſent.	oheje moù de Mai que les Alnes hannissent, 7 Car ie crois que j'en vois deux qui se divertissent.
BONIFACE.	BONIFACE.
Sortons, i’entens quelqu’vn qui nous pourroit troubler.	Sortons, j'entends quelqu'un qui nous pourrait troubler.
2	2
POLICARPE.	POLICARPE.
Cherchons quelqu’autre endroit où nous pouuoir parler.	Cherchons quelqu'autre endroit où nous pouvoir parler.
Ils ſortent & Guillot demeure ſeul.	Ils sortent et Guillot demeure seul.
A iiij	À jijà
SCENE GVILLOT ſeul.	SCÈNE GUILLOT seul.
VI.	VI.
Omment donc ces vieux fous, cadets à barbe  blanche, Veulent tâter d’amour encore quelque tranche!	Omment donc ces vieux fous, cadets à barbe blanche, Veulent tâter d'amour encore quelque tranche!
C’eſt bien à vous, ma foy, trop debiles Barbons, De vous amouracher, froids comme des glaçons;	C'est bien à vous, ma foi, trop débiles Barbons, De vous amouracher, froids comme des glaçons;
Ah!	Ah!
Monſieur Policarpe, & Monſieur Boniſace, Pour de l’amour, ie croy que l’on vous en fricaſſe;	Monsieur Policarpe, et Monsieur Bonisace, Pour de l'amour, je crois que l'on vous en fricasse;
Ceſſez donc vos ardeurs, car il eſt peu d’obiets, Qui veüillent s’enroller auec de tels cadets.	Cessez donc vos ardeurs, car il est peu d'objets, Qui veuillent s'enrôler avec de tels cadets.
Et qui diable ſeroient les pauures creatures, Qui ſe voudroient charger de vos vieilles freſſures?	Et qui diable seraient les pauvres créatures, Qui se voudraient charger de vos vieilles fressures?
Celles qui vous auroient feroient tous leurs efforts, A vous faire paſſer promptement chez les morts.	Celles qui vous auraient feraient tous leurs efforts, À vous faire passer promptement chez les morts.
Meſſieurs les Roquantins, ſi vous m’en voulez croire, Loin de faire l’amour, amuſez vous à boire:	Messieurs les Roquantins, si vous m'en voulez croire, Loin de faire l'amour, amusez vous à boire:
Le bon vin, ce dit-on, eſt le lait des vieillards, Beuuez-en voſtre ſoul, pluſtoſt qu’eſtre cornarts;	Le bon vin, ce dit-on, est le lait des vieillards, Buvez-en endre soul, plutôt qu'être cornarts;
Car vn vieillard qui prend vne ieune fillette, De ſindic de cocus vne charge il achepte.	Car un vieillard qui prend une jeune fillette, De syndic de cocus une charge il achette.
Le vieillard pourfoit-il famais s’en exempter, Si le ieune homme meſme a peine à l'éuiter?	Le vieillard pourfait-il famais s'en exempter, Si le jeune homme même à peine à l'éviter?
Non, demeurons d’accord dans cette conioncture, Que quiconque en échape, eſt aimé de Nature.	Non, demeurons d'accord dans cette conjoncure, Que quiconque en échappe, est aimé de Nature.
GVILLOT.	GUILOT.
Dieu te gard, qui t’ameine en ce lieu?	Dieu te gard, qui t'amène en ce lieu?
RAGOTIN.	RAGOTIN.
Defire tu l’apprendre?	Défire tu l'apprendre?
GVILLOT.	GUILOT.
Et ie t’en pric.	Et ici t'en pric.
RAGOTIN.	RAGOTIN.
Adieu.	Adieu.
GVILLOT.	GUILOT.
D’où vient que tu t'en ris quand ie te le demande?	D'où vient que tu t'en ris quand tu te le demande?
RAGOTIN.	RAGOTIN.
Ya cuionte paront vn peu trop grande;	Ya cuionte paront un peu trop grande;
Et pourquoy me viens-tu queſtionner ainſi?	Et pourquoi me viens-tu questionner ainsi?
GVILLOT.	GUILOT.
Pour ſçauoir ton deſſein.	Pour savoir ton dessein.
RAGOTIN.	RAGOTIN.
Dequoy te mclestu:	Dequoy te mclêtu:
Tu prens trop de ſouey,	Tu prends trop de souéi,
GVILLOT.	GUILOT.
De ce que ie deſire.	De ce que ici désire.
RAGOTIN.	RAGOTIN.
Tu croy donc que ie ſois vn homme à te le dire?	Tu crois donc que je sois un homme à te le dire?
GVILLOT.	GUILOT.
Oüy, ie le croy ſans doute.	Oui, Seigneur le crois sans doute.
RAGOTIN.	RAGOTIN.
Et moy ie n’en croy rien.	Et moi ie n'en crois rien.
Tu le veux donc ſçauoir?	Tu le veux donc sçauoir?
GVILLOT.	GUILOT.
Oüy, ie le voudrois bien;	Oui, Seigneur le voudrais bien;
RAGOTIN.	RAGOTIN.
Apprens moy donc auſſi le ſuiet qui t’ameine.	Apprends moi donc aussi le sujet qui t'amène.
GVILLOT.	GUILOT.
Le diray-je à deux fois, ou bien tout d’vne haleine?	Le dirai-je à deux fois, ou bien tout d'une haleine?
RAGOIINV.	RAGOINU.
Comme tu le voudras, ie ſuis preſt d’écouter.	Comme tu le voudras, ie suis prêt d'écouter.
GVILLOT.	GUILOT.
Et moy, ie ne ſuis pas preſt à te le conter;	Et moi, Seigneur ne suis pas prêt à te le conter;
Car en te le diſant, ie te ferois trop aiſe.	Car en te le disant, votre te ferais trop aise.
IHCOTIN.	JHCOTIN.
Selon, ſi ce n’eſt point choſe qui me déplaiſe;	Selon, si ce n'est point chose qui me déplaise;
Mais que peut-ce eſtre encor?	Mais que peut-ce être encor?
GVILLOT.	GUILOT.
Dequoy te méles tu?	Dequoy te mêles tu?
Pour apprendre vn ſecret, as-tu cette vertu, Que l’homme doit auoir pour cacher & pour taire, Ce qui ne doit iamais eſtre ſçeu du vulgaire?	Pour apprendre un secret, as-tu cette vertu, Que l'homme doit avoir pour cacher et pour taire, Ce qui ne doit jamais été su du vulgaire?
Sçay-tu bien conſeruer ce qu’on appelle honneur?	Sais-tu bien conserver ce qu'on appelle honneur?
At la dileretion Tegne-t ehe en ton cœur?	At la dilèretion Tegne-t -hé en ton cœur?
As-tu l’eſprit bien fait?	As-tu l'esprit bien fait?
as-tu l’ame bien faite?	as-tu l'âme bien faite?
Ta langue quelquefois n’eſt-elle point gazette?	Ta langue quelquefois n'est-elle point gazette?
Ne vas-tu point proſner ce qu’on ta deffendu?	Ne vas-tu point prôner ce qu'on ta défendu?
RAGOTIN.	RAGOTIN.
Ie ne dis iamais mot, deuſſay-je eſtre pendu.	Je ne dis jamais mot, dussai-je être pendu.
dVEEEOT.	dUEEEOT.
