ADONIS TRAGEDIE FRANCOYSE DE GABRIEL LE BRETON Niuernois, Seigneur de la Fon.	ADONIS TRAGÉDIE FRANÇOISE DE GABRIEL LE BRETON Nivernais, Seigneur de la Fon.
IADAME, ie ſupplie le Createur vous onner en treſparfaite ſanté treſlongue & reſ-heureuſe vie.	JADAME, votre supplie le Créateur vous onner en tréparfaite santé treslongue et résheureuse vie.
De Paris ce3.	De Paris ce3.
Nou.	Nov.
1578.	1578.
De V.	De V.
E.	E.
Treſ-humble & treſ obeiſſant ſeruiteur, D’AMBOYSE.	Très-humble et très obéissant serviteur, D'AMBOISE.
ES ENTRE-PARLEVRS.	ES ENTRE-PARLEURS.
Veyous ſert deſormais Oreades cbeſſesſaQuebreſſer par les bois?	Veyous sert désormais Oreades cbessessaQuebresser par les bois?
CHARIIINIſtre ſupport.	CHARIINIstre support.
CHARLES veſtre Adouis vostre mignon ſ mort, Changeant aux Fliſez vos foreſts embrageuſus.	CHARLES vêtre Adouis votre mignon s mort, Changeant aux Flisez vos forêts embrageus.
Sechez vostrefueillage, ô plantes ſoureilleuſu, De bleu, de noir, ruiſſeaux tapiſſez voſtre borl, Nymphes, chaſſeurs rompez comme moy vοſtre εx Quitiez voſtre equippage & vos toyles nouenſa.	Séchez vostrefueillage, ô plantes soureilleusu, De bleu, de noir, ruisseaux tapissez votre borl, Nymphes, chasseurs rompez comme mo vοstre y vôtre equippage et vos toiles nouensa.
Adieu Nyœphes adieu, & iamais n’eſpertz De faire voſtre queſte aux Françoyſes foreſti:	Adieu Nyœphes adieu, et jamais n'esperts De faire votre quête aux Françaises forêti:
Maisnon ne vou bougez car le docte BRIIOR En ſaueur de Venus pauure deſconſortee.	Maisnon ne vou bougez car le docte BRIOR En saveur de Venus pauvre desconsorte.
Malgré Mars le ialoux & l’orgueilleux Platm, Venge io Adonis de l’onde Acherentee.	Malgré Mars le jaloux et l'orgueilleux Platm, Venge jo Adon de onde Achèrente.
E.	E.
D’AMBOYSE, Sine temport temous.	D'AMBOISE, Sine temport témous.
ACTE PREMIER.	ACTE PREMIER.
VENVS, ADONIS.	VENUS, ADONIS.
VINVS.	VINUS.
Ous Princes quirauis en l'or de vos chaſleaux, Couurez d'armesla terre & la mer de baſteaux, Qui faites moins de cas de la maſſe ſeruile, Du vulguaire ignorant, que d’vne bourbe vile.	Ous Princes quirauis en l'or de vos châleaux, Couvrez d'armesla terre et la mer de basteaux, Qui faites moins de cas de la masse servile, Du vulguaire ignorant, que d'une bourbe vile.
Qui branſlez, qui virez qui touruez en vos mams, Et voulez que chacun vos grandeurs idolaſtre, S’il aduient quelqueſois que ſortune maraſtee.	Qui branlez, qui virez qui tourvez en vos mamps, Et voulez que chacun vos grandeurs idolâtre, S'il advient quelques que sortune maraste.
Eſelatant deſius vous ſon horrible meſchef, D vn imſane licol vous empeſtre le chef, Si vous portez enfin aux estrangeres riues Ommir honteuſement vos couronnes captiues, Neflimez pour cela qu’vn changement diuers.	Eselatant desius vous son horrible mèches, D ampsane licol vous empêtre le chef, Si vous portez enfin aux étrangères rives Omir honteusement vos couronnes captives, Neflimez pour cela qu'un changement divers.
Pouſſe des hommes ſeuls les eſtats à l’enuers, Aueiel comme ca bas(ie te dis à l'eſpreuue) De mon propre malheur l’inconstance ſe treuue, Quand l’arcadic oiſeau celeste meſtager, Deſpouilla ma chair nuë au Phrigien berger, Qui encore n’auoittiré daus les Pergames, Oſfenſant Menelas, les Argoliques flammes, I-cquis la pomme d'or augré de mon veuloir,	Pousse des hommes seuls les états à l'envers, Aviel comme ca bas(ie te dis à l'épreuve) De mon propre malheur l'inconstance se trouve, Quand l'arcadic oiseau céleste métager, Despouilla ma chair nue au Phrigien berger, Qui encore n'auoittiré daus les Pergames, Osfensant Menelas, les Argoliques flammes, Icolis la pomme d'or augré de mon veuloir,
Hi'auois ſur Ianon dequoy me preualoin I'aymille ſois marché parla voye lactee, Viſitant des hauts Dieux la ſale frcquentee, Ou i’eſtois bien venue, ou chacun ſe leuant, En ſigne de faueur me couroit au deuant, Mille ſeux conſacrez teſmoigneut ma hauteſſe, Et l’eau, la terre, l’air me conſeſſoient deeſſe, Sans vnmary vilain, vn manæuure boiteux, Qui m’a banny du ciel en ceſt exil honteux:	Hi'avais sur Janon dequoy me preualoin J'aimille sois marché parla voie lacté, Visitant des hauts Dieux la sale frcquentee, Ou j'étais bien venue, ou chacun se levant, En signe de faveur me courait au devant, Mille seux consacrez témoigneut ma hautesse, Et l'eau, la terre, l'air me consessaient déesse, Sans vnmary vil, un manævre boiteux, Qui m'a banni du ciel en cet exil honteux:
Außije ne deuois entrer en mariage, Auec cet importun qui me comble de rage, Pallas en ſit reſus & le grand Iupiter, Auſſi toſt qu’il naſquit le faſſant culbuter, Les hanches luycaſſe, dont encores il chope, Que fuſt.	Aussije ne devais entrer en mariage, Avec cet importun qui me comble de rage, Pallas en sit ressus et le grand Jupiter, Aussi tôt qu'il nasquit le sassant culbuter, Les hanches luicasse, dont encor il chope, Que fût.
il au tombeau le malheureux cydape Cet enorme bastard meſchant & vitieux Ne ceſſe de monſtrer ſon cœur pernitieux, Ore de ſon marteau ſous les roches moiſies, Il bat pour eſtonner le, ſimples ſantaſies Des peuples idiots:	il au tombeau le malheureux cydape Cet énorme bâtard méchant et vitieux Ne cesse de montrer son cœur pernitieux, Ore de son marteau sous les roches moisies, Il bat pour étonner le, simples santaisies Des peuples idiots:
ſon orage tortu, Ore pour aſſonnner la guerriere vertu, Du plus vaillant Troyen, il trempe vne cuiraſſe, Ore dedans l’horreur de ſacauerne baſſe, Il haſte contre moy ſos forgerons mutius, Et me tend en ſurſaut des chainons Aymaethins Tandis qu’auecques Mars ie me ſuis endorme.	son orage tortu, Ore pour assonner la guerrière vertu, Du plus vaillant Troyen, il trempe une cuirasse, Ore dedans l'horreur de sacaverne basse, Il hâte contre moi sos forgerons mutius, Et me tend en sursaut des chaînons Aimaéthins Tandis qu'avec Mars je me suis endorme.
C’et comment il remplit de ſa propre inſamie.	C'et comment il remplit de sa propre insamie.
Ia bouche des mortels, c’eſt comment ſaus ra ſou Il honu St de broquars la celeſte maiſon, Vn mary vertueux qui aime bien ſa ſemme, Si d’auenture il void qu’elle merite blaſme, En propos & conſeil la ſtait bien cornger, Et ne met follement ſon honueur en danger.	Ia bouche des mortels, c'est comment saus ra sou Il honu St de broquars la celeste maison, Un mari vertueux qui aime bien sa semme, Si d'aventure il voit qu'elle mérite blâme, En propos et conseil la stait bien cornger, Et ne met follement son honueur en danger.
Ie creue de deſpit & l’ardeur qui m’empire, Rendmon fiel tant eſmeu que ie bouillonne d'irt.	Je crève dé dépit et l'ardeur qui m'empire, Rendmon fiel tant ému que ie bouillonne d'irt.
Apres auoir esté priſe de guet à pens, Pour apprester aux Dieux à rire àmes deſpens Cmel ſouſſle charbon à la ſumeuſetrongne, Quand tu me procuras vne telle vergongne, Ie n’auois le moyen de ſeulement cacher Les membres plus ſecrets de ma tremblante chair, Or puis qu’il m’a braße tels indignes eſcornes.	Après avoir été prise de guet à pens, Pour apprêter aux Dieux à rire à dépens Cmel soussle charbon à la sumeusetrongne, Quand tu me procuras une telle vergongne, Je n'avais le moyen de seulement cacher Les membres plus secrets de ma tremblante chair, Or puis qu'il m'a brasse tels indignes écornes.
Ie loy feray porter deſſas le front des cornes, Et ne s'enfaudra rien, aduienne que pourra.	Je lois ferai porter dessas le front des cornes, Et ne s'enfaudra rien, advienne que pourra.
Ainſi de ſes abus l’amende il me fera.	Ainsi de ses abus l'amende il me fera.
Toutesfou il ne faut que la flechs pouſſee Par la main de mon ſils me bleſſe la penſee, Dequelque amour diuin, ie veux humamement, Pour vn teune garçon ſangloiter mon tourment, I'Aurore deuant iour en la terre deualle, Aſin de receuoir les baiſers de cephale:	Toutesfou il ne faut que la fléchs poussée Par la main de mon sils me blesse la pensée, Dequelque amour divin, ils veux hummement, Pour un teune garçon sanglaiter mon tourment, J'Aurore devant jour en la terre devalle, Asin de recevoir les baisers de cephale:
La Iune d’autre part reſueille ſon pasteur, Quand il est plus eſtraint d'vnſommeil enchĩteur.	La June d'autre part réveille son pasteur, Quand il est plus étraint d'unsommeil enchinteur.
Man qu'est-te que i’entens?	Man qu'est-te que j'entends?
helas ou ie me trompe, Ou bien c’eſt Adonis qui entonne ſa trompe, Pur aller aux ſoreſts.	hélas ou belle me trompe, Ou bien c'est Adonis qui entonne sa trompe, Pur aller aux sorêts.
ADONIS.	ADONIS.
Amenez, ces limiers, Iu à coop veuez ieſt, & marchez les prenieri	Amenez, ces limiers, Ju à co vez jest, et marchez les prenier
VENVS.	VENUS.
Ne diſou-ie pas bien:	Ne disou-je pas bien:
Venus infortunee, Mamenant tu vetras combienlu destinee, Coniure contre toy de peuible tigueur, Adoηη mon iuignon pes delices mon cæur, Mon eις, vore mon æur, & ma douce eſperdce, N’aur qyve point iaman l'euture touyſſante, De tes embraſſemeus?	Venus infortunée, Mamenant tu vétras combienlu destine, Conjure contre toi de peuible tigueur, Adoñ mon juignon pès délices mon cæur, Mon e, vore mon æur, et ma douce esperdce, N'aur qive point jaman l'euture touissante, De tes embrassemeus?
n’ay-ie pas merité, Seule d’auoir le fruit de ta ieune beaute?	n'ai-je pas mérité, Seule d'avoir le fruit de ta jeune beauté?
ADONIS.	ADONIS.
Quel propos eſt cecy' quelle doute nouuelle O mere des amours, vous entre eu la ceruelle.	Quel propos est ceci quelle doute nouvelle Ô mère des amours, vous entre eu la cervelle.
Comment?	Comment?
viſtes vous oncq’vn autre ſeu pipeus EmbraCer dedans moy ſa flambante vapeur, Siie vais à l'eibas n’eu ſoyez point ſeſches.	vîtes vous oncq’un autre seu pipeus EmbraCer dedans moi sa flambante vapeur, Siie vais à l'eibas n'eu soyez point sesches.
*ESYS· Ie crains mon doux ſouy quelque Nymphe cachu Hoſteſſe des buiſſons qui te tendant ſes laz Vueille participer à mon bien & ſoulas.	*ESYS Je crains mon doux soui quelque Nymphe cachu Hôtesse des buissons qui te tendant ses laz Veuveille participer à mon bien et soûlas.
Amour eſt foupçonneux & raremens chomius Qu’il n’ait à ſes coſtez vne crainte voiſine.	Amour est soupçonneux et rarements chomius Qu'il n'ait à ses côtés une crainte voisine.
En quoy t'ay-ie deſpla?	En quoi t'ai-je dépla?
comment ay-ie peché Pour te voir ſi ſouvent de ven ſein arache?	comment ai-je péché Pour te voir si souvent de ven sein arache?
A bon droit ie miudis ces obſcuresramees Et ces bois où ſe ſont les ſureurs allumces D'Echo lababillarde.	À bon droit Seigneur miudis ces obscuresramées Et ces bois où se sont les sûresurs allumées D'Écho lababillarde.
Ou groſſe ce dit on Conçeut ſartinement ſon veneur Caliſthou.	Ou grosse ce dit on Conçut sartinement son veneur Calistou.
Puiſhez vous à l’iuſtant perdre vos ſueilles verles Puißiez vous ô foreſts chauues & deſcouneries Eſprouuer les hiuers d’vn Aquillon grondant, Puis que vous jauiſſez mon deſir, & pondans Iangaiſſante d'ennuy à toute heuce ie paſme.	Puishez -vous à l'iustant perdre vos seuilles verles Puissiez -vous ô forêts chauves et découneries Éprouver les hivers d'un Aquillon grondant, Puis que vous jissez mon désir, et pondant Jangaissante d'ennui à toute heuce té mème.
APONIS.	APONIS.
Decſſene penſez qu’vne ſeconde ſomme Me face chanceller à ſa denotien, En vous & non ailleurs gist mon affeclion Pourtans ne craignez point ceste ſorest proſende.	Decssene pensez qu'une seconde somme Me face chanceler à sa denotien, En vous et non ailleurs gît mon affeclion Pourtants ne craignez point cette sorêt prosende.
Oune voit qu’ou Soleil eſilurer tous lemonde Qui des moindres flambeaux eſtouſſela ſplendeur.	Ôune voit qu'ou Soleil esilurer tous lemonde Qui des moindres flambeaux estoussela splendeur.
Autre que vous auſii n’eſchanfſera l’ardeur Demon tœur obligé, quelque eſſort qu’en me dõne Ie ciel rit vons voyant, laterre ſe couronne Deroſes & d’œillets pour micux veus careſſer:	Autre que vous ausi n'échanfsera l'ardeur Démon tœur obligé, quelque essort qu'en me donne Je ciel rit ouvons voyant, laterre se couronne Déroses et d'œillets pour micux vus caresser:
He dieux pourroit-ie bien en oubly vous laiſſer?	He dieux pourrait-je bien en oubli vous laisser?
Mau quey le ſeul pluſir à la chaſſeme mane.	Mau quei le seul plusir à la chasseme mane.
VENVS.	VENUS.
Cbaſſe!	Cbasse!
le ſeul motiſde mon eſtrange peine, Chaſſe quime deſtruit & choſſe lomg de moy, Teut le contintement que i'eſperede i9y.	le seul motisde mon étrange peine, Chasse qui détruit et chosse lomg de moi, Teut le contintement que j'esperede i9y.
Iame vois eſleuer ſur la trouſe diuine, Tuvois cet œil miguardde couleur hebenine Et l'or enamouré de ces paſſe fillons Qui pourroyent xn rocher ſendre en mille ſillons, In vois de mon ſemn blanc l'enfleure rondeleite Ta voithelastu vois mon bras qui ne ſocbaitte Qu’à te faucriſerd’accoler à loſſir, C uſt la qu’il te faudrout chercher quelque plaiſir.	Ime vois élever sur la trouse divine, Tuvais cet œil miguardde couleur hébenine Et l'or enamouré de ces passe sillons Qui pourraient xn rocher sendre en mille sillons, In vois de mon semn blanc l'enfleure rondeleite Ta voithélastu vois mon bras qui ne socbaite Qu'à te faucriserdaccoler à lossir, Ç ust la qu'il te faudrout chercher quelque plaisir.
Cot que tu deuerois, ſi ie merite grace, Imployer tes deſtins, tes cſlors & ta chaſſe.	Cot que tu deverais, si ici mérite grâce, Imployer tes destins, tes clors et ta chasse.
Iel qui penſe tremper la beste enoelopant En ſon ſillé tendu ſounent il ſe repent De l'auoir entrepru Car ſon malheur extreſme Cuidant ſurprendre autty le capriue luy meſme.	Jel qui pense tremper la bête enoeloppant En son sillé tendu sounent il se repent De l'avoir entrepru Car son malheur extrême Cuidant surprendre auty le caprive au mesme.
Intre les animaux que vaiure ſorma De cernes les aucuns, les autres elle arma D'y ne dent furieuſe où ſe cache la foudre, Afinde terraſſer homme & clnens ſur la poudre.	Intre les animaux que vaivre sorma De cernes les aucuns, les autres elle arma D'y ne dent furieuse où se cache la foudre, Afinde terrasser homme et clents sur la poudre.
Qu vn ſinistre malheur de mon aiſe taleux Texpeſaſt nonchallant à laναgο deνleux, Que ie te viſſe mort en peurſuin aui les courſes Du ſanglier eſeumeux ou des ſumantes ourſes.	Qu' int sinistre malheur de mon aise taleux Texpesast nonchallant à lagg deleux, Que ie te visse mort en peursvin aui les courses Du sanglier eseumeux ou des sumantes ourses.
Diex empeſchuez ee mal.	Diex empêchuez ce mal.
Mignentun yrus peins.	Mignentun yrus peins.
sus queec pourpre beau à ma leure ſoit joint.	sus queec pourpre beau à ma lèvre soit joint.
Embraſſe moy mon ſili & doucement me jerre.	Embrasse -moi mon sili et doucement me jerre.
Comme fait ſon rameau vn ameureux lierre.	Comme fait son rameau un ameureux lierre.
ADONIS.	ADONIS.
Qui d'vn amy parfait yeut emporter le pris.	Qui d'un ami parfait yeut emporter le pris.
Doit auoir quelque, ſois ſes amours à meſpris, Et retoindre ſoudain:	Doit avoir quelque, sois ses amours à mépris, Et retoindre soudain:
car à la contiuue I’amour bien que ſeruant peu à peu diminue.	car à la contive J'amour bien que servant peu à peu diminue.
On eſtime bien ſort le Priu-tems retourné Pource qu’il n’eſt touſiours prodiguement orné Des ſes bouquets nouueaux & plaiſante verdure, Et mons à deſplaſir, plaſir qui touſiours dure, Pardeunez moy Veuus ſi de vous me diſtrez.	On estime bien sort le Priu-tems retourné Pource qu'il n'est toujours prodiguement orné Des ses bouquets nouveaux et plaisante verdure, Et mons à déplasir, plasir qui toujours dure, Pardeunez moi Veuus si de vous me distrez.
ENVS.	ENUS.
Me deſdaigner ainſi, ce ſont ce ſont lestrez D’vncourage ſelon endurcy plus que marbre.	Me dédaigner ainsi, ce sont ce sont lestrez D'uncourage selon endurci plus que marbre.
Veux-tu donc imiter le nalurel de I’arbre, Qui pour te mettre au iour ſon e torce ſendit Et dedans tes boyax ſa rudeſſe eſpandit?	Veux-tu donc imiter le nalurel de J'arbre, Qui pour te mettre au jour son e torce sendit Et dedans tes boiax sa rudesse épandit?
Ture de ta beauté tant le venin m'altere I’ay laiſié les coupeaux d’Erice & de Cythere.	Ture de ta beauté tant le venin m'altère J'ai laisié les coupeaux d'Érice et de Cysthère.
Et les champs Gnydiens mon terrois precieux Quittant aux unmortels le nectar & le cieux, Tues mou doux nectir, tu es mon Imbroſie, Odroye moy ce don, ohange de ſantaſie, Differant à demain puiſque Phæbus panché Sur la mer Eſpagnole eſt à demy conché.	Et les champs Gnydiens mon terrais précieux Quittant aux unmortels le nectar et le cieux, Tues mou doux nectir, tu es mon Imbrosie, Odroie moi ce don, ohange de santaisie, Différant à demain puisque Phæbus penché Sur la mer Espagnole est à demi conché.
ADONIS.	ADONIS.
Baſte, c'eſttrop parléie le veux ma deeſſe, Retouruons accomplir la douceur flatereſſe, De cefeu couſlumier qui nous ſuis pas à pas, At rauit nos eſprits aumiel de ſes apus.	Bâte, c'esttrop parléie le veux ma déesse, Retourvons accomplir la douceur flatteresse, De cefeu coutumier qui nous suis pas à pas, At ravit nos esprits aumiel de ses apus.
ACTE SECOND.	ACTE SECOND.
MARS, DIANE.	MARS, DIANE.
MARS.	MARS.
Omment?	Omment?
eſt-ce la foy paillarde cyberee Eft-ce la fermeté que tu m’auois iuree?	est-ce la foi paillarde cyberee Est-ce la fermeté que tu m'avais jure?
Mediſou-tu tela quand d’vn baiſer larrou Tu paantipameimanume mtan giron?	Medisou-tu tela quand d'un baiser larrou Tu paantipameimanume mtan giron?
Quænd ie laiſſois tomber, ô ſimpleſſe trop laſche, Ates pieds blandiſſant mon ire & mon rudache Iiſerable putain cauſe de tout eſmoy.	Quænd ie laissais tomber, ô simplesse trop lâche, Ates pieds blandissant mon ire et mon rudache Jisérable put cause de tout émoi.
Ta temotqueras doncq à ceſte heure de moy?	Ta témotqueras donc à cette heure de moi?
Non non ne penſe pas que ma main ſoit retiue, Ny qu’elle ſoit encore deſſous Othus captiue, Iay le bras, i’ay la main, i’ay l’eſcuvougiſſant Dei corps enſenglantez que i’allayt apißant Quid l’orgueil terre-né du Grant Enceliade Oſa contre les cieux preſenter l’eſcalade Tandu qu'vn mont gibel ſa flamme romira I houneur Odriſien ce monde remplira Ie ſaule Dieu commun qui heiſe les marailles Clespreus & deſſens, qui donue le, batailles Animanc au combat le guercier cu larcy Ians pitié ſans amour & qui de mon ſourcy Peux faire tresbucher la Cyme de Nrdope la Iharce m’obeis,, le Tartare çal ppe apres mon chae dose & comme touibillons IIe ſuiuent loing lu tour les plasſ tus Gelems, Ius dequoy me ſent-il degoidis les arinees 1	Non non ne pense pas que ma main soit rétive, Ny qu'elle soit encore dessous Otus captive, Ja le bras, j'ai la main, j'ai l'escuvougissant Dei corps ensenglantez que j'allait apissant Quids l'orgueil terre-né du Grant Enceliade Osa contre les cieux présenter l'escalade Tandu qu'Han mont gibel aux flamme romira I Jouneur Odrisien ce monde remplira Je saule Dieu commun qui hérise les marailles Clespreus etade, et de le, batailles Animanc au combat le guercier cv larcy Ians pitié sans amour , qui de on sourcy Peux faire trébucher la Cyme de Nrdope la Iharce obéis, le Tartare çal apres mon qui dose et ' touibillons E suiuent loing lu tour les plass tus Gelems, Qui ne m sent-il degoidis les ai 1
De commander aux Roys de vendre leurs ſomuet Et les temples vamqueurs de palmes vu brarer Si d’vnſoble gargon te ne me pais venger:	De commander aux Rois de vendre leurs somuet Et les temples vamqueurs de palmes vu brarer Si d'Hsoble gargon te ne me pais venger:
Mais dequoy me ſert-il ſouſler en ma poitrine Ies Syluques labeurs, le meurtre, la rapmne Et rompre les accors de chacun élement Si vn homme mortel me braue telement?	Mais dequoy me sert-il soûler en ma poitrine Jes Syluques labeurs, le meurtre, la rapmène Et rompre les accors de chacun élement Si un homme mortel me brave telément?
Que ſert-il de ſicher ou me plaiſt la victoire, Si vu petit chaſſeur triomphe de ma gloure.	Que sert-il de sicher ou me plaît la victoire, Si vu petit chasseur triomphe de ma gloure.
Encore ſi Mereure eſtoit men cοrτinαl Ou le Dieu rayonnant de flame pied chenal Oirceluy qui des caux bride la violence.	Encore si Mèreure était men cοrτinαl Ou le Dieu rayonnant de flamme pied chenal Oircelui qui des caux bride la violence.
I’aurois moins de regret & prendrois patienct.	J'aurais moins de regret et prendrais patienct.
O monſtre ſeminmn ennem de repes Malheureux eſt celuy qui croit à tes prepes Qui j’approche de toy & quite fait hommege Car conme d'vnnoyer ſeulement ion vmbrag?	Ô montre seminmenn ennem de repes Malheureux est celui qui croit à tes prépes Qui j'approche de toi et quite fait homme Car conme d'unnoyer seulement ion vmbrag?
EHιriste & veneneux, tes ſilles d'.	EHriste et vénéneux, tes silles d'.
cheloTrompent le pelerin fardant vn pen leer reix, Mais au beſointu ſcais milles ruſes ſecrettes.	chéloTrompent le pèlerin fardant un pen le reix, Mais au besointu scais milles ruses secrètes.
Pour mieux enſorceler nos ames indiſerestes.	Pour mieux ensorceler nos âmes indiserestes.
Ce chenu compaignon de l’or mieux aſpne Ores eftraint en nenuds.	Ce chenu compagnon de l'or mieux âne Ores éftraint en nenuds.
Or doucement moe Flottant deſſus le col, à treſſes vagabondes Noyent noſtre raiſon en l'erreur de ſes eudes, De tes yeux larmoyaus il ſort vne liqueur Aincois vn reagal qui perce noſire cæur.	Or doucement moie Flottant dessus le col, à tresses vagabondes Noient notre raison en l'erreur de ses édes, De tes yeux larmoyaus il sort une liqueur Aincais un reagal qui perce nos cæur.
.	.
Ainſi le caut ſerpent ammal à deux vies.	Ainsi le caut serpent amal à deux vies.
Pleure deſſas le Nil ſes mortelles enaies.	Pleure dessas le Nil ses mortelles enaies.
Tonparler ton marcher par fraude ſoregest.	Tonparler ton marcher par fraude soregest.
Ce n’eſt point le ccrail qui tes leures rosgiſt Ny la rermaſle ſleur du mois de May cences?	Ce n'est point le ccrail qui tes leur rosgist Ni la rermâle sleur du mois de May cences?
C’eſt le ſang que tubois inhumamne ſanſac.	C'est le sang que tubais inhumamne sansac.
Ce beau ſein meſuré qui deßouz ton çolles.	Ce beau sein mesuré qui devouz ton çolles.
Enſle prodigieux deux montaignes de las	Ensle prodigieux deux montagnes de las
ceupables des malheurs que ſur nous il aſſimble, Tremlle, vient & reuient & palisi tout enſemble, Ie peintre ingenieux qui voudraretirer Touimaux en vn tableau s’en voyſe fgurer Ce monßtre I'erncen & ſon portaic linfame 2 Car rien ne ſemble tant à tout mal que la ſen me.	ceupables des malheurs que sur nous il assimble, Tremlle, vient et revient et palisi tout ensemble, Je peintre ingénieux qui voudraretirer Touimaux en un tableau s'en voise fgurer Ce montre J'erncen et son portaic linfame 2 Car rien ne semble tant à tout mal que la sen me.
Pous mes auant-coureurs mal aduiſez corbeaux.	Pous mes avant-coureurs mal avisez corbeaux.
Chontres Listoniens prophetes des tombeaux, l’eus rages mon appuy qui me crettez la teſte, Pour vn plumage blanc de foudre & de iempeſte.	Chontres Listoniens prophètes des tombeaux, l'eus rages mon appui qui me crettez la tête, Pour un plumage blanc de foudre et de iempeste.
Teyrebelle diſcort au double couflelas:	Téirebelle discort au double coufflelas:
Ious inſernaux demons:	Jous insernaux démons:
Vous acharnez debats, oy martel ſoupçonneux qui iamais ne ſommeilles Ayant vn pied dreſſé & le chef plain d’oreilles Ieus terreurs, vous horreurs, ioy crainte iãs peumõ.	Vous acharnez débats, oi martel soupçonneux qui jamais ne sommeilles Ayant un pied ressé et le chef plain d'oreilles Jeus terreurs, vous horreurs, joi crainte jant peumõ.
