SL T ND LI MONSIEVR D.	SL T ND LI MONSIEUR D.
En flattant mon enfant où mon eſpoir ſe fonde, Quand le Soleil panchant laiſſe obſcurcir le monde Des voiles tenebreux dont les Cieux ſont tendus, D’vn nuage entournez nous ſommes deſcendus En la maiſon funeſte où demeurent les Parques, Où le chaume s’eſgale au Palais des Monarques, Où leurs fatales mains oſtent l’ame du corps, Où le triſte ſilence, & le repos des morts N’eſt troublé qu’aux regrets de la bande qui tombe Des moles voluptez en l’effroyable tombe.	En flattant mon enfant où mon espoir se fonde, Quand le Soleil penchant laisse obscur es mains Des voiles ténébreux dont les Cieux sont tendus, D'un nuage entournez nous sommes descendus En la maison funeste où demeurent les Parques, Où le chaume s'égale au Palais des Monarques, Où leurs fatales mains ôtent l'âme du corps, Où le triste silence, et le repos des morts N'est troublé qu'une regrets de la bande qui tombe Des môles volupté en l'effroyable tombe.
amais on n’y rencontre vn fauorable accueil, 'n luminaire morne emporté du cercueil, Iux Comettes ſemblable à trauers les tenebres conduit les regards des puiſſances funebres Qui cherchent les deſtins dans leurs tables d’airain, eus bleſue,t rangent les mortels ſous l’arreſt ſouuerain.	amais on y rencontre fauorable accueil, ' luminaire morne emporté du cercueil, Comettes semblable trauers les ténèbres conduit les regards des puissances funèbres Qui cherchent les destins dans leurs tables airain, on n'y rangent re un sousl’able accueil,
à quittant mon enfant deſia luiſant de flame t preparant les traicts qui font bleſſure en l’ame, Jieux 'raignant qu’il ne ſuccombe en ce nouueau deſſein ay redoublé ſes feux l’approchant de mon ſein.	à quittant mon enfant déjà luisant de flamme t préparant les traits qui font blessure en l'âme, Jieux ' aignant qu'il ne succombe en ce nouveau dessein ai redoublé ses feux l'approchant de mon sein.
Iaintenãt plein d’ardeur comme tombe la foudre.	Jaintenant plein d'ardeur comme tombe la foudre.
Pont le dard rougiſſant met les rochers en poudre, imbraſant de poiſon ſes diuines douceurs inspire ſon charme en la trouppe des Sœurs, t rendant leurs appas aux phantoſmes aimables Inime ces objects de beautez bien ſemblables, tfin qu'eſtans comblez de longs rauiſſemens ls occuppent leurs mains dans les embraſſemens, andis que l’influence à nos Amans fatale ans effect respandra ſa lumiere infernale.	Pont le dard rougissant met les rochers en poudre, imbrasant de poison ses divines douceurs inspire son charme en la troupe des Sœurs, t rendant leurs appas aux phantômes aimables Inime ces objects de beautés bien semblables, tfin qu'étant comblés de longs ravissements occuppent leurs mains dans les embrassements, andis que l'influence à nos Amants fatale ans effet ra sa lumière infernale.
Mais quelle douce erreur enchãte mon diſcours?	Mais quelle douce erreur enchante mon discours?
En vain contre la Parque on attend du ſecours.	En vain contre la Parque on attend du secours.
Vous pouuõs recõduire au ſommet des montagnes	Vous pouuõs recõduire au sommet des montagnes
Vn fleuue dont les flots tombẽt dãs les campagnes;	Un fleuve dont les flots tombent dans les campagnes;
Alors que des éclairs on void les tremblemens Iupiter d’vn regard change leurs mouuemens;	Alors que des éclairs on voit les tremblements Jupiter d'une regard change leurs mouvements;
Et Neptune peut faire vne ſeiche valée Où l’écume blanchit deſſus l’onde ſalée.	Et Neptune peut faire une seiche valée Où l'écume blanchit dessus l'onde salée.
Mais quand l’arreſt fatal condamne les mortels On a beau iuſqu’aux Cieux éleuer des Autels, Au dernier accident qui combat la nature La preſence d’vn Dieu ſert moins que ſd peinture.	Mais quand l'arrêt fatal condamne les mortels On a beau jusqu'aux Cieux élever des Autels, Au dernier accident qui combat la nature La présence d'un Dieu sert moins que séd peinture.
Celuy qui tient la foudre apperceuant mourir Son enfant Sarpedon ne l’oſa ſecourir, Et la plainte d’Hercule enceint d’vne fournaiſe Ne le ſceut obliger d’en eſteindre la braiſe.	Celui qui tient la foudre apercevant mourir Son enfant Sarpédon ne l'osa secourir, Et la plainte d'Hercule enceint d'une fournaise Ne le sut obliger d'en éteindre la braise.
Qu'Apollon deſolé ſouspira de regrets Alors qu’il employa ſes plus diuins ſecrets, Pour rendre la belle ame à ſon ieune Hyacinte Dont le trespas changea ſon nectar en abſynte.	Qu'Apollon desolé soupira de regrets Alors qu'il employa ses plus divins secrets, Pour rendre la belle âme à son jeune Hyacinte Dont le trépas changea son nectar en absynte.
Et toy pauure Adonis, object delicieux, emnu plus maintenant le plaiſir de mes yeux:	Et toi pauvre Adonis, object délicieux, emnu plus maintenant le plaisir de mes yeux:
Qu'en mon bon-heur perdu ie rencontre de gloire Quand l’agreable temps me paſſe en la memoire, qu'à l’ombrage des bois, au doux ſon des Zephirs Les regards amoureux attiroient mes ſouspirs,	Qu'en mon bonheur perdu avoir rencontre de gloire Quand l'agréable temps me passe en la mémoire, qu'à l'ombrage des bois, au doux son des Zéphirs Les regards amoureux attiraient mes soupirs,
Que ſouuent nous mirant dans vne ſource claire Nous n'auiõs autre objet que le ſoin de nous plaire;	Que souvent nous mirant dans une source claire Nous n'avis autre objet que le soin de nous plaire;
Et qu'alors que mon fils te frappoit de ſes traicts Tu trouuois ton remede en mes plus doux attraicts:	Et qu'alors que mon fils te frappait de ses traits Tu trouvais ton remède en mes plus doux attraits:
Mais helas!	Mais hélas!
ta beauté, ta grace accouſtumee En mourant diſparut comme ombre de fumee.	ta beauté, ta grâce accoutumée En mourant disparut comme ombre de fumée.
Malheureuſe Venus i’apperçeus mon Soleil Tombant dans le Couchant de bleſſures vermeil, Abattu par l’effort d’vne beſte farouche Comme tombe vne reſe à qui la greſle touche.	Malheureuse Venus j'aperçus mon Soleil Tombant dans le Couchant de blessures vermeil, Abattu par l'effort d'une bête farouche Comme tombe une rée à qui la grêle touche.
Vous deuez donc mourir Bergeres & Bergers, Pour qui ie preferois dans ces lieux bocagers, Aux cabinets dorez, aux plus beaux iardinages, Vos rochers deſertez, & vos ſombres fuëillages.	Vous devez donc mourir Bergères et Bergers, Pour qui ie préferais dans ces lieux bocagers, Aux cabinets dorés, aux plus beaux jardinages, Vos rochers désertez, et vos sombres fueillages.
Mais Venus & l’Amour animant l’Vniuers Font viure en tous endroits tant d’animaux diuers, Quoy donc ne pouuons-nous d’vn Empire ſupreme Vous deffendre Bergers de ce malheur extreme?	Mais Venus et l'Amour animant l'Univers Font vivre en tous endroits tant d'animaux divers, Quoi donc ne pouvons-nous d'Han Empire suprême Vous défendre Bergers de ce malheur extrême?
Si la Parque d’amour peut iamais s'emomoir, I'eſpere qu’aujourd’hui vous ſçaurez mon pouuoir:	Si la Parque d'amour peut jamais s'emomoir, J'espère qu'aujourd'hui vous saurez mon pouvoir:
Et ſoit que pouuant faire vn miracle ſi rare I'empeſche les malheurs que le ſort vous prepare;	Et soit que pouvant faire un miracle si rare J'empêche les malheurs que le sort vous prépare;
Soit que vos iours eſteints d’vn funeſte accident	Soit que vos jours éteints d'un este accident
Si proches de l'Aurore entrent dans l’Occident, S’il faut qu'en vous quittant ma triſte fantaiſie De regrets eternels en demeure ſaiſie, Et Venus & l’Amour animeront vos ſens, Eſleuans vos diſcours de ſi diuins accens, Que l’image en tombant dans l’écho des riuages Adoucira l’humeur des animaux ſauuages:	Si proches de l'Aurore entrent dans l'Occident, S'il faut qu'en vous quittant ma triste fantaisie De regrets éternels en demeure saisie, Et Venus et l'Amour animeront vos sens, Esleuans vos discours de si divins accents, Que l'image en tombant dans l'écho des rivages Adoucira l'humeur des animaux sauvages:
Qu'à vos plaintes la Lune exceßiue en froideur La ſentira changer en amoureuſe ardeur:	Qu'à vos plaintes la Lune excessiue en froideur La sentira changer en amoureuse ardeur:
Qu'Apollon pour entendre vn ſi rare martyre En ſilence tiendra ſes chanſons & ſa lyre, Et la voix qui paſſa du Cocyte les bords Dont le Royaume ſombre admira les accords, Ny les Cygnes mourans qui charment les oreilles, N’auront point égalé vos douceurs nompareilles.	Qu'Apollon pour entendre un si rare martyre En silence tiendra ses chansons et sa lyre, Et la voix qui passa du Cocyte les bords Dont le Royaume sombre admira les accords, Ny les Cygnes mourants qui charment les oreilles, N'auront point égalé vos douceurs nompareilles.
ACIE PREMIER.	ACIE PREMIER.
SCENE I.	SCÈNE I.
LVCILYS.	LUCILYS.
THERMODON.	THÉRMODON.
LVCILYS.	LUCILYS.
Oux ruiſſeaux murmurans, ſolitaires foreſts, ochers dont les écots ſont pleins de mes regrets, oyez en quel malheur ma fortune me range, eſtat de l’Vniuers à tous momens ſe change;	Oux ruisseaux murmurants, solitaires forêts, ochers dont les écots sont pleins de mes regrets, oyez en quel malheur ma fortune me range, état de l'Univers à tous moments se change;
Jos vergers où la neige eſtendoit ſa blancheur ont receuoir des lys l’ombrage & la fraiſcheur;	Jos vergers où la neige étendait sa blancheur ont recevoir des lys l'ombrage et la fraîcheur;
uand la foudre d’éclairs trauerſe le nuage pres quelque murmure on voit calmer l’orage:	Uuand la foudre d'éclairs traverse le nuage pres quelque murmure on voit calmer l'orage:
Aurore qui de fleurs nos campagnes peindra De tant d’aſtres luiſans la lumiere eſteindra, 2 Mais l'eſclat des beaux yeux dõt mõ ame s’allume Comme vn rayon diuin iamais ne ſe conſume, Touſiours mes paßions bleſſent mon iugement, Ie ſouſpire & n'espere aucun ſoulagement.	Aurore qui de fleurs nos campagnes peindra De tant d'astres luisant la lumière éteindra, 2 Mais l'éclat des beaux yeux dont cette âme s'allume Comme un rayon divin jamais ne se consume, Tousiours mes passions blessent mon jugement, Je soupire et n'espère aucun soulagement.
O ſecrette compagne, ô nuict ſombre Deeſſe, Dont le teint tenebreux paroiſt quand le iour ceſſe, Qui depuis que ton voile entourne l’Vniuers, Et couronne ton front de tant d’aſtres diuers As connu des Amans les rigoureux ſupplices, Comimt uts puu neuremoue puil cheres delices, qui peut iamais ſouffrir vn ſi faſcheux tourment que celuy qui m'emmene à mon dernier moment?	Ô secrète compagne, ô nuit sombre Déesse, Dont le teint ténébreux paraît quand le jour cesse, Qui depuis que ton voile entourne l'Univers, Et couronne ton front de tant d'astres divers As connu des Amants les rigoureux supplices, Comimts pu nu neuremoue pu pères délices, qui peut jamais souffrir un si fâcheux tourment que celui qui m'emmène à mon dernier moment?
THERMODON.	THÉRMODON.
Lucilys, quel ennuy t'inſpire ces paroles:	Lucilys, quel ennui t'inspire ces paroles:
Tu plairas à quelqu'autre.	Tu plairas à quelque autre.
LVCILYS.	LUCILYS.
En vain tu me conſoles:	En vain tu me consoles:
Berger dont l’amitié s’augmente en mon malheur, guand mon corps ſe peindra de funeſte paſleur, qu’vn ſilence eternel deſſous la ſepulture Finira les regrets de ma triſte auanture, Si quelque iour Cythere amene ſon trouppeau Prés de l’endroit funeſte où ſera mon tombeau, Dy-luy, Oy-luy, Cythere, helas!	Berger dont l'amitié s'augmente en mon malheur, guand mon corps se peindra de funeste pâleur, qu'uneste éternel dessous la sépulture Finira les regrets de ma triste aventure, Si quelque jour Cythère amène son troupeau Prés de l'endroit funeste où sera mon tombeau, Dis-lui, Oy-lui, Cysthère, hélas!
rigoureuſe & cruelle, en ce lieu Lucilys, pauure Amant trop fidelle, J’oſant plus regarder l’eſclat de vos beaux yeux oulut abandonner la lumiere des Cieux.	rigoureuse et cruelle, en ce lieu Lucilys, pauvre Amant trop fidèle, J'osant plus regarder l'éclat de vos beaux yeux oulut abandonner la lumière des Cieux.
i tu voyois alors ſes beaux yeux pleins de charmes ud leioud'vn regard doux & triſte, accompagné de larmes, exprimer doucement;	y tu voyais alors ses beaux yeux pleins de charmes ud leioud'un regard doux et triste, accompagné de larmes, exprimer doucement;
i'en reſſens quelque ennuy:	j'en ressens quelque ennui:
es diuers ''eſt bien le ſeul bon-heur que i'eſpere aujourd’huy.	es divers ''est bien le seul bonheur que j'espère aujourd'hui.
eſupplice T'en veux-tu refuſer?	esupplice T'en veux-tu refuser?
THERMODON.	THÉRMODON.
Reconfort miſerable!	Reconfort misérable!
ui ſouſpira iamais d’vne douleur ſemblable?	Oui soupira jamais d'une douleur semblable?
leuſt au Ciel que les vents luy portaſſent ta vois, Pu qu'Echo luy rediſt au ſilence des bois:	leust au Ciel que les vents était portassent ta vois, Pu qu'Écho lui redist au silence des bois:
lle auroit bien le cœur ou de marbre ou de glace i tes regrets mourans n'y pouuoient trouuer place.	lle aurait bien le cœur ou de marbre ou de glace y tes regrets mourants n'y pouvaient trouver place.
LVCILYS.	LUCILYS.
Ielas!	Jélas!
combien de fois en ſouſpirant d’amour 'y-ie émeu de pitié les rochers d’alentour, Quãd ſes yeux où l’Amour tiẽt ſon ſeuere Empire embloient en apparence approuuer mon martire?	combien de fois en soupirant d'amour 'y-je ému de pitié les rochers d'alentour, Quand ses yeux où l'Amour tendre son sévère Empire emblaient en apparence approuver mon martyre?
Ilors ie connoiſſois que mes triſtes accens D’vn mouuement leger luy touchoient bien les ſens:	Ilors ici connaissais que mes tristes accends D'op mouvement léger notre touchaient bien les sens:
Mau touptouts ce raiſon uemeurou inſenfible:	Mau touptouts ce raison uemeurou insensible:
THERMODON.	THÉRMODON.
Berger c'eſt vne erreur, qui me ſemble impoßible:	Berger c'est une erreur, qui me semble impossible:
De la ieune Cythere Amour ſe rend vainqueur, Car ſouuent i’ay connu qu’il enflame ſon cœur:	De la jeune Cythère Amour se rend vainqueur, Car souvent j'ai connu qu'il enflamme son cœur:
Lors qu'elle te regarde vne ſecrette voye Conduit dans ſes doux yeux des mouuemẽs de ioye:	Lors qu'elle te regarde une secrète voie Conduit dans ses doux yeux des mouvements de joie:
Quand elle parle à toy ie remarque touſiours Des ſouspirs languiſſans qui rompent ſon diſcours.	Quand elle parle à toi On remarque toujours Des soupirs languissants qui rompent son discours.
dv a lu lois Sçais-tu pas, Thermodon, la cruelle deffenſe Qui m'oſtẽt ſes beaux yeux?	dv a lu lois Sais-tu pas, Thermodon, la cruelle défense Qui m'ostẽt quelques beaux yeux?
mõ regard les offenſe.	mon regard les offense.
THERMODON.	THÉRMODON.
Que nous ſommes deçeus du ſemblãt des humeurs!	Que nous sommes deçeus du semblant des humeurs!
La femme inceſſamment dißimule ſes meurs:	La femme incessamment dissimule ses meurs:
Les ſerpens de nos bois n’auront plus de malice Quand la femme à tromper n’aura plus d’artifice.	Les serpens de nos bois n'auront plus de malice Quand la femme à tromper n'aura plus d'artifice.
De plus fauſſes couleurs ſon naturel ſe peint Qu'Iris n'en fait reluire en découurant ſon teint.	De plus fausses couleurs son naturel se peint Qu'Iris n'en fait reluire en découvrant son teint.
Celle qu'on n’aime pas pour paroiſtre ſans blaſme Des laideurs de ſon corps feint d’embellir ſon ame:	Celle qu'on n'aime pas pour paraître sans blâme Des laideurs de son corps feint d'embellir son âme:
Telle ſemble quitter les douceurs de Venus D’vn zele enuers les Dieux, qu'elle n’a point cõnus, Et n’adora iamais que l’Amour & ſa mere Abuſant nos esprits d’vne vaine chimere.	Telle semble quitter les douceurs de Venus D'un zèle envers les Dieux, qu'elle n'a point comnus, Et n'adora jamais que l'Amour et sa mère Abusant nos esprits d'une vaine chimère.
Et quand tes longs trauaux s’en verroient ſurmõtez D’außi puiſſans objects charment les volontez, anceſſamment ne monde en perra d'anſsipelles Tant que le doux Printemps peindra des fleurs nou	Et quand tes longs travaux s'en verraient surmontés D'a vez objects charment les volontés, ancessamment ne monde en perra d'anssipelles Tant que le doux Printemps peindra des fleurs nou
LVCIEYS.	LUCIEYS.
Mais le comble diuin de ſes perfections vu diſ Ne me laiſſe point libre en mes affections, (uelles.	Mais le comble divin de ses perfections vu dis Ne me laisse point libre en mes affections, (uelles.
Las!	Las!
il faut qu’auiourd’huy le treſpas m'en dégage	il faut qu'aujourd'hui le trépas m'en dégage
fenſe THERMODON.	sensé THÉRMODON.
trdles oſ Quoy, voudrois-tu mourir au Printemps de ton âge?	trdles ô Quoi, voudrais-tu mourir au Printemps de ton âge?
Ceux qui furent Bergers du temps que ces ormeaux Panchoient au gré du vent ſouples comme roſeaux, Ceux dont l’ame du corps eſt preſque diuiſée, ualie Quoy qu’on ſçache vanter la campagne Eliſée lud'ani Voudroient bien dans nos champs plus long-temps ſe peint ſejourner, Con ten Heureux cent fois heureux s’ils pouuoiẽt retourner, ſaneblſ En l’eſtat fleuriſſant qui blondiſſoit leurs teſtes, ſn(Et quitter pour iamais les aimables conqueſtes, 'enus Les amoureux appas, les cheres priuautez, Et les douces faueurs des plus rares beautez.	Ceux qui furent Bergers du temps que ces ormeaux Penchaient au gré du vent souples comme roseaux, Ceux dont l'âme du corps est presque divisée, ouvalie Quo qu’on sache vanter la campagne Elisée lud'ani Voudraient bien dans nos champs plus longtemps se peint séjourner, Con ten Heureux cent fois heureux s'ils pouvaient retourner, séanebls En l'état fleurissant qui blondissoit leurs testes, ant qui pour iamais le urs têtes, 'enus Les pour jamais, les chères aima, Etblés douces faueurs des plus rares tes,
Penſes-iu que d amour te tombeau nous deliure!	Penséju que d amour te tombeau nous délivre!
LVCILYS.	LUCILYS.
Quoy languiray-ie encore ayant ceßé de viure?	Quoi languirai-je encore ayant cessé de vivre?
THERMODON.	THÉRMODON.
Dans le fieuut a ouocy tes amourenx eſprits Conſeruent leur ardeur.	Dans le fût a oui tes amourenx esprits Conservent leur ardeur.
LVCILYS.	LUCILYS.
qui te l’aurois appris?	qui te l'aurais appris?
THERMODON.	THÉRMODON.
Vn vieillard demeurãt ſur vn couſtau fort proche, Dans l’antre qui s’enfonce au deſſous d’vne roche, Chryſe, docte Vieillard, d’vn ſi diuin ſçauoir, qu'on pẽſe que les Dieux le viennent ſouuẽt voir:	Un vieillard demeurant sur un coûtau fort proche, Dans l'antre qui s'enfonce au dessous d'une roche, Chryse, docte Vieillard, d'un si divin savoir, qu'on pẽse que les Dieux le viennent souuẽt voir:
qui met deuant ſon antre eſcrit en forme ronde;	qui met devant son antre écrit en forme ronde;
Icy l’amour des Cieux & le meſpris du monde.	Ici l'amour des Cieux et le mépris du monde.
Car ce diuin Vieillard dans ce mont deſerté, S’efforçant de remettre Alcyppe en liberté, L’Amant d’Amaryllis, inconſtante Bergere, Alcyppe maintenant, ombre, triſte & legere, En faiſoit des diſcours en ſi doctes façons, qu'on les deuoit garder tomme fages tegons Aux Amans deſolez ſur des roches de marbre, Non comme nos chanſons ſur l'écorce d’vn arbre.	Car ce divin Vieillard dans ce mont déserté, S'efforçant de remettre Alcipe en liberté, L'Amant d'Amaryllis, inconstante Bergère, Alcipe maintenant, ombre, triste et légère, En faisait des discours en si doctes façons, qu'on les devait garder tomme sages tegons Aux Amants désolés sur des roches de marbre, Non comme nos chansons sur l'écorce d'un èbre.
Or conte en quelle ſorte vn charme ſi puiſſant Ca rendu l’ame triſte, & le cœur languiſſant.	Or conte en quelle sorte un charme si puissant Ca rendu l'âme triste, et le cœur languissant.
e devie LVCILYS.	Je devie LUCILYS.
Thermodon iuſqu’icy, d’vne ame ſi diſcrette, I’auois touſiours tenu ma paßion ſecrette, qu’encore qu’vn penſer m'en fuſt doux & charmãt, De crainte par malheur d’en parler en dormant:	Thermodon jusqu'ici, d'une âme si discrette, J'avais toujours tenu ma passion secrète, qu'encore qu'un penser m'en fut doux et charmant, De crainte par malheur d'en parler en dormant:
Car au plus fort ſommeil dure ma freneſie, L'en détournois ſouuent ma triſte fantaiſie:	Car au plus fort sommeil dure ma frénésie, L'en détournais souvent ma triste fantaisie:
