PREFACE.	PRÉFACE.
EXTRAIT	EXTRAIT
EXTRAIT DU PRIVILEGE du Roi.	EXTRAIT DU PRIVILÈGE du Roi.
AR Grace & Privilege du Roy, donné à VerI ſailles le douziéme Fevrier 1699.	AR Grâce et Privilège du Roi, donné à VerI sailles le douzième Février 1699.
Signé, Par le Roy en ſon Conſeil, LE FEVRE.	Signé, Par le Roi en son Conseil, LE SEVRÉ.
Il eſt permis à PIERRE RIBOu Marchand Libraire à Paris, de faite imptimet le Recueil des Tragedies du Sieur de la Grange, pendant le temps de huit années, à compter du jour que chaque Tragedie ſera achevée d’imprimer pour la premiere fois;	Il est permis à PIERRE RIBOu Marchand Libraire à Paris, de faite imptimet le Recueil des Tragédies du Sieur de la Grange, pendant le temps de huit années, à compter du jour que chaque Tragédie sera achevée d'imprimer pour la première fois;
Pendant lequel temps faiſons tres-expreſſes défenſes à toutes perſonnes de quelque qualité & condition qu’elles ſoient, de faire imprimet, vendre ny debiter d’autre Edition que de celle de I’Expoſant, ou de ceux qui autont droit de luy, à peine de quinte cens livres d’amende, payables ſans deport par chacun des contrevenans, de de tous depens, dommages & intereſts, & autres peines portées plus au long par leſdites Lettres de Privilege.	Pendant lequel temps faisons très -expresses défenses à toutes personnes de quelque qualité et condition qu'elles soient, de faire imprimet, vendre sans débiter d'autre Édition que de celle de J'Exposant, ou de ceux qui autont droit de soins, à peine de quinte cens livres d'amende, payables sans déport par chacun des contrevenants, de de tous dépens, dommages et intérêts, et autres peines portées plus au long par lesdites Lettres de Privilège.
Regiſtré ſur le Livre de le Communauté des Imprimeun, & Marchands Libraites de Paris le 26.	Registré sur le Livre de le Communauté des Imprimeun, et Marchands Libraites de Paris le 26.
Fevrier 1699.	Février 1699.
Signé, C.	Signé, Ç.
BALLARD, Syndic.	BALARD, Syndic.
Achevé d’imprimer pour la preraiere fois le 2o.	Achevé d'imprimer pour la prraière fois le 2o.
Mars 1699.	Mars 1699.
AOTDORO.	ÀOTDORO.
IPHIGENIE, Fille d’Agamemnon, grande ORESTE.	IPHIGENIE, Fille d'Agamemnon, grande ORÉTE.
Preſtreſſe de Diane.	Prêtresse de Diane.
Frere d’Iphigenie.	Frère d'Iphigénie.
ORESTE	ORÊTE
ORESTE ET PILADE, TPHIGENIE EN TAURIDE.	ORÊTE ET PILADE, THIGENIE EN TAURIDE.
TRAGEDIE.	TRAGÉDIE.
AOTE SCENE PREMIERE.	ÀTE SCÈNE PREMIÈRE.
THOAS, HIDASPE.	THOAS, HIDASPE.
EIGNEUR, voicy le jour ſi longtemps ſouhaité, Où cenduit par l’hymen à la felicité, Thoas, l’heureux Thoas, épouſe ce qu’il aime.	EIGNEUR, voici le jour si longtemps souhaité, Où cenduit par l'hymen à la félicité, Thoas, l'heureux Thoas, épouse ce qu'il aime.
C’eſtoit peu qu’éloigné de la grandeur ſuprê	C'était peu qu'éloigné de la grandeur suprêné
me, Par vos ſeules vertus, ſans le ſecours du ſang.	me, Par vos seules vertus, sans le secours du sang.
, Vous euſſiez pû monter à cet auguſte rang:	, Vous eussiez pu monter à cet auguste rang:
C’eſtoit peu que de voir les Scythes indomptables, Vous ſoûmettre à l'envy leur rives redoutables, Pour vous faire un deſtin digne de vos exploits:	C'était peu que de voir les Scythes indomptables, Vous soumettre à l'envi leur rives redoutables, Pour vous faire un destin digne de vos exploits:
Et donner une, épouſe au plus grand de nos Rois.	Et donner une, épouse au plus grand de nos Rois.
Nous avons vû Diane en ces lieux adorée, Dans un éclat pompeux, par la route azurée, Vous amener, Seigneur, cette auguſte beauté, De qui voſtre conſtance a vaincu la fierté.	Nous avons vu Diane en ces lieux adorée, Dans un éclat pompeux, par la route azurée, Vous amener, Seigneur, cette auguste beauté, De qui votre constance a vaincu la fierté.
Tout vous rit :	Tout vous rit :
la ſplendeur qui dans ces lieux éclate, Eſt relevee encor par celle du Sarmate, Dont les Ambaſſadeurs honorent voſtre Cour.	la splendeur qui dans ces lieux éclate, Est relève encor par celle du Sarmate, Dont les Ambassadeurs honorent votre Cour.
Enfin pour vous combler de gloire ce grand jour.	Enfin pour vous combler de gloire ce grand jour.
HOAS.	HÔOAS.
A-t-on tout préparé?	A-t-on tout préparé?
verray-je la Princeſſe, Hidaſpe?	verrai-je la Princesse, Hidaspe?
HIDASPE.	HIDASPE.
Elle eſt encore aux pieds de-la Deeſſe.	Elle est encore aux pieds de -la Déesse.
«Tandis que de ce Grec à la mort deſtiné, On couronne de fleurs le front infortuué.	«Tandis que de ce Grec à la mort destiné, On couronne de fleurs le front infortué.
Pleine d’un feu divin dans l’enceinte ſacrée, Au fond du Sanctuaire elle s’eſt retitée:	Pleine d'un feu divin dans l'enceinte sacrée, Au fond du Sanctuaire elle s'est retitée:
Où ſon cœur attentif ſemble ſe préparer, Au myſtere ſanglant qu’elle va celebrer.	Où son cœur attentif semble se préparer, Au mystère sanglant qu'elle va célébrer.
Mais que vois-je!	Mais que vois-je!
en ce jour de gloire & d’allegreſſe, Qui n’attend que ce ſang qu’éxige la Deeſſe, Pour faire que ſans crime un Roy victorieux Poſſede enfin un cœur reſe.	en ce jour de gloire et d'allégresse, Qui n'attend que ce sang qu'éxige la Deesse, Pour faire que sans crime un Roi victorieux Possède enfin un cœur rée.
vé pour les Dieux:	vé pour les Dieux:
Lors qu’à ces nœuds ſacrez il n’eſt rien qui s’oppoDe ce ſombre chagrin qui peut être la cauſe?	Lors qu'à ces nœuds sacrés il n'est rien qui s'oppoDe ce sombre chagrin qui peut être la cause?
Me ſeroit-il permis, ſans ſortir du devoir, D’oſer m’en informer?	Me serait-il permis, sans sortir du devoir, D'oser m'en informer?
Ne le puis-je ſçavoir?	Ne le puis-je savoir?
THOAS.	THOAS.
Fieureux qui lans feniorus, portaiſt un Diadême, N’a point à redouter la vangeance ſuprême, Et n’eſt point obligé de conſerver ce rang, Par des droits violez, & des fleuves de ſang.	Fieureux qui lans feniorus, portait un Diadème, N'a point à redouter la vengeance suprême, Et n'est point obligé de conserver ce rang, Par des droits violez, et des fleuves de sang.
HIDASPE.	HIDASPE.
Qu'entens-je?	Qu'entends-je?
quel diſcours, Seigneur, qui vous I’inſpire?	quel discours, Seigneur, qui vous J'inspire?
Je n’ay pas oublié qu’en acceptant l’Empire, Vous jurâtes d’abord d’épouſer Thomiris.	Je n'ai pas oublié qu'en acceptant l'Empire, Vous jurâtes d'abord d'épouser Thomiris.
Que ſon pere en mourant mit le Sceptre à ce prix.	Que son père en mourant mit le Sceptre à ce prix.
Pour acquerir un Trone on oſe tout promettre.	Pour acquérir un Trone on ose tout promettre.
Mais ſur le Trône aſſis on ſe peut tout permettre:	Mais sur le Trône assis on se peut tout permettre:
Tranquile Souverain, & Vainqueur tant de fois, vous n’avez qu’à parler, tout fléchit ſous vos loix.	Tranquille Souverain, et Vainqueur tant de fois, vous n'avez qu'à parler, tout fléchit sous vos lois.
Dans luu ſenentimens i'nomsis n’eſt qu’à plaindre.	Dans lu sennentiments j'noms n'est qu'à plaindre.
THOAS.	THOAS.
Dans ſes reſſentimeus Thomiris eſt à craindre.	Dans ses ressentimeus Thomiris est à craindre.
Quelque trouble pourtant qu’elle puiſſe exciter;	Quelque trouble pourtant qu'elle puisse exciter;
De plus cruels chagrins viennent m’inquieter:	De plus cruels chagrins viennent m'inquiéter:
Elle n’eſt pas la ſeule icy que je iedoε¬.	Elle n'est pas la seule ici que je iedoε¬.
HIDASPE.	HIDASPE.
Et quel autle ennemy pouvez-vous craindre?	Et quel autle ennemi pouvez-vous craindre?
THOAS.	THOAS.
Ecoûte.	Écoute.
Quand le feu Roy, parmy tant de Scythes fameux, Daigna tourner ſur moy ſes regards & ſes vœux, Et me faire en mourant l’appuy de ſa famille, En m’accordant le Sceptre, & me donnant ſa fille:	Quand le feu Roi, parmi tant de Scythes fameux, Daigna tourner sur moi ses regards et ses vœux, Et me faire en mourant l'appui de sa famille, En m'accordant le Sceptre, et me donnant sa fille:
Guidé par mon devoir pluſque par mes ſermens, Je vorois chaque jour dans mes empreſſemens, T homiris s’applaudir d’augmenter ma tendreſſe.	Guidé par mon devoir plusque par mes serments, Je vorais chaque jour dans mes empressements, T omiris s'applaudir d'augmenter ma tendresse.
Helas.	Hélas.
je n’avois point encor vû la Preſtreſſe.	je n'avais point encor vu la Prêtresse.
Le jour qui l’amena dans toute ſa ſplendeur, Eclaira ſon triomphe enſemble, & mon malheur.	Le jour qui l'amena dans toute sa splendeur, Eclaira son triomphe ensemble, et mon malheur.
Mes yeux ne furent plus atrachez que ſur elle.	Mes yeux ne furent plus atrachés que sur elle.
Perfide à Thomiris, à ma gloire infidelle.	Perfide à Thomiris, à ma gloire infidèle.
Pour m’aſſurer le Trône, & regner ſans effroy, De tous ceux que j’en crus auſſi dignes que moy, Hidaſpe, j'étouffay l’eſpoir ayec la vie.	Pour m'assurer le Trône, et régner sans effroi, De tous ceux que j'en crus aussi dignes que moi, Hidaspe, j'étouffai l'espoir aiec la vie.
Mes ennemis domptez, la Thauride aſſervie, Parez de ces grands noms, de ces fameux exploits, Que la victoire ajoûte à la pourpre des Rois, le parlay de mes feux en Amant ſeur de plaire.	Mes ennemis domptés, la Thauride asservie, Parez de ces grands noms, de ces fameux exploits, Que la victoire ajoute à la pourpre des Rois, le parlai de mes feux en Amant sûr de plaire.
Quel revers!	Quel revers!
la Preſtreſſe inconne, étrangere.	la Prêtresse inconne, étrangère.
, Ne crut pas mon amour digne d’eſtre écoûté.	, Ne crut pas mon amour digne d'être écouté.
Que dis-je?	Que dis-je?
Elle pouſſa ſon injuſte ſierté Juſqu’à me refuſer;	Elle poussa son injuste sierté Jusqu'à me refuser;
ſoit mépris, ſoit prudence, De m’apprendre ſon nom, ſon païs, ſa naiſſance.	soit mépris, soit prudence, De m'apprendre son nom, son pays, sa naissance.
Cet orgueil imprévû ne fit que m’irriter.	Cet orgueil imprévu ne fit que m'irriter.
Pour fléchir ſa rigueur on me vit tout tenter:	Pour fléchir sa rigueur on me vit tout tenter:
Mais en vain:	Mais en vain:
je ne fis qu’augmenter ſon audace:	je ne fis qu'augmenter son audace:
Des Dieux, toutes les nuits, éprouvant la menact, Je voulus de mon ſort ſçavoir la verité.	Des Dieux, toutes les nuits, éprouvant la menact, Je voulus de mon sort avoir la vérité.
Voicy nar Apellen, ve qui me fut dicté.	Voici nar Apellen, ve qui me fut dicté.
Tu joüiras du Sceptre & de la vis, Tant quom jeras poſſeſſeur Du ſimulachre de ma Sœur:	Tu jouiras du Sceptre et de la vis, Tant quom jeras possesseur Du simulachre de ma Sœur:
Mais crains d’un Grec la main impie.	Mais crains d'un Grec la main impie.
La Statuë enlevée expiant ſa fureur, Te menace d’un ſort funeſte.	La Statue enlevée expiant sa fureur, Te menace d'un sort funeste.
Tremble, Thous, au nom d’Oreſte.	Tremble, Thous, au nom d'Oreste.
Quel Oracle!	Quel Oracle!
HIDASPE.	HIDASPE.
HOAS.	HÔOAS.
En ſecret m’ayant eſté rendu, R'appellant auſſi-tôt mon eſprit éperdu, Pour aſſurer mes jours contre ce coup funeſte, Je crus que je devois cacher le nom d’Oreſte;	En secret m'ayant été rendu, Rappelant aussitôt mon esprit éperdu, Pour assurer mes jours contre ce coup funeste, Je crus que je devais cacher le nom d'Oreste;
Rejetter.	Rejeter.
ſur les Grees ma crainte, & mon couroux, Et dans ce crime affreux les envelopper tous.	sur les Grez ma crainte, et mon courroux, Et dans ce crime affreux les envelopper tous.
Pour engager mon peuple à cet arreſt ſiniſtre, Je fis parler des Dieux le plus zelé Miniſtre.	Pour engager mon peuple à cet arrêt sinistre, Je fis parler des Dieux le plus zélé Ministre.
Les Scythes à ſa voix tremblerent pour l’Etat.	Les Scythes à sa voix tremblèrent pour l'État.
Tous s’armerent de cris contre cet attentat.	Tous s'armèrent de cris contre cet attentat.
De tous les Etrangers la perte fut jurée.	De tous les Étrangers la perte fut jurée.
Leurs jours furent proſcrits à Diane implorée.	Leurs jours furent proscrits à Diane implorée.
Que de ſang a depuis arroſé ſon Autel!	Que de sang a depuis arrosé son Autel!
Que d’innocens punis pour un ſeul criminel!	Que d'innocents punis pour un seul criminel!
Ces meurtres redoublez, ces ſanglantes victimes, Sans adoucir mes maux multiplioient mes crimes.	Ces meurtres redoublés, ces sanglantes victimes, Sans adoucir mes maux multipliaient mes crimes.
Rapellant ma raiſon dans ces obſcuritez.	Rappelant ma raison dans ces obscurités.
Voulant de cet Oreſte avoir quelques clartez.	Voulant de cet Oreste avoir quelques clartés.
Anthenor dont tu ſçais la prudence & l'adreſſe,.	Anthénor dont tu sais la prudence et l'adresse,.
Inſtruit de mon ſecret fit voile pour la Grece.	Instruit de mon secret fit voile pour la Grèce.
Depuis un an entier qu’il a quitté ce port, Il ne m’a point encor informé de ſon ſort:	Depuis un an entier qu'il a quitté ce port, Il ne m'a point encor informé de son sort:
Le mien traîne par tout le chagrin qui m’accable:	Le mien traîne par tout le chagrin qui m'accable:
Ce jour même, ce jour qu’un hymen favorable, Va mettre dans mon lit cette ſiere beauté, Ce prix de ma conſtance, & qui m’a tant coûté;	Ce jour même, ce jour qu'un hymen favorable, Va mettre dans mon lit cette sienne beauté, Ce prix de ma constance, et qui m'a tant coûté;
Je n’ay de mon bonheur qu’une joye inquiete.	Je n'ai de mon bonheur qu'une joie inquiète.
Etonné, traverſé d’une crainte ſecrete, Sans relâche.	Étonné, traversé d'une crainte secrète, Sans relâche.
Ah-!	Ah-!
grand Dieux, que vois-je!	grand Dieux, que vois-je!
eſt-ce Anthenor?	est-ce Anthénor?
eCMxvMI.	eCMxvMI.
THOAS, HIDASPE, ANTHENOR,	THOAS, HIDASPE, ANTHENOR,
T.	T.
HOAS.	HÔOAS.
el!	Que!
il m'eſt donc permis de te revoir encor.	il m'est donc permis de te revoir encor.
CAmy, de ton retour que faut-il que j’augute?	CAmi, de ton retour que faut-il que j'augute?
Qu’as-tu dévelopé de ma triſte avanture?	Qu'as-tu développé de ma triste aventure?
Parle:	Parle:
ay-je à craindre encor le celeſte courroux?	ai-je à craindre encor le céleste courroux?
ANTHENOR.	ANTHENOR.
Souffres qu’auparavant j’embraſſe vos genoux, Seigneur, que j’ay de fois tremblé pour vôtre vie!	Souffres qu'auparavant j'embrasse vos genoux, Seigneur, que j'ai de fois tremblé pour votre vie!
Quand par la trahiſon je la croyois ravie.	Quand par la trahison je la croyais ravie.
Qu’heureuſement, grands Dieux!	Qu'heureusement, grands Dieux!
vous calmez.	vous calmez.
mon effroy;	mon effroi;
Vous me rendez icy mon cher Maiſtre, mon Roy.	Vous me rendez ici mon cher Maître, mon Roi.
THOAS.	THOAS.
Qui peut t’avoir cauſé cette crainte funeſte?	Qui peut t'avoir causé cette crainte funeste?
Qu’as-tu vû?	Qu'as-tu vu?
que ſçais-tu?	que sais-tu?
connois-tu cet Oreſte?	connais-tu cet Oreste?
ANTENOR:	ANTENOR:
Je me ſuis vainement empreſſé pour le voir;	Je me suis vainement empressé pour le voir;
Mais ſon ſort dans la Grece eſt facile à ſçavoir.	Mais son sort dans la Grèce est facile à savoir.
Le grand Agamemnon luy donna la naiſſance.	Le grand Agamemnon lui donna la naissance.
Mycene eſt ſous ces loix, Argos ſous ſa puiſſances J'aborday ſon païs;	Mycène est sous ces lois, Argos sous sa puissances J'abordai son pays;
il yenoit d’en ſortir.	il yenait d'en sortir.
Un horrible deſſein l'en avoit fait partit.	Un horrible dessein l'en avait fait partit.
J’appris que pour vanger le trépas de ſon pere, Ayant trempé ſes mains dans le ſang de ſa mere:	J'appris que pour venger le trépas de son père, Ayant trempé ses mains dans le sang de sa mère:
Tourmenté, déchiré de ce crime odieux.	Tourmenté, déchiré de ce crime odieux.
Egalement hay des hommes, & des Dieux, Il en traînoit par tout l’idée épouvantable;	Également hai des hommes, et des Dieux, Il en traînait par tout l'idée épouvantable;
Et que pour expier ce meurtre déteſtable, Avec uu feur vaiueau, guſe pat la fureur, Pòrtant dans vos Etats la rage, & la terreuz, D’une ame au ſacrilege inſtruite & parvenuë, Il venoit de Diane enlever la Statuë?	Et que pour expier ce meurtre détestable, Avec œu seur vaiveau, guse pat la fureur, Prtant dans vos États la rage, et la terreuz, D'une âme au sacrilège instruite et parvenue, Il venait de Diane enlever la Statue?
A1O A J.	A1O A J.
Letemeraire!	Leteméraire!
Aprés d’innombrables travaux:	Après d'innombrables travaux:
Si ſon pere en dix ans avec mille vaiſſeaux, Vit à peine.	Si son père en dix ans avec mille vaisseaux, Vit à peine.
illion ſoûmis au ſang Attride, Croit-il avec un ſeul étonner la-Tauride?	illion soumis au sang Attride, Croit-il avec un seul étonner la-Tauride?
ANTHENOR.	ANTHENOR.
Ne vous y trompez pas, il y vient inconnu:	Ne vous y trompez pas, il y vient inconnu:
Mais quand avec ſon nom juſqu’à vous parvenu;	Mais quand avec son nom jusqu'à vous parvenu;
, Vous auriez connoiſſance encor de ſon viſage, Voſtre aſpect ne feroit qu’augmenter ſon courasi fur la foy des Grees on en croit ſon renom, Ce Prince, de la peur, ne connoiſt que le nom.	, Vous auriez connaissance encor de son visage, Votre aspect ne ferait qu'augmenter son courasi fur la foi des Gre on en croit son renom, Ce Prince, de la peur, ne connaît que le nom.
Ses ſermens ſolemnels ont juré voſtre perte :	Ses serments solennels ont juré votre perte :
Et ſoit par la ſurpriſe, ou par la force ouverte;	Et soit par la surprise, ou par la force ouverte;
Il vient, quelque peril qu’il y puifſe courir, Enlever la Sratuë, ou vous perdre, ou perir.	Il vient, quelque péril qu'il y puisse courir, Enlever la Sratue, ou vous perdre, ou périr.
Ah!	Ah!
Seigneur, quel devins-je à ce recit funeſte?	Seigneur, quel devins-je à ce récit funeste?
Que ne tentay-je point pour prévenir Oreſte?	Que ne tentai-je point pour prévenir Oreste?
Je combattis leng-tems & les vents & les mers,.	Je combattis lengtemps et les vents et les mers,.
Et cependant heureux que ces mêmes revers, Des projets du barbare ayent ſuſpendu la rage:	Et cependant heureux que ces mêmes revers, Des projets du barbare aient suspendu la rage:
Plus heureux ſi tous deux nous avions fait naufrage.	Plus heureux si tous deux nous avions fait naufrage.
S’il m’avoit devancé qu’auroit-ce été, grande Dieux;	S'il m'avait devancé qu'aurait-ce été, grande Dieux;
THOAS.	THOAS.
Il n’en faut point douter, ce Prince eſt en ceglieux.	Il n'en faut point douter, ce Prince est en céglieux.
Luy ?	Lui ?
ANTHENOR.	ANTHENOR.
THOAS.	THOAS.
C’eſt ce même Gree dont j’attens le ſupplice, Et qu’aujour d’huy Diane accepte en ſacriſice.	C'est ce même Grée dont j'attends le supplice, Et qu'aujour d'hui Diane accepte en sacrisice.
Son front où d’un beau ſang ſe tépand la fierté.	Son front où d'un beau sang se tépand la fierté.
Cet orgueil qu’il oppoſe à mon authorité;	Cet orgueil qu'il oppose à mon autorité;
Sur tout ſon nom qu’il cache, & qu’il s’obſtine à taire, Confirme le tecit que tu viens de m’en faire.	Sur tout son nom qu'il cache, et qu'il s'obstine à taire, Confirme le tecit que tu viens de m'en faire.
Des vagues en fureuts ſeul des ſiens échapé, Sans eſpoit de ſecouts, dans ſes projetstrompé:	Des vagues en fureuts seul des siens échappé, Sans espoit de secouts, dans ses projetstrompé:
A l’aſpect d’une mort dont l’horreur eſt extiême;	À l'aspect d'une mort dont l'horreur est extiême;
Il voit ſans s’étonner ſes malheurs.	Il voit sans s'étonner ses malheurs.
C'eſt luymême.	C'est luymême.
Dieux juſtes!	Dieux justes!
Dieux paiſſans!	Dieux paissants!
je reconnois vostraits.	je reconnais vostraits.
Voſtre prudence a mis un prix à vos bienfaits.	Votre prudence a mis un prix à vos bienfaits.
Elle en fait aux mortels achetter l’allegreſſe.	Elle en fait aux mortels achetter l'allégresse.
Je pers mon ennemy, j’épouſe la Preſtreſſe.	Je perds mon ennemi, j'épouse la Prêtresse.
Quoy qu’il m’en ait coûté pour avoir attendu, Ce bonheur ne m’eſt point encore aſſez vendu.	Quoi qu'il m'en ait coûté pour avoir attendu, Ce bonheur ne m'est point encore assez vendu.
Cher amy que je ſuis redevable à ton zele.	Cher ami que je suis redevable à ton zèle.
Allons, courons au Temple en porter la nouvelle:	Allons, courons au Temple en porter la nouvelle:
Informons la Preſtreſſe.	Informons la Prêtresse.
On ouvre, la voicy.	On ouvre, la voici.
THOAS, IPHIIGENIE,ANTHENOR, HIDASPE,CYANE.	THOAS, IPHIGENIE,ANTHENOR, HIDASPE,CYANE.
THOAS.	THOAS.
H!	H!
Madame, le ſort enſin s’eſt adoucy!	Madame, le sort ensin s'est adouci!
A Nous allons l’éprouver par l’hymen qui s’apreſte:	À Nous allons l'éprouver par l'hymen qui s'apprête:
L’ordrc.	L'ordrc.
IPHIGENIE.	IPHIGENIE.
Atteſte Thoas.	Atteste Thoas.
THOAS.	THOAS.
Hé quo	Hé quo
IPHIGENIE.	IPHIGENIE.
Thoas, arreſte.	Thoas, arrête.
nes Dieuu mepprourent pone ton hymen avec moy.	nés Dieuu mepprourent pone ton hymen avec moi.
Diane a prononcé.	Diane a prononcé.
Je ne puis eſtre à toy:	Je ne puis être à toi:
Ce n’eſt pas tout.	Ce n'est pas tout.
De ſang la Deeſſe ſe laſſe:	De sang la Déesse se lasse:
Devant ſon Tribunal ce Grec a trouvé grace:	Devant son Tribunal ce Grec a trouvé grâce:
Elle s’en fait l’appuy.	Elle s'en fait l'appui.
THOAS.	THOAS.
Ciel!	Ciel!
IPHIGENIE.	IPHIGENIE.
Au pied de l’Autel, Mon bras alloit ſur luy porter le coup mortel.	Au pied de l'Autel, Mon bras allait sur der porter le coup mortel.
Un prodige inouy me ſurprend, & m’arreſte.	Un prodige inouï me surprend, et m'arrête.
les ſaciez ornemens ſout tombez de ſa teſte.	les saciez ornements sout tombés de sa tête.
Le Temple ſous mes pas a paru s’ébrauler.	Le Temple sous mes pas a paru s'ébrauler.
La Statuë, & l’Autel ont ſemblé reculer.	La Statue, et l'Autel ont semblé reculer.
Sur mes ſens interdits la nuit s’eſt tépanduë.	Sur mes sens interdits la nuit s'est tépanduë.
Diane à mes regards eſt alors apparuë.	Diane à mes regards est alors apparue.
J’ay lû, j’ay reconnu dans ſes yeux irritez, Que formant des projets contre ſes volontez, Tu vas ſur tes Etats attirer ſa colete, Si d’en preſſer l’effet ton ame perſevere.	J'ai lu, j'ai reconnu dans ses yeux irrités, Que formant des projets contre ses volontés, Tu vas sur tes États attirer sa colère, Si d'en presser l'effet ton âme persévère.
Ceſſe d’eſtre rebelle aux menaces des Dieux.	Cesse d'être rebelle aux menaces des Dieux.
Ne verſe plus du ſang qui te rend odieux :	Ne verse plus du sang qui te rend odieux :
Etcin de ton amour l’ardeur deſavoüée:	Etcin de ton amour l'ardeur désavouée:
Laiſſe en paix unc fille aux Autels devoüée, Et ſonge bien-plûtoſt, déteſtant tes rigueurs, A gaguer les eſprits qu’a’contraindre les cœurs.	Laisse en paix unc fille aux Autels devoüée, Et songe bientôt, détestant tes rigueurs, A gaguer les esprits qu'acontraindre les cœurs.
THOAS.	THOAS.
où ſe replonge, ô Ciel!	où se replonge, ô Ciel!
mon ame épouvantée?	mon âme épouvantée?
Toujours entte la crainte & l’eſpoir agité, Ne peut-elle entre voir un avenir certain?	Toujours entte la crainte et l'espoir agité, Ne peut-elle entre voir un avenir certain?
Et vous qui m’accablez par un zele inhomain, Mes malheurs, mes chagrins n’ont-ils rien qui vous touche?	Et vous qui m'accablez par un zèle inhomain, Mes malheurs, mes chagrins n'ont-ils rien qui vous touche?
En ſeray-je ſans-ceſſe inſtruit par vôtre bouche ?	En serai-je sans-cesse instruit par votre bouche ?
Madame, ouvrez les yeux, quand on le pouſſe about, Rien n’eſt plus dangereux qu’un Amant qui peu:	Madame, ouvrez les yeux, quand on le pousse about, Rien n'est plus dangereux qu'un Amant qui peu:
tout.	tout.
Prevenez-en l’éclat, c’eſt trop vous le redire:	Prévenez-en l'éclat, c'est trop vous le redire:
Un peu de ſang verſe voas aſſure un Empire.	Un peu de sang verse vœas assure un Empire.
Ces refus outrageans ne vous ſont plus permis.	Ces refus outrageants ne vous sont plus permis.
Vous devez eſtre à moy.	Vous devez être à moi.
Vous me l’avez promis.	Vous me l'avez promis.
La parole a ſes loix qu’on ne doit point enfraindr Qui le ſouffre eſt indigne.	La parole à ses lois qu'on ne doit point enfraindr Qui le souffre est indigne.
IPHIGENIE.	IPHIGENIE.
Eſt-ce à toy de t’en plaindree Toy qui ne dois ce rang dont tu fais vanité, Qu’à ton manque de foy, qu’à ton impieté:	Est-ce à toi de t'en plaindree Toi qui ne dois ce rang dont tu fais vanité, Qu'à ton manque de foi, qu'à ton impiété:
