Couvertures supérieure et inférieure on couleus	Couvertures supérieure et inférieure on coulus
de la Goursqui en ferez plus d'eA ſtime 4 & qui excuſerez mieuxſon mamaj François conſiderant, qu’il eſt eſtranger, geant par ſes autres langues que vous ſçauez mieux que luy, qu’il eſt accouſtumé à dire des choſes excellentes, & qu’il ne parleroit qu’en Prince, s’il auoit encore le don d’exprimer bien ſes belles pensées.	de la Goursqui en ferez plus d'eA stime 4 et qui excuserez mieuxson mamaj Est considérant, qu'il est ranger, géant par ses autres langues que vous savez mieux que lui, qu'il est accoutumé à dire des choses excellentes, et qu'il ne parlerait qu'en Prince, s'il avait encore le don d'exprimer bien ses belles pensées.
Ce ieune Seigneur le plus vertueux de toute la Grece, vient donc ſe preſenter à vous, auecque vn équipage à la Françoiſe, & vn nouueau train que ie luy ay donné;	Ce jeune Seigneur le plus vertueux de toute la Grèce, vient donc se présenter à vous, avec un équipage à la Française, et un nouveau train que tu lui ai donné;
& il vieñt vous entrotenir comme le plus ſçauant homme que la Cour att connu dans noſtre ſiecle-:	et il vieñt vous entrotenir comme le plus savant homme que la Cour att connu dans notre siècle-:
qu’il ſera eſtonné des merueilles qu’il treuuera dans voſtre esprit, & qu’il ſera esblouy de ſes lumieres:	qu'il sera étonné des merveilles qu'il trouvera dans votre esprit, et qu'il sera ébloui de ses lumières:
Il aduoüera incontinent que ſon Pere Thesée ce grand Legiſlateur des Atheniens, qui adoucit auécque tant d’adreſſe les humeurs ſauuages & brutales de ſes peuples;	Il aduoüera incontinent que son Père Thesée ce grand Législateur des Athéniens, qui adoucit aucque tant d'adresse les humeurs sauvages et brutales de ses peuples;
& qui les renditſi ſociables, n'eſtoit qu’vn mediocre Politiquer s'il oſe le comparer à vous:	et qui les renditsi sociables, n'était qu'un médiocre Politiquer s'il ose le comparer à vous:
que vous eußiez emporte toutes les couronnes de ſa ville, non pas dans ce ſiecle encore barbare qui le vit aime:	que vous eussiez emporte toutes les couronnes de sa ville, non pas dans ce siècle encore barbare qui le vit aime:
ue ſa meue-mere, mais alors qu'Euripide deſit renaiſtre, & qu'Athenes eſtoit le berceaude tous les esprits rares & le Throſne de l’eloquence.	Que sa mève-mère, mais alors qu'Euripide desit renaître, et qu'Athène était le berceaude tous les esprits rares et le Thrône de l'éloquence.
Que fera-il dauantage;	Que fera-il davantage;
Il confeſſera que depuis que Senecque l’euſt fait paſſer dans l’Italie, il ne treuua point à Rome de iugement ny de prudence pareille à la voſtre dedans cét illuſtre Senat dont les particuliers auoient eſté pris pluſieurs fois pour autant de Rois;	Il confessera que depuis que Senecque l'eût fait passer dans l'Italie, il ne trouva point à Rome de jugement ni de prudence pareille à la vôtre dedans cet illustre Sénat dont les particuliers avaient été pris plusieurs fois pour autant de Rois;
qu'enfin la fortune quitta ſon bandeau pour vous faire les preſens que vous auez receûs d’elle, & qu'elle ne vous porta point aueuglement dans ce lieu ſi éminent où vous eſtes conſideré de tous les yeux de l’Europe.	qu'enfin la fortune quitta son bandeau pour vous faire les présents que vous avez reçus d'elle, et qu'elle ne vous porta point aveuglement dans ce lieu si éminent où vous êtes considéré de tous les yeux de l'Europe.
Et à dire le vray, Monſieur, le Ray monſtre bien par les grands emplois où il vous occupe, & parla place qu’il vous donne auprés da luy, qu’il n'eſt pas de ces Princes qui imitent le Soleil, qui n’atyre à ſoy que des vapeurs ou des exhalaiſons, & dont les rayons n’eſleuent quer des Atomes:	Et à dire le vrai, Monsieur, le Rai montre bien par les grands emplois où il vous occupe, et parla place qu'il vous donne auprès da lui, qu'il n'est pas de ces Princes qui imitent le Soleil, qui n'atire à soi que des vapeurs ou des exhalaisons, et dont les rayons n'esleuent quer des Atomes:
Je ne doute point qu’on ne me ptiſſe reprocher la meſme choſe, & que ie n’ay?	Je ne doute point qu'on ne me ptisse reprocher la même chose, et que personne n'ai?
au moins vn peu chocqué cet eſcueil où il s’échoü?	au moins un peu chocqué cet écueil où il s'échec?
de ſi grãds vaiſſeaux?	de si grands vaisseaux?
Au lieu de donner vne belle Counà mon Prince, ie ne l’auray entouré que de fono &i de naint commeon fait les autres perſonnes de ſa condition, & ie n'auray peut-eſtre donné à noſtre Reyne que de fauſſes perles, & de petits morceaux de criſtal au lieu de diamants.	Au lieu de donner une belle Counà mon Prince, je ne l'aurai entouré que de sono eti de naint commeon fait les autres personnes de sa condition, et un n'aurai peut-être donné à notre Reine que de fausses perles, et de petits morceaux de cristal au lieu de diamants.
Il eſt pourtant aſſez difficile que i’aye fait beaucoup de faux pas, en marchant ſur les traces d’vn grand Romain, qui m’a eſclairé dans les deſtours qui eſtoient trop ſombres, & qui m'a donné la main dans les paſſages les plus difficiles;	Il est pourtant assez difficile que j'aie fait beaucoup de faux pas, en marchant sur les traces d'un grand Romain, qui m'a éclairé dans les détours qui étaient trop sombres, et qui m'a donné la main dans les passages les plus difficiles;
Ie ne l’abandonne guere en cette piece, & ie fais comme les Aiglons qui apprennent à voler:	Je ne l'abandonne guère en cette pièce, et ie fais comme les Aiglons qui apprennent à voler:
ils ſortent de l’aire ſur le dos de leur mere, & s’eſtans hazardez à ſe laiſſer ſouſtenir à leurs plumes, ils voltigent au tour d’elles, & puis retournent incontinent d’où ils eſtoient partis, quand ils commencent à ſe laſſer.	ils sortent de l'aire sur le dos de leur mère, et s'étant hasardez à se laisser soutenir à leurs plumes, ils voltigent au tour d'elles, et puis retournent incontinent d'où ils étaient partis, quand ils commencent à se lasser.
Außi ne voudrois-je pas me dispenfer à de longues courſes, & m'eſloigner ſi fort de mon ſuject que ie le perdiſſe de veué;	Aussi ne voudrais-je pas me dispenser à de longues courses, et m'éloigner si fort de mon suject que sans le perdisse de vué;
pour aller loing on n'ẽ treuue pas de plus belles choſes, il y a des vaiſſeaux qui ont quaſi vogué ſur autant de mers, & veu autant de coſtes que la nauire victoire, & qui ne reuiennent chargez que de Magots & de coquilles;	pour aller loing on n'en trouve pas de plus belles choses, il y a des vaisseaux qui ont quasi vogué sur autant de mers, et vu autant de côtes que la navire victoire, et qui ne reviennent chargez que de Magots et de coquilles;
mait pour moytt ne ſun pas a mimous a faire venir mes ſottiſes de ſi loing, & ie ne vais pas chercher mes mõſtres iuſques au milieu de l’Afrique.	mait pour moytt ne sun pas a mimous a faire venir mes sottises de si loin, et été ne vais pas chercher mes monstres jusques au milieu de l'Afrique.
Au reſte à paſſer ſi promptement auprés des obiets dont ie veux faire le pourtrait, il eſt biẽ difficile que ie ne laiſſe degrandes beautez & des traits d’vne merueilleuſe importãce à la choſe que ie peins, ie ne ſçaurois auoir la patience de m'arreſterſi long-temps à toutes mes demarches, & ſi ie voyageois ſur lamer, i’aurois de la peine à m'accommoder à l’humeur de ceux qui veulent moüiller l’Anchre à tous les ports, & aborder à toutes les Iſles.	Au reste à passer si promptement auprès des objets dont je veux faire le pourtrait, il est bien difficile que personne ne laisse degrandes beautés et des traits d'une merveilleuse importance à la chose que je peins, je ne saurais avoir la patience de m'arrétersi longtemps à toutes mes démarches, et si je voyage sur lamer, j'aurais de la peine à m'accommoder à l'humeur de ceux qui veulent moüiller l'Anchre à tous les ports, et aborder à toutes les Isles.
Quoy qu’il en ſoit ie me ſuis pourtant donné le loiſir d’adiouter aux inuentions de Seneque quelques vnes des miennes, außi bien toutes ſes pensées ne ſe pouuoient pas accommoder à la Françoiſe;	Quoi qu'il en soit ie me suis pourtant donné le loisir d'ajouter aux inventions de Sénèque quelques unes des miennes, aussi bien toutes ses pensées ne se pouvaient pas accommoder à la Française;
toutes ſortes de fleurs ne ſont pas bonnes à tranſplanter, & quoy qu'on nous ait apporté nos tulypes du nouueau monde, nous n’anons pourtant pas emprunté tous les bouquets de ſes campagnes pour en embellir nos parterres.	toutes sortes de fleurs ne sont pas bonnes à transplanter, et quoi qu'on nous ait apporté nos tulipes du nouveau monde, nous n'ânons pourtant pas emprunté tous les bouquets de ses campagnes pour en embellir nos parterres.
Vous remarquerez bien außi, Monſieur, qu’il manque des adouciſſements à mes tableaux, & que le coloris en eſt vn peu rude, & c'eſtencore là vn de nis pechez originels, & vn vice où la nature m’engage;	Vous remarquerez bien aussi, Monsieur, qu'il manque des adoucissements à mes tableaux, et que le coloris en est un peu rude, et c'étendre là de nis péchez originels, et un vice où la nature m'engage;
ie ne ſçaurois ſuer ny m’endormir deſſus mes ouurages, encore moins depuis qu'ils ſont compoſez qu’à l’heûre que ie les compoſe;	Je ne saurais suer ni m'endormir dessus mes ouvrages, encore moins depuis qu'ils sont composez qu'à l'heûre que sans les compose;
I'aymerois mieux que les ourſes fuſſent ſterilles, que de leur voir lecher ſi long-temps ces maſ, ſes de chair qu'elles auortent, & puis qu'elles ne.	J'aimerais mieux que les ourses fussent stérilles, que de leur voir lécher si longtemps ces mas, ses de chair qu'elles auortent, et puis qu'elles ne.
les peuuent retenir dauantage dans leur matrice, il vaudroit autant qu'elles les laiſſaſſent touſiours imparfaictes;	les peuvent retenir davantage dans leur matrice, il vaudrait autant qu'elles les laissassent toujours imparfaites;
enfin i’approuue encoré plus la façon d'engendrer des elephans, que celle des oy ſeaux;	enfin j'approuve encoré plus la façon d'engendrer des éléphants, que celle des oi seaux;
ceux-là ſont long-temps à ſe former veritablement:	ceux-là sont longtemps à se former véritablement:
mais ils viennent acheuez au monde, & les autres qui ſortent ſans vie, & ſans aucune figure d’animal, doiuent eſtre encore couuez long tẽps auãt que d’eclore, & de ſortir de leur cocque, Par la confeßion que ie viens de vous faire de ce deffaut, vous iugerez ſans doute Monſieur que ig ſerois plus propre au ſtyle comique, qui demande des gayetez & des ſaillies pluſtoſt que des Medi tations;	mais ils viennent achevez au monde, et les autres qui sortent sans vie, et sans aucune figure d'animal, doivent être encore couvez long temps avance que d'éclore, et de sortir de leur coque, Par la confession que je viens de vous faire de ce défaut, vous jugerez sans doute Monsieur que ig serais plus propre au style complique, qui demande des gaieté et des saillies plutôt que des Médichâtions;
outre cela vous me direz encore que leris ſiet bien à tous les viſages, & qu’il n'y ena point qui pleurent de bonne grace, ſi ce n'eſt peut-eſtre cette Aurore des Poëtes, à qui les larmes ſeruent -------------  -.	outre cela vous me direz encore que léris si bien à tous les visages, et qu'il n'y ena point qui pleurent de bonne grâce, si ce n'est peut-être cette Aurore des Poètes, à qui les larmes servent -- -.
de perles & de diamãs.	de perles et de diamants.
Il eſt vray que mon eſprit ne faict rien qu’il ne s’eſlance tout d’vn coup & violemment:	Il est vrai que mon esprit ne fait rien qu'il ne s'élance tout d'un coup et violemment:
mais außi mes boutades ſont plus ſerieuſes que bouffonnes, & ſi ie marche viſte & par ſaillies, ce ſont pluſtoſt des pas d’vn homme en colere que d’vne femme qui danſe.	mais au mes boutades sont plus sérieuses que bouffonnes, et si ici marche vite et par saillies, ce sont plutôt des pas d'une homme en colère que d'une femme qui danse.
I’ay éprouué que ie ne me pouuoi:	J'ai éprouvé que ici ne me pouvoi:
tenir ferme ſur la panthe de la Commedie, & ne m'ecarter point de ce milieu qu'elle demande;	tenir ferme sur la phanthe de la Commedie, et ne m'écarter point de ce milieu qu'elle demande;
ie rampe touſiours ſi ie ne m'eſleue, & i'ay vndeffaut pareil à celuy de ce fameux Statuaire qui ne pouuoit faire que les Images des Dienæ:	Elle rampe toujours si ici ne m'esleue, et j'ai undeffaut pareil à celui de ce fameux Statuaire qui ne pouvait faire que les Images des Dienæ:
& ie ne laiſſe pourtãt pas d’auouer, qu’il eſt plus noble d’agir comme le Soleil & les Aſtres, qui aydent à produire des vers & des Lyons, & qui ſçauent former des pierres communes außi bien que des eſmeraudes & des ſaphirs.	et petit ne laisse pourtant pas d'avouer, qu'il est plus noble d'agir comme le Soleil et les Astres, qui aident à produire des vers et des Lyons, et qui sauent former des pierres communes aussi bien que des émeraudes et des saphirs.
Toutefois la ſaiſon commence à fauorizer mon bumeur, & la mode du Cothurne eſt reuenuë;	Toutefois la saison commence à favoriser mon bumeur, et la mode du Cothurne est revenue;
quoy qu’onn'ayme pas à voir répandre du ſang, Il plaiſt pourtant dans les Tragedies außi bien que ſur les roſes, & ſur l’écarlate, on n’apprehende point les armes du theatre, car on ſçait bien qu'elles ne ſçauroient bleſſer perſonne;	quoiiqu'aime pas à voir répandre du sang, Il plaît pourtant dans les Tragédies aussi bien que sur les roses, et sur l'écarlate, on n'appréhende point les armes du théâtre, car on sait bien qu'elles ne sauraient blesser personne;
1.	1.
.	.
.	.
& ceux meſmes qui apprehendent le plus les tempeſtes, prennent plaiſir à voir des orages en peinture, & à voir partir des nuës vne foudre qui ne les ſçauroit bleſſer.	et ceux mêmes qui appréhendent le plus les tempêtes, prennent plaisir à voir des orages en peinture, et à voir partir des nues une foudre qui ne les saurait blesser.
Mais ie ne ſonge pas Monſieur, que c’eſt trop vous importuner pour la premiere viſite;	Mais ici ne songe pas Monsieur, que c'est trop vous importuner pour la première visite;
n'en aymez pourtant pas moins Hippolyte quoy qu’il en ſoit cauſe, & s’il ſe treuue encore quelque Mõſtre qui le veille perdre, aydez luy à le combattre ie vous en ſupplye, donnez luy vn Azyle dans voſtre Cabinet, & pour comble de faueurs permettez que ie me die, 3 .	n'en aimez pourtant pas moins Hippolyte quoi qu'il en soit cause, et s'il se trouve encore quelque Monstre qui le veille perdre, aidez avoir à le combattre ie ainsi en supplie, donnez Se vn Azyle dans votre Cabinet, et pour comble de faveurs permettez que je me die, 3 .
.	.
.	.
	
Voſtre tres-humble & tresobeiſſant ſeruiteur	Votre très-humble et trésobéissant serviteur
PRETREL SVR L'HIPPOLYTE de Monſieur de la PiNBLIERE.	PRETREL SUR L'HIPPOLYTE de Monsieur de la PiNBLIERE.
Rar le ſieur de HAVTGALION.	Rar le sieur de HAUTGALION.
Es plus belles veritez treuuent leurs incredules, & les plus groſſieres erreurs deurs partiſans;	Es plus belles vérités trouvent leurs incrédules, et les plus grossières erreurs deurs partisans;
celles-cy ne ſont point pour cela plus aymables;	celles-cy ne sont point pour cela plus aimables;
ny les autres Pmoins éclattantes:	ni les autres Pmoins éclatantes:
Ceux qui ont le gouſt malade pour les ceriſes & les melons ne leur oſtent rien de leur delicateſſe, & Celles qui flattent leur appetit auecque de la cendre & du charbon, n’authoriſent point pour cela leur ragouſt, & n’empeſchent pas qu’il ne paſſe pour vne choſe tres-mauuaiſe.	Ceux qui ont le goût malade pour les cerises et les melons ne leur ôtent rien de leur délicatesse, et Celles qui flattent leur appétit auecque de la cendre et du charbon, n'autorisent point pour cela leur ragoût, et n'empêchent pas qu'il ne passe pour une chose très -mauuaise.
Bien qu’il y ait diuers ſentiments ſur vne matiere, neantmoins elle eſt.	Bien qu'il y ait divers sentiments sur une matière, néanmoins elle est.
touſiours elle meſmé, & il n’y a que les idiots qui en demeurent au rapport des autres:	toujours elle mémé, et il n'y a que les idiots qui en demeurent au rapport des autres:
Les eſprits deſabuſez des ſottiſes du vulgaire ne ſe laiſſent point ſurprendre aux apparences, & la plus bellé Apologie ne les empeſcheroit point de condamner les coupables.	Les esprits désabusés des sottises du vulgaire ne se laissent point surprendre aux apparences, et la plus belé Apologie ne les empêcherait point de condamner les coupables.
Ce none dooenes miinoicos Jariteit nor peut cacher, ils cont briller la verité au trauers des plus noires mediſances, & nous éclairent pour aler decouurit des defaux au milieu des approbations preſque generales.	Ce none dooenes miinoicos Jariteit nor peut cacher, ils cont briller la vérité au travers des plus noires médisances, et nous éclairent pour aler découvrit des défauts au milieu des approbations presque générales.
Pour.	Pour.
leur paroiſtre beau il n’y a point d’autra moyen que de I'eſtre, & vne preface remplie d’excellentes penſées &des plus belles Images qu’on puiſſe vois en vn diſcours ne leur feroit point treuuer bõ vn ouurage mediocre, ny excuſer le moindre de ſes deffauts.	leur paraître beau il n'y a point d'autra moyen que de J'être, et une préface remplie d'excellentes pensées etdes plus belles Images qu'on puisse vois en un discours ne leur ferait point trouver bo n ouvrage médiocre, ni excuser le moindre de ses défauts.
Auſſi n’eſt ce point ce qui m’a ſollicité de faire celle-cy, Hippolyte n’a pas beſoin d’ẽprunter des beautez eſtrangeres, il n’a qu’à paroiſtre pour ſe faire aymer, & ceux qui ont differé à luy vouloir du biẽ ç’a eſté pour ne le cõnoiſtre pas.	Aussi n'est ce point ce qui m'a sollicité de faire celle-cy, Hippolyte n'a pas besoin d'enprunter des beautés étrangères, il n'a qu'à paraître pour se faire aimer, et ceux qui ont différé à lui vouloir du bye a estépour ne me cõnoistre pas.
Ce n’eſt point par de mauuaiſe proſe que ie pretens faire admirer de beaux vers, & ſi cette Tragedie pour eſtre bien recuë auoit beſoin d’vn diſcours enrichy de toutes les graces de l’eloquence pour l’entrepreudre, il ne faudroit pas eſtre moins poly que ſon Autheur, il faudroit pouuoir farder la Poeſie auecque autant de grace-comme il la defigure dedans ſon PARNASSE, où il nous faict voir que pour eſtre bon Poete, il ne laiſſe pas d’eſtre excellẽt orateur, & que ſi le beau tour de ſes vers le faict prendre pour le mignon des Muſes, la iuſteſſe de ſes periodes qui font naiſtre vne ſi douce harmonie, nous monſtre bien qu’il n’eſt pas moins fauory de Minerue.	Ce n'est point par de mauvaise prose que sans prétends faire admirer de beaux vers, et si cette Tragédie pour être bien reçue avait besoin d'un discours enrichi de toutes les grâces de l'éloquence pour l'entrepreudre, il ne faudrait pas être moins poli que son Auteur, il faudrait pouuoir farder la Poésie avec autant de grâce-comme il la défigure dedans son PARNASSE, où il nous fait voir que pour notre bon Poète, il ne laisse pas d'être excellé orateur, et que si le beau tour de ses vers le faict re pour le mignon des Muses, la et de ses périodes qui font naître si le mi,nous monstre de il est pas M fauory de Minerue.
Ie ſerois ridicule ſi en attachant ce diſcours au commencement d’Hippolyte ie croiois y adiouter de l’ornement, & ce ſeroit penſer que les approches du marbre puſſent releuer l’eclat des eſmeraudes & des diamants.	Je serais ridicule si en attachant ce discours au commencement d'Hippolyte Je crois y ajouter de l'ornement, et ce serait penser que les approches du marbre pussent relever l'éclat des émeraudes et des diamants.
I'eſpere 2 pourtant que l’on ne condamnera point ce teſmoignage de mon affection & de mon ſentiment;	J'espère 2 pourtant que l'on ne condamnera point ce témoignage de mon affection et de mon sentiment;
& au pis aler ſi on prenoit les voix pour demeurer d’accord de la bonté de cette piece, i’ayderois touſiours à le faire emporter au party de la verité.	et au pis aler si on prenait les voix pour demeurer d'accord de la bonté de cette pièce, j'aiderais toujours à le faire emporter au parti de la vérité.
Mais noſtre Hippolyte aprés auoir paru ſur le theatre auecque tant d’honneur, & vne haute approbatiõ des Maiſtres de l’art qui peuuent prononcer ſur de ſemblables matieres, & dont les iugements ſeul à ſeul contrepeſent pour le moins vne foule de petits Poetes, ce ſeroit luy faire tort que de prendre aduis de cettains eſprits ſales & r’abaiſſez que l’on pourroit conter parmy les reptiles, & qui n’en ſont pas là de pouuoir iuger des bonnes choſes.	Mais notre Hippolyte après avoir paru sur le théâtre avec tant d'honneur, et une haute approbation des Maîtres de l'art qui peuvent prononcer sur de semblables matières, et dont les jugements seul à seul contrepesent pour le moins une foule de petits Poètes, ce serait sou faire port que de prendre avis de cettains esprits sales et rabaissez que l'on pourrait conter parmi les reptiles, et qui n'en sont pas là de pouvoir juger des bonnes choses.
Ces eſprits s’ils ne s’éleuent au deſſus de l’étage où ils ſont, ne remarqueront iamais cette agreable pompe qui accompagne toutes les demarches d’Hippolyte, & pour bien diſtinguer les beautez de ce rare portrait que ſon Autheur nous donne en la deſcription des ombres des morts il faut auoir la veuë meilleure qu’ils n’ont pas:	Ces esprits s'ils ne s'éleuent au dessus de l'étage où ils sont, ne remarqueront jamais cette agréable pompe qui accompagne toutes les démarches d'Hippolyte, et pour bien distinguer les beautés de ce rare portrait que son Auteur nous donne en la description des ombres des morts il faut avoir la vue meilleure qu'ils n'ont pas:
Ie le veux meſler dedans cette Preface afin qu’elle en reçoiue de l’embelliſſement.	Je le veux mêler dedans cette Préface afin qu'elle en reçoive de l'embellissement.
Mille fantoſmes vains & ſans vie & ſans corps Volent confuſenient dans ce cachot des Morts:	Mille fantômes vains et sans vie et sans corps Volent confusénient dans ce cachot des Morts:
Ainſi quand vn Milan part, & quittant la Terre S’eſleue en cette plaine où gronde le Tonnerre, De ſon aiſle eſtenduë areſtant un rayon, Il fait touſiours ſous luy de ſoy meſine vn erayon.	Ainsi quand un Milan part, et quittant la Terre S'élève en cette plaine où gronde le Tonnerre, De son aile étendue artant un rayon, Il fait toujours sous lui de soi mes un eraion.
Cette ombre dont ſa courſe en tous lieux eſt ſuiuie, Epaon Oyſtun tomvit & fans torps e fan doie Tels alentour de nous on voyoit approcher Ces fantoſmet qu’en vain on euſt voulu toucher.	Cette ombre dont sa course en tous lieux est suivie, Épaon Oisun tomvit et fans torps e an doye Tels alentour de nous on voyait approcher Ces fantômet qu'en vain on eût voulu toucher.
Pour remarquer parfaictement toutes les graces de cette Deſcription, il faut conſiderer que tous les Poetes du Paganiſme nous diſent touſiours des Manes de leurs trepaſſez qu’ils eſtoient viſibles, & pourtant qu’ils n’auoient point de corps, ce qui ſemble choquer le ſens commum & toute la Philoſophie;	Pour remarquer parfaitement toutes les grâces de cette Description, il faut considérer que tous les Poètes du Paganisme nous disent toujours des Manes de leurs trépassez qu'ils étaient visibles, et pourtant qu'ils n'avaient point de corps, ce qui semble choquer le sens commum et toute la Philosophie;
mais ces vers expliquẽt cela par vne ſi belle cõparaiſon que l’õ ne ſçauroit trop s’eſtonner cõment les Anciẽs qui auoient la veuë ſi bõne n’õt point appercû vne choſe qui eſtoit ſi remarquable dãs vne matiere dont ils parlẽt ordinairemẽt.	mais ces vers expliquẽt cela par une si belle comparaison que l'on ne saurait trop s'étonner comment les Ancions qui avaient la vue si bonne n'on point aperçu une chose qui était si remarquable dans une matière dont ils parlent ordinairement.
Et de vray puiſque Seneque meſme ſemble n’auoir pû exC.	Et de vrai puisque Sénèque même semble n'avoir pu exC.
PREFACE.	PRÉFACE.
primer ces choſes que par le ſilence, & que ſon populos leues en la deſcription qu’il fait des Enfers dãs l’Hercule Furieux eſt le plus beau mot dont il ait pû embellir ce ſuiet, laiſſant à noſtre imaginarion à ſe figurer ces ombres comme bon luy ſemble pour n’auoir point de pinceau qui les puiſſe repreſenter telles qu’elles ſont.	primer ces choses que par le silence, et que son populos lèves en la description qu'il fait des Enfers dans l'Hercule Furieux est le plus beau mot dont il ait pu embellir ce sujet, laissant à notre imaginarion à se figurer ces ombres comme bon lui semble pour n'avoir point de pinceau qui les puisse représenter telles qu'elles sont.
Les bons eſprits admireront celuy qui a enchery ſur vn homme que toute l’antiquité nous vante, en nous faiſant voir ces ombres auſſi clairement que ſi nous auions fait le voyage auecque Theſée, & en adoretont auſſi volontiers le tablean comme l’on faiſoit autrefois les beautez du Soleil & des Aſtres.	Les bons esprits admireront celui qui a enchéri sur un homme que toute l'antiquité nous vante, en nous faisant voir ces ombres aussi clairement que si nous avions fait le voyage auecque Thesée, et en adoretont aussi volontiers le tablean comme l'on faisait autrefois les beautés du Soleil et des Astres.
A parler frarchement cela me rauit quand ie conſidere que ce que les profondes Meditations d’vn Orateur ne pourroient repreſenter que groſſierement dans la libre eſtenduë des periodes, eſt exprimé auecque tant de pureté dans vne façon décrire ſi reſerrée & contrainte, & où les plus belles pensées ſeroient diſſormes, ſi la iuſte cadence & meſure des vers n’y eſtoient entierement obſeruées.	À parler frarchement cela me ravit quand on considère que ce que les profondes Mèditations d' Orateur ne pourraient représenter que grossièrement dans la libre étendue des périodes, est exprimé avec tant de pureté dans une façon décrire si reserrée et contrainte, et où les plus belles pensées seraient dissormes, si la juste cadence et mesure des vers n'y étaient entièrement observées.
Ie ſerois marry que l’on cruſt qu’en parlant d’vne façon d’écrire reſſerrée, ie vouluſſe dire que cette Piece n’eſt qu’vne pure traduction de Seneque, ceux qui connoiſſent l’humeur de ſon Autheur ſçauent qu’il eſt trop libre pour ſe captiuer de la ſorte, & nous n’aurions pas tant de belles productions de ſon eſprit que nous admirons, s’il s’eſtoit eſtroittement attaché à Seneque, & qu’il ſe fuſt amuſé à ſuiure ce bon vieillard pas à pas;	Je serais marri que l'on crût qu'en parlant d'une façon d'écrire resserrée, votre voulusse dire que cette Pièce n'est qu'une pure traduction de Sénèque, ceux qui connaissent l'humeur de son Auteur Savent qu'il est trop libre pour se captiver de la sorte, et nous n'aurions pas tant de belles productions de son esprit que nous admirons, s'il s'était estroittement attaché à Sénèque, et qu'il se fût amusé à suivre ce bon vieillard pas pas;
Il a bien eu le meſme deſſein que luy, mais il l’a embelly auecque des ornements dont il n’eſt redeuable qu’à ſoy-meſme;	Il a bien eu le même dessein que lui, mais il l'a embelli avec des ornements dont il n'est redevable qu'à soi-même;
& quand bien Seneque le prendroit à la rigueur de luy faire reſtituer ce qu’il a pris chez luy, n nie perdroit pour Ie plus que cent vers qui ſont glorieux d’eſtre ſi bien habillez à la Françoiſe, & tiennent à honneur de ſe treuuer en vne ſi illuſtre compagnie.	et quand bien Sénèque le prendroit à la rigueur de lui faire restituer ce qu'il a pris chez lui, n ie perdrait pour Je plus que cent vers qui sont glorieux d'être si bien habillez à la Française, et tiennent à honneur de se trouver en une si illustre compagnie.
Celuy qui auroit en.	Celui qui aurait en.
A le li Al be trepris de baſtir vn Temple à la moderne & qui auroit decouuert de nouueaux ſecrets en cét ait, ne luy reſtant plus que de treuuer vne matiere aſſez digne pour les y appliquer, ne commettroit point d’impieté en arrachant d’vn vieux Temples quelque piliers de Iaſpe où de Porphyre, & quelques ſtatuës d’or & d’argent pour leur donner vne nouuelle forme & les dedier au meſme Dieu auquel auparauant elles eſtoient conſacrées.	À le li Al be trepris de bâtir un Temple à la moderne et qui aurait découvert de nouveaux secrets en cet ait, ne lui restant plus que de trouver une matière assez digne pour les y appliquer, ne commettrait point d'impiété en arrachant d'un vieux Temples quelque piliers de Jaspe où de Porphyre, et quelques statues d'or et d'argent pour leur donner une nouvelle forme et les dédier au même Dieu quel auparavant elles étaient consacrées.
Ce Roy qui arracha la barbe au bon Eſculape & qui le deſpoüilla de ſon manteau n’auroit point eſté conſideré comme ſacrilege, s’il auoir employé cét or à luy dreſſer des Autels;	Ce Roi qui arracha la barbe au bon Esculape et qui le dépouilla de son manteau n'aurait point été considéré comme sacrilège, s'il avoir employé cet or à avait dresser des Autels;
