A MADEMOISELLE	À MADEMOISELLE
Ne vous eſtonnez pas de cét éuenement, La retraite qu’ils font matque leur iugement, Icy l’ambition, n’a tien qu’elle deſire, Si l'on ſoûpire icy, c’eſt d’amour qu’on ſoûpire, Bien que de Portugal, cette lſle faſſe part, Nous auons & nos Loix.	Ne vous étonnez pas de cet éuenement, La retraite qu'ils font matque leur jugement, Ici l'ambition, n'a tien qu'elle désire, Si l'on soupire ici, c'est d'amour qu'on soupire, Bien que de Portugal, cette lÎle fasse part, Nous avons et nos Lois.
& noſtre Empire à part, Celle qui nous regit, n’a point le nom de Reyne:	et notre Empire à part, Celle qui nous régit, n'a point le nom de Reine:
Nous ſommes compagnons de noſtre Souueraine, Et ſa vertu-nous fait gouſter tant de repos, Qu’elle a mis la houlette és mains de cent Heros, Qui laſſez de lauriers, & du bruit de la guerre, Des quatre coins du monde arriuent dans ſa terre, Le crime ſeulement doit craindre ſon couroux, Elle exerce vn pouuoir de tout autre jaloux, Et comme elle deſcend du ſang de Zoroaitre, Elle ſçait la vertu des herbes, de chaque aſtre, Meſme de la magie elle eutend les ſecrets, Et les fait quelquesfois ſeruir ſes intereſts.	Nous sommes compagnons de nôtre Souveraine, Et sa vertu-nous fait goûter tant de repos, Qu'elle a mis la houlette ès mains de cent Héros, Qui lassez de lauriers, et du bruit de la guerre, Des quatre coins du monde arrivent dans sa terre, Le crime seulement doit craindre son courroux, Elle exerce un pouvoir de tout autre jaloux, Et comme elle descend du sang de Zoroître, Elle serait la vertu des herbes, de chaque astre, Même de la magie elle eutend les secrets, Et les fait quelquefois servir ses intérêts.
Il n’eſt Prince par tout, ny Roy qui ne la craigne, Et qui pourton veposne lounte qu’ene Iegne.	Il n'est Prince par tout, ni Roi qui ne la craigne, Et qui pourton véposne loute qu'ene Jegne.
FABRICE.	FABRICE.
Ie ſçay que cét aſile, & ce charmant ſéjour Du Roy de Portugal a deſerté la Cout;	Je sais que cet asile, et ce charmant séjour Du Roi de Portugal a déserté la Cout;
Qu’au bruit de ſes douceurs, l’incomparable Iſmene Quitta pour les gouſter, la faueur de ſa Reyne, Et que cette beaute pat vi prompt chaugeuſene Ne fait pas de ces lieux vn petit ornement.	Qu'au bruit de ses douceurs, l'incomparable Ismene Quitta pour les goûter, la faveur de sa Reine, Et que cette beauté pat vi prompt chaugeusène Ne fait pas de ces lieux un petit ornement.
PHILINTE.	PHILINTE.
mi Poleigdue pueenyy uiouv ou auce elle, Il faut que ſans teſmoins le parle à eette belle, Quelque intereſt d’amour m’oblige inceſſamment.	mi Poleigue pueeni uiouv ou auce elle, Il faut que sans témoins le parle à cette belle, Quelque intérêt d'amour m'oblige incessamment.
FABRICE.	FABRICE.
Allez, je vais ſonger à mon embarquement.	Allez, je vais songer à mon embarquement.
PHILINTE, à Diane.	PHILINTE, à Diane.
Sortit ſi toſt des jeux, quel eſt voſtre ſoucy?	Sortit si tôt des jeux, quel est votre souci?
DIANE.	DIANE.
Ie fuis des importuns, & i’en retrouue icy.	Je fuis des importuns, et j'en retrouve ici.
A ij	À ij
PHGLINTE.	PHGLINTE.
Quoy, donnez vous ces noms à qui vous rend hom.	Quoi, donnez -vous ces noms à qui vous rend homm.
mabe:	mabe:
DIANE.	DIANE.
Ce que ne me plaut ponne, m importone & m’ou.	Ce que ne me plaut ponne, m importone et m'ou.
trage.	trage.
PHILINTE.	PHILINTE.
Ne quitterez vous point ces cigueurs quelque lour.	Ne quitterez -vous point ces cigueurs quelque lour.
DIANE.	DIANE.
Ouy, quand vous n’aurez plus ny d’eſpoit, ny d’amour.	Oui, quand vous n'aurez plus ni d'espoit, ni d'amour.
PMILINIE.	PMILINIE.
Faites vous cét accueil à quiconque vous ayme?	Faites -vous cet accueil à quiconque vous aime?
DIANE.	DIANE.
Quand il eſt comme vous ie le traitte de meſme.	Quand il est comme vous on le traite de même.
PHILINTE.	PHILINTE.
Du oerget ontdamane le torc eſt bien plus doux.	Du oerget ontdamane le torc est bien plus doux.
DIANE.	DIANE.
C’eſt donc alſeutenient qu’il h’elt pas comme vous,	C'est donc alsutenient qu'il hût pas comme vous,
PHILINTE.	PHILINTE.
Il vous entretenoit aux jeux tout bas,	Il vous entretenait aux jeux tout bas,
DIANE, Ie le confeſſe, Nous nous entretenions de voſtre peu d’adreſſe.	DIANE, Je le confesse, Nous nous entretenions de votre peu d'adresse.
PHILINTE.	PHILINTE.
Voſtre diſcours, ſans doute eſtoit plus ſerieux.	Votre discours, sans doute était plus sérieux.
DIANE.	DIANE.
Le voſtre me déplaiſt, oſtez vous de mes yeux.	Le vôtre me déplaît, ôtez -vous de mes yeux.
Voſtre preſence enfin aigriroit ma colere.	Votre présence enfin aigrirait ma colère.
PHILINTE.	PHILINTE.
Parlant de voſtre amant, ſçauroit on vous déplaire.	Parlant de votre amant, saurait on vous déplaire.
Iu melnageols pout luy, cet enttedien li doux.	Ju melnageols pout lui, cet enttedien li doux.
ISMENE.	ISMENE.
On ſçait bien que qui dit, Philinte, dit jaloux.	On sais bien que qui dit, Philinte, dit jaloux.
PHILINTE.	PHILINTE.
Ce qu’on pene de toy nent paschoſe ſecrette, On ſçait bien que qui dit, Iſmene) dit coquette.	Ce qu'on pene de toi nent paschose secrète, On sais bien que qui dit, Ismene) dit coquette.
ISMENE.	ISMENE.
oüy, de cét entretien tu te dois affliger, oxxauesaolda sa sacaue vos la veusxsussase	oui, de cet entretien tu te dois affliger, oxavesaolda sa sacave vos la veuxxsussase
Laiſſez nous.	Laissez nous.
DIANE.	DIANE.
2.	2.
332a Liare.	332a Liare.
On l’attend, & ie vous importune:	On l'attend, et ainsi vous importune:
tauil enctonenetoe ddey cusde doubter la fortune,	tavil enctonenetoe dis cusde doubter la fortune,
DIANE, à Iſmene.	DIANE, à Ismene.
Il ctoit que Clidamant a place dans mon cœur.	Il ctait que Clidamant a place dans mon cœur.
ISMENE.	ISMENE.
Tu n'as point d’intereſt à le tiret d'erreur, Bergere, cependant ne veux tu point te rendre, N’aymeras-tu jamris le fidele Therſandre, Luy qui par ta preſence animant ſes eſprits Seulement pour te plaite à gaigné tant de prix, Qui pour ne point donner pretexte à ta cholere, s’il ſçait beaucoup aimer, ſçait encor mieux ſe taire, Puis que l’ardent amour, dont il bruſle pour toy N’eſt connu que de toy, de Thimante & de moy.	Tu n'as point d'intérêt à le tiret d'erreur, Bergère, cependant ne veux tu point te rendre, N'aimeras-tu jamris le fidèle Thersandre, Lui qui par ta présence animant ses esprits Seulement pour te plaite à gagné tant de prix, Qui pour ne point donner prétexte à ta colère, s'il sçait beaucoup aimer, Sait encor mieux se taire, Puis que l'ardent amour, dont il brûle pour toi N'est connu que de toi, de Thymante et de moi.
DIANE.	DIANE.
Ne m’en parle jamais.	Ne m'en parle jamais.
ISMENE.	ISMENE.
Et quoy touſiours ſarouche!	Et quoi toujours sarouche!
Mais ie te veux donnet vn aduis qui te touche, Il faut quand on le peut prendre le temps qui fuit, Luy ſeul fait les beautez, & luy ſeul les deſtruit Daus l’aymable ſaiſon que cette beauté dure.	Mais fort te veux donnet un avis qui te touche, Il faut quand on le peut prendre le temps qui fuit, Lui seul fait les beautés, et et deux les détruit Daus l'aimable saison que cette beauté dure.
Vſe bien des pteſens que ta fait la nature, Tu petata, cet ctciat qui charme les erprits, Et tu ſeras vn iour vn object de mépris.	Vse bien des ptesens que ta fait la nature, Tu petata, cet cciat qui charme les erprits, Et tu seras un jour un object de mépris.
DIANE.	DIANE.
Au contraire l'amour, dont tu ſçais peu l’vſage, Fait l’office du temps, & ternit vn viſage:	Au contraire l'amour, dont tu sais peu l'usage, Fait l'office du temps, et ternit un visage:
Les ſoins qu’il met au cœur, ſes ſoucis,ſes douleurs Eiracent bien des dants, momonnent bien des fleurs;	Les soins qu'il met au cœur, ses soucis,ses douleurs Éiracent bien des dants, momonnent bien des fleurs;
Il eſt comme le temps Tytan de toutes choſes, Et ſeiche en peu de iours, & nos lys, & nos roſes.	Il est comme le temps Tytan de toutes choses, Et seiche en peu de jours, et nos lys, et nos roses.
ISMENE.	ISMENE.
Qu'vne ſemblable crainte a peu de fondement, Pour ton propte intereſt quitte ce ſentiment, Quand l’amour eſt au cœur, l’œil a plus de lumiere, Le viſage en teçoit ſa grace toute entiere, On s’eſtime, on ſe plaiſt, on ſçait ce que l’on vaut, On corrige par art juſqu’au moindre defaut, On conſulte au mitoir ſon port, ſa bonne mine, Mipind lmenvany ouncino Maſine, Et fort, ou ſoiblement on meſure ſes traits, Ou pour bleſſer de loin, ou pour bleſſet de prés, Donc pour ton intereſt, ie te le dis encore.	Qu'une semblable crainte a peu de fondement, Pour ton propte intérêt quitte ce sentiment, Quand l'amour est au cœur, l'œil a plus de lumière, Le visage en teçoit sa grâce toute entière, On s'estime, on se plaît, on sait ce que l'on vaut, On corrige par art jusqu'au moindre défaut, On consulte au mitoir son port, sa bonne mine, Mipind menvani ouncino Masine, Et fort, ou soiblement on mes ses traits, Ou pour blesser de loin, ou pour blesset de loin, Donc pour ton intérêt, ie te le dis encore.
Ayme du moins vn peu, Therſandre qui t’adore,	Aime du moins Un peu, Thersandre qui t'adore,
DIANE.	DIANE.
Certes tu me ſurprens de me parler ainſi, Toy qui n’as jamais eu d’amour, ny de ſoucy, Toy qui fais taut d’amans ſeuleueut pour ta gloire, Saus que ja nais pas vn demeure en ta memoire:	Certes tu me surprends de me parler ainsi, Toi qui n'as jamais eu amour, ni de souci, Toi qui fais taut d'amants seuleueut pour ta gloire, Saus que ja nais pas un demeure en ta mémoire:
Qui te plais tour à tour dedans leur entretien, Qui veut tout acquerir, & ne conſeruer tien, Tu ſouffres aujourd’huy Thimaute qui t’adore, Mais dy moy n'uemaitu Tayfaeras eucore,	Qui te plais tour à tour dedans leur entretien, Qui veut tout acquérir, et ne conserver tien, Tu souffres aujourd'hui Thimaute qui t'adore, Mais dis moi n'emait Taifaeras eucore,
ISMENE.	ISMENE.
I'ayme, mais l'eus touſiours ma methode en amour, L’Amant qui m’incommode eſt mon Amant d’vs iour, Pour l’amout ie ne bruſſe encor, ny ne ſouſpire, I’en fais vn jeu touſiours, & iamais vn Martyre, N’en rebutant pas vn, n’ay-je pas chaque iour Vne ſoule d’amans qui tous me font la cour, Qui tous pour m'aborder à l'enuy ſont la preſſe, Et ſur qui ie commande, & ie regne en Princeſſe, Ils penſent à me plaite, ils ventent mes appas Lors que ie vais au Temple, ils ſuiuent tous mes par Et i’ay plaiſir à voir en des Bergers ſi braues, A ma ſuitte pompeuſe vne troupe d’eſclaues;	J'aime, mais l'eus toujours ma méthode en amour, L'Amant qui m'incommode est mon Amant d'us jour, Pour l'amout apprendre ne brusse encor, Seigneur ne soupire, J'en fais un jeu toujours, et jamais une Martyre, N'en rebutant pas un, ay-je pas chaque iour Un soule amans qui tous me font la cour, Qui tous pour n'a l'envi sont la presse, Et sur qui -je commande, et ie regne en Princesse, Ils pensent a me plaite, ils ventent mesha Lors que ie vais au Temple, ils suiuent tous mes par Et ay plaisir voir en des Bergers si braues, A ma suitte pompeuse troupe esclaues;
Ie les ſatisfais tous en ſlattant leuts deſirs, si i'en fais de jaloux i’y prens mille plaiſirs, Pourueu que ces jaloux, pour l'honneut de mes charſles Ne le ſoient pas auſſi iuſqu’à prendre les armes:	Je les satisfais tous en slattant leuts désirs, si j'en fais de jaloux j'y prends mille plaisirs, Pourvu que ces jaloux, pour l'honnut de mes charsles Ne le soient pas aussi jusqu'à prendre les armes:
Car enfin ce haut poinct des eſclairciſſemens Pouttoit effatoucher tous mes autres amans.	Car enfin ce haut point des éclaircissements Poutait effatoucher tous mes autres amants.
DIANE.	DIANE.
Hà!	Hà!
que tu connois mal, l'amour & ſes maximess le voy tes changemens, ainſi qu’autant de crimes, Pout moy ſi d’vn object mon cœur eſtoit eſpris, Ie ne poutrois paſſet de l’amour au meſpris:	que tu connais mal, l'amour et ses maximess le vois tes changements, ainsi qu'autant de crimes, Pout moi si d'un object mon cœur était épris, Je ne poutrais passet de l'amour au mépris:
l’autois attachement à ma premiere idée, Et toute de ce Dieu ie ſerois poſſedée,	l'autais attachement à ma première idée, Et toute de ce Dieu je serais possédée,
ISMENE.	ISMENE.
Et bien ayme Diane au dela du tombeau, Fais naiſtre ſous ta cendre encor vn feu ſi beau,	Et bien aime Diane au déla du tombeau, Fais naître sous ta cendre encor un feu si beau,
Helas!	Hélas!
DIANE.	DIANE.
ISMENE.	ISMENE.
Par ce ſoupir, & bien que veux-tu dire.	Par ce soupir, et bien que veux-tu dire.
DIANE.	DIANE.
Ce que tu peux iuger d’vn cœur quand il ſouſpire.	Ce que tu peux juger d'une cœur quand il soupire.
ISMENE.	ISMENE.
Eſt-ce encor pour ton frere, ou bien pour vn amant, A la fin aymes tu Therſandre.	Est-ce encor pour ton frère, ou bien pour un amant, A la fin aimes tu Thersandre.
DTANE.	DTANE.
Nullement.	Nullement.
ISMENE.	ISMENE.
Parle, ie ſuis diſcrete.	Parle, Seigneur suis discrète.
DIANE.	DIANE.
Il faut que ie le die I'ay teceu dans Seuille & l’amour & la vie, Cleagenor, iſmene, eſt le nom du vainqueur, Dont i’ay la chere image empralnte dans mõ cœur.	Il faut que ici le die J'ai tecu dans Seuille et l'amour et la vie, Cleagenor, ismene, est le nom du vainqueur, Dont j'ai la chère image empralnte dans mon cœur.
ISMENE.	ISMENE.
O Dieux!	Ô Dieux!
que ce diſcours a trompé ma penſée, Pour faite des leçons i’eſtois bien addreſſée, Mais pourſuy.	que ce discours a trompé ma pensée, Pour faite des leçons j'étais bien adressée, Mais poursui.
DIANE.	DIANE.
Nos parens approuuoient noſtre amour, Et dés-ja pour l’Hymen on auoit pris le iour, Quand Nearque pouſſé par vn deſir infame Me vint ſolliciter en faueut de ſa flamme:	Nos parents approuvaient notre amour, Et déjà pour l'Hymen on avait pris le jour, Quand Nearque poussé par un désir infâme Me vint solliciter en faveut de sa flamme:
Apres tous ſes ſouſpirs ce fauory du Roy Appella ſes preſens au ſecours de ſafoy:	Après tous ses soupirs ce favori du Roi Apela ses présents au secours de safoi:
Mais enfin Ians eſpoir il reſolut ma pette, Et pour ſe ſatisfaire y vint à force ouuerte, Il voulut m’enleuer:	Mais enfin Jans espoir il résolut ma pette, Et pour se satisfaire y vint à force ouverte, Il voulut m'enlever:
Ma mere en ce moment Pour rompre le deſſein de cét enleuement Me fit prendre vn breuuage, & ſa ruſe ſubtile sema de mon trépas le bruit parmy la ville;	Ma mère en ce moment Pour rompre le dessein de cet enlèvement Me fit prendre un breuage, et sa ruse subtile sema de mon trépas le bruit parmi la ville;
En effet ſa vertu fit ſur moy tel effort, Qu’vn long ſommeil parut le ſommeil de la mort.	En effet sa vertu fit sur moi tel effort, Qu'un long sommeil parut le sommeil de la mort.
Nearque eſpouuenté de ce triſte meſſage La vint voir dans mon lict peinte ſur mon viſage, Le remors dans ſon cœur querella ſon amour, Son deſeſpoir l’arma pour le priuer du iour, Et tandis que ſon ame en eſtoit agitée, Ie fus dans vn vaiſſeau ſecrettement portée, A peine auois-je encor acheué mon ſommeil Que ie me vis ſur mer à mon premiet reſueil.	Nearque espouuenté de ce triste message La vint voir dans mon lict peinte sur mon visage, Le remors dans son cœur querella son amour, Son désespoir l'arma pour le priver du jour, Et tandis que son âme en était agitée, Je fus dans un vaisseau secrettement portée, À peine avais-je encor achevé mon sommeil Que je me vis sur mer à mon premiét réveil.
Ma nrere me contoit encor cette auanture, Et de ma feinte mort la ſecrette impoſture, Alors qu’vn prompt orage en troubla les propos, La frayeur & la mort matchoient deſſus les flots:	Ma nère me contait encor cette aventure, Et de ma feinte mort la secrète imposture, Alors qu'un prompt orage en troubla les propos, La frayeur et la mort matchaient dessus les flots:
Que te diray-je, helas!	Que te dirai-je, hélas!
noſtre nef entr’ouuette, Quelques momens apres nous marquoit noſtre perte Quand vn eſcueil la briſe, & n’en fait par morceaux Qre des pieces de bois qui flottent ſur ſes eaux:	notre nef entr'ouvette, Quelques moments après nous marquait notre perte Quand un écueil la brise, et n'en fait par morceaux Qre des pièces de bois qui flottent sur ses eaux:
Ie ue ſçay quel des Dieux prit ſoin de ma fortune, Et ſous ma main tremblante en fit tencontrer vne, Qui m’ayant fait paſſer ſut ces tombeaux mouuans.	Je suis sais quel des Dieux prit soin de ma fortune, Et sous ma main tremblante en fit tencontrer une, Qui m'ayant fait passer sut ces tombeaux mouvants.
Dans le trouble des eaux, & l’empire des vents, Me porta ſur la grere apparemment ſans vie Dans l’iſle d’Erithrée où tegne Felicie.	Dans le trouble des eaux, et l'empire des vents, Me porta sur la guerre apparemment sans vie Dans l'isle d'Erithrée où tegne Félicie.
Reuenant de la chaſſe, elle appetçeut vn corps Que la mer menaçoit encote ſur ſes bords, Et ce Dieu qui voulut acheuer ſon miracle.	Revenant de la chasse, elle appeteut un corps Que la mer menaçait encote sur ses bords, Et ce Dieu qui voulut achever son miracle.
Rendit ſon cœur ſenſible à ce triſte ſpectacle:	Rendit son cœur sensible à ce triste spectacle:
On me porta chez elle, & c’eſt à ſon ſecours Que ie dois au jour d’huy le reſte de mes iouts:	On me porta chez elle, et c'est à son secours Que tu dois au jour d'hui le reste de mes jouts:
Là ie changé de nom pour aſſeurer ma ſuite, Et pour tromper ainſi Nearque & ſa pourſuute.	Là grande changé de nom pour assurer ma suite, Et pour tromper ainsi Narque et sa poursute.
ISMENE.	ISMENE.
Quey:	Quei:
beigele, tonnom lent pas Diane.	beigele, tonnom lent pas Diane.
DIANE.	DIANE.
Non, Celie eſtoit mon ſeul & veritable nom, Et pour ma ſeureté i’ay fait à Felicie Vn rapport ſuppoſé des mal-heurs de ma vle?	Non, Celie était mon seul et véritable nom, Et pour ma sûreté j'ai fait à Félicie Un rapport supposé des malheurs de ma veule?
Depuis dans ſon Palais, i'ay trouué mon ſéjour, Ie demeure auec elle, & ie ſuis de ſa Cour, Et ſept fois le Soleiſ a tourny ſa carriere, Que i’ignore où les flots auront porté ma mere.	Depuis dans son Palais, j'ai trouvé mon séjour, Je demeure use elle, et toujours suis de sa Cour, Et sept fois le Soleis a tourny sa carrière, Que j'ignore où les flots auront porté ma mère.
TSMENE.	TSMENE.
Et ce Cleagenor ſut de tout eſclaircy?	Et ce Cléagénor sut de tout éclairci?
DIANE.	DIANE.
Helas!	Hélas!
c'ett vn des poinds qui cauſe mon ſouer Cleagenor ſurpris par la meſme impoilure!	c'ett un des poinds qui cause mon souer Cléagénor surpris par la même impoilure!
Me vint voir dans mon lict, comine en ma ſepulture:	Me vint voir dans mon lit, comine en ma sépulture:
Et mon eſtonnement, Iſmene, eſt ſans pãreil, Que le bruit de ſes cris ne rompit mon ſommeil, L’ardeur de me venger ſécha toutes ſes larmes, Son riual attaqué tomba deſſous ſes armes, Il le laiſſa pour mort, & la fureur du Roy Força Cleagenor de partir deuant moy.	Et mon étonnement, Ismene, est sans preil, Que le bruit de ses cris ne rompit mon sommeil, L'ardeur de me venger sacha toutes ses larmes, Son rival attaqué tomba dessous ses armes, Il le laissa pour mort, et la fureur du Roi Força Cleagenor de partir devant moi.
Dans ce depart, preſſé par vne iuſte crainte, Ma mere Mayas peu reicſanei de n icinte Depuis ſept ans entiers, en doute de ſon ſort, Ie ne ſçay ſi ie plains le viuant ou le mort;	Dans ce départ, pressé par une juste crainte, Ma mère Mayas pu reicsanei de n' inte Depuis sept ans entiers, en doute de son sort, Je ne sais si ie pleins le vivant ou le mort;
Cependant pour pleurer dans ma douleur amere, Et pleurer librement i’ay feint la mort d’vn frere.	Cependant pour pleurer dans ma douleur âme, Et pleurer librement j'ai feint la mort d'un frère.
ISMENE.	ISMENE.
Ton mal-heur m’eſt ſenſible, & i'allege tes ſoins, Si pour y prendre part il t’en peut reſter moins;	Ton malheur m'est sensible, et j'allège tes soins, Si pour y prendre part il t'en peut rester moins;
Ie ne condamne plus tes ſouſpirs, ny tes larmes, Mais de ces déplaiſirs enfin ſauue tes charmes;	Je ne condamne plus tes soupirs, Seigneur tes larmes, Mais de ces déplaisirs enfin sauve tes charmes;
En ce doute faſcheux porte ailleurs tes deſirs, Si ton amant eſt mort, tu perds trop de ſouſpirs, Ou bien s’il eſt viuant eſt il de l’apparence, Que pour toy qu’il croit morte il garde ſa conſtãce;	En ce doute fâcheux porte ailleurs tes désirs, Si ton amant est mort, tu perds trop de soupirs, Ou bien s'il est vivant est il de l'apparence, Que pour toi qu'il croit morte il garde sa constance;
Mais mon amant patoiſt.	Mais mon amant pâtait.
SCENE III.	SCÈNE III.
THIMANTE.	THIMANTE.
DIANE.	DIANE.
ISMENE.	ISMENE.
TOMENES A Eimames.	TOMENES A Imames.
Que viens-tu faire icy?	Que viens-tu faire ici?
THIMANTE.	THIMANTE.
l’y venois pour vn peu diuertir mon ſoucy.	l'y venais pour un peu divertir mon souci.
quel ſoucy?	quel souci?
DIANE.	DIANE.
THIMANTE.	THIMANTE.
C'eſt vn mal uont ie reſtens Iatteinte.	C'est un mal ouvont ainsi restends Jatteinte.
Qu’eſt-ce donc?	Qu'est-ce donc?
ISMENE.	ISMENE.
THIMANTE.	THIMANTE.
Tu le vas connoiſtre par ma plainte.	Tu le vas connaître par ma plainte.
