Avmndremire o	Avmndremire ô
lui cache ſon logis ainſi que ſon viſage, lui ne dit point ſon nom, pour qu’on la croye ſage?	lui cache son logis ainsi que son visage, lui ne dit point son nom, pour qu'on la croie sage?
out cela ne dit rien de bon pour ſon honneur.	out cela ne dit rien de bon pour son honneur.
?	?
vous le dis encor vous en tenez Monſieur.	vous le dis encor vous en tenez Monsieur.
DOM CARLOS.	DOM CARLOS.
t par quelle raiſon?	t par quelle raison?
ſi je la trouve laide:	si je la trouve laide:
oul me guein du man irerei pomt de lemede:	oul me guèrein du man irei pompt de lemede:
a va j’en ay plusjeurs, & te jura ma foy, qu’il faut pour m’attrapper, eſtre plusfin que moy:	a va j'en ai plusjeurs, et te jura ma foi, qu'il faut pour m'attraper, une plusfin que moi:
rine comnioi engene.	rine comnioi engène.
GUSMAN.	GUSMAN.
ah Monſieur!	ah Monsieur!
a la taille.	à la taille.
lui pouroit aujourd huy connoitre la canaille.	lui pourrait aujourd' hui connaître la canaille.
DOM- CARLOS.	DOM- CARLOS.
eſt vray qu’on a peine a la bien diſcerner.	est vrai qu'on a peine à la bien discerner,
GUSMAN.	GUSMAN.
eſt bien difficile ámoins de deviner;	est bien difficile ámoins de deviner;
SCE	SCE
SCENE SECONDE DOM CARLOS.	SCÈNE SECONDE DOM CARLOS.
GUSMAN.	GUSMAN.
BEATRIX Maſqu	BEATRIX Masqu
BEATRIX.	BEATRIX.
MOnſieur liſez cecy,	MOnsieur lisez ceci,
GUSMAN.	GUSMAN.
iſez naut que j’eſcout Vous eſtes pris pour dupe, ou bien je n’y voy goute,	Yez naut que j'escout Vous êtes pris pour dupe, ou bien je n'y vois goute,
LETTRE.	LETTRE.
La Dame du tournoy veut vous parler ce ſoir, La feneſtre eſt grillée oú vous devez vous rendre, Ne vous faites donc point attendre Puis qu’elle vous fera ſçavoir Tout ce que veut faire un cœur tendre Sans faire tort à ſon devoir.	La Dame du tournoi veut vous parler ce soir, La fenêtre est grillée où vous devez vous rendre, Ne vous faites donc point attendre Puis qu'elle vous fera sçavoir Tout ce que veut faire un cœur tendre Sans faire tort à son devoir.
Y viendrez vous?	Y viendrez -vous?
BEATRIX.	BEATRIX.
DOM CARLOS J’iray.	DOM CARLOS J'irai.
DEMIMA.	DEMIMA.
Je prendray donc le Que vous puiſſiez tous deux vous parler ſans témoin Et que vous ne ſoyez entendus de perſonne,	Je prendrai donc le Que vous puissiez tous deux vous parler sans témoin Et que vous ne soyez entendus de personne,
DOM CARLOS.	DOM CARLOS.
Et quel eſt le ſignal que ta maitreſſe donne?	Et quel est le signal que ta maîtresse donne?
Touſſez deux fois.	Toussez deux fois.
BEATRIX.	BEATRIX.
DOM CARLOS.	DOM CARLOS.
BEATRIX.	BEATRIX.
La feneſtre eſt icy.	La fenêtre est ici.
ous eſtes ce me ſemble aſſez bien éclaircy.	ous êtes ce me semble assez bien éclairci.
on nom c’eſtDOM CARLOS.	on nom c'estDOM CARLOS.
BEATRIX.	BEATRIX.
n ſume que jay lait mon meſſage, tque je n’oſe pas en dire d’avantage.	n sume que jay lait mon message, tque je n'ose pas en dire d'avantage.
GUSMAN.	GUSMAN.
uisqu’elle veut vous taire & ſa race, & ſon nom:	uisqu’elle veut vous taire et sa race, et son nom:
crains pour ſa naiſſance, ou je la croy guenon.	crains pour sa naissance, ou je la crois guenon.
BEATRIX.	BEATRIX.
ô le beau diſcoureur!	ô le beau discoureur!
GUSMAN.	GUSMAN.
Quiconque porte un maſque, eut cacher aiſément un viſage fantaſque, qui cache ſon nom ſous un minois regent, dire verité, ne vaut pas grand argent.	Quiconque porte un masque, eut cacher aisément un visage fantasque, qui cache son nom sous un minois régent, dire vérité, ne vaut pas grand argent.
BEATRIX.	BEATRIX.
cappene ca legtue	capène ca légue
GUSMANS SILEEC  Cette grande apparence, e grand minois maſqué, voila ce que je penſe.	GUSMANS SILEC Cette grande apparence, eu grand minois masqué, voilà ce que je pense.
DOM CARLOS.	DOM CARLOS.
ay toy.	ai toi.
Dis moy ſon nom, ne medeguiſe ricin	Dis -moi son nom, ne medeguise ricin
AI BEATRIX.	AI BEATRIX.
le a de la naiſſance, elle a beaucoup de bien:	le a de la naissance, elle a beaucoup de bien:
ais pour ſon nom, Monſieur, je ne puis vous le dire y trop parlé peuteſtre.	ais pour son nom, Monsieur, je ne puis vous le dire y trop parlé peutêtre.
Adieu je me retire,	Adieu je me retire,
OORUMODOM CARLOS.	ORUMODOM CARLOS.
loy ſi toſt.	loi si tôt.
Ta maiſtreſſe eſt belle?	Ta maîtresse est belle?
BEATRIX.	BEATRIX.
Aſsûrément	Assurément
GUSMAN.	GUSMAN.
Avez vous peur Monſieur, qu’elle diſe autrementUn peu d’aide dit on fait grand bien d’ordinaire, Et l’on s’en ſervira peuteſtre pour vous plaire.	Avez -vous peur Monsieur, qu'elle dise autrementUn peu d'aide dit on fait grand bien d'ordinaire, Et l'on s'en servira peutêtre pour vous plaire.
emeimdes, Parleras tu tousjours?	Emeimdes, Parleras -tu toujours?
GHSMAN.	GHÊMAN.
Non Monſieur, je me t	Non Monsieur, je me t
BEATRIX.	BEATRIX.
Puisque tu ne dis mot, à preſent je m’en vais.	Puisque tu ne dis mot, à présent je m'en vais.
Adieu beau babillard.	Adieu beau babillard.
DOM CARLOS Vas je ſçauray m’y renc	DOM CARLOS Vas je saurai m'y renc
GUSMAN.	GUSMAN.
Adieu nez de velours je ne puis plus t’entendre.	Adieu nez de velours je ne puis plus t'entendre.
Ta maiſtreſſe t’attend, tu devrois t’en aller.	Ta maîtresse t'attend, tu devrais t'en aller.
BEATRIX Cette icule douccur inc icra detalcr Je ſuis vótre ſervante adorable pecore, Je vous eſtime fort, vous aime, & vous honnore.	BEATRIX Cette icule doucur inc ra détalcr Je suis vaître servante adorable pécore, Je vous estime fort, vous aime, et vous honore.
DCDES RRCOMEDIIIE.	DCDES RRCOMEDIIE.
LEVOEI DOM CARLOS.	LEUOEI DOM CARLOS.
GUSMAN.	GUSMAN.
DOM CARLOS.	DOM CARLOS.
Uſman elle te raille avec quelque raiſon.	Usman elle te raille avec quelque raison.
4	4
GUSMAN.	GUSMAN.
D’accord:	D'accord:
mais je ne ſuis pas pris pour un oiſon.	mais je ne suis pas pris pour un oison.
On vous cache le nom, on vous donne eſperance, Et vous aimez, Monſieur, ſur la ſeule apparence.	On vous cache le nom, on vous donne espérance, Et vous aimez, Monsieur, sur la seule apparence.
DOM CARLOS.	DOM CARLOS.
ſman, ſurſon eſprit je juge ſa beauté.	sman, surson esprit je juge sa beauté.
crois qu’elle a du bien, & de la qualité.	crois qu'elle a du bien, et de la qualité.
GUSMAN.	GUSMAN.
ceque la ſuiuante à jase conie quattie:	ceque la suivante à jase conie quattie:
is de ce qu’elle a dit, s’il vous falloit rabbatre:	is de ce qu'elle a dit, s'il vous fallait rabattre:
DOM CARLOS.	DOM CARLOS.
adroit terminer apres le different.	adroit terminer es le différent.
s s’il falloit.	 s'il fallait.
GUSMAN.	GUSMAN.
ʳ - -	ʳ - -
DOM CARLOS.	DOM CARLOS.
Tay toy, japperçois Dom Fernand.	Tais -toi, japperçois Dom Fernand.
SCEIE QAAITMENIE M CARLOS.	SCEIE QAITMENIE M CARLOS.
DOM FERNAND.	DOM FERNAND.
GUSMAN	GUSMAN
DOM CARLOS.	DOM CARLOS.
Ous me voyez comblé d’une grande allegreſſe.	Ous me voyez comblé d'une grande allégresse.
Si vous ne le ſçavez!	Si vous ne le savez!
jay fait une maiſtreſſe.	jay fait une maîtresse.
Den lenmbe .	Den lenmbe .
foy j’en ſuis ravy:	foi j'en suis ravi:
mais c’eſt eſtre diſcret, de ne m’a voir pas découvert ce ſecret.	mais c'est être discret, de ne m'a voir pas découvert ce secret.
ſtre amitié s’en plaint:	stre amitié s'en plaint:
DOM CARLOS.	DOM CARLOS.
Ene doit peus en plaindre.	Éne doit pus en plaindre.
us ſçavez que pour vous je ne ſçûs jamais feindre:	us sçavez que pour vous je ne su jamais feindre:
epuis ce temps lá je vous euſſe trouvé, ous aurois conté, ce qu’il m’eſt arrivé:	epuis ce temps l' il vous eusse trouvé, ous aurais conté, ce qu'il m'est arrivé:
il eſt temps encor de vous dire l’hiſtoire.	il est temps encor de vous dire l'histoire.
GUSMAN.	GUSMAN.
ieur, ne dites rien, ſi vous m’en voulez croire.	jeur, ne dites rien, si vous m'en voulez croire.
DOM CARLOS.	DOM CARLOS.
Tay toy.	Tais -toi.
Dans le tournoy ne vous ſouvient il pas, Que j’entretins long temps une Dame tout bas.	Dans le tournoi ne vous souvient il pas, Que j'entretins long temps une Dame tout bas.
DOM FERNAND.	DOM FERNAND.
Ouy, je m’en ſouviens bien.	Oui, je m'en souviens bien.
DOM CARLOS.	DOM CARLOS.
C'eſt cette aymable Dar Qui par ſon bel eſprit a captivé mon ame.	C'est cette aimable Dar Qui par son bel esprit a captivé mon âme.
Elle ne me hait point, à ce que je puis voir, Et m’a par un billet flatté de quelque eſpoir:	Elle ne me hait point, à ce que je puis voir, Et m'a par un billet flatté de quelque espoir:
y meſme rendez vous ce ſoir a ſa feneſtre.	y rendre rendez -vous ce soir a sa fenêtre.
Cur aMd Cuoy ntoit.	Cur aMd Cuoy ntait.
DOM FERNAND.	DOM FERNAND.
DOM FERNAND Quoy cela pourroit il eſt DOM CARLOS.	DOM FERNAND Quoi cela pourrait il est DOM CARLOS.
Le Stile en eſt galant, n’eſt il pas vray?	Le Style en est galant, n'est -il pas vrai?
Dun lenador,  EUT d’ac Selon ce qu’elle écrit, l’amour chez elle eſt fort.	Dun lénador, EUT d'ac Selon ce qu'elle écrit, l'amour chez elle est fort.
Elle eſt belle ſans doute:	Elle est belle sans doute:
GUSMAN.	GUSMAN.
Il ne l’a jamais veúe.	Il ne l'a jamais veúe.
D’un maſque ſur le nez, elle eſt tous ours pourveüe Sa ſuivante eſt de méme:	D'un masque sur le nez, elle est tous ours pourvue Sa suivante est de même:
& des le Secondjour, Notez, qu’un rendez vous luy marque ſon amour, Qu’un poulet qui s’explique en termes ſpecifiques, Luy fait voir qu’elle eſt peu novice en ces pratique u'elle ſçait ſon métier honneſtement par cœur:	et des le Secondjour, Notez, qu'un rendez vous lui marque son amour, Qu'un poulet qui s'explique en termes spécifiques, Lui fait voir qu'elle est peu novice en ces pratique elle sçait son métier honnêtement par cœur:
t tout cela ne peut le retirer d’erreúr.	t tout cela ne peut le retirer d'erreúr.
eplus ce que je tiens á ſort mauvais augure, ouchant cette nouvelle & charmante a vanture, cie que rontale iounom, on cacheromumioys, t je dis lá deſſus, fi juſques á dix fois.	éplus ce que je tiens „ sort mauvais augure, ouchant cette nouvelle et charmante a venture, cie que rontale jounom, on cacheromioys, tiens je dis lois dessus, fi jusques dix fois.
DOM FERNAND.	DOM FERNAND.
my, voila peuteſtre une bonne fortune:	mi, voilà peutestre une bonne fortune:
ous devez craindre auſſi, qu’elle ne ſoit commune.	ous devez craindre aussi, qu'elle ne soit commune.
n’ay pas le deſſein de vous faire leçon:	n'ai pas le dessein de vous faire leçon:
ais on traite l’amour icy d’autre façon.	ais on traite l'amour ici d'autre façon.
taminez la bien auant que de promettre.	taminez la bien avant que de promettre.
ous Ileltes ponit hannjeneroy cecte lettre:	ous Ilètes ponit hannjenerai cecte lettre:
aſchez de découvrir ce qu’elle a ſur le cœur, n’allez point ſi toſt riſquer vòtre bonheur.	achez de découvrir ce qu'elle a sur le cœur, n'allez point si tôt risquer vòtre bonheur.
DOM CARLOS.	DOM CARLOS.
ſuivray vótre avis:	suivrai votre avis:
mais il faut que j’avoúe.	mais il faut que j'avoùue.
luireiprie il parrait merite qu’on le loüe.	luireiprie il parrait mérite qu'on le loue.
DOM FERNAND.	DOM FERNAND.
vous tiens fort heureux, s’il faut que ſa beauté gale lon eiprit;	vous tiens fort heureux, s'il faut que sa beauté gale lon eiprit;
a vec la quante.	a vec la quante.
GUSMAN.	GUSMAN.
ſeroit en effet le plus heureux des hommes, l’on en voit encor dans le ſiecle oú nous ſommes.	serait en effet le plus heureux des hommes, l'on en voit encor dans le siècle oú nous sommes.
DOM FERNAND.	DOM FERNAND.
FPERRTCON	FPERTCON
DOM CARLOS ô Ciel qu’elle a d’appas?	DOM CARLOS ô Ciel qu'elle a d'appas?
GHSMAN.	GHÊMAN.
le maſque eſtoit tel je ne vous plaindroys pas.	le masque était tel je ne vous plaindrais pas.
bordons la.	bordons la.
DOM CARLOS.	DOM CARLOS.
GHSMANMa foy, je ſuis desja pour elle Dom Fernand n’eſt pas fat, il ſe connoit en belle	GHSMANMa foi, je suis déjà pour elle Dom Fernand n'est pas fat, il se connaît en belle
SCENE CINQIEME DOM CARLOS.	SCÈNE CINQIEME DOM CARLOS.
EEHIECMMIET LEONOR GUSMAN.	EEHICMIET LEONOR GUSMAN.
DOM FERNAND Adame ſi l’amour, dont je reſſens le coups, AVI Me faiſoit expliquer, ce que je ſens pour vous, Quelle douceur pour moy, qu’un mot de vôtre boucl Daignaſt me repeter le bonheur oú je touche, Que devant cet amy mon eſpoir confirmé Euy ne voir clairement, commie je luis anie.	DOM FERNAND Adame si l'amour, dont je ressens le coups, AVI Me faisait expliquer, ce que je sens pour vous, Quelle douceur pour moi, qu'un mot de votre boucl Daignast me répéter le bonheur oú je touche, Que devant cet ami mon espoir confirmé Eui ne voir clairement, commie je luis anie.
Ne me refuſez point cette grace, Madame, Jl ſçait tous mes ſecrets -	Ne me refusez point cette grâce, Madame, Jl sçait tous mes secrets -
LEONOR.	LEONOR.
Je reçoy vôtre flame Devanccecher amy je vous lais cet avcu, Et pour vous témoigner, ſi je l’eſtime peu, Je ſortois ápreſent pour faire une viſite, voulez vous m’y conduire, il eſt lart.	Je reçois votre flamme Dévanccecher ami je vous lais cet aucu, Et pour vous témoigner, si je l'estime peu, Je sortais ápresent pour faire une visite, voulez -vous m'y conduire, il est lart.
DOM FERNAND.	DOM FERNAND.
Je vous quitte Je vais oú me commande un objet ſi charmant, Et vous m’excuſerez puisque je ſuis amant.	Je vous quitte Je vais oú me commande un objet si charmant, Et vous m'excuserez puisque je suis amant.
SCENE SIXIEME DOM CARLOS.	SCÈNE SIXIÈME DOM CARLOS.
GUSMAM.	GUSMAM.
H Guſman!	H Gusman!
A DOM CARLOS.	À DOM CARLOS.
GusMaN.	GusMaN.
Ah Monſieur!	Ah Monsieur!
DOM CARLOS.	DOM CARLOS.
Que Leonor eſt bellel	Que Leonor est bellel
GUSMAN.	GUSMAN.
eſt ce que j’alloys dire.	est ce que j'allais dire.
Ah ſi l'autre eſtoit telle!	Ah si l'autre était telle!
ue vous ſeriez heureux:	Que vous seriez heureux:
car icy l’on voit bien, de l’autre cóté l’on ne voit encor rien.	car ici l'on voit bien, de l'autre céleste l'on ne voit encor rien.
l’on vous attrappoit, cela ſeroit horrible.	l'on vous attrapait, cela serait horrible.
DOM CARLOS.	DOM CARLOS.
elas je ſonge a vous trop aimable inviſible:	elas je songe a vous trop aimable invisible:
n que ſi vous eſtiez ſemblable á Leonor, vous eſtimeroi dir precieua ciclor.	n que si vous étiez semblable „ Leonor, vous estimerai dir précieua ciclor.
ne douterois plus touchant vôtre naiſſance, vos yeux ſur mon cœur auroient toute puiſſance.	ne douterais plus touchant votre naissance, vos yeux sur mon cœur auraient toute puissance.
GUSMAN.	GUSMAN.
quoy ſervent icy tant de plaintes en l’air, ous avez rendez vous, ne ſçauriez vous parler?	quoi servent ici tant de plaintes en l'air, ous avez rendez -vous, ne sauriez vous parler?
ous n’avez point perdu l’uſage de la langue:	ous n'avez point perdu l'usage de la langue:
picy, comme á peu pres, je ferois ma harangue c’eſtoit mon affaire, & qu’on parlaſt á moy.	pici, comme „ peu pres, je ferais ma harangue c'était mon affaire, et qu'on parlât moi.
adame, je ne puis aimer, ſi je ne voy, ous pouvez vous montrer, vous eſtes aſſez proche, je ne ſuis point homme a prendre chut du põche;	adme, je ne puis aimer, si je ne vois, ous pouvez vous montrer, vous êtes assez proche, je ne suis point homme à prendre chut du penche;
vous me connoiſſez, je ne vous connois point:	vous me connaissez, je ne vous connais point:
rant de paſſer outre eclairciſſons ce point:	rant de passer outre éclaircissons ce point:
ne puis vous aimer, ſans ſçavoir qui vous eſtes, un mot je ſuis las de toutes vos ſornettes.	ne puis vous aimer, sans savoir qui vous êtes, un mot je suis las de toutes vos sornettes.
DOM CARLOS.	DOM CARLOS.
parles en brutal.	parles en brutal.
S’il faut douter, doutons.	S'il faut douter, doutons.
SCE	SCE
SCENE SEPTIEME LITTICITCESSE PORCIE á la feneſtre grillée.	SCÈNE SEPTIÈME LITTICITCESE PORCIE la fenestre grillée.
DOM CARLOS.	DOM CARLOS.
GUSMAN.	GUSMAN.
dans la ruë.	dans la rue.
CUS MANSi ſes raiſonnemens peuvent eſtre capables, Ecoutons De paſſer dans l’eſprit pour raiſons raiſonnables.	CVS MANSi ses raisonnements peuvent être capables, Écoutons De passer dans l'esprit pour raison raisonnables.
LA PRINCESSE PORCIE.	LA PRINCESSE PORCIE.
Ce n’eſt pas ſans deſſein, que je vous ay mandé.	Ce n'est pas sans dessein, que je vous ai mandé.
Quoy!	Quoi!
nôtre different, le croyez vous vuidé:	notre différent, le croyez vous vidé:
Vous n’en eſtes pas quitte, & vous devez connoitre, Qui faut plus d’un combat pour vous rendre mõ maiti Pour cela ſeulement je vous ay fait venir.	Vous n'en êtes pas quitte, et vous devez connaître, Qui faut plus d'un combat pour vous rendre mon maiti Pour cela seulement je vous ai fait venir.
Je crains peu:	Je crains peu:
puis qu’enfin j’ay ſceu vous prevenir.	puisque eenfin j'ai su vous prévenir.
Vous voyez qu’á preſent ie ne ſuis point poltronne.	Vous voyez qu'a insi ne suis point poltronne.
DOM CARLOS.	DOM CARLOS.
Non pas:	Non pas:
mais je vous croy quelque peu fanfaronne.	mais je vous crois quelque peu fanfaronne.
Vous m’oſez menacer aſſez inſolemment, Et vous vous defendez fort mediocrement.	Vous m'osez menacer assez insolemment, Et vous vous défendez fort médiocrement.
Si vous me combattez au travers d’une grille, Vous vaincrez aiſément, la victoire eſt gentille!	Si vous me combattez au travers d'une grille, Vous vaincrez aisément, la victoire est gentille!
Un combat de la ſorte eſt bien long á vuider, Et i’aurois de le honte a vous le demander.	Un combat de la sorte est bien long 7 vider, Et j'aurais de le honte a vous le demander.
Pour moy, ſi je voulois attaquer une place, Je voudrois la combattre, au moins, de bonne grace je vouurois me montrer, & la forcer apres.	Pour moi, si je voulais attaquer une place, Je voudrais la combattre, au moins, de bonne grâce je vourais me montrer, et la forcer après.
LA PRINCESSE PORCIE, Quand il en ſera temps nous nous voirons de pres, Et ſi j’ay differé de montrer mon viſage, La cauſe ne vient pas du defaut de courage:	LA PRINCESSE PORCIE, Quand il en sera temps nous nous voirons de pres, Et si j'ai différé de montrer mon visage, La cause ne vient pas du défaut de courage:
Si vous n’avez point ſçeu juſques icy me voir.	Si vous n'avez point su jusques ici me voir.
’ay voulu vous connoiſtre, & j’ay fait mon devoir.	’ay voulu vous connoistre, & j’ay fait mon devoir.
Quoy que vous ayez fait au tournoy des merveilles, ay voulu vous combattre avec armes pareilles.	Quoi que vous ayez fait au tournoi des merveilles, ai voulu vous combattre avec armes pareilles.
ii voſtre cœur eſtoit moins libre que le mien, Vous auriez l’avantage, & vous ferlez crop bien, e ſerois au combat vainement animée, it comme, enfin, de vous je me ſuis informée	ji votre cœur était moins libre que le mien, Vous auriez l'avantage, et vous ferlez crop bien, e serois au combat vainement animée, it comme, enfin, de vous je me suis informée
PUA CARLOS.	PUA CARLOS.
Qu’avez vous decouvert de l’information?	Qu'avez -vous découvert de l'information?
Comment avez vous ſçeu quelle eſt ma paſſion.	Comment avez vous su quelle est ma passion.
LA PRINCESSE PORCIE.	LA PRINCESSE PORCIE.
que nous pouvons tous deux eſtre aſſez l’ũ pour l’autre.	que nous pouvons tous deux être assez l'un pour l'autre.
t que ma qualité peut égáler la vôtre, C.	t que ma qualité peut égáler la vôtre, Ç.
jo touy amie alſez pour vous donner la main	jo toui amie alsez pour vous donner la main
GUSMAN.	GUSMAN.
je ne ſuis trompé l’affaire eſt en bon train:	je ne suis trompé l'affaire est en bon train:
lle a des ja touché la corde Principale.	lle a des ja touché la corde Principale.
DOM CARLOS.	DOM CARLOS.
a choſe, á mon avis, n’eſt point du tout égalle, t pour vous éclaircir en peu de mots ce point:	à chose, „ mon avis, n'est point du tout égale, t' pour toit éclaircir en peu de mots ce point:
ous me voyez Madame, & je ne voue toſ point, ous ſçauez qui je ſuis, je ne ſçay qui vous eſtes, j’entens ſeulement les diſcours que vous faites, el jugement de vous feray je ſur le ſoin, vous cacher ſans ceſſe & parler ſans témoin;	ous me voyez Madame, et je ne voue tos point, ous sçauez qui je suis, je ne sais qui vous êtes, j'entends seulement les discours que vous faites, elle jugement de vous ferai je sur le soin, vous cacher sans cesse et parler sans témoin;
