De Voſtre Majeſté,	De Votre Majesté,
Timandre, cours apres;	Timandre, cours après;
ſois propice à ma flame, Et rameine à mes yeux cét obiect de mon ame.	sois propice à ma flamme, Et ramène à mes yeux cet objet de mon âme.
TIMANDRE.	TIMANDRE.
Vous deuez, differer ces friuoles amours, Car vos affaires, Sire, ont pris vn autre cours;	Vous devez, différer ces frivoles amours, Car vos affaires, Sire, ont pris un autre cours;
Elles ſont d’importance, & ſont trop auancees, Pour ſouffrir maintenant de ſi baſſes penſees;	Elles sont d'importance, et sont trop avances, Pour souffrir maintenant de si basses pensées;
LE ROY.	LE ROY.
En connois-tu le genre, as-tu leu dans mon ſein?	En connais-tu le genre, as-tu lu dans mon sein?
Deſcouures-tu ma flame, & ſçay tu mon deſſein?	Découvres-tu ma flamme, et sais tu mon dessein?
Croy tu que la Nature ait produit vn viſage, Beau comme cét obiect de mon nouueau ſeruage;	Crois -tu que la Nature ait produit un visage, Beau comme cet objet de mon nouveau servage;
Cours, treuue ces beaux yeux qui m’ont rauy les ſens, Fay que ie rende hommage à ces aſtres naiſſans.	Cours, trouve ces beaux yeux qui m'ont ravi les sens, Fais que deux rende hommage à ces astres naissants.
TIMANDRE.	TIMANDRE.
OIfunt qu ont puſfamne un jui comtant de force, Il faut qu'elle ait vsé d’vne ſecrete amorce;	ÔIfunt qu ont pusfamne un jui comtant de force, Il faut qu'elle ait vsé d'une secre amorce;
Elle porte ſur ſoy quelque charme caché, Dont elle a voſtre cœur ſi promptement touché.	Elle porte sur soi quelque charme caché, Dont elle a votre cœur si promptement touché.
LE I OY.	LE I OY.
Ne les as-tu pas veus ces adorables charmes?	Ne les as-tu pas vus ces adorables charmes?
Ton cœur comme le mien ne rend-il pas les armes?	Ton cœur comme le mien ne rend-il pas les armes?
Et n'aaort ctu paxtes par fuites veautez Par qui cette ſorciere a mes ſens enchantez?	Et n'aort ctu paystes par fuites veautez Par qui cette sorcière a mes sens enchantez?
Pourquoy ne veux-tu pas, me voyant de la ſorte Qu'amour m'ait méconnu ſouz l’habit que ie porte?	Pourquoi ne veux-tu pas, me voyant de la sorte Qu'amour m'ait méconnu sous l'habit que personne porte?
Et qu’ignorant le ſort qui preſide à mes ans, Il m'ait bleßé des traits qu’il décoche aux payſans.	Et qu'ignorant le sort qui préside à mes ans, Il m'ait blesié des traits qu'il décoche aux paysans.
TIMANDRE.	TIMANDRE.
Donc vn remede aisé pourra guider voſtre ame, Il fautchanger d'habits, vous changerez de flame;	Donc un remède aisé pourra guider votre âme, Il fautchanger d'habits, vous changerez de flamme;
LE ROY.	LE ROY.
Toy, change de propos;	Toi, change de propos;
quand cét obiect vainqueur Ne me charmera plus ie n'auray plus de cœur;	quand cet objet vainqueur Ne me charmera plus ici n'aurai plus de cœur;
Dans le mal que ie ſens ie ne veux point qu'on m’aide, Et ton mal-heur ſeroit le prix de ton remede;	Dans le mal que je sens sensible ne veux point qu'on m'aide, Et ton malheur serait le prix de ton remède;
Atteins ce rare obiect, conte luy mon amour, Et me l’ameine à Bude, où i’attens ton retour.	Atteins ce rare objet, conte lui mon amour, Et me l'amène à Bude, où j'attends ton retour.
TIMANDRE va chercher ROSELIE;	TIMANDRE va chercher ROSELIE;
LE ROY & ſes Caualiers s’en vont à Bude.	LE ROY et ses Cavaliers s'en vont à Bude.
DCENE III.	DCENE III.
ROSELIE, FLORIS.	ROSELIE, FLORIS.
OSELIE.	OSELIE.
V'elle tarde à venir;	V'elle tarde à venir;
FLORIS.	FLORIS.
Vienne, ou ne vienne pas, Que ie perde le iour ſi ie vous ſuy d’vn pas;	Vienne, ou ne vienne pas, Que ie perde le jour si tu vous suivi d'un pas;
ROSELIE.	ROSELIE.
Tu dois apprehender que ie ne ſois connuë;	Tu dois appréhender que je ne sois connue;
Car ta ſeule priere a causé ma venuë;	Car ta seule prière a causé ma venue;
Toy ſeule tu m’as miſe au point où me voicy, Ie mourrois de regret que l’on me viſt ainſi;	Toi seule tu m'as mise au point où me voici, Je mourrais de regret que l'on me vît ainsi;
Combien ſur ma folie on treuueroit à mordre, Mon col est bien orné, mes cheueux en bel ordre;	Combien sur ma folie on trouverait à mordre, Mon col est bien orné, mes cheveux en bel ordre;
Ie rougis ſeulement de paraiſtre aies yeux, Mais c'eſt pour obliger ton eſprit curieux.	Je rougis seulement de paraître aies yeux, Mais c'est pour obliger ton esprit curieux.
LORIS.	LORIS.
Quoy vous ne croyez pas eſtre aſſez agreable?	Quoi vous ne croyez pas être assez agréable?
Ie meure ſi iamais vous fuſtes plus aimable, Si deſſous ces habits vous n'auez des appas, Que les perles & l’or ne vous donneroient pas, L’art ne peut aiguiſer des traits comme les voſtres, Jl ſied à des beautez, il ne ſied pas à d’autres;	Je meure si jamais vous fûtes plus aimable, Si dessous ces habits vous n'avez des appas, Que les perles et l'or ne vous donneraient pas, L'art ne peut aiguiser des traits comme les vôtres, Jl sied à des beautés, il ne sied pas à d'autres;
Vn viſage commun s’embellit par le fard;	Un visage commun s'embellit par le fard;
Vn beau n’a point beſoin des ornemens de l’art;	Un beau n'a point besoin des ornements de l'art;
Comme vn autre, iadis le mien eut quelque grace:	Comme un autre, jadis le mien eut quelque grâce:
Mais qui n'eſclate plus, la vieilleſſe l’efface, Alors tous mes amans s’accordoient en ce point, Tue les plus beaux habits ne m'embelliſſoient point, Qu'ils aimoient ſeulement ma beauté naturelle, Qu'auec tant d’ornemens ie paroiſſois moins belle, Et que de beaux obiects, comme la verité, N’eſclatent iamais tant qu'en la ſimplicité.	Mais qui n'éclate plus, la vieillesse l'efface, Alors tous mes amants s'accordaient en ce point, Tue les plus beaux habits ne m'embellissaient point, Qu'ils aimaient seulement ma beauté naturelle, Qu'avec tant d'ornements ie paroissois moins belle, Et que de beaux objets, comme la vérité, N'éclatent jamais tant qu'en la simplicité.
Que le temps eſt change;	Que le temps est change;
maintenant mes ortiues Ne ſe repaiſſent plus de loüanges pareilles.	maintenant mes ortives Ne se repaissent plus de louanges pareilles.
ROSELIE.	ROSELIE.
Helas!	Hélas!
te desplaiſt-il d’eſtre ſans amoureux, Regarde en quel estat on m'a miſe poureux Tu me vois exilee en ce pais champestre, Hors du doux element où le Ciel m'a fait naiſtre;	te déplaît-il d'être sans amoureux, Regarde en quel état on m'a mise poureux Tu me vois exilée en ce pais champêtre, Hors du doux élément où le Ciel m'a fait naître;
Mon frere me deffend de paroiſtre à la Cour;	Mon frère me défend de paraître à la Cour;
Il accuſe mes yeux de donner trop d’amour;	Il accuse mes yeux de donner trop d'amour;
Ayant appris qu'Alcandre eſtimoit mon viſage, Il me retient captine en ce pais ſauuage, Où les bois & les eaux ſont tout ce que ie voy, Où ie n'ay d’entretien que mes penſers & toy.	Ayant appris qu'Alcandre estimait mon visage, Il me retient captine en ce pais sauvage, Où les bois et les eaux sont tout ce que je vois, Où grands n'ai d'entretien que mes pensers et toi.
Alcandre me pluife jorr, ecji on uimaute Prince, S’il en veſcut iamais dedans cette Prouince.	Alcandre me pluife jorr, ecjà on uimaute Prince, S'il en vécut jamais dedans cette Province.
Que vous ſeriez heureuſe en viuant ſouz ſa loy, C’est vn charmant eſpoux que le frere d'vn Roy.	Que vous seriez heureuse en vivant ils sa loi, C'est un charmant époux que le frère d'un Roi.
Quel homme vient à nous?	Quel homme vient à nous?
ROSELIE, le regardant.	ROSELIE, le regardant.
Que le ſort m'eſt contraire!	Que le sort m'est contraire!
EstituQui m'expoſe ainſi faite aux regards de mon frere?	ÉtituQui m'expose ainsi faite aux regards de mon frère?
Cachons nous d’vn mouchoir au mieux qu'il ſe pourra, Au moins ſic'eſt en vain, la feinte luy plaira.	Cachons nous d'un mouchoir au mieux qu'il se pourra, Au moins sic'est en vain, la feinte lui plaira.
Elles s’en veulent aller.	Elles s'en veulent aller.
TIMANDRE.	TIMANDRE.
Vn mot, la Belle, vn mot,	Un mot, la Belle, un mot,
ROSELIE.	ROSELIE.
quatre ſi bon vous ſemble;	quatre si bon vous semble;
Ie ſens rougir mon front, & tout le corps me tremble.	Je sens rougir mon front, et tout le corps me tremble.
TIMANDRE.	TIMANDRE.
Pourquoy me cachez vous la douceur de ces yeux?	Pourquoi me cachez -vous la douceur de ces yeux?
ſe laus Par qui l’Amour a fait vn coup ſi glorieux;	se laus Par qui l'Amour a fait un coup si glorieux;
do Connorſſen com toin gruce nen ſpauez, vous la force;	do Connaissen com toin gruce nen spavez, vous la force;
Craignez vous que mon cœur ſe rende à leur amorce;	Craignez -vous que mon cœur se rende à leur amorce;
Tiennent-ils à meſpris le titre de vainqueurs;	Tiennent-ils à mépris le titre de vainqueurs;
Ne deſirent-ils pas l’eſtre de tous les cœurs?	Ne désirent-ils pas l'être de tous les cœurs?
ROSELIE.	ROSELIE.
Simple, & qui n’ay iamais frequenté les eſcoles, Ie ne puis que reſpondre à ces belles paroles;	Simple, et qui n'ai jamais fréquenté les écoles, Je ne puis que répondre à ces belles paroles;
TIMANDRE.	TIMANDRE.
Donc ſans me repartir, accompagnez mes pas, Le Roy veut rendre hommage à vos diuins appas:	Donc sans me repartir, accompagnés mes pas, Le Roi veut rendre hommage à vos divins appas:
ROSELIE.	ROSELIE.
C'eſt peut-eſtre auiourd'huy la Feſte du village, Et c'eſt le Roy du bal qui me veut rendre hommage.	C'est peut-être aujourd'hui la Fête du village, Et c'est le Roi du bal qui me veut rendre hommage.
TIMANDRE.	TIMANDRE.
Non, le Roy de Hongrie adore vosbeautez, Vos charmes ſans pareils ont ſes yeux enchantez;	Non, le Roi de Hongrie adore vosbeautez, Vos charmes sans pareils ont ses yeux enchantez;
Il auoit reſolu de voir icy la Reine, qu ciointu pou Eſunifiuu ui fouueraine, Et ſouz de faux habits, l’attendant en ces lieux, Jl s'eſt treuué ſurpris à l’eſclat de vos yeux.	Il avait résolu de voir ici la Reine, qu' inointu pou Esunifiuu ui souveraine, Et souz de faux habits, l'attendant en ces lieux, Jl s'est treuué surpris à l'éclat de vos yeux.
ROODDLEI Et vous, qui m’apportez, ceste heureuſe nouuelle, Vous auez pris le ſoing d’vne charge ſi belle!	RODLEI Et vous, qui m'apportez, cette heureuse nouvelle, Vous avez pris le soin d'une charge si belle!
TIMANDRE.	TIMANDRE.
Pleuſt au Ciel qu'on luy peuſt déplaire impunément, Et ſecouer le ioug de ſon commandement;	Plût au Ciel qu'on avait pu déplaire impunément, Et secouer le joug de son commandement;
Au lieu de vous conter que ce Prince vous aime;	Au lieu de vous conter que ce Prince vous aime;
Que ie ſerois heureux de parler pour moy meſme:	Que ici serais heureux de parler pour moi -même:
Mais las!	Mais las!
ie ſuis reduit ſous la ſeuere loy, De prier pour vn autre, & deſirer pour moy.	Ne suis réduit sous la sévère loi, De prier pour un autre, et désirer pour moi.
ROSELIE.	ROSELIE.
N’en ſoyez, point ialoux;	N'en soyez, point jaloux;
ſelon que ie propoſe, Etvous, & ce grand Prince obtiendrez meſme choſe, Car pour toute faueur vous n'aurez, qu'vn adieu.	selon que ie propose, Etvous, et ce grand Prince obtiendrez même chose, Car pour toute faveur vous n'aurez, qu'un adieu.
TIMANDRE.	TIMANDRE.
Non, ce n'eſt pas ainſi que l’on ſort de celieu:	Non, ce n'est pas ainsi que l'on sort de celieu:
Il faut ſuiure mes pas, ma charge eſt trop expreſſe, Songez de quelle part ma parole vous preſſe;	Il faut suivre mes pas, ma charge est trop expresse, Songez de quelle part ma parole vous presse;
Vous deußiez eſtimer cét honneur glorieux D'vn amant, gardez vous de faire vn furieux.	Vous deviez estimer cet honneur glorieux D'un amant, gardez vous de faire un furieux.
ROSELIE, s'oſtant le mouchoir du viſage.	ROSELIE, s'ôtant le mouchoir du visage.
Cruel, dois-tu porter ces mots à mes pareilles, Et couurou-tu vien'voir ce que tu me conſeilles, Ne porterois tu pas vn poignard dans mon ſein, St ie te promeuion datcompurion deſſein.	Cruel, dois-tu porter ces mots à mes pareilles, Et couvrou-tu vien'voir ce que tu me conseilles, Ne porterais tu pas un poignard dans mon sein, St Seigneur te promeuion datcompurion dessein.
TIMANDRE.	TIMANDRE.
Ha maſœur!	Ha masœur!
eſt-ce vous?	est-ce vous?
ROSELIE.	ROSELIE.
Il falloit qu'en perſonne Le Roy vinſt m’apporter ſon Sceptre & ſa Couronne, Employer contre moy tous ſes vœux & ſes ſoins, Chaſſer d’icy le iour, en bannir les teſmoins, Ne laiſſer en ce lieu qu’amour & le ſilence, Gemir, verſer des pleurs, vſer de violence, Par vn vray deſeſpoir, prouuer de vrais ennuis C’eſtoit là le moyen de ſçauoir qui ie ſuis:	Il fallait qu'en personne , En vinst m'apporter son Sceptre et sa Couronne, Employer contre moi tous ses vœux et ses soins, Chasser d'ici le jour, en bannir les témoins, Ne laisser en ce lieu qu'amour et le silence, Gémir, verser des pleurs, user de violence, Par un vrai désespoir, prouver de vrais ennuis C'était là le moyen de savoir qui ie suis:
Enfin vous auriez veu qu’auec toute ſa peine Il n'auroit eu pour moy qu’vne eſperance vaine;	Enfin vous auriez vu qu'avec toute sa peine Il n'aurait eu pour moi qu'une espérance vaine;
Ietter à mon honneur vous meſie l’hameçon, C’eſtoit là m'eſprouuer de mauuaiſe façon;	Jeter à mon honneur vous mie l'hameçon, C'était là m'éprouver de mauvaise façon;
Faites de mon esprit dauantage de conte, Et n'apprehendez, point de rougir de ma honte, Quand mes plus doux plaiſirs ne ſeroient pas bornez Par l'enclos du village ou vous me retenez.	Faites de mon esprit davantage de conte, Et n'appréhendez, point de rougir de ma honte, Quand mes plus doux plaisirs ne seraient pas bornez Par l'enclos du village ou vous me retenez.
TIMANDRE.	TIMANDRE.
Acheue, chere ſœur, ceſte inutile plainte, Ie ne conçeus iamais vne pareille feinte;	Achève, chère sœur, cette inutile plainte, Je ne conçus jamais une pareille feinte;
Ie croy que ta ſageſſe eſt ſans comparaiſon, Que rien ne doit veiller ſur toy que tà raiſon;	Je crois que ta sagesse est sans comparaison, Que rien ne doit veiller sur toi que ta raison;
Croy que ie ſuis ſenſible au ſujet qui t'afflige Qu'à ton eſloignement la contrainte m'oblige;	Crois que je suis sensible au sujet qui t'afflige Qu'à ton éloignement la contrainte m'oblige;
