LES AGTEVRS.	LES AGTEURS.
Mais ſa clarté eſt épanduë Sur les Pins voiſins de la Nuë, Et deſſus les Tins, & les Lis.	Mais sa clarté est épandue Sur les Pins voisins de la Nue, Et dessus les Tins, et les Lis.
l'eſpere que voſtre clemence Prendra bien cette patience De lire ce petit Liuret, dIOD Comme Dieu regarde la femme ui du fond du cœur & de l’Ame.	l'espère que votre clémence Prendra bien cette patience De lire ce petit Livret, dIOD Comme Dieu regarde la femme ui du fond du cœur et de l'Ame.
Luy preſente ſon Chapelet.	Lui présente son Chapelet.
1UPAU	1UPAU
11 qo e doqu liau la 4 407 de Iara 9V	11 qo eu eoqu liau la 4 407 de Jara 9U
A MONSIEVR DE SAVEVSE, Conſeiller en la Cour, & Prieur de S.	À MONSIEUR DE SAVEUSE, Conseiller en la Cour, et Prieur de S.
Clair.	Clair.
Il vous a choiſi entre tous, Exempt de vice, & de malice:	Il vous a choisi entre tous, Exempt de vice, et de malice:
Sçachant qu’il n’y auoit que vous ui ſçeuſt joindre auec la Iuſtice La candeur & deuotion, Pour eſtre Chef de ſa Maiſon.	Sachant qu'il n'y avait que vous ui sçeust joindre avec la Justice La candeur et dévotion, Pour être Chef de sa Maison.
22 dorie J	22 dorie 
EPIGRAMME.	ÉPIGRAMME.
Ainct Clair qui eſt dedans les Cieux, O'Atouſiours ſoin de ſon Egliſe;	Ainct Clair qui est dedans les Cieux, O'Atousiours soin de son Église;
Il deſire que ces ſaincts lieux Soient gouuernez par l’entremiſe De quelque homme de probité, Deuot, & plain de pieté.	Il désire que ces saints lieux Soient gouvernés par l'entremise De quelque homme de probité, Deuvot, et plain de piété.
A CONSIEVR LE CVRE DE GISORS, Sur ſon Liure de Sainct Clair.	À CONSIEUR LE CURE DE GISORS, Sur son Livre de Saint Clair.
EPIGRAMME.	ÉPIGRAMME.
E prens ton Liure pour mon guide, YComme pour faire l’Eneïde 1115.	E prends ton Livre pour mon guide, YComme pour faire l'Eneïde 1115.
d’Homere auoit pris;	d'Homère avait pris;
Si l’vn n’euſt point fait d’Odiſſée, L’autre n’euſt point parlé d’Enée, Ny de la Deeſſe Cypris.	Si l'un n'eût point fait d'Odissée, L'autre n'eût point parlé d'Enée, Ni de la Déesse Cypris.
Auſſi permets que ie te die, Que iamais cette Comedie N’euſt oſé voir le iour, ny l’air, Si tes écrits pleins de ſçience N’auoient tiré de l’oubliance Les merites du Grand Sainct Clair.	Aussi permets que ainsi te die, Que jamais cette Comédie N'eût osé voir le jour, ni l'air, Si tes écrits pleins de sience N'avaient tiré de l'oubliance Les mérites du Grand Saint Clair.
EPITOME,	ÉPITOMÉ,
A E I F ) M ABREGE' DE LA VIE.	À E I F ) M ABRÈGE DE LA VIE.
MARTIRE ETGLOIRE DE S.	MARTYRE ETGLOIRE DE S.
CLAIR.	CLAIR.
EN FACON D'AVANT-PROPOS.	EN FAÇON D'AVANT-PROPOS.
a Rriere de mes Vers, de mon chant, de ma GAS Lire, Les Grandeurs d’Alexandre;	a Rrière de mes Vers, de mon chant, de ma GAS Lire, Les Grandeurs d'Alexandre;
Et le Puiſſant Empire Des ſuperbes Romains.	Et le Puissant Empire Des superbes Romains.
Loin, loin de mes diſcours, Les fauſſes Deïtez;	Loin, loin de mes discours, Les fausses Deïtez;
les infames Amours, De Venus, de Iunon, de Didon, & d’Enée;	les infâmes Amours, De Venus, de Junon, de Didon, et d'Enée;
Et l’infidelité du parjure Theſée:	Et l'infidélité du parjure Thesée:
Ie laiſſe à l’Idolâtre, & à l’Antiquité Les fabuleux ſujets de ſon iniquité.	Je laisse à l'Idolâtre, et à l'Antiquité Les fabuleux sujets de son iniquité.
I’inuoque le vray Dieu, je prie le Tout-Puiſſant Qu’il guide mon eſprit, mon ſens, mon jugement:	J'invoque le vrai Dieu, je prie le Tout-Puissant Qu'il guide mon esprit, mon sens, mon jugement:
Afin que dignement je vous puiſſe redire L Haraïanes Eaicts les Combats, le Martvre.	Afin que dignement je vous puisse redire L Haraïanes Eaits les Combats, le Martvre.
10 Et les rares Vertus du Glorieux Sainct CLAIR, Qui ſurmonta le Monde, & le Diable, & la Chair.	10 Et les rares Vertus du Glorieux Saint CLAIR, Qui surmonta le Monde, et le Diable, et la Chair.
Dedans Olieſter, Ville ſur la Thamiſe, Au temps que l’Angleterre eſtoit de noſtre Egliſe, Reſidoit Edoüard, Prince heureux & pieux, Qui ſans ceſſe & ſans fin adreſſoit tous ſes vœux Au Souuerain Seigneur de la Voûte Æcherée, Pour luy donner vn fils, pour luy donner lignée, Qui pûſt apres ſa mort proteger ſa Maiſon, Poſſeder ſes grands biens, & conſeruer ſon Nom.	Dedans Oliéter, Ville sur la Thamise, Au temps que l'Angleterre était de notre Église, Résidait Edoüard, Prince heureux et pieux, Qui sans cesse et sans fin adressait tous ses vœux Au Souuerain Seigneur de la Voûte Æcherée, Pour lui donner un fils, pour lui donner lignée, Qui pût après sa mort protéger sa Maison, Posséder ses grands biens, et conserver son Nom.
Dieu l’entend & luy fut ſa priere exaucée:	Dieu l'entend et deux fut sa prière exaucée:
Mais il n’arriua pas comme dans ſa penſée;	Mais il n'arriva pas comme dans sa pensée;
Il l’auoit projeté:	Il l'avait projeté:
Dieu veut que ſes ſecrets Soient incognûs à l’homme;	Dieu veut que ses secrets Soient inconnus à l'homme;
& que tous les Decrets Qu’il tient dans l’infiny de ſa Sageſſe immenſe A luy ſoient reſeruez, & que tout ce qu’il penſe Soit fait ſans contredit.	et que tous les Décrets Qu'il tient dans l'infini de sa Sagesse immense A lui soient réservez, et que tout ce qu'il pense Soit fait sans contredit.
Edoüard penſe auoir Vn fils pour agrandir ſa race & ſon pouuoir;	Edoüard pense avoir Un fils pour agrandir sa race et son pouvoir;
Et Dieu veut que ce fils ſoit dedans ſon Egliſe Vn Grand Sainct, vn Martyr, & que l’on ſolemniſe A jamais ſon ſainct Nom, patron de chaſteté, De candeur, de douceur, & de virginité.	Et Dieu veut que ce fils soit dedans son Église Un Grand Saint, un Martyr, et que l'on solennise À jamais son saint Nom, patron de chasteté, De candeur, de douceur, et de virginité.
Comme d’Elizabeth, & du bon Zacharie, Nâquit le Grand Sainct Iean;	Comme d'Élisabeth, et du bon Zacharie, Naquit le Grand Saint Jean;
Et la Vierge Marie, D’Anne & de Ioachim, en l’arriere ſaiſon, Par priere & par vœux, & par leur Oraiſon;	Et la Vierge Marie, D'Anne et de Jochim, en l'arrière saison, Par prière et par vœux, et par leur Oraison;
L’vn pour eſtre teſmoin de la ſaincte Lumiere,	L'un pour être témoin de la sainte Lumière,
Cetui-cy pour patron de toute Saincteté:	Cetui-cy pour patron de toute Sainteté:
Celle-là pour miroir de toute pureté.	Celle-là pour miroir de toute pureté.
Ainſi le Grand Sainct CLAIR obtenu par priere, Ne fut pas pour ſeruir aux vanitez d’vne pere Qui le veut marier:	Ainsi le Grand Saint CLAIR obtenu par prière, Ne fut pas pour servir aux vanités d'une père Qui le veut marier:
car la nuit du feſtin, Par le conſeil d’vn Ange, auecque Sainct Cirin, Quite tous ſes parens, ſes grands biens, ſa patrie, Trauerſe l’Ocean, & vient en Normandie, Arriue à Cherebourg, de-là paſſe au trauers Des Bois les plus toufus de leurs feüillages vers, Pour faire penitence, & viure ſolitaire Comme vn Anacorete, ou ainſi qu’vn Sainct Pere.	car la nuit du festin, Par le conseil d'un Ange, avec Saint Cirin, Quite tous ses parents, ses grands biens, sa patrie, Traverse l'Océan, et vient en Normandie, Arrive à Cherebourg, de-là passe au travers Des Bois les plus toufus de leurs feuillages vers, Pour faire pénitence, et viure solitaire Comme H Acore, ou ainsi qu'un Saint Père.
Proche de Hacqueuille, aydé du Sainct Eſprit, Il reſte quelque temps:	Proche de Hacquille, aidé du Saint Esprit, Il reste quelque temps:
mais auſſi-toſt le bruit Court par tout qu’vnſaint hõme habite en la contrée;	mais aussitôt le bruit Court par tout qu'unsaint h habite en la contrée;
Et qu’vn jeune garçon bleſſé d’vne coignée, Auoit receu de luy parfaite gueriſon, En faiſant ſeulement la Benediction.	Et qu'un jeune garçon blessé d'une coignée, Avait reçu de notre parfaite guérison, En faisant seulement la Bénédiction.
Les Peuples d’alentour cherchent par les Bocages Le Sainct tant renommé, pour auoir ſes ſufrages.	Les Peuples d'alentour cherchent par les Bocages Le Saint tant renommé, pour avoir ses suffrages.
Luy qui fuït les honneurs, quite-là le Deſert, Et vint en incognu trouuer Sainct Odebert, Le ſuplie humblement d’agréer le ſeruice Qu’il veut rendre au Grand Dieu, & le faire Nouice.	Lui qui fui ré honneurs, quite-là le Désert, Et vint en inconnu trouver Saint Odebert, Le supplie humblement d'agréer le service Qu'il veut rendre au Grand Dieu, et le faire Novice.
Le Sainct Abbé épris par l’éclat de ſes yeux, Luy donne ſon habit, le fait Religieux;	Le Saint Abbé épris par l'éclat de ses yeux, Lui donne son habit, le fait Religieux;
Auſſi-toſt qu’il y fut, l’agile Renommée	Aussitôt qu'il y fut, l'agile Renommée
Le découure;	Le découvre;
& par tout par ſon babil volant, Son Nom & ſes Vertus elle va décelant:	et par tout par son babil volant, Son Nom et ses Vertus elle va décelant:
Chacun ſçait qu’Odebert loge dans ſon Cloiſtre Le fauory du Ciel, vn grand Sainct, vn grand Preſtre.	Chacun sait qu'Odebert loge dans son Cloître Le favori du Ciel, un grand Saint, un grand Prêtre.
Vn Seigneur du Païs poſſedé du Demon, Eſt par luy deliuré, & dedans ſa maiſon S’en retourne guary.	Un Seigneur du Pays possédé du Démon, Est par Roi délivré, et dedans sa maison S'en retourne gary.
La vefue deſolée Que la mort trop ſubite & trop precipitée Luy a rauy ſon fils, implore ſa bonté:	La veuve désolée Que la mort trop subite et trop précipitée Lui a ravi son fils, implore sa bonté:
A meſme temps ce fils ſe vid reſſuſcité;	A même temps ce fils se vit ressuscité;
Mais le Diable jaloux de voir tant de miracles, Reſſuſciter les morts;	Mais le Diable jaloux de voir tant de miracles, Ressusciter les morts;
Et les Demoniacles Deliurez & guaris par l’étonnante voix Du Sainct faiſant ſur eux le Signe de la Croix.	Et les Démoniacles Délivrez et garis par l'étonnante voix Du Saint faisant sur eux le Signe de la Croix.
Pour ſe vanger de luy, il ſuſcite vne Dame Effrontée, impudique, & luy met dedans l’Ame, L’enuenime poiſon de la lubricité, Pour luy faire pecheur quitter la Chaſteté.	Pour se venger de belle, il suscite une Dame Effrontée, impudique, et lui met dedans l'Âme, L'envenime poison de la lubricité, Pour lui faire pécheur quitter la Chasteté.
Luy qui voit ces apas quite ſon Abbaye, Errant parmy les Champs laiſſe la Normandie, Aimant mieux fugitif éuiter ces aguets, Que de ſe laiſſer prendre en ces damnez filets:	Lui qui voit ces appas quite son Abbaye, Errant parmi les Champs laisse la Normandie, Aimant mieux fugitif éviter ces aguets, Que de se laisser prendre en ces damnés fils:
Apres auoir couru de Prouince en Prouince, Il ſe retire enfin, non à la Cour d’vn Prince, Ny ſouz les toits dorez de quelque grand' maiſon:	Après avoir couru de Province en Province, Il se retire enfin, non à la Cour d'un Prince, Ny souz les toits dorés de quelque grand' maison:
Ains ſeul auec Cyrin ſon tres-cher Compagnon, A l’eſcart dans vn Bois prés la Riuiere d’Epte,	Ain seul avec Cyrin son très-cher Compagnon, À l'écart dans un Bois prés la Rivière d'Épte,
1 Conſtruite de leurs mains;	1 Construite de leurs mains;
La Dame cependant Dont l’Amour forcené va ſon cœur deuorant, Plaine de deſeſpoir de ſe voir mépriſée, Tourne en rage l’Amour, & comme vne incenſée, Enuoye ſes gens par tout, pour le faire tuer, S’il ne l’a veut cherir, s’il ne l’a veut aimer:	La Dame cependant Dont l'Amour forcené va son cœur dévorant, Plaine de désespoir de se voir méprisée, Tourne en rage l'Amour, et comme une incensée, Envoie ses gens par tout, pour le faire tuer, S'il ne l'a veut chérir, s'il ne l'a veut aimer:
Ces Lions & ces Loups ſont long-temps à la queſte, Pour auoir de Sainct Clair les Amours ou la teſte;	Ces Lions et ces Loups sont longtemps à la quête, Pour avoir de Saint Clair les Amours ou la tête;
Apres de grands trauaux au riuage d’vne Eau, Dans vn petit Iardin ils trouuent cét Agneau;	Après de grands travaux au rivage d'une Eau, Dans un petit Jardin ils trouvent cet Agneau;
Ils luy coupent la teſte, ils lûy oſtent la vie, A meſme temps l’on vit ſa ſaincte Ame rauie Par les Anges du Ciel, leur Muſique s’entend Rendre graces à Dieu, loüer le Tout-Puiſſant.	Ils était coupent la tête, ils lui ôtent la vie, A même temps l'on vit sa sainte Ame ravie Par les Anges du Ciel, leur Musique s'entend Rendre grâces à Dieu, louer le Tout-Puissant.
Le Sainct tout decolé va dedans la Fontaine Lauer ſon ſacré Chef, ſans douleur & ſans peine Le porte de ce lieu iuſque dans le Paruis De l’Egliſe où il eſt, ainſi que Sainct Dénis.	Le Saint tout décolé va dedans la Fontaine Laver son sacré Chef, sans douleur et sans peine Le porte de ce lieu jusque dans le Paris De l'Église où il est, ainsi que Saint Dénis.
Ce n’eſt pas le ſeul Sainct, qui ſur le Fleuue d’Epte A ſouffert le Martyre, & a laiſſé ſa teſte, Pour ſouſtenir la Foy & la Religion;	Ce n'est pas le seul Saint, qui sur le Fleuue d'Épte A souffert le Martyre, et a laissé sa tête, Pour soutenir la Foi et la Religion;
Sainct Nicaiſe endura proche la Rocheguion;	Saint Nicaise endura proche la Rocheguion;
Saincte Pience encor' Dame de la Contrée.	Sainte Pience encor Dame de la Contrée.
Par le Tyran Romain euſt la teſte tranchée.	Par le Tyran Romain eût la tête tranchée.
Heureux trois fois heureux noſtre petit Païs.	Heureux trois fois heureux notre petit Pays.
D’eſtre baigné du ſang de tant de Grands Martirs:	D'être baigné du sang de tant de Grands Martirs:
Auſſi dedans Magny, dans Sainct Clair, dans la Roche L’on ne peut pas iamais nous faire ce reproche,	Aussi dedans Magny, dans Saint Clair, dans la Roche L'on ne peut pas jamais nous faire ce reproche,
D’auoir veu oncque aucun de la Religion?	D'avoir vu oncque aucun de la Religion?
Ces lieux ſont trop remplis de Benediction, Ces cantons arroſez d’vne telle Ambroſie, Ne ſe verront jamais infectez d’Hereſie;	Ces lieux sont trop remplis de Bénédiction, Ces cantons arrosés d'une telle Ambrosie, Ne se verront jamais infectez d'Hérésie;
Et nos Seigneurs pieux ces Grands de Villeroys, Protecteurs de Magny, les bien-aimez des Roys, Touſiours, touſiours verront leurs Familles acroiſtre.	Et nos Seigneurs pieux ces Grands de Villerais, Protecteurs de Magny, les bien-aimez des Rois, Toujours, toujours verront leurs Familles acroître.
Et dans la Cour du Prince inceſſamment paroiſtre.	Et dans la Cour du Prince incessamment paraître.
Ces Valeureux Mornays Zelateurs de la Foy, Qui fidelles ſans ceſſe ont bien ſeruy leur Roy:	Ces Valeureux Mornays Zélateurs de la Foi, Qui fidèles sans cesse ont bien servi leur Roi:
Comme des Scipions, des Camilles, & des Gracches, Verront touſiours fleurir leurs Maiſons & leurs Races.	Comme des Scipions, des Camilles, et des Gracches, Verront toujours fleurir leurs Maisons et leurs Races.
Ces Comtes de la Roche, & ce Grand Liancour Patrons de pieté, ornemens de la Cour, Verront touſiours leur race & de Saincte Pience.	Ces Comtes de la Roche, et ce Grand Liancour Patrons de piété, ornements de la Cour, Verront toujours leur race et de Sainte Pience.
Fidellement ſeruir & les Roys, & la France;	Fidèlement servir et les Rois, et la France;
Par ce qu’ils ont cét heur de poſſeder les lieux, Où ces trois Grands Martyrs ont eſté Glorieux.	Par ce qu'ils ont cet heur de posséder les lieux, Où ces trois Grands Martyrs ont été Glorieux.
7 X.	7 X.
At LE PAXXEE V LE MARTYRE D E SAIT(ET CLAIR TRAGI-COMEDIE CHRESTIENNE.	At LE PAXXEE V LE MARTYRE D E SAITGET CLAIR TRAGI-COMÉDIE CHRÉTIENNE.
RCTE IREMIER.	RCTE IREMIÈR.
SCENE PREMIERE.	SCÈNE PREMIÈRE.
LE PERE, & LAMERE de Clair.	LE PERE, et LAMERE de Clair.
LE PERE.	LE PERE.
Eſt vn Arreſt du Ciel, qu’il faut que toute choſe Qui a commençement, de finir ſe diſpoſe;	Est un Arrêt du Ciel, qu'il faut que toute chose Qui a commençement, de finir se dispose;
Les debats continus d’entre les Elemens, Font naiſtre, & font perir par diuers changemens Tout ce qui eſt formé de la Maſſe premiere;	Les débats continus d'entre les Éléments, Font naître, et font périr par divers changements Tout ce qui est formé de la Masse première;
1 l Animauu las Duſiaux le Vinera	1 l Imauu las Dusiaux le Vinera
Bref tout corps composé qui eſt dedans les Cieux- Eſpreuue de la mort les aſſauts furieux.	Bref tout corps composé qui est dedans les Cieux- Espreuve de la mort les assauts furieux.
Mais Dieu qui les crea par ſa Toute-Puiſſance, Ne voulut pas ſi-toſt en détruire l’eſſence;	Mais Dieu qui les créa par sa Toute-Puissance, Ne voulut pas sitôt en détruire l'essence;
Jl ordonna deslors la copulation, Et des indiuidus la generation:	Jl ordonna délors la copulation, Et des induidus la génération:
Afin que chaque eſpece en ſon eſpece face Renaiſtre à meſme temps ce que la mort efface;	Afin que chaque espèce en son espèce face Renaître à même temps ce que la mort efface;
Que de l’Homme ſoit l’Homme;	Que de l'Homme soit l'Homme;
& de chaque Animal Naiße l’autre Animal:	et de chaque Animal Naisse l'autre Animal:
le Cheual du Cheual.	le Cheval du Cheval.
Dieu nous a fait tous deux naiſtre deſſus la Terre, Plains d’honneurs et de biens des premiers d’Angleterre, Pour comble de bon-heur, nous a donné vn fils Le mieux né, le plus beau, de tous ceux du Païs:	Dieu nous a fait tous deux naître dessus la Terre, Plains d'honneurs et de biens des premiers d'Angleterre, Pour comble de bonheur, nous a donné un fils Le mieux né, le plus beau, de tous ceux du Pays:
Ses rares qualiteZ, ſes vertus, ſa ſçience Me contentent l’esprit, & donnent l’esperance Qu'il ſera plus que moy, & qu’vn jour ma Maiſon Sera infiniement, & ſans comparaiſon, Plus releuée qu’elle n’eſt, & que de ſa lignée S'ortiront des Guerriers, qui juſqu’en Idumée morturant leurs Druptauus jauime nour du Sort Ne nous l’oſte bien-toſt, ne luy donne la mort.	Ses rares qualité, ses vertus, sa sience Me contentent l'esprit, et donnent l'espérance Qu'il sera plus que moi, et qu'un jour ma Maison Sera infiniement, et sans comparaison, Plus relevée qu'elle n'est, et que de sa lignée S'ortiront des Guerriers, qui jusqu'en Idumée morturant leurs Druptauus jauime nour du Sort Ne nous l'ôte bientôt, ne lui donne la mort.
Pour ce que vous & moy ſommes deſia ſur l’âge, Il faut ſans differer faire ſon mariage:	Pour ce que vous et moi sommes déjà sur l'âge, Il faut sans différer faire son mariage:
Vous ſçauez que bien-toſt faut rendre le deuoir, Que Nature de nous, & de tous veut auoir;	Vous savez que bientôt faut rendre le devoir, Que Nature de nous, et de tous veut avoir;
Le riche, l’indigent, les Bergers, les Monarques	Le riche, l'indigent, les Bergers, les Monarques
Mais auant que mourir, ie veux (chere moitié,) Que noctre vnique fils ſoit lié d’amitié A quelque grand party, quelque illuſtre lignée;	Mais avant que mourir, ie veux (chère moitié,) Que noctre unique fils soit lié d'amitié A quelque grand parti, quelque illustre lignée;
Afin que nous voyons de ſon ſaint Hymenée, Pour viure bien contens, & mourir bien-heureux, Les enfans des enfans, les neueux des neueux.	Afin que nous voyons de son saint Hyménée, Pour vivre bien contents, et mourir bienheureux, Les enfants des enfants, les neueux des neueux.
Que nous auroient ſeruy les dons de la Fortune, Si nous laißions tardifs paſſer l’heure oportune De luy trouuer party;	Que nous auraient servi les dons de la Fortune, Si nous laissions tardifs passer l'heure oportune Dé luy trouver parti;
& que deuant le temps, Il mouruſt auec nous ſans auoir des enfans, Noſtre Maiſon, nos biens, le Nom, la parentelle Tomberoient dans l’oubly:	et que devant le temps, Il mourût avec nous sans avoir des enfants, Notre Maison, nos biens, le Nom, la parentelle Tomberaient dans l'oubli:
ainſi que l’eſtincelle Qui de l’Eſtoille ſort, qui eſt morte pluſtoſt ue l’œil ne l’aperçoit;	ainsi que l'étincelle Qui de l'Étoile sort, qui est morte plutôt ue œil ne l'aperçoit;
De meſme ſi bien-tost Nous ne penſions à nous, & que la deſtinée Fuſt contraire à nos vœux, tout jroit en fumée;	De même si bientôt Nous ne pensions à nous, et que la destinée Fût contraire à nos vœux, tout jroit en fumée;
Et puis que Dieu ordonne, & veut que les enfans Solent au lieu des parens, & que de temps en temps L’vn à l’autre ſuccede;	Et puis que Dieu ordonne, et veut que les enfants Solent au lieu des parents, et que de temps en temps L'un à l'autre succède;
& d’vn âge à l’autre âge, Le Monde s’entretient par vn ſaint Mariage:	et d'un âge à l'autre âge, Le Monde s'entretient par un saint Mariage:
Je vous ſuplie penſeZ, penſez à mes diſcours, TrouueZ-luy vne femme en dedans peu de jours.	Je vous suplie pensez, pensez à mes discours, TrouueZ-lui une femme en dedans peu de jours.
LA MERE.	LA MERE.
Ie penſe (cher Eſpoux) & repenſe ſans ceſſe, A ce que m’auez dit, ce ſeul deſir me preſſe, De voir mon cher enfant d’vn lien conjugal, Ioint auec vn party qui luy ſoit tout égal:	Je pense (cher Espoux) et repense sans cesse, À ce que m'avez dit, ce seul désir me presse, De voir mon cher enfant d'un lien conjugal, Joint avec un parti qui lui soit tout égal:
Mais pourroit-on trouuer dans toute l'Angleterre Vne fille aſſez belle?	Mais pourrait-on trouver dans toute l'Angleterre Vune fille assez belle?
Il n'en eſt point en Terre:	Il n'en est point en Terre:
Non non, ie ne croy pas que dans tout le Païs Jl s'en puiſſe trouuer pour egaler mon fils.	Non non, Seigneur ne crois pas que dans tout le Pays Il s'en puisse trouver pour égaler mon fils.
LE PERE.	LE PERE.
Ie connois vne fille vnique & ſans pareille, Fille d’vn grand Seigneur, ſage, & belle à merueille, Son pere a de grands biens, & ſi eſt comme moy, De haute extraction, Prince et parent du Roy:	Je connais quelque fille unique et sans pareille, Fille d'un grand Seigneur, sage, et belle à merveille, Son père a de grands biens, et si est comme moi, De haute extraction, Prince et parent du Roi:
Il faut qu'entreteniez & la fille & la mere, Cependant qu’en ſecret j’en parleray au pere.	Il faut qu'entreteniez et la fille et la mère, Cependant qu'en secret j'en parlerai au père.
LA MERE Jl faut auparauant de noſtre fils ſçauoir, S’il accorde & conſent ſuiure noſtre vouloir, Il a l'eſprit ſi humble, & ſi plain de ſçience Qu’il ſemble vn Salomon remply de ſapience:	LA MERE Il faut auparavant de notre fils savoir, S'il accorde et consent suivre notre vouloir, Il a l'esprit si humble, et si plein de science Qu'il semble un Salomon rempli de sapience:
mepuis que, uu Oublege te eſt cenu chez nous, Il eſt ſi retenu, ſi changé, et ſi dous, Qu'il fuït la compagnie, & ne veut voir perſonne;	mepuis que, u Oublège te est cenu chez nous, Il est si retenu, si changé, et si dous, Qu'il fuir la compagnie, et ne veut voir personne;
Il prie ſans ceſſe Dieu, & ce qui plus m’eſtonne, Tout plaiſir luy deplaiſt:	Il prie sans cesse Dieu, et ce qui plus m'étonne, Tout plaisir lui déplaît:
ie crains que trop pieux, Il ne quite le Monde, & ſoit Religieux.	Je crains que trop pieux, Il ne quite le Monde, et soit Religieux.
LE PERE.	LE PERE.
Ne vous eſtonneZ pas, c’eſt l’effet de l’eſtude, Les doctes, les ſçauans aiment la ſolitude, La ſageſſe touſiours elle agraue ſes pas, On ne l’a voit jamais ſans regle & ſans compas.	Ne vous étonnez pas, c'est l'effet de l'étude, Les doctes, les savants aiment la solitude, La sagesse toujours elle agrave ses pas, On ne l'a voit jamais sans règle et sans compas.
Tous les doctes d’Athenes, & les Areopages:	Tous les doctes d'Athènes, et les Areopages:
Les Druïdes Gaulois, & tous les autres ſages Qui nous ont precedé;	Les Druiedes Gaulois, et tous les autres sages Qui nous ont précédé;
