E neldotte pocolter :	E neldotte pocolter :
Les Dieux te puniront comme tu le merité, Si tu ne quitte en bref la déteſtable erreur, Semée de puis peu par ce faux impoſteur, (ames Croire vn Dieu immortel que deux cents milles Ont veu mourir en Croix, par des tourmens inJAies .	Les Dieux te puniront comme tu le mérité, Si tu ne quitte en bref la détestable erreur, Semée de puis peu par ce faux imposteur, (ames Croire Dieu immortel que deux cents milles Ont vu mourir en Croix, par des tourments inJAies .
AINCTE REINE.	AINCTE REINE.
Il eſt vray qu’il eſt mort pour noſtre iniquité, Mais au troiſieſme iour il eſt reſuſcité.	Il est vrai qu'il est mort pour notre iniquité, Mais au troisième jour il est ressuscité.
LEMENT.	LEMENT.
Les ſiens l'onn uefrout puustisont fatt Accroire, Qu'il eſt monté au Ciel tout rayonnant de gloire.	Les siens l'onn uefrout puutisont fatt Accroire, Qu'il est monté au Ciel tout rayonnant de gloire.
AINCTE REYNE.	AINCTE REINE.
Les Iuifs ont inuenté ce menſonge apparent, Les Gardes corrompus par Or, & par Argent, L’Ange, les veſtemens, l’heureuſe Magdelaine.	Les Juifs ont inventé ce mensonge apparent, Les Gardes corrompus par Or, et par Argent, L'Ange, les vêtements, l'heureuse Magdelaine.
Ses compagnes auſſi, en font preuue certaine, St.	Ses compagnes aussi, en font prévue certaine, St.
Thomas qui luy miſt les doigts dans le coſté, Faict preuue aſſeurément de ceſte verité:	Thomas qui lui mit les doigts dans le côté, Fait preuve assurément de cette vérité:
Et mon Sauueur qui tient en main les deſtinées, Ayant predit que dans quatre fois dix années, Cette Ville, autrefois l’honneur de l’Vniuers, Pour ce grand Paricide, & crime trop peruers, Verroit ſes Citoyens, leurs enfans;	Et mon Sauveur qui tient en main les destinées, Ayant prédit que dans quatre fois dix années, Cette Ville, autrefois l'honneur de l'Univers, Pour ce grand Paricide, et crime trop pervers, Verrait ses Citoyens, leurs enfants;
& leurs fẽmes, De famine agitez, renuerſer ſous les lâmes, Ses ſuperbes Palais, & ſes beaux bâtimens?	et leurs femmes, De famine agités, renverser sous les lâmes, Ses superbes Palais, et ses beaux bâtiments?
crierement razeZ iuſques aux Fondements Et ne pardonne point à ce merueilleux Temple, Où l’Homme Sainct, ſon Dieu, d’vn œil rauy contemple.	crièrement razeZ jusques aux Fondements Et ne pardonne point à ce merveilleux Temple, Où l'Homme Saint, son Dieu, d'un œil ravi contemple.
CLEMERT.	CLEMERT.
Ce n’eſt pour ce ſujet que ce peuple meſchant, Paſſa Paſſa ſoubs la fureur du coutelas tranchant, Son deſaſtreux mal heur n’arriua d’aſſeurance, &t a auoir meſpriſé de Cæſar la puiſſance.	Ce n'est pour ce sujet que ce peuple méchant, Passa Passa sous la fureur du coutelas tranchant, Son désastreux mal heur n'arriva d'assurance, ett a avoir méprisé de Cæsar la puissance.
TE.	TE.
REYNE.	REINE.
Mon Pere n'en doutez, car il eſt tres-certain, Qu'il eſt reſuſſité:	Mon Père n'en doutez, car il est très-certain, Qu'il est ressussité:
ce grand Dieu ſouuerain, Apres s’eſtre apparu aux Apoſtres, aux Femmes, A ſes amis ſecrets, aux plus fidelles Ames, En leur parlant du Ciel, & mangé auec eux, Vne nuée en fin ſe deſrobe à leurs yeux, A l’entour volletoient mille bandes Ællées, Qui tous accompagnoient és voûtes eſtoillées, Chantans ſon los ſacré, en dix mille beaux vers.	ce grand Dieu souverain, Après s'être apparu aux Apôtres, aux Femmes, À ses amis secrets, aux plus fidèles Ames, En leur parlant du Ciel, et mangé avec eux, Vne nuée en fin se dérobe à leurs yeux, A pentour volletoient mille bandes Ællées, Qui tous accompagnaient ès voûtes estoillées, Chantants son los sacré, en dix mille beaux vers.
Et rempliſſant les Airs d’armonieux concers, Enuoyant par apres à ſa trouppe fidelle:	Et remplissant les Airs d'armonieux concers, Envoyant par après à sa troupe fidèle:
Leſprit conſolateur, qui d'amour, & de zelle Les ayans tous remplis, ont preſché en tout lieu, Qu'il eſtoit le Meſſie, & le vray fils de Dieu.	Lesprit consolateur, qui d'amour, et de zèle Les ayant tous remplis, ont prêché en tout lieu, Qu'il était le Messie, et le vrai fils de Dieu.
CLEMENT.	CLEMENT.
Ie vois donc bien que c’eſt, vous voila reſoluë De ſuiure ceſte Loy, par puiſſance abſoluë, Mais eſtant voſtrè Pere ay-je pas le pouubir, De vous faire en vn mot mettre en vôtre deuoir?	Je vois donc bien que c'est, vous voilà résolue De suivre cette Loi, par puissance absolue, Mais étant vostré Ère ai-je pas le pouvbir, De vous faire en un mot mettre en votre devoir?
Vne fille bien ſage obeït â ſon Pere, Et vous croyeZ plûtoſt vne fiere megere, Vne fine lamie, vne peſte vn venin, Que moy qui vous chery comme vn Pere benin:	Une fille bien sage obéis â son Père, Et vous croissez plutôt une fière mégère, fine lamie, peste venin, Que moi qui vous chery comme Pere bénin:
Mais ie iure le Ciel, que dedans ma colere, Ie vous feray ſentir tout le pouuoir qu’vn Pere, Peut deſſus ſon enfant vſer de chaſtiment Puniſſant vos meſpris ſi exemplairement;	Mais était jure le Ciel, que dedans ma colère, Je vous ferai sentir tout le pouvoir qu'un Père, Peut dessus son enfant user de châtiment Punissant vos mépris si exemplairement;
Que la poſterité fera cas de mon zele, Pour auoir corrigé vne fille rebelle.	Que la postérité fera cas de mon zèle, Pour avoir corrigé une fille rebelle.
STE.	SITE.
REYNE.	REINE.
Il eſt tres-veritable, & Dieu le veut ainſi, Qu'vn enfant bien appris doit auoir du ſoucy, D’honorer ſes parens, leur porter reuerence, Les aymer, les cherir auec obeïſance, Selon droit & raiſon:	Il est très -véritable, et Dieu le veut ainsi, Qu'un enfant bien appris doit avoir du souci, D'honorer ses parents, leur porter révérence, Les aimer, les chérir ainsi obéissance, Selon droit et raison:
mais ils ne doiuent pas, Tellement s’écarter & en faire du cas, Qu’abãdonnãt leur Dieu, au peril de leurs ames Iisentourens enenfemles jupplrces injumes !	mais ils ne doivent pas, Tellement s'écarter et en faire du cas, Qu'abãdonnãt leur Dieu, au péril de leurs âmes Iisentourens enfemles jupplirces injumes !
Ie mourray bien plûtoſt que pour reſpect humain, Ie tranſgreſſe les loix de mon Dieu ſouuerain.	Je mourrai bien plûtost que pour respect humain, Je transgresse les lois de mon Dieu souverain.
CLEMENT.	CLEMENT.
Fuis fuis de deuant moy maudite creature, Qui violant les droicts du Ciel, & de Nature, Veux de foibles raiſons mon pouuoir ſindicquer, tu en aities cous majuure	Fuis fuis de devant moi maudite créature, Qui violant les droits du Ciel, et de Nature, Veux de faibles raisons mon pouvoir sindicquer, tu en aities cous majuvre
LEONICE.	LEONICE.
On ſe doibt appliquer, De ne ſouffrir les ſiens, eſtre la Loy contraire.	On se dois appliquer, De ne souffrir les siens, être la Loi contraire.
CLEMENT.	CLEMENT.
Et d’vſer de rigueur ne le dois-je pas faire?	Et d'user de rigueur ne le dois-je pas faire?
Mais ie vous prie auſſi de luy parler encor, Vos diſcours ſont fluants, & coulent comme l'O Peut-eſtre pourriez-vous émouuoir ſon courage Et deſſus ſon eſprit auoir quetque hanantage.	Mais ici vous prie aussi de gloire encor, Vos discours sont fluants, et coulent comme l'Ô Peut-être pourriez-vous émouvoir son courage Et dessus son esprit avoir quetque hanantage.
CENE III.	CÈNE III.
LEONICE, Ste.	LENICE, Ste.
RETNE, LEONICE.	RETNE, LEONICE.
Eyne preſtez ſilence aux accẽs de ma voix, Ie vous veux témoigner l’amour que ie voꝰ dois, Mais pourquoy eſtes vous rebelle à voſtre Pere, 'aſcherez-vous toûjours de le mettre en colere?	Eyne prêtez silence aux acciens de ma voix, Je vous veux témoigner l'amour que ie voꝰ dois, Mais pourquoi êtes vous rebelle à votre Père, 'ascherez-vous toûjours de le mettre en colère?
