ha ESEN ſ PRE'MIERE.	ha ESEN s PRE'MIERE.
mais je borne mon ambition à Liſette, à qui j’aporte en mariage les ſix cens livres, dont je vay vous domer quittance.	mais je borne mon ambition à Lisette, à qui j'apporte en mariage les six cens livres, dont je vais vous domer quittance.
Paſquin tire de ſa poche du papier.	Pasquin tire de sa poche du papier.
DORANTE lay arreſtant la main.	DORANTE lai arrêtant la main.
Peſte ſoit du faquin;	Peste soit du faquin;
tu n’as que tes affaires en teſte.	tu n'as que tes affaires en tête.
Parlons un peu des miennes.	Parlons un peu des miennes.
J’épouſe demain la petite Fermiere Agathe.	J'épouse demain la petite Fermière Agathe.
J’ay ſi bien fait par mon manege, que le pere eſt à preſent auſſi amoureux de moy que ſa fille.	J'ai si bien fait par mon mange, que le père est à présent aussi amoureux de moi que sa fille.
Elle à dix mille écus Paſquin.	Elle à dix mille écus Pasquin.
PASQUIN.	PASQUIN.
Vous n’avez que vos affaires en teſte, reparlons un peu des miennes.	Vous n'avez que vos affaires en tête, reparlons un peu des miennes.
DORANTE.	DORANTE.
Agathe m’attend chez elle à quatre heures, & avant que d’y aller j’ay à regler certaines choſes avec le Notaire.	Agathe m'attend chez elle à quatre heures, et avant que d'y aller j'ai à régler certaines choses avec le Notaire.
PASQUIN.	PASQUIN.
Monſieur il n’y a que deux mots à mon affaire.	Monsieur il n'y a que deux mots à mon affaire.
A iiij	À jijà
DORANTE.	DORANTE.
Le Notaire m’attend Paſquin.	Le Notaire m'attend Pasquin.
PASQUIN.	PASQUIN.
Mon congé & mes gages.	Mon congé et mes gages.
DORANTE.	DORANTE.
Oh puiſque tu veux abſolument que nous finiſſions d’affaire enſemble.	Oh puisque tu veux absolument que nous finissions d'affaire ensemble.
PASQUIN.	PASQUIN.
Si ce n’eſtoit pas pour une occaſion auſſi preſſante.	Si ce n'était pas pour une occasion aussi pressante.
DORANTE.	DORANTE.
Il faut faire un effort.	Il faut faire un effort.
PASQUIN.	PASQUIN.
Je ne vous importunerois pas.	Je ne vous importunerais pas.
DORANTE.	DORANTE.
Quelque peine que cela me faſſe.	Quelque peine que cela me fasse.
PASQUIN.	PASQUIN.
Voicy la quittance.	Voici la quittance.
DORANTE prend la quittance.	DORANTE prend la quittance.
Va, je te donne ton congé.	Va, je te donne ton congé.
PASQUIN.	PASQUIN.
Et mes gages Monſieur.	Et mes gages Monsieur.
DORANTE.	DORANTE.
Tu m’atendris Paſquin, je ne veux pas te voir davantage.	Tu m'attendris Pasquin, je ne veux pas te voir davantage.
CENE II.	CÈNE II.
PASQUIN ſeul.	PASQUIN seul.
E ſcelerat!	E scélérat!
je n’ay plus rien à ménager avec cet homme-là.	je n'ai plus rien à ménager avec cet homme-là.
Liſette me follicite de rompre ſon mariage avecAgathe:	Lisette me follicite de rompre son mariage avecAgathe:
Allons voir ce qui en ſera	Allons voir ce qui en sera
PASQUIN.	PASQUIN.
A te voilà.	À te voilà.
H LISETTE.	H LISETTE.
Il y a une heure que je te cherche.	Il y a une heure que je te cherche.
Es-tu d’accord avec ton Maiſtre.	Es-tu d'accord avec ton Maître.
PASQUIN.	PASQUIN.
Peu s’en faut.	Peu s'en faut.
Il ne s’agiſſoit entre luy & moy que de deux articles.	Il ne s'agissait entre lui et moi que de deux articles.
Je luy demandois mou congé & mes gages, il a partagé le different par moitié, il m’a donné mon congé, & me retient mes gages.	Je avait demandais mou congé et mes gages, il a partagé le différent par moitié, il m'a donné mon congé, et me retient mes gages.
LISETTE.	LISETTE.
Et tu gardes des meſures avec cet homme là?	Et tu gardes des mesures avec cet homme -là?
Te feras-tu encore tirer d’oreille pour m’aider à rompre ſon mariage en faveur de mon pauvre frere Colin, a qui Agathe eſtoit promiſe.	Te feras-tu encore tirer d'oreille pour m'aider à rompre son mariage en faveur de mon pauvre frère Colin, à qui Agathe était promise.
Il ne tient qu’à toy de rendre la joye à tout le Village.	Il ne tient qu'à toi de rendre la joie à tout le Village.
Ce n’eſtoit que feſtés, danſes & chanſons preparées, pour les nopces de Colin & d’Agathe, & depuis que ton Officier rêformé eſt venu nous enlever le cœur de cette jolie Fermiere, toute noſtre galanterie Poitevine eſt en deüil.	Ce n'était que fêtes, danses et chansons préparées, pour les noces de Colin et d'Agathe, et depuis que ton Officier rêformé est venu nous enlever le cœur de cette jolie Fermière, toute notre galanterie Poitevine est en deuil.
PASQUIN.	PASQUIN.
Je ne manque pas, de bonne volonté, mais je conſidere.	Je ne manque pas, de bonne volonté, mais je considère.
LISETTE.	LISETTE.
Et moy je ne conſidere plus rien, je ſuis bien ſotte de prier quand j’ay droit de commander.	Et moi je ne considère plus rien, je suis bien sotte de prier quand j'ai droit de commander.
Colin eſt mon frere, & s’il n’épouſe point Agate par ton moyen, Liſette n’épouſera point Paſquin.	Colin est mon frère, et s'il n'épouse point Agate par ton moyen, Lisette n'épousera point Pasquin.
PASQUIN.	PASQUIN.
Ouais, tu me mets bien librement le marché à la main.	Ouais, tu me mets bien librement le marché à la main.
LISETTE.	LISETTE.
C’eſt que je ne ſuis pas comme la pluſpart de celles qui font de pareils marchez, je ne t’ay point donné d’aires, & je rompray ſi.	C'est que je ne suis pas comme la plupart de celles qui font de pareils marchez, je ne t'ai point donné d'aires, et je romprai si.
PASQUIN.	PASQUIN.
Doucement.	Doucement.
C’a que faut-il donc faire pour ce petit frere Colin?	C'a que faut-il donc faire pour ce petit frère Colin?
As-tu pris mes meſures avec luy.	As-tu pris mes ures avec Seigneur.
LISETTE.	LISETTE.
Des meſures avec Colin, bon.	Des mesures avec Colin, bon.
C’eſt un jeune amant à la franquette, qui n’eſt capable que de ſe tremouſſer à contre-temps.	C'est un jeune amant à la franquette, qui n'est capable que de se trémousser à contretemps.
Il va, il vient, il pietine, il peſte contre ſon infidelle, & toujours quelque raiſonnement d’enfant qu’il veut qu’on écoute;	Il va, il vient, il piétine, il peste contre son infidèle, et toujours quelque raisonnement d'enfant qu'il veut qu'on écoute;
enfin c’eſt un petit obſtiné que j’ay eſté contrainte d’enfermer, afin qu’il me laiſſaſt en paix travailler à ſes affaires.	enfin c'est un petit obstiné que j'ai été contrainte d'enfermer, afin qu'il me laissât en paix travailler à ses affaires.
Je croy que le voila encore.	Je crois que le voilà encore.
SCENE IV.	SCÈNE IV.
COLIN, LISETTE, PASQUIN.	COLIN, LISETTE, PASQUIN.
Q LISETTE.	Q LISETTE.
Uoy petit lutin, tu ſeras toujours ſur mes talons.	Où petit lutin, tu seras toujours sur mes talons.
COLIN.	COLIN.
J’ay ſauté par la feneſtre de la ſalle où tu m’avois enfermé, pour te venir dire que tout le tripotage de veuve que tu yeux faire pour attraper ce Dorante, par cy par là, tantia que tout ç’a ne vaut rien.	J'ai sauté par la fenêtre de la salle où tu m'avais enfermé, pour te venir dire que tout le tripotage de veuve que tu yeux faire pour attraper ce Dorante, par cy par là, tantia que tout ç'a ne vaut rien.
M ISEIIL.	M MÊEIIL.
Mort de ma vie ſi tu.	Mort de ma vie si tu.
PASQUIN.	PASQUIN.
Laiſſe opiner Colin, il me paroiſt homme de teſte.	Laisse opiner Colin, il me paraît homme de tête.
COLIN.	COLIN.
rrliginontente jay trouve duneret pour Qu’Agathe me r’aime, & j’ay commencé d’imaginer.	rliginontente jay trouve duneret pour Qu'Agathe me raime, et j'ai commencé d'imaginer.
LISETTE.	LISETTE.
Et va-t’en achever d’imaginer, laiſſemoy executer.	Et va-t'en achever d'imaginer, laissemoi exécuter.
COLIN.	COLIN.
O y faut que ce ſoit moy qui.	Ô y faut que ce soit moi qui.
LISETTE.	LISETTE.
O ce ne ſera pas toy qui.	Ô ce ne sera pas toi qui.
COLIN.	COLIN.
Je te dis que.	Je te dis que.
LISETTE.	LISETTE.
Je te dis que tu te taiſe.	Je te dis que tu te taise.
COLIN.	COLIN.
O c’eſt moy que iuis r'ainotireux une	Ô c'est moi que juis rainotireux une
SOUS L’ORME, COMEDIE.	SOUS L'ORME, COMÉDIE.
fois, je veux parler tout mon ſoû	fois, je veux parler tout mon sou
LISETTE.	LISETTE.
O le petit mutin d’amoureux.	Ô le petit mutin d'amoureux.
COLIN.	COLIN.
Tenez ſi Paſquin me dit que je n’ay pas pu d’eſprit que toy pour ce qui eſt d’Agathe, je veux bien m’en retourner dans la ſalle.	Tenez si Pasquin me dit que je n'ai pas pu d'esprit que toi pour ce qui est d'Agathe, je veux bien m'en retourner dans la salle.
LISETTE.	LISETTE.
Ecourons à cette condition.	Écourons à cette condition.
COLIN.	COLIN.
C’eſt que j’ay eune ruſe pour faire venir Agathe-dans eun endroit où je vous cucheray tous deuk.	C'est que j'ai eune ruse pour faire venir Agathedans eun endroit où je vous cucherai tous devk.
Fort bien.	Fort bien.
PASQUIN.	PASQUIN.
COLIN.	COLIN.
Et pi quand a ſera là, je luy diray ça, gna perſonne qui nous écoute, n’eſti pas vray Agathe qu’ou m’avez dit cent fois qu’ou m’aimiez, a dira, ouy Colin;	Et pi quand a sera là, je lui dirai ça, gna personne qui nous écoute, n'esti pas vrai Agathe qu'ou m'avez dit cent fois qu'ou m'aimiez, a dira, oui Colin;
car ça eſt vray n’eſti pas vray, ſi rediray-je, que quand vous me dites ça, je dis moy que les paroles eſtoient belle & bonne, mais que ça ne tien guere, à moins qui n’y ait quelque choſe là qui ſignifie qu’ou n’oſeriez pu prendre d’autre mnary que moy.	car ça est vrai n'éti pas vrai, si redirai-je, que quand vous me dites ça, je dis moi que les paroles étaient belle et bonne, mais que ça ne tien guère, à moins qui n'y ait quelque chose là qui signifie qu'ou n'oseriez pu prendre d'autre ménari que moi.
Agathe dira, ouy Colin.	Agathe dira, oui Colin.
N’eſt-il pas vray ce l’y feray-je, encore qu’un certain jour que l’épingle de voſtre colet eſtoit défaite, je le ſoulevis tout doucement, tout doucement.	N'est-il pas vrai ce l'y ferai-je, encore qu'un certain jour que l'épingli de votre collet était défaite, je le soulevis tout doucement, tout doucement.
LISETTE.	LISETTE.
O va donc plus viſte, j’aime l’expedition.	Ô va donc plus vite, j'aime l'expédition.
PASQUIN.	PASQUIN.
Ce recit promet beaucoup au moins, & nous ſerons cachez pour entendre tour cela.	Ce récit promet beaucoup au moins, et nous serons cachez pour entendre tour cela.
COLIN.	COLIN.
Aſſurément.	Assurément.
Je ne barguigneray point à luy faire tout dire;	Je ne barguignerai point à Seigneur faire tout dire;
car ſi a m’épouſe, l’épouſaille couvre tout, & ſinon, je ſuis bien-aiſe qu’on ſçache que la recolte appartient à ſti qui a défriché la terre.	car si a m'épouse, l'épouse couvre tout, et sinon, je suis bienaise qu'on belle que la récolte appartient à sti qui a défriché la terre.
O donc je diray à Agathe, n’eſti pas vray quand j’en entr’ouvar voſtre colet, que je pris deſſous un papier dans voſtre ſein, & que ſur ce papier vous m’aviez fagoté en la d’amour voſtre nom parmy le mien, pour montrer ce que je devion eſtre l’un à l’autre.	Ô donc je dirai à Agathe, n'esti pas vrai quand j'en entr'ouvar votre collet, que je pris dessous un papier dans votre sein, et que sur ce papier vous m'aviez fagoté en la d'amour votre nom parmi le mien, pour montrer ce que je devion être l'un à l'autre.
PASQUIN.	PASQUIN.
Et a dira, ouy Colin.	Et a dira, oui Colin.
COLIN.	COLIN.
O a dira peut-eſtre que c’eſt qu’a dormoit;	Ô a dira peut-être que c'est qu'a dormait;
mais je ſçay bain qu’à ne faiſoit que ſemblant, car à ſe réveilly tout juſte	mais je sais bain qu'à ne faisait que semblant, car à se réveilly tout juste
LISETTE.	LISETTE.
Hé bien enfin quand elle aura tout dit?	Hé bien enfin quand elle aura tout dit?
COLIN.	COLIN.
Vous ſortirez tous deux de voſtre cache & vous luy direz Agathe, faut qu’on vous mariez rien qu’avec Colin tout ſeul, ou nous allons dire par tout qu’ous aymez deux hommes à la fois, o a ne voudra pas.	Vous sortirez tous deux de votre cache et vous lui direz Agathe, faut qu'on vous mariez rien qu'avec Colin tout seul, ou nous allons dire par tout qu'ous aimez deux hommes à la fois, ô à ne voudra pas.
LISETTE.	LISETTE.
O que ſi a voudra.	Ô que si a voudra.
Les femmes en font gloire.	Les femmes en font gloire.
COLIN.	COLIN.
Faire gloire d’aymer un autre que ſti avec qui on ſe marie;	Faire gloire d'aimer un autre que sti avec qui on se marie;
non gnia point de femme comme ça dans tou le monde.	non gnia point de femme comme ça dans tou le monde.
PASQUIN.	PASQUIN.
Colin n’a pas voyagé, ça je juge que Mr Colin imagine mieux que nous, mais nous executerons mieux que Colin.	Colin n'a pas voyagé, ça je juge que Mr Colin imagine mieux que nous, mais nous exécuterons mieux que Colin.
Partant condamné à retourner dans la ſalle juſqu’à ce que nous ayons beſoin de luy.	Partant condamné à retourner dans la salle jusqu'à ce que nous ayons besoin de lui.
C.	Ç.
OLIN.	OLIN.
O ne vla-t’il pas qu’il dit comme Liſette;	Ô ne vla-t-il pas qu'il dit comme Lisette;
à cauſe que.	à cause que.
hé la la.	hé la la.
LISETTE.	LISETTE.
O va donc, ou je ne me meſſe plus de, s'affaires.	Ô va donc, ou je ne me messe plus de, s'affaires.
COLIN.	COLIN.
y vas, mais j’enrage.	y vas, mais j'enrage.
LISETTE le pouſſant.	LISETTE le poussant.
Hé va donc.	Hé va donc.
SCENE V.	SCÈNE V.
LISETTE, PASQUIN.	LISETTE, PASQUIN.
LISETTE.	LISETTE.
H nous voila délivrez de luy.	H nous voilà délivrez de Seigneur.
C’a il O s’agit de guerir Agathe de l’enteſtement où elle eſt pour ton Maître.	C'a il Ô s'agit de guérir Agathe de l'entêtement où elle est pour ton Maître.
Hon, quand l’amour s’eſt une fois emparé d’un cœur auſſi ſimple que celuy d’Agate, il eſt difficile de l’en chaſſer, il ſe trouve mieux logé là que chez une coquette.	Hon, quand l'amour s'est une fois emparé d'un cœur aussi simple que celui d'Agate, il est difficile de l'en chasser, il se trouve mieux logé là que chez une coquette.
LISETTE.	LISETTE.
J'avouë que les grands airs de ton Maiſtre ont ſaiſi la ſuperficie de ſon imagination;	J'avoue que les grands airs de ton Maître ont saisi la superficie de son imagination;
mais le fond du cœur eſt encore pour Colin:	mais le fond du cœur est encore pour Colin:
Finiſſons.	Finissons.
Il faut empeſcher Agathe de ſortir de chez elle, afin qu’elle ne vienne point rompre ces meſu res que nous avons priſes.	Il faut empêcher Agathe de sortir de chez elle, afin qu'elle ne vienne point rompre ces mesu rés que nous avons prises.
Comment nous yprendrons nous.	Comment nous yprendrons nous.
PASQUIN.	PASQUIN.
Hom.	Hom.
Attendez, nous:	Attendez, nous:
luy avons fait:	On avons fait:
venir des habits de Paris, ſi j’alois luy dire que mon Maiſtre veut qu’elle les iette, la coëffure ſeule ſuffit pour amuſer une femme toute la journée.	venir des habits de Paris, si j'aloisblé dire que mon Maître veut qu'elle les jette, la coëffure seule suffit pour amuser une femme toute la journée.
LISETTE.	LISETTE.
La voicy qui vient, ſonge à la renvoyer chez elle.	La voici qui vient, songe à la renvoyer chez elle.
SCENE IV.	SCÈNE IV.
AGATHE, PASQUIN, LISETTE.	AGATHE, PASQUIN, LISETTE.
AGATHE.	AGATHE.
1 U eſt done ton Maiſtre, Paſquin, il Oy a deux heures que je l’attens chez moy.	1 V donc étone ton Maître, Pasquin, il Oi a deux heures que je l'attends chez moi.
PASQUIN.	PASQUIN.
Vous vous trompez, Madame, mon Maiſtre eſt trop amoureux pour vous faire attendre.	Vous vous trompez, Madame, mon Maître est trop amoureux pour vous faire attendre.
LISETTE.	LISETTE.
Je vous avois bien dit que ſes empreſſemens ne dureroient pas.	Je vous avais bien dit que ses empressements ne dureraient pas.
AGATHE.	AGATHE.
O c’eſt tout le contraire, Liſette, Dorante doit eſtre aujourd’huy àmoureux de moy à la folie;	Ô c'est tout le contraire, Lisette, Dorante doit être aujourd'hui àmoureux de moi à la folie;
car il m’a promis que ſon amour augmenteroit tous les jours, & il m’aimoit déja bien hier.	car il m'a promis que son amour augmenterait tous les jours, et il m'aimait déjà bien hier.
LISETTE.	LISETTE.
En une nuit il arrive de grandes revolutions dans le cœur d’un François.	En une nuit il arrive de grandes révolutions dans le cœur d'un Français.
PASQUIN.	PASQUIN.
Ouy ſur la fin de fiecle cy les amans & les ſaiſons ſe ſont bien déreglez;	Oui sur la fin de siècle cy les amants et les saisons se sont bien déréglés;
le chaud & le froid ny dominent plus que par caprice.	le chaud et le froid ni dominent plus que par caprice.
LISETTE.	LISETTE.
O en Poitou nous avons une regle certaine, c’eſt que le jour des nopces le termometre de la tendreſſe eſt à ſon plus haut degré, mais le lendemain il deſcend bien bas.	Ô en Poit nous avons une règle certaine, c'est que le jour des noces le termometre de la tendresse est à son plus haut degré, mais le lendemain il descend bien bas.
deυ:	de:
AGATHE.	AGATHE.
Vous voulez me perſuader tous deux que Dorante ſera inconſtant;	Vous voulez me persuader tous deux que Dorante sera inconstant;
mais il faudroit que je fuſſe folle pour craindre qu’il change.	mais il faudrait que je fusse folle pour craindre qu'il change.
Quoy quand Colin me diſoit tout ſimplement qu’il me ſeroit frdelle, je le croyois, & je ne croirois pas Dorante qui eſt Gentilhomme, & qui fair des ſermens horribles qu’il m’aymera toujours.	Quoi quand Colin me disait tout simplement qu'il me serait frédelle, je le croyais, et je ne croirais pas Dorante qui est Gentilhomme, et qui fair des serments horribles qu'il m'aimera toujours.
PASQUIN.	PASQUIN.
En amour les ſermens d’un courtiſan ne prouvent rien, c’eſt le langage du pays.	En amour les serments d'un courtisan ne prouvent rien, c'est le langage du pays.
LI SETTÉ.	LI STTT.
Si vous vouliez m’écouter une fois-en voſtre vie, je vous ferois voir que Dorante.	Si vous vouliez m'écouter une fois-en votre vie, je vous ferais voir que Dorante.
AGATHE.	AGATHE.
Parlons d’autre choſe, Liſette.	Parlons d'autre chose, Lisette.
PASQUIN.	PASQUIN.
Elle a raiſon:	Elle a raison:
parlons des beaux habits que mon Maiſtre vous a fait venir.	parlons des beaux habits que mon Maître vous a fait venir.
AGATHE.	AGATHE.
Ah, Frontin, j’en ſuis charmée.	Ah, Frontin, j'en suis charmée.
PASQUIN.	PASQUIN.
A propos, mon Maiſtre vouloit vous voir aujourd’huy parée.	À propos, mon Maître voulait vous voir aujourd'hui parée.
AGATHE.	AGATHE.
Je voudrois bien l’eſtre auſſi, mais je ne ſçay pas lequel je dois mettre des deux habits.	Je voudrais bien l'être aussi, mais je ne sais pas lequel je dois mettre des deux habits.
Dis-moy, Paſquin, lequel aimarat’il mieux de deux noms d’habits à la mode, l’innocente ou dę la gourgandine,	Dis-moi, Pasquin, lequel aimaratil mieux de deux noms d'habits à la mode, l'innocente ou dU la gourgandine,
PASQUIN.	PASQUIN.
La gourgandine a toujours eſté du gouſt de mon Maiſtre.	La gourgandine a toujours été du goût de mon Maître.
AGATHE.	AGATHE.
Il faut que les femmes de Paris ayent bien de l’eſprit pour inventer de ſi jolis noms.	Il faut que les femmes de Paris aient bien de l'esprit pour inventer de si jolis noms.
PASQUIN.	PASQUIN.
Malepeſte leur imaglnation travaille beaucoup.	Malepeste leur imaglnation travaille beaucoup.
Elles n’inventent point de modes qui ne ſervent à cacher quelque défaut.	Elles n'inventent point de modes qui ne servent à cacher quelque défaut.
Falbala par haut pour celles qui n’ont point de hanches, celles qui en ont trop le portent plus bas.	Falbala par haut pour celles qui n'ont point de hanches, celles qui en ont trop le portent plus bas.
Le col long, & les gorges creuſes, ont donné lieu à la Iquinquerque;	Le col long, et les gorges creuses, ont donné lieu à la Iquinquerque;
& ainſi du reſte.	et ainsi du reste.
AGATHE.	AGATHE.
Ce qui m’embaraſſe le plus, c’eſt la coëffure.	Ce qui m'embarrasse le plus, c'est la coiffure.
Je ne pourray jamais venir à bout d’arranger tant de machines ſur ma teſte, il n’y a pas de place pour en mertre ſeulement la moitié.	Je ne pourrai jamais venir à bout d'arranger tant de machines sur ma tête, il n'y a pas de place pour en mertre seulement la moitié.
PASQUIN.	PASQUIN.
Oh quand il s’agit de placer des fadaſſes, la teſte d’une femme a plus d’étenduë qu’on ne penſe.	Oh quand il s'agit de placer des fadasses, la tête d'une femme a plus d'étendue qu'on ne pense.
Mais vous me faites ſouvenir que j’ay icy le livre inſtructif que la Coëffeuſe a envoyé de Paris, il s’intitule, Les elemens de la Toillette, ou le Siſteme barmonique de la coëffure d’une femme.	Mais vous me faites souvenir que j'ai ici le livre instructif que la Coëffeuse a envoyé de Paris, il s'intitule, Les éléments de la Toillette, ou le Siste barmonique de la coëffure d'une femme.
AGATHE.	AGATHE.
Ah que ce livre doir eſtre joly.	Ah que ce livre doir être joli.
LISETTE.	LISETTE.
Et ſçavant.	Et sçavant.
PASQUIN tirant un livre de ſa põche.	PASQUIN tirant un livre de sa pomme.
Voicy le ſecond tome.	Voici le second tome.
Pour le premier, il ne contient qu’une Table al phabetique des principales pieces qui eutrent dans la compoſitioù d’une commode:	Pour le premier, il ne contient qu'une Table al phabetique des principales pièces qui eutrent dans la compositioù d'une commode:
Comme La Ducheſſe, le ſolitaire, La fontage, le chou, Le teſte à teſte, la culbute, Le Mouſquetaire, le Croiſſant, Le firmament, le dixiéme ciel, La paliſſade, & la ſouris.	Comme La Duchesse, le solitaire, La fontage, le chou, Le tête à tête, la culbute, Le Mousquetaire, le Croissant, Le firmament, le dixième ciel, La palissade, et la souris.
AGATHE.	AGATHE.
Ah, Frontin, cherche moy l’endroit où e livre dit que ſe met la ſoury.	Ah, Frontin, cherche moi l'endroit où e livre dit que se met la souri.
J’ay un nœud de ruban qui s’appelle comme cela.	J'ai un nœud de ruban qui s'appelle comme cela.
PASQUIN.	PASQUIN.
2 C’eſt icy quelque part:	2 C'est ici quelque part:
Atteudez.	Atteudez.
Coëffure pour racourcir le viſage, ce n’eſt pas cela.	Coëffure pour racourcir le visage, ce n'est pas cela.
Petits tours blonds à boucles fringantes pour les fronts étroits, & les nez longs.	Petits tours blond à boucles fringantes pour les fronts étroits, et les nez longs.
Je n’y ſuis pas.	Je n'y suis pas.
