ARGVMENT DE LITAIEOM	ARGUMENT DE LITAIEOM
Meliſſe voyant ſon ſecret découvert, & qu’indubitablement Philene conteroit le tout à Alexis ſon intime ami, prie Orante de le prevenir, & d’aller elle-meſme découvrir ſa paßion à ce Berger, & l’obliger à avoir quelque tendreſſe pour elle.	Mélisse voyant son secret découvert, et qu'indubitablement Philène conterait le tout à Alexis son intime ami, prie Orante de le prévenir, et d'aller elle-même découvrir sa passion à ce Berger, et l'obliger à avoir quelque tendresse pour elle.
Orante s’acquitte de ſa commißion, & taſche à prouver à Alexis qu’il faut aimer, par tous les exemples, & toutes les raiſons qu’on allegue d’ordinaire ſur ce ſujet;	Orante s'acquitte de sa commission, et tâche à prouver à Alexis qu'il faut aimer, par tous les exemples, et toutes les raisons qu'on allegue d'ordinaire sur ce sujet;
mais elle n’en peut venir à bout, ce qui deſeſpere Meliſſe, & luy fait prendre la reſolution de mourir.	mais elle n'en peut venir à bout, ce qui désespère Mélisse, et et fait prendre la résolution de mourir.
Sur ces entrefaites on apporte la réponſe de l’Oracle, qui porte que la peſte ne finira point qu’vn cœur inſenſible à l’amour ne bruſle en ſacrifice.	Sur ces entrefaites on apporte la réponse de l'Oracle, qui porte que la peste ne finira point qu'un cœur insensible à l'amour ne brûle en sacrifice.
Tout le monde jette les yeux ſur Alexis, qui fait vanité de ne rien aimer, & on le deſtine au dernier ſupplice.	Tout le monde jette les yeux sur Alexis, qui fait vanité de ne rien aimer, et on le destine au dernier supplice.
Meliſſe vient à la traverſe, qui pretend que c’eſt elle que l’Oracle demande, parce qu’elle a eſté inſenſible à l’amour de Philene.	Mélisse vient à la traverse, qui prétend que c'est elle que l'Oracle demande, parce qu'elle a été insensible à l'amour de Philène.
Ce debat rend le grand Preſtre irreſolu, & fait qu’il va prier les Dieux dans le Temple voiſin, de declarer par quelque ſigne, lequel des deux Bergers ils veulent eſtre immolé.	Ce débat rend le grand Prêtre irrésolu, et fait qu'il va prier les Dieux dans le Temple voisin, dé déclarer par quelque signe, lequel des deux Bergers ils veulent être immolé.
Pendant ſon abſence Alexis devient amoureux de Meliſſe, & l'Amour deſcend dans le Temple, qui prononce, qu’il faut vnir les victimes.	Pendant son absence Alexis devient amoureux de Melisse, et l'Amour descend dans le Temple, qui prononce, qu'il faut unir les victimes.
On croit que les Dieux veulent qu’on ſacrifie les deux Bergers à l’amour.	On croit que les Dieux veulent qu'on sacrifie les deux Bergers à l'amour.
Tandis que les preparatifs ſe font, Alexis découxxe par hazard l’amour qu’il a pour Meliſſe (ce que le grand Preſtre ignoroit, comme on a dit cy-deſſus) cela luy donne lieu de croire, que l’Oracle ſe doit entendre autrement qu’on a fait, & dans ce meſme temps deux prodiges arrivent, ſçavoir la conſommation du bucher par le feu du Ciel, & la ceſſation de la peſte;	Tandis que les préparatifs se font, Alexis découxxe par hasard l'amour qu'il a pour Melisse (ce que le grand Prêtre ignorait, comme on a dit cy-dessus) cela lui avait lieu de croire, que l'Oracle se doit entendre autrement qu'on a fait, et dans ce même temps deux prodiges arrivent, savoir la consommation du bûcher par le feu du Ciel, et la cessation de la peste;
ſi bien qu’Alcandre ne doute plus que l’Oracle ne ſoit toutafait accompli, & les Dieux appaiſez.	si bien qu'Alcandre ne doute plus que l'Oracle ne soit toutafait accompli, et les Dieux apaisez.
Pour couronnement il mene les deux Bergers au Temple, pour y eſtre vnis du nœud de l’Hrmenét.	Pour couronnement il mène les deux Bergers au Temple, pour y être unis du nœud de l'Hrmenêt.
MELISSE	MÉLISSE
PENE'E Fleuve de Theſſalie.	PENE Fleuve de Thessalie.
E mon Palais ſecret, bordé de jones touffus, DQue pare vn beau lambris de glaçons ſuſpendus.	ELLE la Palais secret, bordé de jones touffus, DUe pare un beau lambris de glaçons suspendus.
Où l’on foule la mouſſe, où la fraiſcheur abonde, Et que d’vn vain effort le jour taſche à percer;	Où l'on foule la mousse, où la fraîcheur abonde, Et que d'un vain effort le jour tâche à percer;
Ie viens dans ces beaux lieux, les delices du monde, Conduit par vn inſtinct que je n’ay pû forcer.	Je viens dans ces beaux lieux, les délices du monde, Conduit par un instinct que je n'ai pu forcer.
Les vents ſont reſſerrez dans leurs ſombres cachots, Le bruit eſt retenu, tout est dans le repos, D’vn pas tranquille & lent ma belle onde s’avance;	Les vents sont resserrez dans leurs sombres cachots, Le bruit est retenu, tout est dans le repos, D'un pas tranquille et lent ma belle onde s'avance;
Et les Nymphes des bois qui redoutent le jour, Et craignent des mortels la profane preſence, Viennent ſe promener dans cét heureux ſejour.	Et les Nymphes des bois qui redoutent le jour, Et craignent des mortels la profane présence, Viennent se promener dans cet heureux séjour.
Ie voy que vers la SEINE ils arreſtent leurs pas;	Je vois que vers la SEINE ils arrêtent leurs pas;
Ie la voy qui leur tend ſes charitables bras, Et veut rendre avec eux ſes Campagnes communes:	Je la vois qui leur tend ses charitables bras, Et veut rendre avec eux ses Campagnes communes:
I's ac eptent bientost vn bonheur ſi preſent, Et ne regrettent plus les longues infortunes 3 Qui leur ent fait trouver vn ſejour ſi plaiſant.	J's ac eutent bientôt un bonheur si présent, Et ne regrettent plus les longues infortunes 3 Qui leur ent fait trouver un séjour si plaisant.
Ie voy dans vn long cours cent Monarques François Affermir leur repos par mille beaux exploits, Et ne dédaigner pas le ſoin des pasturages:	Je vois dans un long cours cent Monarques Français Affermir leur repos par mille beaux exploits, Et ne dédaigner pas le soin des pâturages:
Mais entre ces Heros ſe preſente vn LOVIS, Qui n’eut jamais d’égal dans la ſuitte des âges, El ui vheul mea Jez pal Je jalls inenra.	Mais entre ces Héros se présente un LOUIS, Qui n'eut jamais d'égal dans la suite des âges, Él ui vheul me Jez pays Je als inenra.
Ie ne m’en ſçaurois taire, & puiſqu’à mon deſir Le ſort daigne accorder de le voir à loiſir, Ie veux m’entretenir de ſes rares merveilles:	Je ne m'en saurais taire, et puisqu'à mon désir Le sort daigne accorder de le voir à loisir, Je veux m'entretenir de ses rares merveilles:
Qu'il est grand, qu’il eſt beau, qu’il a de maj eſté!	Qu'il est grand, qu'il est beau, qu'il a de majou été!
Il enchante les yeux, il charme les oreilles, Et fait à tous les cœurs perdre la liberté.	Il enchante les yeux, il charme les oreilles, Et fait à tous les cœurs perdre la liberté.
LE SERPENT, LE LION, L’AIGLE, LES LEOPARDS, De peur que chez eux-meſme il ne porte la guerre, De leurs Mers, de leurs Monts, ſe feront des remparts.	LE SERPENT, LE LION, L'AIGLE, LES LÉOPARDS, De peur que chez eux-même il ne porte la guerre, De leurs Mers, de leurs Monts, se feront des remparts.
Mais, ô bonheur plus grand, je voy de ce Heros Vn illuſtre ſurgeon paroiſtre ſur les flots, Et porter juſqu’icy ſa Royale banniere;	Mais, ô bonheur plus grand, je vois de ce Héros Un illustre surgeon paraître sur les flots, Et porter jusqu'ici sa Royale bannière;
Ie voy par ſa valeur ces coſtaux restablis Reprendre leur verdeur, & leur grace premiere, Et le CROISSANT ſervir au Monarque des Lys.	Je vois par sa valeur ces costaux rétablis Reprendre leur verdeur, et leur grâce première, Et le CROISANT servir au Monarque des Lys.
Mais je ſens que le Ciel me ferme ſes ſecrets;	Mais je sens que le Ciel me ferme ses secrets;
Hé bien ne troublons point l’ordre de ſes decrets, Vn heureux avenir nous les fera connestre;	Hé bien ne troublons point l'ordre de ses décrets, Un heureux avenir nous les fera connaître;
Auſſi bien de la nuit l’Aſtre a quitté les Cieux.	Aussi bien de la nuit l'Astre a quitté les Cieux.
L’Aurore dans ce lieu nous ſurprendroit peut-eſtre, Retirons-nous, adieu Vallons delicieux.	L'Aurore dans ce lieu nous surprendrait peut-être, Retirons-nous, adieu Vallons délicieux.
FIN DV PROLOGVE.	FIN DU PROLOGUE.
ACTE PREMIER.	ACTE PREMIER.
SCEND IREMHEENE.	SCEND IREMHÉENE.
& Gy A 7 Q 1 MELISSE.	et Gy A 7 Q 1 MÉLISSE.
GREABLE Tyran, doux, & cruel vainqueur, Qui flattant mon orgueil as captivé mon cœur;	GREABLE Tyran, doux, et cruel vainqueur, Qui flattant mon orgueil as captivé mon cœur;
R6 Trop charmant ennemi dont je ſuis pourſuivie, Amour, pourquoy ſi fort tourmentes-tu ma vie?	R6 Trop charmant ennemi dont je suis poursuivie, Amour, pourquoi si fort tourmentes-tu ma vie?
La Nature en tous lieux gouſte le doux repos;	La Nature en tous lieux goûte le doux repos;
Le ſommeil ſeme encor ſes humides pavots, Dans le grand Vnivers regne vn profond ſilence, Les Oiſeaux dans les bois dorment en aſſeurance, Le pareſſeux Heſper brille ſur l’horiſon, Et l’Aurore eſt encor dans les bras de Tithon:	Le sommeil seme encor ses humides pavots, Dans le grand Vennivers règne un profond silence, Les Oiseaux dans les bois dorment en assurance, Le paresseux Hesper brille sur l'horizon, Et l'Aurore est encor dans les bras de Tithon:
Tandis qu’abandonnée à mes inquietudes Ie viens chercher l’horreur des noires ſolitudes, Y plaindre mon tourment qui n’eut jamais d’égal, Et rendre les rochers ſenſibles à mon mal.	Tandis qu'abandonnée à mes inquiétudes Je viens chercher l'horreur des noires solitudes, Y plaindre mon tourment qui n'eut jamais d'égal, Et rendre les rochers sensibles à mon mal.
Quel eſt mon crime, Amour, & que t’a fait Meliſſe, Pour exercer contr’elle vn ſi cruel ſupplice?	Quel est mon crime, Amour, et que t'a fait Mélisse, Pour exercer contre elle un si cruel supplice?
Helas !	Hélas !
SCENE II.	SCÈNE II.
MELISSE, ORANTE.	MÉLISSE, ORANTE.
ORANTE.	ORANTE.
VE voy-je icy, quoy, Meliſſe en ces lieux ?	VE vois-je ici, quoi, Melisse en ces lieux ?
Eſt-ce elle, & dois-je croire au lappore de mes yeux?	Est-ce elle, et dois-je croire au lapore de mes yeux?
C’eſt elle, abordons-la;	C'est elle, abordons-la;
Meliſſe,	Mélisse,
MELISSE.	MÉLISSE.
Qui m’appelle?	Qui m'appelle?
ORANTE.	ORANTE.
din, Meline, con jour,	din, Meline, con jour,
MELISSE.	MÉLISSE.
Ah bon jour, ma fidelle.	Ah bon jour, ma fidèle.
ORANTE.	ORANTE.
I’allois chez Alcidon dans le prochain hameau Prendre vne herbe de luy pour mon pauvre troupeau;	J'allais chez Alcidon dans le prochain hameau Prendre un herbe de lui pour mon pauvre troupeau;
Herbe, qu’on doit cueillir au lever de l’Aurore, Abondante en rozée, & toute moitte encore;	Herbe, qu'on doit cueillir au ver de l'Aurore, Abondante en rozée, et toute moitte encore;
Vous ſçavez qu’Alcidon de retour en ces lieux Vante publiquement les fecrets curieux.	Vous savez qu'Alcidon de retour en ces lieux Vante publiquement les secrets curieux.
Parmi l’obſcurité j’ay crû vous reconnoiſtre;	Parmi l'obscurité j'ai cru vous reconnaître;
Mais pourquoy ſi matin vous voir icy paroiſtre, Et quel eſt le chagrin qui ſe découvre en vous?	Mais pourquoi si matin vous voir ici paraître, Et quel est le chagrin qui se découvre en vous?
MÉLISSE.	MÉLISSE.
Pouvez-vous l’ignorer eitant commuma tous;	Pouvez-vous l'ignorer eitant commuma tous;
Et quand la Theſſalie éprouve de la peſte Le ravage cruel à ſes troupeaux funeſte;	Et quand la Thessalie éprouve de la peste Le ravage cruel à ses troupeaux funeste;
Peut-on n’eſtre pas triſte, & ne pas fuïr les lieux Où rien que de fâcheux ne ſe preſente aux yeux?	Peut-on n'être pas triste, et ne pas fuir les lieux Où rien que de fâcheux ne se présente aux yeux?
ORANTE.	ORANTE.
Il eſt vray que nos maux paſſent toute croyance, Et que les Dieux ſur nous exercent leur vengeance;	Il est vrai que nos maux passent toute croyance, Et que les Dieux sur nous exercent leur vengeance;
Puiſqu’il nous reſte à peine en nos triſtes malheurs Des troupeaux, pour pouvoir eſtre appellez Paſteurs:	Puisqu'il nous reste à peine en nos tristes malheurs Des troupeaux, pour pouvoir être appelez Pasteurs:
Iamais contagion ne fut ſi redoutable, Et nulle autre jamais ne luy fut comparable.	Jamais comparable ne fut si redoutable, Et nulle autre jamais ne te fut comparable.
La brebis ſeiche à l’œil, devient have, maigrit, Dans l’eſtable s’abbat, s’attriſte, déperit, Ne tient compte de l’herbe autrefois ſi cherie, Enfin malgré nos ſoins meurt dans la bergerie:	La brebis seiche à l'œil, devient have, maigrit, Dans l'étable s'abat, s'attriste, dépérit, Ne tient compte de l'herbe autrefois si chérie, Enfin malgré nos soins meurt dans la bergerie:
La Lune a ſon Croiſſant renouvellé trois fois, Depuis que ce poiſon a corrompu nos toits;	La Lune a son Croissant renouvelé trois fois, Depuis que ce poison a corrompu nos toits;
Mais il faut eſperer que nos pleurs & nos larmes, Fléchiront les grands Dieux, feront tomber leurs arEt qu’vn Oracle prompt arreſtera le cours [mes, Des malheurs obſtinez, qui troublent nos beaux jours:	Mais il faut espérer que nos pleurs et nos larmes, Fléchiront les grands Dieux, feront tomber leurs art qu'un Oracle prompt arrêtera le cours [mes, Des malheurs obstinez, qui troublent nos beaux jours:
Nous attendons ce jour le meſſager fidelle Qui nous doit apporter cette bonne nouvelle:	Nous attendons ce jour le messager fidèle Qui nous doit apporter cette bonne nouvelle:
Cependant l’on n’entend que vœux aux Immortels, Mais entre tous de Pan on charge les Autels.	Cependant l'on n'entend que vœux aux Immortels, Mais entre tous de Pan on charge les Autels.
Pan aime les troupeaux, il les garde, il les veille, Il eſt porté pour eux d’vne ardeur ſans pareille;	Pan aime les troupeaux, il les garde, il les veille, Il est porté pour eux d'une ardeur sans pareille;
our tout la Thenalie eit l’amour de loncœur, Puiſque toûjours l’encens y fume à ſon honneur, Depuis qu’il voulut bien inſtruire nos Anceſtres A joindre avec la glû des chalumeaux champeſtres.	Tout tout la Thénalie eit l'amour de loncœur, Puisque toujours l'encens y fume à son honneur, Depuis qu'il voulut bien instruire nos Ancêtres À joindre avec la glu des chalumeaux champêtres.
MELISSE.	MÉLISSE.
Orante, je ſouhaite autant, ou plus que vous, De voir finir bien-toſt le celeſte courroux;	Orante, je souhaite autant, ou plus que vous, De voir finir bientôt le céleste courroux;
I’attends ce jour heureux avec impatience.	J'attends ce jour heureux avec impatience.
ORANTE.	ORANTE.
Mais de grace avoüez, Meliſſe, en confidence, Que d’vne autre douleur voſtre eſprit agité S’eſt venu délaſſer prés ce bois écarté.	Mais de grâce avouez, Mélisse, en confidence, Que d'une autre douleur votre esprit agité S'est venu délasser près ce bois écarté.
Car depuis le moment que la peſte cruelle A iiij Fait de nos chers troupeaux vne moiſſon mortelle, Vous n’avez point quitté le hameau ſi matin, N juiqu'au ton de voix monſtré tant de chagrin.	Car depuis le moment que la peste cruelle AJOU iiij Ait de nos chers troupeaux une moisson mortelle, Vous n'avez point quitté le hameau si matin, N juiqu'au ton de voix montré tant de chagrin.
MELISSE.	MÉLISSE.
C’eſt pourtant cela ſeul dont l’arfligeante image Me tourmente ſans ceſſe, & ternit mon viſage.	C'est pourtant cela seul dont l'arfligeante image Me tourmente sans cesse, et ternit mon visage.
ORANTE.	ORANTE.
Quoy!	Quoi!
pour ce ſeul ſujet vous cherchez les Foreſts, Vous fuyez le repos, & pouſſez des regrets;	pour ce seul sujet vous cherchez les Forêts, Vous fuyez le repos, et poussez des regrets;
Meliſſe, aſſurément quelque ſecrete cauſe Fait aujourd’huy dans vous cette metamorphoſe;	Mélisse, assurément quelque secrète cause Fait aujourd'hui dans vous cette métamorphose;
Ouvrez-moy voſtre cœur, ne me déguiſez rien, l uirque voſtre intereſt m’eſt cher comme le mien.	Ouvrez-moi votre cœur, ne me déguisez rien, l uirque votre intérêt m'est cher comme le mien.
„ Quand dans vn ſein ami l’ame ſe communique, ,,Elle emouſſe le trait du chagrin qui la pique.	„ Quand dans un sein ami l'âme se communique, ,,Elle emousse le trait du chagrin qui la pique.
MELISSE.	MÉLISSE.
Chere amie, il eſt vray, puiſqu’enfin tu l’as vû, Le ſecret deſormais en ſeroit ſuperflu;	Chère amie, il est vrai, puisqu'enfin tu l'as vu, Le secret désormais en serait superflu;
Le ſoin de nos troupeaux ne fait pas ma triſteſſe, Et c’eſt de mes malheurs le fardeau qui m’oppreſſe:	Le soin de nos troupeaux ne fait pas ma tristesse, Et c'est de mes malheurs le fardeau qui m'oppresse:
Mais pour te découvrir qui peut en eſtre autheur, Ne me fai point rougir, épargne ma pudeur, Devine ſi tu peux, & fal que j’oze dire, Ityre;	Mais pour te découvrir qui peut en être auteur, Ne me fait point rougir, épargne ma pudeur, Devine si tu peux, et sal que j'ose dire, Ityre;
Qu’au moins ma bouche a ſçû te cacher mon marConſultes-en mes yeux ils t’en éclairciront, Mais de confuſion ne couvre point mon front.	Qu'au moins ma bouche a su te cacher mon marConsultes-en mes yeux ils t'en éclairciront, Mais de confusion ne couvre point mon front.
ORANTE.	ORANTE.
A ces mots ambigus je ne puis rien comprendre, De grace, faites-vous, Meliſſe, mieux entendre.	À ces mots ambigus je ne puis rien comprendre, De grâce, faites-vous, Melisse, mieux entendre.
MELISSE.	MÉLISSE.
Chere ſœur, Alexis,	Chère sœur, Alexis,
ORANTE.	ORANTE.
Achevez, Alexis, Mes doutes par ce mot ne ſont point éclaircis.	Achevez, Alexis, Mes doutes par ce mot ne sont point éclaircis.
MELISSE.	MÉLISSE.
Au nom de ce berger rempli de tant de charmes Ne connois-tu pas bien ce qui fait mes allarmes;	Au nom de ce berger rempli de tant de charmes Ne connais-tu pas bien ce qui fait mes alarmes;
Qu’eſt-ce qu’il te faut plus, ne vois-tu pas l’effet Qui doit eſtre attendu d’vn berger ſi parfait?	Qu'est-ce qu'il te faut plus, ne vois-tu pas l'effet Qui doit être attendu d'un berger si parfait?
ORANTE.	ORANTE.
Non, je ne le ſçaurois, ſi ce n’eſtoit peut-eſtre, Qu’à l’éclat des beautez qu’en vous on voit paroiſtre, Ce Berger eut ozé, par vn hardi deſſein, A l’ardeur de vos feux offrir ſon jeune ſein;	Non, je ne le saurais, si ce n'était peut-être, Qu'à l'éclat des beautés qu'en vous on voit paraître, Ce Berger eut ozé, par un hardi dessein, A l'ardeur de vos feux offrir son jeune sein;
Vous conter ſa langueur d’vn diſcours temeraire, Et poſſible vn peu trop s’efforcer de vous plaire;	Vous conter sa langueur d'une discours téméraire, Et possible un peu trop s'efforcer de vous plaire;
Mais pour cela, Meliſſe, il ne faut point rougir, C’eſt vn mal que ſouvent il vous faudra ſouffrir, Et dans le beau printemps de vos jeunes années vous verrez des bergeis les tioupes enchaimées Suivre à l’envi vos pas, & ſouvent ſoûpirer Des maux que vos rigueurs leur feront endurer.	Mais pour cela, Mélisse, il ne faut point rougir, C'est un mal que souvent il vous faudra souffrir, Et dans le beau printemps de vos jeunes années vous verrez des bergeis les tioupes enchaimées Suivre à l'envi vos pas, et souvent soupirer Des maux que vos rigueurs leur feront endurer.
MELISSE.	MÉLISSE.
N’inſultez point, Orante, à mon malheur extréme;	N'insultez point, Orante, à mon malheur extrême;
L’ingrat ne m’aime point, helas!	L'ingrat ne m'aime point, hélas!
c’eſt moy qui l’aime:	c'est moi qui l'aime:
ORANTE.	ORANTE.
Quoy vous l’aimez, Meliſſe?	Quoi vous l'aimez, Mélisse?
MELISSE.	MÉLISSE.
Oüi, je l’aime, & c’eſt luy Qui fait tout mon chagrin, qui fait tout mon ennuy;	Oui, je l'aime, et c'est lui Qui fait tout mon chagrin, qui fait tout mon ennui;
Pardonne, chere ſœur, ſi ma bouche honteuſe T’a celé juſqu’icy ma foibleſſe amoureuſe;	Pardonne, chère sœur, si ma bouche honteuse T'a celé jusqu'ici ma faiblesse amoureuse;
Ie connois ton eſprit, je ſçay quelle eſt ta foy, ,Mais qui n’a rien aimé ſe fie à peine à ſoy.	Je connais ton esprit, je sais quelle est ta foi, MAis qui n'a rien aimé se fie à peine à soi.
ORANTE.	ORANTE.
Ie ne m’eſtonne pas que vous aimiez, Meliſſe;	Je ne m'étonne pas que vous aimiez, Melisse;
„L’amour eſt des Humains le premier exercice, Et puiſque ce beau feu devoit vous enflammer, Alexis ſeul eſtoit digne de vous charmer.	„L'amour est des Humains le premier exercice, Et puisque ce beau feu devait vous enflammer, Alexis seul était digne de vous charmer.
Mais d’où vient qu’vne ardeur & ſi pure & ſi belle N’a point fait naiſtre en luy de flamme mutuelle?	Mais d'où vient qu'une ardeur et si pure et si belle N'a point fait naître en nô de flamme mutuelle?
Eſt-ce que voſtre amour luy ſeroit inconnu?	Est-ce que votre amour était serait inconnu?
Ou que d’vn autre objet ſon cœur fut prevenu ?	Ou que d'un autre objet son cœur fut prévenu ?
MELISSE.	MÉLISSE.
Non, il ne connoiſt point la grandeur de mes peines, Ni l’ardeur de ce feu qui deſſeiche mes veines:	Non, il ne connaît point la grandeur de mes peines, Ni l'ardeur de ce feu qui desseiche mes veines:
Mais quand il cõnoiſtroit où ſes charmes m’ont mis, Orante, j’en ſerois peut-eſtre encore pis.	Mais quand il connaîtrait où ses charmes m'ont mis, Orante, j'en serais peut-être encore pis.
Sçai-tu pas qu’à l’amour il declare la guerre, Qu’il hait le doux lien dont vne ame s’enſerre, Qu’il n’aime que les bois, les buiſſons, les halliers, Et pourſuit ſeulement, les Cerfs, les Sangliers.	Sais-tu pas qu'à l'amour il déclare la guerre, Qu'il hait le doux lien dont une âme s'enserre, Qu'il n'aime que les bois, les buissons, les halliers, Et poursuit seulement, les Cerfs, les Sangliers.
Son cœur d’vn dur écueil la veritable image Abhorre de l’amour l’agreable ſervage, Et bien haut exaltant ſafauſſe liberté, De ſon propre defaut tire ſa vanité.	Son cœur d'un dur écueil la véritable image Abhorre de l'amour l'agréable servage, Et bien haut exaltant safausse liberté, De son propre défaut tire sa vanité.
Ainſi, ſoit qu’il ignore, ou ſçache ma ſouffrance, Ie ne voy que malheurs & bien peu d’eſperance.	Ainsi, soit qu'il ignore, ou sache ma souffrance, Je ne vois que malheurs et bien peu d'espérance.
ORANTE.	ORANTE.
,Sous pretexte ſouvent d’vne fauſſe froideur ,On cache de l’amour la veritable ardeur;	ÇOus prétexte souvent d'une fausse froideur ,On cache de l'amour la véritable ardeur;
„Et qui cherche les bois & les ſombres retraittes, ,Cherche à s’entretenir de ſes flammes ſecrettes;	„Et qui cherche les bois et les sombres retraites, ,Cherche à s'entretenir de ses flammes secrètes;
Mais puiſque le Soleil de ſes tiedes rayons A déja ſurmonté les cimes de ces Monts;	Mais puisque le Soleil de ses tièdes rayons A déja surmonté les cimes de ces Monts;
Qu’il eſt tard pour cueillir la plante ſalutaire Qui doit de mon troupeau ſoulager la miſere.	Qu'il est tard pour cueillir la plante salutaire Qui doit de mon troupeau soulager la misère.
Meliſſe, contez-moy, comment en voſtre cœur Ce ſauvage Berger fit naiſtre tant d’ardeur.	Mélisse, contez-moi, comment en votre cœur Ce sauvage Berger fit naître tant d'ardeur.
MELISSE.	MÉLISSE.
Ce fut le propre jour de noſtre grande feſte Que du bel Alexis je devins la conqueſte.	Ce fut le propre jour de notre grande fête Que du bel Alexis je devins la conquête.
Cét aimable Berger ayant dans divers jeux Remporté tout l’honneur, ainſi que tous les vœux, S’en vint pour recevoir de ma main la Couronne Que ſuivant la Couſtume vne Bergere donne:	Cet aimable Berger ayant dans divers jeux Remporté tout l'honneur, ainsi que tous les vœux, S'en vint pour recevoir de ma main la Couronne Que suivant la Coutume une Bergère donne:
reſ ombrageay ſon front, mais luy, ſans plus tarder, La remet ſur ma teſte, & me la fait garder,	rés ombrageai son front, mais ainsi, sans plus tarder, La remet sur ma tête, et me la fait garder,
ORANTE.	ORANTE.
Ce procede pourtane marque tie anie galante;	Ce procède pourtane marque tye anie galante;
Que pourroit faire plus vne ardeur violente?	Que pourrait faire plus une ardeur violente?
MELISSE.	MÉLISSE.
Ecoute juſqu’au bout.	Écoute jusqu'au bout.
M’ayant rendu le prix, Voici de quels propos l’accompagne Alexis:	M'ayant rendu le prix, Voici de quels propos l'accompagne Alexis:
Ie vous donne, dit-il, cette offrande legere, Et comme à la plus belle, & comme à la plus fiere, Et pour gage aſſeuré, que tout ainſi que vous, Ie mépriſe l’Amour, & ne crains point ſes coups.	Je vous donne, dit-il, cette offrande légère, Et comme à la plus belle, et comme à la plus fière, Et pour gage assuré, que tout ainsi que vous, Je méprise l'Amour, et ne crains point ses coups.
O caprice du ſort, ôbizarre penſée !	Ô caprice du sort, ôbizarre pensée !
Ce diſcours me choqua, je m’en tins offenſée;	Ce discours me choqua, je m'en tins offensée;
