A PARIS.	À PARIS.
Je ne penſe pas qu’un Poëte ſoit reſponſable des évenemens de ſon Hiſtoire, quand la raiſon & la vray-ſemblance ne s’y opoſent pas.	Je ne pense pas qu'un Poète soit responsable des événements de son Histoire, quand la raison et la vraiisemblance ne s'y oposent pas.
Mes Cenſeurs veulent toutefois que je ſois garant d’un autre incident qu’elle me fournit.	Mes Censeurs veulent toutefois que je sois garant d'un autre incident qu'elle me fournit.
C’eſt la mort d’Atys.	C'est la mort d'Atys.
Ils diſent qu'Adraſte eſt un mal-adroit, & ils imputent à ſon peu d’adreſſe le caprice du Sort, qui le rend le meurtrier de ſon Amy.	Ils disent qu'Andraste est un maladroit, et ils imputent à son peu d'adresse le caprice du Sort, qui le rend le meurtrier de son Ami.
Les mémes malheurs n’arrivent-ils pas tous les jours, & n’en avons-nous pas pluſieurs exemples chez les Anciens.	Les mêmes malheurs n'arrivent-ils pas tous les jours, et n'en avons-nous pas plusieurs exemples chez les Anciens.
Plutarque, dans la Vie d’Alexandre le Grand, dit que Craterus fut bleſſé aux deux cuiſſes par un Dard que Perdiccas avoit lancé contre un Ichneumon.	Plutarque, dans la Vie d'Alexandre le Grand, dit que Craterus fut blessé aux deux cuisses par un Dard que Perdiccas avait lancé contre un Ichneumon.
Ce fut par une pareille fatalité que Telégone tua ſon Pere Uliſſe, & que Perſée oſta la vie à Acriſius.	Ce fut par une pareille fatalité que Telégone tua son Père Ulisse, et que Persée ôta la vie à Acrisius.
Ce ſont des coups du Deſtin que la prudence humaine ne ſçauroit éviter, & dont un Auteur Dragmatique n’eſt point obligé de rendre compte.	Ce sont des coups du Destin que la prudence humaine ne saurait éviter, et dont un Auteur Dragmatique n'est point obligé de rendre compte.
J’avouë que j’en devois rendre un plus exact de ce que deviennent Adraſte & Héſione à la fin de la Tragédie.	J'avoue que j'en devais rendre un plus exact de ce que deviennent Adraste et Hésione à la fin de la Tragédie.
A la premiere Repréſentation j’avois ſatis- fait à l’exactitude que le Théatre demande.	À la première Représentation j'avais satî- fait à l'exactitude que le Théâtre demande.
Voicy comment.	Voici comment.
Adraſte n’ayant pû obtenir de Créſus la mort qu’il luy demandoit, alloit luy-méme s’immoler aux manes de ſon Amy.	Adraste n'ayant pu obtenir de Crésus la mort qu'il lui demandait, allait avoir-même s'immoler aux mânes de son Ami.
Héſione ayant apris que ſon Amant avoir malheureuſement tué Atys, venoit ſe jetter aux pieds du Roy pour luy demander la grace d’un ſi cher Coupable.	Hésione ayant appris que son Amant avoir malheureusement tué Atys, venait se jeter aux pieds du Roi pour notre demander la grâce d'un si cher Coupable.
Dans le méme moment elle en aprenoit la mort par un recit de ſix Vers que faiſoit Lycaſte, & elle ſortoit du Théatre dans le deſſein de ne luy point ſurvivre.	Dans le même moment elle en apprenait la mort par un récit de six Vers que faisait Lycaste, et elle sortait du Théâtre dans le dessein de ne lui point survivre.
Mais tant de Morts faiſoient languir l’Action, & fatiguoieut le Spéctateur.	Mais tant de Morts faisaient languir l'Action, et fatiguaient le Spéctateur.
On jugea plus à propos de laiſſer à ſon imagination lexsin de ſupléer à la **14.	On jugea plus à propos de laisser à son imagination lexsin de supléer à la *14.
sularite de l’Action.	sularite de l'Action.
Je n’ignore point que cela n’eſt pas dans les regles, & je me le reproche le premier.	Je n'ignore point que cela n'est pas dans les règles, et je me le reproche le premier.
Mais c’eſt perdre trop de temps à juſtifier la conduite de cette Piece.	Mais c'est perdre trop de temps à justifier la conduite de cette Pièce.
Je turjje an Beureur la liberté d’en juger.	Je turj à Beureur la liberté d'en juger.
ACTEURS.	ACTEURS.
CRESUS, Roy de Lydie.	CRESUS, Roi de Lydie.
ATYS, Fils de Créſus.	ATYS, Fils de Crésus.
ninitiioin, iin uu ltoy de Phrigie,	ninitioin, jin uu ltoi de Phrigie,
MESIONE, Pillicenle PIigienne.	MESIONE, Pillicenle PIigienne.
ERIXENE, Reyne de Cilicie.	ERIXENE, Reine de Cilicie.
CLEONE, Confidente d’Héſione.	CLÉONE, Confidente d'Hésione.
ISMENE, Confidente d’Erixene.	ISMENE, Confidente d'Erixène.
LYCASTE, Confident d’Atys:	LYCASTE, Confident d'Atys:
GARDES.	GARDES.
ARCAS, Capitanſe ues Gaiues de Créſue	ARCAS, Capitanse ues Gaives de Crésue
La Scene eſt dans une Salle d’un Château aupres de Sardis, Capitale de Lydie.	La Scène est dans une Salle d'un Château près de Sardis, Capitale de Lydie.
ADRAS LRAGEDIE.	ADRAS LRAGEDIE.
ACTE PREMIER SCENE PREMIERE.	ACTE PREMIER SCÈNE PREMIÈRE.
ADRASTE, ATYS.	ADRASTE, ATYS.
z M ATYS.	Oz M ATYS.
RINCE, je dois beaucoup à l’amitié ſincere Qui vers moy vous conduit en ce lieu ſolitaire.	RINCE, je dois beaucoup à l'amitié sincère Qui vers moi vous conduit en ce lieu solitaire.
N’en doutez point;	N'en doutez point;
ſenſible à ce que je vous doy, J’avois pour vous l’ardeur que vous avez pour moy, Et brûlant de revoir un Amy ſi fidelle, I’allois de mon retour vous mander la nouvelle.	sensible à ce que je vous dois, J'avais pour vous l'ardeur que vous avez pour moi, Et brûlant de revoir un Ami si fidèle, J'allais de mon retour vous mander la nouvelle.
Vous m’avez prévenu.	Vous m'avez prévenu.
J’en rends graces aux Dieux.	J'en rends grâces aux Dieux.
Quel plaiſir de revoir mon Adraſte en ces lieux!	Quel plaisir de revoir mon Andraste en ces lieux!
Et qu’il m’eſt doux, aprés tant de peines paſſées, De verſer dans ſon ſein mes ſecretes penſées!	Et qu'il m'est doux, après tant de peines passées, De verser dans son sein mes secrètes pensées!
ADRASTE.	ADRASTE.
Je l’avoüeray, Seigneur, un murmure ſecret A mon cœur contre vous échapoit à regret.	Je l'avouerai, Seigneur, un murmure secret À mon cœur contre vous échappait à regret.
Hé quoy, diſois-je, Atys que j’eſtime, que j’aime, En qui j’ay crû longtemps voir un autre moy-même, De Délos en Lydie eſt enfin de retour, Et je n’en ſuis inſtruit qu’avec toute la Cour?	Hé quoi, disais-je, Atys que j'estime, que j'aime, En qui j'ai cru longtemps voir un autre moi-même, De Délos en Lydie est enfin de retour, Et je n'en suis instruit qu'avec toute la Cour?
Pourquoy ſe cache-t-il?	Pourquoi se cache-t-il?
Quel important miſtere Le dérobe à nos yeux, aux yeux du Roy ſon Pere?	Quel important mystère Le dérobe à nos yeux, aux yeux du Roi son Père?
Impatient d’aprendre un deſſein inconnu, De Sardis où j’eſtois je ſuis icy venu.	Impatient d'apprendre un dessein inconnu, De Sardis où j'étais je suis ici venu.
Le deſir de vous voir, aprés trois mois d’abſence, A redoublé l’ardeur de mon impatience.	Le désir de vous voir, après trois mois d'absence, A redoublé l'ardeur de mon impatience.
Heureux, malgré les maux dont m’accablẽt les Dieux, De revoir un Amy qui me rerme les yeux, Avant que contre moy leur fureur aſſouvie Ait terminé le cours d’une mourante vie.	Heureux, malgré les maux dont m'accablẽt les Dieux, De revoir un Ami qui me rerme les yeux, Avant que contre moi leur fureur assouvie Ait terminé le cours d'une mourante vie.
ATYS.	ATYS.
Hé quoy, de vos remords encore importuné, Eſtes-vous à périr toûjours plus obſtiné?	Hé quoi, de vos remords encore importuné, Êtes-vous à périr toujours plus obstiné?
Depuis deux ans entiers que quitant la Phrigie, Du ſang de vôtre Frere innocemment rougie, Et du Roy vôtre Pere abandonnant la Cour, Vous vintes chez le mien fixer vôtre ſejour;	Depuis deux ans entiers que quitant la Phrigie, Du sang de votre Frère innocemment rougie, Et du Roy votre Père abandonnant la Cour, Vous vîntes chez le mien fixer votre séjour;
Trop fidelle vangeur d’un crime involontaire, Vous avez ſatisfait aux manes de ce Frere.	Trop fidèle vengeur d'un crime involontaire, Vous avez satisfait aux mânes de ce Frère.
Il mourut par vos mains, il eſt vray;	Il mourut par vos mains, il est vrai;
mais le Sort Doit eſtre ſeul chargé du crime de ſa mort.	mais le Sort Doit être seul chargé du crime de sa mort.
Quãd le Ciel malgré nous veut nous rẽdre coupables, Des crimes des Mortels les Dieux ſont reſponſables, Leur foudre n’eſt point duë à de pareils forfaits, Et l’on eſt innocent aprés les avoir faits.	Quand le Ciel malgré nous veut nous rendre coupables, Des crimes des Mortels les Dieux sont responsables, Leur foudre n'est point due à de pareils forfaits, Et l'on est innocent après les avoir faits.
ADRASTE.	ADRASTE.
Dois-je me pardonner, ſi les Dieux me pardonnent?	Dois-je me pardonner, si les Dieux me pardonnent?
A d’éternels chagrins mes remords m’abandonnent, L’image d’une mort trop préſente à mes yeux, Punit un Criminel qu’ont épargné les Dieux.	À d'éternels chagrins mes remords m'abandonnent, L'image d'une mort trop présente à mes yeux, Punit un Criminel qu'ont épargné les Dieux.
Je ne puis effacer de ma triſte mémoire Ce jour qui me coûta mon repos & ma gloire, Eois que pres u cpouler une Pimeene.	Je ne puis effacer de ma triste mémoire Ce jour qui me coûta mon repos et ma gloire, Éais que pres u couler une Pimeène.
Helas, Que d’ennuis pour mon cœur ont ſuivy ce trépas!	Hélas, Que d'ennuis pour mon cœur ont suivi ce trépas!
ATYS.	ATYS.
Oüy, je ſçay, cher Adraſte, à quels maux il vous livre, Que loin d’une Princeſſe il vous force de vivre, Qu’un Frere ſeul n’eſt pas l’objet de vos douleurs, Qu’ainſi que luy l’amour a ſa part à vos pleurs, Et qu’en ſon deſeſpoir vôtre ame trop conſtante Compte parmy ſes maux l’abſence d’une Amante, Mais ce dernier chagrin fait rarement mourir, L’amour cauſe ce mal, l’amour peut le guerir.	Oui, je sais, cher Draste, à quels maux il vous livre, Que loin d'une Princesse il vous force de vivre, Qu'un Frère seul n'est pas l'objet de vos douleurs, Qu'ainsi que tu l'amour a sa part à vos pleurs, Et qu'en son désespoir votre âme trop constante Compte parmi ses maux l'absence d'une Amante, Mais ce dernier chagrin fait rarement mourir, L'amour cause ce mal, l'amour peut le guérir.
La Cour du Roy mon Pere en Beautez ſi fertile, Preſente à vôtre cœur un remede facile.	La Cour du Roi mon Père en Beautez si fertile, Présente à votre cœur un remède facile.
En eſt-il qui ne mit ſon plaiſir le plus doux.	En est-il qui ne mit son plaisir le plus doux.
A voir dans ſes liens un Captif tel que vous, Et qui promte à tarir la ſource de vos larmes.	À voir dans ses liens un Captif tel que vous, Et qui promte à tarir la source de vos larmes.
D’un triomphe ſi grand n’aplaudit à ſes charmes?	D'un triomphe si grand n'applaudit à ses charmes?
ADRASTE.	ADRASTE.
Hé, croyez-vous qu’un cœur triſte, deſeſperé, Et déja plein d’un feu dont il eſt devoré.	Hé, croyez-vous qu'un cœur triste, désespéré, Et déjà plein d'un feu dont il est dévoré.
Puiſſe encore s’ouvrir à quelque ardeur nouvelle?	Puisse encore s'ouvrir à quelque ardeur nouvelle?
I’ay trop aimé, Seigneur, pour n’eſtre pas fidelle.	J'ai trop aimé, Seigneur, pour n'être pas fidèle.
J’eſtois aimé, j’aimois.	J'étais aimé, j'aimais.
Ah mortel ſouvenir!	Ah mortel souvenir!
De mon bonheur paſſé pourquoy m’entretenir?	De mon bonheur passé pourquoi m'entretenir?
Les Dieux, pour m’accabler d’une plus rude peine, Font durer un amour plus cruel que leur haine.	Les Dieux, pour m'accabler d'une plus rude peine. Font durer un amour plus cruel que leur haine.
ATYS.	ATYS.
Vous-même à vos ennuis n’allez pas vous offrir;	Vous-même à vos ennuis n'allez pas vous offrir;
On ſurmonte ſes maux quand on ſçait les ſouffriz.	On surmonte ses maux quand on sais les souffris.
Armez vôtre vertu contre leur violence, D’un Amy qui vous parle imitez la conſtance.	Armez votre vertu contre leur violence, D'un Ami qui vous parle imitez la constance.
Quelque tranquilite que j’affecte à vos yeux, Je ſuis autant que vous perſecuté des Dieux,	Quelque tranquillité que j'affecte à vos yeux, Je suis autant que vous persécuté des Dieux,
ADRASTE.	ADRASTE.
Autant que moy, Seigneur!	Autant que moi, Seigneur!
Ah Ciel le peut-on eſtre?	Ah Ciel le peut-on être?
A de pareils diſcours puis-je vous reconneſtre?	À de pareils discours puis-je vous reconnaître?
Fiis de l’heureux Crelus dont les lameux exploits.	Fiis de l'heureux Crelus dont les lameux exploits.
De l’Afie embraſée épouvantent les Rois, Amant & preſque Epoux de l’aimable Erixene, Se peut-il.	De l'Afie embrasée épouvantent les Rois, Amant et presque Époux de l'aimable Erixène, Se peut-il.
ATYS.	ATYS.
Son hymen fait ma plus dure peine.	Son hymen fait ma plus dure peine.
Cet aveu vous ſurprend, Prince, je le vois bien;	Cet aveu vous surprend, Prince, je le vois bien;
Je ſçay tout vôtre ſort, aprenez tout le mien.	Je sais tout votre sort, apprenez tout le mien.
Lors qu’en ſa pieté toûjours ferme & crédule, Mon Pere pour mes jours geſné d’un vain ſcrupule, M’eut, pour calmer l’effroy qui troubloit ſon repos, Envoyé conſulter l’Oracle de Délos.	Lors qu'en sa piété toujours ferme et crédule, Mon Père pour mes jours gêné d'un vain scrupule, M'eut, pour calmer l'effroi qui troublait son repos, Envoyé consulter l'Oracle de Délos.
Un favorable vent nous pouſſant vers cette Iſle, Rendit à nos Vaiſſeaux l’abord promt & facile, Pouſſé par un deſtin que m’apreſtoit l’amour, Je conſultay l’Oracle & preſſay mon retout.	Un favorable vent nous poussant vers cette Isle, Rendit à nos Vaisseaux l'abord promt et facile, Poussé par un destin que m'apprêtait l'amour, Je consultai l'Oracle et pressai mon retout.
Délos eſtoit à peine à nos yeux diſparuë, Qu’un Vaiſſeau Lycien s’offrit à nôtre veuë.	Délos était à peine à nos yeux disparue, Qu'un Vaisseau Lycien s'offrit à notre vue.
Vous ſçavez que ce Peuple en ſa haine affermy.	Vous savez que ce Peuple en sa haine affermi.
De Créſus dans la Grece eſt le ſeul ennemy.	De Crésus dans la Grèce est le seul ennemi.
Je l’aborde, & bientôt, pour taire tout le reſte, J’emporte une victoire à mon repos funeſte.	Je l'aborde, et bientôt, pour taire tout le reste, J'emporte une victoire à mon repos funeste.
J’entre avec mes Soldats dans le Vaiſſeau rendu.	J'entre avec mes Soldats dans le Vaisseau rendu.
Helas!	Hélas!
à ce malheur me ſerois-je attendu?	à ce malheur me serais-je attendu?
A peine y ſuis-je entré, qu’une aimable Princeſſe, Brillant de cet éclat que donne la jeuneſſe, Frape tout à la fois & mes yeux & mon cœur, Et triomphe à l’inſtant de ſon propre Vainqueur.	À peine y suis-je entré, qu'une aimable Princesse, Brillant de cet éclat que donne la jeunesse, Frappe tout à la fois et mes yeux et mon cœur, Et triomphe à l'instant de son propre Vainqueur.
Les cris des Matelots, ſes pleurs & ſes alarmes, 5 Sembloient à ſa beauté donner de nouveaux charmes, Immobile, confus, & plus qu’elle ſurpris, Ie tâche à raſſurer ſes timides eſprits.	Les cris des Matelots, ses pleurs et ses alarmes, 5 Semblaient à sa beauté donner de nouveaux charmes, Immobile, confus, et plus qu'elle surpris, Je tâche à rassurer ses timides esprits.
Mes reſpects, mes regards, tout, juſqu’à mon ſilencs.	Mes respects, mes regards, tout, jusqu'à mon silencs.
Dcres jeux ſur mon cœur luy marque la puiſfince, Et mon trouble luy dit au défant de ma voix, Qu’en luy donnant des fers, moy-même j’en reçois.	Des jeux sur mon cœur lui marque la puisfince, Et mon trouble avait dit au défant de ma voix, Qu'en lui donnant des fers, moi-même j'en reçois.
ADRASTE.	ADRASTE.
Nos vœux trouverent-ils quelque accés aupres d’elle?	Nos vœux trouvèrent-ils quelque accès auprès d'elle?
ATYS.	ATYS.
Non, Prince, à mes ſoûpirs ma Captive rebelle, Indiférente autant que j’eſtois empreſſé, Paya tous mes tranſports d’un ſilence glacé.	Non, Prince, à mes soupirs ma Captive rebelle, Indiférente autant que j'étais empressé, Paya tous mes transports d'un silence glacé.
Ses yeux d’un ſeul regard m’honorerent à peine.	Ses yeux d'un seul regard m'honorèrent à peine.
J’impute à ſa frayeur les marques de ſa haine.	J'impute à sa frayeur les marques de sa haine.
J'eſpere que ſon cœur remis de ſon effroy, Ecoutera l’amour qui luy parle pour moy.	J'espère que son cœur remis de son effroi, Écoutera l'amour qui était parle pour moi.
Je l’ameine en Lydie, & craignantque mon Pere Ne la vit d’un regard ou chagrin ou ſevere, Je la cache en ces lieux, & viens loin de la Cour Chercher l’occaſion d’agir pour mon amour.	Je l'amène en Lydie, et craignant mon Père Ne la vit d'un regard ou chagrin ou sévère, Je la cache en ces lieux, et viens loin de la Cour Chercher l'occasion d'agir pour mon amour.
T’aprens par mille cris qu’un long deüil accompagne, Qu’iin affreux Sanglier ravage la Campagne, Porte aux lieux d’alentour la terreur & la mort, Et du triſte Pactole enſanglante le bord.	T'apprends par mille cris qu'un long deuil accompagne, Qu'yin affreux Sanglier ravage la Campagne, Porte aux lieux d'alentour la terreur et la mort, Et du triste Pactole ensanglante le bord.
L’amour veut de ſa mort avoir toute la gloire, Il me montre quel fruit ſuivra cette victoire, Me flate qu’à l’envy le Peuple Lydien, S’il me doit ſon repo, s voudra faire le mien, Et que par un tel coup à ſes Etats utile, Mon Pere à mes ſouhaits deviendra plus facile.	L'amour veut de sa mort avoir toute la gloire, Il me montre quel fruit suivra cette victoire, Me flatte qu'à l'envi le Peuple Lydien, S'il me doit son répo, s voudra faire le mien, Et que par un tel coup à ses États utile, Mon Père à mes souhaits deviendra plus facile.
Vains projets!	Vains projets!
ma Captive étoufe ces deſſeins;	ma Captive étouffe ces desseins;
Quand j’aurois tout vaincu, vaincrois-je ſes dédains?	Quand j'aurais tout vaincu, vaincrais-je ses dédains?
Tendreſſe, ſoins, pitié, rien enfin ne la touche, Je ne puis arracher un ſeul mot de ſa bouche, En des pleurs éternels je la voy ſe noyer, En vain la main d’Atys s’offre à les eſſuyer.	Tendresse, soins, pitié, rien enfin ne la touche, Je ne puis arracher un seul mot de sa bouche, En des pleurs éternels je la vois se noyer, En vain la main d'Atys s'offre à les essuyer.
L’Ingrate, pour tout prix des maux où je m’expoſe, Me demande la mort que ſa rigueur me cauſe.	L'Ingrate, pour tout prix des maux où je m'expose, Me demande la mort que sa rigueur me cause.
ADRASTE.	ADRASTE.
Quel ſujet contre vous revolte ſes apas, Luy fait à vôtre amour préferer le trépas?	Quel sujet contre vous révolte ses appas, Lui fait à votre amour préférer le trépas?
Bourquoy ces pleurs?	Bourquoi ces pleurs?
d’où vient l’ennuy qui la devore?	d'où vient l'ennui qui la dévore?
Quel eſt enfin ſon nom, ſa race?	Quel est enfin son nom, sa race?
ATYS.	ATYS.
Ie l’ignore, Prince.	Je l'ignore, Prince.
C’eſt un ſecret qu’on s’obſtine à cacher.	C'est un secret qu'on s'obstine à cacher.
D’elle & des ſiens en vain j’ay voulu l’arracher;	D'elle et des siens en vain j'ai voulu l'arracher;
Mais ſon air noble & grand, ſa fierté, ſon courage, Du ſang dont elle ſort, tout me rend témoignage.	Mais son air noble et grand, sa fierté, son courage, Du sang dont elle sort, tout me rend témoignage.
Que de charmes!	Que de charmes!
Quel cœur.	Quel cœur.
Mais je veux qu’en ces lieux, Prince, de ſa beauté vous jugiez par vos yeux.	Mais je veux qu'en ces lieux, Prince, de sa beauté vous jugiez par vos yeux.
Je l’attens.	Je l'attends.
C’eſticy qu’aux pleurs abandonnée, Elle vient en ſecret plaindre ſa deſtinée.	C'étici qu'aux pleurs abandonnée, Elle vient en secret plaindre sa destinée.
SCENE II.	SCÈNE II.
ADRASTE, ATYS, LYCASTE.	ADRASTE, ATYS, LYCASTE.
LYCASTE.	LYCASTE.
ERixene, Seigneur.	ERixène, Seigneur.
ATYS.	ATYS.
Hé bien.	Hé bien.
LYCASTE.	LYCASTE.
Arrive iey.	Arrive iey.
O Dieux!	Ô Dieux!
AIIO.	AIIO.
LYCASTE.	LYCASTE.
Le Roy bientôt doit arriver auſſy.	Le Roi bientôt doit arriver aussi.
ATYS.	ATYS.
Le Roy la ſuit!	Le Roi la suit!
Quel coup!	Quel coup!
Mes feux pour l’Etrãgere, Me livrent au courroux d’une Amante & d’un Pere.	Mes feux pour l'Étrangère, Me livrent au courroux d'une Amante et d'un Père.
J’en douterois en vain.	J'en douterais en vain.
Unis pour me troubler De reptoches l’un l’autre ils viennent m’accabler, Ah Ciel !	Unis pour me troubler De réptoches l'un l'autre ils viennent m'accabler, Ah Ciel !
LYCASTE.	LYCASTE.
C’eſt trop tarder.	C'est trop tarder.
ATYS.	ATYS.
Que veux tu?	Que veux tu?
LYCASTE.	LYCASTE.
Lt tamps pieſſe.	Lt tamps piesse.
Il faut aller, Seigneur, recevoir la Princeſſe.	Il faut aller, Seigneur, recevoir la Princesse.
ATYS.	ATYS.
Prince, vous le voyez, une ſevere Loy Veut que j’aille au devant d’Erixene & du Roy.	Prince, vous le voyez, une sévère Loi Veut que j'aille au devant d'Erixène et du Roi.
Ne ſuivez point mes pas.	Ne suivez point mes pas.
Voyez mon Inhumaine, Peignez luy mon amour, ma conſtance & ma peine.	Voyez mon Inhumaine, Pelez luimon eur, ma constance et ma peine.
Poul la touenei, nelas !	Poul la touènei, nélas !
dans tout votre entretien, Que n’avez-vous pourelle un cœur comme le mien?	dans tout votre entretien, Que n'avez-vous pourelle un cœur comme le mien?
Elle vient.	Elle vient.
Que d’attraits!	Que d'attraits!
SCENE III.	SCÈNE III.
ADRASTE, ATYS, HESIONE, CLEONE, LYCASTE.	ADRASTE, ATYS, HÉSIONE, CLEONE, LYCASTE.
ADRASTE à part.	ADRASTE à part.
AH Dieux, c’eſt Héſione:	AH Dieux, c'est Hésione:
HESIONE.	HÉSIONE.
Que voy-je, juſte Ciel!	Que vois-je, juste Ciel!
Ah ſoûtiens-moy, Cleone.	Ah soutiens-moi, Cléone.
ATYS à Héſione.	ATYS à Hésione.
Vous vous troublez.	Vous vous troublez.
Helas!	Hélas!
Quoy toujours ce courroux?	Quoi toujours ce courroux?
Toûjours ma veuë eſt-elle un ſuplice pour vous, Madame?	Toujours ma vue est-elle un supplice pour vous, Madame?
Je le voy, ma plainte vous offenſe, Je vay vous épargner l’ennuy de ma préſence.	Je le vois, ma plainte vous offense, Je vais vous épargner l'ennui de ma présence.
Mais un autre moy-même, un Amy plein de foy, Adraſte, aupres de vous demeurera pour moy.	Mais un autre moi-même, un Ami plein de foi, Adraste, auprès de vous demeurera pour moi.
Souffrez que de mon cœur interprete fidelle, Il vous peigne des maux confiez à ſon zele.	Souffrez que de mon cœur interprète fidèle, Il vous peigne des maux confiez à son zèle.
Daignez l’entendre au moins, Madame, & qu’aujourd huy, Vôtre haine pour moy n’aille pas juſqu’à luy.	Daignez l'entendre au moins, Madame, et qu'aujourd' hui, Votre haine pour moi n'aille pas jusqu'à H.
OCENEEV.	OCENEU.
ADRASTE, HESIONE, CLEONE.	ADRASTE, HÉSIONE, CLEONE.
ADRASTE.	ADRASTE.
ESt-ce vous que je voy?	ESt-ce vous que je vois?
Ma Princeſſe en Lydie?	Ma Princesse en Lydie?
Au raport de mes yeux faut-ilque je me fie?	Au rapport de mes yeux faut-ilque je me fie?
M’attendois-je au bonheur dont me comble ce jour?	M'attendais-je au bonheur dont me comble ce jour?
Quel favorable Dieu vous rend à mon amour?	Quel favorable Dieu vous rend à mon amour?
Quoy cõtre mõ eſpoir, je puis donc voir ces charmes, Pour qui j’ay ſi longtemps répandu tant de larmes?	Quoi cõtre mon espoir, je puis donc voir ces charmes, Pour qui j'ai si longtemps répandu tant de larmes?
Que de maux loin de vous a ſoufert vôtre Amant, Traînant de Ville en Ville un long baniſſement!	Que de maux loin de vous a souffert votre Amant, Traînant de Ville en Ville un long banissement!
Sans apuy, ſans Patrie, en proye à ma miſere, Obſedé nuit & jour de l’Ombre de mon Frere, Des Hommes & des Dieux éprouvant le courroux, Mon plus cruel tourment fut d’étre loin de vous.	Sans appui, sans Patrie, en proie à ma misère, Obredé nuit et jour de l'Ombre de mon Frère, Des Hommes et des Dieux éprouvant le courroux, Mon plus cruel tourment fut d'être loin de vous.
HESIONE.	HÉSIONE.
Faut-il de mes ennuis que je vous entretienne?	Faut-il de mes ennuis que je vous entretienne?
Peignant vôtre douleur, vous avez peint la mienne, Toûjours triſte, toûjours me noyant dans mes pleurs, Je craignois que la mort n’eut finy vos malheurs.	Peignant votre douleur, vous avez peint la mienne, Toute triste, toujours me noyant dans mes pleurs, Je craignais que la mort n'eut fini vos malheurs.
Vôtre Pere qui touche à ſon heure fatale, Agité d’une crainte à mes frayeurs égale, Voulut pour raſſurer ſes eſprits incertains, Envoyer à Délos aprendre vos deſtins.	Votre Père qui touche à son heure fatale, Agité d'une crainte à mes frayeurs égale, Voulut pour rassurer ses esprits incertains, Envoyer à Délos apprendre vos destins.
