M BimN	M MimN
Des fabuleux Exploits que la Grece a chantez, Par un brillant amas de belles veritez Nous voyons la gloire effacée, Et tous ces fameux demy-dieux, Que vante l’Hiſtoire paßée, Ne ſont point à noſtre pensée, Ce que LOVIS eſt à nos yeux.	Des fabuleux Exploits que la Grèce a chantez, Par un brillant amas de belles vérités Nous voyons la gloire effacée, Et tous ces fameux demi-dieux, Que vante l'Histoire passée, Ne sont point à notre pensée, Ce que LOUIS est à nos yeux.
BALLET.	BALLET.
Les Bergers & Bergeres de ſon coſté, font encore la meſme choſe.	Les Bergers et Bergères de son côté, font encore la même chose.
ORILAS.	ORILAS.
LOVIS fait à nos temps par ſes faits inoüis Croire tous les beaux faits que nous chante l’hiſtoire Des Siecles évanoüis:	LOUIS fait à nos temps par ses faits inoüis Croire tous les beaux faits que nous chante l'histoire Des Siècles évanouis:
Mais nos Neveux dans leur gloire, N’auront rien qui faſſe croire Tons les veuna jaiis de Boris.	Mais nos Neveux dans leur gloire, N'auront rien qui fasse croire Tons les veuna jaiis de Boris.
BALLET.	BALLET.
Les Bergeres de ſon coſté font encore de meſme, aprés quoy les deux partis ſe meſlent.	Les Bergères de son côté font encore de même, après quoi les deux partis se mêlent.
PAN, ſuivy de ſix Faunes.	PAN, suivi de six Faunes.
Laiſſez, laiſſez Bergers, ce deſſein temeraire, Hé, que voulez-vous faire?	Laissez, laissez Bergers, ce dessein téméraire, Hé, que voulez-vous faire?
Chanter ſur vos chalumeaux, Ce qu'Appollon ſur ſa Lyre Avec ſes chants les plus beaux, N’entreprendroit pas de dire C’eſt donner trop d’Eſſor au feu qui vous inſpire, C’eſt monter vers les Cieux ſur des aiſles de Cire, Pour tomber dans le fonds des Eaux.	Chanter sur vos chalumeaux, Ce qu'Apollon sur sa Lyre Avec ses chants les plus beaux, N'entreprendrait pas de dire C'est donner trop d'Essor au feu qui vous inspire, C'est monter vers les Cieux sur des ailes de Cire, Pour tomber dans le fonds des Eaux.
Pour chanter de LOVIS, l’intrepide courage, Il n’eſt point d’aſſez docte voix, Point de mots aſſez grands pour en tracer l’Image?	Pour chanter de LOUIS, l'intrépide courage, Il n'est point d'assez docte voix, Point de mots assez grands pour en tracer l'Image?
Le ſilence eſt le langage Qui doit loüer ſes Exploits.	Le silence est le langage Qui doit louer ses Exploits.
Conſacrez d’autres ſoins à ſa pleine Victoire, Vos loüanges n’ont rien qui flatte ſes deſirs, LaiſſeZ, laiſsez-là ſa gloire Ne ſongez qu’à ſes plaiſirs.	Consacrez d'autres soins à sa pleine Victoire, Vos louanges n'ont rien qui flatte ses désirs, Laissez, laissez-là sa gloire Ne songez qu'à ses plaisirs.
Laißons, laißons-là ſa gloire Ne ſongeons qu’à ſes plaiſirs.	Laissions, laissons-là sa gloire Ne songeons qu'à ses plaisirs.
LORE.	LORE.
Bien que pour étaler ſes vertus immortelles La force manque à vos eſprits.	Bien que pour étaler ses vertus immortelles La force manque à vos esprits.
Ne laißez-pas tous-deux de recevoir le prix.	Ne laissez-pas tous-deux de recevoir le prix.
Dans les choſes grandes & belles Il ſuffit d’avoir entrepris.	Dans les choses grandes et belles Il suffit d'avoir entrepris.
ENTRE’E DE BALLET.	ENTRE DE BALLET.
Les deux Zephirs dançent avec deux couronnes de Fleurs à la main, qu’ils viennent donier emtite aux deux Bergers.	Les deux Zéphyr dançent avec deux couronnes de Fleurs à la main, qu'ils viennent donier emtite aux deux Bergers.
CLIMENE ET DAPHNE' en leul domiant la maiii Dans les choſes grandes & belles Il ſuffit d’avoir entrepris.	CLIMENE ET DAPHNE en leul domiant la maii Dans les choses grandes et belles Il suffit d'avoir entrepris.
TIRCIS ET DORILAS.	TIRCIS ET DORILAS.
Hâ!	Hâ!
que d’un doux ſuccez noſtre audace eſt ſuivie.	que d'un doux succès notre audace est suivie.
LORE ET PAN.	LORE ET PAN.
Ce qu’on fait pour LOVIS, on ne le perd jamais.	Ce qu'on fait pour LOUIS, on ne le perd jamais.
LES QUATRE AMANS.	LES QUATRE AMANS.
Au ſoin de ſes plaiſirs donnons-nous déſormais.	Au soin de ses plaisirs donnons-nous désormais.
A iiij Heureux, heureux, qui peut luy conſacrer ſa vie.	À jij à, heureux, qui peut lui consacrer sa vie.
Ioignons tous dans ces bois Nos flutes & nos voix, Ce jour nous y convie, Et faiſons aux Echos redire mille fois, LOVIS eſt le plus grand des Rois.	Ioignons tous dans ces bois Nos flutes et nos voix, Ce jour nous y convie, Et faisons aux Échos redire mille fois, LOUIS est le plus grand des Rois.
Heureux, heureux, qui peut luy conſacrer ſa vie.	Heureux, heureux, qui peut ton consacrer sa vie.
DERNIERE ET GRANDE ENTRE'E DE BALLET.	DERNIÈRE ET GRANDE ENTRE DE DE BALLET.
Faunes, Bergers & Bergeres tous ſe meſlent, & il ſe fait entr’eux des jeux de dançe, aprés quoy ils ſe vont preparer pour la Comedie.	Faunes, Bergers et Bergères tous se mêlent, et il se fait entr'eux des jeux de dançe, après quoi ils se vont préparer pour la Comédie.
AVTRE PROLOGVE.	AUTRE PROLOGUE.
JOſtre plus haut ſçavoir n’eſt que pure chimere, Vains & peu ſages Medecins, Vous ne pouvez guerir par vos grands mots Latins La douleur qui me deſeſpere.	JOtre plus hauteur sçavoir n'est que pure chimère, Vains et peu sages Médecins, Vous ne pouvez guérir par vos grands mots Latins La douleur qui me désespère.
Voſtre plus haut ſçavoir n’eſt que pure chimere.	Votre plus haut savoir n'est que pure chimère.
Helas!	Hélas!
helas!	hélas!
je n’oſe découvrir Mon amoureux martyre, Au Berger pour qui je ſoûpire, Et qui ſeul peut me ſecourir.	je n'ose découvrir Mon amoureux martyre, Au Berger pour qui je soupire, Et qui seul peut me secourir.
Ne pretendez pas le finir, Ignorans Medecins vous ne ſçauriez le faire, Voſtre plus haut ſçavoir n'eſt que purttmmere.	Ne prétendez pas le finir, Ignorants Médecins vous ne sauriez le faire, Votre plus haut après n'est que purttmmere.
Ces remedes peu ſeurs dont le ſimple vulgaire Croit que vous connoißez l’admirable vertu, Pour les maux que je ſens n’ont rien de ſalutaire, Et tout voſtre caquet ne peut eſtre reçu,	Ces remèdes peu sûrs dont le simple vulgaire Croit que vous connaissez l'admirable vertu, Pour les maux que je sens n'ont rien de salutaire, Et tout votre caquet ne peut avoir reçu,
Que d’un MALADE TMAGINAIRE.	Que d'un MALADE TMAGINAIRE.
Voſtre plus haut ſçavoir n’eſt que pure chimere.	Votre plus haut savoir n'est que pure chimère.
Vains & peu ſages, &c.	Vains et peu sages, etc.
Le Theâtre change & repreſente une Chambre.	Le Théâtre change et représente une Chambre.
ACTEVRS.	ACTEURS.
ARGAN, Malade Imaginaire.	ARGAN, Malade Imaginaire.
BELINE, ſeconde femme d’Argan.	BÉLINE, seconde femme d'Argan.
ANGELIQUE, Ihhle d'Argan & Amante de Cleante.	ANGELIQUE, Ihle d'Argan et Amante de Cléante.
LOUTSON, petite Tiile d’Argan, & Sœur a ſmgenque	LOUTSON, petite Tiile d'Argan, et Sœur a smgenque
BERALDE, Ilele dugan.	BERALDE, Ile dugan.
CLEANTE, Amant d’Angelique.	CLÉANTE, Amant d'Angélique.
M.	M.
DIAFOIRUS, Medecin.	DIAFOIRUS, Médecin.
THOMAS DIAFOIRUS ſon Fils, & mmane d’Angelique.	THOMAS DIAFOIRUS son Fils, et mmane d'Angélique.
M.	M.
PURGON, Medecin d’Argan.	PURGON, Médecin d'Argan.
M.	M.
FLEURANT, Apotiquaire d’Argan.	FLEURANT, Apothicaire d'Argan.
M.	M.
BONNEFOY, Notaire.	BONNEFOI, Notaire.
TOINETTE, Servante d’Argan.	TOINETTE, Servante d'Argan.
La Scene eſt à Paris.	La Scène est à Paris.
ACTE PREMIER.	ACTE PREMIER.
SCERE IICEMIEIEL.	SCERE IICEMIEIEL.
ARGAN.	ARGAN.
FTIRois & deux font cinq, & cinq ſont dix, & dix font vingt.	FTIRais et deux font cinq, et cinq sont dix, et dix font vingt.
Trois & deux font L cinq.	Trois et deux font L cinq.
Plus, du vingt-quatriéme un petit Clyſtere infinuatif, preparatif, & remollient, pour amollir, humecter, & rafraiſchir les entrailles de Monſieur, trente ſols.	Plus, du vingt-quatrième un petit Clystère infinuatif, préparatif, et remollient, pour amollir, hume, et rafraîchir les entrailles de Monsieur, trente sols.
Ce qui me plaiſt de Monſieur Fleurant mon Apotiquaire, c’eſt que ſes Parties ſont touſiours fort civiles.	Ce qui me plaît de Monsieur Fleurant mon Apothicaire, c'est que ses Parties sont toujours fort civiles.
Les entrailles de Monſieur, trente ſols!	Les entrailles de Monsieur, trente sols!
Ouy:	Oui:
mais, Monſieur Fleurant, ce n’eſt pas tout que d’eſtre civil, il faut eſtre auſſi raiſonnable, & ne pas écorcher les malades.	mais, Monsieur Fleurant, ce n'est pas tout que d'être civil, il faut être aussi raisonnable, et ne pas écorcher les malades.
Trente ſols un Lavement!	Trente sols un Lavement!
Je ſuis voſtre Serviteur, je vous l’ay déja dit.	Je suis votre Serviteur, je vous l'ai déjà dit.
Vous ne me les avez mis dans les autres Parties qu’à vingt ſols;	Vous ne me les avez mis dans les autres Parties qu'à vingt sols;
& vingt ſols en langage d’Apotiquaire, c’eſt à dire dix ſols.	et vingt sols en langage d'Apotiquaire, c'est -à -dire dix sols.
Les voilà.	Les voilà.
Plus, dudit jour un bon Clyſtere déterſif, compoſé avec Catholicon double, Rhubarbe, Miel roſat, & autres, ſuivant l’Ordonnance, pour balayer, laver, & nettoyer le bas ventre de Monſieur, trentre ſols.	Plus, dudit jour un bon Clystère détersif, composé avec Catholicomon double, Rhubarbe, Miel ros, et autres, suivant l'Ordonnance, pour balayer, laver, et nettoyer le bas ventre de Monsieur, trentre sols.
Avec voſtre permiſſion, dix ſols.	Avec votre permission, dix sols.
Plus, dudit iour, le ſoir, un Iulep hepatique, ſoporatif & ſomnifere, compoſé pour faire dormir Monſieur, trente-cinq ſols.	Plus, dudit jour, le soir, un Julep hépatique, soporatif et somnifère, composé pour faire dormir Monsieur, trente-cinq sols.
Je ne me plains pas de celuy-là, car il me fit bien dormir.	Je ne me plains pas de celui-là, car il me fit bien dormir.
Dix, quinze, ſeize, & dix- ſept ſols ſix deniers.	Dix, quinze, seize, et dix- sept sols six deniers.
Plus, du vingt-cinquiéme, une bonne Medecine purgative & icorroborative, compoſée de Caſſe recente, avec Sené Levantin, & autres, ſuivant l’Ordonnance de Monſieur Purgon, pour expulſer & évacuer la bile de Monſieur, quatre livres.	Plus, du vingt-cinquième, une bonne Médecine purgative et icorroborative, composée de Casse récente, avec Séné Levantin, et autres, suivant l'Ordonnance de Monsieur Purgon, pour expulser et évacuer la bile de Monsieur, quatre livres.
Ah!	Ah!
Monſieur Fleurant, c’eſt ſe mocquer, il faut vivre avec les Malades, Mouſieur Purgon ne vous a pas ordonné de mettre quatre livres.	Monsieur Fleurant, c'est se moquer, il faut vivre avec les Malades, Mous Purgon ne vous a pas ordonné de mettre quatre livres.
Mettez, mettez trois livres, s’il vous plaiſt.	Mettez, mettez trois livres, s'il vous plaît.
Vingt, & trente ſols.	Vingt, et trente sols.
Plus, dudit iour, une potion anodine & aſtringente, pour faire repoſer Monſieur, trente ſols.	Plus, dudit jour, une potion anodine et astringente, pour faire reposer Monsieur, trente sols.
Bon.	Bon.
Dix, & quinze ſols.	Dix, et quinze sols.
Plus, du vingt- ſixiéme, un Clyſtere carminatif, pour chaſſer les vents de Monſieur, trente ſols.	Plus, du vingt- sixième, un Clystère carminatif, pour chasser les vents de Monsieur, trente sols.
Dix ſols, Monſieur Fleurant.	Dix sols, Monsieur Fleurant.
Plus, le Clyſtere de Monſieur reïteré le ſoir, comme deſſus, trente ſols.	Plus, le Clystère de Monsieur reïteré le soir, comme dessus, trente sols.
Monſieur Fleurant, dix ſols.	Monsieur Fleurant, dix sols.
Plus, du vingt-ſeptiéme, une bonne Medecine compoſée pour hâter d’aller & chaſſer dehors les mauvaiſes humeurs de Monſieur, trois livres.	Plus, du vingt-septiême, une bonne Médecine composée pour hâter d'aller et chasser dehors les mauvaises humeurs de Monsieur, trois livres.
Bon.	Bon.
Vingt, & trente ſols.	Vingt, et trente sols.
Je ſuis bien aiſe que vous ſoyez raiſonnable.	Je suis bien aise que vous soyez raisonnable.
Plus, du vingt-huitiéme, une priſe de petit Lait clarifié & dulcoré, pour adoucir, lenifier, temperer & rafraiſchir le ſang de Monſieur, vingt ſols.	Plus, du vingt-huitième, une prise de petit Lait clarifié et dulcoré, pour adoucir, lénifier, tempérer et rafraîchir le sang de Monsieur, vingt sols.
Bon.	Bon.
Dix ſols.	Dix sols.
Plus, une Potion cordiale & preſervative, compoſée avec douze grains de Bezoard, sirops de Limon & Grenade, & autres, ſuivant l’Ordonnance, cinq livres.	Plus, une Potion cordiale et preservative, composée avec douze grains de Baloard, sirops de Limon et Grenade, et autres, suivant l'Ordonnance, cinq livres.
Ah, Monſieur Fleurant, tout doux, s’il vous plaiſt;	Ah, Monsieur Fleurant, tout doux, s'il vous plaît;
ſi vous en uſez comme cela, on ne voudra plus eſtre malade.	si vous en usez comme cela, on ne voudra plus être malade.
Contentez-vous de quarante ſols.	Contentez-vous de quarante sols.
Vingt, & quarante ſols, Trois, & deux font cinq, & cinq font dix, & dix font vingt.	Vingt, et quarante sols, Trois, et deux font cinq, et cinq font dix, et dix font vingt.
Soixante & trois livres quatre ſols ſix deniers.	Soixante et trois livres quatre sols six deniers.
Si bien donc que de ce mois i’ay pris une, deux, trois, quatre, cinq, ſix, ſept, huit, neuf, dix, onze, & douze Lavemens;	Si bien donc que de ce mois j'ai pris une, deux, trois, quatre, cinq, six, sept, huit, neuf, dix, onze, et douze Lavements;
& l’autre mois il y avoit douze Medecines & vingt Lavemens.	et l'autre mois il y avait douze Médecines et vingt Lavements.
Ie ne m’étonne pas ſi je ne me porte pas ſi bien ce mois-cy que l’autre.	Je ne m'étonne pas si je ne me porte pas si bien ce mois-cy que l'autre.
Ie le diray à Monſieur Purgon, afin qu’il mette ordre à cela.	Je le dirai à Monsieur Purgon, afin qu'il mette ordre à cela.
Allons, qu’on m’oſte tout cecy.	Allons, qu'on m'ôte tout ceci.
Il n’y a perſonne.	Il n'y a personne.
I’ay beau dire, on me laiſſe touſiours ſeul.	J'ai beau dire, on me laisse toujours seul.
Il n’y a pas moyen de les arreſter icy.	Il n'y a pas moyen de les arrêter ici.
Ils n’entendenc point, & ma Sonnette ne fait pas aſſez de bruit.	Ils n'entendenc point, et ma Sonnette ne fait pas assez de bruit.
Drelin, drelin, drelin.	Drelin, drelin, drelin.
Point d’affaire.	Point d'affaire.
Drelin, drelin, drelin.	Drelin, drelin, drelin.
Ils ſont ſourds.	Ils sont sourds.
Toinette.	Toinette.
Drelin, drelin, drelin.	Drelin, drelin, drelin.
Tout comme ſi je ne ſonnois point.	Tout comme si je ne sonnais point.
Chienne.	Chienne.
Coquine, drelin, drelin, drelin.	Coquine, drelin, drelin, drelin.
I’enrage.	J'enrage.
Drelin, drelin, drelin.	Drelin, drelin, drelin.
Carogne à tous les diables.	Carogne à tous les diables.
Eſt-il poſſible qu’on laiſſe comme cela un pauvre malade tout ſeul!	Est-il possible qu'on laisse comme cela un pauvre malade tout seul!
Drelin, drelin, ldrelin.	Drelin, drelin, ldrelin.
Voila qui eſt pitoyable.	Voilà qui est pitoyable.
Drelin, drelin, drelin.	Drelin, drelin, drelin.
Ah, mon Dieu, iils me laiſſeront icy mourir.	Ah, mon Dieu, jils me laisseront ici mourir.
Drelin, drelin, drelin.	Drelin, drelin, drelin.
SCENE II.	SCÈNE II.
TOINETTE, ARGAN.	TOINETTE, ARGAN.
ON y va.	ON y va.
TOINETTE.	TOINETTE.
ARGAN.	ARGAN.
Ah Chienne, ah Carogne.	Ah Chienne, ah Carogne.
TOINETTE.	TOINETTE.
Diantre ſoit fait de voſtre impatience:	Diantre soit fait de votre impatience:
Vous preſſez ſi fort les perſonnes, que je me ſuis donné un grand coup de la teſté contre la carne d’un Volet.	Vous pressez si fort les personnes, que je me suis donné un grand coup de la testé contre la carne d'un Volet.
ARGAN.	ARGAN.
Ah traiſtreſſe.	Ah traîtresse.
Ha!	Ha!
TOINETTE.	TOINETTE.
Il y a.	Il y a.
ARGAN.	ARGAN.
Ha!	Ha!
TOINETTE.	TOINETTE.
ARGAN.	ARGAN.
Ily à une neulc.	Ili à une neulc.
Ha ?	Ha ?
TOINETTE.	TOINETTE.
ARGAN.	ARGAN.
Tu m’as laiſſé.	Tu m'as laissé.
Ha!	Ha!
TOINETTE.	TOINETTE.
ARGAN.	ARGAN.
Tay-toydonc, Coquine, que je te querelle.	Tais-toidonc, Coquine, que je te querelle.
TOINETTE.	TOINETTE.
çamon, ma foy, j’en ſuis d’avis, apres ce que je me ſuis fait.	çamon, ma foi, j'en suis d'avis, après ce que je me suis fait.
ARGAN.	ARGAN.
