LES PARFAITS DENGERS, THIRSIS ET VRANIE.	LES PARFAITS DENGERS, THIRSIS ET VRANIE.
CHORILAS, Tu la trouuois donc bien changée.	CHORILAS, Tu la trouvais donc bien changée.
CHOR.	CHOR.
Et quand a finy ton ſonge?	Et quand a fini ton songe?
TH.	TH.
Iuſtement au leuer de l’aurore.	Justement au lever de l'aurore.
CHORILAS, De moy ie le prends à bonne augure, & crois que c’eſt vne prediction de l’heur qui ſecondera le deſſein que nous auons de te la rendre fauorable.	CHORILAS, De mo ie le prends à bonne augure, et crois que c'est une prédiction de l'heur qui secondera le dessein que nous avons de te la rendre favorable.
THIRSIS, Mon Chorilas, ie t’en coniure & i’en coniure auec toy tous ceux que i’ay touchez de quelque pitié.	THIRSIS, Mon Chorilas, une t'en conjure et j'en conjure avec toi tous ceux que j'ai touchez de quelque pitié.
THIRSIS, C’eſt à quoy ie vais acheuer de trauailler, auec ceux qui ſont de noſtre intelligence.	THIRSIS, C'est à quoi -je vais achever de travailler, avec ceux qui sont de notre intelligence.
THIRSIS, Mon Chorilas ie t’en coniure encore vn coup, au reſte tiens mon ſonge ſecret, & ſur tout garde bien qu'Vranie ne le ſçache.	THIRSIS, Mon Chorilas apprendre t'en conjure encore un coup, au reste tiens mon songe secret, et sur tout garde bien qu'Vranie ne le sache.
CHORILAS, Si ie ne ſçay pas ſeruir, au moins je ſçay ne pas nuire, pour le regard de ton affaire, il ne ſera rien oublié.	CHORILAS, Si on ne sais pas servir, au moins je sa ne pas servir, pour le regard de ton affaire, il ne sera rien oublié.
THIRSIS, Ie ne doute pas de ton amitié, ie ne doute ſeulement que de ma bonne fortune.	THIRSIS, Je ne doute pas de ton amitié, je ne doute seulement que de ma bonne fortune.
CHORILAS, Le Soleil commence à dorer l’entrée du iour qui s’auance peu a peu ſur le ſommet des montagnes, nos compagnons ſeront deſia à la Chapelle, où Helenor ſacrifie pour la proſperité de tes ſouhaits, il il eſt temps d’y aller.	CHORILAS, Le Soleil commence à dorer l'entrée du jour qui s'avance peu a peu sur le sommet des montagnes, nos compagnons seront déjà à la Chapelle, où Hélénor sacrifie pour la prospérité de tes souhaits, il il est temps d'y aller.
SCENE TROISIESME.	SCÈNE -TROISIÈME.
INTERMEDE.	INTERMÈDE.
LICANDRE ET SIREINE.	LICANDRE ET SIREINE.
IREINE, Licandre ſauue moy S la vie.	JREINE, Licandre sauve mo Y la vie.
LICAN.	LICAN.
Comment Sireine, qui te pourſuit?	Comment Sireine, qui te poursuit?
SIREINE, Cent mille ſortes d’ennemis à la fois.	SIREINE, Cent mille sortes d'ennemis à la fois.
LICANDRE, Tu as donc toute la Theſſalie ſur les bras.	LICANDRE, Tu as donc toute la Thessalie sur les bras.
SIREINE, Et pis encore:	SIREINE, Et pis encore:
car ie crois auoir tout l’Enfer bandé contre moy.	car tu crois avoir tout l'Enfer bandé contre moi.
LICANDRE, En tel cas ie te ſuis inutile:	LICANDRE, En tel cas ie te suis inutile:
car s’il eſt d’accord de te nuire ie ſuis de profeſſion de luy obeyr.	car s'il est d'accord de te nuire ici suis de profession de peine obéir.
SIREINE, Pour te parler plus clairement, preſte moy l’aſſiſtance de ton art, contre les perſecutions de Driope qui m’aſſaſſine & qui me tuëa force de m’aimer.	SIREINE, Pour te parler plus clairement, prête moi l'assistance de ton art, contre les persécutions de Driope qui m'assassine et qui me tuea force de m'aimer.
LICANDRE, Et bien ie te promets det en deliurer, à condition que tu me diras pourquoytu la traitesainſi.	LICANDRE, Et bien amour te promets dét en délivrer, à condition que tu me diras pourquoitu la traitesainsi.
SIREINE, Il y a quelque temps que ie deuins amoureux de la plus belle Nymphe que l’Amphriſe cache dans ſa profondeur, ſans contredit, toutes ſes compagnes luy rendent ce teſmoignage & l’emulation qui eſt entr'elles, ne les porta iamais au refus de luy ceder.	SIREINE, Il y a quelque temps que je devins amoureux de la plus belle Nymphe que l'Amphrise cache dans sa profondeur, sans contredit, toutes ses compagnes lui rendent ce témoignage et l'émulation qui est entr'elles, ne les porta jamais au refus de lui céder.
La premiere fois que ie la veis, par vne voye que ie ſerois trop long a te raconter, je me voüay tellement à luy plaire que du depuis ie n’ay point eu d’autre deſſein que celuy- la, & parce qu'vne amour n’eſt point vraye ſi elle n’eſt ſecrette, elle ordonna que ie ſerois priué de ſa conuerſation ſi toſt qu’on viẽdroit à la deſcouurir;	La première fois que je la veis, par une voie que sans serais trop long à te raconter, je me voudra tellement à la plaire que du depuis tu n'ai point eu d'autre dessein que celui- là, et parce qu'une amour n'est point vraie si elle n'est secrète, elle ordonna que deux serais privé de sa conversation si tôt qu'on viendrait à la découvrir;
c’eſt pourquoyi'euſſe voulu le pouuoir renuier par deſſus ce Berger, dont le corps n’eſtoit que veuës, ou pluſtoſt auoit les yeux de tout le monde, non tant pour y voir dauantage, qu’à fin de n’eſtre pas veu au retour de nos paſturages.	c'est pourquoii'eusse voulu le pouvoir renvier par -dessus ce Berger, dont le corps n'était que vues, ou plutôt avait les yeux de tout le monde, non tant pour y voir davantage, qu'à fin de n'être pas vu au retour de nos pâturages.
Ie me deuois retirer auec elle au bout de ce bois, où l’aſſignation eſtoit infaillible, d’autant qu’elle me promettoit de s’y trouuer toutes les fois que le couchant promet vn beau lendemain:	Je me devais retirer avec elle au bout de ce bois, où l'assignation était infaillible, d'autant qu'elle me promettait de s'y trouver toutes les fois que le couchant promet un beau lendemain:
alors dés que le Soleil entroit dans l’Ocean, Climene (c’eſt ſon nom) ſortoit de ce fleuue ſans eſtre moüillée, & me fauoriſoit de quelques heures de la preſence;	alors dès que le Soleil entrait dans l'Océan, Climene (c'est son nom) sortait de ce fleuve sans être mouillée, et me favorisait de quelques heures de la présence;
au moindre ombrage qui luy prenoit de quelque paſſant, elle fondoit dans la riujere ſans mener aucun bruit, & ſans rompre ſeulement le poly de ſa ſurface, puis entre deux eaux elle me continuoit ſon diſcours que i'entendois tout auſſi bien que s’il n’y eut eu entre elle & moy qu’vne vitre de Criſtal, & me ſouuiens que ſa voix partant de là, imitoit le ſon que font les ruiſſeaux, quand ils cajolent les prairies, hormis que le murmure en eſtoit mieux articulé, & marquoit mieux ſes paſſions.	au moindre ombrage qui lui prenait de quelque passant, elle fondait dans la riujere sans mener aucun bruit, et sans rompre seulement le poli de sa surface, puis que deux eaux elle me continuait son discours que j'entendais tout aussi bien que s'il n'y eut eu entre elle et moi qu'une vitre de Cristal, et me souviens que sa voix partant de là, imitait le son que font les ruisseaux, quand ils cajolent les prairies, hormis que le murmure en était mieux articulé, et marquait mieux ses passions.
LICAND.	LICAND.
Cela s’apelle que tu n’eſtois pas moins heureux que beau, que tes aſſiduitez ne manquerent pas d’obtenir leur recompenſe.	Cela s'appelle que tu n'étais pas moins heureux que beau, que tes assiduités ne manquèrent pas d'obtenir leur récompense.
SIREINE, Cela s’apelle qu’elle fut auſſi iuſte qu’aimable, & que mes ſeruices n’ont rien à luy reprocher.	SIREINE, Cela s'appelle qu'elle fut aussi juste qu'aimable, et que mes services n'ont rien à M reprocher.
LICANDRE', Et qui pourroit eſtre capable de ſeparer deux perſonnes ſi bien vnies?	LICANDRE', Et qui pourrait être capable de séparer deux personnes si bien unies?
SIREINE, A mon grand regret, il ne s’eſt que trop pû, comme le bonheur & la durée ne compatiſſent gueres enſemble, ce precieux threſor me fut preſque auſſi toſt rauy qu’enuié.	SIREINE, À mon grand regret, il ne s'est que trop pu, comme le bonheur et la durée ne compatissent guère ensemble, ce précieux thresor me fut presque aussi tôt ravi qu'envié.
Or i’en accuſe Driope pour pluſieurs raiſons, deſia elle s’eſt Vatée qu’a quelque prix que ce fut elle viendroit à bout de mon amitié, & que ie n’aurois point de repos durant qu’elle auroit vne riuale, c’eſt pourquoy elle aura ſans doute, tant de fois épié tous les lieux que ie frequentois, que ma Nymphe s’en ſera rebutée:	Or j'en accuse Driope pour plusieurs raisons, déjà elle s'est Vatée qu'a quelque prix que ce fut elle viendrait à bout de mon amitié, et que je n'aurais point de repos durant qu'elle aurait une rivale, c'est pourquoi elle aura sans doute, tant de fois épié tous les lieux que ie fréquentais, que ma Nymphe s'en sera rebutée:
adiouſte que du moment que Glimene ne reuient plus, quelque priere que ie luy en face, & quelques larmes que ie verſe au bord de ſa retraite;	ajoute que du moment que Glimène ne revient plus, quelque prière que personne était en face, et quelques larmes que mille verse au bord de sa retraite;
ceſte-cy n’a rien oublié, pour taſcher d’atraper & d’enuahir mon affection.	cette-cy n'a rien oublié, pour tâcher d'atraper et d'envahir mon affection.
LICANDRE, Eſt il vray qu’elle ſoit ſi dangereuſe?	LICANDRE, Est -il vrai qu'elle soit si dangereuse?
LICANDRE, Tant y a qu’il ne tiendra pas à moy que tu ne ſois ſatisfait, pourueu qu’elleſne s’en doute point, & que ie ſois hors d’vne affaire qui m’appelle icy.	LICANDRE, Tant y a qu'il ne tiendra pas à moi que tu ne sois satisfait, pourvu qu'ellesne s'en doute point, et que sans sois hors d'une affaire qui m'appelle ici.
SIREINE, Quand reuiendray-je?	SIREINE, Quand reviendrai-je?
LICANDRE, Quand ie t'en feray aduertir, ou bien il vaut mieux que tu m’attendes dãs la route du vieux Cheſne où eſt l’Autel des Egypans, là ie te bailleray la recepte dont tu as beſoin.	LICANDRE, Quand on t'en ferai avertir, ou bien il vaut mieux que tu m'attendes dans la route du vieux Chêne où est l'Autel des Égypants, là tu te baîllerai la recepte dont tu as besoin.
Si Driope eſt telle qu’il me la depeint, ha!	Si Driope est telle qu'il me la dépeint, ha!
le bon party que caeſt là pour vn Enchanteur:	le bon parti que caêt là pour un Enchanteur:
nous n’auons pas touſiours à noſtre diſpoſition les puiſſances de l’Enfer, il y faut affecter les plus noires nuits de l’année, prononcer des adiurations qui fendent la terre, obſeruer SIREINE, Ne penſe paste mocquer, elle leur apprendroit leurmeſtier en ce qui eſt de mal faire.	nous n'avons pas toujours à notre disposition les puissances de l'Enfer, il y faut affecter les plus noires nuits de l'année, prononcer des ajurations qui fendent la terre, observer SIREINE, Ne pense pâte moquer, elle leur apprendrait leurmestier en ce qui est de mal faire.
des ceremonies afreuſes & penibles:	des cérémonies afreuses et pénibles:
mais vne femme comme celle-là, eſt vne vraye Megere, & vn Demon domeſtique qu’on peut touſiours employer:	mais une femme comme celle-là, est une vraie Mégère, et un Démon domestique qu'on peut toujours employer:
tentons la fortune.	tentons la fortune.
PHAON ET LICANDRE.	PHAN ET LICANDRE.
HAON, Vn mot Licandre, Vn T mot.	HAN, Un mot Licandre, Un T mot.
LICANDRE, Et Phaon, Qui t ameine icy?	LICANDRE, Et Phaon, Qui t âmeine ici?
PHAON, La iuſtice d’vne demande que i’ay a te faire.	PHAN, La justice d'une demande que j'ai a te faire.
Yole ma maiſtreſſe & moy menons vne vie tellement heureuſe qu’il n’y manque	Yole ma maîtresse et moi menons une vie tellement heureuse qu'il n'y manque
SCENE QVATRIESME.	SCÈNE QUATRIÈME.
INTERMEDE.	INTERMÈDE.
rien deſormais que l’Eternité.	rien désormais que l'Éternité.
Toutes nos penſées ſont ſœurs,tous nos ſentimens ſont freres, & ſi la nature a mis entre elle & moy quelque difference, ce n’a eſté que pour nous laiſſer quelque ſujet de nous vnir:	Toutes nos pensées sont sœurs,tous nos sentiments sont frères, et si la nature a mis entre elle et moi quelque différence, ce n'a été que pour nous laisser quelque sujet de nous unir:
il ſemble que mon inclination ſoit la ſource de la ſienne, & que i’ayme ou haiſſe doublement, à cauſe que nous auons les meſmes volontez & les meſmes auerſions.	il semble que mon inclination soit la source de la sienne, et que j'aime ou haïsse doublement, à cause que nous avons les mêmes volontés et les mêmes aversions.
Auſſi nous ne contons les années que par nos delices, le mois & le moment ſe confondent dedans nos plaiſirs, partant de peur d’eſtre ingrats à ceſte bonne fortune nous voudrions luy procurer par ton entremiſe vne durée qui n’euſt point de fin.	Aussi nous ne contons les années que par nos délices, le mois et le moment se confondent dedans nos plaisirs, partant de peur d'être ingrats à cette bonne fortune nous voudrions était procurer par ton entremise une durée qui n'eût point de fin.
Iadis des Magiciens ordinaires pûrent bien retirer des Enfers Proteſilas & Alceſtis nos compatriotes, toy qui es le maiſtre de l’art, & qu’on appelle par LICANDRE, C’eſt vn diſcours de longue haleine, & qui voudroit vn autre loiſir.	Jadis des Magiciens ordinaires purent bien retirer des Enfers Protesilas et Alcestis nos compatriotes, toi qui es le maître de l'art, et qu'on appelle par LICANDRE, C'est un discours de longue haleine, et qui voudrait un autre loisir.
Cependant ie t’accorde que le bon-heur n’auroit rien à deſirer que l’immortalité, afin d’eſtre immuable, apres cela ie te prie de croire que mon induſtrie eſt toute acquiſe à de ſi parfaits amans.	Cependant ie t'accorde que le bonheur n'aurait rien à désirer que l'immortalité, afin d'être immuable, après cela ie te prie de croire que mon industrie est toute acquise à de si parfaits amants.
PHAON, Apres mille actions de graces, i'accepte ton offre attendãt que le temps & l’occaſion nous permettẽt dé nous en ſeruir:	PHAN, Après mille actions de grâces, j'accepte ton offre attendant que le temps et l'occasion nous permettẽt dé nous en servir:
mais il y a encore vne choſe à te propoſer, Tirteta mon couſin, fils de l’excellente excellence vn Pluton viſible, ne peux tu pas empeſcher que nous n’y deſcendions point?	mais il y a encore un chose à te proposer, Tirteta mon cousin, fils de l'excellente excellence un Pluton visible, ne peux -tu pas empêcher que nous n'y descendions point?
ou bien ſi nous pretendons vne choſe du tout impoſſible, trouuons vn accommodement raiſonnable, n’y a il pas moyen a y demeurer eene ans a nent auolr que vingt?	ou bien si nous prétendons une chose du tout impossible, trouvons un accommodement raisonnable, n'y a il pas moyen à y demeurer cène ans a nent auolr que vingt?
Cidippe, implore ton ſecoürs contre ſes deſaſtres.	Cidippe, implore ton secouir contre ses désastres.
