TIISCIIDVII COMEDIE.	TIISCIIDVI COMÉDIE.
Hoſteſſes de leur tronc, moindres Divinitez, C’eſt Loüis qui le veut, ſortez Nymphes, ſortez;	Hôtesses de leur tronc, moindres Divinités, C'est Longis qui le veut, sortez Nymphes, sortez;
Ie vous montre l’exemple, il s’agit de luy plaire, Quittez pour quelque temps voſtre forme ordinaire, Et paroiſſons enſemble aux yeux des ſpectateurs, Pour ce nouueau Theatre, autant de vrais Acteurs.	Je vous montre l'exemple, il s'agit de lui plaire, Quittez pour quelque temps votre forme ordinaire, Et paraissons ensemble aux yeux des spectateurs, Pour ce nouveau Théâtre, autant de vrais Acteurs.
Vous, Soin de ſes ſujets, ſa plus charmante eſtude, Heroique ſoucy, Royale inquietude, Laiſſez le reſpirer, & ſouffrez qu’vn moment Son grand cœur s’abandonne au divertiſſement:	Vous, Soin de ses sujets, sa plus charmante étude, Héroïque souci, Royale inquiétude, Laissez le respirer, et souffrez qu'un moment Son grand cœur s'abandonne au divertissement:
Vous le verrez demain d’vne force nouvelle Sous le fardeau penible, où voſtre voix l’appelle, Faire * Pluſieuus Driades accompagnées de Faunes & Faire obeïr les loix, partager les bien-faits, Par ſes propres conſeils prévenir nos ſouhaits, Maintenir l’Vnivers dans vne paix profonde, Et s’oſter le repos pour le donner au monde.	Vous le verrez demain d'une force nouvelle Sous le fardeau pénible, où votre voix l'appelle, Faire * Plusieuieu Dryades accompagnées de Faunes et Faire obéir les lois, partager les bienfaits, Par ses propres conseils prévenir nos souhaits, Maintenir l'Univers dans une paix profonde, Et s'ôter le repos pour le donner au monde.
Qu'aujourd’huy tout luy plaiſe, & ſemble conſentir A l’vnique deſſein de le bien divertir.	Qu'aujourd'hui tout lui plaise, et semble consentir A l'unique dessein de le bien divertir.
Faſcheux retirez-vous;	Fâcheux retirez-vous;
ou s’il faut qu’il vous voye, Que ce ſoit ſeulement pour exciter ſa joye.	ou s'il faut qu'il vous voie, Que ce soit seulement pour exciter sa joie.
La Nayade emmene avec elle, pour la Comedie, vne partie des gens qu’elle a fait paroiſtre, pendant que le reſte ſe met à danſer au ſon des Hauts-bois, qui ſe joignent aux Violons.	La Nayade emmene avec elle, pour la Comédie, une partie des gens qu'elle a fait paraître, pendant que le reste se met à danser au son des Hauts-bois, qui se joignent aux Violons.
ALCANDRE.	ÀLCANDRE.
LES FASCHEVX COMEDIE.	LES FÂCHEUX COMÉDIE.
ACTE PREMIER.	ACTE PREMIER.
SCENE PREMIERE.	SCÈNE PREMIÈRE.
ERASTE, LA MONTAGNE.	ERASTE, LA MONTAGNE.
ERASTE.	ERASTE.
OVS quel aſtre, bon Dieu, faut-il que ie ſois né,  Pour eſtre des Faſcheux toûjours aſvelle ſaſſiné!	OUS quel astre, bon Dieu, faut-il que . sois né, Pour été des Fâcheux toujours asvelle sassiné!
Il ſemble que par tout le ſort me les adreſſe, Et i’en vois chaque iour quelque nouvelle eſpece.	Il semble que par tout le sort me les adresse, Et j'en vois chaque jour quelque nouvelle espèce.
Mais il n’eſt rien d’égal au Faſcheux d’aujourd’huy, I’ay creu n’eſtre iamais deberraſſé de luy;	Mais il n'est rien d'égal au Fâcheux d'aujourd'hui, J'ai cru n'être jamais déberrassé de Seigneur;
D M IASCIILVA Et, cent fois, i’ay maudit cette innocente envie Qui m’a pris à diſné, de voir la Comedie, Où, penſant m’égayer, i’ay miſerablement, Trouvé de mes pechez le rude chaſtiment.	 M DASCIILUA Et, cent fois, j'ai maudit cette innocente envie Qui m'a pris à dîné, de voir la Comédie, Où, pensant m'égayer, j'ai misérablement, Trouvé de mes péchés le rude châtiment.
Il faut que ie te faſſe vn recit de l’affaire;	Il faut que Seigneur te fasse un récit de l'affaire;
Car ie m’en ſens encor tout émeu de colere.	Car ie m'en sens encor tout ému de colère.
I’eſtois ſur le Theatre, en humeur d’écouter La piece, qu’à pluſieurs i’avois oüy vanter;	J'étais sur le Théâtre, en humeur d'écouter La pièce, qu'à plusieurs j'avais oui vanter;
Les Acteurs commençoient, chacun preſtoit ſilence, Lors que d’vn air bruyant, & plein d’extravagance, Vn homme à grands canons eſt entré bruſquement, En criant, hola-ho, vn ſiege promptement;	Les Acteurs commençaient, chacun prêtait siège, Lors que d'un air bruyant, et plein d'extravagance, Un homme à grands canons est entré brusquement, En criant, holà-ho, un siège promptement;
Et de ſon grand fracas ſurprenant l’aſſemblée, Dans le plus bel endroit à la piece troublée.	Et de son grand fracas surprenant l'assemblée, Dans le plus bel endroit à la pièce troublée.
Hé mon Dieulnos François ſi ſouuent redreſſez, Ne prendront-ils iamais vn air de gens ſenſez, Ay-ie dit, & faut-il ſur nos defaues extremes, Qu’en theatre public nous nous ioüions nousmeſmes, Et confirmions ainſi, par des éclats de foux, Ce que chez nos voiſins on dit partout de nous!	Hé mon Dieulos Français si souvent redressez, Ne prendront-ils jamais air de gens sensé, Ai-je dit, et faut-il sur nos défaves extrêmes, Qu'en théâtre public nous nous ions nousmesmes, Et confirmions ainsi, par des éclats de foux, Ce que chez nos voisins on dit partout de nous!
Tandis que là deſſus ie hauſſois les épaules, Les Acteurs ont voulu continuer leurs Rôles:	Tandis que là dessus ici haussais les épaules, Les Acteurs ont voulu continuer leurs Rôles:
Mais l’homme, pour s’aſſeoir, a fait nouveau fracas, Et traverſant encor le Theatre à grands pas, Bien que dans les coſtez il pût eſtre à ſon aiſe, Au milieu du devant il a planté ſa chaiſe, Et de ſon large dos morguant les ipeceateurs, Aux trois quarts du parterre a caché les Acteurs.	Mais l'homme, pour s'asseoir, a fait nouveau fracas, Et traversant encor le Théâtre à grands pas, Bien que dans les côtés il pût être à son aise, Au milieu du devant il a planté sa chaise, Et de son large dos morguant les ipèceateurs, Aux trois quarts du parterre a caché les Acteurs.
Vnbruit s’eſt élevé, dont vn autre euſt eu honte;	Unbruit s'est élevé, dont un autre eût eu honte;
Car les gens du bel air pour agir galemment Se gardent bien ſur tout d’oüir le dénoument, Mais luy, ferme, & conſtant, n’en a fait aucun conte;	Car les gens du bel air pour agir galement Se gardent bien sur tout d'ouïr le dénoument, Mais tu, ferme, et constant, n'en a fait aucun compte;
Et ſe ſeroit tenu comme il s’eſtoit posé, Si, pour mon infortune, il ne m’euſt avisé.	Et se serait tenu comme il s'était posé, Si, pour mon infortune, il ne m'eût avisé.
Ha Marquis, m’a-t’il dit, prenant prés de moy place, Comment te portes-tu?	Ha Marquis, m'a-t-il dit, prenant près de moi place, Comment te portes-tu?
ſouffre que ie t’embraſſe:	souffre que personne t'embrasse:
Au viſage ſur l’heure, vn rouge m’eſt monté, Que l’on me viſt connu d’vn pareil éventé.	Au visage sur l'heure, Un rouge m'est monté, Que l'on me vît connu d'un pareil éventé.
Ie l’eſtois peu pourtant, mais on en voit paroiſtre, De ces gens qui de rien veulent fort vous connoiſtre, Dont il faut au ſalut les baiſers eſſuyer, Et qui ſont familiers iuſqu’à vous tutoyer.	Je l'étais peu pourtant, mais on en voit paraître, De ces gens qui de rien veulent fort vous connaître, Dont il faut au salut les baisers essuyer, Et qui sont familiers jusqu'à vous tutoyer.
Il m’a fait, à l’abord, cent queſtions frivoles, Plus haut que les Acteurs eſleuant ſes paroles.	Il m'a fait, à l'abord, cent questions frivoles, Plus haut que les Acteurs élevant ses paroles.
Chacun le maudiſſoit, & moy pour l’arreſter, Ie ſerois, ay-ie dit, bien aiſe d’écouter.	Chacun le maudissait, et moi pour l'arrêter, Ie ais, ai-je dit, bien aise d'écouter.
Tu n’as point veu cecy, Marquis, ah!	Tu n'as point vu ceci, Marquis, ah!
Dieu me danne, Ie le trouve aſſez drole, & ie n’y ſuis pas aſne;	Dieu me danne, Je le trouve assez drôle, et ici n'y suis pas âne;
Ie ſçay par quelles loix vn ouvrage eſt parfait, Et Corneille me vient lire tout ce qu’il fait.	Je sais par quelles lois un ouvrage est parfait, Et Corneille me vient lire tout ce qu'il fait.
Là deſſus de la piece i, m’a fait vn ſommaire, Scene, à Scene, averty de ce qu’il falloit faire, Et iuſques à des Vers qu’il en ſçavoit par cœur, Il me les recitoi- tout haut avant l’Acteur.	Là -dessus de la pièce y, m'a fait un sommaire, Scène, à Scène, averti de ce qu'il fallait faire, Et jusques à des Vers qu'il en savait par cœur, Il me les récitoi- tout haut avant l'Acteur.
I’avois beau m’en deffendre, il a pouſſé ſa chance, Et s’eſt, devers la fin, levé long-temps d’avance;	J'avais beau m'en défendre, il a poussé sa chance, Et s'est, devers la fin, levé longtemps d'avance;
A iiij	À jijà
4 LES FASCHEVX, Ie rendois grace au Ciel, & croyois de iuſtice, Qu’avec la Comedie euſt finy mon ſupplice:	4 LES FÂCHEUX, Je rendais grâce au Ciel, et croyais de justice, Qu'avec la Comédie eût fini mon supplice:
Mais, comme ſi c’en euſt eſté trop bon marché, Sur nouveaux frais mon homme a moy s’eſt attaché;	Mais, comme si c'en eût été trop bon marché, Sur nouveaux frais mon homme à moi s'est attaché;
M’a conté ſes exploits, ſes vertus non communes;	M'a compté ses exploits, ses vertus non communes;
Parlé de ſes cheveux de ſes bonnes fortunes, Et de ce qu’à la cour il avoit de faveur, Diſant, qu’à m’y ſervir il s’offre de grand cœur, Minutant à tous coups quelque retraitte honneſte:	Parlé de ses cheveux de ses bonnes fortunes, Et de ce qu'à la cour il avait de faveur, Disant, qu'à m'y servir il s'offre de grand cœur, Minutant à tous coups quelque retraite honnête:
Mais luy, pour le quitter, me voyant ébranlé, Sortons, ce m’a-il dit, le monde eſt écoulé:	Mais ainsi, pour le quitter, me voyant ébranlé, Sortons, ce m'a-il dit, le monde est écoulé:
Et ſortis de ce lieu me la donnant plus ſeche, Marquis, allons au Cours faire voir ma galeche;	Et sortis de ce lieu me la donnant plus seche, Marquis, allons au Cours faire voir ma galeche;
Elle eſt bien entenduë, & plus d’vn Duc & Pair, En fait à mon faiſeur faire vne du meſme air.	Elle est bien entendue, et plus d'un Duc et Pair, En fait à mon faiseur faire une du même air.
Moy de luy rendre grace, & pour mieux m’en deffendre, De dire que i’avois certain repas à rendre.	Moi de Seigneur rendre grâce, et pour mieux m'en défendre, De dire que j'avais certain repas à rendre.
Ah per bleu i’en veux eſtre, eſtant de tes amis, Et manque au Maréchal à qui i’avois promis De la chere, ay-ie fait, la doſe eſt trop peu forte Pour oſer y prier des gens de voſtre ſorte.	Ah per bleu j'en veux été, étant de tes amis, Et manque au Maréchal à qui j'avais promis De la chère, ai-je fait, la dose est trop peu forte Pour oser y prier des gens de votre sorte.
Non, m’a-t’il répondu, ie ſuis ſans compliment, Et i’y vay pour cauſer avec toy ſeulement;	Non, m'a-t-il répondu, ils suis sans compliment, Et j'y vais pour causer avec toi seulement;
Ie ſuis des grands repas fatigué, ie te iure;	Je suis des grands repas fatigué, Seigneur te jure;
Mais ſi l’on vous attenur ay-je dit;	Mais si l'on vous attenur ai-je dit;
e ert fhure.	 eert fhure.
Tu te mocques, Marquis, nous nous connoiſEt ie trouve avec toy des paſſe temps plus doux.	Tu te moques, Marquis, nous nous connaisEt ici trouve avec toi des passe temps plus doux.
Ie peſtois contre moy, l’ame triſte & confuſe, Du funeſte ſuccés qu’avoit eu mon excuſe, Et ne ſçavois à quoy ie devois recourir, Pour ſortir d’vne peine à me faire mourir;	Je pétais contre moi, l'âme triste et confuse, Du funeste succès qu'avait eu mon excuse, Et ne savais à quoi je devais recourir, Pour sortir d'une peine à me faire mourir;
Lors qu’vn carroſſe fait de ſuperbe maniere, Et comblé de laquais & devant, & derriere, s’eſt avec vn grand bruit devant nous arreſté;	Lors qu'un carrosse fait de superbe manière, Et comblé de laquais et devant, et derrière, s'est avec un grand bruit devant nous arrêté;
D’où ſautant vn ieune homme amplement ajuſté, Mon importun & luy courant à l’embraſſade, Ont ſurpris les paſſans de leur bruſque incartade;	D'où sautant un jeune homme amplement ajusté, Mon importun et lui courant à l'embrassade, Ont surpris les passants de leur brusque incartade;
Et tandis que tous deux eſtoient precipitez Dans les couvulſions de leurs civilitez, Ie me ſuis doucement eſquivé ſans rien dire;	Et tandis que tous deux étaient précipités Dans les couvulsions de leurs civilités, Je me suis doucement esquivé sans rien dire;
Non ſans avoir long-temps gemy d’vn tel martyre, Et maudit ce Fâcheux dont le zele obſtiné M’oſtoit au rendez-vous qui m’eſt icy donné.	Non sans avoir longtemps gémi d'un tel martyre, Et maudit ce Fâcheux dont le zèle obstiné M'ôtait au rendez-vous qui m'est ici donné.
LA MONTAGNE.	LA MONTAGNE.
Ce ſont chagrins meſlez aux plaiſirs de la vie, Tout ne va pas, Monſieur, au gré de noſtre envie.	Ce sont chagrins mêlés aux plaisirs de la vie, Tout ne va pas, Monsieur, au gré de notre envie.
Le Ciel veut qu’icy bas chacun ait ſes Fâcheux, Et les hommes ſeroient ſans cela trop heureux.	Le Ciel veut qu'ici bas chacun ait ses Fâcheux, Et les hommes seraient sans cela trop heureux.
ERASTE.	ERASTE.
Mais de tous mes Fâcheux, le plus fâcheux encore, Eſt Lyſandre, tuteur de celle que i’adore;	Mais de tous mes Fâcheux, le plus fâcheux encore, Est Lysandre, tuteur de celle que j'adore;
Qui rompt ce qu’à mes vœux elle donne d’eſpoir, Et fait qu’en ſa preſence elle n’oſe me voir.	Qui rompt ce qu'à mes vœux elle donne d'espoir, Et fait qu'en sa présence elle n'ose me voir.
Ie crains d’avoir deja paſſé l’heure promiſe, Et c’eſt dans cette allée où devoit eſtre Orphiſe.	Je crains d'avoir déjà passé l'heure promise, Et c'est dans cette allée où devait être Orphise.
LA MONTAGNE.	LA MONTAGNE.
L’heure d’vn rendez-vous d’ordinaire s’étend.	L'heure d'un rendez-vous d'ordinaire s'étend.
Et n eit pas renenee aux boines d’vn imtant.	Et n' it pas renène aux boynes d' Hôtant.
ERASTE.	ERASTE.
Il eſt vray, mais ie tremble, & mon amour extreme, D’vn rien ſe fait vn crime envers celle que i’aime.	Il est vrai, mais ainsi tremble, et mon amour extrême, D'un rien se fait crime envers celle que j'aime.
LA MONTAGNE.	LA MONTAGNE.
Si ce parfait amour, que vous prouvez ſi bien, Se fait vers voſtre objet vn grand crime de rien, Ce que ſon cœur, pour vous, ſent de feux legitimes, En revãche, luy fait vn rien de tous vos crimes.	Si ce parfait amour, que vous prouvez si bien, Se fait vers votre objet un grand crime de rien, Ce que son cœur, pour vous, sent de feux légitimes, En revanche, lui lei n rien de tous vos crimes.
ERASTE.	ERASTE.
Mais, tout de bon, crois-tu que ie ſois d’elle ayine.	Mais, tout de bon, crois-tu que je sois d'elle aiine.
LA MONTAGNE.	LA MONTAGNE.
Quoy?	Quoi?
vous doutez encor d’vn amour confirmé.	vous doutez encor d'un amour confirmé.
ERASTE.	ERASTE.
Ah, c’eſt mal-aiſément qu’en pareille matiere, Vn cœur bien enflammé prend aſſeurance entiere:	Ah, c'est mal-aisément qu'en pareille matière, Un cœur bien enflammé prend assurance entière:
Il craint de ſe flatter, & dans ſes divers ſoins, Ce que plus il ſouhaitte, eſt ce qu’il croit le moins.	Il craint de se flatter, et dans ses divers soins, Ce que plus il souhaite, est ce qu'il croit le moins.
Mais ſongeons à trouver vne beauté ſi rare.	Mais songeons à trouver une beauté si rare.
N’importe.	N'importe.
ERASTE.	ERASTE.
LA MONTAGNE Laiſſez-moy l’ajuſter, s’il vous plaiſt.	LA MONTAGNE Laissez-moi l'ajuster, s'il vous plaît.
ERHSIE Ouf, tu m’eſtrangles, fat, laiſſe-le comme il eſt.	ERHSIE Ouf, tu m'étrangles, fat, laisse-le comme il est.
LA MONTAUNE.	LA MONTAUNE.
Souffrez qu’on peigne vn peu.	Souffrez qu'on peigne un peu.
ERASTE.	ERASTE.
ooitiie faiis pareille!	oaitiie fayiz pareille!
