TIMOCLEE, Y5707.	TIMOCLE, Y570.
C’eſt tres bien cõmencé, Phenix, mais vous deucz, Auant qu’a ſon ſecours ſes peus ſoient arriuez, Emporter ce Chaſteau, l’enfermant deleuées, Et faiſant contre luy pluſieurs Tours éleuées, De peur que l’ennemy par de plus grands efforts, Loin de nous le ceder, ne détruiſe nos forts.	C'est très bien commencé, Phénix, mais vous décès, Avant qu'a son secours ses pus soient arrivez, Emporter ce Château, l'enfermant deleuées, Et faisant contrefois plusieurs Tours élevées, De peur que l'ennemi par de plus grands efforts, Loin de nous le céder, ne détruise nos forts.
Cependant ie vous loue, & ces nobles courages Ces Thebains dont le pomi viura prir tourie sagjes;	Cependant ici vous loue, et ces nobles courages Ces Thébains dont le pomy vivra prir tourie sagjes;
I uiſſiez vous deformais, auec melme chaleur, Defendre vôtre bien des mains de ce voleur, De ce cruel Tytan, & de ſa fiere ſuite:	I Juissiez -vous déformais, avec melme chaleur, Défendre votre bien des mains de ce voleur, De ce cruel Tytan, et de sa fière suite:
Muis quels étoient vos gens ?	Muis quels étaient vos gens ?
auiez vous pas Prothilte?	aviez -vous pas Prothilte?
PHENIX.	PHÉNIX.
Il eſt venu, Madame, au bruit de nos combats, Mois tous les enuenus eſtoient déja mis bas.	Il est venu, Madame, au bruit de nos combats, Mois tous les envenus étaient déjà mis bas.
I’ay remporté moy ſeul vn ſi bel auantage, Que ie n’etale ie, que pour vous faire homimage, Puis que c’eſt ce beau bras qui l’a par moy produit, Aimez le de la ſoite, agréez voſtre lruis, Et s’il obtient naiſſaut le bonheur de vous plaire A mon cœur qui vou- Toffle accordez le mlaire.	J'ai remporté moi seul un si bel avantage, Que Que etale ie, que pour vous faire homimage, Puis que c'est ce beau bras qui l'a par moi produit, Aimez le de la soite, agréez votre luis, Et s'il obtient naissaut le bonheur de vous plaire À mon cœur qui voulez- Toffle accordez le mêlaire.
TIMOCLEG.	TIMOCLÉG.
Phenix, eſt-ce le fait d’vn homme de vertu, De demander vn prix ſans auoir combatu?	Phénix, est-ce le fait d'un homme de vertu, De demander un prix sans avoir combattu?
Il eſt vray, vous auez & de ſorce, & d’adieile, Dé ait les Officiers de cette fortereſle:	Il est vrai, vous avez et de sorce, et d'adile, Dé ait les Officiers de cette forteresle:
Mais ce n’eſt pas aſſez, cette belle action Merité bien ma voix, non mon affection.	Mais ce n'est pas assez, cette belle action Mérité bien ma voix, non mon affection.
Il faut qu’ou ait vameu le Tyran de la Gréce, Si l’on veut obteuir de m’auoir pour Maiſtreſſe, Cat ce que iuſqu’icy voſtre valeur a faît, Pour noſtre liberté n’a qu’vn debile effet Combattez neantmoins faites le pour la gloire, Et ſoit que vous gagniez ou perdiez la v Ctoire, Vous rendrez vôtre nom pour iamais glorieux.	Il faut qu'ou ait vameu le Tyran de la Grèce, Si l'on veut obteuir de m'avoir pour Maîtresse, Cat ce que jusqu'ici votre valeur a faît, Pour notre liberté n'a qu'un débile effet Combattez néanmoins faites le pour la gloire, Et soit que vous gagniez ou perdiez la v Ctoire, Vous rendrez votre nom pour jamais glorieux.
Defeudant vôtre honneur, vôtre peuple, & vos Dicux.	Défeudant votre honneur, votre peuple, et vos Dicux.
C’eſt vne recompenſe à tout cœur magnanme, m’acquerir par ſes faits vne eteruelle eſtime, Et par deſſus ce prix qui les faut en tous lieux Vous en aurez quelqu’vn de la faueur des Dieux.	C'est assez récompense à tout cœur magnanme, m'acquérir par ses faits une étervelle estime, Et par dessus ce prix qui les faut en tous lieux Vous en aurez quelqu'un de la faveur des Dieux.
Ils ſont reconmoiſlans plus que nous le ſommes, Et de leurs biens icy recompenſent les hommes, 4 S’ils daignoient vous combler de toute leut faueur Pour ſurinoter ce traitre, ah quevous auriez d’heur!	Ils sont reconnaissants plus que nous le sommes, Et de leurs biens ici récompensent les hommes, 4 S'ils daignaient vous combler de toute lut faveur Pour surinoter ce traître, ah quevous auriez d'heur!
PHENIX.	PHÉNIX.
Quel ſeroit il, Madame?	Quel serait -il, Madame?
ô Dieux pour recompenſe Qu’elle le diſe au moins!	ô Dieux pour récompense Qu'elle le dise au moins!
Mais elle me deuance, Et ie pretens en vain de la faire expliquer:	Mais elle me devance, Et ici prétends en vain de la faire expliquer:
Ie n’oſe aller apres, & crains de la choquer.	Je n'ose aller après, et crains de la choquer.
Mais quel eſt il enfin ce doute qui me reſte?	Mais quel est il enfin ce doute qui me reste?
Elle m’a tout prédit, rigoureux, & funeſte, N’ayant pouſſé pour moy que des vœux lãguiſſans.	Elle m'a tout prédit, rigoureux, et funeste, N'ayant poussé pour moi que des vœux languissants.
Foible ſoulagement des feux que ie reſſens!	Faible soulagement des feux que Il ressens!
SCENEIV.	SCENEIV.
PHENIX, DOVLON.	PHÉNIX, DOULON.
PHANIX.	PHANIX.
Ombien de tẽps, Doulon, verray-je cette Belle A mes humbles deuoirs inflexible & cruelle?	Ombien de temps, Doulon, verrai-je cette Belle À mes humbles devoirs inflexible et cruelle?
DOVLON.	DOULON.
Autant que vous ſerez obſtiné ſur ce poinct D’étre perſeuerant à ne la quitter point.	Autant que vous serez obstiné sur ce point D'être persévérant à ne la quitter point.
Ce n’eſt pas d’auiourd’huy, trop miſerable Maître!	Ce n'est pas d'aujourd'hui, trop misérable Maître!
Que cette cruauté s’eſt fait à vous parétrre.	Que cette cruauté s'est fait à vous parétrre.
Vous eſtes ſur ma foy le Phenix des Amans, On vous mettra, Mõſieur, bientot dãs les Romans, Où vous ſurpaſſerez Amadis en conſtance.	Vous êtes sur ma foi le Phénix des Amants, On vous mettra, Mõsieur, bientôt dans les Romans, Où vous surpasserez Amadis en constance.
PHENIX (eſtint l’oreille à ces deruiers mots.	PHÉNIX (estint l'oreille à ces deruiers mots.
Que me veut ce coquin?	Que me veut ce coquin?
& quelle impertinence ne me meſler ainſi dans ſes contes en l’air?	et quelle impertinence ne me mêler ainsi dans ses contes en l'air?
Mais que me diſois-tu?	Mais que me disais-tu?
haſtes-toy de parler.	hâtes-toi de parler.
DOVLON.	DOULON.
Que vous eſtes, Monſieur, vn autre Mars en guerre, Que voſtre renom vole & ſur mer & ſur terré, Et que vous meritez mieux qu’aueun d’ene aimé, Qu’en vous nomunt Phenix, on vous a bien nômé, ie ne vour moune teul vray patren de vailance, De moſme qu’en aimant vray p rtrait de coſtance.	Que vous êtes, Monsieur, un autre Mars en guerre, Que votre renom ole et sur mer et sur terré, Et que vous méritez mieux qu'aveun d'en aimé, Qu'en vous nomunt Phénix, on vous a bien nômé, je ne vour moune teul vrai patren de vailance, De môme qu'en aimant vrai y de postance.
PHENIX.	PHÉNIX.
Tu me flates, Douion, & tu ris dans ton âme De voir que ie perſiſte en ma premiere flame.	Tu me flattes, Douion, et tu ris dans ton âme De voir que je persiste en ma première flamme.
DOVLON.	DOULON.
Ie ne tis pas, Monſieur, & ie n’ay pas dequoy;	Je ne tis pas, Monsieur, et ainsi n'ai pas dequoy;
Vous auriez plútoſt lieu de vous moquer de moy:	Vous auriez plútost lieu de vous moquer de moi:
Car depuis ſi long temps que ie vous rends ſeruice, Pour toute recompenſe il faut que ie flechiſſe, Que i’expoſe mon do, a de plus rudes coups que ceux que vous ſouffrez d’vne Belle en couroux.	Car depuis si long temps que je vous rends service, Pour toute récompense il faut que ici fléchisse, Que j'expose mon do, a de plus rudes coups que ceux que vous souffrez d'une Belle en courroux.
Mais Dieux, il faut me taire, ô choſe déplorable!	Mais Dieux, il faut me taire, ô chose déplorable!
Ha, qu’vn pauure vallet au monde eſt miſerable!	Ha, qu'un pauvre vallet au monde est misérable!
Il n’oſeroit parler ny pour mal, ny pour bien, De peurdede oattu le ne May pius ilen.	Il n'oserait parler ici pour mal, Seigneur pour bien, De peurde oattu le ne Mai pius il.
PHENIX.	PHÉNIX.
Ie te ferois parler, ſi tu me pouuois dire Le moyen d’obtenir celle que ie delire.	Je te ferais parler, si tu me pouvais dire Le moyen d'obtenir celle que je délire.
DOVLON.	DOULON.
Oüy, ie vous diray bicu vn moyen tres-heureux, Et qui ſatisfera voſtre cœur amoureux.	Oui, Seigneur vous dirai bicu un moyen très-heureux, Et qui satisfera votre cœur amoureux.
PHENIX.	PHÉNIX.
Que me pourois tu dire?	Que me pourrais tu dire?
& que pourois-je apprendre?	et que pourrais-je apprendre?
DOVLON.	DOULON.
Laiſſez là Timoclés, allez vers Alexandre, Il vous pardonnera l’aſſaſſinat des ſiens, Et pour ſon intereſt vous comblera de biens.	Laissez là Timoclés, allez vers Alexandre, Il vous pardonnera l'assassinat des siens, Et pour son intérêt vous comblera de biens.
Voyez ce que ie dis, goûtez ce que ie penſe, Et vous aurez bien-tot tiré la conſequence.	Voyez ce que ici dis, goûtez ce que personne pense, Et vous aurez bientôt tiré la conséquence.
PHENIX.	PHÉNIX.
Le bizare moyen à quoy viſe ce ſot Auec ſa conſequence?	Le bizare moyen à quoi vise ce sot Avec sa conséquence?
DOVLON.	DOULON.
A vous dire en vn mot, Et vous faire comprendre auec peu de paroles Voſtre lieur le plus parfait, ſans vſer d’hyperboles.	À vous dire en un mot, Et vous faire comprendre un peu de paroles Votre lieur le plus parfait, sans user d'hyperboles.
Hé ne iugez vous pas quand vous ſerez ſorty, Et qu’auec l’aſſiegeant vous aurez pris party.	Hé ne jugez vous pas quand vous serez sorti, Et qu'avec l'assiégeant vous aurez pris parti.
Que vous délaiſſerez la Ville abandonnéc A la mercy de ceux qui l’ont enuironnée, Et que Prothite ſeul fera de vains efforts Contre des ennemis & dedaus & dehors, Et méme contre vous qui luy ſerez en guerre Tout ainſi qu’en amour plus rude qu’vn tonnerre, qui ſçaurez mieux qu’aucun, ſuiuy des étrangers, Attaquer ces rempars ſans craindre les dangers, Et qui dans peu de temps, malgré la populace, Par des chemins couuerts entrerez dans la place.	Que vous délaisserez la Ville abandonnéc À la merci de ceux qui l'ont environnée, Et que Prothite seul fera de vains efforts Contre des ennemis et dedaus et dehors, Et même contre vous qui lui serez en guerre Tout ainsi qu'en amour plus rude qu'un tonnerre, qui saurez mieux qu'aucun, suivi des étrangers, Attaquer ces rempars sans craindre les dangers, Et qui dans peu de temps, malgré la populace, Par des chemins couverts entrerez dans la place.
Cela vous eſt facile, allez trouuer le Roy, ponnez luy voſtre bras ainſi que voſtre foy, Il le fortifira de toute ſa puiſſance Pour s’acquerir des murs l’entiere ioüiſſance Qui vous ſera commune auecques ce vainqueur, Puis que vous y prenurez ce que veucvontre cœur, Et qu’il poſſedera la belle Timoclée Sans crainte que d’aucun elle luy ſoit volée Le Roy n’a point d’amour, Prothite ſera pris.	Cela vous est facile, allez trouver le Roi, ponnez Se vostre bras ainsi que votre foi, Il le fortifira de toute sa puissance Pour s'acquérir des murs l'entière jouissance Qui vous sera commune auecques ce vainqueur, Puis que vous y prenurez ce que veucontre cœur, Et qu'il possédera la belle Timoclée Sans crainte que d'aucun elle-même soit volée Le Roy n'a point d'amour, Prothite sera pris.
Qui donc à vos vertus poura rauir ce prix?	Qui donc à vos vertus pourra ravir ce prix?
PHENTA.	PHENTA.
Appelles-tu vertus le plus infame crime Que pouroiẽt enfanter des cœurs perdus d’eſtime, nes traiſtres a l’honneur, des peſtilentieux, Enſin des gens haïs des hommes & des pieux?	Appelles-tu vertus le plus infâme crime Que pourraient enfanter des cœurs perdus d'estime, nés traîtres à l'honneur, des pestilentieux, Ensin des gens haïs des hommes et des pieux?
Ce ſont des faits trop noirs dont ie ſuis incapable Bien qu’aimant ſans eſpoir ie reſte miſerable, Si ie ne puis mourir en homme genereux, vuantmhocemmient, ieleray dop acureux.	Ce sont des faits trop noirs dont ie suis incapable Bien qu'aimant sans espoir apprendre reste misérable, Si grande ne puis mourir en homme généreux, vuantmhocemient, jelerai dop acureux.
DOVLON Quoy, ne pourez-vous pas sãs corrõpre vôtre ame pérober vôtre main à cette ingrate femme?	DOULON Quoi, ne pourrez-vous pas sans corrontre votre âme pérober votre main à cette ingrate femme?
Auſſi bien, croyez-moy, malgré vôtre ſecours, Alexandre dans peu ſera maiſtre des Tours:	Aussi bien, croyez-moi, malgré votre secours, Alexandre dans peu sera maître des Tours:
Mais prenez vn milieu, luy demandant la grace n'étre libre en vn poinct qui voſtre ame embaraſſe nites, bien qu’abhorant vôtre rebellion, que vous craignez de faire vne horrible action, Et que vous redoutez l’infernale furie, Pallant lcrun ce bia Apeidle la Patile;	Mais prenez un milieu, lui demandant la grâce n'être libre en un point qui votre âme embarrasse nites, bien qu'abhorant votre rébellion, que vous craignez de faire une horrible action, Et que vous redoutez l'infernale furie, Pallant lcrun ce bia Apeidèle la Patile;
Ce qui pouroit porter tous les pieux en courour Aleur foudre él ancer ſur ſes gens & lur vous.	Ce qui pourrait porter tous les pieux en courour Aleur foudre él ancer sur ses gens et lur vous.
PHENIX.	PHÉNIX.
Ie ſuppoſe auec toy, poulon, qu’en conſcience Ie puiſſe de ces muts délaiſſer la defenſe, Et ſouffrir qu’vn païs pour qui ſeul ie ſuis né, A ce fier ennemy demeure abandonné:	Je suppose avec toi, poulon, qu'en conscience Je puisse de ces muts délaisser la défense, Et souffrir qu'un pays pour qui seul conduit suis né, À ce fier ennemi demeure abandonné:
Mais penſe-tu que i’aye vne ame ſi traîtreſſe, Que ie veüille eu Tytan gagner vne Maîtreſſe, Que i’aime de l’auoir en lâche rauiſſeur, N’y pouuant employer vne noble douceur.	Mais pense-tu que j'aie une âme si traîtresse, Que je veuille eu Tytan gagner une Maîtresse, Que j'aime de l'avoir en lâche ravisseur, N'y pouvant employer une noble douceur.
Non, non, ie ſors d’vn ſang de qui l’illuſtre race N’a iamais ſceu commettre vne action ſi baſſe:	Non, non, Madame sors d'une sang de qui l'illustre race N'a jamais su commettre une action si basse:
Si ie ne puis l’auoir en homme genereux, Conſeruant mon honneur, ie ſeray trop heureux.	Si personne ne puis l'avoir en homme généreux, Conservant mon honneur, Seigneur serai trop heureux.
DOVLON Mais étant genereux, pourez-vous bien, de grace, Soulrit auec honneur Prothite en votre place?	DOULON Mais étant généreux, pourrez-vous bien, de grâce, Soulrit quelque honneur Prothite en votre place?
noutez-vous que ce bien déja luy ſoit acquis.	noutez-vous que ce bien déjà peine soit acquis.
Et que pour ce ſujet l’on vous en ait enquis?	Et que pour ce sujet l'on vous en ait enquis?
euesvue erre fuur où fuue cunmence ;	euesvue erre fuvr où fuve cunmence ;
C’eſt a la trahiſon adiouter l’imapudence.	C'est à la trahison ajouter l'imapudence.
PHENIX.	PHÉNIX.
Tout beau, poulon, tout beau, tu m’es iniurieux, Quand tu viens offenſer ce que i'aime le mieux:	Tout beau, poulon, tout beau, tu m'es injurieux, Quand tu viens offenser ce que j'aime le mieux:
Mais voy d’vn ſens raſſis, pourquoy, par quelle ſuit Elle eſt venuë enfin a parler de Prothite;	Mais vois d'un sens rassis, pourquoi, par quelle suit Elle est venue enfin a parler de Prothite;
