Imprimé à Enuers.	Imprimé à Envers.
Pardonnés cette offence, ui vous a fait monter auec les bien heureux, D’où vous me reiettez.	Pardonnez cette offense, ui vous a fait monter avec les bien heureux, D'où vous me rejettez.
Monſieur de Marillac.	Monsieur de Marillac.
43ci.	43ci.
Miniſtre mal heureux, Auois-tu ce de ſſein m’enuoyant à la Greue, Retue-toy d’icy.	Ministre mal heureux, Avais-tu ce de ssein m'envoyant à la Greue, Retue-toi d'ici.
A ij	À ij
Elieure vn peut de treſue:	Elieure un peut de trêve:
Monſieur de Marillac.	Monsieur de Marillac.
Tu n’en merite pas excrement des enfers, Tu en eſtois ſorty, retourne dans leurs fers, Vas y donc pour louffrir des tourmens & des geſnes, Et pour te Voir ployé ſoubs de peſantes chaiſnes.	Tu n'en mérite pas excrément des enfers, Tu en étais sorti, retourne dans leurs fers, Vas y donc pour louffrir des tourments et des gênes, Et pour te Voir ployé sous de pesantes chaînes.
Le Cardinal & Monſieur de Mommorancy,	Le Cardinal et Monsieur de Mommorancy,
Monſieur de Mommorancy.	Monsieur de Mommorancy.
Monſtre de la nature, horreur de l’vniuers, Dont le corps infecté ſert de paſture aux vers, Miniſtre de Pluton, tytan abominable, Ne crois-tu pas qu’il ſoit tres iuſte & raiſonnable, De receuoir ton ame entre les bien heureux, Ta place eſt aux enfers & ton cul tout chancreux, Sentira la chaleur des flammes eternelles, Qui bruſlent à iamais les ames criminelles, La hache d’vn boureau ſur des ſanglans autels, A fait monter mon ame auec les immortels, Et appaiſé l’excés de la cruelle enuie;	Montre de la nature, horreur de l'Hivers, Dont le corps infecté sert de pâture aux vers, Ministre de Pluton, ty abominable, Ne crois-tu pas qu'il soit très juste et raisonnable, De recevoir ton âme entre les bien heureux, Ta place est aux enfers et ton cul tout chancreux, Sentira la chaleur des flammes éternelles, Qui brûlent à jamais les âmes criminelles, La hache d'un boureau sur des sanglants autels, A fait monter mon âme auec les immortels, Et apaisé l'excès de la cruelle en;
Mais que dis-ie appaiſés) c’eſtoit peu que ma vie, Ce n’eſtoit pas aſſez de m’auoir mis à mort, Il falloit que pluſieurs l’a ſouffriſſent à tort.	Mais que dis-je appaisés) c'était peu que ma vie, Ce n'était pas assez de m'avoir mis à mort, Il fallait que plusieurs l'a souffrissent à tort.
Le Cardinal.	Le Cardinal.
Ayez pitié de moy, receüez ma pauure ame?	Ayez pitié de moi, receüez ma pauvre âme?
Monſieur de Mommorancy.	Monsieur de Mommorancy.
N’eſpere rien icy que reproche & que blaſme;	N'espère rien ici que reproche et que blâme;
Si tu eſtois entré tu nous mettrois dehors, Au moins ſi nous n’eſtions & plus fins & plus forts, Tu veux auoir par tout vne plaine puiſſance Ie ne ſçay ſi les Saincts ſeroient en aſſcuranc Tu voudrois auoir le plus Eminent rang, Et voudrois dans le Ciel, faire nager le ſang, Lap prationpeenrte comte ut Soiſſons.	Si tu étais entré tu nous mettrais dehors, Au moins si nous n'étions et plus fins et plus forts, Tu veux avoir par tout plaine puissance Je ne sais si les Saints seraient en assuranc Tu voudrais avoir le plus Éminent rang, Et voudrais dans le Ciel, faire nager le sang, Lap prationpéenrte compte ut Soissons.
Monſieur le Comte de Soiſſons	Monsieur le Comte de Soissons
Eſt-ce toy Cardinal que ton viſage eſt bleſme, Eſt-ce là ta couleur;	Est-ce toi Cardinal que ton visage est blême, Est-ce là ta couleur;
Le Cardinel.	Le Cardinel.
Oüy Monſieur c’eſt moy meſme;	Oui Monsieur c'est moi -même;
Qui n’ayant peu flechir perſonne dans ces lieux, Quoy que voſtre boureau me preſente à vos yeux, Vous Monſieur qui auez vne ame genereuſe;	Qui n'ayant pu fléchir personne dans ces lieux, Quoi que votre boureau me présente à vos yeux, Vous Monsieur qui avez une âme généreuse;
Ayez quelque pitié de cette mal-heureuſe.	Ayez quelque pitié de cette malheureuse.
Monſieur le Comte.	Monsieur le Comte.
M’oſe tu bien prier d’auoir pitié de toy, Impudent, iphumain, qui as veſcu ſans loy?	M'ose tu bien prier d'avoir pitié de toi, Impudent, jphumain, qui as vécu sans loi?
Tu faiſois vanité de trahir tout le monde, Et ta meſchanceté n’euſt iamais de ſeconde, Pour regner ſeurement pour faire des threſors Pour te faire valoir tu cauſois mille maux, Que la France à iamais en verſera des larmes:	Tu faisais vanité de trahir tout le monde, Et ta méchanceté n'eût jamais de seconde, Pour régner sûrement pour faire des trésors Pour te faire valoir tu causais mille maux, Que la France à jamais en versera des larmes:
Tu as oſmeu l’Europe, a deſrouiller leurs atmes Et reſpandre le ſang de beaucoup de mortels, Toy qui deuoit ſonger ſeulement aux Autels.	Tu as osmeu l'Europe, a dérouiller leurs atmes Et répandre le sang de beaucoup de mortels, Toi qui devait songer seulement aux Autels.
Veux-tu pas que le Ciel te pardonné tes crimes, Qui ſont ſi bien peuplez de ſanglantes victimes;	Veux-tu pas que le Ciel te pardonné tes crimes, Qui sont si bien peuplez de sanglantes victimes;
Que tu as fait mourir en cent mille façons, Les vns par vn poignard, les autres par poizons, Les vns deſſus la mer, les autres ſur la terre;	Que tu as fait mourir en cent mille façons, Les uns par un poignard, les autres par poisons, Les uns dessus la mer, les autres sur la terre;
Les vns en pleine paix, les autres en la guerre, Bref les vns ſont paſſez par les mains des boureaux, Les autres ont rendu leurs froides ames dans l’eau:	Les uns en pleine paix, les autres en la guerre, Bref les uns sont passez par les mains des boureaux, Les autres ont rendu leurs froides âmes dans l'eau:
Tout ce que ie dis n’eſt que trop veritable, Cardinal tu feſçait & tul eireit comptable.	Tout ce que ici dis n'est que trop véritable, Cardinal tu fesçait et tul eireit comptable.
Lhy & la Rejue Mere.	Lhy et la Rejue Mère.
La Reyne Mere Horreur de mes regattis, auorton des Enfers, Qui t’amaine en ce lieu;	La Reine Mère Horreur de mes regattis, auorton des Enfers, Qui t'amaine en ce lieu;
que n’eſt-tu dans les ſers;	que n'est-tu dans les sers;
Le Cardinal.	Le Cardinal.
Te vous chemercyn'ie votls ay lalcilee, Ie ſuis fort repentant de ma vie paſſée,	Te vous chemercin'ie vots ai lalcilèse, Je suis fort repentant de ma vie passée,
La Royne Mere.	La Royne Mère.
En eſt-ce la ſaiſon indigne Cardinal, Tu veux faire du bien ne pouuant plus de mal, Encore ne croy ie pas que tu en vueille faire, Monſtre, Tigre, inhumain, leopard ſanguinaire:	En est-ce la saison indigne Cardinal, Tu veux faire du bien ne pouvant plus de mal, Encore ne cro ie pas que tu en veuille faire, Maître, Tigre, inhumain, léopard sanguinaire:
T’as vide des threſors (ambitieux d’honneur, Remply de vanité ſans courage & ſans cœur, Moy qui auois eſté cauſe de ta ſortune, I’ayant fait grand Seigneur, ie t’eſtois importune.	T'as voit des trésors (ambitieux d'honneur, Rempli de vanité sans courage et sans cœur, Moi qui avais été cause de ta sortune, J'ayant fait grand Seigneur, tu t'étais importune.
T’ayant par ma bonté fait puiſſant à la Cour, Traiſtre tu as payé d’vn exil mon amour, Te faiſant des premiers en biens & enpuiſſance, Ie n’en eſperois pas aucune recompence, Eſtant dans vn eſtat que loing d’en receuoir, I’en preſentois à ceux qui faiſoient leur debuoir, Mais ie l’aduoüe auſſi, ie n’aurois pas la crainte, De te faire iamais vne ſi iuſte plainte, Entre pluſieurs Seigneurs de grande qualité, Dont chacun aſpiroit à celle dignité, De Gouuerner mon fils Maiſtre d’vngrand Empire, Pouuant choiſir le mieux, ie fus prendre le pire, Tu as iouy cruel de beaucoup de threſors, Pendant que ſans ceſſer ie ſouffrois mille morts, Pour t’auoir fait heureux tu m’as fait mal-heureuſe, Helas!	T'ayant par ma bonté fait puissant à la Cour, Traître tu as payé d'un exil mon amour, Te faisant des premiers en biens et enpuissance, Je n'en espérais pas aucune récompense, Étant dans un état que loing d'en recevoir, J'en présentais à ceux qui faisaient leur débuoir, Mais ie l'avoue aussi, je n'aurais pas la crainte, De te faire jamais une si juste plainte, Entre plusieurs Seigneurs de grande qualité, Dont chacun aspirait à celle dignité, De Gouverner mon fils Maître d'apgrand Empire, Pouvant choisir le mieux, ie Puis prendre le pi, Tu as y cruel de beaucoup de thresors, Plein que sans dr ie souffrois le morts, Pour y fait heureux tu as fait mal-heureuse, Helas!
que l’amitié eſt ſouuent dangereuſe, Ponr des gens comme toy qui donnent des tourmens 2a ceua qui ont cuhretousieus conceinemenss	que l'amitié est souvent dangereuse, Ponr des gens comme toi qui donnent des tourments 2a ceua qui ont cuhretousieus conceinements
Le Cardinal.	Le Cardinal.
Madame ie voulois par cette penitence, Vous faire auoir le Gibry tros uiglioresompence;	Madame ie voulais par cette pénitence, Vous faire avoir le Gibri tros uiglioresompense;
De tant de biens i’adis que i’ay receus de vous,	De tant de biens j'avis que j'ai reçus de vous,
La Reyne Mere.	La Reine Mère.
Traiſtre, ingrat, inhumain, objet de mon couroux, Penſe tu me tromper encore par tes paroles, Il ne faut pas icy aupiojentes ortcones, Nous y ſommes plus fins que tu n’y fus iamais, Er croy que nous Içaurons tout au vray deſormais.	Traître, ingrat, inhumain, objet de mon courroux, Pense tu me tromper encore par tes paroles, Il ne faut pas ici aupiojentes ortcones, Nous y sommes plus fins que tu n'y fus jamais, Er crois que nous Iaurons tout au vrai désormais.
Luy auec Monſieur de T’hou & Monſieur le Grand.	Lui avec Monsieur de T'hou et Monsieur le Grand.
Monſieur le Grand.	Monsieur le Grand.
Vien-tu iuſques au Ciel exercer ta vengeance, Et nous croy-tu ſoubmis encore à ta puiſſance;	Viens-tu jusques au Ciel exercer ta vengeance, Et nous crois-tu soumis encore à ta puissance;
Penſe tu nous pouuoir icy perſecuter, Apres nous auoir fait à tort décapiter.	Pense tu nous pouvoir ici persécuter, Après nous avoir fait à tort décapiter.
Tu n’eſt pas ſatisfait de ſi cruelles peines, Ayant fait eſcouller tout le ſan g de mes veynes, Tu nous en cherche encore afin de nous punir:	Tu n'est pas satisfait de si cruelles peines, Ayant fait écouller tout le san g de mes veines, Tu nous en cherche encore afin de nous punir:
Tu ne le peut pourtant il faut t’en abſtenir, Si tu en as toy-meſme il faudra le reſpendre, Tous les diables en bref te le feront entendre?	Tu ne le peut pourtant il faut t'en abstenir, Si tu en as toi-même il faudra le respendre, Tous les diables en bref te le feront entendre?
Sauue-toy mal-heureux (mais que diſ-ie ſauuer) Eu quel lieu que tu ſois ils te pourront trouuer, Et te feront ſouffrir la rigoureuſe flame Il n’y à que deux lieux où puiſſe aller noſtre ame, Dans les Cieux pour ſa gloire, entre les immortels, Dans l’Enfer pour les flames auec les criminels, Toy qui a conſacré des victimes humaines;	Sauve-toi malheureux (mais que dis-je sauver) Eu quel lieu que tu sois ils te pourront trouver, Et te feront souffrir la rigoureuse flamme Il n'y à que deux lieux où puisse aller notre âme, Dans les Cieux pour sa gloire, entre les immortels, Dans l'Enfer pour les flammes auec les criminels, Toi qui a consacré des victimes humaines;
Toy qui as fait ſi ſouuent i'allir des Foncaines, Des corps de tant de gens que tu as fait mourir, Ceſeroit eſtre fol,	Toi qui as fait si souvent j'allir des Foncaines, Des corps de tant de gens que tu as fait mourir, Céserait être fol,
Le Cardinal.	Le Cardinal.
Veillez moy ſecourir, Vous qui auez iouy vne grande puiſſance, Laiſſes moy retirer ſans ſonger à l’offence, Que i’ay par vn mal heur commis contre vous, N’auois-ie pas ſujet d’exercer mon couroux:	Veillez moi secourir, Vous qui avez joui une grande puissance, Laisses moi retirer sans songer à l'offense, Que j'ai par un mal heur commis contre vous, N'avais-je pas sujet d'exercer mon courroux:
Ie vous auois aimé preſque autant que moy meſme, Et nonobſtant cela par vn ſtratageſme, Vous vouliez me priuer de l’amit té du Roy, Bien-loing de m’aſſiſter me fauſſant voſtre foy;	Je vous avais aimé presque autant que moi -même, Et nonobstant cela par un stratagème, Vous vouliez me priver de l'amit té du Roi, Bien-loin de m'assister me faussant votre foi;
Monſieur de Thou & le Cardinal.	Monsieur de Thou et le Cardinal.
Vous accuſez à tort Monſieur d’ingratitude, Il vouloit vous mener à la beatitude, Et vouloit ſubuenir à la calamité, Que nous faiſoit ſouffrir voſtre meſchanceté, Car vous voulant priuer de l’amitié du Prince, Et vous faire tenir dedans quelque Prouince;	Vous accusez à tort Monsieur d'ingratitude, Il voulait vous mener à la béatitude, Et voulait subvenir à la calamité, Que nous faisait souffrir Rom méchanceté, Car vous voulant priver de l'amitié du Prince, Et vous faire tenir dedans quelque Province;
Il croyoit que le Ciel qui touſiours nous attend, Et qui ſe plaiſt de voir noſtre cœur repentant, Déplorer ſes pechez & deteſter ſon vice, Vous feroit recognoiſtre en fin voſtre malice:	Il croyait que le Ciel qui toujours nous attend, Et qui se plaît de voir notre cœur repentant, Déplorer ses péchez et détester son vice, Vous ferait reconnaître en fin votre malice:
Et vous feroit choiſir le chemin des vertus, Il vouloit ſoulager les peuples abbatus, Et greuez ſi long temps du tracas de la Guerre.	Et vous ferait choisir le chemin des vertus, Il voulait soulager les peuples abattus, Et greuez si long temps du tracas de la Guerre.
Qui par voſtre malice eſt par toute la terre:	Qui par votre malice est par toute la terre:
Bien ie veux aduouer qu’il aye eu grand tort, Vous l’auez auſſi fait condamner à la mort, Inhumain vous n’auez iamais donné de grace:	Bien Prince veux avouer qu'il aie eu grand tort, Vous l'avez aussi fait condamner à la mort, Inhumain vous n'avez jamais donné de grâce:
Et vous en eſperez il n’y a point de place Icy pour les vengeurs & pour ſes propres affronts;	Et vous en espérez il n'y a point de place Ici pour les vengeurs et pour ses propres affronts;
Nous voulons nous venger des torts que nous ſouffrons Et nous voulons cependant que Dieu nous pardonne, Allez dans les enfers le Ciel vous abandonne.	Nous voulons nous venger des torts que nous souffrons Et nous voulons cependant que Dieu nous pardonne, Allez dans les enfers le Ciel vous abandonne.
Le Cardinal.	Le Cardinal.
Hé Monſieur, donnez-moy quelque petit ſecours.	Hé Monsieur, donnez-moi quelque petit secours.
Monſieur le Grand.	Monsieur le Grand.
Il faudra mal-heurcux que tu ſouffre touſiours, Pour auoir quelque temps eſclatté ſur la terre, Où tu as allumé le flambeau de la guerre, Si tu haiſſois tant la paix & le repos.	Il faudra malheurcux que tu souffre toujours, Pour avoir quelque temps éclaté sur la terre, Où tu as allumé le flambeau de la guerre, Si tu haïssais tant la paix et le repos.
Mal heureux n’euſt il pas eſté plus à propos, De combattre les Turcs, & les autres barbares, Les chaſſer de leur taroſnes & rauir leurs theares, Que par tes faux conſeils faire marcher le Roy;	Mal heureux n'eût il pas été plus à propos, De combattre les Turcs, et les autres barbares, Les chasser de leur tarnes et ravir leurs théares, Que par tes faux conseils faire marcher le Roi;
Contre les Potentats qui ſont de meſme foy :	Contre les Potentats qui sont de même foi :
Tu eude mis au Ciel quantité de beaux aſtres:	Tu éde mis au Ciel quantité de beaux astres:
Tu euſſe fait des ſaincts, tu as fait des demons.	Tu eusse fait des saints, tu as fait des démons.
Le Cardinal.	Le Cardinal.
N’ay ie pas alſez combattu par atmes & par ſermons Contre les Parpaillots, n’a-t’ou pas pris leurs villes, Par mes ſages aduis.	N'a ie pas alsez combattu par atmes et par sermons Contre les Parpaillots, n'a-t-ou pas pris leurs villes, Par mes sages avis.
Monſieur le Grand.	Monsieur le Grand.
Penſe tu nous tromper encore par tes diſcours, Ie ſçay bien que l’on a combatu quelques ſours, Conere les p'arpalots qu onaprrl la Rochelle, I’eſtois pour puis apres Conſeiller infidelle, Mieux combartu le reite, il eſtoit à propos, Puiſque tu deſirois troubler noſtre repos, De faire vne action qui fut conſiderable	Pense tu nous tromper encore par tes discours, Je sais bien que l'on a combattu quelques sours, Conère les p'arpalots qu onaprrl la Rochelle, J'étais pour puis après Conseiller infidèle, Mieux combartu le rite, il était à propos, Puisque tu désirais troubler nôtre repos, De faire une action qui fut considérable
Le Cardinal.	Le Cardinal.
Helas!	Hélas!
que fera donc mon ame miſerable:	que fera donc mon âme misérable:
Ie ſuis chaſſé de tout pauure de Richelieu, Ta ne ſçaurois trouuer au Ciel vn petit licu:	Je suis chassé de tout pauvre de Richelieu, Ta ne saurais trouver au Ciel un petit licu:
Toy qui poſſedois tant de maiſons ſur terre, La mort par ſon effort l’a renuerſé par terre, Si au lieu d’eſleuer tant de beaux baſtiments.	Toi qui possédais tant de maisons sur terre, La mort par son effort l'a renversé par terre, Si au lieu d'élever tant de beaux bâtiments.
Pour des biens paſſagers cauſe des chaſtiments;	Pour des biens passagers cause des châtiments;
Dont apres le trepas, tu te vois affligee, Mon ame à la vertu tu te fuſſe engagée, Tu ne tiendrois pas le chemin des Enfers, Où on te va charger de chaiſnes & de fers, Pouriuiuons MlalaimeneTen ay Dienpris la voye, Suiuant ces faux plaiſirs qui donne courte ioye,	Dont après le trépas, tu te vois affligée, Mon âme à la vertu tu te fusse engagée, Tu ne tiendrais pas le chemin des Enfers, Où on te va charger de chaînes et de fers, Pouriuiuons MlalaimèneTen ai Dienpris la voie, Suivant ces faux plaisirs qui donne courte joie,
Le Cardinal chaſſé de Paradis V’a-t’en en Enfers & parle premierement à Monſieur, l’Eſleu Charon.	Le Cardinal chassé de Paradis V'a-t-en en Enfers et parle premièrement à Monsieur, l'Esleu Charon.
Le Cardinal Charon qui eſt touſiours nauigeant ſur cette eau, Pour paſſer les eſprits dans ton petit baſteau, Mcyne dans les enfers cette ame mal-heureuſe.	Le Cardinal Charon qui est toujours navigeant sur cette eau, Pour passer les esprits dans ton petit basteau, Mcyne dans les enfers cette âme malheureuse.
Cnnron.	Cnron.
Qu'il eſt bien employé de l’auoir langoureuſe, Ayant touſiours voulu regner chez les mortels, μ Au lieu de reuëſer les ſaincts & les Autels,	Qu'il est bien employé de l'avoir langoureuse, Ayant toujours voulu régner chez les mortels, Au lieu de reuëser les saints et les Autels,
Le Carttinut:	Le Cartinut:
Paſe-moy ſeulement cen eic pas coir affaire, De reprendre en ce lieu ce que i’ay voulu faire?	Pase-moi seulement cen eic pas coir affaire, De reprendre en ce lieu ce que j'ai voulu faire?
Ie ſcay ce que i’ay fait.	Je sais ce que j'ai fait.
Charon.	Charon.
Oule dois ſcauoir,	Oule dois savoir,
Le Cardinal.	Le Cardinal.
Meyne moy chez Plutonpuis que c’eſt ton deuoir?	Meine moi chez Plutonpuis que c'est ton devoir?
Ie ſçait ce que i’ay fait ma reſcompenſe eſt preſte.	Je sais ce que j'ai fait ma récompense est prête.
Charon.	Charon.
Tu às auiourd'huy fait vne belle conqueſté, Au lieu de vers lauriers tu recherche des fers.	Tu às aujourd'hui fait une belle conquesté, Au lieu de vers lauriers tu recherche des fers.
Au lleu d’aner ad Ciertu delcenlus aux enfers,	Au lleu d'aner ad Ciertu delcenlus aux enfers,
Le Cardinal.	Le Cardinal.
I'eſt temps que ie preſche, cela m’eſt fort vtile,	J'est temps que Rome prêche, cela m'est fort utile,
Charon.	Charon.
Ie ſcay que c’eſt de ſemer dans vn champ infertile;	Je sais que c'est de semer dans un champ infertile;
Mais c’eſt pour commencer à te perſecurer, Ayant dedans le monde aymé mieux eſcouter Des diſcours am oureux comme des Commedies, Ou bien preſter l’oreil à quelque perfidie, Que d’aller en vn mois entendre deux ſermons?	Mais c'est pour commencer à te persécurer, Ayant dedans le monde aimé mieux écouter Des discours am oureux comme des Commedies, Ou bien prêter l'oreil à quelque perfidie, Que d'aller en un mois entendre deux sermons?
Puis qu’ainſi tu le veux ie te liure aux demons » Qui te gouuerneront comme tu le merite, Acous vellons neſlez eux tu leras Tnypocrlee,	Puis qu'ainsi tu le veux ici te livre aux démons " Qui te gouverneront comme tu le mérite, Acous vêlons neslez eux tu leras Tnypocrlee,
Le Cardinal.	Le Cardinal.
Il faudra marcher droit on m’y cognoiſt trop bien.	Il faudra marcher droit on m'y connaît trop bien.
Charon.	Charon.
On t’y cognoiſt de vray:	On t'y connaît de vrai:
mais non pas pour ton bien.	mais non pas pour ton bien.
Le ourbmur.	Le ourbmur.
Ie ſens fondre ſous moy la barque paſſagere.	Je sens fondre sous moi la barque passagère.
Cbaron.	Cbaron.
Pour vn ſi gtand eſprit elle eſt peu legere.	Pour un si gtand esprit elle est peu légère.
Pluton & le Cardinal.	Pluton et le Cardinal.
Pluton.	Pluton.
O!	Ô!
te voila mon fils?	te voilà mon fils?
viens-tu pas heriter Des biens que ie t’ay fait au monde meriter.	viens-tu pas hériter Des biens que sans t'ai fait au monde mériter.
Veux-tu pas partager mon Sceptre & ma Couronne;	Veux-tu pas partager mon Sceptre et ma Couronne;
Tu les merites bien, faut que ie te les donne, Qu’on luy donne vne chaire aupres de Cornuel:	Tu les mérites bien, faut que tu te les donne, Qu'on donne que ici chaire auprès de Cornuel:
Avant eu dans le monde vne amour mutuel, Ils ſeront fort contents d’eſtre logez enſemble:	Avant eu dans le monde une amour mutuel, Ils seront fort contents d'être logés ensemble:
Le veux-tu Cardinal;	Le veux-tu Cardinal;
dis moy ce qui t’en ſemble.	dis moi ce qui t'en semble.
Le Cardiual.	Le Cardival.
Ie ſuis voſtre ſujet, vous pouuez commander.	Je suis votre sujet, vous pouvez commander.
Cornuel & le Cardinal.	Cornuel et le Cardinal.
Cornuel.	Cornuel.
Que viens-tu Cardinal icy me demander, Retire toy cruel, vilan, abominable, Ie ne te puis ſouffrir.	Que viens-tu Cardinal ici me demander, Retire toi cruel, vilan, abominable, Je ne te puis souffrir.
Le Cardinal.	Le Cardinal.
N’eſt-il pas raiſonnable, Qu’ayant eu dans le monde vne ferme amitié, Nous partagions tous deux le lieu par la moitié,	N'est-il pas raisonnable, Qu'ayant eu dans le monde une ferme amitié, Nous partagions tous deux le lieu par la moitié,
Cornuel.	Cornuel.
Ie ſuis aſſe preſſé ſans m’eſtreſſir encore;	Je suis asse pressé sans m'estressir encore;
Tu m’as aimé dis-tu, c’eſt ce que ie deplore, D’vn amour violent & ferme ce dit-tu, L’on trouue Cardinal dans la ſeule vertu, Vne amitié bien noble vn amour veritable, Le tien bien loing de m’eſtre bonet profitablé, M’a reduit à ſouffrir des tourmens rigoureux;	Tu m'as aimé dis-tu, c'est ce que femme deplore, D'un amour violent et ferme ce dit-tu, L'on trouve Cardinal dans la seule vertu, amitié bien noble amour véritable, Le tien bien loing de être bonet profitablé, a réduit souffrir des tourmens rigoureux;
Qui pour l’erernité me rendent mal-heureux?	Qui pour l'érernité me rendent malheureux?
Ie ne ſuis pas faſché de ſcauoir que ton ame, Eſt auſſi condamnée à ſouffrir dans la flame;	Je ne suis pas fâché de savoir que ton âme, Est aussi condamnée à souffrir dans la flamnée;
Mais i’enrage de me voir tant de maux m’acabler Et les ſentir ſans ceſſe accroiſtre & redoubler:	Mais j'enrage de me voir tant de maux m'acabler Et les sentir sans cesse accroître et redoubler:
Cherche ton Confeſſeur ce bon porte bezace, Qui fait à mon aduis vnelaide grimace.	Cherche ton Confesseur ce bon porte bezace, Qui fait à mon avis unelaide grimace.
Le Cardin al.	Le Cardin al.
Doll yaurrelcielrie	Doll yaurrelcielrie
Le Pere I.	Le Père I.
Nous n’en auons iamais, Mal heureux Cardinal, peux tu bien deſormais Faire en ſorte que i’aye vne bonne iournée:	Nous n'en avons jamais, Mal heureux Cardinal, peux tu bien désormais Faire en sorte que j'aie une bonne journée:
Toy ſeul qui a cauſé ma ſeule d’eſtinée, Et qui me fait auoir vne cternelle nuict, Qui iamais ne me quitte, & qui touſiours me ſuit?	Toi seul qui a causé ma seule d'estinée, Et qui me fait avoir une cternelle nuit, Qui jamais ne me quitte, et qui toujours me suit?
Il falloit adiouſter bon iour par excellence;	Il fallait ajouter bon jour par excellence;
Comme ſi deſormais ta chetiue Eminence Pouuoit nous preſenter quelque choſe de bon, Sens vn peu la chaleur de ce petit charbon;	Comme si désormais ta chétive Eminence Pouvait nous présenter quelque chose de bon, Sens un peu la chaleur de ce petit charbon;
Pour voir ſi nous auons quelque minutte heureuſe, Endurant ſans ceſſer la flame rigoureuſe;	Pour voir si nous avons quelque minute heureuse, Endurant sans cesser la flamme rigoureuse;
Va paſſe plus auant & cherche vn autre lieu, L’onte doit le meilleur.	Va passe plus avant et cherche un autre lieu, L'onte doit le meilleur.
Le Cardinal.	Le Cardinal.
Ie te dis adieu.	Je te dis adieu.
Le Perc I.	Le Perc I.
Parle icy que dis-tu, cauſe de ma miſere, Tu te mocque de moy, va, tu n’en riras guerre, Si tu en as ſujet, tu me trompe bien fort;	Parle ici que dis-tu, cause de ma misère, Tu te moque de moi, va, tu n'en riras guerre, Si tu en as sujet, tu me trompe bien fort;
Tous tes biens Cardinal ſont finis par la mort;	Tous tes biens Cardinal sont finis par la mort;
Tu ſentiras bien toſt le tourment qui m’accable;	Tu sentiras bien tôt le tourment qui m'accable;
Tu me viens dire adieu lors que ie ſuis au diable?	Tu me viens dire adieu lors que je suis au diable?
Pour t’auoir aſſiſté dans tes meſchancetés, Et pour t’auoir loüé dans tes iniquités;	Pour t'avoir assisté dans tes méchancetés, Et pour t'avoir loué dans tes iniquités;
I’ay ſçeu tous tes pechez, i’ayſupporié ton vice;	J'ai su tous tes péchés, j'aysupporié ton vice;
Ce oui fait qu’aux enlers j’admire la Iuſtice Du Munarque des Roys qui regne dans les Cieux, euuir auoit aobaiſlé ton vol audacieux;	Ce oui fait qu'aux enlers j'admire la Justice Du Munarque des Rois qui règne dans les Cieux, euir avait aobaisé ton vol audacieux;
ceiis pomt de hos maux, deſormais prens y garde.	ciis pompt de hos maux, désormais prends y garde.
Le Cardinal & le premier Preſilent.	Le Cardinal et le premier Presilent.
