LES SECONDES OEVVRES POETITES ET TRAGIQVES de Iehan Preuoſt Aduocat en la baſſe Marche.	LES SECONDES OEUVRES POTITES ET TRAGIQUES de Jehan Preuost Aduocat en la basse Marque.
a CABLE du mal heur qui me tient ſans raiſon Enfermé dans les ceps d’vne eſtroicte priſon, frui le veux aux yeux de tous monſtrer mon innocence Et que l’aſtte premier qui voyoit ma naiſſance Inſluant ſur mon chef ſon deſtin rigoureux, Ne me fit pas meſchant, ains me fiſt mal-heureux.	à CÂBLÉ du mal heur qui me tient sans raison Enfermé dans les ceps d'une étroite prison, frui le veux aux yeux de tous montrer mon innocence Et que l'astte premier qui voyait ma naissance Insluant sur mon chef son destin rigoureux, Ne me fit pas méchant, ains me fît malheureux.
ABELle ſeul eſpoir de ma fortune dure Le confort de ma peine & du mal que i’endure, De qui i’ay tant de fois en mon aduerſité Eſprouué la conſlance, & la fidelité.	ABELè seul espoir de ma fortune dure Le confort de ma peine et du mal que j'endure, De qui j'ai tant de fois en mon aduersité Éprouvé la conslance, et la fidélité.
Oy les triſtes accents & la voix ſouſpirante Qui ſe va plaindre à toy du bort de Charante.	Oi les tristes accents et la voix soupirante Qui se va plaindre à toi du bort de Charante.
C’eſt toy, moncher ABEL qui ſage auois inſtruit, Le proces ou ſoruient l’arreſt qui me deſtruit, Tu ſcais ſi i’eus raiſon, & ſi la voix auguſte Qui me fit priſonnier ne me fot pas iniuſte.	C'est toi, moncher ABEL qui sage avais instruit, Le procès ou sorvient l'arrêt qui me détruit, Tu sais si j'eus raison, et si la voix auguste Qui me fit prisonnier ne me sot pas injuste.
Mais afin qu’vn chacun puiſſe auſſi le ſçauoir Ie veux encote icy te le ramenteuoir.	Mais afin qu'un chacun puisse aussi le savoir Je veux encote ici te le ramentvoir.
Ie viuoit bien heureux ſi la ialouſc enuie, Que fortune portoit au bon-heur de ma vie, N’euſt ſous l’apaſt d’vn bien troublé mal à propos Lors quei’y penſois moins mon aiſe & mõ repos.	Je vivait bien heureux si la jalousc envie, Que fortune portait au bonheur de ma vie, N'eût sous l'apast d'un bien troublé mal à propos Lors quei'y pensais moins mon aise et mo repos.
Dien que quatre germains euſſions mis en partage De noſtre geniteur le paiſible heritage, Ma mere le voulant, qui ſoigneuſe eſleua (Des qu’enſes ieunes ans la l'arque l’auefua) D’vn ſoucy paternel, ainſy que la nature Son ame y diſpoſoit, ſa tendre geniture.	Diens que quatre germains eussions mis en partage De notre géniteur le paisible héritage, Ma mère le voulant, qui soigneuse éleva (Des qu'enses jeunes ans la l'arque l'aveufua) D'un souci paternel, ainsi que la nature Son âme y disposait, sa tendre géniture.
I’eſtois aſſez content du petit reuenu De ce quart qui m’auoit touſiours entretenu Pere de quatre enfants qui quand l’onde euernelle Du bapteſme arrouſa leur coulpe originelle De nous quatre germains ont leurs nõs emprũtez Tant que tous quatre en eux ſommes repreſenter Eſchappé du proces dont tu prins la deſfence.	J'étais assez content du petit revenu De ce quart qui m'avait toujours entretenu Père de quatre enfants qui quand l'onde euernelle Du baptême arrousa leur coulpe originelle De nous quatre germains ont leurs noms empruntés Tant que tous quatre en eux sommes représenter Échappé du procès dont tu prins la défense.
Puiſle-ie SAINCTE-MARTHE eſleuer leur enfance A ſin que quelque iour reconnoiſſants l’eſmoy Dont ton ſecours me tire ilz te ſeruent pour moy Eiſeruent ton petit de qui la belle indole.	Puisle-je SAINCTE-MARTHE élever leur enfance A sin que quelque jour reconnaissants l'émoi Dont ton secours me tire ils te servent pour moi Eiseruent ton petit de qui la belle indole.
Doit aſſembler du Lac à ton pere SÇASVOLE Mariant comme toy deux melliers ennemis Les chants de Calliope & les loix de Themis.	Doit assembler du Lac à ton père SASVOLE Mariant comme toi deux melliers ennemis Les chants de Calliope et les lois de Themis.
Eſtre en vn art parfaict pluſieurs le peuuẽt faire Mais exceller en deur la giſt vn grand miſtere Car il n’eſt mon ABEL ſcience ne meſtier Qui pour ſoy ne requiere vn homme tout entier.	Être en un art parfait plusieurs le peuuẽt faire Mais exceller en devr la gît grand ère Car il n'est mon ABEL science ne métier Qui pour soi ne requête homme tout entier.
Les Cieux à peu de gens ces faueurs accorderent Que leurs Aſtres benins d’vn bon œil regarderent Au point de leur naiſſance, & Preuoſt qui vouloit Exceller à la barre où le ſort l’appelloit, Et hanter des premiers aux bal des Pierides, Prenſ̂t ton pere & toy pour patrõs & pour guides.	Les Cieux à peu de gens ces faveurs accordèrent Que leurs Astres bénins d'être bon œil regardèrent Au point de leur naissance, et Prévôt qui voulait Exceller à la barre où le sort l'appelait, Et hanter des premiers aux bal des Pierides, Prendst ton père et toi pour patrons et pour guides.
Eſt demeuréconfus en Eſtats ſidiuers, Auſſi mauuais plaideur que compoſeur de vers.	Est demeuréconfus en États sidivers, Aussi mauvais plaideur que composeur de vers.
Pourtant ce que i’apris en l’vne & l’autre Eſchole Plaiſoitamõ ABE I, plaiſoit à mon SÇAIVOLE.	Pourtant ce que j'apris en l'une et l'autre Échole Plaisoitamõ IE I, plaisait à mon SAIVOLE.
Ils faiſoient cas de moy, moy i’eſtois trop contant.	Ils faisaient cas de moi, moi j'étais trop contant.
De leur plaite au Palais, & leur plaire en chantant.	De leur plaite au Palais, et leur plaire en chantant.
Heureux, & trop heureux ſi iamais vne fille, N’euſt voulu de ſon bien enrichir ma famille, Cuidant par ſa largeſſe alleger ma douleur Car ſa volonté bonne attraina mon malheur:	Heureux, et trop heureux si jamais une fille, N'eût voulu de son bien enrichir ma famille, Cuidant par sa largesse alléger ma douleur Car sa volonté bonne attraina mon malheur:
Gedeon que ſur tous i’auois en grand eſlime.	Gédeon que sur tous j'avais en grand élime.
Que i’aymois comme frere eſtoit ja la victime De l’auare Pluton, par le coup venimeur De la peſte enuoyé dans le fleuue larmeux.	Que j'aimais comme frère était ja la victime De l'avare Pluton, par le coup venimeur De la peste envoyé dans le fleuve larmeux.
Anne qui ſe conſume en plaintes eternelles Meſlant ſa chere cendre aux cendres maternelles, Ne peuſt pas le ſuruiure ayant tant ſcullement Conſe ſué ſa ſanté pour ſon entetrement.	Anne qui se consume en plaintes éternelles Mêlant sa chère cendre aux cendres maternelles, Ne pût pas le surviure ayant tant scullement Conse sué sa santé pour son entrement.
Le regret qu’elle auoit de ſa mort adoenue Luy ſit naiſtre vn accez de ſiebure continnẽ Qui temmantfarate, en ſon eage plus beau La fit deuant le temps deualer au tombeau.	Le regret qu'elle avait de sa mort adoenue Lui sit naître un accès de sièbure continenne Qui temmantfarate, en son eage plus beau La fit devant le temps dévaler au tombeau.
Les Nymphes qui viuoient aux foreſts deſolées, Aur campaignes, aur mõts & aur creux des vallees, Les Nymphes des eſtangs pleurerent leur treſpas, Gartampe gros de pleurs en redoubla ſes pas Et vienne au long cours dont les troubles ondces Des larmes de ſes yeux s’accreurent deſbordees.	Les Nymphes qui vivaient aux forêts désolées, Aur campagnes, aur monts et aur creux des vallées, Les Nymphes des étangs pleurèrent leur trépas, Gartampe gros de pleurs en redoubla ses pas Et vienne au long cours dont les troubles ondes Des larmes de ses yeux s'accreurent desbordees.
Loyte prenant le ſon de leur renom fameux Le fit rebruire aux flots de Neptune eſcumeux:	Loite prenant le son de leur renom fameux Le fit rebruire aux flots de Neptune écumeux:
Et moy qui de douleurs en eus l’ame outragee Ie publiay ma foy qui luy fut engagee Par le droit de nature, & dis en ſouſpirant Le bien que ſa mainlarge y ioignit en mourant, Dont ie m’eſtois promis iouir de quelque choſe Mais ce mal-heureux bien me fut l’or de Tholoſe Deſpuis ie n’eus que peine, & ſa ſucceſſion Me remplit de deſordre & de diſſenſion.	Et moi qui de douleurs en eus l'âme outragée Je publiai ma foi qui lui fut engage Par le droit de nature, et dis en soupirant Le bien que sa mainlarge y joignit en mourant, Dont pu m'étais promis jouir de quelque chose Mais ce malheureux bien me fut l'or de Tholose Despuis ie n'eus que peine, et sa succession Me remplit de désordre et de dissension.
Ie ne vous blaſme point ombre (ne vous deſplaiſe) Cat vous n’euſtes iamais la volonté mauuaiſe.	Je ne vous blâme point ombre (ne vous déplaise) Cat vous n'eûtes jamais la volonté mauvaise.
Vous penſiez faire bien, de cela i’en ſuis ſeur, Et blaſme ſeulement voſtre infidelle ſœur, Qui vouloit regaigner en grand ſolicitude Ce qu’elle auoit perdu par ſon ingratitude:	Vous pensiez faire bien, de cela j'en suis sûr, Et blâme seulement votre infidèle sœur, Qui voulait regagner en grand solicitude Ce qu'elle avait perdu par son ingratitude:
Tache en mille procez & par cent iugemens De voſtrefrere aymé tompreles teſtamens.	Tache en mille procès et par cent jugements De vostrefrere aimé tompreles testamens.
Ie meuts quand i’y repence, vne ſource fertille Qui de mes yeux lauezir ceſſament diſtille.	Je meuts quand j'y repense, une source fertille Qui de mes yeux lavezir cessament distille.
M’eſtouppe le goſier ABEL en eſt ſçauant, Et le lecteur deſdaigne en aller plus auant.	M'étoupe le gosier ABEL en est sçauant, Et le lecteur dédaigne en aller plus avant.
Or quelque part du Ciel agreable pucelle Que ton eſtre plaisãt à ceſte heure eſtincelle, Regarde mes ennuis, & prens quelque pitié Des maux que ie reçois de ta chaſte amitié, Deliure moy de peine, & mon ABEL encore De l’importunité dont mon ſoing le deuore Aſfin que deschargé d’vn œil libre & content, Il voye mon Hercule en ſon mal ſi conſtant Qu’iladmire ſa force & veſtant ſon courage Trãche d’vn coup heureux l’Hydre qui me ſacage Et tous ſes reiettons affin que quelgues fois Imitant les fredous de ſa diuine voix Ie le chante à loiſir, & d’vn à l’autre Pole Enuoyer les biens faits des enfansde SÇEVOLE Car bien que ſeuls ils ſont dignes de ſe chanter Que mon vers ne peut rien ì leur los adiouſter?	Or quelque part du Ciel agréable pucelle Que ton être plaisants à cette heure étincelle, Regarde mes ennuis, et prends quelque pitié Des maux que tu reçois de ta chaste amitié, Délivre moi de peine, et mon ABEL encore De l'importunité dont mon soing le dévore Asfin que déchargé d'un libre et content, Il voie mon Hercule en son mal si constant Qu'iladmire sa force et vêtant son courage Tranche d'un coup heureux l'Hydre qui me sacage Et tous ses rejet affin que gués fois Imitant les fredu de sa diuine fois Ie m chante à loisir, et et à lautre ô Enuoyer les biens faits des enfansde SÇEVOLE Car bien que seuls Il sont dignes de se chanter Que mon vers ne peut rien leur adiouster?
Si ne veux-ie laiſſer de publier leur gloire, Et grauer leur honneur ſur l’autel de memoire, Affin de te moigner à la proſterité, Que le pouuoir me manque & uon la volonté.	Si ne veux-je laisser de publier leur gloire, Et graver leur honneur sur l'autel de mémoire, Affin de te moigner à la prostérité, Que le pouvoir me manque et uon la volonté.
ACTE I.	ACTE I.
Pe HERCVLE.	Pe HÉRCULE.
97, toy qui fais fambes la tempeſte iahumaine Partous les coins du monde, où Phœbus ſe pourmeine Pere & Pnince des Dieux, Menarque ſouucrain Commande aſſeurement dans ton throſne d’airain, Ie t'ay la paix acquiſe en quelque part que l'onde De l’Amphutrue large eſtr iſeſſe le monde.	97, toi qui fais fambes la tempête jahumaine Partous les coins du monde, où Phœbus se pourmeine Père et Pince des Dieux, Ménarque souvcrain Commande assurément dans ton trône d'air, Je t'ai la paix acquise en quelque part que l'onde De l'Amphutrue large étr isesse le monde.
Il ne faut plus tonner les tyraus tuhumaius Lerinfidelles Roys giſent moris ſous mes maius.	Il ne faut plus tonner les tyraus tuhumaius Lerinfidèles Rois gisent moris sous mes maius.
I’ay rompu, i’ay bnjé, i’ay broyé tout en poudre Ce qui debuoit tomber ſoüs les coups de ion foudre.	J'ai rompu, j'ai bnjé, j'ai broyé tout en poudre Ce qui débuait tomber sours les coups de ion foudre.
Et cependant, encore, ó pere, & cependant On me ferme le Ciel, on me va retardant.	Et cependant, encore, pere, Et cependant On me ferme le Ciel, en me vaore,
Ma maratre lunon qui ſaus ſin me pourchoſſe Ne cognoit elle aſſez que ie ſuis de tarace?	Ma marâtre lunon qui saus sin me pourchosse Ne connaît elle assez que ici suis de tarace?
N’ay-ie paru touſiours Horcule triemphant, Digne que Iupiter m’auouaſtpour enſant?	N'ai-je paru toujours Horcule triemphant, Digne que Jupiter m'auouastpour ensant?
Suis-ie point craint la haut?	Suis-je point craint la haut?
celuy dent le dos large Porte le faix d’Olympe, a til peur que ſa chaige L’accable deſſous elle, & que ſes os boſſus Ne ſouſtiennent les Cieux, & Hercule deſſus?	celui dent le dos large Porte le faix d'Olympe, a ty peur que sa chaige L'accable dessous elle, et que ses os bossus Ne soutiennent les Cieux, et Hercule dessus?
Pourquoy, pere pourquoy ta grandeur iuſuis	Pourquoi, père pourquoi ta grandeur jus
Pourquoy m’en priues tu?	Pourquoi m'en prives tu?
la mort qui deſſus moy N’a point eu de pouuoir, me renuoye vers toy Pour me rendre immortel Apres que les encombres De la terre, de l’air, de la mer, & des ombres Ne m’ont peu reſiſtet, & que ſous mes vertus Elle a veu treſbucher ſes monſtres abatus.	la mort qui dessus moi N'a point eu de pouvoir, me renvoie vers toi Pour me rendre immortel Après que les encombres De la terre, de l'air, de la mer, et des ombres Ne m'ont pu résistet, et que sous mes vertus Elle a vu trébucher ses monstres abattus.
L’effroyable lion dela ſoreſt Nemee Eſt verſe ſous les coups de ma dextre auimet, Les oiſeaux, de qui l’aiſle exceſtiue en grandeur Ombrageoit le ſoleil, tombez par la roideur De mestraits enuoyez au plus bault de la nuc Le cerf aux pieds venteux, dont la teſte corunẽ Branchoit en rameaux d’or, ne fut pas ſi leger Qu’il peuſt en me fuyant euiter le danger.	L'effroyable lion déla sotest Nemee Est verse sous les coups de ma dextre auimet, Les oiseaux, de qui l'aile excestive en grandeur Ombrageait le soleil, tombez par la roideur De mêtraits envoyez au plus bault de la nuc Le cerf aux pieds venteux, dont la tête corunence Branchait en rameaux d'or, ne fut pas si léger Qu'il pût en me fuyant éviter le danger.
Que ie portois apres.	Que était portais après.
Perſonne ne lamante Aiaintenaut le degaſt du ſanglier d'Erymanthe.	Personne ne lamante Ajaintenaut le dégât du sanglier d'Erymanthe.
Et ce taureau qui ſut l’effoy de cent cutez Ne renuerſe auiourd huy l'honneur des champs Dictex Sur le Scyiluque mont le dolent Promethee Ne paiſt plus vn vautour de ſa chair bec quetee.	Et ce taureau qui sut l'effoi de cent cutez Ne renverse aujourd 'honneur des champs Digtex Sur le Scyiluque mont le dolent Prométhe Ne paît plus un vautour de sa chair becte quêtée.
Le ſerpent gardien du fuict d’or precieux Ferma d’vn long ſommeil le veiller de ſes yeux Eſtendu dans ſon bois Et mes ſtames puiſſantes Ont eſteint le ſerpent aux teſtes renaiſſantes.	Le serpent gardien du fuit d'or précieux Ferma d'âme long sommeil le veiller de ses yeux Étendu dans son bois Et mes stames puissantes Ont éteint le serpent aux têtes renaissantes.
Le Roy de Thrace eſt mort par l’vu de mes trauaux Qui du ſang hoſtelier engraiſſoit ſes cheuaux, Luy qui des eſtrangers faiſoit leur nourriture Leur ſeruit iuſtement luy meſme de paſture Hyppolyte à Theſee au bord de Thermodon Fut apres ma victoire accordee en guerdon.	Le Roi de Thrace est mort par l'une de mes travaux Qui du sang hôtelier engraissait ses chevaux, Lui qui des étrangers faisait leur nourriture Leur servit justement lui était de pâture Hypolyte à Thèse au bord de Thermodon Fut après ma victoire accordée en guerdon.
I’ay veu des palles morts les campaignes ſunebre), Et ne ſuis ſeulement ſorty de leurs tenebres, Mais i'entrainay le chien, & loin de ſon ſejour Ie le ſr uuteur à la darté da ieur.	J'ai vu des palles morts les campagnes sunebre), Et ne suis seulement sorti de leurs ténèbres, Mais j'entraînai le chien, et loin de son séjour Je le sr uteur à la darté da jeur.
Phœbus i'en effreyaila puiſſance caches Qu vn Lybien prenoit de ſa mere touchee Se perdis à la ſn, quand ſerré ſortement Ieluy fisperdrehaleme en vn autre Element, Cacus veid, qui de feux eut la gorge eſchauffes.	Phœbus j'en effreyaila puissance caches Qu Lybien prenait de sa mère touchée Se perdis à la sn, quand serré sortement Jelui fisperdrehaleme en un autre Élément, Cacus veid, qui de feux eut la gorge échauffes.
La flame paternelle en ſa gorge eſtouffee.	La flamme paternelle en sa gorge étouffée.
Celuy qui t’immoloit leshumains, immertel, Luy meſme de ſon ſang arrouſa ſon autel.	Celui qui t'immolait leshumains, immertel, Lui même de son sang arrousa son autel.
Pere, & par ton vouloir, car ta bonté propiæ Ne nous demande point de ſanglant ſacriſico.	Père, et par ton vouloir, car ta bonté propiæ Ne nous demande point de sanglant sacrisico.
Et ce bras ſeulement, ce bras ſeul aſſomma L’Eſpaguol que nature en trois corps anima:	Et ce bras seulement, ce bras seul assomma L'Espaguol que nature en trois corps anima:
Bref, tout ce que la terre engendra de moleſte, Sans employer les traits de ton courroux celeſte, Sans qu’il en fuſt beſoin, eſt mort, & ma valeur Brauc a tout renueſe ce qu’elle eut de malheur.	Bref, tout ce que la terre engendra de moleste, Sans employer les traits de ton courroux celeste, Sans qu'il en fût besoin, est mort, et ma valeur Braucau a tout renves ce qu'elle eut de malheur.
s’il ne reſte donc plus de monſtre, & que la rage De lunon ne ſe puiſſe eſchauffer dauantage, Rends le ſils maretenant au perebien heureux, Ou le Ciel qu’il merite à l’homme valeureux.	s'il ne reste donc plus de montre, et que la rage De lunon ne se puisse échauffer davantage, Rends le sils maretenant au pèrebien heureux, Ou le Ciel qu'il mérite à l'homme valeureux.
Ie ne demande point, ie ne veux point, mon pere, Qu'ou me mouſtre vn chemin, ie le ſçauray bien faire, Permets moy ſeulement que ie monte la ſus, Donne moy ce congé, tu me verrac deſſus, Tu me verras au Ciel, & ſa voye blanchie Tremblera ſous le faix de mes plantes ſieſehie Marchant vers ton Palais, ou bien ſi de rechef Tu doutes que la terre engendre du meſchef, Iace la deuancer, ſay luy.	Je ne demande point, Seigneur ne veux point, mon père, Qu'ou me moutre un chemin, toujours le saurai bien faire, Permets moi seulement que je monte la sus, Donne moi ce congé, tu me verrac dessus, Tu me verras au Ciel, et sa voie blanchie Tremblera sous le faix de mes plantes siesehie Marchant vers ton Palais, ou bien si de rêches Tu doutes que la terre engendre du meschef, Iace la devancer, sai Elle.
ſay luy produne Tout ce qu’elle a conceu dans ſes flanes pour te nuire, Qu'elle produiſſe tout, & le pouſſe debors Tandis qu’elle ſouſtient Alcide aux membres ſorts.	sa lui produne Tout ce qu'elle a conçu dans ses flamnes pour te nuire, Qu'elle produisse tout, et le pousse debors Tandis qu'elle soutient Alcide aux membres sorts.
Car, qui pourroit encore aux monſtres fane guur?	Car, qui pourrait encore aux monstres fane guur?
Qui les pourvoit dempter, & en purger la iene?	Qui les pourvoit dempter, et en purger la iene?
Par le villes de Orece on pourroit on ſmnon,	Par le villes de Orèce on pourrait on smnon,
Vn Hereule trouuer digne que ta Iunon S’animaſt contre luy?	Un Hèreule trouver digne que ta Junon S'animât contre mort?
& qui par taut de peines Pourroit rendre apres moy tant de porſuittes veines S’acquerent de l’honneur?	et qui par taut de peines Pourrait rendre après moi tant de porsuites veines S'acquèrent de l'honneur?
Or mon nom excellant Loing par deſſus l'enuie aux Aſtres va volant, Tout le moude me loue, & deſpuis la Scythie Iuſqu’aux larges deſerts de l'Afrique roſtie, Des le Soleil leuant iuſques a ſon coucher, On m’a veu plein de gloire eu tromphe mancher:	Or mon nom excellant Loing par -dessus l'envie aux Astres va volant, Tout le moude me loue, et despuis la Scythie Jusqu'aux larges déserts de l'Afrique rôtie, Des le Soleil luant jusqu' à son coucher, On m'a vu plein de gloire eu tromphe mancher:
Ie t'ateſte Phœbus en quelque part du monde Que tu iettes les rais de ta lumiere blonde Tu m’as veu deuant toy & ſon char flamboyaut D’infaugable train le grand Ciel tournoyant N’a peu m’accompaigner, i’ay laiſſe lomg doriere Vainqueur & tromphant ta lampeiournaliere I’ay ſranclu ta farriere, & ton ſlambeau qui luis M’a ſeul abandonné dans l'horveur de la miuct.	Je t'atteste Phœbus en quelque part du monde Que tu jettes les rais de ta lumière blonde Tu m'as vu devant toi et son char flamboyaut D'infaugable train le grand Ciel tournoyant N'a pu m'accompagner, j'ai laisse lomg dorible Vainqueur et tromphant ta lampejournalière J'ai sranclu ta farrière, et ton slambeau qui luis M'a seul abandonné dans l'horvr de a miuct.
La teme m’a failly, i’ay paſſe la nature Et le deruier chaos, deſſous ſa touuerture M’auoit enuironné d’vn voile tenibreux, Mais i’ouuris vn chemin par cet amas ouibνeυx Pour remomer au Ciel, & le iour veid Hercule Retourué desbas lieux dont autre ne recule, Le proſond Ocean d’vn courreux forcené Bruyant & tempeſtant ne m’a point eſtonné, Et dans les flots ondeux ne peut eſtre enſoncee Nef qui fut ſous les pieds d’vn Aleide preſſee.	La teme m'a failli, j'ai passe la nature Et le deruier chaos, dessous sa touverture M'avait environné d'H voile tenibreux, Mais j'ouvris un chemin par cet amas ouibνeυx Pour remomer au Ciel, et le jour vit Hercule Retourvé débas lieux dont autre ne recule, Le pros Océan d'un courreux forcené Bruyant et tempêtant ne m'a point étonné, Et dans les flots ondeux ne peut être en Ce qui fut amou ce pieds Le pressée.
Mais que i’en conte peu!	Mais que j'en compte peu!
que dis je ?	que dis -je ?
he!	hé!
ie deſſais Ne pouuant due tout grand part de mes beaux faus.	Ne dessais Ne pouvant due tout grand part de mes beaux faus.
L’air eſt vuide à cette heure & ne peut plus ſuſſire A ta ſemme Iunon pour contenter ſon ire Sant monſires eſt la terre, & ſon ſoible pouuoir Pour me les preſenter n’en oſe conceuoir.	L'air est vid à cette heure et ne peut plus sussire A ta semme Junon pour contenter son ire Sant monsires est la terre, et son soible pendant Pour me les présenter n'en ose concevoir.
Tant luy donne de peur la ſorce vertueuſe D'Hexule qui commence à ſembler monſimerſe	Tant notre donne de peur la sorce vertueuse D'Hexule qui commence à sembler monsimerse
Ay-ie fait deſarmé tresbuſcher a lenuers.	Ai-je fait désarmé tresbuscher à lenvers.
Tout ce qui s oppoſa de cruel de terble, De tuiſte, de meſchans, de dangereux, d’horrible, Tout ce qui fut tamais nuiſible au genre humain Giſt tout mort, abatu, terracé de ma main.	Tout ce qui s opposa de cruel de terble, De tuiste, de méchants, de dangereux, d'horrible, Tout ce qui fut tamais nuisible au genre humain Sous tout mort, abattu, terracé de ma main.
Ien’eneus oncqueipeur, meſmes des mon enfance, Quand i’eſtois au berceau ie leurs ſis reſiſtance Et preſſant les Dragons que ie n’auiſois pas Mes enfantines mainihaterent leur treſpas, Iamais iour n’eſclaira que ſi belle lumiere Deuant que ſe cacher daai l’onde mariniere Ne m’uit veu trauailler, & s’en allant n’ait en Dequoy ſe ſignaler d'vn acte de vertu De tous commendements la charge m’eſt petite.	Jen aveus oncqueipeur, mêmes des mon enfance, Quand j'étais au berceau jour leurs sis résistance Et pressant les Dragons que tu n'avis pas Mes enfantines mainihaterent leur trépas, Jamais jour n'éclaira que si belle lumière Deuant que se cacher daï raonde marinière Ne m'uit vu travailler, et s'en allant n'ait en Dequoy se signaler d'un acte de vertu De tous commendements la charge m'est petite.
I'ay vaincu mille fois comme vertu m’incite Sans qu’on me commendaſt, elle plus aguiſoit Ma genereu e ardeur que luuon ne faiſoit Mais quoy, que me ſert il que la terre afflgee Du mil qu’elle ſouſfroit ſoit ores ſoulagee Si les dieux n’ont de paix, ſi encœre elle voit Luire eſpars dans le Ciel les monſtres qu'elle anoit Tout te qu’elle craignoit, qui luy fut redoutable Iunon ſ’a dans le Ciel maintenant retiré, Et ſon cercle mouuant en eſt tout eſclaire.	J'ai vaincu mille fois comme vertu m'incite Sans qu'on me commendât, elle plus aguisait Ma généreu e ardeur que luon ne faisait Mais quoi, que me sert -il que la terre afflée Du il qu'elle sousfait soit ores soulage Si les dieux n'ont de paix, si encœpré elle voit Luire épars dans le Ciel les monstres qu'elle anait Tout te qu'elle craignait, qui lui fut redoutable Iunon s'a dans le Ciel maintenant retiré, Et son cercle mouvant en est tout éclaire.
Elle voit d’vn coſté l'eſcreuiſſe mordante Ambraſſer de ſes pieds la region ardente, Commender à vn mois, & aſtre til yen Du courbé moiſſonneur eſteuer tout le bien.	Elle voit d'une côté l'écreuisse mordante Ambrasser de ses pieds la région ardente, Commender à un mois, et astre til yen Du courbé moissonneur esteuer tout le bien.
D’autre part le lion où la pucelle Aſtree Hal ue dans le Ciel loing de ceſte contree Semble luy faire plac & de ſon col hardy Secouant ſa crint re aſſecher le midy, Las pluyes attirant, de ſia s'eſt emparee	D'autre part le lion où la pucelle Astrée Hal ue dans le Ciel loin de cette contrée Semble lui faire plac et de son col hardis Secouant sa crint ré assécher le midi, Las pluies attirant, de zia s'est emparée
