Par J.	Par Y.
Cependant Piero & Thievena, pere & mere de la Bergere, avertis de la recherche d’Amidor, entrent en diſſention, le pere pour ſourenir le parti de Janin, & la mere celuy d’Amidor, parce que comme les femmes ne demordent jamais à leut opiniâtreté, elle perſiſte en ſon inclination pour Amidot, ambitieuſe des honneurs, dont Piero irrité, menace la mere & la fille, & les frape:	Cependant Piero et Thievena, père et mère de la Bergère, avertis de la recherche d'Amidor, entrent en dissention, le père pour sourenir le parti de Janin, et la mère celui d'Amidor, parce que comme les femmes ne démordent jamais à lut opiniâtreté, elle persiste en son inclination pour Amot, ambitieuse des honneurs, dont Piero irrité, menace la mere menace la fille, et les frappe:
ſi bien que Iappetta & Pernetta leurs proches voiAijoo puoboureutsqui tquauunt le déplaiſir de Thievena, lui promettent de faire condeſcendre Piero à ſa volonté touchant ce mariage:	si bien que Jappetta et Pernetta leurs proches voiAijo puoboureutsqui quauunt le déplaisir de Thievena, lui promettent de faire condescendre Piero à sa volonté touchant ce mariage:
& pour la divertir, noyent le ſouci dans la liqueur de Baccus avec elle, & ſe réjeüiſſehit aux dépens du publie.	et pour la divertir, noient le souci dans la liqueur de Baccus avec elle, et se réjeüissehit aux dépens du publie.
Et Amidor ARGUMENT.	Et Amidor ARGUMENT.
& la Bergere affligez de l’oppoſition de Piero, ſe laiſſent gagner au déplaiſir, dont Amidor tombe évanoür, ce qui mût la Bergete à pitié, elle le releve, & lui donne avis de ſe déguiſer en berger pour tromper ſon pere;	et la Bergère affligés de l'opposition de Piero, se laissent gagner au déplaisir, dont Amidor tombe évanoür, ce qui mut la Bergète à pitié, elle le relève, et lui donne avis de se déguiser en berger pour tromper son père;
faiſant telle propoſition fort agreable à Amidor aſſis deſſous un arbre.	faisant telle proposition fort agréable à Amidor assis dessous un arbre.
Janin caché dans le bois, les voyant, les en chaſſe à coups de pierres, & delibere de s’addreſſer à une Sorciere pour ruiner leurs amours.	Janin caché dans le bois, les voyant, les en chasse à coups de pierres, et délibère de s'adresser à une Sorcière pour ruiner leurs amours.
Cependant Piero tourmenté par ces femmes, ne ſçachant que faire pour avoir paix chez luy, va prendre conſeil de Gondran.	Cependant Piero tourmenté par ces femmes, ne sachant que faire pour avoir paix cheze luy, va prendre conseil de Gondran.
Chacune des parties fait tout ce qu’il peut pour avoir l’avantage.	Chacune des parties fait tout ce qu'il peut pour avoir l'avantage.
Janin implore l’aſſiſtance de la Sorciere.	Janin implore l'assistance de la Sorcière.
Amidor deguiſé en berger, tâche de gagner le cœur du Pere de la Bergere:	Amidor déguisé en berger, tâche de gagner le cœur du Père de la Bergère:
& ſa mere couvre ſi bien leur ſtratagême qu’ils viennent tous à bout de leur deſſein, hormis Janin, qui perd toutes ſes peines.	et sa mère couvre si bien leur stratagème qu'ils viennent tous à bout de leur dessein, hormis Janin, qui perd toutes ses peines.
Amidor donc fiance Lhauda au contentement de tous ces villageois, & particulierement de Mathia tante de la Bergere:	Amidor donc fiance Lhauda au contentement de tous ces villageois, et particulièrement de Mathia tante de la Bergère:
car elle jette à tous ceux du village des poignées de dragée.	car elle jette à tous ceux du village des poignées de dragée.
Les fiançailles faites, Janin avec le flajollet de la Sorciere (lequel a la vertu de faire danſer tous ceux qui l’entendent) joüe d’icelui par vengeance, croïant de faire beaucoup de mal à ces Amans.	Les fiançailles faites, Janin avec le flatjollet de la Sorcière (lequel a la vertu de faire danser tous ceux qui l'entendent) joue d'icelui par vengeance, croïant de faire beaucoup de mal à ces Amants.
Mais voyant que ſon entrepriſe ne peut reuſſir, il ſe dépite, & prepare pour leur nouer l’éguillette, lorſque le Preſtre les épouſera:	Mais voyant que son entreprise ne peut réussir, il se dépite, et prépare pour leur nouer l'éguillette, lorsque le Prêtre les épousera:
à quoi prevoyant les parties, ils font en ſorte que les nopces & conſommation du mariage s’enſuivent avec toute ſorte de réjouiſſance, auſquelles Chambet ne manque ſe trouvet avec un panier de raviolles:	à quoi prévoyant les parties, ils font en sorte que les nopces et consommation du mariage s'ensuivent avec toute sorte de réjouissance, auxquelles Chambet ne manque se trouvet avec un panier de raviolles:
& le pauvre Janin, à qui le regret demeure, ſe laiſſe tranſportet au deſeſpoir, & ſe pre	et le pauvre Janin, à qui le regret demeure, se laisse transportet au désespoir, et se pré
LES ACTEURS.	LES ACTEURS.
LA FAYE DE DHOCOTAMIGE.	LA FAYE DE DHOCOTAMIGE.
AN N,	AN N,
Bergere.	Bergère.
Bergere.	Bergère.
Bergere Berger amoureux de Berger.	Bergère Berger amoureux de Berger.
Berger.	Berger.
Lhauda.	Lhauda.
Pere de Lhauda.	Père de Lhauda.
Merc de Lhauda.	Merc de Lhauda.
Tante de Lhauda.	Tante de Lhauda.
Gentilhomme amoureux de Lhauda.	Gentilhomme amoureux de Lhauda.
Frere d’Amidor.	Frère d'Amidor.
FLORIDON, LA SORCIERE.	FLORIDON, LA SORCIÈRE.
LE NOTAIRE.	LE NOTAIRE.
LE CUISINIER.	LE CUISINIER.
CHAMBET.	CHAMBET.
PROLOGUE DE LA FAIE	PROLOGUE DE LA FAYE
DE SASSONNAGE.	DE SASONNAGE.
E la Rochi Crotta où j’ai fat ma meiſon T'Et le tine per vey que porton le ſeiſon, (Grenoblo renoma un jardin de pleiſanci) Ie veno t’averti de la rejoüiſſanci Que font lou païſan u brut qu’on fat couri, Que lo Cadaſtro n’ét que per lou ſecouri, Louz unou en prenant de Baccus la tiracla, Chanton que lou Soudar ne porton plos la racla;	E la Rochi Crotta où j'ai fat ma mison T'Et le tine per y que porton le seison, (Grenoblo renoma un jardin de plein) De veno t'averti de la rejouissanci afont lou an ut brut qu'on fat couri, Que lo Cadastro n'est que per lou secouri, Louz un en prenant de Baccus la tiracla, Chanton que lou Soudar ne porton plos la racla;
Louz autro veyant tout abonda per treiz an, Se tenon ſu lou flan comme lou courtizan, Et generalement (deu que Broſſe bataille Per ellou tant qu’u pot) ſe moquon de le taille, Perce que la ſeiſon en terte labourey Et plena comm’eſtion me tine lou trey rey.	Louz autro veyant tout abonda per tréis an, Se tenon su lou flamme comme lou courtisan, Et généralement (du que Brosse bataille Per ellou tant qu'u tant) qu' on de le taille, Perce que la seison en terte labourey Et plena comm'estion me tine lou trey rei.
No no deypeu lo tem que dedin Saſſonnageo I’ay ſaya (veſitan le giſen u meynageo) Louz efan avec ceu baſton barricola, L’on n’a trouva ſujet de ſe repicola M Comm’ore que la pey porte per tout la branchi D’olivié, comme fit una colomba blanchi Din l’archi de Noé, car egnat que repo Din lou cham, juſqu’u fon de boey de Bonrepo Le Nimphe de l’Izera à qui louz yeu ſon troublo, Et lou Satire qui venon du Drac lo Doublo, S’en beiſon jour & not, eycoutan la voey ranci Du iey de la Pereyri à la porta de Franci,	No nô deypu lo -moi que dedin Sassonnageo Jà Macv (vesitan le gisen u meynageo) Louz éfan avec ceu bâton barricola, L'on n'a trouva sujet de se répicola M Ommore que la pey porte per tout la branchi D'olivié, comme fit una colomba blanchi Din l'archi de Noé, car eugnat que repo Din lou cham, jusqu' on de boblo de Bonrepo De Nimphe de l'Isera à qui louz y son troublo, Et lou Satire qui venon du Drac ô Doublo, en beison jour et , et la ô ranci Du dela Pereyri ôla porta de Franci,
Ne ſe parle plu ten du malheur qu’ont eyta.	Ne se parle plu ten du malheur qu'ont eîta.
Lou bovié deigagea commenſon de preita, Et trop dru du bon tem, ne penſon à ren fare Que ce que voſtrou pare ont fat à voſtre mare, Particulierimen Janmn lo fantimou:	Lou bovié deigagea commençon de préita, Et trop dru du bon tém, ne penson à ren sare Que ce que vostrou pare ont fat à votre maître, Particulierimen Janmn lo fantimou:
Car u repoſe moin qu’un molen quand u mou, Sito qu’u la perdu de veua ſa bergeiti La Lhauda, qui n'ét pa à l’amour eytrangeyri.	Car tu repose moin qu'un molen quand u mou, Sito qu'u la perdu de veua sa bergeiti La Lauda, qui n'est pa à l'amour eytrangeiri.
Mais incore qu’u ſont à l’amout petit bot, Qu’on cret lourz amitié mieu fondey que Rabot, I ſe deirochiron comme vieille muraille;	Mais incore qu'u sont à l'amout petit bot, Qu'on cret lours amitié mieu fondei que Rabot, I se décirochiron comme vieille muraille;
Car le nopce de leu ſaron de funeraille.	Car le noce de lu saron de funéraille.
Et ley ne penſan plu qu’u pri de ſa biauta, Prendrat l’eſcarlatin ſigno de cruauta, Puis qu’un Gentilhomin moin ſujet u Cadaſtro Qu’à l’amour, quittarat de la Cour tou louz Aſtro Per ley, & ſe feindrat bergié per l’eipoſa, Tout eyrat à la fin comme j’ai diſpoſa:	Et lei ne pensan plu qu'à l' de qu' iauta, Prendrat l'écarlatin signo de cruauta, Puis qu'un Gentilhomin moin sujet u Cadastro Qu'à l'amour, quittât de la Cour tou louz Astro Per lei, et se feindrat bergié per l'éjposa, Tout eyrat à la fin comme j'ai disposa:
Cat j’ay faya la Lhauda à eſtre Dameiſella, Et Ianin à porta la mort den ſa forcella, Perce que quand j’ali vey ſa mare Giſen, D’ordura ver chié ley je ne trovi nenſen.	Cat j'ai faya la Lhauda à être Dameisela, Et Janin à porta la mort den sa forcela, Perce que quand j'ali vi sa maître Gisen, D'ordura ver chié lei je ne trouy nensen.
E perce que faſſan ché Janin lo ſemblablo, Lour maiſon eſtiet plu paillouſa qu’un eytablo.	E perce que fassan ché Janin lo semblablo, Lour maison estiet plu pailla qu'un eîtablo.
Veiqui l’heur duz efan devan que batteya, Sito qu’emmalhota je louz ay pateya.	Véiqui l'heur duz éfan devan que batteya, Sito qu'emmalhota je louz ai pateya.
110 fhiii Voz autre joeyne fene à qui lo ventre conſſe Du venin que l’amour domne qualid ellacun ronfle, Prenez garda que quand vo ſari accouchié, Que chié vo ſet ſi net que n’y pœiſſo gouchié Eycrachat, vilani, borda, ni ren de ſalo, Autramen feimen (que je ne vo dei falo)	110 fhiosi Voz autre joeyne fène à qui lo ventre consse Du venin que l'amour domne qualid ellacun ronfle, Prenez garda que quand vo sari accouchié, Que chié vo set si net que n'y pœisso gouchié Écrachat, vilani, borda, ni ren de salo, Autramen fimen (que je ne vo de fallo)
Prendrat vouſtrouz efan comme j’ordonnarey, Sellon que vo fari per mi, je lour farey.	Prendrat voustrouz éfan comme j'ordonnarei, Selon que vo fari per mi, je lour farei.
Vo ſçavez, & nengun n’ignori la puiſſanci Que j’ay ſur louz efan lo jour de lour naiſſanci, Celou que j’ay faya à ben, ſont ben heirou, Et tou celou qu’u ſont à ma, ſont malheirou, Cele qu’u ſont à fare un pot à tout’ urina, Sont de la confrati de la gran Catharina.	Vo sçavez, et nengun n'ignori la puissanci Que j'ai sur louz éfan lo jour de lour naissanci, Celou que j'ai faya à ben, sont ben héirou, Et tou celou qu'u sont à ma, sont malhéirou, Clé qu'u sont à sare un pot à tout urina, Sont de la confrati de la gran Catharina.
Et cele qui fayé ſont à la challeta, D’autro que de lour home un popel n’ont teſta.	Et cele qui faisé sont à la challeta, D'autro que de lour home un popel n'ont testa.
I'ay faya Gelibert l’efan du Capiteino, De tou lou gro vioulion legié comme futeino, A ſçavey vioulonna mieu que ſou compagnon, Aſſi ſon violon fat creva lou rouſſignon.	J'ai faya Gélibert l'efan du Capiteino, De tou lou gro vivlion légié comme futeino, A sçavey vioulonna mieu que sou compagnon, Assi son violon fat creva lou roussignon.
J’ay faya Roſſignon qui ſa ſerou confeſſe, A eſtre trou de chou, ba jarret, ba de feſſe, Et ſou fiare, aſſi u ſont de marmozet.	J'ai fayza Rossignon qui sa servou confesse, A G trou de chou, ba jarret, ba de fesse, Et sou jare, assi sont de marmozet.
I’ay faya Pamponin, gro migeou de crozet, A eſtre plu ventru que n’eſtiet Briſibarra, Aſſi u lat un biel auſſi gro qu’una barra.	J'ai faya Pamponin, gro migeou de crozet, A être plu ventru que n'estiét Brysibarra, Assi un biel aussi gro una barra.
I’ay faya dou marchan à adora l’argen, Aſſi u ſont eſclavo & n’ont point d’entregen.	J'ai fayza dou marchan à adora l'argen, Assi sont èsclavo et n'ont point d'entregen.
I’ay faya Ridelet u renom de Chaudeire, Aſſi u fat parla de leu le buandeire.	J'ai fayza Ridèlet u renom de Chaudeire, Assi u fat parla de lu le buandeire.
I’a faya lo Boumien à fare lou gro rot, Aſſi Baccus lo fat treina din ſon barrot.	J'a fayza lo Boumien à sare lou gro rot, Assi Baccus lo fat treina din son barrot.
