A PARIS, Chez PIERRE DAVID, ſur le Perron en entrant dans la grande Salle du Palais.	À PARIS, Chez PIERRE DAVID, sur le Perron en entrant dans la grande Salle du Palais.
Pour moy qui dans le Languedoc ay eu l’honneur d’eſtre oculaire teſmoin de la plus part de ſes genereuſes actions, ie ſçay bien qu’il y a laiſſé des marques de ſa valeur, qui ne ſe peuuent iamais perdre, tant de villes, où l’hereſie, & la rebellion auoient preſque effacé la memoire de la vraye Religion, & de l’authorité Royale, reduites auiourd’huy par ſa prudence & ſa generoſité en l’obeyſſance du Roy, ſeront des grands & durables monuments de ſa gloire, que ſi vous eſtes ſatisfaite d’auoir eu vn pere dont le nom eſt ſi recommendable à la memoire des hommes, ſans doute vous ne le ſerez pas moins, conſiderant que vous auez pour ayeul ce grand Mareſchal de Rets, tres-illuſtre pere de Madame voſtre mere, qui par ſes propres vertus oblige l’enuie meſme à l’honnorer, & qui ne tire pas moins de gloire de ſon ſeul merite, que d’eſtre fille d’vn ſi excellent perſonnage, de qui les merueilleuſes actions ont peu meriter les bonnes graces de deux puiſſants Roys, & de qui l’on a veu ſortir tant de Ducs & Pairs, tant de Generaux d’armees ſur mer & ſur terre, &  M 7 Ltant de grands Prelats, entre leſquels on voit eſclater comme de grandes lumieres, les vertus de Monſeigneur l’Archeueſque de Paris voſtre oncle, & les actions de feu Monſeigneur le Cardinal de Rets ſon frere, & mon bien-facteur, que la iudicieuſe election de noſtre Monarque fit chef de ſon Conſeil & de qui la prudence & la pieté ont dònné le premier & le plus grand coup à la ruine de la rebellion & de l’hereſie, qui ſembloient eſtre enracinees dans le Bearn, & de là, comme en des branches s’eſtendre par toute la France:	Pour moi qui dans le Languedoc ay eu l'honneur d'être oculaire témoin de la plus part de ses généreuses actions, ie ncai bien qu'il y a laissé des marques de sa valeur, qui ne se peuvent jamais perdre, tant de villes, où l'hérésie, et la rébellion avaient presque effacé la mémoire de la vraie Religion, et de l'autorité Royale, réduites aujourd'hui par sa prudence et sa générosité en l'obéissance du Roi, seront des grands et durables mont de sa re, que si vous estes satisfaite auoir eu pere dont le nom est si ron la mémoire des hommes, sans de vous ne le serez a moins, considérant que vous auez pour aïeul ce g Mareschal de Rets, très-illustre pere de Madame ô mere, qui par ses propres vertus oblige envie même honnorer, et qui ne si pas moins de gloire de son seul merite, que être fille si excellent es, de qui les merveilleuses actions ont peu mériter les bonnes fa de deux puissants Roys, et de qui on a sortir tant de Ducs et Pairs, tant de Generaux 'armées sur mer et sur terre, et M 7 Ltant dé grands Prelats, entre lesquels on voit éclater comme de grandes us, les vertus de Monseigneur sArcheuesque de Paris vôtre oncle, et les actions de feu Monseigneur le Cardinal de Rets son frère, et mon bien-facteur, que la iudicieuse et de nôtre Monarque fit chef de son Conseil et de qui la prudence et la pieté ont dònné le mme et le plus grand coup la ruine de la rébellion et de hérésie, qui m être enracinées dans le Bearn, et de , me en des branches étendre par toute la France,
Mais ie me reſerue d’en parler plus particulierement dans vn Poëme heroïque, où mon genie pourra plus librement faire paroiſtre ſa vigueur, & les obligations que i’ay à ces deux Maiſons.	Mais personne me réserve d'en parler plus particulièrement dans un Poème héroïque, où mon génie pourra plus librement faire paraître sa vigueur, et les obligations que j'ai à ces deux Maisons.
Cependant Mademoiſelle, ie vous ſupplie de faire vn accueil fauorable à ces Bergeres, qui vont faire hommage de leur beaute à la voſtre, la iuſtice de leur action ſemble le meriter, elles viennent des riues de Lignon pour auoir l’honneur de vous aſſeurer, que vous eſtes la ſeule à qui les voudroient rendre ce deuoir, leurs bergers qui les accompagnent ne leur ont pas donné vne petite apprehenſion de changement, quelque teſmoignage qu’elles euſſent receu de leur fidelité, cette grace, & cette beauté, qui attirent ſur vous les yeux & les cœurs de toute la Cour, la leur auoient iuſtement donnee, toutesfois remiſes par les aſſeurances que l’vne a receu de ſon Celadon, & l’autre de ſon Siluandre.	Cependant Mademoiselle, je vous supplie de faire un accueil favorable à ces Bergères, qui vont faire hommage de leur beauté à la vôtre, la justice de leur action semble le mériter, elles viennent des rives de Lignon pour avoir l'honneur de vous assurer, que vous êtes la seule à qui les voudraient rendre ce devoir, leurs bergers qui les accompagnent ne leur ont pas donné une petite appréhension de changement, quelque témoignage qu'elles eussent reçu de leur fidélité, cette grâce, et cette beauté, qui attirent sur vous les yeux et les cœurs de toute la Cour, la leur avaient justement donne, toutesfois remises par les assures que p a receu le son Celadon, et autre a son Sur.
Elles viennent en habit nouueau vous offrir les dernieres actions de leurs Amants, afin qu’on iuge par là, que ſi leur beauté, qui eſt beaucoup moindre que la voſtre, a peu inſpirer de mouuements ſi nobles en des ames ruſtiques, qu’eſt-ce que vous ne pourrez pas dans les ames genereu.	Elles viennent en habit nouueau vous offrir les dernières actions de leurs Amants, afin qu'on juge par là, que si leur beauté, qui est beaucoup moindre que la vôtre, a pu inspirer de mouvements si nobles en des âmes rustiques, qu'est-ce que vous ne pourrez pas dans les âmes généreu.
2– ſes des Courtiſans, dont les plus grands, & les plus iudicieux s’eſtiment heureux eſtre au nombre de vos eſclaues, & moy d’eſtre,	2 ses des Courtisans, dont les plus grands, et les plus judicieux s'estiment heureux être au nombre de vos esclaves, et moi d'être,
MADEMOISELLE,	MADEMOISELLE,
DE RAYSSIGVIER.	DE RAYSIGUIER.
SONNET.	SONNET.
De l’Autheur à la méme ſur ſon portraict faict par Ferdinand.	De l'Auteur à la même sur son portrait faict par Ferdinand.
& M Ve dans vn ſeul tableau i’ay veu de belles choſes, Que celuy qui l’a faict me ſemble ingenieux, Quand pour faire vn beau teint, ſes ſoins induſtrieux Ont détrempé de laict le vermillon des roſes.	et ET Me dans un seul tableau j'ai vu de belles choses, Que celui qui l'a fait me semble ingénieux, Quand pour faire un beau teint, ses soins industrieux Ont détrempé de lait le vermillon des roses.
Qu'Amour quoy qu'en peinture eſt puiſſant dans ſes yeux Qu'il y tient de douceur et de flammes encloſes, Et que ſur ce viſage on voit par tout écloſes De ces graces qui font la maieſté des Dieux.	Qu'Amour quoi qu'en peinture est puissant dans ses yeux Qu'il y tient de douceur et de flammes encloses, Et que sur ce visage on voit par tout écloses De ces grâces qui font la maiesté des Dieux.
Il merite l’honneur & la gloire premiere D’auoir dans vn portraict ſceu tirer la lumiere, du ler pins deunte sagens est tes ternintie.	Il mérite l'honneur et la gloire première D'avoir dans un portrait su tirer la lumière, du ler pins deunte sagents est tes ternintie.
Mais que ce peintre encore a trahi la nature, Qu’il a großierement tiré voſtre beauté, Quoy qu’il ait employé tout l’art de la peinture.	Mais que ce peintre encore a trahi la nature, Qu'il a grossierement tiré quelque beauté, Qu 'il ait employé tout l'art de la peinture.
4 MONSIEVN LE General des galeres.	4 MONSIEUN LE Général des galères.
STANCES.	STANCES.
Cy tous mes ſens arreſtez INe me ſçauroient choiſir de route, Tant d’exploits, de tant de coſteZ, Tiennent mon ame en crainte, & mon eſpris en doute!	Chi tous mes sens arrêtés INe me sauraient choisir de route, Tant d'exploits, de tant de côtés, Tiennent mon âme en crainte, et mon épris en doute!
La memoire de vos ayeux, Trouble de ſon eſclat mes yeux, Et ces actions glorieuſes, Dont ils ont remply l’vniuers, En naiſſant font mourir les vers Mſxcamajers	La mémoire de vos aïeux, Trouble de son éclat mes yeux, Et ces actions glorieuses, Dont ils ont rempli l'univers, En naissant font mourir les vers Mscamajers
Toutesfois me voila remis, Mon genie reprent haleine, Ie voy deſia nos ennemis Qui fuient deuant vous deſſus l’humide pleine Vos galeres courent la mer, Le forçat commence à ramer, Et i’oy deſia battre la poudre Dedans ces inſtrumens d’enfer, Qui tantoſt auecque le fer Vomiront la flame & la foudre.	Toutefois me voilà remis, Mon génie reprends hale, Je vois déjà nos ennemis Qui fuient devant vous dessus l'humide pleine Vos gales courent la mer, Le forçat commence à ramer, Et j'oi déjà battre la poudre Dedans ces instruments d'enfer, Qui tantôt avec le fer Ont la flamme et la foudre.
Thunis & le barbare Arger, Font renfermer tous leurs pirates, Craignant que vous n’alliez charger Iuſques dedans leurs ports leurs legeres fregates.	Thunis et le barbare Arger, Font renfermer tous leurs pirates, Craignant que vous n'alliez charger Jusques dedans leurs ports leurs légères fregates.
Mais vn Demon plus genereux, Pouſſe vos deſſeins valeureux, Delà le detroit, où Neptune Vient pour baiſer noſtre Thetis, Et de cent vaiſſeaux engloutis Doit honorer voſtre fortune.	Mais un Démon plus généreux, Pousse vos desseins valeureux, Délà le détroit, où Neptune Vient pour baiser notre Thétis, Et de cent vaisseaux engloutis Doit honorer votre fortune.
Ce n’eſtrien que d’auoir pouſſé Des galeres victorieuſes Deſſus l’Occean courroucé De voir rompre aux forçats fes vagues furieuſes;	Ce n'étrien que d'avoir poussé Des galères victorieuses Dessus l'Océan courroucé De voir rompre aux forçats fes vagues furieuses;
Pluſieurs de meſme auparauant Ont vogué de rame, & de vent Deſſus ceſte mer orageuſe, Et parmy l’orgueil de ſes flots Ont eſtonne les matelots D’vne action ſi courageuſe.	Plusieurs de même auparavant Ont vogué de rame, et de vent Dessus cette mer orageuse, Et parmi l'orgueil de ses flots Ont étonne les matelots D'une action si courageuse.
Mais de les y voir promener, Et par vne eſtrange merueille De l’Occean les ramener, Sans perdre vn ſeul forçat iuſqu'au port de MarJeille, C’est ce que les Dieux vos amis N’auoient point encore permis, Vous eſtes le premier au monde De qui le grand Dieu de la mer L’a ſouffert ſans les abiſmer Dans le vâſte ſemn de ſon onde.	Mais de les y voir promener, Et par une étrange merveille De l'Océan les ramener, Sans perdre un seul forçat jusqu'au port de Mareille, C'est ce que les Dieux vos amis N'avaient point encore permis, Vous êtes le premier au monde De qui le grand Dieu de la mer L'a souffert sans les abîmer Dans le vite semn de son onde.
4	4
Außi voyoit on les Tritons A la teſte de vos galeres Auec mille agreables tons Des flots plus irriteZ apaiſer les coleres, Pluſieurs bluës diuinitez Les bordoient de tous les coſtez, Et Neptune à voſtre aduantage Tenant les vents dans leur priſon Fit voir alors que la raiſon Peuſt quelque choſe ſur ſa rage.	Aussi voyait on les Tritons À la tête de vos galères Auvec mille agréables tons Des flots plus irritez apaiser les colères, Plusieurs blues divinités Les bordaient de tous les côtés, Et Neptune à votre avantage Tenant les vents dans leur prison Fit voir alors que la raison Pût quelque chose sur sa rage.
Laiſſez pourtant cét element Où le courage & la vaillance Sont opprimeZ communément Sous les coups du malheur & de la violance, La terre a de plus beaux lauriers, Pour couronner de nos guerriers Et la valeur & la fortune;	Laissez pourtant cet élément Où le courage et la vaillance Sont opprimez communément Sous les coups du malheur et de la violance, La terre a de plus beaux lauriers, Pour couronner de nos guerriers Et la valeur et la fortune;
Mais l'Anglois ſçait ſuffiſamment Que vous vainquez également Deſſus la terre & ſur Neptune.	Mais l'Anglais sçait suffisamment Que vous vainquez également Dessus la terre et sur Neptune.
Chacun ſçait que l’on a chaßé Honteuſement cét inſulaire, Que celuy qui vous a bleßé De vostre propre main a receu ſon ſalaire.	Chacun sais que l'on a chassé Honteusement cet insulaire, Que celui qui vous a blevé De votre propre main a reçu son salaire.
Vôtre fer luy perçant le flanc Verſa ſon ame auec ſon ſang Au milieu des ſiens & des armes, Et malgré leurs coups furieux Vous ramena victorieux, A la teſte de nos gendarmes.	Votre fer lui perçant le flanc Versa son âme avec son sang Au milieu des siens et des armes, Et malgré leurs coups furieux Vous ramena victorieux, A la tête de nos gendarmes.
Croyez vous que voſtre valeur, Dont on a de marques ſi belles Feut deſtinee au ſeul malheur De ce lache etranger, & des foibles rebelles, Que contre la rebellion Vous deuieZ touſiours en lyon, Eſtre aux rempars ou ſur les mines,	Croyez vous que votre valeur, Dont on a de marques si belles Feut destinée au seul malheur De ce lâche étranger, et des faibles rebelles, Que contre la rébellion Vous deviez toujours en lyon, Être aux rempars ou sur les mines,
Et parmi l’horreur du trepas Porter legerement vos pas En dal sajnla & lan imils.	Et parmi l'horreur du trépas Porter légèrement vos pas En dal sajnla et lan imils.
Non, non, ce monſtre eſt abatu, Mon Roy tourne ailleurs ſon tonerre, Et prepare à voſtre vertu Des lauriers immortels, & ſur mer& ſur terre.	Non, non, ce montre est abattu, Mon Roy tourne ailleurs son tonerre, Et prépare à votre vertu Des lauriers immortels, et sur meret sur terre.
L’Italie encore vne fois Doit trembler ſous les iuſtes loix De nos victorieux Monarques, Et vous deuez à l’aduenir Y grauer voſtre ſouuenir, Auec des eternelles marques.	L'Italie encore une fois Doit trembler sous les justes lois De nos victorieux Monarques, Et vous devez à l'avenir Y graver votre souvenir, Avec des éternelles marques.
Tandis iouyſſant tous les iours Des plus doux plaiſirs de la vie, AlleZ auec tous les amours Adorer les beautez de la ieune Siluie, oyeZ comme ſes yeux vainqueurs, La gloire & la priſon des cœurs Ont vne douce violence, Et que la raiſon & les ſens Ont contre leurs traits innocens Vne legere reſiſtance.	Tandis iouyssant tous les jours Des plus doux plaisirs de la vie, Allez avec tous les amours Adorer les beautés de la jeune Silvie, oyeZ comme ses yeux vainqueurs, La gloire et la prison des cœurs Ont une douce violence, Et que la raison et les sens Ont contre leurs traits innocents Vé gère résistance.
Et ſi le Ciel me veut ouyr, Malgré le temps et ſes malices, Ie vous verray bien toſt iouyr En la guerre d’amour des plus douces delices.	Et si le Ciel me veut ouïr, Malgré le temps et ses malices, Je vous verrai bien tôt jouir En la guerre d'amour des plus douces délices.
Alors, vn genereux deſſein M'eſchauffant puiſſamment le ſein, Ie meſleray vos deux hiſtoires, Omtet vurmort uenes neueux Verront auec mes iuſtes vœux Et vos amours & vos victoires.	Alors, un généreux dessein M'échauffant puissamment le sein, Je mêlerai vos deux histoires, Omet vurmort ouvenes neueux Verront avec mes justes vœux Et vos amours et vos victoires.
DE RAYSSIGVIER.	DE RAYSIGUIER.
AV SIEVR DE RAYSSIguier, ſur ce qu’il dedie ſon Aſtree à Madamoiſelle de Ragny.	AU SIEUR DE RAYSIguyer, sur ce qu'il dédie son Astre à Madamoiselle de Ragni.
{ SONNET.	 SONNET.
Que tu fus heureux, & que le Ciel t'ayma N141 SERTN D’auoir fait ce beau choix que tout le monde admire, On cognoiſtra par tout que le Dieu qui t’inſpire A faire ces beaux vers ton eſprit enflamma.	Que tu fus heureux, et que le Ciel t'aima N141 SERTN D'avoir fait ce beau choix que tout le monde admire, On connaîtra par tout que le Dieu qui t'inspire A faire ces beaux vers ton esprit enflamma.
D’vrfé qu’vn chaſte amour icy bas alluma:	D’ chaste qu'un chaste amour ici bas alluma:
A qui tu ſers d'Echo pour ſes plaintes redire, Euſt voulu de Ragny les merueilles d’eſcrire, Enuieux du ſubiect qui ton cœur anima.	À qui tu sers d'Écho pour ses plaintes redire, Eut voulu de Ragni les merveilles d'écrire, Envieux du sujet qui ton cœur anima.
Que ſi ce grãd eſprit eut peu voir tãt de charmes, Cette grace, & ſes yeux où l’Amour rend les armes Il n’euſt pas tant vanté les replis argenteZ.	Que si ce grand esprit eut peu voir tant de charmes, Cette grâce, et ses yeux où l'Amour rend les armes Il n'eût pas tant vanté les replis argentez.
Des ondes de Lignon, l’honneur de ſa contree?	Des ondes de Lignon, l'honneur de sa contrée?
Car voyant en Ragny de ſi grandes beauteZ Il n’eust oſé parler de celles de l’Aſtree.	Car voyant en Ragni de si grandes beautés Il n'eût osé parler de celles de l'Astre.
AV MESME, JVRLE meſme ſubiect.	AU MÊME, JURLE même sujet.
EPIGRAMME.	ÉPIGRAMME.
I ton esprit nous monſtre icy O Dans vn ouurage racourcy Le plus beau d’vn plus grand ouurage:	I ton esprit nous montre ici Ô Dans un ouvrage racourci Le plus beau d'un plus grand ouvrage:
Ragny nous repreſente mieux Tout l’heur de la terre & des Cieux, Dans les beaux traits de ſon viſage.	Ragni nous représente mieux Tout l'heur de la terre et des Cieux, Dans les beaux traits de son visage.
AVTRE EPIGRAMME, au meſme, ſur le meſme ſubiect.	AUTRE ÉPIGRAMME, au même, sur le même sujet.
Es bergers ne peuuent mourir, I Ton liure ne ſçauroit perir, Car le ſubiect incomparable, Qui paroiſt au front de tes vers, Eſtant du tout imperiſſable, Doit ſuruiure à toutt Vniuers.	Es bergers ne peuvent mourir, I Ton livre ne saurait périr, Car le sujet incomparable, Qui paraît au front de tes vers, Étant du tout impérissable, Doit survivre à tout Vnivers.
AVTRE EPIGRAMME au meſme.	AUTRE ÉPIGRAMME au même.
Es Bergers ſans ame & ſans corps  Eſtoient au Royaume des morts, Soit par le temps ou par l’ennie:	Es Bergers sans âme et sans corps Étaient au Royaume des morts, Soit par le temps ou par l'ennie:
14 Mais ils reprennent leurs es prits Treuuans vne eternelle vie Dans la douceur de tes eſcrits.	14 Mais ils reprennent leurs es crits Treuants était éternelle vie Dans la douceur de tes écrits.
Par le ſieur ROGVXER.	Par le sieur ROGUXER.
lo que mi rodea, no mi tontiene,	lo que mi rodea, nô mi tontiene,
A MONSIEVR LE MAR.	À MONSIEUR LE MAR.
quis de Ragny.	quis de Ragny.
Epigramme par l’Autheur.	Épigramme par l'Auteur.
La nature qui ne veut pas, (bats, Que vous allieZ encor dans l’horreur des comFaire voir la grandeur d’vn genereux courage, Ieune Marquis a mis en vous Dee merueutts qu'en vn aatreage, Elle refuſe preſque a tous.	La nature qui ne veut pas, (bats, Que vous alliez encor dans l'horreur des comFaire voir la grandeur d'un généreux courage, Jeune Marquis a mis en vous Dee merueutts qu'en un aatreage, Elle refuse presque a tous.
A MONSIEVR LE Marquis de Ragny.	À MONSIEUR LE Marquis de Ragni.
Arquis, pour heureuſement viure, AVTIl ne te faut point d’autre liure Pour te guider en ces bas lieux, Que de ſuiure de pres les vertus de ta mere, Et te repreſenter la valeur de ton pere, (Cieux.	Arquis, pour heureusement vivre, AUTIl ne te faut point d'autre livre Pour te guider en ces bas lieux, Que de suivre de pres les vertus de ta Mère, Et te représenter la valeur de ton père, (Cieux.
Qui mourant pour la France eſt viuant dans les	Qui mourant pour la France est vivant dans les
Arquis dont le meur iugement, IVIDonne aux cœurs tant d’eſtonnement Lors que tu parles de l’hiſtoire, Que durant ton ieune Printemps, Onn a recours qu'à ta memoire, Pour bien ſçauoir l’ordre des temps.	Arquis dont le meur jugement, IVIDonne aux cœurs tant d'étonnement Lors que tu parles de l'histoire, Que durant ton jeune Printemps, On a recours qu'à ta mémoire, Pour bien savoir l'ordre des temps.
AMONSIEVNDE Rayſſiguier ſur ſon Aſtree.	AMONSIEVNDE Raisiguier sur son Astre.
EPIGRAMME.	ÉPIGRAMME.
V donnes donc de nouueaux charmes I Au vainqueur des plus grãds vainqueurs, Deſia tes vers luy ſeruent d’armes A triompher de mille cœurs.	V donnes donc de nouveaux charmes I Au vainqueur des plus grands vainqueurs, Déjà tes vers tu servent d'armes A triompher de mille cœurs.
Bien que cette beauté ſi long-temps pourſuiuie Rende à ſon Celadon le plaiſir & la vie, Il craint de n’eſtre pas à la fin de ſes maux, Puiſque ſa bergere eſt ſi belle, Par le ſoin que tu pris pour elle, Qui ne ſera iamais ſans beaucoup de Riuaux.	Bien que cette beauté si longtemps poursuivie Rende à son Céladon le plaisir et la vie, Il craint de n'être pas à la fin de ses maux, Puisque sa bergère est si belle, Par le soin que tu pris pour elle, Qui ne sera jamais sans beaucoup de Rivaux.
·ηπVI	OUI
A LA BERGERE ASTREP	À LA BERGÈRE ASTREP
EPIGRAMME.	ÉPIGRAMME.
Dorãble & diuine Aſtree, IADe qui les beautez & les loix Se firent vne riche entree Dans les cours & les cœurs des Roys Ne crains plus ces ialoux ombrages, Qui ſuiuent les plus beaux ouurages:	Dorãble et divine Astre, JADe qui les beautés et les lois Se firent une riche entre Dans les cours et les cœurs des Rois Ne crains plus ces jaloux ombrages, Qui suivent les plus beaux ouvrages:
Ton bon-heur n’a point de pareil, Puiſqu’en allant dedans le monde, Auecques Ragny ſans ſeconde, Tu vas auecques le Soleil.	Ton bonheur n'a point de pareil, Puisqu'en allant dedans le monde, Avecques Ragny sans seconde, Tu vas était le Soleil.
DVR ER.	DUR ER.
AD DOCTISS.	AD DOCTISS.
ET politiſſimum Pœtam de Rayſſiguier Aſtream Vrfei Carmine celebrantem.	ET politissimum Pœtam de Raisssiguier Astremoi Vrfei Carmine célèbrantem.
Aſtrea Vrfeum terris dedit, ore ſoluto, Atque hominum lingua dum ſua ſenſa refert:	Astrea Vrfeum terris dedit, ore soluto, Atque hominum lingua dum a sensa refert:
At cum mente Deûm, & ſtricto ſermone loquaris:	At cum mente Dum, et stricto sermone loquaris:
Famam Aſtrea aſtris inſeret illa tuam.	Fammes Astrea astris inseret illa tuam.
I.	I.
B.	B.
2 4	2 4
E ſubjet eſt ſi cognu, qu’il ſembleroit inutile d’en faire vn argument, toutesfois afin qu’on puiſſe comprẽdre mieux le deſſein que i’ay eu de le diſpoſer au theatre, oy de le lane von demſeſe des autres hiſtoires, dans leſquelles il eſt intriqué, i’en ay voulu donner la diſpoſition.	E sujet est si connu, qu'il semblerait inutile d'en faire un argument, toutefois afin qu'on puisse comprendre mieux le dessein que j'ai eu de le disposer au théâtre, ois de le lane von demsese des autres histoires, dans lesquelles il est intriqué, j'en ai voulu donner la disposition.
Dans le premier Acte, Celadon qui n’oſoit paroiſtre de iour, depuis qu’il s’eſtoit ſauué de chez Galathee, par le moyen d’Adamas & de Leonide, ſe plaind de l’iniuſtice de ſon ſort, & prend occaſion de parler du commandemẽt qu’il auoit receu de ſon Aſtree, de ne ſe faire iamais voir à ſes yeux, & du deſeſpon qui Iobngea en ſa preſence de ſe ietter dans Lignon, Durant ſa plainte Siluandre ſuruient, qui depuis la gageure faite auec Philis, eſtoit veritable& ment demeuré amoureux de Diane, & qui apres auoir couru toute la nuict, laſſé du trauail s’endort ſans voir Celadon, qui ſe ſeruant de l’occaſion met vnelettre ſurle ſein de Siluandre ſans y mettre ſon nom ny ſon chifre, cette lettre trouuee à ſon reueil met ce Berger en peine ne pouuant iuger d’où elle eſtoit venuë, mais en la liſant la trouuant conforme à ſa paſſion, croit que ſon bon demon l’ait eſcrite en ſa faueur, & ſur cette imagination, part pour la faire voir à Diane qu’il rencontre auec Aſtree:	Dans le premier Acte, Céladon qui n'osait paraître de jour, depuis qu'il s'était sauvé de chez Galathe, par le moyen d'Adamas et de Léonide, se plaind de l'injustice de son sort, et prend occasion de parler du commandement qu'il avait reçu de son Astre, de ne se faire jamais voir à ses yeux, et du désespon qui Iobngea en sa présence de se jeter dans Lignon, Durant Durant sa Siluandre survient, qui depuis la gageure faite avec Philis, était véritable a demeuré amoureux de Diane, et qui apres auoir couru toute la nuict, lassé du trauail endort sans voir Celadon, qui se servant de occasion met vnelettre surle sein de Siluandre sans y mettre son nom ni son chifre, cette lettre trou son réveil met ce Berger en peine ne pouuant iuger elle estoit venuë, mais en la lisant la trouuant conforme sa passion, croit que son bon demon ait écrite en sa faueur, et sur cette imagination, part pour la faire voir Diane il rencontre auec Astree:
Mais Aſtree recognoiſſant la lettre de Celadon, & ayant ſceu de Siluandre l’endroit où il l’auoit trouuee, y vont enſemble, & ſont rencontrez de Paris, qui amoureux de Diane ſe ioinct à leur compagnie:	Mais Astre recognoissant la lettre de Céladon, et ayant su de Silvandre l'endroit où il l'avait trouvée, y vont ensemble, et sont rencontrez de Paris, qui amoureux de Diane se joint à leur compagnie:
Siluandre qui les cõduiſoit, s’eſtãt eſcarté, en voulant prendre vn ſentier, ren--w contre le Temple que Celadon auoit dedié à la Deeſſe Aſtree, où ils trouuent de nouueaux eſcrits de ceberger, qui leur perſuade que l’ombre de Celadon erroit dans ces lieux.	Silvandre qui les comduisait, s'estãt écarté, en voulant prendre un sentier, ren-un contre le Temple que Céladon avait dedié à la Déesse Astre, où ils trouvent de nouveaux écrits de ceberger, qui leur persuade que l'ombre de Céladon errait dans ces lieux.
Sur cette croyance ſe fonde le deſſein de luy faire le vain tombeau, dont l’on fait la ceremonie au ſecond Acte, où Adamas & Leonide obligent apres beaucoup de peine le triſte Celadon à ſe deſguiſer en fille, & de ſe dire fille du grand Druide, ſous cet habit, en cette qualité il eſt viſité au troiſieſme Acte des bergers & bergeres de la contree, & entre autres d’Aſtree & de Diane:	Sur cette croyance se fonde le dessein de lui faire le vain tombeau, dont l'on fait la cérémonie au second Acte, où Adamas et Léonide obligent après beaucoup de peine le triste Céladon à se déguiser en fille, et de se dire fille du grand Druide, sous cet habit, en cette qualité il est visité au troisième Acte des bergers et bergères de la contrée, et entre autres d'Astre et de Diane:
Paris qui auoit preſſé Diane touchant leur mariage ne pert point temps, & ſe ſeruant de l’occaſion & des paroles de Diane, qui auoit remis ceſt affaire à Bellinde ſa mere la va trouuer:	Paris qui avait pressé Diane touchant leur mariage ne pert point temps, et se servant de l'occasion et des paroles de Diane, qui avait remis cest affaire à Belinde sa mère la va trouver:
& apres l’oracle conſulté qui dit, qu’il faut marier Paris auec Diane, oblige Bellinde d’aller trouuer Adamas, qui conſent aiſément à ce mariage;	et après l'oracle consulté qui dit, qu'il faut marier Paris avec Diane, oblige Bellinde d'aller trouver Adamas, qui consent aisément à ce mariage;
