1 ONSEIGNEUR,	1 1NSEIGNEUR,
& c’eſt pour ce ſujl MONSEIGNEVR, que dans une di plus belles & des plus importantes chargesd Royaume, où vos vertus vous ont fait mos ter, vous vous attirez en méme temps l ſtim & l’amitié d’un grand Roy, le reſpe & la crainte de ſes Peuples;	et c'est pour ce sujl MONSEIGNEUR, que dans une di plus belles et des plus importantes charges Royaume, où vos vertus vous ont fait mos ter, vous vous attirez en même temps l stim et 'amitié d'un grand Roi, le respe et la crainte de ses Peuples;
ce qui fait pu blier avec juſte ſujet à la revommée, que pos grinds Hommes de ce Siecle.	ce qui fait pu blier avec juste sujet à la revommée, que pô grinds Hommes de ce Siècle.
Votre Eloquen.	Votre Éloquen.
ce qui a tant de fois parlé pour notre grand Monarque, & qui a tant ſervy pour mainienir ſes intereſts ravit tous les eſprits:	ce qui a tant de fois parlé pour notre grand Monarque, et qui a tant servi pour mainienir ses intérêts ravit tous les esprits:
C’eſt elle qui engage toute la France à ſe feliciter de la gloire de vous poſſeder, & particulierement le Celebre Parlement de Roüen, dont vous étes la Bage & l’appuy.	C'est elle qui engage toute la France à se féliciter de la gloire de vous posséder, et particulièrement le Clèbre Parlement de Rouen, dont vous êtes la Bage et l'appui.
Souffrez donc, MONSEIGNEVR, que cette production, qui eſt mon coup d’eſſay faſſe connoitre à la poſterite ces éclatantes veritez.	Souffrez donc, MONSEIGNEUR, que cette production, qui est mon coup d'essai fasse connaître à la postérité ces éclatantes vérités.
I’attens de votre Generoſite le bonheur de vous voir Protecteur de cette petite Piéce, que je vous conſacre comme le premice de mes travaux;	J'attends de votre Générosite le bonheur de vous voir Protecteur de cette petite Pièce, que je vous consacre comme le premice de mes travaux;
Peut-étre que dans la ſuite je peurray faire quelque choſe qui meritera mieux de vous être preſentée.	Peut-être que dans la suite je peurrai faire quelque chose qui méritera mieux de vous être présentée.
l’ay fondé là d ſſus l’eſpoir de vous plaire;	l'ai fondé là d sus l'espoir de vous plaire;
étant preſque aſſure que quand aurez appris le ſujet qui m’a fait fatre cette Comedie que je vous preſente, & qu’enfin ſon denoument n’a rien que de tres-veritable, vous vous plairez encor d’avantage à l’entendre.	étant presque assure que quand aurez appris le sujet qui m'a fait fattre cette Comédie que je vous présente, et qu'enfin son dénoûment n'a rien que de très-véritable, vous vous plairez encor d'avantage à l'entendre.
Sur tout je vous ſupplie de croire que le plus grand motif qui ma fait reſoudre à vous la venir preſenter étoit de vous ie’moigner que je ſuis avec tout le reſpect imaginable.	Sur tout je vous supplie de croire que le plus grand motif qui ma fait résoudre à vous la venir présenter était de vous témoigner que je suis avec tout le respect imaginable.
MONSEIGNEUR, Vôtre tres-humble & tresabeïſſant ſerviteur FIOT	MONSEIGNEUR, Votre très-humble et tresabeïssant serviteur FIOT
AU LECTEUR.	AU LECTEUR.
E Sujet qui ma fait compoſer ceue Comedie, à tant fait de bruit dans tout ce l'ays-cy, que je croy qu’il eſt & inutile de vous avertir qu’il ny a rien que de tres-veritable dans cette piece, & que ſi toutes les autres n’ont rien que de fabuleur, celle-cy eſt entierementfondée ſur la verité d’une avanture arrivée ces jours paſſez;	 Sujet qui ma fait composer ceue Comédie, à tant fait de bruit dans tout ce l'ais-cy, que je crois qu'il est et inutile de vous avertir qu'il ni a rien que de très-véritable dans cette pièce, et que si toutes les autres n'ont rien que de fabuleur, celle-cy est entierementfondée sur la vérité d'une aventure arrivée ces jours passez;
je veux ſeulemẽt vous faire ſçavoir qu’on me la fait Imprimer malgré moy, & que ſi j’euſſe olé jamais aſpiret à la qualité d’Auteur, j’autois voulu débuter pat un autre Ouvrage que celuy-là pour me mettre d’abord en eſtime, mais mes remontrances n’ont eü aucun effet, & une infinité de perſonnes ſe veulent contenter plûtôt que moy, & en veulent des Copies à toure reſte.	je veux seulement vous faire savoir qu'on me la fait Imprimer malgré moi, et que si j'eusse olé jamais aspiret à la qualité d'Auteur, j'autais voulu débuter pat un autre Ouvrage que celui-là pour me mettre d'abord en estime, mais mes remontrances n'ont eu aucun effet, et une infinité de personnes se veulent contenter plutôt que moi, et en veulent des Copies à toure reste.
J’ay eu beau leur remontrer qu’en moins de huit jours elle fut concûe & achevée:	J'ai eu beau leur remontrer qu'en moins de huit jours elle fut conçue et achevée:
parce qu’une perſonne de conſideration qui m’en avoit prié, m’avoit oblgé de me depêcher.	parce qu'une personne de considération qui m'en avait prié, m'avait oblé de me dépêcher.
L’Approbation que la multitude luy a donné me la fait expoſer aux yeux d’une ſi grande Ville toutefois avec bien de la crainte;	L'Approbation que la multitude lui a donné me la fait exposer aux yeux d'une si grande Ville toutefois avec bien de la crainte;
mais j’eſperc que vous excuſerez l’empreſſement qu’on m’ena fait, & le peu de temps que j’ay eü à me reconnoître, vû qu’il a fallu en paſſer par là, & croyez que n’ayant eù pour tout ſujet que le Contract qu’une Fille ſigna par raillerie, qu’on voulut faire paſſer pour effectif étoit une matiere fort maigre pour avoir diverſifié la Scene comme elle eſt dans oute la ſuite de cette Piece.	mais j'esperc que vous excuserez l'empressement qu'on m'ena fait, et le peu de temps que j'ai eu à me reconnaître, vu qu'il a fallu en passer par là, et croyez que n'ayant éù pour tout sujet que le Contrat qu'une Fille signa par raillerie, qu'on voulut faire passer pour effectif était une matière fort maigre pour avoir diversifié la Scène comme elle est dans oute la suite de cette Pièce.
SONNET.	SONNET.
Ui ne voit ce Sujet qu'à la ſuperficie Ne porte pas les yeux ſur ſa ſolidité, Il faut pour le goûter, un eſprit alaité e toutes les douceurs de la Philoſophie.	Oui ne voit ce Sujet qu'à la superficie Ne porte pas les yeux sur sa solidité, Il faut pour le goûter, un esprit alaité est toutes les douceurs de la Philosophie.
Si Moliere vivoit, il porteroit envie ſçavoir de Fiot qui la ſeul inventé, recque tant d’eſprit & de nayveté ſ'on n’en ſçauroit aſſez admirer le genie.	Si Molière vivait, il porterait envie savoir de Fiot qui la seul inventé, reque tant d'esprit et de nayveté s'on n'en saurait assez admirer le génie.
Le Theatre reçoit, de ce divin Autheur oute ſa vanité, ſa gloire & ſon bonheur, eur l’avoir honoré d’une heure de ſes veilles.	Le Théâtre reçoit, de ce divin Auteur oute sa vanité, sa gloire et son bonheur, eur l'avoir honoré d'une heure de ses veilles.
Mais en revange auſſi, publiant ce Tableau l fait voir au Public tant de rares merveilles montte que ſon nom ne crains pas le tombeau.	Mais en revange aussi, publiant ce Tableau l fait voir au Public tant de rares merveilles montte que son nom ne crains pas le tombeau.
P.	P.
LE COINTE.	LE COINTE.
EPIGRAMME,	ÉPIGRAMME,
I FIOT nous fait voir dans ſon Amou Fantaſque, Trois Amans bien ſenſez, l’autre diſpos en baſ que;	I FIOT nous fait voir dans son Amou Fantasque, Trois Amans bien sensé, l'autre dispos en bas que;
C’eſt pour nous aſſurer qu’il n’ignore de rien Et que pour les cacher ſous un même viſage.	C'est pour nous assurer qu'il n'ignore de rien Et que pour les cacher sous un même visage.
Tout autre genie que le ſien Autoit perdu peine & Courage.	Tout autre génie que le sien Autait perdu peine et Courage.
P.	P.
LE COINTE	LE COINTE
EPIGRAMME.	ÉPIGRAMME.
A Monſieur Fiot ſur ſa Comedie.	À Monsieur Fiot sur sa Comédie.
Ui fait dans une Comedie.	Vi fait dans une Comédie.
O Connoitre la Terre & les Cieux, La Sageſſe, eſt langue des nieux Et qui d’une bravoure hardie Triomphe d’un bras en tous lieux, Eſt le favory quoy qu’on die D’Appollon le plus glorieux.	Ô Connaître la Terre et les Cieux, La Sagesse, est langue des nieux Et qui d'une bravoure hardie Triomphe d'un bras en tous lieux, Est le favori quoi qu'on die D'Apollon le plus glorieux.
A IONSIEUR FIOT SUR SA COMEDIE DE L’AMOUR FANTASQUE.	À JONSIEUR FIOT SUR SA COMÉDIE DE L'AMOUR FANTASQUE.
9 ET	9 ET
2 A Comedie d’ordinaire Eſt un aimable amuſement, Qui ſe paſſant en un moment muv Ne peut pas long-temps ſatisfairs.	2 À Comédie d'ordinaire Est un aimable amusement, Qui se passant en un moment mu Ne peut pas longtemps satisfairs.
Mais icy l’on ne ſçauroit taire, Qu'un ſolide contentement, Ne nous oblige inceſſamment A dire par tout le contraire, Son Autheur, l’Illuſtre FIOT;	Mais ici l'on ne saurait taire, Qu'un solide contentement, Ne nous oblige incessamment A dire par tout le contraire, Son Auteur, l'Illustre FIOT;
Qui n’a jamais bû de Piot Que de celuy de l’Hypocréne.	Qui n'a jamais bu de Piot Que de celui de l'Hypocrène.
Fait voir qu’on ne peut faire mieux, Et que rien n’égale ſa veint Pour le Comique, ou ſerieux.	Fait voir qu'on ne peut faire mieux, Et que rien n'égale sa vint Pour le Comique, ou sérieux.
A MONSIEVR FIOT, SUl ſur ſa Comedie de l’Amour Fantaſque.	À MONSIEUR FIOT, SUl sur sa Comédie de l'Amour Fantasque.
D.	D.
C.	Ç.
A MONSIEVR FIOT SVR SA Comedie de L’Amour Fantaſque.	À MONSIEUR FIOT SUR SA Comédie de L'Amour Fantasque.
I L ne faut pas être devin vif & brillant eſprit de t’appeller Divin, Platon moins juſtement merita cette gloirẽ llaton ſur un ſeul point excella ſeulement, uis tu fais voir icy bien plus excellement Que tu merite d’être au Temple de memoire.	I Y ne faut pas être devin vif et brillant esprit de t'appeler Divin, Platon moins justement mérita cette gloir llaton sur un seul point excella seulement, uis tu fais voir ici bien plus excellement Que tu mérite d'être au Temple de mémoire.
Le même,	Le même,
A MONSIEVR FIOT SVR SA Comedie de L’Amour Iantaſque.	À MONSIEUR FIOT SUR SA Comédie de L'Amour Jantasque.
Ue le feu de tes beaux écrits,  Ravit plaiſamment les eſprits, a Nature dans toy fait bien voir ſes miracles t'un & l'autre Parnaſſe eſt ſoûmis à ta Loy Du moins chacun de nous t’en eſtime le Roy, toyant des Vers ſi prompts paſſer pour des Oracles.	Que le feu de tes beaux écrits, Ravit plaisamment les esprits, a Nature dans toi fait bien voir ses miracles t'un et l'autre Parnasse est soumis à ta Loi Du moins chacun de nous t'en estime le Roi, toyant des Vers si prompts passer pour des Oracles.
ACTEVRS	ACTEURS
ANGELIQUE,	ANGELIQUE,
LYSANDRE, Amoureux d’Ange.	LYSANDRE, Amoureux d'Ange.
lique.	lique.
CEPHISE.	CÉPHISE.
Couſine d’Angelique.	Cousine d'Angélique.
PADILLE, Valet de Lyſandre.	PADILE, Valet de Lysandre.
PHILINTE,	PHILINTE,
ORONTE,	ORONTE,
La Scene eſt dans un e petlte ville de la Normandie.	La Scène est dans un e petlte ville de la Normandie.
Y AVI FANTASQUE.	Y AVI FANTASQUE.
DU LE JUGE DE SOY MESME.	DU LE JUGE DE SOI MÊME.
ODEDIE.	ODEDIE.
ACTE PREMIERE.	ACTE PREMIÈRE.
SCENE PREMIERE.	SCÈNE PREMIÈRE.
LYSANDRE, PADILLE.	LYSANDRE, PADILLE.
PADILLE.	PADILE.
OUS verray-je toûjours un viſage ſi blême?	OÙS verrai-je toujours un visage si blême?
Qu’avez-vous donc, Monſieur?	Qu'avez-vous donc, Monsieur?
LYSANDRE.	LYSANDRE.
Mon chagrin eſt exttême;	Mon chagrin est exttême;
PADILLE.	PADILE.
uquoy vous chagriner?	uquoy vous chagriner?
Ariſtore nous dit, Que jamais le chagrin n’apporte aucun profi	Aristore nous dit, Que jamais le chagrin n'apporte aucun profi
LYSANDRE.	LYSANDRE.
si comme moy.	si comme moi.
Padille avoit une Maîtreſſe.	Padille avait une Maîtresse.
me cien?	me cien?
PADILLE.	PADILE.
LYSANDRE.	LYSANDRE.
Que ſa fierté mépriſat ta tendreſſe Tu dirois comme moy.	Que sa fierté méprisat ta tendresse Tu dirais comme moi.
PADILLE.	PADILE.
Je ne ſuis pas ſi fou J’aurois le cœur pour elle auſſi dur qu’un caillos	Je ne suis pas si fou J'aurais le cœur pour elle aussi dur qu'un caillos
LYSANDRE.	LYSANDRE.
Si ſa haine pour toy devenoit effroyable!	Si sa haine pour toi devenait effroyable!
ADILLE Je la deteſterois tout comme on fait le piabl	ADILE Je la détesterais tout comme on fait le piabl
LYSANDRE.	LYSANDRE.
Ah!	Ah!
tu n’eſt pas Amant.	tu n'est pas Amant.
PADILLE.	PADILE.
Et pourquoy l’êtes-vous Sçavez-veus pas, Monſieur, que les Amans ſot foux,	Et pourquoi l'êtes-vous Savez-vus pas, Monsieur, que les Amants sot foux,
LYSANDRE.	LYSANDRE.
Que ta plaiſanterie eſt de mauvaiſegrace!	Que ta plaisanterie est de mauvaiségrace!
Conſeille moy plûtôt ce qu’il faut que je faſſe, Et trouve un prompt remede à ma vive doules	Conseille moi plutôt ce qu'il faut que je fasse, Et trouve un prompt remède à ma vive doules
A DTLLE Faut-il qu’un Medecin, donne ordre à ce mi heur ?	À DTLE Faut-il qu'un Médecin, donne ordre à ce mi heur ?
LYSANDRE.	LYSANDRE.
Si mon malte touchoit tu ne voudtois pas ril	Si mon malte touchait -tu ne voudais pas ril
P ADILLE.	 PDILLE.
J''́coute tout de bon, vous n’avez rien qu’à di	J''écoute tout de bon, vous n'avez rien qu'à di
LYSANDRE.	LYSANDRE.
Tu ſçais bien qu’Angelique avoit charmé mes yeux, Que de tous mes rivaux, j’étois reçeu le mieux, Mlais depuis peu pour moy cette beauté ſirate Par je ne ſçay quel ſort à l’eſpnt ſi bizaire, Que moy, ny mes rivaux n oſons plus approcher De l’unique beauté que je veux rechercher.	Tu sais bien qu'Angélique avait charmé mes yeux, Que de tous mes rivaux, j'étais reçu le mieux, Mlais depuis peu pour moi cette beauté sirate Par je ne sais quel sort à l'épnt si bizaire, Que moi, ni mes rivaux n osons plus approcher De l'unique beauté que je veux rechercher.
PADILLE.	PADILE.
Vous diſ-je pas ce ſexe eſt ſujet à la Lune.	Vous dis-je pas ce sexe est sujet à la Lune.
Car tantôt on luy plaiſt, tantôt on l’importune,	Car tantôt on avait plaît, tantôt on l'importune,
Y SANDRE.	Y SANDRE.
ſe qui me f che, plus c’eſt que je pers l’eſpoir.	se qui me f che, plus c'est que je perds l'espoir.
Aprés ce qu’elle à dit, de jamais la revoir.	Après ce qu'elle a dit, de jamais la revoir.
ſon amour ne veut plus d’un Amant Gentilhomme, z eſt le bel elprit leul a preſent qu'on renomme, Dit elle, & celuy-la pourra m’appartenir Qui le plus ſçavamment poutra m’entretenir.	son amour ne veut plus d'un Amant Gentilhomme, z est le bel prit leul a présent qu'on renomme, Dit elle, et celui-la pourra m'appartenir Qui le plus Savamment poutra m'entretenir.
Ce fantaſtique objet tient ſon ame obſedée, Ce qui fait que la mienne en eſt moins poſſedée	Ce fantastique objet tient son âme obsédée, Ce qui fait que la mienne en est moins possédée
A DILLE.	À DILLE.
Sice n’eſt que cela.	Sice n'est que cela.
Monſieur, tout ira bien.	Monsieur, tout ira bien.
LYSANDRE.	LYSANDRE.
Imploye tout pour moy je n’épaigneray rien.	Imploie tout pour moi je n'épaigneray rien.
ADILLE.	ADILE.
uy, vous ſçavez par fois plus d’eſprit qu’une bête.	Oui, vous savez par fois plus d'esprit qu'une bête.
ll faut, puiſqu’à ce point la Doctrine l’entête, la frapper par l’endroit qu’elle veut en tâter Et ſi prendre ſi bien qu’on n’aille rien gâter, Déguiſons nous tous deux, vous prendrez la figure D’un Philoſophe, & moy d’un brave l’encolure.	ll faut, puisqu'à ce point la Doctrine l'entête, la frapper par l'endroit qu'elle veut en tâter Et si prendre si bien qu'on n'aille rien gâter, Déguisons nous tous deux, vous prendrez la figure D'un Philosophe, et moi d'un brave l'encolure.
Croyez-moy, nous ferois un eſſay glorieux, Et nous vertons celuy qu’elle aimera le mieur, Si ces deux ne ſont pas ſuffiſans pour luy plaire Deux amis attitrez pouiront aprés le faire.	Croyez-moi, nous ferais un essai glorieux, Et nous vertons celui qu'elle aimera le mieur, Si ces deux ne sont pas suffisants pour lui plaire Deux amis attitrez pouiront après le faire.
L’un faiſant l’Aſtrologue, & raiſonnant ſort bie D’un Art, où cependant il ne connoîtra rien.	L'un faisant l'Astrologue, et raisonnant sort bye D'un Art, où cependant il ne connaîtra rien.
L’autre pour rendre enfin ſa paſſion complete, Comme abregé de tout, ſe dira grand Poëte.	L'autre pour rendre enfin sa passion complète, Comme abrégé de tout, se dira grand Poète.
Aviſez aux moyens de vous bien traveſtir, Et croyez que le tout nous va bien divertir, Etudiez vous à faire un parfait Philoſophe.	Avisez aux moyens de vous bien travestir, Et croyez que le tout nous va bien divertir, Éudiez -vous à faire un parfait Philosophe.
LYSANDRE.	LYSANDRE.
Mais il faudroit unhomme iey d’une autre éroffe Car comment m’élever ſur de beaux Argumens Sans en avoit devant conſulté les ſçavans.	Mais il faudrait unhomme iey d'une autre éroffe Carment comment m'élever sur de beaux Arguments Sans en avait devant consulté les savants.
De me faite enſeigner peu ſoigneux fut mon pei Des Nobles de Province enfin c’eſt la miſere.	De me faite enseigner peu soigneux fut mon pi Des Nobles de Province enfin c'est la misère.
Ce n’eſt pas dans le fons que j’ignore de rien, Et de tout, Dieu mercy, je raiſonne aſſez biet Je ſçais mieux me tirerd’une affaire preſſée, Que d’un grand philoſophe atteindre la penſé?	Ce n'est pas dans le fonds que j'ignore de rien, Et de tout, Dieu merci, je raisonne assez biét Je sais mieux me tirerd'une affaire pressée, Que d'un grand philosophe atteindre la pensé?
Padille, là deſſus je te laiſſe à ſonger.	Padille, là -dessus je te laisse à songer.
Suis-je propre à cela ?	Suis-je propre à cela ?
PADILLE.	PADILE.
Fant il tant ménage Combien en voyons nous dans le Siecle où noſommes Par un hardy diſcours, paſſer pour de grans Hommes?	Fant il tant ménage Combien en voyons nous dans le Siècle où nosommes Par un hardi discours, passer pour de grans Hommes?
D’ailleurs ne craignez rien échauffé par l’Amos Vous ne paſſerez pas pour un ſçavant d’un jo	D'ailleurs ne craignez rien échauffé par l'Amos Vous ne passerez pas pour un suavant d'un jo
LYSANDRE.	LYSANDRE.
Je vois à tes diſcours quelque peu d'apparence Un ſeul point ſeulement choque mon eſperan Pas un de mes amis n’eſt Aſtrologue.	Je vois à tes discours quelque peu d'apparence Un seul point seulement choque mon espéran Pas un de mes amis n'est Astrologue.
PADILLE Bou, Qu’il lile avant cela l’Almanach tout du long Mille mots inconnus feront bient oſt connoitre, Que dans l’Aſtrologie il s’eſt fait paſſer maiſtre.	PADILE Bou, Qu'il lile avant cela l'Almanach tout du long Mille mots inconnus feront bient ost connaître, Que dans l'Astrologie il s'est fait passer maître.
la, les termes de l’Art rangez ou mal, ou bien, On les admirera, ſans y connoître rien.	la, les termes de l'Art rangez ou mal, ou bien, On les admirera, sans y connaître rien.
Si pour ce haut ſçavoir vôtte belle maitreſſe A l’Aſtrologue ſeul rémoigne ſa tendreſſe, L’Aſtrologue attitré, de ſon Tiltie démy Vous mettant en ces droits fera le coup d’amy Ainſi vous vous ferez aimer de vôtre Da me.	Si pour ce haut savoir vôtte belle maîtresse À l'Astrologue seul rémoigne sa tendresse, L'Astrologue attitré, de son Tiltie démi Vous mettant en ces droits fera le coup d'ami Ainsi vous vous ferez aimer de votre Da me.
LYSANDRE.	LYSANDRE.
Par tes plaiſans diſcouts tu me réjoüis l’ame;	Par tes plaisants discouts tu me réjouis l'âme;
Je brûle en verité d’en venir aux effets, Padille eſt par ma foy, la perle des valets.	Je brûle en vérité d'en venir aux effets, Padille est par ma foi, la perle des valets.
Oüy, mais ſi ta bravoure, & ma Philoſophie Luy plaiſent auſſi peu comme l’Aſtrologie, Nous nous turons en vain, & nous perdrons nos pas, La ſcience en trois Arts ne ſe renferme pas, Sans quelque Roolle encor la piéce eſt imparfaite.	Oui, mais si ta bravoure, et ma Philosophie Lui plaisent aussi peu comme l'Astrologie, Nous nous turons en vain, et nous perdrons nos pas, La science en trois Arts ne se renferme pas, Sans quelque Role encor la pièce est imparfaite.
PADILLE.	PADILE.
Il faut qu’un autre amy faſſe.	Il faut qu'un autre ami fasse.
LYSANDRE.	LYSANDRE.
Hè quoy?	Hér quoi?
PADILLE.	PADILE.
Le Poëte,	Le Poète,
LYSANDRE.	LYSANDRE.
Où le trouver,	Où le trouver,
PADILLE.	PADILE.
Comment dans ce vaſte Univers On ne voit plus, Monſieur, que des faiſeurs de vers;	Comment dans ce vaste Univers On ne voit plus, Monsieur, que des faiseurs de vers;
C’eſt un fleau de Dieu dont ce Siecle fourmile L’un en fait bons ou non, s’il n’en fait il en pille A toute reſte il veut par un méchant écrit De rimeur dans le monde uſurper le crédit, Sans ceſſe de leurs vers j’ay a tête étourdie Et croy que de rimeurs il a fait une pluye.	C'est un fléau de Dieu dont ce Siècle fourmile L'un en fait bons ou non, s'il n'en fait il en pille À toute reste il veut par un méchant écrit De rimeur dans le monde usurper le crédit, Sans cesse de leurs vers j'ai a tête étourdie Et crois que de rimeurs il a fait une pluie.
ANDRE.	ANDRÉ.
Tu te fais fort de tout Padille mais j’ay peur De ne pouvoir trouver un aſſez bon pimeut,	Tu te fais fort de tout Padille mais j'ai peur De ne pouvoir trouver un assez bon pimeut,
DILLE.	DILLE.
A:	A:
cut hazard Monſieur, dedans cette occurenée Padille le fera, j’ay certaineſcier ce.	cut hasard Monsieur, dedans cette occurenée Padille le fera, j'ai certainescier ce.
ANDRE.	ANDRÉ.
Padille, on vient à nous;	Padille, on vient à nous;
c’eſt Angelique, ya Songe à bien rencontrer ces Perſonnages la Et d'un grand fanfaron va prendre le viſage.	c'est Angélique, ya Songe à bien rencontrer ces Personnages la Et d'un grand fanfaron va prendre le visage.
ADILLE J'y vais, & vous ſongez à vôtre perſonnage.	ADILE J'y vais, et vous songez à votre personnage.
iiſin.	jisin.
CENE II.	CÈNE II.
ANGELIQUE.	ANGELIQUE.
LYSANDRE.	LYSANDRE.
LYSANDRE,	LYSANDRE,
Algré tous vos mépris, je viens à vos geMhoux, Demander pour ma flamme un traitement plus doux;	Algré tous vos mépris, je viens à vos géMhoux, Demander pour ma flamme un traitement plus doux;
Madame, & ſi jamais Lyſandre à ſçu vous plaire, Veuillez ne prendre pas un ſentiment çontraire.	Madame, et si jamais Lysandre à suiv vous plaire, Veuillez ne prendre pas un sentiment çontraire.
si d’un ſçavoir exquis les ſublimes appas Dans ma Perſonne enfin ne ſe rencontrent pas, Toújours fidelle Amant au moins ſais-je connoître Le beau feu qu’en mon cœur vos charmes ont uie dt i Et prés de vous jamais aucun homme viyant Sur un pareil ſujet ne ſera ſi ſçavant.	si d'un savoir exquis les sublimes appas Dans ma Personne enfin ne se rencontrent pas, Toújours fidèle Amant au moins sais-je connaître Le beau feu qu'en mon cœur vos charmes ont uie dût y Et près de vous jamais aucun homme viyant Sur un pareil sujet ne sera si Savant.
ANGELTQUE.	ANGELTQUE.
Je conçois aſſez bien ce que vous voulez dire, Et je vois bien, Monſieur, que vous voulez vous rire, Si le ſçavoir m’a plû, vous avez un grand tort Pour m’en deſabuſer de faite aucun effort,	Je conçois assez bien ce que vous voulez dire, Et je vois bien, Monsieur, que vous voulez -vous rire, Si le savoir m'a plu, vous avez un grand tort Pour m'en désabuser de faite aucun effort,
LYSANDRE.	LYSANDRE.
De grace écoutez-moy, ſans vous mettre encolere.	De grâce écoutez-moi, sans vous mettre encolère.
ANGELIQUE Dans le Monde jamais peut-on ſe ſatisfaire, Sans contemplet à fond & la Terre, & les Cieux, Et ces beaux mouvemens qui raviſſent nos yeux.	ANGELIQUE Dans le Monde jamais peut-on se satisfaire, Sans contemplet à fond et la Terre, et les Cieux, Et ces beaux mouvements qui ravissent nos yeux.
Je ne ſuis qu’une Fille, & ſi j’ay dans mon ame.	Je ne suis qu'une Fille, et si j'ai dans mon âme.
ne ſçavoir toute choſe une invincible flamme.	ne savoir toute chose une invincible flamme.
Les teimes des ſçavans ont pour moy tant d’appas, Que je meurs de regret de ne les ſçavoir pas.	Les teimes des Savants ont pour moi tant d'appas, Que je meurs de regret de ne les savoir pas.
Je Pâme quand j’entens ce qu’on dit de la Sphere Et ces doctes raiſons que par tout on revere, Et je veux la deſlus, pour contenter mon cœur, Qu’un ſçavant ſur ce point devienne mon vainqueur	Je Pame quand j'entends ce qu'on dit de la Sphère Et ces doctes raisons que par tout on révère, Et je veux la délus, pour contenter mon cœur, Qu'un savant sur ce point devienne mon vainqueur
LYSANDRE.	LYSANDRE.
Amour, ſeconde moy dedans mon entrepriſe, La reſolution, Madame, en eſt dont priſe?	Amour, seconde moi dedans mon entreprise, La résolution, Madame, en est dont prise?
Et vous prefererez un orgueilleux ſçavant A la ſincerité d’un ſi parfait Amant?	Et vous préférez un orgueilleux Savant À la sincérité d'un si parfait Amant?
Vous, qui vous plaiſiez tant à voir croîtte mi Hamme;	Vous, qui vous plaisiez tant à voir croîtte mi Hamme;
Que tous deux bien unis nous ne faiſions qu’uns ame, Craignez qu’un repentir que produira l’amour, Vous donne mais trop tard du deplaiſir un jout.	Que tous deux bien unis nous ne faisions qu'uns âme, Craignez qu'un repentir que produira l'amour, Vous donne mais trop tard du déplaisir un jout.
Quelquefois des plus fiers ce Dieu prend la vengeance.	Quelquefois des plus fiers ce Dieu prend la vengeance.
ANGELIQUE.	ANGELIQUE.
Je crains peu vôtre amour, j’ay pour moy la Sci ence.	Je crains pu votre amour, j'ai pour moi la Sci ence.
LYSANDRE.	LYSANDRE.
Les ſeuls ſçavans pourtant font éclater ſes loir.	Les seuls Savants pourtant font éclater ses loir.
