TRAGICOMEDIE PASTORALLE,	TRAGICOMEDIE PASTORALLLE,
&, ſans meu tir, ce vous doit eſtre vn grand conten tement d’oüyr quelque part où vou ſoyez les loüanges que l’on doit iuſtement à çes deux races, & ce ne vous e pas vne petite conſolation de la moi de Monſeigneur le Marquis de Ragi voſtre pere, que de ſçauoir!	et, sans meu tir, ce vous doit être un grand conten tement d'ouïr quelque part où vou soyez les louanges que l'on doit justement à çes deux races, et ce ne vous e pas une petite consolation de la moi de Monseigneur le Marquis de Ragi votre père, que de savoir!
qu’il 111 mort trauaillant à releuer la foy Catholique, & à redutre les villes que les rebelles auoient deſtournees du ſeruice de le Maieſté.	qu'il 111 mort travaillant à relever la foi Catholique, et à redutre les villes que les rebelles avaient destournées du service de le Majesté.
Pour moy qui dans le Langue.	Pour moi qui dans le Langue.
LAN M,pIEU 3DI doc ay eu l’honneur d’eſtre oculaire teſmoin dela plus part de ſes genereulos actions, ie ſçay bien qu’il y a laiſſé det marques de ſa valeur, qui ne ſe peuueſt iamais perdre, tant de villes, où l’herte ſie, & la rebellion auoient preſque effacé la memoire de la vraye Religion, & de l'authorité Royale, reduites auiourd’huy par ſa prudence & ſa generoſité en l’obeyſſance du Roy, ſeront des grands & durables monuments de ſa gloire, que ſi vous eſtes ſatisfaite d’auoir eu vn pere dont de nom eſt ſi recommendable à la memoire des hommes, ſans doute vous ne le ſerez pas moins, conſiderant que vous auez pour ayeul ce grand Mareſchal de Rets, tres-illuſtre pere de Madame voſtre mere, qui par ſes propres vertus oblige l’entie meſme à l’honorer, & qui ne tire pas moins de gloire de ſon ſeul merite, que d’eſtre fille d’vn ſi excellent perſonnage, de qui les merueilleuſes actions ont peu meriter les bonnes graces de deux puiſſants Roys, & de qui l’on a veu ſortir tant de Ducs & Pairs, tant de Genetaux d’armees ſur mer & ſur terre, & tant de grands Prelats, entre leſquel, on voit eſclater comme de grandes lumieres, les vertus de Monſeigneur l’Ar.	LAN MÈRE,pIEU VOUS doc ay eu l'honneur d'être oculaire témoin dela plus part de ses généreulos actions, Madame Mais bien qu'il y a laissé de marques de sa valeur, qui ne se peuvest jamais perdre, tant de villes, où l'herte sie, et la rébellion avaient presque effacé la mémoire de la vraie Religion, et de l'autorité Royale, réduites aujourd'hui par sa prudence et sa générosité en l'obéissance du Roy, seront des grands et durables monuments de sa gloire, que si vous et satisfaite dur eu pere dont de nom est si able la mémoire des hommes, sans doute vous ne le serez pas mon, considérant que vous auez pour aïeul ce grand Me de Rets, très-illustre pere de Madame vôtre mere, qui par ses propres vertus oblige entie même a honorer, et qui ne tire pas moins de gloire de son seul merite, que être fille si excellent personnage, de qui les merveilleuses actions ont peu mériter les bonnes sa de deux puissants Roys, et de qui d' a v sortir tant de Ducs et Pairs, tant de Genetaux armées sur mer et sur terre, et tant de grands Prelats, et lesquel, on voit éclater comme de grandes lumières, les vertus de Monseigneur .
cheueſque de Paris voſtre oncle, & les actions de feu Monſeigneur le Cardinal de Rets ſomfrere, & mon bien-facteur quela iudicieuſe election de noſtre Monarque fit Chof de ſon Conſeil, & de qui la prudenec & la pieté ont donné le premier & le plus grand coup à la ruine delarebellion & de d’heręſie, qui ſembloïent eſtreenracinees dans le Bearn, & delà, commeen des branches s’eſtendreſpar toure la Erance:	chevesque de Paris votre oncle, et les actions de feu Monseigneur le Cardinal de Rets somfre, et mon bienfacteur quela judicieuse élection de notre Monarque fit Chof de son Conseil, et de qui la prudenec et la piété ont donné le premier et le plus grand coup à la ruine délarbellion et de d'heręsie, qui semblaient estreenracinees dans le Bearn, et delà, commeen des branches s'étendrez toure la Érance:
Mais ie me referue d’en parlęr plus particulierement dans vn Poëme heroïque;	Mais ie me referve d'en parleure plus particulièrement dans un Poème héroïque;
où mon genie pourra plus librement faire paroiſtre ſa vigueur, & les obligations que i’ay à ces deux Maiſons.	où mon génie pourra plus librement faire paraître sa vigueur, et les obligations que j'ai à ces deux Maisons.
Cependant, Mademoiſelle, ie vous ſupplie de faire vn accueil fauorable à ces Bergeres, qui vont faire hommage de leur beauté àla voſtre, la iuſtice de leur actiun ſemble le meriter, elles viennent des riues de Lignon pour auoir l’honneur de vous aſſeurer, que vous eſtes la ſeule à qui elles voudroient rendre ce deuoir, leurs bergers qui les accompagnent ne leur ont pas donné vne petite apprehenſion de changement, quelque teſmoignage qu’elles euſſent receu de leur fidelité, cette grace, & cette beauté, qui attirent ſur vous les yeux & les cœurs de toute la Cour, la leur auoient iuſtement donnee, toutesfois remiſes par les aſſeurances que l’vne a receu de ſon Celadon, & l’autre de ſon Siluandre.	Cependant, Mademoiselle, je vous supplie de faire un accueil favorable à ces Bergères, qui vont faire hommage de leur beauté àla votre, la justice de leur actiun semble le mériter, elles viennent des rives de Lignon pour avoir l'honneur de vous assurer, que vous êtes la seule à qui elles voudraient rendre ce devoir, leurs bergers qui les accompagnent ne leur ont pas donné une petite appréhension de changement, quelque témoignage qu'elles eussent reçu de leur fidélité, cette grâce, et cette beauté, qui attirent sur vous les yeux et les cœurs de toute la Cour, la leur te la Cour, toute remises par les a te a receu de son Celadon, et re de son Fa.
Elles viennent en habit nouueau vous offrir les dernieres actions de leurs Amants, afin qu’on iuge par là, que ſi leur beauté, qui eſt beaucoup moindre que la voſtre, à peu inſpirer de mouuements ſi nobles en des ames ruſtiques, qu’eſt-ce que vous ne pourrez pas dans les ames genereuſes des Courtiſans, dont les plus grande & les plus iudicieux s’eſtiment heureux d’eſtre au nombre de vos eſclaues, & moy d’eſtre –-– – 2 –	Elles viennent en habit nouueau -vous offrir les dernières actions de leurs Amants, afin qu'on juge par là, que si leur beauté, qui est beaucoup moindre que la vôtre, à peu inspirer de mouvements si nobles en des âmes rustiques, qu'est-ce que vous ne pourrez pas dans les âmes généreuses des Courtisans, dont les plus grande et les plus judicieux s'estiment heureux d'être au nombre de vos esclaves, et moi d'être 2 
MADEMOISELLE.	MADEMOISELLE.
RAYSSIOVILE	RAYSIOUILE
ONNET De l’Autheur à la méme, ſur ſon porermee luiu par Terdiiaild.	ONNET De l'Auteur à la même, sur son porermée luiu par Terdiail.
Pr* Ve dans vn ſeul tableau i’ay veu de belles chõſes, Que celuy qui l’a faict me ſemble ingenieux, upour faurt inveauteint, ſes ſoins induſtrieux Ont détrempé de laict le vermillon des roſes.	Pr* Ve dans un seul tableau j'ai vu de belles choses, Que celui qui l'a fait me semble ingénieux, upour faurt inveauteint, ses soins industrieux Ont détrempé de lait le vermillon des roses.
Qu'Amour quoy qu’en peinture eſt puiſſant dans ſes yeux 'il y tient de douceur & de flammes encloſes, t queſur ce viſage on voit par tout écloſes e ces graces qui font la maieſté des Dieux.	Qu'Amour quoi qu’en peinture est puissant dans ses yeux 'il y tient de douceur et de flammes encloses, t quesur ce visage on voit par tout écloses e ces grâces qui font la maiesté des Dieux.
cemerite t'honneur e la gloire premiere uoir dans vn portraict ſceu tirer la lumiere, es plus beaux rayons de la diuinité.	cérite t'honneur e la gloire première ouvoir dans un portrait su tirer la lumière, ès plus beaux rayons de la divinité.
ais que ce peintre encore a trahi la nature, il a großierement tiré voſtre beauté, y qu’il ait employé tout l’art de la peinture.	ais que ce peintre encore a trahi la nature, il a grossièrement tiré quelque beauté, y qu'il ait employé tout l'art de la peinture.
A MONSIEVR LE General des gaiereo.	À MONSIEUR LE Général des généreux.
STANCES.	STANCES.
Cy tous mes ſens arreſtez INe me ſçauroient choiſir de route, Tant d’exploits, de tant de coſtez, Tiennent mõ ame en crainte, & mõ eſprit en doute:	Chi tous mes sens arrêtés INe me sauraient choisir de route, Tant d'exploits, de tant de côtés, Tiennent mon âme en crainte, et mon esprit en doute:
La memoire de vos ayeux, Trouble de ſon eſclat mes yeux, Et ces actions glorieuſes, Dont ils ont rempli l’vniuers, En naiſſant font mourir les vers De mes veilles laborieuſes.	La mémoire de vos aïeux, Trouble de son éclat mes yeux, Et ces actions glorieuses, Dont ils ont rempli l'univers, En naissant font mourir les vers De mes veilles laborieuses.
Toutesfois me voila remis, Mon genie reprent haleine, Ie voy deſia nos ennemis Qui fuient deuant vous deſſus l’humide pleine:	Toutefois me voilà remis, Mon génie reprent haleine, Je vois déjà nos ennemis Qui fuient devant vous dessus l'humide pleine:
Vos galeres courent la mer, Le forçat commente à ramer, Et i’oy deſia battre la poudre Dedans ces inſtruments d’enfer, Qui tantoſt auecque le fer Vomiront la flame & la foudre.	Vos galères courent la mer, Le forçat commente à ramer, Et j'oi déjà battre la poudre Dedans ces instruments d'enfer, Qui tantôt avec le fer Vomiront la flamme et la foudre.
Thunis & le barbare Arger, Font renfermer tous leurs pirates, Craignant que vous n’alliez charger Iuſques dedans leurs ports leurs legeres fregates:	Thunis et le barbare Arger, Font renfermer tous leurs pirates, Craignant que vous n'alliez charger Jusques dedans leurs ports leurs légères fregates:
Mais vn Demon plus genereux, Pouſſe vos deſſeins valeureux, Delà le detroit, où Neptune Vient pour baiſer nôtre Thetis, Et de cent vaiſſeaux engloutis Doit honorer vôtre fortune.	Mais un Démon plus généreux, Pousse vos desseins valeureux, Délà le détroit, où Neptune Vient pour baiser notre Thétis, Et de cent vaisseaux engloutis Doit honorer votre fortune.
Ce n’eſt rien que d’auoir poußé Des galeres victorieuſes Deſſus l’Occean courroucé De voir rompre aux forçats ſes vagues furieuſes:	Ce n'est rien que d'avoir poussé Des galères victorieuses Dessus l'Océan courroucé De voir rompre aux forçats ses vagues furieuses:
Puſieurs de meſme auparauant Ont vogué de rame, & de vent Deſſus ceſte mer orageuſe, Et parmi lorguen de jes ſiois Ont eſtoné les matelots D'vne action ſi courageuſe.	Pusieurs de même auparavant Ont vogué de rame, et de vent Dessus cette mer orageuse, Et parmi lorguen de jes siois Ont estoné les matelots D'une action si courageuse.
Mais deles y voir promener, Et par vne eſtrange merueille De l’Occean les ramener, (ſeille, Sans perdre vn ſeul forçat iuſqu’au port de MarC’eſt ce que les Dieux vos amis N'auoient point encore permis;	Mais deles y voir promener, Et par une étrange merveille De l'Océan les ramener, (seille, Sans perdre un seul forçat jusqu'au port de MarC'est ce que les Dieux vos amis N'avaient point encore permis;
Vous eſtes le premier au monde De qui le grand Dieu de la mer L’a ſouffert ſans les abiſmer Daus te raſie jain de ſon onde.	Vous êtes le premier au monde De qui le grand Dieu de la mer L'a souffert sans les abîmer Daus te rasie jaïn de son onde.
Außi voyoit on les Tritons A la teſte de vos galeres Auec mille agreables tons Des flots plus irritez apaiſer les coleres, Mille bluës diuinitez.	Aussi voyait on les Tritons A la teste de vos galères Auec mille agréables tons Des flots plus irrités apaiser les colères, Mille blues divinités.
Les bordoient de tous les coſtez, Et Neptune à voſtre aduantage Tenant les vents dans leur priſon Fit voir alors que la raiſon Peuſt quelque choſe ſur ſa rage.	Les bordaient de tous les côtés, Et Neptune à votre avantage Tenant les vents dans leur prison Fit voir alors que la raison Peut quelque chose sur sa rage.
Laiſſez pourtant cét element Où le courage & la vaillance Sont oprimez communément Sous les coups du malheur & de la violance, La terre a de plus beaux lauriers, Pour conronner de nos guerriers Et la valeur & la fortune;	Laissez pourtant cet élément Où le courage et la vaillance Sont oprimez communément Sous les coups du malheur et de la violance, La terre a de plus beaux lauriers, Pour conronner de nos guerriers Et la valeur et la fortune;
Mais l’Anglois ſçait ſuffiſamment Que vous vainquez également Deſſus la terre & ſur Neptune.	Mais l'Anglais sçait suffisamment Que vous vainquez également Dessus la terre et sur Neptune.
chacun ſçait que l’on a chaßé	chacun esprit que l'on a chassé
Honteuſement cét inſulaire, Que celuy qui vous a bleßé De vôtre propre main a receu ſon ſalaire.	Honteusement cet insulaire, Que celui qui vous a blevé De votre propre main a reçu son salaire.
Vôtre fer luy perçant le flanc Verſa ſon ame auec ſon ſang Au milieu des ſiens & des armes, Et malgré leurs coups furieux Vous ramena victorieux, A la teſte de nos gendarmes.	Votre fer lui perçant le flanc Versa son âme avec son sang Au milieu des siens et des armes, Et malgré leurs coups furieux Vous ramena victorieux, A la tête de nos gendarmes.
Croyez vous que voſtre valeur, Dont on a de marques ſi belles Feut deſtinee au ſeul malheur De ce lache étranger, & des foibles rebelles, Que contre la rebellion Vous deuiez touſiours en lyon, Eſtre aux rampars ou ſur les mines, di fula cuerear an derns Porter legerement vos pas Sur la maſure & les ruines?	Croyez vous que votre valeur, Dont on a de marques si belles Feut destinée au seul malheur De ce lâche étranger, et des faibles rebelles, Que contre la rébellion Vous deviez toujours en lyon, Être aux remparts ou sur les mines, di ula cuèrear an derns Porter légèrement vos pas Sur la masure et les ruines?
Non, non, ce monſtre eſt abatu, Mon Roy tourne ailleurs ſon tonerre, Et prepare à voſtre vertu Des lauriers immortels, & ſur mer & ſur terre.	Non, non, ce montre est abattu, Mon Roy tourne ailleurs son tonerre, Et prépare à votre vertu Des lauriers immortels, et sur mer et sur terre.
L’Italie encore vne fois Doit trembler ſous les iuſtes loix De nos victorieux Monarques,	L'Italie encore une fois Doit trembler sous les justes lois De nos victorieux Monarques,
Et vous deuez à l’aduenir Y grauer voſtre ſouuenir, Auec des eternelles marques.	Et vous devez à l'avenir Y graver votre souvenir, Avec des éternelles marques.
Tandis iouyſſant tous les iours Des plus doux plaiſirs de la vie, Allez auec tous les amours Adorer les beautez de la ieune Siluie, Voyez comme ſes yeux vainqueurs, La gloire & la priſon des cœurs Ont vne douce violence, Et que la raiſon & les ſens Ont contre teuxs traits innocens Vne legere reſiſtance.	Tandis iouyssant tous les jours Des plus doux plaisirs de la vie, Allez avec tous les amours Adorer les beautés de la jeune Silvie, Voyez comme ses yeux vainqueurs, La gloire et la prison des cœurs Ont une douce violence, Et que la raison et les sens Ont contre teux traits innocents Vne légère résistance.
Et ſi le Ciel me veut ouyr, Malgré le temps & ſes malices, Ie vous verray bien toſt iouyr En la guerre d’amour des plus douces delicesAlors, vn genereux deſſein M’eſchauffant puiſſam nent le ſein, Ie meſleray vos deux hiſtoires, Où les derniers de nos neueux Verront auec mes iuſtes vœux Et vos amours & vos victoires.	Et si le Ciel me veut ouïr, Malgré le temps et ses malices, Je vous verrai bien tôt jouir En la guerre d'amour des plus douces délicesAlors, un généreux dessein M'échauffant puissam nent le sein, Je mêlerai vos deux histoires, Où les derniers de nos neueux Verront seulement mes justes vœux Et vos amours et vos victoires.
DE RAYSSIGVIER.	DE RAYSIGUIER.
AV SIEVR DE RAYSSIguier, ſur ce qu’il dedie ſon Aſtree a Mauemonene de Ragny.	AU SIEUR DE RAYSIguyer, sur ce qu'il dédie son Astre a Mauemonene de Ragni.
SONNET.	SONNET.
Que tu feus heureux, & que le Ciel t'ayma D’auoir fait ce beau choix que tout le monde admhes On cognoiſtra par tout que le Dreu qui t'inſpire Afaire ces beaux vers ton eſprit enflamma.	Que tu feus heureux, et que le Ciel t'aima D'avoir fait ce beau choix que tout le monde admhes On connaîtra par tout que le Dreu qui t'inspire Afaire ces beaux vers ton esprit enflamma.
D’vrfé qu'vn chaſte amour icy bas alluma;	D’ chaste qu'un chaste amour ici bas alluma;
da Juiaajers a' mene pon jerpuantenveurne, Car voulu de Ragny les merueilles d’eſcrire, Enui eux du ſubiect qui ton cœur anima.	da Juiaajers a mène pon jerpuantenvrne, Car voulu de Ragi les merveilles d'écrire, Envi eux du sujet qui ton cœur anima.
Que ſi ce grand eſprit eut peu voir tant de charmes, Cette grace, & ſes yeux où l’Amour rend les armes 'l n'euſt pas tant vanté les replis argentez.	Que si ce grand esprit eut peu voir tant de charmes, Cette grâce, et ses yeux où l'Amour rend les armes 'elle n'eût pas tant vanté les replis argentez.
Des ondes de Lignon, l’honneur de ſa contree:	Des ondes de Lignon, l'honneur de sa contrée:
ar voyant en Ragny de ſi grandes beautez I n'euſt oſé parler de celles de l’Aſtree.	ar voyant en Ragni de si grandes beautés I n'eût osé parler de celles de l'Astre.
A V MESME, SVR LI meſme ſubiect.	À V MÊME, SUR LI même sujet.
EPIGRAMME.	ÉPIGRAMME.
II ton eſprit nous monſtre icy S Dans vn ouurage racourcy Le plus beau d’vn plus grand ouurage:	II ton esprit nous montre ici S Dans un ouvrage racourci Le plus beau d'Un plus grand ouvrage:
Ragny nous repreſente mieux Tout l’heur de la terre & des Cieux, Dans les beaux traits de ſon viſage.	Ragni nous représente mieux Tout l'heur de la terre et des Cieux, Dans les beaux traits de son visage.
AVTRE EPTGRAMME, au meſme, ſur le meſme ſubiect.	AUTRE EPTGRAME, au même, sur le même sujet.
Es bergers ne peuuent mourir,  Ton liure ne ſçauroit perir, Car le ſubiect incomparable, Qui paroiſt au front de tes vers, Eſtant du tout imperiſſable, Doit ſuruiure à tout l’Vniuers.	Es bergers ne peuvent mourir, Ton livre ne saurait périr, Car le sujet incomparable, Qui paraît au front de tes vers, Étant du tout impérissable, Doit survivre à tout l'Univers.
AVTRE EPIGRAMME au meſme.	AUTRE ÉPIGRAMME au même.
VEs Bergers ſans ame & ſans corps  Eſtoient au Royaume des morts, Soit par le temps ou par l’enuie:	VEs Bergers sans âme et sans corps Étaient au Royaume des morts, Soit par le temps ou par l'envie:
Mais ils reprennent leurs eſprits, Treuuans vne eternelle vie Dans la douceur de tes eſcrits.	Mais ils reprennent leurs esprits, Treuant ici éternelle vie Dans la douceur de tes écrits.
Par le Sieur ROGVYER.	Par le Sieur ROGUYER.
lo que mi rodea, no mi contiene.	lo que mi rodea, nô mi contène.
A MONSIEVR LE MAR quis de Ragny.	À MONSIEUR LE MAR quis de Ragni.
Epigramme par l’Autheur.	Épigramme par l'Auteur.
A MONSIEVR LE Marquis de Ragny.	À MONSIEUR LE Marquis de Ragni.
Epigramme par le ſieur Roguier.	Épigramme par le sieur Roguyer,
Arquis, pour heureuſement viure, IV TIl ne te faut point d’autre liure Pour te guider en ces bas lieux, Que de ſuiure de pres les vertus de ta mere, Et te repreſenter la valeur de ton pere, Qui mourãt pour la Frãce eſt viuant dãs les Cieux.	Arquis, pour heureusement vivre, IV TIl ne te faut point d'autre livre Pour te guider en ces bas lieux, Que de suivre de pres les vertus de ta mère, Et te représenter la valeur de ton père, Qui mourant pour la France est vivant dans les Cieux.
AVTRE.	AUTRE.
Arquis dont le meur iugement, A Iv TOonne aux cœurs tant d’eſtonnement, Lors que tu parles de l’hiſtoire, Que durant ton ieune Printemps, On n'a recours qu’à ta memoire, Pour bien ſçauoir l’or dre des temps.	Arquis dont le meur jugement, AVisais TOonne aux cœurs tant d'étonnement, Lors que tu parles de l'histoire, Que durant ton jeune Printemps, On n'a recours qu'à ta mémoire, Pour bien savoir l'or dre des temps.
A MONSIEVR DE Rayſſiguier ſur ſon Aſtree.	À MONSIEUR DE Raisssiguier sur son Astre.
*V donnes donc de nouueaux charmes I Au vainqueur des plus grands vainqueurs, Deſia tes vers luy ſeruent d’armes A triompher de mille cœurs.	*V donnes donc de nouveaux charmes I Au vainqueur des plus grands vainqueurs, Déjà tes vers notre servent d'armes A triompher de mille cœurs.
Bien que cette beauté ſi long-temps pourſuiuie Rende à ſon Celadon le plaiſir & la vis Il craint de n’eſtre pas à la fin de ſes maux, Puiſque ſa bergere eſt ſi belle, Par le ſoin que tu pris pour elle, Qui ne ſera iamais ſans beaucoup de Riuaux.	Bien que cette beauté si longtemps poursuivie Rende à son Céladon le plaisir et la vis Il craint de n'être pas à la fin de ses maux, Puisque sa bergère est si belle, Par le soin que tu pris pour elle, Qui ne sera jamais sans beaucoup de Rivaux.
EPIGRAMME.	ÉPIGRAMME.
V RYER.	V RYER.
A LA BERGERE ASTREE.	À LA BERGÈRE ASTRE.
001 EPIGRAMME.	001 ÉPIGRAMME.
Dorable & diuine Aſtree, TA De qui les beautez & les loix Se firent vne riche entree Dans les cours & les eœurs des Roys, Ne crains plus ces ialoux ombrages, Qui ſuiuent les plus beaux ouurages:	Dorable et divine Astre, TA De qui les beautés et les lois Se firent une riche entre Dans les cours et les eœurs des Rois, Ne crains plus ces jaloux ombrages, Qui suivent les plus beaux ouvrages:
Ton bon-heur n’a point de pareil, Puiſqu'en allant dedans le monde, Auecques Ragny ſans ſeconde, Tu vas auecques le Soleil.	Ton bonheur n'a point de pareil, Puisqu'en allant dedans le monde, Avecques Ragny sans seconde, Tu vas était le Soleil.
DV RYER.	DU RYER.
AD DOCTISS.	AD DOCTISS.
ET politiſſimum Pœtam de Rayſſiguier Aſtream Vrfei Carmine cilemraucerta	ET politissimum Pœtam de Raisssiguier Astre Rfei Carmine cilemraucerta
Aſtrea Vrfeum terris dedit, ore ſoluto, At que hominum lingua dum ſua ſenſa refert:	Astrea Vrfeum terris dedit, ore soluto, At que hominum lingua dum a sensa refert:
At cum mente Deûm, & ſtricto ſermone loquaris:	At cum mente Dum, et stricto sermone loquaris:
Famam Aſtrea aſtris inſeret illa tuam.	Fammes Astrea astris inseret illa tuam.
iuon Md2	yvon Md2
B.	B.
E ſubiect eſt ſi cognu, qu’il ſembleroit inutile d’en fairevn argument, toutesfois afin qu’on puiſſe comprendre mieux le deſſein que i’iy eu de le diſpoſer au theatre, & de le faire voir demeie des autres hiſtoires, dans lelquelles il eſt intriqué, i’en ay voulu donner la diſpoſition.	E sujet est si connu, qu'il semblerait inutile d'en faire argument, toutefois afin qu'on puisse comprendre mieux le dessein que j'y eu de le disposer au théâtre, et de le faire voir demeie des autres histoires, dans lelquelles il est intriqué, j'en ai voulu donner la disposition.
111.	111.
Dans le premier Acte, Celadon qui n’oſoit paroiſtre de iour, depuis qu’il s’eſtoit ſauué de chez Galathee, par le moyen d’Adamas & de Leonide, ſe plaind de l’iniuſtice de ſon ſort, & prend occaſion de parler du commandement qu’il auoit receu de sõ Aſtree, de ne ſe faire iamais voir à ſes yeux, & du deſeſpoir qui l’obligea en ſa preſence de ſe ietter dans Lignon.	Dans le premier Acte, Céladon qui n'osait paraître de jour, depuis qu'il s'était sauvé de chez Galathe, par le moyen d'Adamas et de Léonide, se plaind de l'injustice de son sort, et prend occasion de parler du commandement qu'il avait reçu de son Astre, de ne se faire jamais voir à ses yeux, et du désespoir qui l'obligea en sa présence de se jeter dans Lignon.
Durant ſa plainte Siluandre ſuruient, qui depuis la gageure faite auec Philis, eſtoit veritablement demeuré amoureux de Diane, & qui apres auoir couru toute la nuict, laſſé du trauail s’endort ſans voir Celadon, qui ſe ſeruant de l’occaſion met vne lettre ſur le ſein de Siluandre ſans y mettte ſon nom ny ſon chifre, cette lettre trouuee à ſon reueil met ce Berger en peine ne pouuant iuger d’où elle eſtoit venuë, mais en la liſant la trouuant conforme à ſa paſſion, croit que ſon bon demon l’ait eſcrite en ſa faueur, & ſur cette imagination, part pour la faire voir à Diane qu’il rencontre auec Aſtree:	Durant sa plainte Siluandre survient, qui depuis la gageure faite avec Philis, était véritablement demeuré amoureux de Diane, et qui après avoir couru toute la nuit, lassé du travail s'endort sans voir Céladon, qui se servant de l'occasion met une lettre sur le sein de Silvandre sans y mettte son nom été son chifre, cette lettre trouvée à son réveil met ce Berger en peine ne pouvant juger d'où elle était venue, mais en la lisant la trouvant conforme à sa passion, croit que son bon démon l'ait écrite en sa faveur, et sur cette imagination, et sur la ce voir Diane il rencontre auec Te:
Mais Aſtree recognoiſſant la lettre de Celadon, & ayant ſceu de Siluandre l’endroit où il l’auoit trouuee, y vont enſemble, & ſont rencontrez de Paris, qui amoureux de Diane ſe ioinct à leur compagnie:	Mais Astre recognoissant la lettre de Céladon, et ayant su de Silvandre l'endroit où il l'avait trouvée, y vont ensemble, et sont rencontrez de Paris, qui amoureux de Diane se joint à leur compagnie:
Siluandre qui les conduiſoit, s’eſtant eſcarté, en voulant prendre vn ſentier, rencontre le Temple que Celadon auoit dedic à la Deeſſe Aſtree, où ils trouuent de nouueaux eſcrits de ce berger, qui leur perſuade que ombre de Celadon erroit dans ces lieux.	Silvandre qui les conduisait, s'étant écarté, en voulant prendre un sentier, rencontre le Temple que Céladon avait dedic à la Déesse Astre, où ils trouvent de nouveaux écrits de ce berger, qui leur persuade que ombre de Céladon errait dans ces lieux.
Sur rette croyance ſe fonde le deſſein de luy faire e vain tombeau, dont l’on fait la ceremonie u ſecond Acte, où Adamas & Leonide oblijent apres beaucoup de peine le triſte Celalon à ſe defguiſer en fille, & de ſe dire fille du grand Druide, ſous cet habit, en ceſte qualité eſtviſité au troiſieſme Acte des bergeres & bergers de la contree, & entre autres d’Aſtres & de Diane:	Sur rette croyance se fonde le dessein de lui faire e vain tombeau, dont l'on fait la cérémonie u second Acte, où Adamas et Léonide oblijent après beaucoup de peine le triste Célalon à se déguiser en fille, et de se dire fille du grand Druide, sous cet habit, en cette qualité estvisité au troisième Acte des bergers et bergers de la contrée, et entre autres d'Astres et de Diane:
Paris qui auoit preſſé Diane touchant leur mariage ne pert point temps & ſe ſeruant de l’occaſion & des paroles de Diane, qui auoit remis ceſt affaire à Bellinde ſa mere, la va trouuer:	Paris qui avait pressé Diane touchant leur mariage ne pert point temps et se servant de l'occasion et des paroles de Diane, qui avait remis cest affaire à Belinde sa mère, la va trouver:
& apres l’oracle conſulté qui dit, qu’il faut marier Paris auec Diaue, oblige Bellinde d’aller trouuer Adamas, qui conſent aiſément à ce mariage;	et après l'oracle consulté qui dit, qu'il faut marier Paris avec Diave, oblige Bellinde d'aller trouver Adamas, qui consent aisément à ce mariage;
le deplaiſir de Diane ſe voyant contrainte d’eſpouſer Paris, & de quitter Siluandre qu’elle aymoit, faict le commencement du quatrieſme acte, où Siluandre ſe reſout à mourir, puis qu’il ne peut poſſeder Diane:	le déplaisir de Diane se voyant contrainte d'épouser Paris, et de quitter Silvandre qu'elle aimait, fait le commencement du quatrième acte, où Silvandre se résout à mourir, puis qu'il ne peut posséder Diane:
