JULIE, Fille d’Oronte.	JULIE, Fille d'Oronte.
POURCEAUGNAC.	POURCEAUGNAC.
SBRIGANI.	SBRIGANI.
Et de cordial.	Et de cordial.
Ah, ah.	Ah, ah.
Ml.	Ml.
AOuRCHiddNAC.	ÀOuRCHiddNAC.
BRTGANI.	BRTGANI.
Je vous aſſure que je ſuis tout à vous.	Je vous assure que je suis tout à vous.
M.	M.
POURCEAUGNAC.	POURCEAUGNAC.
je tous ay beaucoup d’obligation.	je tous ai beaucoup d'obligation.
BRIGANI.	BRIGANI.
C’eſt du fond du cœur que je parle.	C'est du fond du cœur que je parle.
M.	M.
POURCEAUUNAC, Je le croy.	POURCEAUNAC, Je le crois.
BRIGANI.	BRIGANI.
Si j’avois l’honneur d’eſtre connu de vous, vous ſçauriez que je ſuis un Homme tout-à-fait ſincere,	Si j'avais l'honneur d'être connu de vous, vous sauriez que je suis un Homme tout-à-fait sincère,
M.	M.
POURCEAUGNAC.	POURCEAUGNAC.
Je n’en doute point.	Je n'en doute point.
RIGANI.	RIGANI.
Ennemy de la fourberie.	Ennemi de la fourberie.
A 7 M.	À 7 M.
Poux	Poux
M.	M.
POURCEAUGNAC.	POURCEAUGNAC.
j'en idis penuade.	j'en idis pénuade.
BRIGANI.	BRIGANI.
Et qui n’eſt pas capable de déguiſer ſes ſentimens.	Et qui n'est pas capable de déguiser ses sentiments.
M.	M.
POURCEAUGNAC.	POURCEAUGNAC.
C’eſt ma penſée.	C'est ma pensée.
BRIGANI.	BRIGANI.
Vous regardez mon habit qui n’eſt pas fait comme les autres;	Vous regardez mon habit qui n'est pas fait comme les autres;
mais je ſuis originaire de Naples, à voſtre ſervice, & j’ay voulu conſerver un peu & la maniere de s’habiller, & la ſincerité de mon Païs.	mais je suis originaire de Naples, à votre service, et j'ai voulu conserver un peu et la manière de s'habiller, et la sincérité de mon Pays.
M TOARCEAUGNAC.	M MOARCEAUGNAC.
C’eſt fort bien fait:	C'est fort bien fait:
Pour moy j’ay voulu me mettre à la mode de la Cour pour la Campagne.	Pour moi j'ai voulu me mettre à la mode de la Cour pour la Campagne.
BRIGANT.	BRIGANT.
Ma foy, cela vous va mieux qu’à tous nos Courtiſans.	Ma foi, cela vous va mieux qu'à tous nos Courtisans.
M.	M.
POURCEAUGNAC.	POURCEAUGNAC.
Geit ce que ma dit mon Tailleur;	Git ce que ma dit mon Tailleur;
l’habit eſt propre & riche, & il fera du bruit icy.	l'habit est propre et riche, et il fera du bruit ici.
BRTGANI.	BRTGANI.
Sans doute.	Sans doute.
N’irez-vous pas au Louvre?	N'irez-vous pas au Louvre?
M.	M.
POURCEAUGNAC.	POURCEAUGNAC.
Il faudra bien aller faire ma Cour.	Il faudra bien aller faire ma Cour.
BRIGANI.	BRIGANI.
Le Roy ſera ravi de vous voir.	Le Roi sera ravi de vous voir.
M.	M.
POURCEAUGNAC.	POURCEAUGNAC.
Jelecloy.	Jelecloi.
BRIGANI.	BRIGANI.
Avez-vous arreſté un Logis?	Avez-vous arrêté un Logis?
M.	M.
POURCEAUGNAC.	POURCEAUGNAC.
Non, j’allois en chercher un.	Non, j'allais en chercher un.
BRIGANI.	BRIGANI.
Je ſeray bien-aiſe d’eſtre avec vous pour cela, & je connois tout ce Païs-cy.	Je serai bien-aise d'être avec vous pour cela, et je connais tout ce Pays-cy.
SCENE IV.	SCÈNE IV.
ERASTE, SBRIGANI, M.	ERASTE, SBRIGANI, M.
DE TOORODIGGNAC.	DE TORODIGNAC.
ERASTE.	ERASTE.
A H qu’eſt-ce-cy!	À H qu'est-ce-cy!
que voy-je!	que vois-je!
quelle heureuſe renT contre!	quelle heureuse renT contre!
Monſieur de Pourceaugnac!	Monsieur de Pourceaugnac!
que je ſuis ravi de vous voi!	que je suis ravi de vous voi!
Commient :	Commient :
Il ſemble que vous ayez peine à me reconnoiſtre?	Il semble que vous ayez peine à me reconnaître?
M.	M.
POURCEAUGNAC.	POURCEAUGNAC.
Monſieur, je ſuis voſtre ſerviteur.	Monsieur, je suis votre serviteur.
ERASTE.	ERASTE.
Eſt-il poſſible que cinq ou ſix années m’ayent oſte de voitie ſnemone:	Est-il possible que cinq ou six années m'aient ôte de voitie snemone:
ce que vous ne recomnoiſſiez pas le meilleur Amy de toute la Famille des Pourceaugnacs?	ce que vous ne recomnoissiez pas le meilleur Ami de toute la Famille des Pourceaugnacs?
M.	M.
POURCEAuGNAC.	POURCEAuGNAC.
Pardonnez moy.	Pardonnez -moi.
à Sbrigani.	à Sbrigani.
Ma foy, je ne ſçay qui il eſt.	Ma foi, je ne sais qui il est.
ERASTE.	ERASTE.
