A MONSEIGNEVR DE MONTMORENCY, Duc, Pair, & prallu frullhrar de France, &c.	À MONSEIGNEUR DE MONTMORENCY, Duc, Pair, et prallu frullhrar de France, etc.
Faiſant defences à tous Imprimeurs, Libraires, & autres de quelque qualité & condition qu’ils ſoient, d’imprimer ledit Liure, en vendre ny diſtribuer par tout le Royaume, pays &terres de ſon obeyſſance, ſans le conſentement dudit Targa, pendant le temps de ſix ans, ſur peine aux contreuenans de confiſcation des exemplaires, & de ſix cens liures camende, moitié au Roy & l’autre audit Targa, deſpens, dommages & intereſts:	Faisant défenses à tous Imprimeurs, Libraires, et autres de quelque qualité et condition qu'ils soient, d'imprimer ledit Livre, en vendre ni distribuer par tout le Royaume, pays etterres de son obéissance, sans le consentement dudit Targa, pendant le temps de six ans, sur peine aux contrevenants de confiscation des exemplaires, et de six cens livres camende, moitié au Roi et l'autre audit Targa, des, dommages des intérêts:
comme il eſt plus amplement porte par l'origmnal des preſentes.	comme il est plus amplement porte par l'origmnal des présentes.
Ledit Priuilege eſt entheriné aux Requeſtes de dl'Heſtelle 10.	Ledit Privilège est entheriné aux Requêtes de d'Hêtelle 10.
Nouembre 1827.	Novembre 1827.
CORESTAN, Prince de Candie.	CORÊTAN, Prince de Candie.
THYRSIS, Cheualier errant.	THYRSIS, Chevalier errant.
MELIPHILE, ſœur de Thelame.	MELIPHILE, sœur de Thelame.
do Rro EBeigdes.	do Rro EBeigdes.
DAMON, pelé de Syiule, Berger.	DAMON, pelé de Syvle, Berger.
MACEE, mere de Syluie.	MACE, mère de Syluie.
AGATOCLES, Roy de Sicilé.	AGATOCLES, Roi de Sicilé.
LE CHANCELIER.	LE CHANCELIER.
TIMAPHERE, Capitaine.	TIMAPHÉRE, Capitaine.
LA S DV T SIEVR, MAIRET RE	LA S U T SIEUR, MAIRET RE
ACTE PREMIER.	ACTE PREMIER.
SCENE PREMIERE.	SCÈNE PREMIÈRE.
TLURESTAN TIllice de Candie, THYRSIS.	TLURÊTAN TIllice de Candie, THYRSIS.
FLORESTAN.	FLORÊTAN.
Y qu'vn noble deſir d’eſprouuer ton courage En tous les accidents du Martial prage, A tenu ſi long temps abſent de cette Cour, Où tu viens fraiſchement de faire ton retour, Dans la diuerſité des Terres eſtrangeres, Où l’honneur a porté tes armes paſſagtres, Thyrſis, laiſſant à part tout' autre nouileauté, Dy moy, n'as-tu point veu quelque rare beaute Tu ſçais que nos humeurs conformes à nos âge Par deſſus toute choſe aiment les beaux viſage.	Y qu'un noble désir d'éprouver ton courage En tous les accidents du Martial prage, A tenu si long temps absent de cette Cour, Où tu viens fraîchement de faire ton retour, Dans la diversité des Terres étrangères, Où l'honneur a porté tes armes passagres, Thyrs, laissant à part tout' autre nouileauté, D moi, n'as-tu point vu quelque rare te Tu parais que nos humeurs conformes à nos âge Par dessus toute chose aiment les beaux visage.
THYRSIS.	THYRSIS.
Donnez vous ſeulement tant ſoit peu de loiſir Et ie rendray content voſtre ieune deſir, Entretenant pluſtoſt vos yeux que vos oreilles.	Donnez -vous seulement tant soit peu de loisir Et ie rendrai content votre jeune désir, Entretenant plutôt vos yeux que vos oreilles.
Page, reueneZ toſt, vous verreZ des merueille.	Page, reueneZ tôt, vous verrez des merveille.
Qui veritablement vous feront auoüer Qu'on ne ſçauroit aſſeZ les voir ny les loüer.	Qui véritablement vous feront auoüer Qu'on ne saurait assez les voir ni les louer.
FLORESTAN.	FLORÊTAN.
Qucic ucſii ue von cemtacie mepreſſe, Mais ce Page deſia n’a que trop de pareſſe.	Qucic ussy ue von cemtacie mépresse, Mais ce Page déjà n'a que trop de paresse.
Il eſt long à venir.	Il est long à venir.
THYRSIS.	THYRSIS.
Ne vous tourmentez pas, Le voicy de retour qui s’auance à grands pas.	Ne vous tourmentez pas, Le voici de retour qui s'avance à grands pas.
Hal que vous alleZ voir ſous cette couuerture Vn grand combat de l'Art auecque la Natur Tout ce que l’Vniuers eut iamais de plus beau oe preſemt à voy yen- uans tepein Pabieaß.	Hal que vous allez voir sous cette couverture Un grand combat de l'Art auecque la Natur Tout ce que l'Univers eut jamais de plus beau e presemt à voy en- ans tepein Pabieass.
FLORESTAN.	FLORÊTAN.
Cet ouurage eſt l’effect d’vne dextre ſçauante Pluſtoſt que le portrait d’vne Beauté viuante, Du Peintre qui l’a faict l’induſtrieuſe main Ne le tira iamais ſur vn modele humain:	Cet ouvrage est l'effet d'une dextre savante Plutôt que le portrait d'une Beauté vivante, Du Peintre qui l'a fait l'industrieuse main Ne le tira jamais sur un modèle humain:
aſe epete tauitan a vne veunte nonfeinte, C’eſt donc auec exceZ de grace qu’elle eſt peinte.	aze épète tavitan a une veunte nonfinte, C'est donc auec excès de grâce qu'elle est peinte.
THYRSIS.	THYRSIS.
Comme on peint le Soleil auecque du charbon.	Comme on peint le Soleil auecque du charbon.
FLORESTAN.	FLORÊTAN.
Vous eſtes vn mocqueur.	Vous êtes un moqueur.
allea lo.	allea lo.
Ie parle tout de bon, De n’eſt point vn rapport, c’eſt choſe que i’ay veuë	Je parle tout de bon, De n'est point un rapport, c'est chose que j'ai vue
FLORESTAN.	FLORÊTAN.
Que fait l’original ſi ſon image tuë?	Que fait l'original si son image tue?
Tu n’en as que trop dit, Thyrſis, ie ſuis vaincu, I’ay treuué quelque charme en ce fatal eſcu, Ie ſens que ce Portrait de plus en plus m’inſpire Certains feux violents qui ne ſe peuuent dire.	Tu n'en as que trop dit, Tirsis, je suis vaincu, J'ai trouvé quelque charme en ce fatal écu, Je sens que ce Portrait de plus en plus m'inspire Certains feux violents qui ne se peuvent dire.
Helas!	Hélas!
donne à ma playe vn premier appareil, Apprens-moy le climat où luit ce beau Soleil, Sur tout fais moy ſçauoir ſon nõ & ſa naiſſance Et tu m'obligeras à la recognoiſſance.	donne à ma plaie un premier appareil, Apprends-moi le climat où luit ce beau Soleil, Sur tout fais moi savoir son nôtre et sa naissance Et tu m'obligeras à la reconnaissance.
THYRSIS.	THYRSIS.
La Sicile eſt l’aimable & fortuné ſejour Où ce bel Aſtre donne & reſpire le iour, Cenx que fgauene ſon nont t'apptuent Meliphile Fille vnique du Roy de la meſme Sicile.	La Sicile est l'aimable et fortuné séjour Où ce bel Astre donne et respire le jour, Cenx que fgavène son nont t'apptuent Meliphile Fille unique du Roi de la même Sicile.
FLORESTAN.	FLORÊTAN.
Maintenant ie ſouſpire auec contentement Sçachant que i’ay le bien d’aimer ſi hautement, Puis qu’elle eſt comme moy d’vne Royale tyge L taoimtent erles jerini tanamtege na porire.	Maintenant ici soupire avec contentement Sachant que j'ai le bien d'aimer si hautement, Puis qu'elle est comme moi d'une Royale tige L Laoimtent erles jerini tanamtege na porire.
Mais crois tu que les Dieux me voudrõt accordet La gioire de la roirer deta poſſéder.	Mais crois -tu que les Dieux me voudront accordet La gioire de la roirer déta posséder.
THYRSIS.	THYRSIS.
A la moindre Ambaſſade elle vous eſt acquiſe.	À la moindre Ambassade elle vous est acquise.
FLORESTAN.	FLORÊTAN.
Cette Legation qu’à moy ſeul n’eſt permiſe, Vn Dieu tacitement me forte de partir, En vain tous les mortels voudroient me diuertir 4 d ete nenntan aeſjeti.	Cette Légation qu'à moi seul n'est permise, Un Dieu tacitement me forte de partir, En vain tous les mortels voudraient me divertir 4 d été nenntan aesjet.
THYRSIS.	THYRSIS.
Monſieur, s’il eſt poßible Gardez vous d’entreprendre, vn voyage penible Eſt bien plus dangereux que vous ne croyez pas.	Monsieur, s'il est possible Gardez vous d'entreprendre, un voyage pénible Est bien plus dangereux que vous ne croyez pas.
FLORESTAN.	FLORÊTAN.
Les perils en amour me ſont autant d’appas, d utinetut guerlici que it compat eſonne Ombrage rarement ſon front d’vne couronne.	Les périls en amour me sont autant d'appas, d' utinetut guerlici que compat esonne Ombrage rarement son front couronne.
RSIS.	RSIS.
Quoy que puiſſe arriuer cet amoureux depart Ne ſera pas ſi toſt.	Quoi que puisse arriver cet amoureux départ Ne sera pas si tôt.
FLORESTAN.	FLORÊTAN.
Dans deux iours au plus tard, Ie voudrois ſeulement partir à l’heure meſme.	Dans deux jours au plus tard, Je voudrais seulement partir à l'heure même.
YRSIS.	YRSIS.
Eſtrange effect d’amour, impatience extreme!	Étrange effet d'amour, impatience extrême!
Si vous n’aimiez pas tant vous redouteriez plus Le perfide ſujet du flus & du reflus, Où meſme en pleine paix les vaiſſeaux ont la guerre Auecque les rochers, les vents, l’air, & la terre.	Si vous n'aimiez pas tant vous redouteriez plus Le perfide sujet du flus et du reflus, Où même en pleine paix les vaisseaux ont la guerre Avec les rochers, les vents, l'air, et la terre.
FLORESTAN.	FLORÊTAN.
Toutes les mers du monde où vont les matelots Pour eſteindre mõ feu n’ont point aſſez de flots, L'eau ne m’eſtonne pas, ſi ie dois rendre l’ame Dedans quelque element, ce ſera dans la flame:	Toutes les mers du monde où vont les matelots Pour éteindre mon feu n'ont point assez de flots, L'eau ne m'étonne pas, si personne dois rendre l'âme Dedans quelque élément, ce sera dans la flamme:
Adieu, ie vais moy meſme au port voir les vaiſſeaux, Et choiſir le plus propre à courir ſur les eaux.	Adieu, Seigneur vais moi -même au port voir les vaisseaux, Et choisir le plus propre à courir sur les eaux.
SCENE II.	SCÈNE II.
SYLVIE.	SYLVIE.
PHILENE.	PHILENE.
LVIE.	LVIE.
Pres beaucoup d’ennuis en fin l’heure eſt LA venuë Que ſans rendre ma flame ou ſuſpecte ou cognuë Ie puis entretenir ces rochers d’alentour Des plaiſirs innocens que me donne l’Amour:	Pres beaucoup d'ennuis en fin l'heure est LA venue Que sans rendre ma flamme ou suspecte ou connue Je puis entretenir ces rochers d'alentour Des plaisirs innocents que me donne l'Amour:
Amour, hal que ce mot ſenſiblement me touche, Qu'il plaiſt à mon eſprit, qu’il eſt doux à ma bouche,	Amour, hal que ce mot sensiblement me touche, Qu'il plaît à mon esprit, qu'il est doux à ma bouche,
Et que ie fus heureuſe alors qu’il decocha Ce traict d’or qui mon cœur ſi viuement toucha, Verſant d’vn meſme coup dans le ſeinde Thelame Vne pareille ardeur à l’ardeur qui m'enflame.	Et que beau fus heureuse alors qu'il décocha Ce trait d'or qui mon cœur si vivement toucha, Versant d'un même coup dans le seinde Thelamè Ne pareille ardeur à l'ardeur qui m'enflamme.
Dieux!	Dieux!
que depuis mes iours sõt doucemẽt coulez, Que de plaiſirs ſe ſont à mes ſouſpirs meſlez, Et que i’ay bien gouſté ſans crime & ſans enuie Les plus aimables fruicts de l’amoureuſe vie!	que depuis mes jours soient doucemẽt coulez, Que de plaisirs se sont à mes soupirs mêlez, Et que j'ai bien goûté sans crime et sans envie Les plus aimables fruits de l'amoureuse vie!
Vne ſimple Bergere aſſeruir ſous ſa loy Vn qui peut commander en qualité de Roy, Au ſeul reſſentiment d’vne faueur ſi rare Mon eſprit de merueille & de plaiſir s’eſgare, Ie forme des penſers à ma confuſion, Et croy que mon bonheur n'eſt rien qu’illuſion.	Une simple Bergère asservir sous sa loi Et qui peut commander en qualité de Roi, Au seul ressentiment d'une faveur si rare Mon esprit de merveille et de plaisir s'égare, Je forme des pensers à ma confusion, Et crois que mon bonheur n'est rien qu'illusion.
Mais parmy ce diſcours dont mon ame ſe flatte Le front du iour naiſſant viſiblement eſclatte, Et les petits oyſeaux des foreſts & des champs Auecque la clarté renouuellent leurs chants;	Mais parmi ce discours dont mon âme se flatte Le front du jour naissant visiblement éclatte, Et les petits oiseaux des forêts et des champs Auecque la clarté renouvellent leurs chants;
Ce bois qui de mon heur fut la cauſe premiere Sera tantoſt forcé des traicts de la lumiere:	Ce bois qui de mon heur fut la cause première Sera tantôt forcé des traits de la lumière:
Vray ment ſi mon Berger oublioit de venir	Vrai ment si mon Berger oubliait de venir
Nous perdrions vn beau tour à nous entretenir;	Nous perdrions un beau tour à nous entretenir;
De la peur que i'en ay toꝰ mes eſprits s'affligent:	De la peur que j'en ai toù mes esprits s'affligent:
A propos la couſtume & le deuoir m'obligent De luy faire vn bouquet, auant que les chaleurs De leurs ardans baiſers facent mourir les fleurs Il me faut deſpeſcher, car deſia de l’haleine Des cheuaux du Soleil fume toute la plaine:	À propos la coutume et le devoir m'obligent De der faire un bouquet, avant que les chaleurs De leurs ardans baisers facent mourir les fleurs Il me faut dépêcher, car déjà de l'haleine Des chevaux du Soleil fume toute la plaine:
Là bas dans vn vallon où deux petits ruiſſeaux Se coulent dans vn pré tout bordé d’arbriſſeaux, Nature bien ſouuẽt produit des fleurs nouuelles, C’eſt là que ie pourray faire chois des plus belles:	Là bas dans un vallon où deux petits ruisseaux Se coulent dans un pré tout bordé d'arbrisseaux, Nature bien souvent produit des fleurs nouvelles, C'est là que je pourrai faire chois des plus belles:
Bons Dieux!	Bons Dieux!
le bel eſmail, certes à cette fois Mes yeux perdront içy la liberté du chois.	le bel émail, certes à cette fois Mes yeux perdront içi la liberté du chois.
Deeſſe du Printemps, Flore à qui la Nature Des iardins & des prez a donné la peinture, De grace pouſſe encor de ton humide ſein Quelque nouuelle fleur qui ſoit faicte à deſſein, Dont le teint à celuy de mon Amant reſſemble, Où ſon nom & le mien ſe puiſſent lire enſemble, Meſme s’il eſt poßible où ſoit repreſenté L’inuiolable vœu de ma fidelité:	Deesse du Printemps, Flore à qui la Nature Des jardins et des prez , Même la peinture, De grâce pousse encor de ton humide sein Quelque nouvelle fleur qui soit faite à dessein, Dont le teint à celui de mon Amant ressemble, Où son nom et le mien se puissent lire ensemble, Même s'il est pouvible où soit représenté L'inviolable vœu de ma fidélité:
Ainſi touſiours Zephir pour ta beauté ſouſpire, Ainſi iamais l’Hyuer n’efface ton empire, Et iamais les chaleurs.	Ainsi toujours Zéphir pour ta beauté soupire, Ainsi jamais l'Hiver n'efface ton empire, Et jamais les chaleurs.
Mais n’apperçois-ie pas Quelqu'vn dans ce taillis qui guide icy ſes pas?	Mais n'aperçois-je pas Quelqu'vn dans ce taillis qui guide ici ses pas?
Depuis qu'vn iour vn loup me voulut faire outrage Les objets les plus ſeurs me dõnent de l’ombrage, C’eſt peut eſtre vn Paſteur, il eſt vray c’en eſt vn, De tous le moins aimable & le plus importun:	Depuis qu'un jour un loup me voulut faire outrage Les objets les plus sûrs me donnent de l'ombrage, C'est peut être un Pasteur, il est vrai c'en est un, De tous le moins aimable et le plus importun:
It vient pour m'aporder, que ne m'eſt-il ioiſible D’eſchapper, ou du moins de me rẽdre inuiſible.	It vient pour m'apporder, que ne m'est-il joisible D'échapper, ou du moins de me rendre invisible.
PHILENE.	PHILENE.
C’eſt elle, ie la voy qui fait amas de fleurs Dans ce pré tant de fois arrosé de mes pleurs:	C'est elle, venir la vois qui fait amas de fleurs Dans ce pré tant de fois arrosé de mes pleurs:
A l’abord ſeulement de cet eſprit farouche Les mots comme eſtouffez me meurent dans la bohene, Ie fremis, ie paſlis:	À l'abord seulement de cet esprit farouche Les mots comme étouffés me meurent dans la bohène, Je frémis, ie pâlis:
mais c’eſt trop s’amuſer, L'occaſion eſchappe à qui n’en ſçait vſer.	mais c'est trop s'amuser, L'occasion échappe à qui n'en sait user.
DIALOGVE.	DIALOGUE.
Beau ſujet de mes feux & de mes infortunes, Ce iour te ſoit plus doux & plus heureux qu'à moy.	Beau sujet de mes feux et de mes infortunes, Ce jour te soit plus doux et plus heureux qu'à moi.
SYLVIE.	SYLVIE.
Iniurieux Berger qui touſiours m’importunes, le le rends ton ſounait, & ne veux rien de toy.	Injurieux Berger qui toujours m'importunes, le le rends ton sounait, et ne veux rien de toi.
PHILENE.	PHILENE.
Comme auecque le temps toute choſe ſe change.	Comme auecque le temps toute chose se change,
De meſme ta rigueur vn iour s’adoucira.	De même ta rigueur un jour s'adoucira.
YLVIE.	YLVIE.
Ce feru donc uiors que a vne toniſe eſtrange Ce ruiſſeau reuolté contre ſa ſource ira.	Ce féru donc uiors que a une tonise étrange Ce ruisseau révolté contre sa source ira.
PHILENE.	PHILENE.
Ce ſera bien pluſtoſt lors que ta conſcience T’accuſera d’vn crime en m’oyant ſouſpirer.	Ce sera bien plustost lors que ta conscience T'accusera d'un crime en m'oyant soupirer.
YLVIE.	YLVIE.
Tes diſcours ont beſoin de trop de patience, Adieu, le temps me preſſe, il me faut retirer.	Tes discours ont besoin de trop de patience, Adieu, le temps me presse, il me faut retirer.
THILENE.	THILENE.
Arreſte, mon Soleil, quoyl ma longue pourſuitt Ne pourra m’obtenir le bien de te parler.	Arrête, mon Soleil, quoil ma longue poursuit Ne pourra m'obtenir le bien de te parler.
SYLVIE.	SYLVIE.
C’eſt en vain que tu veux interrõpre ma fuitté.	C'est en vain que tu veux interrouvre ma fuité.
Si ie ſuis vn Soleil ie dois touſiours aller.	Si ici suis un Soleil ici dois toujours aller.
PHILENE.	PHILENE.
Le Soleil interrompt ſes courſes vagabondes Tour voir deſſous tes eaux tes yeux de ſon ſouçy.	Le Soleil interrompt ses courses vagabondes Tour voir dessous tes eaux tes yeux de son souçy.
SYLVIE.	SYLVIE.
Et moy ſi ie voyois Philene ſous les ondes Pour voir mourir ſon feu ie le ferois außi.	Et moi si ici voyais Philène sous les ondes Pour voir mourir son feu Roi le ferais aussi.
PHILENE.	PHILENE.
aupes miena.	aupes miena.
ſe peututqu ent Dergeit endure Son Amant à ſes pieds d’amour ſe conſumer?	se peutqu ent Ergeit endure Son Amant à ses pieds d'amour se consumer?
YLVIE.	YLVIE.
Mais pluſtoſt ſe peut-il que ta fureur te dure Sçachant que ie ne puis ny ne te veux aimer?	Mais plutôt se peut-il que ta fureur te dure Sachant que personne ne puis ni ne te veux aimer?
PHILENE.	PHILENE.
ueejeteoneromnnneury upptenuete moy de grace, Que ie reclame en fin la mort outa pitié.	ueejeteoneromnnneury uptenuette moi de grâce, Que ie reclame en fin la mort outa pitié.
FLVIE.	FLVIE.
Tu le dois bien ſçauoir, mõ cœur eſt tout de glace, Et mon ame inſenſible aux traicts de l’amitié.	Tu le dois bien savoir, mon cœur est tout de glace, Et mon âme insensible aux traits de l'amitié.
PHILENE.	PHILENE.
Halſi tu n’aimois rien ce bois ſauuage & ſombre Ne te retiendroit pas dans ſon ſein tout le iour.	Halsi tu n'aimais rien ce bois sauvage et sombre Ne te retiendrait pas dans son sein tout le jour.
SYLVIE.	SYLVIE.
Il eſt vray que ie l’aime, à cauſe que ſon ombre Conferue ma froideur contre les feux d’Amour.	Il est vrai que personne l'aime, à cause que son ombre Conferve ma froideur contre les feux d'Amour.
PHILENE.	PHILENE.
Mon tout, ſi ta rigueur me paſſe en repartie Peut eſtre ma conſtance en doit venir à bout.	Mon tout, si ta rigueur me passe en répartie Peut être ma constance en doit venir à bout.
SYLVIE.	SYLVIE.
